address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Nội thất,Mặt tiền,Đường vào
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Masteri West Heights']","
Bán nhanh căn 1 phòng ngủ + 1. Duy nhất tại Masteri West Height với đầy đủ phương án thanh toán.- Diện tích: 47 m² thông thủy.- Hướng ban công: Đông Nam.- View thoáng nhìn ra thành phố, tầm view triệu triệu đô.- Giá thanh toán sớm là: 2,7 tỷ.- Tổng chiết khấu lên đến: 13,7%.- Quà tặng Tết trị giá: 35 triệu.- Miễn phí 3 năm phí dịch vụ.- Vay 80% ân hạn 22 tháng.Liên hệ: 0862,755.028. Để được tư vấn thêm và hỗ trợ xem căn hộ mẫu.            ",47 m²,2.7 tỷ,Tây - Bắc,Đông - Nam,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin Vip 3,35922163,batdongsan_com_vn_35922163,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc']","
Hiếm - mặt ngõ ô tô - kinh doanh hàng tóc spa cực đông khách - hàng xóm Pandora - tương lai mặt phố - hộ khẩu Thanh Xuân.- Nhà chủ tự thuê thiết kế toàn bộ nhà và cửa hàng, nội thất tự chọn chỉn chủ toàn hàng xịn, đẹp long lạnh.- Vị trí tuyệt đẹp, hiếm của Thanh Xuân, mặt ngõ Triều Khúc, đối diện biệt thự và shophouse Pandora, cạnh Chung cư PCCC, ô tô tận cửa, quay đầu trước nhà.- Nhà hiện đang cho thuê kinh doanh cửa hàng tóc cực kì đông khách, cực kì phù hợp khách mua về vừa ở vừa kinh doanh luôn tóc và spa vì tận dụng luôn được lượng khách quen của cửa hàng.- Sổ đỏ vuông đẹp, nở hậu.- Khu vực dân cư đông đúc gần các trường đại học nên kinh doanh cực đỉnh.            ",41 m²,6.35 tỷ,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,29/11/2022,Tin Vip 3,35924828,batdongsan_com_vn_35924828,3 tầng,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Masteri West Heights']","
Bán nhanh căn 2 phòng ngủ tại phân khu cao cấp Masteri West Height.- Diện tích: 54,26 m² thông thủy.- Hướng ban công: Đông Nam.- View panorama nhìn ra thành phố.- Giá thanh toán sớm là: 3,4 tỷ.- Vay 80% ân hạn 22 tháng.- Quà tặng Tết: 55 triệu.- Tổng chiết khấu 13,7%.- Nhận nhà quý 1/2024.Liên hệ: 0862 755 *** ",54.26 m²,3.4 tỷ,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin Vip 3,35919244,batdongsan_com_vn_35919244,,Nội thất cao cấp,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Phố Lê Thanh Nghị', 'Ngõ 37']","
Cần bán căn nhà ngõ 37 phố Lê Thanh Nghị, phường Bách Khoa, quận Hai Bà Trưng, TP Hà Nội.+ Vị trí: Nằm trong khu phân lô bàn cờ ngõ 37 Lê Thanh Nghị, đường trước nhà rộng ô tô 7 chỗ vào nhà.+ Diện tích sổ đỏ 40,3 m², thực tế 43 m², mặt tiền 4 m, vuông vắn, không lỗi phong thủy đường đâm, thóp hậu, cột điện.+ Pháp lý sạch, sổ đỏ tại nhà.+ Giá bán 8,6 tỷ có thương lượng.+ Liên hệ em Hiếu để xem nhà 0933.988.398.(Miễn trung gian xin cảm ơn).            ",43 m²,8.6 tỷ,Đông - Nam,Đông - Nam,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,02/12/2022,Tin Vip 3,35924778,batdongsan_com_vn_35924778,4 tầng,Đầy đủ,4 m,5 m
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Lê Quang Đạo', 'Ngõ 8']","
- Cần bán gấp căn nhà mặt ngõ 8 Lê Quang Đạo 35m², 2.5 tầng, mặt tiền 4m chỉ hơn 3 tỷ.- Nhà mặt ngách - rộng - thoáng - tầm tiền hiếm phố lê quang đạo - đường thông khắp ngả - nhà xây khung cột xây 5 tầng thoải mái - ô tô gần.+ Mô tả:- Vị trí cực đẹp đường thông các ngả, thông ra trường cấp 1, 2 thông sang phố Phú Đô, ngõ trước nhà rộng, ô tô cực gần.- Nhà xây kiên cố móng cột chắc chắn khách về có thể ở tạm hoặc sơn lại ở tạm vẫn tốt.- Nhà thiết kế tầng 1 bếp, khách, để xe. Tầng lửng: 2 ngủ.Tầng 2: 1 ngủ & sân phơi.- Sổ đỏ vuông đẹp sẵn sàng giao dịch.- LH Mis Huyền để kết nối chính chủ. Hỗ trợ xem nhà miễn phí 24/7.            ",35 m²,3.2 tỷ,,,3 phòng,1 phòng,Sổ đỏ,22/11/2022,02/12/2022,Tin Vip 3,35924764,batdongsan_com_vn_35924764,2 tầng,Căn bản,4 m,2 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án The Sakura - Vinhomes Smart City']","
Còn duy nhất căn 1 phòng ngủ + 1 tại phân khu cao cấp Tonkin(Tk2), nhận nhà tháng 6/2023.Đầy đủ phương án thanh toán. Liên hệ phòng kinh doanh: 0862 755 ***- Diện tích thông thủy: 49 m².- Hướng ban công: Tây Nam.- View nhìn vào nội khu, siêu đẹp.- Tầng trung siêu đẹp.Giá thanh toán theo tiến độ: 3,1 tỷ.Tổng chiết khấu lên tới 15%.Vay 70% ân hạn lãi suất 0% 22 tháng.Liên hệ phòng kinh doanh Vinhomes: 0862 755 *** ",49 m²,3.1 tỷ,Đông - Bắc,Tây - Nam,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,02/12/2022,Tin Vip 3,35917512,batdongsan_com_vn_35917512,,Nội thất cao cấp.,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Đông Dư', 'Dự án The Zenpark']","
Chính chủ cần bán căn 1PN giá 1,65 tỷ, vui lòng liên hệ 0984 159 ***, DT 41,1m².            ",41.1 m²,1.65 tỷ,Tây - Nam,Đông - Bắc,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,29/11/2022,Tin Vip 3,35924668,batdongsan_com_vn_35924668,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Đức Thượng']","
Tôi có nhu cầu bán mảnh đất diện tích 44.2m², đã có sổ đỏ riêng biệt (khu phân lô từ ô to chia ra).Còn lại ô đẹp nhất (mặt tiền 4,10m) ngay sát nhà văn hóa và đường mở rộng liên xã (cách 10m là tới đường lớn).(Ngõ trước đất là 2.5m) ngõ thông, thông từ nhà văn hóa thôn Thượng đi thông sang nhà văn hóa thôn Nội) ngay gần đường lớn xe tải dang mở rộng kết nối trục đường S1, trong 44.2 mét vuông có 37.7 mét đất ở thổ cư và 6.5 mét đất vườn thổ cư) giá: 1 tỷ 415 triệu.Cách đường 32 khoảng 500m (cách đường ô tô 10m) tiệm cận ô tô vào, thuận tiện chợ và bến xe buýt (ngay khu cảng cạn Mỹ Đình Đức Thượng), gần trường học cấp 1,2 (gần sát trường mầm non xã).Giá: 32 triệu/m² = 1 tỷ 415 triệu, giá chuẩn miễn thương lượng giá (xin thông cảm).Liên hệ: Anh Thủy 0963 116 *** ",44.2 m²,32 triệu/m²,,,,,Có sổ đỏ riêng biệt.,22/11/2022,29/11/2022,Tin Vip 3,29235283,batdongsan_com_vn_29235283,,,4.1 m,2.5 m
"['Hà Nội', 'Hoài Đức', 'Thị trấn Trạm Trôi']","
Tôi có bán 2 ô đất khu dịch vụ thị trấn Trạm Trôi.Vị trí đẹp đã có sổ đỏ riêng biệt từng ô.Ô 84m² mặt tiền gần 5m, hướng nhìn ra đường QL 32, giá 7xx.Và ô 68m², mặt tiền 4.89m, hướng Đông Bắc, nhìn đối diện sang khu BT Lideco cùng chung đường với đô thị rộng 12m. 2 vỉa hè mỗi bên rộng 3m. Ô vip đặc biệt giá 6xxx tỷ. (điện nước máy Sông Đà) gần ngay trường tiểu học thị trấn B (khu giáp ranh đô thị Lideco Bắc 32 nên được hưởng mọi tiện ích đô thị mà lại không phải đóng phí.Được xây nhà theo ý mình (sổ đỏ thời hạn sử dụng lâu dài) cách Quốc lộ 32 chỉ 50m² (tiện bến xe buýt) khu hành chính ủy ban huyện.Liên hệ chính chủ: Để được giá tốt nhất 0913 380 ***Đăng Quang).            ",84 m²,Thỏa thuận,Tây - Nam,,,,Có sổ.,22/11/2022,29/11/2022,Tin Vip 3,29685219,batdongsan_com_vn_29685219,,,5 m,10 m
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Quốc lộ 32']","
Tôi có mảnh đất 42m² măt tiền 4.2m hướng Đông Nam, cách đường 3.5 đúng 50m vị trí đẹp(lô góc to chia ra) sổ đỏ riêng biêt(hậu đất còn khe thoáng nữa rộng gần 2 mét phía sau nữa) kết nối điểm cuối của đường Trịnh Văn Bô kéo dài, nằm gần 2 tòa chung cư HUD Vân Canh.Cách đường 422b khoảng 150m, kết nối các đô thị hud Vân Canh, Hinode Kim Chung Di Trạch, Vườn Cam, An Lạc...Liên hê chính chủ Đăng Quang 0913 380 ***giá chưa tới 4 tỷ).            ",42 m²,Thỏa thuận,Đông - Nam,,,,Sổ đỏ riêng biêt,22/11/2022,29/11/2022,Tin Vip 3,35354944,batdongsan_com_vn_35354944,,,4.2 m,30 m
