address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Nội thất,Số tầng,Mặt tiền,Đường vào
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Riverside']","
Tổng hợp danh sách chi tiết căn hộ bán chung cư Sunshine Riverside Tây Hồ.* LH hỗ trợ tư vấn và hẹn lịch xem căn hộ thực tế: 0966 998 ***==============================Căn hộ 3 phòng ngủ.* R2 - 01, căn góc 92m², 3PN + 2WC + 2 ban công.+ Có ban công phòng khách, tầng cao view sông Hồng.+ Đồ cơ bản.Giá: 4 tỷ (đã có sổ).* R3 - 01: Căn góc 100m², 3PN + 2WC + 2 ban công.+ Ban công: Bắc, có ban công phòng khách.+ View nội khu, bể bơi.Giá: 4 tỷ (đồ cơ bản).* R3 - 04, căn góc 100m², 3PN + 2WC + 2 ban công Nam hướng mát.+ Full đồ mới, đã có sổ.Giá 4.1 tỷ.* R2 - 12A, 90m², 3PN + 2WC + 1 ban công.+ Căn góc, view sông Hồng, cầu Nhật Tân, Hồ Tây.+ Full đồ, tầng đẹp.Giá: 3.8 tỷ (đã có sổ).* R2 - 09, 114m² thông thủy, căn góc, 3PN + 2WC, 2 ban công.+ View sông Hồng cầu Nhật Tân, căn góc hoa hậu dự án.+ Full nội thất.Giá: 5.4 tỷ (có sổ đỏ).Căn hộ 2 phòng ngủ:* R1 - 07, 67m², 2PN + 1WC + 1 ban công phòng khách.+ Tầng trung đẹp, ban công: Đông.+ View bể bơi.Giá: 2.65 tỷ (đã có sổ).* R2 - 07, 62m², 2PN + 1WC + 1 ban công.+ Nhà vuông vắn, thiết kế đẹp.+ Tầng trung đẹp, ban công Nam hướng mát.Giá: 2,65 tỷ (đã có sổ).* R2 - 06, 57m², 2PN + 1WC.+ Có ban công phòng khách, cạnh vườn treo.+ Giá: 2.45 tỷ (đã có sổ).* R2 - 15, 81m², 2PN + 2WC, cạnh vườn treo.+ View nội khu, giá 3.3 tỷ.* R1 - 02, 60m², 2PN + 2WC.+ Cạnh vườn treo, thiết kế vuông vắn, bếp mở thoáng.+ Giá 2.65 tỷ.- Ngoài ra còn nhiều căn hộ khác:(Căn 2PN).* R1 - 06: 2PN, 61m², view nội khu bể bơi (2.6 tỷ).* R2 - 02 2PN, 63m², view sông Hồng (2.7 tỷ).* R2 - 11 2PN, 82m², view cầu Nhật Tân (3.6 tỷ).* R2 - 12: 2PN, 62m², view ĐN cầu Nhật Tân (3.1 tỷ).* R2 - 04: 2PN, 80m², view Bắc cầu Nhật Tân (3.6 tỷ).* R3 - 02: 2PN + 2WC, full nội thất (2,7 tỷ).(Căn 3PN).* R2 - 08 (3PN - 91m²), full đồ, đã có sổ (3.8 tỷ).* R1 - 08 (3PN - 100m²) full đồ, đã có sổ (4,4 tỷ).* R1 - 05 (3PN - 96m²) căn góc, full đồ mới, đã có sổ, bao phí (4.2 tỷ).* R2 - 01 (3PN - 90m²). Căn góc. Full đồ mới, đã có sổ (3.9 tỷ).* R3 - 09 (3PN - 100m²) căn góc - view cầu Nhật Tân + sông Hồng siêu đẹp (5.1 tỷ).+ Tòa R1: Có nhà hàng, trường mầm non, café, quán phở.+ Tòa R2: Siêu thị, bể bơi 4 mùa, phòng gym, spa.+ Tòa R3: Phòng tập, vườn treo cây xanh,...LH xem căn hộ (cả ngoài giờ hành chính): 0966 998 *** em Hiệp.            ",100 m²,40 triệu/m²,Nam,Bắc,3 phòng,2 phòng,25/11/2022,05/12/2022,Tin thường,35339744,batdongsan_com_vn_35339744,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Võ Chí Công', 'Dự án Sunshine Riverside']","
Gia đình đang cần bán căn hộ tòa R2 Sunshine Riverside Tây Hồ.* Diện tích sử dụng 80.74 m².* Thiết kế: 2 phòng ngủ + 2 vệ sinh + 1 phòng khách + 1 bếp + 1 ban công hướng Bắc tầng trung view sông Hồng.+ Tiện ích đầy đủ: Sân chơi, bể bơi, phòng gym, spa, trường học quốc tế, cafe, TTTM, ngân hàng, ATM, nhà hàng, phòng sinh hoạt...* Giá bán: 3,5 tỷ sổ đỏ chính chủ.Liên hệ xem nhà: 0966 998 *** ",80.74 m²,43.3 triệu/m²,Nam,Bắc,2 phòng,2 phòng,28/11/2022,08/12/2022,Tin thường,35747475,batdongsan_com_vn_35747475,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Dương Đình Nghệ', 'Dự án Star Tower']","
- Bán căn hộ chung cư cao cấp Star Tower Dương Đình Nghệ:- Diện tích: 131m², 3 ngủ, 3 vệ sinh, 2 thoáng.- View tòa nhà FPT, công viên Cầu Giấy, Đại sứ quán Mỹ, đi bộ sang sân tập gôn Dương Đình Nghệ.- Khu vực trung tâm của tiện ích, một môi trường lý tưởng để sống.- Chủ nhà tặng lại nội thất xịn xò, khách chỉ việc xách vali đến ở.- Sổ đỏ chính chủ.- Giá: 5.9 tỷ có thương lượng.- Lh: 0965 295 *** ",131 m²,5.9 tỷ,,,3 phòng,3 phòng,29/11/2022,06/12/2022,Tin thường,35981012,batdongsan_com_vn_35981012,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Bồ Đề']","
Chủ nhà anh Việt Hùng bán nhà Bồ Đề, Long Biên, tương lai mở đường thông Hồng Tiến giá trị tăng cao bay nhanh.+ Vị trí:- Căn nhà nằm ở trung tâm khu vực đông dân cư, gần trường cấp 1,2, trường quốc tế, hồ điều hoà, gần phố Nguyễn Văn Cừ, cầu Chương Dương. Sang phố đi bộ vài phút.- Ngõ 135 có quy hoạch mở đường 13m thông sang Hồng Tiến, Lâm Hạ, Hoàng Như Tiếp, nhà có thể kinh doanh mua đón đầu tương lai, giá trị nhà đất sẽ tăng cao. Nội thất cơ bản chỉ việc về ở.+ Thiết kế.- Nhà chủ tự xây tâm huyết cực chắc chắn công năng đầy đủ.- Tầng 1 phòng khách, bếp, phòng ăn.- Tầng 2, 3, 4 mỗi tầng 2 P ngủ.- Tầng 5 phòng thờ, sân phơi, vườn rau.- Sổ đỏ đep chính chủ cất két sẵn sàng.- Liên hệ em Hoa 0974 008 *** để được đi xem nhà miễn phí (miễn trung gian quảng cáo).- Cam kết hình ảnh thật 100% ko lung linh như người khác đăng bởi vì hình ảnh thật(cảm ơn khách hàng đã quan tâm).            ",52 m²,6.75 tỷ,,,5 phòng,,28/11/2022,08/12/2022,Tin thường,35968324,batdongsan_com_vn_35968324,Sổ đỏ/ Sổ hồng.,Cơ bản.,5 tầng,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Cần bán gấp căn hộ tại tòa A2 - Vinhomes Gardenia có đặc điểm như sau:- Diện tích: 119m² tim tường - 110m² thông thủy.- Thiết kế: 03 phòng ngủ - 02 vệ sinh - 01 phòng khác có ban công rộng thoáng mát.- Nội thất đầy đủ: Thiết bị điện tử(tivi, tủ lạnh, máy giặt), hệ thống bếp, tủ bếp, điều hòa, giường tủ quần áo...- Giá bán nhỉnh: 5 tỷ 5.Call/Zalo: E Thọ: 0948 022 *** ",119 m²,5.8 tỷ,,,3 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,35957404,batdongsan_com_vn_35957404,Sổ đỏ/ Sổ hồng,"Nội thất đầy đủ: Thiết bị điện tử(tivi, tủ lạnh, máy giặt), hệ thống bếp, tủ bếp, điều hòa, giường tủ quần áo...",,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Xã Đàn']","
Chủ nhà cần tiền bán gấp nhà 6 tầng thang máy đang cho thuê kinh doanh spa tại phố Xã Đàn, quận Đống Đa. Nhà kinh doanh cho thuê ổn định và lâu dài hợp đồng 5 năm giá 60 triệu. Do ảnh hưởng của tình hình kinh tế nên cần bán gấp trước Tết, đây là căn nhà ở rất có Lộc làm ăn, khách mua về nối tiếp hợp đồng hoặc tự kinh doanh đều được.Diện tích đất 80m², chủ nhà xây dựng 65m², phần còn lại làm khe thoáng sau và sân vườn rất đẹp để vừa ở và cho thuê. Nhà đã hoàn thiện 6 tầng thang máy, có thiết kế thông sàn, kết cấu xây dựng chắc chắn, khách có thể nâng lên 8, 9 tầng thoải mái.Để nói về Xã Đàn thì có vỉa hè rộng, phân 2 làn đường 4, 5 ô tô tránh, con đường này có thể dừng đỗ ô tô thoải mái và thuận tiện cho khách kinh doanh.Giá bán 28 tỷ có thương lượng và mong muốn gặp được khách thiện chí.Vui lòng gọi qua SĐT tôi, Quang Huy: 0945 273 *** để được hỗ trợ tốt nhất và tư vấn thị trường BĐS miễn phí.Xin cảm ơn!            ",80 m²,28 tỷ,,,6 phòng,6 phòng,29/11/2022,06/12/2022,Tin thường,35980998,batdongsan_com_vn_35980998,Đã có sổ đỏ,Đầy đủ,6 tầng,5.1 m,30 m
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung']","
Giao thông cực kỳ thuận tiện, Quang Trung là tuyến đường huyết mạch nối liền với các con đường Trần Phú, Nguyễn Trãi, Khuất Duy Tiến, Lê Trọng Tấn đi Lê Văn Lương kéo dài, đi Thiên Đường Bảo Sơn sang Láng Hòa Lạc...Tiện ích xung quanh ngập tràn không thiếu thứ gì, gần chợ, trường học các cấp, khu vui chơi giải trí, ga tàu điện trên cao, Siêu thị Metro Hà Đông, chợ Hà Đông...* Thiết kế:+ Tầng 1: Phòng khách, bếp và phòng ăn, wc.+ Tầng 2,3,4: Phòng ngủ, wc.+ Tầng 5: Phòng thờ, sân phơi.Sổ đỏ phân lô, cực đẹp. Sẵn sàng giao dịch.Liên hệ: Hoàng Thùy 0869 629 *** để xem nhà.Lưu ý: Không tiếp môi giới.            ",78 m²,6.1 tỷ,,,6 phòng,4 phòng,26/11/2022,03/12/2022,Tin thường,35499847,batdongsan_com_vn_35499847,Sổ đỏ,Đầy đủ.,5 tầng,4.6 m,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung']","
Vị trí trung tâm, nhà nằm mặt phố của Phường Quang Trung nên kinh doanh mọi mặt hàng, giao thông rất thuận tiện, kết nối với phố Quang Trung, Trần Phú, Vạn Phúc, Phùng Hưng.Tiện ích không thiếu thứ gì, gần trường, gần chợ, gần bệnh viện...Thiết kế: đẹp.+ Tầng 1: Kinh doanh, phòng khách + bếp + wc.+ Tầng 2,3: Phòng ngủ, wc.+ Tầng 4: Phòng thờ + sân phơi.Sổ đỏ cất két, sẵn sàng giao dịch.Liên hệ: Hoàng Thuỳ 0869 629 *** để xem nhà.Lưu ý: Không tiếp môi giới.            ",48 m²,6.2 tỷ,,,4 phòng,3 phòng,26/11/2022,03/12/2022,Tin thường,35751705,batdongsan_com_vn_35751705,Sổ đỏ/ Sổ hồng,Đầy đủ.,4 tầng,5 m,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường 19/5']","
Nằm vị trí trung tâm ngay cạnh KĐT Văn Quán, Phùng Hưng, Quang Trung, Tô Hiệu, Nguyễn Khuyến, Bạch Thái Bưởi, Hồ Văn Quán, Chiến Thắng, Triều Khúc, Tân Triều...Nhà chủ tự xây mới được vài năm rất tâm huyết, chắc chắn, vẫn còn mới nguyên khách có nhu cầu lên 5,6 tầng thoải mái.Tiện ích xung quanh ngập tràn không thiếu thứ gì, gần hồ Văn Quán, BigC Hà Đông, Hồ Gươm Plaza, viện 103, viện ĐK Thiên Đức, chợ, trường học các cấp, ĐH Kiến Trúc, HV An Ninh, HV Bưu Chính Viễn Thông...Thiết kế: Khung cột bê tông chắc chắn.+ Tầng 1: Phòng khách, bếp, wc.+ Tầng 2,3: Phòng ngủ, wc.+ Tầng 4: Phòng thờ, sân phơi.Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ: Hoàng Thuỳ 0869 629 *** để xem nhà.Lưu ý: Không tiếp môi giới.            ",43 m²,3.8 tỷ,,,4 phòng,3 phòng,28/11/2022,05/12/2022,Tin thường,35055115,batdongsan_com_vn_35055115,Sổ đỏ,Đầy đủ.,4 tầng,4 m,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Lê Quang Đạo']","
Cần Bán nhà Lê Quang Đạo,Nam Từ Liêm- Ưu điểm:+ Ngõ nhà rộng 2.5m sáng thoáng, cách ô tô tránh 20m, đi bộ ra chợ, ngõ ngoài thông tứ trung kinh doanh sầm uất.+ Bán kính 2 - 3km nhiều trường ĐH lớn: Quốc Gia, Thương Mại, Sư Phạm, Báo chí...+ Khu vực trung tâm, tiện ích ngập tràn: BV Hồng Ngọc, C1 - 2 Phú Đô, siêu thị, Keangnam... Giao thông thuận tiện: Lê Đức Thọ, Mỹ Đình, Cầu Giấy, Phạm Hùng, ĐL Thăng Long...- Thông số: DT 35m², 5 tầng, mặt tiền 4m. Đầy đủ công năng, 3 phòng ngủ...- Chủ nhà ở có lộc, nay chuyển công tác đã mua nhà mới. Rất thiện chí, giá 4 tỷ có thương lượng mạnh.- Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.- LH: Mr. Hoàng: 0386 700 ***Miễn phí xem nhà, miễn phí tư vấn).            ",35 m²,4 tỷ,,,3 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35980995,batdongsan_com_vn_35980995,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,5 tầng,4 m,2.5 m
