address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Số toilet,Pháp lý,Nội thất,Đường vào
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Huỳnh Thúc Kháng', '4A', 'Hateco Laroma']","
Chủ đầu tư Hateco Laroma, Láng Thượng, Đống Đa, Hà Nội xin kính chào quý khách.Cảm ơn quý khách đã mua và đang quan tâm tới các căn hộ chung cư, chúng tôi tri ân khách hàng:* Chính sách bán hàng hấp dẫn.- Thanh toán sớm 95% GTCH: Chiết khấu 5% GTCH.- HTLS 0% trong vòng 12 tháng cho 65% GTCH.- Miễn phí 2 năm phí dịch vụ.- Quà tặng tân gia trị giá 160 triệu chỉ áp dụng cho 10 khách hàng sớm nhất.- Cam kết 1 xe oto và 2 xe máy cho mỗi căn hộ.- Hottline: 0934 364 ***+ Căn hộ cao cấp 2 phòng ngủ:- Căn 04 diện tích 80m² ban công hướng Đông, cửa hướng Tây.- Căn 02 diện tích 86m² ban công hướng Đông, cửa hướng Tây.- Căn 03 diện tích 86m² ban công hướng Đông, cửa hướng Tây.- Căn 08 diện tích 94m² ban công hướng Nam, cửa hướng Bắc.- Căn 11 diện tích 100m² ban công hướng Bắc, cửa hướng Nam.- Căn 12 diện tích 93m² ban công hướng Bắc, cửa hướng Nam.+ Căn hộ cao cấp 3 phòng ngủ:- Căn 05 diện tích 111m² ban công hướng Đông và Nam cửa hướng Bắc.- Căn 06 diện tích 119m ban công hướng Nam và Tây, cửa hướng Đông.- Căn 07 diện tích 112m ban công hướng Tây, cửa hướng Đông.- Căn 09 diện tích 137m ban công hướng Nam và Tây, cửa hướng Đông.- Căn 10 diện tích 136m ban công hướng Tây và Bắc, cửa hướng Đông.- Căn 01 diện tích 103m ban công hướng Bắc và Đông, cửa hướng Nam.- Hottline: 0934 364 ***Nội thất bàn giao:* Bàn giao nội thất nhập khẩu cao cấp mang phong cách Hoàng Gia (Đức): Cửa chống cháy, khoá cửa thông minh (Hafele), điều hoà âm trần MULTI (phun khí tươi), Tủ bếp trên dưới, bếp từ, hút mùi (Hafele), Tủ âm tường, TB vệ sinh (Duravit, Bravat), TB đèn, Hệ thống báo cháy từng địa điểm..* Tiện ích nội khu đẳng cấp 5 Sao: Nhà trẻ, bể bơi 4 mùa 800m, TTTM, gym, spa, đỗ xe thông minh, nhà hàng Á Âu, hầm rượu.. Là nơi thư giãn sau những giờ làm việc vất, rèn luyện thể lực các hoạt động thể thao, vui chơi mua sắm từ các thương hiệu đẳng cấp.* Tiện ích ngoại khu: Hưởng lợi tối đa hạ tầng giao thông, xã hội phát triển đồng bộ và hiện đại bậc nhất thủ đô với hệ thống tiện ích có sẵn như trường đại học (Ngoại Thương, Ngoại Giao, Luật), toà án, chợ dân sinh, BV nhi, BV phụ sản, Vincom, Rạp chiếu phim, công viên.* Chủ đầu tư: Công ty cổ phần đầu tư hạ tầng và công trình kiến trúc Hà Nội (Hateco. JSC).- Đơn vị thiết kế: Finenco Architects (Italia).- Đơn vị thi công: Hòa Bình Corporations.- Đơn vị quản lý: CBRE Mỹ.- Vị trí: Lô 4A, P. Láng Thượng, Q. Đống Đa, Hà Nội.- Diện tích lô đất: 3.153m. Diện tích xây dựng: 1.787m.- Số căn hộ: Tổng 281 căn.* Quy mô dự án.+ 30 tầng nổi (6 tầng TMDV, 24 tầng căn hộ), 4 tầng hầm.+ Hầm B1: Hầm rượu & Nhà hàng Á - Âu.+ Hầm B2: Xe máy.+ Hầm B3 & B4: Xe oto (khoảng 290 chỗ đậu).+ Tầng 1 - 2: TTTM thang cuốn.+ Tầng 3 - 4: Văn phòng, 02 thang máy riêng.+ Tầng 5 - 6: Dịch vụ tiện ích: Gym, Spa Vip, Phòng sinh hoạt cộng đồng; bể bơi 4 mùa 300m; nhà hàng.+ Tầng 7 - 30: Căn hộ chung cư cao cấp.Liên hệ đi xem căn hộ thực tế - Hottline PKD: 0934 364 *** ",111 m²,Thỏa thuận,Bắc,Đông,3 phòng,19/11/2022,29/11/2022,Tin Vip đặc biệt,35881418,batdongsan_com_vn_35881418,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Phòng kinh doanh Vinhomes Gardenia.Cập nhật các lô liền kề, biệt thự, shophouse Vinhomes Gardenia Mỹ Đình chính chủ bán lại mới nhất, giá tốt nhất.I. Shophouse cập nhật mới nhất:Shophouse B4 - 0X. MT 6m. DT 93m². Hướng Đông Bắc. Gần mặt đường K2. Mặt vườn hoa. Đã hoàn thiện đang cho thuê. Giá 31 tỷ bao sổ đỏ.SH Dãy 16 - 17 - 18. MT 5.5m. DT 102m². Hướng Nam. Hoàn thiện đẹp. Giá 29 tỷ bao tên.- Lô góc shophouse dãy B3. Mặt chính vào dự án. Dt: 164m². Sát Phố. Hoàn thiện rồi. Đang cho thuê. Vị trí rất đẹp để KD. Giá 50 tỷ.SH B17 - 18. MT 6m. DT 126m². Hướng TN. Thang máy. Đang cho thuê 70 triệu/tháng. Bán 38 tỷ bao tên.- B18 - Mặt trục chính lối vào dự án. MT 10m. DT 217m². Hoàn thiện, thang máy. Đang cho thuê 100 triệu/1 tháng. Giá 55 tỷ.- B17 - 0X. Mặt phố Hàm Nghi. Mặt tiền 6m. Diện tích 126m². Hoàn thiện đẹp. Đang cho thuê 100 triệu/tháng. Giá bán 58 tỷ bao sổ.- Shophouse mặt phố đường K2 rộng 30m. Mặt tiền 14m. Diện tích 271m². Kinh doanh. Giá 75 tỷ.- Shophouse mặt đường K2 - Hàm Nghi. Lô góc. Mặt tiền 20m. Diện tích 250m². Hoàn thiện rồi. Vị trí rất đẹp mở showroom, ngân hàng, spa, cửa hàng giới thiệu sản phẩm. Kinh doanh vừa ở vừa cho thuê. Giá 110 tỷ.II. Liền kề cập nhật mới nhất:LK B11 - 1X. MT 8m. DT 152m². Đường 20m. Sân cổng, hoàn thiện đẹp. Nội thất xịn. Thang máy. Giá 46 tỷ.LK B11 - XX. Mặt tiền 8m. Diện tích 152m². Hướng Tây Bắc. Hoàn thiện rồi. Đang ở. Nội thất gỗ óc chó. Giá 52 tỷ.LK B12A mặt trục chính Hight Coffee thẳng vào. Đường 20m. Hè 4m. Giá 46 tỷ.III. Biệt thự cập nhật mới nhất:1. Biệt thự đơn lập - song lập vườn hoa:- Biệt thự dãy B7 - Dãy B8. Mặt tiền 14m. Diện tích 280m². Giá 89 tỷ bao sổ đỏ.- Biệt thự mặt vườn hoa dãy B9 và B10. Mặt tiền 14m. Diện tích 283m². Vị trí vip hiếm có. Hoàn thiện đẹp rồi. Giá 98 tỷ bao sổ.- Biệt thự dãy B8 mặt đường K2. View đẹp. Mặt tiền 14m. Diện tích 271m². Hè 2 bên mỗi bên 4m. Đang cho thuê kinh doanh. Giá 80 tỷ.- Biệt thự song lập lô góc dãy B7 đến B10. Diện tích 290m². Giá 95 tỷ bao sổ đỏ.- Biệt thự đơn lập mặt vườn hoa trung tâm dự án. Mặt tiền 28m. Diện tích 566m². Hoàn thiện rất đẹp. Bán 175 tỷ.- Biệt thự đơn lập lô góc. Mặt tiền 28m. Diện tích 572m². Vị trí đẹp. Nhà bàn giao chủ đầu tư. Bán 180 tỷ.- B9 - B10 - 1X. View đẹp. Mặt tiền 20m. Diện tích 330m². Hoàn thiện rất đẹp rồi. Nhà đang ở. Bán 108 tỷ.Pháp lý hoàn chỉnh, giao dịch ngay trong 1 nốt nhạc.Hỗ trợ miễn phí thủ tục pháp lý, sang tên sổ đỏ cho khách hàng.Liên hệ xem nhà: Phòng kinh doanh Vinhomes B5 18 Gardenia.Hotline 0988 153 ***Xem chi tiết tại https://vinhomesland.info/vinhomes-gardenia.html ",93 m²,27 tỷ,Đông - Bắc,,5 phòng,19/11/2022,29/11/2022,Tin Vip đặc biệt,35668709,batdongsan_com_vn_35668709,6 m,5 tầng,5 phòng,Sổ đỏ/ sổ hồng.,Hoàn thiện nội thất.,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', '216', 'Summit Building']","
Bán căn 3PN dự án Summit Building 216 Trần Duy Hưng. Nhận nhà quý 2/2023. Giá 5,8 tỷ/ 101m². Thiết kế 3PN, 2WC, thoáng mát.Quà tặng lên tới 300 triệu, chiết khấu 5% khi thanh toán sớm, miễn phí dịch vụ tới 31/12/2025.Tên dự án: Chung cư Summit Building.Vị trí: Số 216 Trần Duy Hưng, quận Cầu Giấy, Tp. Hà Nội.Chủ đầu tư: Công ty TNHH Hoa Phượng Thăng Long Hà Nội Veracity.Đơn vị thiết kế: Công ty Cổ phần Ecoland.Tổng diện tích đất: 2.373m.Quy mô xây dựng: 35 tầng nổi, 4.5 tầng hầm, 3 tầng TTTM.Thiết kế: 288 căn hộ cao cấp, 2 - 3 PNDiện tích từ 86m - 145m².100% căn hộ đều được thiết kế 2 logia.Các phòng ngủ đều có cửa sổ đón ánh sáng.Nhiều tiện ích xung quanh và với khoảng cách ngắn nên việc đi lại rất thuận tiện như: BigC, Grand Plaza, KeangNam, The Garden,.Hệ thống các trường học từ tiểu học đến cấp 3.Các trường nổi tiếng của Hà Nội như: Yên Hòa, Nhân Chính, Amsterdams.Các trường đại học lớn: Ngoại Thương, Giao Thông Vận Tải, Luật, Công Đoàn.Chính sách bán hàng cực đỉnh cho các căn hộ:Miễn phí quản lý dịch vụ tới đầu năm 2025.Chiết khấu lên tới 5% giá trị căn hộ.Chiết khấu 3% với tiến độ thanh toán làm 6 đợt linh hoạt tới khi nhận sổ.Hỗ trợ lãi suất 0%, vay tối đa 65% trong 12 tháng.Được tặng gói nội thất lên tới 300tr (tùy từng căn).Giá bán chỉ từ 55 đến 70 triệu/m² (Full nội thất liền tường).The Summit là dự án có mức giá vừa phải nhất so với các dự án xung quanh.Thời gian bàn giao: Quý II/2023.Sở hữu lâu dài.Quý khách hàng cần biết thêm thông tin chi tiết, xem căn hộ mẫu và đặt chọn căn xin liên hệ phòng KD: 0869 954 *** ",101 m²,5.8 tỷ,Đông - Bắc,Tây - Nam,3 phòng,19/11/2022,29/11/2022,Tin Vip đặc biệt,35696032,batdongsan_com_vn_35696032,,,2 phòng,,Full nội thất,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ cần tiền làm dự án xưởng sản xuất nên cần bán cắt lỗ căn shophouse liền kề TMDV phân khu Hải Âu dự án Vinhomes Ocean Park 1 - Gia Lâm - Hà Nội:- Diện tích đất 82,5m².- Mặt tiền 5,5m.- Xây dựng 54,1m²/ sàn x 5 tầng.- Trước mặt là công viên, khu vui chơi, phố đi bộ phong cách Nhật Bản.- Cách 20m ra công viên trung tâm của Hải Âu. Cách 100m là tới hồ điều hòa 24,5ha. Xung quanh khá đông vui, tấp nập.- Giá bán 9,5 tỷ.Ngoài ra, em Cơ chuyên viên tư vấn BĐS Vinhomes với kinh nghiệm 05 năm bán các dự án thấp tầng của CĐT Vinhomes xin phép gửi anh chị danh sách quỹ căn shophouse, liền kề, biệt thự tại dự án Vinhomes Ocean Park - Gia Lâm - Hà Nội cập nhật giá mới nhất tháng 11/2022:* Shophouse kinh doanh:- HA09 - SP. 3A - 11 TMDV 9.5 tỷ bao phí.- SH2A - SP. 2B - 33 giá 10.5 tỷ bao phí.- SH2A - SP. 2B - 15 TMDV 11.2 tỷ bao phí.- SH2A - SP. 05 - 29 TMDV 12.3 tỷ bao phí.- HA09 - SP. 3C - 22 TMDV 10.950 tỷ bao phí.- HA09 - SP. 3C - 12 TMDV 10.950 tỷ bao phí.- HA09 - SP. 3A - 05 TMDV 11.5 tỷ bao phí.- HA11 - SP10 - 22 diện tích 104m² hoàn thiện full nội thất, có thang máy giá 11 tỷ bao phí.- HA11 - SP. 11 - 16 TMDV 14 tỷ bao phí.- HA16 - SP. 12 - 78 TMDV 15.2 tỷ bao phí.- SB23 - 157 giá 15.9 tỷ bao phí.- SB23 - 159 giá 15.5 tỷ bao phí.- SB01 - 70m² view công viên giá 16,5 tỷ căn thô, căn hoàn thiện đang cho thuê giá 17,5 tỷ.- Sb01 - 148 diện tích 98m mặt đường 52m giá 20 tỷ bao phí.- NT06 mặt đường 52m, diện tích 70,8m² giá 22,5 tỷ.- SH06 - 88 diện tích 135m², mặt đường 30m giá 30,6 tỷ bao phí.- HA03 - 104 diện tích 150m² giá 22.8 tỷ bao phí.- HA02 - 107 diện tích 90m² giá 19 tỷ bao phí (đường 30m).- HA02 - 132 diện tích 100m² giá 16.5 tỷ bao phí (đường 30m).- HA02 - 177 diện tích 150m² giá 26 tỷ bao phí (đường 30m).* Biệt thự, liền kề để ở:- Liền Kề NT06 view thường 14.5 tỷ.- LK NT06 view vườn hoa giá 19 tỷ.- LK NT08 giá 16 tỷ bao phí.- LK SB20 giá 17,5 tỷ bao phí.- Biệt thự song lập SB - 150m² hoàn thiện full giá 26,6 tỷ bao phí, đang cho thuê 30tr/tháng.- Biệt thự song lập SH10 - 07 giá 22 tỷ bao phí.- Biệt thự song lập SB12 - 22 giá 27,8 tỷ bao phí.- Biệt thự song lập SH16 - 21 giá 27 tỷ bao phí.- Biệt thự song lập NT03 - 11 giá 30tỷ bao phí.- Biệt thự song lập NT06 - 25 giá 33 tỷ bao phí căn 165,6m.- Biệt thự song lập NT12 - 150m giá 27 tỷ bao phí.- Biệt thự đơn lập NT12 - 08 giá 60 tỷ bao phí diện tích 288m.- NT16 căn 309m² giá 61 tỷ.- NT19 căn góc 328m² giá 72 tỷ.Còn rất nhiều quỹ căn Vinhomes Ocean Park 1 chuyển nhượng, hàng chuẩn, giá tốt nhất, có thương lượng, quỹ căn dự án Vinhomes Ocean Park 2 - The Empire, quỹ căn Vinhomes OCean Park 3 - The Crown mua trực tiếp CĐT Vinhomes giá tốt, chiết khấu cao.Em cam kết: Uy tín, tận tâm, không thu phí bên mua.Thông tin chi tiết anh chị vui lòng liên hệ 0928 658 *** để được tư vấn căn theo nhu cầu, mục tiêu tài chính và xem nhà trực tiếp!            ",82.5 m²,9.5 tỷ,,,,18/11/2022,28/11/2022,Tin Vip đặc biệt,35880742,batdongsan_com_vn_35880742,5.5 m,5 tầng,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Hoàng Mai', 'Dự án Feliz Homes']","
Tôi có xin được 2 suất ngoại giao cho căn hộ 2PN 73m² và 77m² của tòa Zen dự án chung cư Feliz Homes cho con trai tôi lấy vợ nhưng nay các cháu do chuyển hướng công việc nên không có dự định ở khu vực này nữa nên có nhu cầu bán lại. Thông tin căn hộ của tôi:- Trục căn ZA03 và ZA02.- Gía 3 tỉ 250.- Tầng trung, veiw city.- 2 căn của thể đập thông để thiết kế căn hộ lớn cho cả gia đình.- HDMB vẫn đang để treo tên nên khách hàng có thể chọn chính sách thanh toán theo tiến độ hoặc gói vay 0% của ngân hàng mà vẫn được hỗ trợ đầy đủ chính sách của chủ đầu tư.- Gía căn hộ có thể thương lượng thêm cho khách thiện chí lấy cả 2 căn.Liên hệ em Khánh ngay: 0855 903 *** ",73.6 m²,3.25 tỷ,,,2 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35880713,batdongsan_com_vn_35880713,,,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Liên hệ ngay em Thanh - phòng kinh doanh chủ đầu tư dự án The Zei Mỹ Đình để lựa chọn được những căn hộ đẹp nhất, giá tốt nhất thị trường.Hotline: 0942 519 ***Mr. Thanh - Trưởng phòng Kinh doanh).- Quỹ căn 2 phòng ngủ (84 - 93,6m²) giá tốt nhất, full nội thất: 3,65 - 4,3 tỷ.- Quỹ căn 2PN + 1 view công viên hồ điều hoà: 4,2 tỷ.- Quỹ căn 3 phòng ngủ, giá tốt nhất (103 - 107m²), full nội thất: 4,8 - 6,7 tỷ.- Qũy căn duplex penthouse (186m² - 350m²) giá tốt nhất, bàn giao thô: 11 - 19 tỷ.- Quỹ căn biệt tự đơn lập 267m² - 320m² bàn giao thô, hoàn thiện mặt ngoài: 110 - 128 tỷ.- Quỹ căn chuyển nhượng giá tốt: A1 A2 A7 A14 B4 B5 B6 A10 B1 B12 B9 B10 B11 B14.- Quỹ căn ẩn những căn giá tốt nhất thị trường (tầng 11 16 20 25 39).- Một căn 3PN ban công Đông Nam, tầm view vĩnh cửu, suất ngoại giao giá rẻ hơn chủ đầu tư.- Một căn 2PN 92m² ngoại giao, giá rẻ hơn CĐT 350tr.- Duy nhất 2 căn 2PN + 3PN tầng trung giá cực tốt.- Quỹ căn ngoại giao, độc quyền tầng trung.Chính sách bán hàng tốt nhất trong tháng 11/2022.* Chiết khấu lên đến 18% GTCH.* Giảm 5tr/m² khi nhận bàn giao thô.* Tặng gói nội thất 250tr - 350tr - 600tr - 800tr.* Vietcombank, HDBank Hỗ trợ lãi suất 0% + ân hạn nợ gốc 24 tháng. Vay tối đa trong 35 năm.* Đóng tiền theo 5 hoặc 8 đợt linh hoạt.Thanh toán theo tiến độ xây dựng, khách hàng sẽ được chiết khấu 10%.Thanh toán sớm 95% trong vòng 20 ngày, khách hàng sẽ được chiết khấu 18%.Chiết khấu thêm 1% khi mua từ hai căn trở lên (chưa gồm VAT).* Đóng 30% ký HĐMB sở hữu căn hộ The Zei ngay.Hotline: 0942 519 ***Mr. Thanh - TPKD).            ",90 m²,3.65 tỷ,Đông - Nam,Đông - Nam,3 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35133718,batdongsan_com_vn_35133718,,,2 phòng,Sổ đỏ/ Sổ hồng,Full cao cấp ,
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông', 'Đường 21']","
Chỉ từ 400tr sở hữu ngay 66m² đất thị xã trung tâm xã Cổ Đông, gần trường ĐH FPT, ĐHQG.- 3 bước ra đến ủy ban xã, trường mầm non, cấp 1, cấp 2,...- Diện tích 61m². Đất mặt đường thông rộng 6m 2 ôtô tải tránh nhau.- Đi 3 bước ra đến ủy ban xã, trường mầm non, cấp 1, cấp 2,...- Di chuyển 10 phút đến ĐHQG - ĐH FPT.- Xung quanh nhiều trường sỹ quan, khu du lịch nghỉ dưỡng, resot,...- Gần ngã tư Lục Quân và BV quân Y 105, trung tâm thương mại và bến xe, sân bay phía Tây Hà Nội thuận tiện sinh hoạt, di chuyển.- Khu vực dân cư sầm uất gần trường học, chợ, bệnh viện. Thích hợp kinh doanh, đầu tư, xây trọ.Liên hệ xem đất em Tuấn: 0562 695 *** ",61 m²,400 triệu,,,,18/11/2022,28/11/2022,Tin Vip đặc biệt,35831764,batdongsan_com_vn_35831764,5 m,,,Sổ đỏ/ Sổ hồng,,6 m
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường La Nội', 'Ngõ 88']","
Cần tiền bán gấp nhà mặt ngõ 88 La Nội, mới 100%, nở hậu, ngay trung tâm Dương Nội, đường rộng ô tô tránh nhau 5m, đang cho thuê văn phòng 220tr/24th, khu dân cư đông đúc. LH Thu Hường 0985 257 ***- Vị trí: Trung tâm Dương Nội dân cư đông đúc, đầy đủ tiện ích, chỉ mất 3p đi ra cv Thiên văn Học, 4p ra Eaon Mall.- Diện tích 35m², xây 5 tầng, MT 4m vuông vắn, nở hậu 4,18m.- Hướng: ĐB.- Giá bán 4,7 tỷ đã bao phí, có gia lộc cho khách thiện chí mua.Liên hệ ngay để được tư vấn miễn phí.SĐT Thu Hường: 0985 257 ***có zalo, không tiếp trung gian, MG).            ",35 m²,4.62 tỷ,Đông - Bắc,,4 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35878785,batdongsan_com_vn_35878785,4 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,5 m
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Khang', 'Ngõ 315']","
Gia đình tôi chuyển nơi sinh sống cần bán gấp căn nhà ngay ngã 3 mặt phố 4 tầng đang kinh doanh cửa hàng, đường thông ra phố Hoa Bằng, tiện đi lại, an ninh tốt, giá rẻ nhất trong khu vực, có gia lộc cho khách thiện chí mua. LH Thu Hường 0985 257 ***- Vị trí gần mặt phố Nguyễn Khang lớn, đường 4,5m sau ô tô quay đầu thoải mái, Giao thông cực thuận tiện đi Cầu Giấy, Quan Hoa, Vũ Phạm Hàm, Trần Kim Xuyến, Trung Hòa, Nguyễn Ngọc Vũ, Đường Láng...- Diện tích 85m², xây 4 tầng, mặt tiền 4,3m vuông vắn đẹp, đang kinh doanh cửa hàng quần áo rất tiện lợi và đông khách.- Hướng Tây + Nam.- Giá 14 tỷ bao phí, có gia lộc cho khách thiện chí mua.Liên hệ ngay để được tư vấn miễn phí.Tell: 0985 257 ***có zalo) - Ms. Thu Hường.            ",85 m²,14 tỷ,Tây,,5 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35878686,batdongsan_com_vn_35878686,4.3 m,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,4.5 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Dương Văn Bé', 'Dự án Sunshine Garden']","
Chủ nhà có nhu cầu mua bán, cho thuê căn hộ liên hệ em Cường 0976 044 *** để được phục vụ tốt nhất, nhanh nhất.Tôi là cư dân dự án Sunshine Garden, căn hộ G2 - 2407 và đang làm môi giới cho thuê, mua bán tại khu vực này. Hiện tại tôi đang có quỹ căn cho thuê và mua bán từ 1PN - 2PN - 3PN - 4PN đồ nguyên bản chủ đầu tư hoặc full đồ cho khách hàng lựa chọn.Bảng giá căn hộ như sau:- Căn hộ 1PN (45m²): Giá chuyển nhượng 2tỷ - 2tỷ2.- Căn hộ 2PN (77m²): Giá chuyển nhượng từ 3tỷ5 - 3tỷ7.- Căn hộ 3PN (93.7m²): Giá chuyển nhượng 3tỷ850 - 4tỷ2. (tùy đồ).- Căn hộ 3PN to (116m² - 120m² có 3PN, 3WC): Giá chuyển nhượng 5tỷ - 5tỷ5.- Căn hộ 4PN + 1 (135,8m² - 139,4m²): Giá 5tỷ7 - 5tỷ8.- Căn hộ 3PN loại 108m²: Giá bán 3tỷ850 - 4tỷ1 (giá chuyển nhượng).* Tiện ích:Nhận nhà ở luôn, Sunshine Garden đã và có tiện ích gì?- Siêu thị Sunshine Mart khai trương 08/03/2020.- Nhà thuốc An Tâm.- Khuôn viên cây xanh, đường dạo bộ, bể bơi thác tràn, vườn thượng uyển trên không với khung cảnh Châu Âu.- Trường mầm non quốc tế Sunshine Maple Bear với diện tích 1000m tại tòa G3 khai trương tháng 6/2020.- Các Shophouse ngay dưới chân tòa nhà với diện tích từ 100 - 300m sắp đi vào hoạt động, Với sự xuất hiện của các nhãn hàng nổi tiếng sẽ mang lại cho cư dân những trải nghiệm tiện ích đầy đủ và cao cấp.* Nội thất chủ đầu tư bao gồm:- Hệ thống bếp và tủ bếp thương hiệu Hafele.- Điều hòa âm trần Daikin.- Full WC thương hiệu Kohler.- Đèn, trần thạch cao, sàn gỗ.Liên hệ Mr. Cường 0976 044 *** để đi xem căn hộ trực tiếp 24/7 và gặp chủ nhà. Tránh trường hợp bị quảng cáo 1 kiểu đến gặp lại 1 kiểu.- Hỗ trợ thủ tục từ a - z vì tôi là cư dân ở đây.            ",108 m²,3.9 tỷ,,,3 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35517026,batdongsan_com_vn_35517026,,,2 phòng,,,
