address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Quận Thanh Xuân', 'Dự án BRG Diamond Residence']","
Sự kiện đặc biệt: 5 tầng đẹp nhất 7 - 16 - 17 - 22 - 27 ra hàng!Quỹ căn 1 - 2 - 3 - 4 PN view đẹp giá tốt nhất thị trường!Liên hệ ngay: 0866 128 ***I. Chính sách bán hàng siêu khủng:- Đóng 10% ký ngay hợp đồng mua bán.- Chiết khấu 2% khi thanh toán theo tiến độ.- Hỗ trợ vay vốn lên đến 65% giá trị căn hộ.- Ưu đãi lãi suất 0% tới 01/08/2023 (Dự án hiếm hoi có đủ room giải ngân).- Ân hạn nợ gốc trong thời gian hỗ trợ lãi suất.- Tặng gói hoàn thiện nội thất 100 - 150 triệu đồng.- Quà tặng kim cương trị giá 150tr khi mua trục căn 04, 05.- Miễn phí dịch vụ 1 năm.- Quà tặng đón tết cùng BRG Diamond Residence từ 5 -25trII. Thông tin dự án- Tên dự án: BRG Diamond Residence.- Vị trí dự án: Số 25, đường Lê Văn Lương, phường Nhân Chính, quận Thanh - Xuân, TP. Hà Nội.- Chủ đầu tư: Công ty cổ phần Dịch vụ và Kinh doanh Bất động sản Hà Nội.- Đơn thị thiết kế: Công ty P&T Group International Ltd (Singapore).- Đơn thị thi công: Công ty cổ phần xây dựng địa ốc Hoà Bình.- Tổng diện tích đất dự án: 8004m.- Mật độ xây dựng: Khối đế: ~57%; Khối tháp: ~46%.- Tầng nổi: 35 tầng (5 tầng khối đế + 30 tầng khối tháp căn hộ) + 01 tầng kỹ thuật.- Tầng hầm: 5 tầng hầm và 1 tầm hầm lửng.- Tổng số căn hộ: 662 căn.- Chiều cao sàn căn hộ: 3.6m.Hiện bên em đang hỗ trợ khách xem căn hộ mẫu và căn hộ thực tế 24/7 hoàn toàn miễn phí và luôn như vậy!Anh chị cần tư vấn và xem căn mẫu và tải bảng giá vui lòng liên hệ.Hotline: 0866 128 ***Web: Brgresidence.com.vn            ",103 m²,7.282 tỷ,Đông - Bắc,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất liền tường nhập khẩu cao cấp,26/11/2022,06/12/2022,Tin Vip đặc biệt,35959187,batdongsan_com_vn_35959187,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt', 'Dự án Hà Nội Melody Residences']","
* Quý khách liên hệ trực tiếp với chủ đầu tư chúng tôi để nhận mức giá rẻ nhất thị trường. Chỉ từ 2,06 tỷ căn 68m² thông thủy.Hotline chủ đầu tư: 0913 812 ***Chiết khấu tới 35%, hỗ trợ vay ngân hàng lãi 0% trong 24 tháng, giá cực tốt dành cho khách hàng.Tên dự án: Ha Noi Melody Residences.Vị trí: Khu đô thị Tây Nam Linh Đàm, Hoàng Mai, Hà Nội.HaNoi Melody Residences là tổ hợp thương mại và căn hộ cao cấp nhất khu đô thị Linh Đàm do tập đoàn Hưng Thịnh uy tín làm chủ đầu tư.Hà Nội Melody Linh Đàm gồm 4 tòa tháp chung cư cao 29 tầng được thiết kế hiện đại và tinh tế với hơn 2000 căn hộ cao cấp có diện tích đa dạng từ 67m² đến 145m², công năng từ 2 đến 3 phòng ngủ.* Chiết khấu:- Chiết khấu 7% giá trị căn hộ cho khách hàng không vay ngân hàng.- Thanh toán sớm: Chiết khấu 31%.- Giảm 50% phí dịch vụ trong 2 năm.- Ngân hàng hỗ trợ vay 70% giá trị căn hộ, ân hạn gốc và lãi suất 0% trong 24 tháng.* Căn 2 phòng ngủ thiết kế:+ Căn hộ gồm: Phòng khách, bếp, 2 PN, 2PVS, 2 ban công logia.+ Diện tích: 67m² - 74m² - 75m² - 87m² - 89m².* Căn 3 phòng ngủ thiết kế:+ Căn hộ gồm: Phòng khách, bếp, 3 PN, 2PVS, 2 ban công logia.+ Diện tích: 120m² - 128m² - 145m².* Tiện ích nội khu chuẩn quốc tế:Hồ bơi, vườn dạo bộ, khu vui chơi trẻ em.Khu thể thao (tennis, bóng rổ, bơi... ).Khu BBQ ngoài trời.Khu TTTM, siêu thị, nhà trẻ, gym, spa...Phòng lánh nạn, an ninh đảm bảo 24/7...* Quý khách gọi ngay hotline chủ đầu tư: 0913 812 *** để được tư vấn và nhận chiết khấu cao nhất.            ",68 m²,2.06 tỷ,,Đông - Nam,,2 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ nội thất cao cấp: Vệ sinh ToTo, tủ bếp trên dưới, chậu rửa bát, bình nóng lạnh, khóa từ, sàn gỗ...",26/11/2022,06/12/2022,Tin Vip đặc biệt,35682106,batdongsan_com_vn_35682106,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Chính chủ cần bán:Căn hộ: 2pn, 1vs, diện tích 56m², tầng 16, tòa G1 Green bay, sổ đỏ lâu dài.Hướng nhà: Đông Bắc, view trung tâm hội nghị quốc gia, view thoáng mát.Giá: 3,3 tỷ bao phí chuyển nhượng.Liên hệ: 0962 398 *** A Vinh.            ",56 m²,3.3 tỷ,Đông - Bắc,Tây - Nam,2 phòng,1 phòng,Sổ đỏ lâu dài.,Full nội thất cao cấp.,26/11/2022,06/12/2022,Tin Vip đặc biệt,35918111,batdongsan_com_vn_35918111,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Bán biệt thự khu K Ciputra thuộc giai đoạn 3 Khu đô thị Nam Thăng Long, Tây Hồ, Hà Nội.Ưu điểm biệt thự khu K Ciputra:1. Đã được cấp giấy chứng nhận quyền sử dụng đất và tài sản trên đất (Sổ đỏ giao dịch ngay).2. Năm trong quần thể khép kín, an ninh tuyệt đối, hạ tầng đã hoàn thiện, dân trí cực cao.3. Quy hoạch đồng bộ, vỉa hè lớn, đường rộng, có gara ô tô, cạnh công viên 5500m² và công viên 25ha.4. Khu đất sạch, vượng khí, phong thủy cực tốt khi gần kề Sông Hồng và Hồ Tây hiếm có.5. Số lượng hạn chế, tiềm năng tăng giá lớn, đường Nguyễn Văn Huyên kéo dài đang hoàn thiện ngay cạnh dự án.Hiện có 1 số căn hộ chủ nhà thiện chí bán như sau:- Biệt thự K1, diện tích 336m², hướng tây, mặt đường Nguyễn Văn Huyên kéo dài 60m, giá bán 395tr/m².- Biệt thự K2, diện tích 140m², mặt đường 13m, hướng nam, giá 300 triệu/m².- Biệt thự K4, diện tích 180m², mặt đường đôi 30m, hướng bắc, giá bán, 290tr/m².- Biệt thự K6, diện tích 400m² giá bán 260tr/m².- Biệt thự K7, diện tích 330m², đường 21m, view công viên 25ha Ciputra, giá bán từ 220tr - 250tr/m².Anh chị quan tâm xem nhà xin liên hệ trực tiếp Em Hiếu 0936 668 ***Quản lý dự án Ciputra).----------------------------------------------Toàn bộ đều đã được cấp Giấy chứng nhận quyền sử dụng đất và quyền sở hữu nhà, pháp lý an toàn, giao dịch nhanh gọn.Mọi thông tin anh chị liên hệ trực tiếp Em Hiếu 0936 668 ***Chuyên sâu dự án biệt thự Shophouse trong KĐT Ciputra Nam Thăng Long Hà Nội).- Dự án Shopvilla Sunshine City Ciputra (Đã có sổ đỏ).- Dự án Biệt thự liền kề Sunshine Riverside (Đã có sổ đỏ).- Dự án Shophouse Sunshine Golden River (Ký hợp đồng mua bán).--------------------------------------------Quý anh chị quan tâm liên hệ trực tiếp Em Hiếu 0936 668 *** để nhận tư vấn chuyên sâu.            ",140 m²,42 tỷ,Bắc,,,,Sổ đỏ/ Sổ hồng,,21/11/2022,01/12/2022,Tin Vip đặc biệt,26611659,batdongsan_com_vn_26611659,9 m,30 m,3 tầng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Gia đình cần tiền bán gấp 2 căn hộ tại Vinsmart City.Lh: 0944 820 ***Miễn Trung Gian).Căn 1pn + diện tích 43m² giá 1.65 tỷ bao phí.Căn 2Pn Full nội thất 55m² full nội thất 2.6 tỷ có ra lộc.Căn hộ tại phân khu đẹp nhất dự án có bể bơi, nội khu rộng rãi, kết nối thuận tiện, sát cạnh trường học Vinschool, tiểu học và Trung học Tây Mỗ. Vinhomes Smart City đô thị đáng sống nhất phía tây quần thể đầy đủ mọi tiện ích cho cư dân 2 đại công viên hồ điều hoà, vườn nhật, bệnh viện Vinmec lớn nhất Việt Nam, Vincom sầm uất.Liên hệ xem nhà thực tế: 0944 820 ***Miễn Trung Gian).            ",43 m²,1.65 tỷ,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,22/11/2022,02/12/2022,Tin Vip đặc biệt,35916531,batdongsan_com_vn_35916531,,,
"['Hà Nội', 'Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Bán biệt thự đảo Ngọc Trai giá tốt nhất thị trường. Giá từ 28 tỷ/căn.- Vị trí: Tọa lạc đảo Ngọc Trai nơi trái tim Vượng khí mang lại tài lộc cho người sở hữu. Các căn biệt thự đều có tiện ích công viên và gần bể bơi trung tâm, cộng đồng cư dân đẳng cấp nhất khu biệt thự Ocean Park.- Ngọc Trai là phân khu duy nhất khép kín với an ninh đảm bảo 24/7.Dưới đây là bảng hàng cập nhật tháng 8/2022 mới nhất.Biệt thự song lập ' SL ' Diện tích từ 144m² - 165m².Biệt thự đơn lập ' ĐL ' Diện tích từ 237m² - 288m².- Ngọc Trai 2 SL. Diện tích; 145m². Giá từ 29 - 31 tỷ. Hướng Đông tứ trạch.- Ngoc Trai 3 SL. Diện tích; 152m². Giá từ 30 - 32 tỷ. Hướng Tây Tứ Trạch.- Ngọc Trai 5 SL. Diện tích; 165m². Giá từ 30 - 33 tỷ. Hướng Tây Tứ Trạch.- Ngọc Trai 8 ĐL. Diện tích; 288m². Giá từ 54 - 56tỷ. Hướng Đông Tứ Trạch.- Ngọc Trai 9 SL. Diện tích; 150m². Giá từ 30 - 32 tỷ. Hướng Tây Tứ Trạch.- Ngọc Trai 10 SL. Diện tích; 150m². Giá từ 29 - 31 tỷ. Hướng Tây Tứ Trạch.- Ngọc Trai 11 ĐL. Diện tích; 288m². Giá từ 53 - 55 tỷ. Hướng Đông Tứ Trạch.- Ngọc Trai 15 SL. Diện tích; 151m². Giá từ 30 - 32 tỷ hướng Tây Tứ Trạch.- Ngọc Trai 17 ĐL. Diện tích; 246m². Giá từ 54 - 58 tỷ. Hướng Đông Tứ Trạch.- Ngọc Trai 19 ĐL. Diện tích; 237m². Giá từ 62 - 65 tỷ hướng Tây Tứ Trạch.- Ngọc Trai 21 SL. Diện tích; 144m². Giá từ 29 - 32 tỷ hướng Tây tứ trạch.Các căn đều đã có sổ đỏ.LH 0961 660 *** ",150 m²,28 tỷ,Đông - Nam,Tây - Bắc,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,06/12/2022,Tin Vip đặc biệt,35954341,batdongsan_com_vn_35954341,10 m,20 m,3 tầng
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cập nhật quỹ căn hộ chuyển nhượng studio - 3 phòng ngủ giá rẻ - chủ nhà cần tiền cắt lỗ cần bán gấp.Siêu rẻ - cắt lỗ cần bán gấp tại Vinhomes Oceanpark Gia Lâm T11/2022 này.Căn đẹp - tầng đẹp - view đẹp - giá đẹp.Sổ đỏ chính chủ - nhận nhà ở luôn.Liên hệ hotline: 0966 490 ***-------------------------------------------------------------------------------------------Giá chỉ từ 900 triệu sở hữu lâu dài căn hộ trong KĐT Vinhomes Ocean Park Gia Lâm, Hn.Căn studio DT: 28m² giá chỉ từ 900 triệu (nhà nguyên bản - full đồ).Căn studio DT: 38m² giá chỉ từ 970 triệu (nhà nguyên bản - full đồ).Căn hộ 1PN DT: 41m² giá chỉ 1.150 tỷ (nhà nguyên bản - full đồ).Căn hộ 1PN + 1 DT: 46m² giá chỉ từ: 1.250 tỷ (nhà nguyên bản - full đồ).Căn hộ 2PN + 1 vệ sinh DT: 55m² gia chỉ từ: 1.550 tỷ (nhà nguyên bản - full đồ).Căn hộ 2PN + 2 vệ sinh DT: 63m² giá chỉ từ: 1.850 tỷ (nhà nguyên bản - full đồ).Căn hộ (2PN + 1) + 2 vệ sinh (căn góc) DT: 65m² giá chỉ từ: 2 tỷ (nhà nguyên bản - full đồ).Căn hộ 3PN DT: 80m² giá chỉ từ 2.350 tỷ (nhà nguyên bản - full đồ).Căn hộ (3PN + 1) DT: 100m² giá từ 3.8 tỷ (nhà nguyên bản - full đồ).Ibox ngay để nhận thông tin, nhận bảng giá các căn tốt nhất.-------------------------------------------------------------------------------------------Lý do nên chọn mua chuyển nhượng Vinhomes Oceanpark.- Giá rẻ.- Chi phí đầu tư ban đầu hợp lý, tiềm năng sinh lời cao.- Đa dạng nhu cầu.Với kinh nghiệm 10 năm trong thị trường chuyển nhượng. Công ty chúng tôi cam kết.- Giá rẻ nhất thị trường.- Tư vấn chọn căn, xem nhà thực tế, làm việc chính chủ.- Nhiệt tình, chu đáo, chuyên nghiệp.- Hỗ trợ làm hồ sơ nhanh chóng. Bảo mật thông tin khách hàng.Hotline: 0966 490 *** ",82 m²,2.35 tỷ,Đông - Bắc,Tây - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,19/11/2022,29/11/2022,Tin Vip đặc biệt,35886000,batdongsan_com_vn_35886000,,,
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông']","
Nhà em cần bán nhanh lô đất 2 mặt tiền  vị trí đẹp nhất, nhì khu Cổ Đông - Ra Lộc mạnh tay khách thiện chí.**Lô mặt đường trục chính liên xã sát QL 21, gần ngã 4 Lục Quân.- Diện tích: 65m².- Lô góc.- Giá: 720tr- Đường 8m 2 oto tránh nhau.- Cách QL21 đang mở rộng 80m chỉ 200m- Cách cổng số 4 ĐHQG (gồm 34 trường, viện) chỉ 1km  - Đi 5ph ra CNC Hòa Lạc- Khu vực dân cư sầm uất gần Trường học, Chợ, Bệnh Viện. Thích hợp kinh doanh, đầu tư, xây trọ.- Mua để ở vừa tiện đi học, đi làm giá đang rất rẻ so với khu vực**LH làm việc chính chủ: 0986 432 ***Khách thanh toán ngay giá có thương lượng!            ",65 m²,720 triệu,,,,,Sổ đỏ.,,26/11/2022,06/12/2022,Tin Vip đặc biệt,35612622,batdongsan_com_vn_35612622,5 m,8 m,
"['Hà Nội', 'Tây Hồ', 'Dự án Heritage West Lake']","
Mở bán căn hộ Soho (officetel) Tại dự án hạng sang Heritage Westlake 677 Lạc Long Quân, Tây Hồ của CĐT Capital Land - Singapore. Giá 60 triệu/m². View Hồ Tây, Lottel mail. Đã có căn hộ mẫu- Dự án cao 25 tầng, 4 tầng hầm gồm chung cư và officetel, 173 căn hộ với các loại diện tích sau.Căn Studio: 45m².Căn 1PN: 57m².Căn 2PN: 82 - 88m².Giá bán dự kiến TB 60tr/m².Tiến độ thanh toán linh hoạt.- Chiết khấu cho khách booking- Tháng 12/2022 đóng 10%.- Tháng 3/2023 đóng 10%.- Khi bàn giao tháng 12/2024 đóng 80%.Liên hệ để biết thêm thông tin chi tiết: 0869 954 ***https://www.heritagewestlakes.net/* Điểm nổi bật và khác biệt so với các dự án khác.- 100% căn hộ đều hướng view triệu đô: Hồ Tây, sông Hồng + cầu Nhật Tân.- Dự án hội tụ hàng loạt những thương hiệu nội thất cao cấp nổi tiếng thế giới như: Gaggenau, Gessi, Poggenpohl, Smeg và Villeroy & Boch.- Hơn 40 tiện ích nội khu tích hợp tính năng hiện đại.- Dự án tiên phong thiết kế sảnh thang máy riêng cho tất cả căn hộ.- Ra mắt hồ bơi vô cực nước nóng khoáng ngoài trời dài 50m trên cao tại Hà Nội.- Tiện ích đặc quyền: Bể bơi 4 mùa, bể sục Jacuzzi, thác tràn.- Tiêu chuẩn bàn giao: Cao cấp, thượng hạng dành cho giới thượng lưu.- Dự án sở hữu vị trí độc tôn, với tầm view triệu đô ôm trọn Hồ Tây.- Bể bơi chân mây nước nóng ngoài trời đầu tiên ở Hà Nội (chiều dài bể bơi 50m, tổng diện tích bể bơi 350m).- Dự án đạt chứng chỉ BCA Green Mark.Liên hệ để biết thêm thông tin chi tiết: 0869 954 ***https://www.heritagewestlakes.net/            ",45 m²,2.7 tỷ,Bắc,Nam,,,Hợp đồng mua bán,Nội thất cơ bản,26/11/2022,06/12/2022,Tin Vip đặc biệt,35715910,batdongsan_com_vn_35715910,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Mở bán biệt thự đơn lập, biệt thự song lập và shophosue tại khu đô thị Ciputra Hà Nội:- Mua bán trực tiếp CĐT, vào thẳng tên hợp đồng, không chênh, đóng tiền theo tiến độ.- Biệt thự đơn lập: 280m² - 320m², mặt tiền 18 - 21m, giá bán 250tr/m².- Biệt thự song lập: 140m² - 160m², mặt tiền 9 - 10m, giá bán 250tr/m².- Shophouse: 100m² - 120m², mặt tiền 5,5 - 6m, giá bán 320tr/m². Mặt đường rộng 30m - 40m.- Cả 2 loại biệt thự đều xây dựng 5 tầng + 1 hầm, tỷ lệ xây dựng 75%.Nhà hướng Nam mát mẻ, nhìn ra sân golf và hồ nước siêu đẹp.- Vào tiền từ 15% giá trị BĐS, vào tiền 50% - 75% - 95% được chiết khấu.* CĐT Cam kết mua lại với lãi suất 12%/năm nếu như khách hàng thấy thị trường không tăng giá và muốn bán lại.- Bàn giao nhà: Quý 2/2024.+ Biệt thự nội đô, có giá trị ở thực đang rất khan hiếm, loại biệt thự diện tích vừa phải, mặt tiền lớn lại càng hiếm hơn. Anh chị khách hàng mua ở và đầu tư phải nhanh tay nắm bắt cơ hội.Liên hệ: Em Khoa 0984 591 *** để tìm hiểu chi tiết và đặt cọc vị trí đẹp.            ",280 m²,250 triệu/m²,Nam,Nam,8 phòng,6 phòng,,"Bàn giao thô, hoàn thiện mặt ngoài",25/11/2022,05/12/2022,Tin Vip đặc biệt,35846253,batdongsan_com_vn_35846253,18 m,30 m,6 tầng
