Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Hướng nhà
"
Tháng Vu Lan, Ưu đãi cao tại HC golden - căn 102m2 full NT, BC Đông Bắc tầng cao. giá 5.080tr
","
5,08
Tỷ ","
102
m2
",['Mua bán Căn hộ chung cư  HC Golden City'],"
Ngoại giao trực tiếp CĐT căn 3 PN 102m2 tầng cao, view Sông Hồng, cầu Chương Dương giá tốt nhất dự án Hc Golden City.* Chính sách cực ưu đãi trong tháng này:+ Tặng gói nội thất trị giá 280 triệu+ Tặng ngay quà tân gia trị giá 50tr trong tháng này..+ Miễn phí 2 năm phí dịch vụ.* Thông tin căn hộ:+ Căn hộ hướng cửa chính Tây Nam, ban công Đông Nam Đông Bắc thoáng mát.+ Căn hộ diện tích 120 m thiết kế 3 phòng ngủ, 2 vệ sinh, 2 logia. Phòng khách có ban công rộng thoáng với tầm view đắt giá, các phòng đều có cửa sổ to, đón nắng đón gió trực tiếp vào căn hộ.+ Giá căn hộ 5. 080 tr.* Nhận nhà ở ngay.* Bàn giao full nội thất liền tường cao cấp.+ Tủ bếp trên dưới gỗ Gõ Đỏ, thiết bị bếp Hafele, máy lọc nước Kangaroo.+ Tủ âm tường, tủ giày gỗ Gõ đỏ tự nhiên.+ Thiết bị vệ sinh, bồn rửa mặt, vách kính tắm. Vòi sen, nóng lạnh Kohler.+ Sàn gỗ Lim Nam Phi nhập khẩu, cửa chính gỗ chống cháy khóa từ Hafele, cửa phòng gỗ Lim Nam Phi, khóa vân tay.+ Điều hòa âm trần VRV hai chiều lấy gió tươi tự nhiên của Nhật Bản.+ Giàn phơi thông minh, cửa kính chống tia cực tím 3 lớp, giấy dán tường.* Dự án Hc Golden City sở hữu vị trí đắc địa trên tuyến đường dát vàng Hồng Tiến chỉ cách trung tâm phố cổ 1,5 km, Kết nối giao thông cực kỳ thuận tiện.Dự án gồm 2 tòa chung cư cao 25 tầng trong đó có 2 tầng hầm, 2 tầng thương mại với đầy đủ các tiện ích phục vụ cư dân như: Siêu thị, ngân hàng, phòng tập gym, cafe, ăn sáng.Hotline phòng kinh doanh chủ đầu tư: 0912293262***Ms Hằng  (call, zalo, sms) hỗ trợ xem nhà tất cả các ngày trong tuần.
",Căn hộ, 15/08/2023,07/11/2023,Bán,2459939,,,,,,,,,,,,,,,,
"
20m Ra Đường Trần Khát Chân-Ngõ Thông-32m2 x 5Tầng-Giá 4 Tỷ 350
","
4,35
Tỷ ","
32
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Trần Khát Chân']","
+ Vị trí đẹp, cách mặt đường Trần Khát Chân chỉ 20m, ngay ngã tư Lò Đúc, ngõ thông 2 đầu, trước nhà SH quay đầu thoải mái.+ Xây 5 tầng Khung Cột Bê Tông kiên cố, đầy đủ công năng sử dụng với: 3 phòng ngủ + 4 WC + phòng khách + phòng thờ + sân phơi.+ Sổ đỏ phân lô sẵn sàng giao dịch.+ Liên hệ ngay 036-587-22***để giao dịch chính chủ (miễn trung gian)
",Nhà riêng, 29/09/2023,27/10/2023,Bán,2545994,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"
Nhỉnh 2Tỷ_Khu Phân Lô Quận Hai Bà Trưng_4Tầng Mới Đẹp Full Nội Thất_3 Bước Ra ÔTÔ_Ở Sướng
","
2,35
Tỷ ","
18
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phố 8/3']","
2Tỷ Hơn Xíu-Lõi Hai Bà Trưng-Phân Lô-10m Ra ÔTÔ-18m2 Sổ Riêng-4Tầng Full Nội Thất Đẹp+ Nhà thuộc khu phân lô Phố 8/3 - Quận Hai Bà Trưng, ÔTÔ dừng đỗ cách nhà 10m, trước nhà SH quoay đầu thoải mái, giao thông đi lại vô cùng thuận tiện, trường học các cấp, chợ dân sinh quanh nhà.+ Nhà mới xây vài năm, hiện đại, Khung Cột Bê Tông kiên cố, đầy đủ công năng sử dụng với Phòng Khách + 2 Ngủ + Phòng Thờ + Sân Phơi, Full nội thất đẹp xinh, xách Vali vào ở luôn.+ Sổ riêng chính chủ, vuông như tờ A4, nở hậu nhẹ, chờ chủ mới.Liên hệ ngay 036-587-22***để giao dịch chính chủ (miễn trung gian)
",Nhà riêng, 08/10/2023,05/11/2023,Bán,2508846,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"
Căn Nhà Đẹp Và Yên Bình Trong Lòng Phố Thị-Lô Góc Kiến Trúc Biệt Thự-3 Bước Ra ÔTÔ-Ở Sướng
","
10,5
Tỷ ","
74
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Trần Khát Chân']","
+ Bán Nhà Phố Trần Khát Chân: DT 74m / 4 Tầng / 6m MT - Giá 10 Tỷ 500 (có thương lượng)+ Cách mặt phố Trần Khát Chân có 40m, Ô TÔ dừng đỗ thoải mái, ngõ thông và rộng (trước nhà rộng 3m), khu vực dân trí cao, sạch đẹp và yên tĩnh, an sinh tuyệt vời.+ Nhà lô góc, xây 4 tầng theo phong cách Biệt Thự Pháp Tân Cổ Điển, có sân vườn, ban công các tầng và nhiều cửa sổ, với 3 phòng ngủ đầy đủ công năng sử dụng, tạo không gian sống lý tưởng, không khí lưu thông, ánh sáng tran hòa.+ Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.Gọi ngay 036-587-22***để xem nhà và giao dịch chính chủ (miễn trung gian).
",Nhà riêng, 08/10/2023,05/11/2023,Bán,2562327,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"
Tạ Quang Bửu+Đại Cồ Việt_Lô Góc 2Mặt Ngõ ÔTÔ Thông_Mặt Tiền Bề Thế_4Mặt Thoáng_Kinh Doanh_Văn
","
13,5
Tỷ ","
63
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phố Tạ Quang Bửu']","
Bán Nhà Đầu Phố TẠ QUANG BỬU: 63m / 3 Tầng / 8m Mặt Tiền - Giá 13 Tỷ 500. (Thương Lượng)+ Vị trí rất đẹp, ngay sau Bộ Giáo Dục Đào Tạo - Đại Học Bách Khoa, ngõ ô tô 7 chỗ thông với Đại Cồ Việt và Bạch Mai, thuận tiện Kinh Doanh hoặc mở Văn Phòng.+ Nhà lô góc 4 mặt thoáng, mặt tiền bề thế, xây 3 tầng rất đẹp, thiết kế 2 khu riêng biệt để vừa ở vừa cho thuê.+ Sổ đỏ cất két sẵn sàng giao dịch.+ Liên hệ ngay 036-587-22***để giao dịch chính chủ (miễn trung gian).
",Nhà riêng, 23/09/2023,21/10/2023,Bán,2534843,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"
Nhỉnh 2Tỷ-Nhà 5Tầng Mặt Ngõ Rộng Thông Phố Trần Khát Chân-View Trường Học-Thoáng-Đẹp-Gần Đường
","
2,5
Tỷ ","
20
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Trần Khát Chân']","
Bán Nhà Mặt Ngõ To, Thẳng 50m Ra Phố Trần Khát Chân: DT20m2 / 5Tầng Giá 2Tỷ5 _ Sổ Riêng Phân Lô _ LH 036-587-2***.* Vị trí rất đẹp, mặt ngõ rộng và thông, cách mặt phố Trần Khát Chân 50m, View Trường Học vô cùng thoáng đẹp, chỉ mất 5~10 phút xe chạy là tới: Phố Cổ, Hồ Hoàn Kiếm, Công Viên LeNin, ĐH Bách_Kinh_Xây, BV Bạch Mai_108_Việt Xô... Tiện ích ngập tràn.* Nhà xây 5 tầng KCBT chắc chắn, mỗi tầng 1 phòng riêng biệt:+ Tầng 1 : Phòng khách + Wc+ Tầng 2: phòng ngủ + wc+ Tầng 3: phòng ngủ + wc+ Tầng 4: phòng ăn + Bếp+ Tầng 5: phòng thờ + sân phơi* Sổ riêng nét căng, pháp lý chuẩn, sẵn sàng giao dịch.* Liên hệ ngay 036-587-22***để giao dịch chính chủ (miễn trung gian).
",Nhà riêng, 12/10/2023,09/11/2023,Bán,2568768,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"
Chỉ 6.1Tỷ-Nhà Mới-Lô Góc-Thang Máy-ÔTÔ Đỗ Cửa-20m Ra Mặt Phố-Kinh Doanh
","
6,1
Tỷ ","
40
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Tam Trinh']","
BÁN NHÀ PHỐ TAM TRINH (GẦN CHỢ MAI ĐỘNG) DT 40m / 5 TẦNG / MT 4.5m GIÁ 6.1 TỶ* Vị trí đẹp, cách 20m ra mặt đường, gần chợ Mai Động, ô tô đỗ cửa, nhà mới - lô góc - thang máy - nội thất đẹp, ở hay kinh doanh đều tốt.* Thiết kế 5 tầng hiện đại, mỗi tầng một phòng rộng rãi, tổng 3 ngủ đầy đủ công năng.* Sổ đẹp nét căng sẵn sàng giao dịch.Lh 036-587-2*** (miễn trung gian)
",Nhà riêng, 16/10/2023,30/10/2023,Bán,2576697,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"
Bán nhà Dòng tiền Chùa Láng-70m2 x 7 Tầng-24 Phòng cho thuê!
","
12,5
Tỷ ","
70
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Chùa Láng']","
GÀ ĐẺ TRỨNG VÀNG- NHÀ XÂY MỚI- 24 PHÒNG CHO THUÊ- 100 TRIỆU/THÁNG! KHU VỰC SIÊU HOT- KHỎI BÀN VỀ ĐỘ HIẾM!  - Xung quanh toàn các trường Đại HỌc danh tiếng- là thiên đường cho thuê,không bao giờ trống phòng. SINH VIÊN CỦA ĐH NGOẠI GIAO-NGOẠI THƯƠNG-LUẬT- HỌC VIỆN THANH THIẾU NIÊN... - Tiện ích không thiếu thứ gì,chợ,siêu thị,nhà hàng... - Nhà xây mới- CÓ THANG MÁY,thiết kế Full đồ...Khách mua chỉ việc vận hành cho thuê lại.. Đầy đủ hệ thống Phòng chữa cháy,giấyp phép xây dựng.. THIẾT KẾ: Tầng 1: Để xe Tầng 2-7: Mỗi tầng 4 Phòng. SỔ ĐỎ CHÍNH CHỦ-PHÁP LÝ CHUẨN. LIÊN HỆ XEM NHÀ VÀ TƯ VẤN: Em Cường 0987970***
",Nhà riêng, 18/10/2023,15/11/2023,Bán,2580428,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"
Bán nhà riêng Quận Hà Đông - Hà Nội giá 7.90 Tỷ
","
7,9
Tỷ ","
60
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Kiến Hưng']","
Chính chủ bán nhà 5 tầng trung tâm văn Phú  – Diện tích: 60 m² – Đường trước nhà 5m ,vỉa hè rộng – Hướng tây tứ trạch – Khu vực dân trí cao ,an ninh tốt ,phù hợp vừa ở vửa kinh doanh – Giao thông thuận tiện ,ngõ thông tứ tung, Ví trị thuận lợi di chuyển ra mọi hướng, không kẹt xe, đường thoáng…– tầng 2,3,,4 có 2 phòng ngủ ,WC khép kín , tương lai kinh doanh sầm uất – Giá: 7,9 tỷ có thương lượng – Sổ đỏ chính chủ – Liên hệ: ( Nguyễn Hà )
",Nhà riêng, 18/10/2023,15/11/2023,Bán,2580316,,,,,,,,,,,,,,,,
"
[ Bán Gấp] - Penthouse Iris Garden Mỹ Đình Full nội thất cao cấp thiết kế Duplex Lh 0987106***
","
Thỏa thuận
","
185
m2
",['Mua bán Căn hộ chung cư  Iris Garden'],"
PENTHOUSE - IRIS GARDEN MỸ ĐÌNH  Do chuyển về  Hàn ở, chủ nhà gửi bán căn Penthouse 185m2 Full nội thất làm rất cẩn thận .* Vị trí: Chung cư Iris Garden 30 Trần Hữu Dực Mỹ Đình.*  Căn Góc toà CT3 tầng 24 - 25* Tổng diện tích sàn 185m2: Tầng 1 rộng 103m2, tầng 2 rộng 82 m2.* Căn Penthouse được thiết kế cực đẹp, các phòng đều có ánh sáng và gió tự nhiên có khoảng sân vườn tầng 25. View thoáng..* Tầng 1: Có 2 phòng ngủ, 1 phòng khách, 1 phòng ăn, 2 WC, 3 logia.* Tầng 2: Có 2 phòng ngủ, 2WC + 1 sân vườn rộng.* Nội thất làm rất cẩn thận - tỉ mỹ từng chi tiết ,làm để ở nên  rất đầu tư rất nhiều.* Khu dân cư xanh - sạch - đẹp, an ninh 24/24, mát mẻ, có bể bơi ngoài trời và nhiều cây xanh có đường kính lớn. * Là nơi có vị trí giao thông thuận lợi, cùng nhiều các nhà trường mẫu giáo Trung học uy tín hàng đầu Lê Quý Đôn, Đoàn Thị Điểm...* Có ban công, lô gia, hồ bơi, shophouse, sân vườn, nhà trẻ, Phòng khám ngay chân tòa nhà...* Đặc biệt cam kết cho 1 slot oto cho chủ nhà.- HDMB ký chuyển nhượng - Giá tốt thiện chí cho khách mua nhà. Liên hệ tôi để xem nhà. 0987 106 *** Trân trọng !!!!!!!!!
",Căn hộ, 06/10/2023,03/11/2023,Bán,2468719,Sổ hồng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tây-Bắc
