Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Đường vào,Mặt tiền,Số phòng ngủ,Hướng ban công,Số tầng
"
Bán căn 2pn 2wc khu đô thị Vinhomes Smart City Tây Mỗ
","
3,1
Tỷ ","
61
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Khu đô thị Vinhomes Smart City Tây Mỗ, Nam Từ Liêm với đầy đủ tiện ích, pháp lý chuẩn, đã có nhiều tòa bàn giao và có sổ.Còn 1 căn rẻ nhất 2 phòng ngủ 2 vệ sinh tại phân khu Sakura thuộc khu đô thị Vinhomes giá hơn 3 tỷ ạ.Ngoài những tiện ích cơ bản như nhiều phân khu khác thì Sakura còn có Vườn Nhật trên mây là khu thư giãn trên tầng thượng của tòa nhà và bể bơi 4 mùa ngay trong nội khu...Có hỗ trợ vay ngân hàng 70% ạLiên hệ em Hằng0902220***em ở tòa S103 Vinhomes Smart City trực 24/24 ở dự án luôn ạ
",Căn hộ, 21/10/2023,18/11/2023,Bán,2585309,,,,,,,,,,,,,,,,,,,,,
"
Bán căn hộ Golden Land nguyễn trãi - giá 5.00 Tỷ full nội thất - đầy đủ tiện ích
","
5
Tỷ ","
130
m2
",['Mua bán Căn hộ chung cư  Golden Land'],"
* Dự án cao cấp Golden Land toạ lạc ngay trục đường Nguyễn Trãi, thiết kế hiện đại, thoáng, đầy đủ tiện ích cao cấp: - Bể bơi - Gym - Coffee - Nhà hàng - khu vui chơi và các trường học....* Chính chủ cần bán căn hộ:- Diện tích 130m, được thiết kế 3 ngủ 2 vệ sinh.- Nhà chính chủ, sổ đỏ cất két, bán nhà tặng kèm nội thất.Anh chị quan tâm các căn hộ tại dự án Golden land , vui lòng liên hệ em Hiện bên em cũng có rất nhiều căn hộ: 2 ngủ - 3 ngủ , với tài chính rất hợp lý.Anh chị vui lòng liên hệ để được hỗ trợ tốt nhất
",Căn hộ, 21/10/2023,18/11/2023,Bán,2585285,Sổ đỏ,Đông-Bắc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
"
Bán căn hộ Cầu Giấy - Hà Nội giá 3.50 Tỷ - 2N2W cao cấp tầng trung
","
3,5
Tỷ ","
72
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
* Chính chủ bán gấp căn hộ cao cấp Bonanza- Thiết kế 2 ngủ, 2 vệ sinh- Diện tích 70m2- Sổ đỏ chính chủ - bàn giao full nội thất.* Dự án cao cấp Bonanza, bàn giao sử dụng khoảng gần 3 năm, thiết kế hiện đại, thoáng, khách đến xem là thích.- Tiện ích cao cấp:- Bể bơi.- Gym.- Coffee.- Nhà hàng.- Trường mầm non, tiểu học.- Khu vui chơi.- Vườn dạo bộ.* Ngoài ra , Bên em chuyên bán các căn hộ tại dự án Bonanza, đang có nhiều căn:- Loại 2 ngủ , 3 ngủ, 4 ngủ : diện tích từ 70m² giá đang cực tốt. 
",Căn hộ, 21/10/2023,18/11/2023,Bán,2585256,Sổ đỏ,Đông-Bắc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
"
Chính chủ bán sàn văn phòng thương mại NHS Trung Văn,diện tích 109m2, view công viên, giá chỉ 4,2tỷ
","
4,2 - 4,4
Tỷ ","
109
m2
",['Mua bán Bất động sản khác  Nhà ở xã hội NHS Trung Văn'],"
Chủ đầu tư mở bán sàn văn phòng thương mại 109m² chỉ ~4,3 tỷ tại tòa nhà ở xã hội NHS Trung Văn.+ View mặt đường Tố Hữu, đối diện công viên và hồ quy hoạch 17,35ha.+ Diện tích vừa phải từ 93-109m2+ Mức cho thuê ổn định, 13 USD/m2, lợi nhuận trên 8%/năm.+ Giá tốt, tiến độ vào tiền giãn đến 7 đợt.+ Vị trí đón quy hoạch, gần cơ quan Ban, Bộ, Ngành, nhân đôi giá trị ngay khi nhận bàn giao
",Bất động sản khác, 21/10/2023,18/11/2023,Bán,2585201,,Tây-Bắc,,,,,,,,,,,,,,,,,,,
"
Bán căn hộ 3 ngủ View thành phố đẹp Toà N01T3 Ngoại giao đoàn, Xuân La, BTL, HN
","
50 - 51
Triệu ","
128
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Ngoại Giao Đoàn'],"
Bán căn hộ 3 ngủ View thành phố đẹp Toà N01T3 Ngoại giao đoàn, Xuân La, BTL, HN. Nhà đẹp, đầy đủ nội thất. Diện tích 128 m2 , 3 phòng ngủ, 2 nhà tắm, 1 kho, 2 lô gia, cửa chính Bắc, View thành phố, ban công Nam. Sổ đỏ sẵn sàng giao dịch. Giá bán 50 triệu/ m2 thuế phí bên nào bên ấy chịu. Vui lòng liên hệ: 037 6949 ***
",Căn hộ, 21/10/2023,18/11/2023,Bán,2585190,Sổ đỏ,Bắc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
"
Bán nhà riêng Quận Thanh Xuân - Hà Nội giá 7.60 Tỷ
","
7,6
Tỷ ","
46
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Tô Vĩnh Diện']","
Diện tích 46m2, mặt tiền 4.6m. Ngõ ô tô vào thoải mái.Thiết kế nhà xây 6 tầng, thang máy, mỗi tầng 1 phòng , WC.Tầng 1: PK + WC.Tầng 2,3,4: Mỗi tầng 1 ngủ, WC.Tầng 5: Bếp.Tầng 6: Phòng thờ, sân phơi.Vị trí cực đẹp, ô tô đỗ cửa, ngõ rộng thoáng, khu dân trí cao, tiện ích bạt ngàn...Sổ  vuông chính chủ.Giá 7.6 tỷLiên hệ xem nhà: Tường Nguyễn 0842.810.***(có zalo)
",Nhà riêng, 21/10/2023,18/11/2023,Bán,2585162,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,
"
Bán nhà Xuân Đỉnh 54m2, nhà cấp 4, ngõ ô tô đỗ nhỉnh 1 tỷ ngay chợ Xuân Đỉnh
","
1,5
Tỷ ","
54
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Nhà riêng tại Đường Xuân Đỉnh']","
Do không có nhu cầu ở tôi cần bán nhanh nhà Tại Xuân Đỉnh ngõ thông tứ phíaDiện tích: 54m2 hiện trangj đnag là nhà cấp 4Giá 1,5 tỷNgõ to, ô tô đi qua                                 Cách chợ Xuân Đỉnh khoảng 150mCách Công Viên Hòa Bình khoảng 1kmCạnh trường cấp 1,2 Xuân ĐỉnhXem nhà: 0983 169 *** 
",Nhà riêng, 21/10/2023,18/11/2023,Bán,2585148,Sổ đỏ,Đông-Bắc,,,,,,,,,,,,,,,,,,,
"
Bán lô đất sát mặt Hồ Vân Trì Khu tập thể Bắc Hà Đông Anh, Hà Nội
","
Thỏa thuận
","
51
m2
","['Hà Nội', 'Huyện Đông Anh', 'Mua bán Đất tại Đường Võ Văn Kiệt']","
BÁN LÔ ĐẤT 110 m2 sát mặt Hồ Vân Trì Khu tập thể Bắc Hà.Thông tin thửa đất:- Diện tích: 51 m2. lô đất hai mặt đường.- Chiều rộng mặt trước và sau : 4 m.- Chiều rộng đường mặt trước 12m.- Xung quanh là cán bộ công nghiên viên Xí Nghiệp Băc Hà, an ninh tốt.- Vị trí khu dân cư bám mặt hồ Vân Trì vì vậy không khí rất thoáng mát.- Khoảng cách từ lô đất đến Hồ Tây và cầu Nhật Tân, Thăng Long chỉ 10 - 20 phút di chuyển.- Vị trí đất cách đường Thăng Long - Nội Bài chỉ 200m.——————* Đ/C đất : Dãy A, Tập Thể Xí Nghiệp Bắc Hà, xã Nam Hồng, Huyện Đông Anh, TP Hà Nội* Liên hệ: trực tiếp
",Đất, 21/10/2023,04/11/2023,Bán,2320464,,,,,,,,,,,,,,,,,12m,5m,,,
"
Chủ cần bán nhà phố Chùa Hà cầu giấy 40m2 Ô Tô đỗ cổng tiện ích xung quanh gần chợ giá nhỉnh 5 TỶ
","
5,3
Tỷ ","
40
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Phố Chùa Hà']","
TRUNG TÂM CẦU GIẤY  Ô TÔ ĐỖ CỔNG  TIỆN ÍCH NGẬP TRÀN  FULL NỘI THẤTVị trí: Ô tô đỗ cổng, ba bước ra chợ, tiện ích ngập tràn, không thiếu gì-Hàng xóm thân thiện gần gũiThiết kế:Tầng 1: phòng khách+ bếpTầng 2+3+4: Phòng ngủ+ wcTầng 5: Phòng thờ+ sân phơi Hiện tại chủ đang cho thuê hữu nghị 13tr/thSổ đỏ chính chủLH : Em Hương
",Nhà riêng, 21/10/2023,18/11/2023,Bán,2584675,Sổ đỏ,,,,,,,,,,,,,,,,,,,,
"
Chung cư ia20 Ciputra 92m2 giá 2.680ty 0382276***
","
2,2
Tỷ ","
92
m2
",['Mua bán Căn hộ chung cư  IA20 Ciputra'],"
Chung cư ia20 Ciputra 92m2 giá 2.680ty 0382276***Để đảm bảo quyền lợi khi mua căn hộ - xin vui lòng liên hệ trực tiếp quản lý dự án để chọn căn - tầng.- Mr. Thanh: 0382276***Hiện tôi đang có mấy suất ngoại giao chung cư IA20 Ciputra nhà ở của thành phố Hà Nội dành cho cán bộ cấp cao. Dự án nằm trong quần thể KĐT Ciputra tiếp giáp với hai trục đường huyết mạch chính là Phạm Văn Đồng - Võ Chí Công. Chung cư IA20 Ciputra KĐT Nam Thăng Long được thừa hưởng toàn bộ tiện ích cao cấp đã tích hợp sẵn của KĐT Ciputra, là một phức hợp tòa nhà căn hộ cao cấp trong quần thể Ciputra. Dự án gồm có 02 tòa chung cư cao 29 tầng - 01 tòa cao 40 tầng và biệt thự - liền kề. Khu vực dân trí cao, an ninh đảm bảo 24/24, gần và tích hợp đầy đủ các tiện ích cao cấp, giao thông hết sức thuận tiện, không gian sống đẳng cấp và cảnh quan mang đến hơi thở trong lành.- Diện tích căn hộ: 92m2 - 95m2 - 98m2 - 100m2 - 107m2 - 110m2 - 112m2.- Giá gốc: 16.8tr/m2 – 18,5tr/m2 + chênh ( Chưa bao gồm thuế VAT) + chênh- Vào tên Hợp đồng chính chủ. - Liên hệ trực tiếp: Mr. Thanh: 0382276***- Email: lethanh.ocd@gmail.comI- Tiến độ thanh toán:  - Đóng 30% khi ký hợp đồng và nhận nhà - Đóng 70% bằng vốn tự có hoặc hỗ trợ vay Bank lên 20 năm.II. Thông tin dự án:- Tên dự án: Cụm công trình nhà ở khu I. A20 khu đô thị Nam Thăng Long.- Vị trí: Lô đất I. A20 Khu Đô Thị Nam Thăng Long, Phường Đông Ngạc, Q. Bắc Từ Liêm, TP. Hà Nội (Ciputra - Hà Nội).- Chủ đầu tư: Công Ty CPĐT BĐS Đông Đô - Bộ Quốc Phòng.- Đơn vị thi công: Tập đoàn Vingroup & Tổng công ty đầu tư phát triển hạ tầng đô thị - UDIC.- Đơn vị thiết kế: Công Ty Cổ Phần Kiến Trúc Tây Hồ.- Quy mô khu đất rộng 30.091m2, trong đó:+ Khu cao tầng: 18.329m2, gồm 3 tòa chung cư cao tầng 29-40 tầng.+ Sân vườn: 7.214m2.+ Bãi đỗ xe ngoài trời: 1.020m2.+ Cây Xanh + Sân Chơi: 2.481m2.+ Khu thấp tầng: 5.356m2.+ Giao thông nội bộ: 3.825m2.- Mật độ xây dựng:+ Khu cao tầng: 54,5% đối với khối đế và 35,5% đối với phần thân.+ Khu thấp tầng: 77,6%.III. Vị trí dự án:- Chung cư IA20 Ciputra nằm về phía Tây Bắc Hà Nội, toạ lạc trên đường Phạm Văn Đồng - quận Bắc Từ Liêm và Võ Chí Công quận Tây Hồ - Hà Nội. Phía ông giáp đường Võ Chí Công - vành đai 2, bao quanh bởi sông Hồng và Hồ Tây.- Dự án chung cư I. A20 Ciputra được xây dựng với mục đích chính là đáp ứng nhu cầu nhà ở cho cán bộ cấp cao thuộc các ban ngành như: Văn Phòng Quốc Hội, Văn Phòng Chính Phủ, Văn Phòng Trung Ương Đảng,... Vậy nên, nếu so sánh với các dự án thương mại cùng khu vực, trong quần thể khu đô thị Ciputra, thì giá bán căn hộ tại chung cư I. A20 đang là thấp nhất, cạnh tranh nhất. Đây chính là cơ hội sở hữu/đầu tư căn hộ trong quần thể khu đô thị đẳng cấp bậc nhất thủ đô Hà Nội.- Quản lý dự án: Mr. Thanh: 0382276***- Email: lethanh.ocd@gmail.com. 
",Căn hộ, 21/10/2023,18/11/2023,Bán,1995493,,Đông-Nam,,,,,,,,,,,,,,,,,3,Đông-Nam,16
