Title,Price,Area,Address,Gen_descrip,Loại hình,Số phòng ngủ,Tình trạng pháp lý,Số tầng,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách
"
Bán nhà lạc long quân- 34m- 20m ô tô- ở ngay- chỉ 4 tỷ 05
","
4,05
Tỷ ","
34
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Đường Lạc Long Quân']","
 NHÀ KHUNG CỘT BÊ TÔNG CHẮC CHẮN - NGÕ NÔNG SẠCH ĐẸP - VÀI BƯỚC CHÂN RA Ô TÔ- 3 NGỦ SIÊU RỘNG- GIÁ MỀM NHẤT KHU VỰC 4.05 TỶ.Vị trí đẹp ngõ nông gần ô tô, gần trường học các cấp, gần chợ, gần Hồ tây, khu dân trí cao, giao thông cực kỳ thuận tiện.Vài nháy ga là ra đến các tuyến phố lớn như Võng Thị, Xuân La, Thụy Khuê, Võ Chí Công, Hoàng Quốc Việt, Hoàng Hoa Thám, Quan Hoa..Thiết kế cực chắc chắn 4 tầng gồm 3 ngủ rộng cầu thang cuối, ban công, cửa sổ thoáng sáng, vượng khí. Chủ ở đây rất lộc, bán nhà đổi sang nhà to hơn. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá chào 4.05 tỷ ( có thương lượng)GỌI NGAY Ms Vân để đi xem và gặp trực tiếp chủ nhà. 
",Nhà riêng,3,Sổ đỏ,4, 17/10/2023,14/11/2023,Bán,2575828,,,,,,,,,,,,,,,
"
Quỹ căn ngoại giao, CK đến 21%, từ 2,9ty.2PN. 3,9 tỷ/3PN. Khai sơn city, kề phố cổ. HT vay Ls 0%
","
2,9
Tỷ ","
77
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Căn hộ chung cư tại Đường Lý Sơn']","
Quỹ căn ngoại giao giá tốt nhất Khai Sơn City.- Vị trí: Nằm sát đường Lý Sơn thuộc khu đô thị rộng 180 ha. Căn hộ hiện đại tiện nghi đáp ứng cuộc sống Xanh An Lành của 1 Thành Phố bên sông. Liền kế phố cổ.- Căn 2PN.+ Diện tích 77.5m² - 89.5m².+ Thiết kế 2PN, 2WC.+ Giá: 2.9 tỷ.- Căn 3PN.+ Diện tích 97m² - 120m².+ Thiết kế 3PN, 3WC. 3PN, 2WC.+ Giá 3.9 tỷ.- Tiện ích: Đầy đủ tất cả trong một khu đô thị sống xanh gồm: Shophouse thấp tầng, công viên trung tâm, hồ điều hòa, trường học liên cấp, bệnh viện quốc tế, khách sạn 5 sao, khối đế cao tầng thương mại.- Tiện ích riêng chung cư Khai Sơn City Long Biên là tổ hợp căn hộ chung cư cao cấp với hệ thống tiện ích hiện đại: Gym, spa, trung tâm thương mại, nhà trẻ, bể bơi.- Nhiều chính sách quà tặng chiết khấu khủng lên tới 21%- Liên hệ pkd: 0912293262***MRS Hằng
",Căn hộ,,,, 20/10/2023,17/11/2023,Bán,2437140,Đông-Nam,,,,,,,,,,,,,,
"
Độc quyền duy nhất căn hộ 1pn+1 phân khu Pavilion - ký CĐT- giá chỉ 1.64 tỷ
","
1,64
Tỷ ","
47
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Cơ hội cuối cùng dành cho chủ nhân tinh hoa sở hữu không gian sống thời thượng trong căn hộ sang trọng tọa lạc giữa tâm mạch phồn hoa “Quận mới” với CSBH chưa từng được công bố: 🔥 Chỉ cần thanh toán 20% GTCH, ký ngay HĐMB.🔥 Thanh toán bình quân ~2,3% GTCH/tháng bằng vốn tự có trong 15 tháng (tương đương 35% GTCH).🔥 Hỗ trợ lãi suất 0% dành cho 40% GTCH lên tới 48 tháng (không muộn hơn 20/04/2029).🔥 Ngoài ra, còn 3 phương án thanh toán được “đo ni đóng giày” theo từng nhu cầu thanh toán của khách hàng, giúp cư dân an tâm nhận nhà sớm. 🔥 Đặc biệt, cơ hội trúng thưởng Ô TÔ ĐIỆN VINFAST VF5 PLUS hưởng ứng Quỹ Vì tương lai xanh với tỷ lệ trúng cao chưa từng có. (*) 
",Căn hộ,,,, 02/10/2023,30/10/2023,Bán,2550181,Đông-Bắc,,,,,,,,,,,,,,
"
Bán nhà riêng Quận Thanh Xuân - Hà Nội giá 12.50 Tỷ
","
12,5
Tỷ ","
48
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Hoàng Đạo Thành']","
T1,T2,T3: Thông sàn, ô tô vào nhàT4,T5,T6: Mỗi tầng 2 phòng (Bếp tầng 6)T7: Phòng thờ, sân phơi
",Nhà riêng,,Sổ đỏ,, 20/10/2023,17/11/2023,Bán,2582363,,,,,,,,,,,,,,,
"
Cần cho thuê gấp căn 1Pn tại Tòa T11 - Vinhomes Times City
","
12
Triệu ","
53
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Vinhomes Times City'],"
Cho thuê căn 1Pn tại T11 của Vinhomes Times City  -Diện tích: 53m2 thiết kế 1Pn-1WC-Ban công hướng mát,tầng trung-Đầy đủ nội thất như ảnh  -Giá thuê:12tr/tháng - vào ở ngay 
",Căn hộ,,,, 19/10/2023,16/11/2023,Bán,2582108,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Bán nhà mặt phố view công viên Quận Hà Đông - Hà Nội giá 9.00 Tỷ
","
9 - 9,9
Tỷ ","
60
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà mặt phố tại Đường Kiến Hưng']","
Bán nhà phố mặt tiền ngay trung tâm Văn Phú View công viên– Diện tích : 60m nhà 5,5 tầng– Đường nhựa, đường rộng 18m dài thẳng tắp,– Nhà nằm giữa khu vực dân cư đông đúc, hàng xóm thân thiện– 5 Phòng ngủ ,3 WC , phòng thờ , sân phơi ,_ Có tum trồng cây xanh trên tầng thích hợp cho những người yêu không gian xanh_ Tương lai kinh doanh sầm uất ,tấp nậpGiá : 9 tỷxx
",Nhà mặt phố,,Sổ đỏ,, 19/10/2023,16/11/2023,Bán,2581982,,,,,,,,,,,,,,,
"
Bán nhà cách Hồ Tây 10m;45m2;ngõ 124 Thụy Khuê ,Hà Nội giá 1.95 Tỷ
","
1,95
Tỷ ","
45
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Nhà riêng tại đường Thụy Khuê']","
Cần bán gấpChỉ chưa đến 2 tỷ đã có nhà cách hồ tây 10m-vị trí đắc địa:ngay ngõ 124 Thụy Khuê,5m ra ô tô,10m ra HỒ TÂY,gió mát quanh năm,gần Lăng Bác,cấp 1,2,3 Chu Văn An-nhà 2 tầng,2 ngủ đầy đủ công năng:hiện đại,gọn gàng,mua là ở ngay-Diện tích thực tế 45m2,chính chủ cực chau chuốtEm Huy Địa Ốc Vàng (zalo):0941028***Liên Hệ em Huy để xem và trao đổi trực tiếp với chính chủ
",Nhà riêng,,Sổ đỏ,, 19/10/2023,16/11/2023,Bán,2581780,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0
"
Cần bán nhanh căn hộ 62m2 2N2VS full nội thất căn đẹp - giá 2 tỷ. CC Mipec Kiến Hưng Hà Đông
","
2
Tỷ ","
62
m2
",['Mua bán Căn hộ chung cư  Mipec City View'],"
Chủ nhà bán căn hoa hậu 2 ngủ tại Mipec Kiến Hưng, Hà Đông. - Diện tích 61,5m² căn góc 2 ngủ 2 wc. - Nội thất đầy đủ như mới chỉ cần xách vali về ở. - Tầng đẹp view đẹp, hướng mát. - Sổ đỏ cất két sẵn sàng giao dịch. - Giá thương lượng thoải mái. LH 0333846***
",Căn hộ,,Sổ đỏ,, 19/10/2023,16/11/2023,Bán,2581730,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Bán nhà riêng Quận Hoàng Mai - Hà Nội giá 7.40 Tỷ
","
7,4
Tỷ ","
88
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Nguyễn Chính']","
Nhà mặt phố - giá trong ngõ - kinh doanh ngày đêm.Nhà mặt phố Nguyễn Chính. Vị trí đắc địa đoạn đẹp nhất phố Nguyễn Chính, kinh doanh sầm uất, phố thông ra các đường trục chính...Gần BX Giáp Bát, Kim Đồng, Giáp Nhị, Tân Mai, giao thông thuận tiện khu vực sầm uất, tiện ích xung quanh không thiếu thứ gì.- Tầng 1: Gara oto riêng, kinh doanh, phòng Khách, bếp, wc.- Tầng 2: 2 phòng ngủ siêu rộng + 2wc.Sổ đỏ cất két sẵn sàng giao dịch.Liên hệ: 0937989***Miễn tiếp TG, MG.
",Nhà riêng,,Sổ đỏ,, 19/10/2023,16/11/2023,Bán,2581759,,,,,,,,,,,,,,,
"
Cần bán căn hộ 02PN 72m2 Ban công hướng mát - Thành phố Giao Lưu
","
Thỏa thuận
","
72
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Phạm Văn Đồng']","
Do chuyển lên căn hộ rộng hơn nên cần bán căn hộ 72m2 - Thiết kế: 1 phòng khách + khu bếp, 2 phòng ngủ, 2 WC, 1 ban công. Có thể sửa thành 3PN - Cửa chính hướng: Nam. ban công: Bắc. - Nội thất: full đẹp. - Có slot ô tô: -Tiện ích: Căn hộ khu nhà nằm chọn mọi tiện ích đồng bộ cùng quần thể KĐT thành phố giao lưu, dự án được thừa hưởng nhiều tiện ích xung quanh như trường học, bệnh viện, trung tâm thương mại, hồ điều hòa cây xanh, vườn hoa rộng rãi thoải mái cho trẻ nhỏ vui chơi.
",Căn hộ,,Sổ đỏ,, 19/10/2023,16/11/2023,Bán,2581727,Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Chung cư Phố Lạc Trung, 75m, 2 PN, tầng trung, giá 2 tỷ 7
","
2,7
Tỷ ","
75
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Căn hộ chung cư tại Phố Lạc Trung']","
Nhà ở ngay đầy đủ công năng. Vị trí trung tâm quận Hai Bà Trưng, tầng trung của tòa 15 tầng, nhà sở hữu 2 ban công phòng nào cũng thoáng sáng, hành lang rộng, hàng xóm toàn trí thức, xung quanh tiện tích bạt ngàn, gần trường học Lạc Trung, Bệnh viện Thanh Nhàn, CV Tuổi trẻ….Khu Lạc Trung, Minh Khai, Trần Khát Chân, Bạch Mai, Thanh NhànSổ đỏ cất kétLH : MR – Kiên – 0987209***
",Căn hộ,,Sổ đỏ,, 19/10/2023,16/11/2023,Bán,2581657,,,,,,,,,,,,,,,
"
Bán nhà mới xây Mỹ Đình, 32m, 5 tầng, 3,3m mặt tiền, 4 tỷ.
","
4
Tỷ ","
32
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Nhà riêng tại đường Mỹ Đình']","
- Chính chủ cần bán nhà vừa xây xong tại đường Mỹ Đình.- Ngõ xe ba gác đi thoải mái.- Nhà 2 mặt thoáng đón sáng.- Ra bến xe Mỹ Đình chỉ 600m.- Ra đường vành đai 3 chỉ 300m.- Sổ vuông vức sẵn sàng giao dịch luôn. * Thông số:Diện tích: 32m2Mặt tiền: 3,3mVới 7 phòng 4wc ngủ đầy đủ công năng sử dụng.Giá 4 tỷ (có thương lượng cho người thiện chí) Gọi ngay cho tôi: Mr Tài để xem nhà.( Không nhận làm việc qua trung gian )Cam kết ảnh thật, thông tin thật.
",Nhà riêng,,Sổ hồng,, 19/10/2023,02/11/2023,Bán,2581601,Bắc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Chính chủ cần bán căn 83m2 3 pn ban công ĐN toà TSG Lotus full nội thất giá 2.950tỷ
","
2,95
Tỷ ","
83
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Căn hộ chung cư tại Phố Sài Đồng']","
E cần bán căn 83m² view Vinhomes Riverside 2PN + 1 đa năng 2w, để lại full nội thất cao cấp.giá 3.3 ty bao phícan 83m ban công ĐN giá 2ty950 bao phíTiện ích xung quanh bể bơi 4 mùa t, phòng tập gym tiêu chuẩn 5 sao.Trường hoc từ mầm non đến 1 - 2 - 3 quanh toà.LH 0369 305 9***e Xoa để xem trực tiếp.
",Căn hộ,,Sổ hồng,, 19/10/2023,16/11/2023,Bán,2581607,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Bán chung cư IA20 Ciputra, 3 ngủ, 93 m2, giá 2.9 tỷ tại Bắc Từ Liêm - Hà Nội
","
2,87
Tỷ ","
92
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Phạm Văn Đồng']","
Tôi có 2 chung cư ở dự án IA20 Ciputra Bắc Từ Liêm không ở nên bán lại.- Căn tòa A2, DT 93m2, 3 PN, 2 WC, nhà mới tinh chưa ở (view ra sông Hồng cầu Thăng Long rất thoáng).- Căn 18 tòa B, DT 110m2, 3 PN, 2 WC, cửa vào hướng Tây Bắc ban công hướng Đông Nam (view nội khu).- Sổ đỏ chính chủ.Liên hệ trực tiếp: Mr. Thanh: 0382276***
",Căn hộ,,Sổ đỏ,, 19/10/2023,16/11/2023,Bán,2581612,Đông-Bắc,,,,,,,,,,,,,,
"
Bán căn hộ cao cấp TK1 Vinhomes Smart City giá 3.40 Tỷ view Bể bơi - tầng Trung
","
3,4
Tỷ ","
62
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Mua chung cư chuyển nhượng Vinhomes Smart City là lựa chọn thông thái cho các nhà đầu tư vì giá tốt và xem nhà thực tế.Nhận nhà ngayKính gửi quý khách hàng 1 căn Siêu Đẹp Tại TK1 Vinhomes Smart City Cập nhật 19/10/2023: Căn 2N2WC bên tòa TK1 trục 06 View Bể bơi, Phân Khu cao cấp.giải quyết vấn đề như: gần nhà để xe, gần trường. Ngoài ra còn rất nhiều căn khác mà không thể liệt kê hết ở đây với quỹ căn chuyển nhượng bên mình tại DỰ ÁN.Với gần 5 năm kinh nghiệm tư vấn căn hộ tại Smart City, chắc chắn sẽ giúp anh chị lựa chọn được phương án phù hợp và tối ưu nhất về tài chính. Gọi điện hoặc zalo để được tư vấn. alo là có căn. 
",Căn hộ,,Giấy chứng nhận quyền sở hữu,, 19/10/2023,16/11/2023,Bán,2581522,Đông-Bắc,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,
"
Bán nhà riêng Quận Thanh Xuân - Hà Nội giá 5.20 Tỷ
","
5,2
Tỷ ","
40
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Nguyễn Trãi']","
Diện tích: 40m2, nhà 4 tầng , mặt tiền 3.7m.T1: Khách, bếp, WC.T2,3: Ngủ + WC.T4: Phòng thờ, sân phơi.Sổ vuông vắn, sẵn sàng giao dịch.Liên hệ xem nhà : Tường Nguyễn 0842.810.7***có zalo.
",Nhà riêng,,Sổ đỏ,, 19/10/2023,16/11/2023,Bán,2581471,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Bán rẻ căn góc 3 phòng ngủ toà S2.11 Vinhomes Ocean Park, view siêu thoáng, nhà chưa ở, chỉ 2.5 tỷ
","
2,5
Tỷ ","
80
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Thông tin chi tiết:- Căn hộ thuộc toà S2.11, phân khu Sapphire 2 - KĐT Vinhomes Ocean Park, Gia Lâm, Hà Nội.- Tổng diện tích: 79.9 m.- Thiết kế: Phòng khách + bếp, 3 phòng ngủ, 2WC.- View cực thoáng đãng: Bể bơi ngoài trời, bể bơi 4 mùa.- Nội thất: Nguyên bản.- Giá bán: 2.5 tỷ, bao phí sang tên.Liên hệ: Phương Nhung- BĐS Nhà Mới.SĐT: 0966.330.***Email: phuongnhung@bdsnhamoi.vn
",Căn hộ,,Sổ hồng,, 19/10/2023,02/11/2023,Bán,2581455,Tây-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Bán Nhanh Căn 2N+1(64m2) - Full đồ xịn - Đông nam
","
2,73
Tỷ ","
64
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
QUỸ CĂN GÍA TỐT Hiện tạiStudio -    1,25 tỷ1n+1   -    1,7 tỷ 2n1     -    2,2 tỷ 2n2+1-    2,7 tỷ 3n2    -    3 tỷ (Tư vấn, xem nhà miễn phí)
",Căn hộ,,Sổ đỏ,, 19/10/2023,16/11/2023,Bán,2581472,Đông-Nam,,,,,,,,,,,,,,
