Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Đường vào,Mặt tiền,Số tầng,Nội thất,Số phòng ngủ
"
Nhanh tay mua nhà tại mặt phố Phùng Hưng - diện tích 151m2 - Mặt tiền 6m với mức giá chỉ 28 tỷ
","
28
Tỷ ","
151
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà mặt phố tại Phố Phùng Hưng']","
- Diện tích 151m2 X4 Tầng. Mặt tiền 6mGiá 28 tỷ ( có thương lượng ) - Vị trí đẹp nhất phố Phùng Hưng, mặt tiền rộng thênh thang, vỉa hè rộng xung quanh full tiện ích!- Thiết kế 4 tầng : 6 phòng ngủ ( có Gara ô tô và ô chờ thang máy )- Chủ mới về sơn lại vào ở luôn hoặc xây tòa nhà văn phòng hoặc nhà hàng kinh doanh hết ý!- Khu vực dân trí cao, an ninh đảm bảo!- Sổ đỏ chính chủ cất két sẵn sàng giao dịch.Liên hệ em Quân để được tư vấn và xem nhà 24/70385 94 1***!Miễn ( TG Quảng Cáo )
",Nhà mặt phố, 09/10/2023,06/11/2023,Bán,2562944,,,,,,,,,,,,,,,,,,,,,
"
Bàn nhà 2c Thổ Quan,MT 3,9m, KD, chính chủ miễn trung gian
","
6
Tỷ ","
30
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Đường Thổ Quan']","
Cần bán nhà số 2c ngõ Thổ Quan. Mặt ngõ to gần đường lớn, ô tô đi lại thoải, rất sầm uất và kinh doanh đượcDT 30m2 x 3 tầng. Tầng 2 35m2Mặt tiền 3m9. Sổ đỏ chính chủ.Giá : 6 tỷ (Có thương lượng) 
",Nhà riêng, 09/10/2023,06/11/2023,Bán,2562843,Sổ đỏ,,,,,,,,,,,,,,,,,,,,
"
Bán gấp căn LK Roman Plaza lô góc 90m2, 5 tầng, giá 18, x tỷ. Quý khách liên hệ: 0963989***
","
18,8
Tỷ ","
88,3
m2
","['liền kề  Roman Plaza', 'Mua bán Nhà biệt thự']","
Bán gấp căn LK Roman Plaza lô góc 90m², 5 tầng, giá 18, x tỷ. Qúy khách liên hệ: 0963 989 ***.Xây dựng: 5 tầng. Tổng diện tích xây dựng: 307,5m².Mặt tiền: 23 m - Có hộc chờ thang máy.Sổ đỏ cất két, vuông đét, tận dụng lợi thế Lô góc: Kinh doanh Cafe, văn phòng đại diện...Sổ đỏ cất két không vay ngân hàng - Sẵn sàng giao dịch.Giá bán: 18, x tỷ.Số em: 0963 989 *** (E Thành xem nhà 24/24h ạ).Anh chị search map theo địa chỉ này ạ: https://goo.gl/maps/97AkrdsCWEm3BYzr8
","Nhà biệt thự, liền kề", 25/09/2023,23/10/2023,Bán,2537442,,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
"
Chính chủ bán Căn Hộ giá rẻ K8- Phú Thượng – Tây Hồ, 35m2, 1 ngủ nhỉnh 700tr, full đồ cao cấp
","
700
Triệu ","
35
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Căn hộ chung cư tại Đường Phú Thượng']","
Do cần chuyển công tác tôi cần bán gấp Căn hộ cho gia đình trẻ muốn định cư tại Phú Thượng - Tây HồDiện tích: 35m2Thiết kế: 1 ngủ, 1 khách, 1 wcGiá 800trCăn hộ đã có full đồ nội thất cao cấp chỉ đến ở ngayCó thang máy, bảo vệ 24/24Cách Công viên nước Hồ Tây khoảng 2,5kmCách trung tâm thương Mại Lotte mall Tây Hồ khoảng 3kmCăn hộ vuông, sáng, thoángXem nhà: 0983 169 ***( xem nhà không mất phí)
",Căn hộ, 09/10/2023,23/10/2023,Bán,2562816,Sổ đỏ,Đông-Bắc,,,,,,,,,,,,,,,,,,,
"
Nhà đẹp xây mới độc lập (43m2, 4 tầng 4PN) mặt trục ngõ thông, KD nhỏ Mậu Lương - Xa La HN
","
4,15
Tỷ ","
43
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Mậu Lương']","
Nhà đẹp xây mới 1 căn độc lập và duy nhất (43m2*4T*4PN) mặt trục ngõ thông, KD nhỏ phố Mậu Lương - KĐT Xa La HN.- Diện tích 43m2, mặt tiền 3.6m vuông đẹp.* Nhà xây mới 5 Tầng thiết kế tầng lửng làm phòng khách, theo phong cách hiện đại, nội thất sang trọng cao cấp...-Tầng 1: Khu để xe riêng, Bếp + phòng ăn.-Tầng 2: Phòng khách tầng lửng + 1 phòng ngủ rộng.-Tầng 3 và 4: Gồm 3 PN rộng + 1 Phòng thờ / Tầng 5 phía trước phòng giặt + sân phơi. Sân sau trồng rau và cây cảnh...Tất cả các tầng đều có 2 mặt thoáng và ban công tiểu cảnh cực đẹp...* Nội thất: Ngoài cửa cuốn - trong cửa kính thủy lực, cửa thông phòng gỗ Lim, cửa sổ nhôm Việt Pháp, đèn led chiếu sáng tiết kiệm điện, cầu thang đá Granit, gạch lát chống xước loại A1, đường chờ nóng lạnh điều hòa, cáp quang, internet, điện nước đầy đủ... Chỉ việc dọn về ở ngay.* Vị trí: Nhà đẹp nằm sát trục đường lớn, đối diện sân bóng Mậu Lương, trục ngõ chính KD tốt, thông sang KĐT Xa La, đường 70 viện quân Y 103, chợ Hà Đông và Sở GTVT Hà Nội. Giao thông cực kỳ thuận tiện đi vào trung tâm thành phố.* Giá: 4,15 tỷ. Có thượng lượng với khách có thiện trí! (Miễn trung gian môi giới).- Quý khách quan tâm vui lòng liên hệ: Quang Minh /""Tận tâm - Chuyên nghiệp - Nới gửi trọn niền tin"".- Trân trọng cảm ơn quý bạn đã đọc tin!
",Nhà riêng, 09/10/2023,06/11/2023,Bán,1846366,,,,,,,,,,,,,,,,,"3,5m","3,6m",5,Cơ Bản,
"
Tòa CCMN (70m2*7T*17PKK) Ngõ thông ô tô tránh 20m, đối diện ga Văn Quán, Big C Hồ Gương Plaza HN.
","
11
Tỷ ","
70
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Trần Phú']","
Siêu Phẩm! Tòa CCMN (70m²*7T, 17PKK) full đồ nội thất cao cấp, (gác xép) đối diện ga Văn Quán, tàu điện trên cao Cát Linh - Hà Đông, ngay BigC Hồ Gươm Plaza đường Trần Phú - KĐT Văn Quán Hà Đông HN.* Thiết kế kiểu CHDV - chung cư mini, phù hợp cho người đầu tư cho thuê. Vị trí lý tưởng để kinh doanh cho sinh viên và hộ gia đình thuê, gần các trường đại học lớn: ĐH Kiến Trúc, Học viện CN Bưu Chính Viễn Thông, Học viện Y Học Cổ Truyền, Học viện An Ninh ND... ).* Nhà xây 7T tổng 17 phòng đang cho thuê kín (full đồ nội thất, cao cấp như: Giường, tủ, điều hòa, nóng lạnh, tủ lạnh, hút mùi... ). Thang máy loại 650 kg. Giá phòng cho thuê từ 4tr - 4,5tr triệu/tháng. Thu nhập tới 75 triệu/tháng (Cao hơn nhiều so với lãi suất ngân hàng).* Vị trí: Ngay gần mặt đường Trần Phú đối diện ga tầu điện trên cao ga Văn Quán Hà Đông, thông ra các trục đường lớn Nguyễn Trãi - Trần Phú, Tố Hữu - Vũ Trọng Khánh... Khu phố tập trung rất nhiều các trường ĐH Lớn, Dân cư đông đúc, có nhu cầu rất cao về thuê nhà trọ, đặc biệt là hộ gia đình nhỏ và sinh viên. Giao thông cự kỳ thuận tiện đi vào trung tâm thành phố bằng phương tiện công cộng: Xe bus, ga đường sắt trên cao Cát Linh - Hà Đông...* Giá: 11 tỷ. Có thương lượng với khách có thiện chí - (Miễn trung gian môi giới).- Quý khách quan tâm vui lòng liên hệ: Minh Ngọc ""Tận tâm - chuyên nghiệp - nơi gửi trọn niềm tin"".- Trân trọng cảm ơn quý bạn đã đọc tin!
",Nhà riêng, 09/10/2023,06/11/2023,Bán,2385873,Sổ đỏ,,,,,,,,,,,,,,,,,,,,
"
Tòa CCMN (70m2*7T*17PKK) ngõ thông ô tô tránh 20m, đối diện ga Văn Quán, BigC Hồ Gương Plaza HN.
","
11
Tỷ ","
75
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Trần Phú']","
Siêu Phẩm! Tòa CCMN (70m*7T*17PKK) full đồ nội thất cao cấp, (gác xép) đối diện ga Văn Quán, tầu điện trên cao Cát Linh - Hà Đông, ngay BigC Hồ Gươm Plaza đường Trần Phú - KĐT Văn Quán Hà Đông HN.* Thiết kế kiểu CHDV - chung cư mini, phù hợp cho người đầu tư cho thuê. Vị trí lý tưởng để kinh doanh cho sinh viên và hộ gia đình thuê, gần các trường đại học lớn: ĐH Kiến Trúc, Học viện CN Bưu Chính Viễn Thông, Học viện Y Học cổ Triền, Học viện An Ninh ND... ).* Nhà xây 7T tổng 17 phòng đang cho thuê kín (full đồ nội thất, cao cấp như: Giường, tủ, điều hòa, nóng lạnh, tủ lạnh, hút mùi... ). Thang máy loại 650 kg. Giá phòng cho thuê từ 4tr - 4,5tr triệu/tháng. Thu nhập tới 75 triệu/tháng (Cao hơn nhiều so với lãi suất ngân hàng).* Vị trí: Ngay gần mặt đường Trần Phú đối diện ga tầu điện trên cao ga Văn Quán Hà Đông, thông ra các trục đường lớn Nguyễn Trãi - Trần Phú, Tố Hữu - Vũ Trọng Khánh... Khu phố tập trung rất nhiều các trường ĐH Lớn, Dân cư đông đúc, có nhu cầu rất cao về thuê nhà trọ, đặc biệt là hộ gia đình nhỏ và sinh viên. Giao thông cự kỳ thuận tiện đi vào trung tâm thành phố bằng phương tiện công cộng: Xe bus, ga đường sắt trên cao Cát Linh - Hà Đông...* Giá: 11 tỷ. Có thương lượng với khách có thiện chí - (Miễn trung gian môi giới).- Quý khách quan tâm vui lòng liên hệ: Minh Ngọc ""Tận Tâm - Chuyên Nghiệp - Nơi Gửi Trọn Niềm Tin""- Trân trọng cảm ơn quý bạn đã đọc tin!
",Nhà riêng, 09/10/2023,06/11/2023,Bán,2384465,Sổ hồng,,,,,,,,,,,,,,,,,,,,
"
Bán căn góc 3 phòng ngủ toà S2.11, Vinhomes Ocean Park, hướng Đông Nam, View siêu đẹp, chỉ 2.6 tỷ
","
2,6
Tỷ ","
80
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Thông tin chi tiết:- Căn hộ thuộc toà S2.11, phân khu Sapphire 2 - KĐT Vinhomes Ocean Park, Gia Lâm, Hà Nội.- Tổng diện tích: 79.9 m².- Thiết kế: Phòng khách + bếp, 3 phòng ngủ, 2WC.- Hướng Đông Nam cực thoáng mát.- View cực chất: View công viên Masteri, biệt thự siêu đẹp.- Nội thất: Cơ bản.- Giá bán: 2.6 tỷ, bao phí sang tên.Liên hệ: Phương Nhung - BĐS Nhà Mới.SĐT: 0966.330.***Email: phuongnhung@bdsnhamoi.vn
",Căn hộ, 09/10/2023,23/10/2023,Bán,2562726,Sổ đỏ,Đông-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
"
Bán căn hộ 77m2 giá 3,3tỷ toà L2 tại dự án Le Grand Jardin Sài Đồng - Long Biên - Hà Nội.
","
3,3
Tỷ ","
77
m2
",['Mua bán Căn hộ chung cư  Le Grand Jardin Sài Đồng'],"
Dự án Le Grand Jardin nằm trong KĐT quy hoạch đẹp nhất Long Biên.+ Gần trường cấp 1,2 Nguyễn Bỉnh Khiêm, THCS tiểu học Sài Đồng.+ Gần Vincom Plaza, Aeon Mall Long Biên.+ Sát lối lên cầu Vĩnh Tuy 2 hoàn thành thông xe Tháng 9/2023.+ Mật độ thấp chỉ 84 - 140 căn/tòa.* Tại sao lên lựa chọn Le Grand Jardin là nơi an cư.- Cộng đồng cư dân văn minh, trung tâm.- Quần thể 9 tòa với hơn 50 tiện ích đẳng cấp.- Là dự án có quần thể và thiết kế cũng như chất lượng xây dựng đẹp nhất Sài Đồng.- Dự án đã hoàn thiện và khách hàng có thể nhận nhà ở ngay sau khi mua - Khách hàng có thể trực tiếp đến mục sở thị căn hộ mà mình quan tâm.+ Chỉ 10p di chuyển vào trung tâm Hà Nội.+ Cách Quốc lộ 5 chỉ 200m, di chuyển đến cao tốc, các tỉnh lân cận như Hải Dương, Hải Phòng, Bắc Ninh, Quảng Ninh, cực kì thuận lợi.+ Chỉ 30p ra đến sân bay Nội Bài.+ Giao thông công cộng phát triển, đường xá to rộng.* Chính sách vô cùng hấp dẫn:+ Chiết khấu thanh toán sớm 8,5 %.+ Chiết khấu thanh toán thường 6,5%.+ Hỗ trợ vay LS 0% /70% giá trị căn hộ /15 tháng.+ Tặng gói nội thất cao cấp trị giá từ 70 - 120 triệu đồng.+ Tặng 18 tháng phí dịch vụ.
",Căn hộ, 06/10/2023,03/11/2023,Bán,2558463,,,,,,,,,,,,,,,,,,,,,
"
Bán căn hộ chung cư Nơ 23 Pháp Vân Hoàng Liệt, Hoàng Mai
","
0,00175
Triệu ","
63
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Căn hộ chung cư tại Đường Trần Thủ Độ']","
Cần bán căn hộ Nơ 23, tầng 7, khu đô thị Pháp Vân, Hoàng Mai, Hà Nội.Diện tích ở: 63m2 gồm 2 phòng ngủ, 1 phòng khách, 1 nhà tắm, 1 ban công rộng rãi; phòng khách và phòng ngủ đều có cửa sổ lớn rất thông thoáng; hành lang rộng rãi thoáng gió. Nhà đã sơn sửa lại, để lại nội thất cơ bản (sofa, sàn gỗ, nóng lạnh, tủ bếp hút mùi, giường tủ,……).Tòa nhà có 1 tầng để xe và có bãi gửi xe ô tô ngay cạnh nhà, có thang máy và 2 thang bộ.Quần thể khu đô thị bao gồm: Biệt thự, chung cư, vườn hoa, sân chơi, trường mầm non, ngân hàng, nhà hàng, siêu thị mini. Khu đô thị có rất nhiều cây xanh, sân chơi, rất an toàn để tập thể dục và cho trẻ vui chơi.Khu đô thị được quy hoạch đồng bộ, giao thông thuận tiện.Các địa điểm gần nhà: Bến xe buýt ngay dưới chân tòa nhà, trường mầm non đạt chuẩn quốc gia (200m) 5 phút đi bộ, gần các trường tiểu học, THCS, THPT, gần chợ, gần trung tâm thương mại Thanh Trì (1km), gần bến xe Nước Ngầm (1km), bến xe Giáp Bát (3km), gần công viên Yên Sở (2km).Sổ đỏ chính chủ. Ban công hướng Đông Nam.Giá bán: 1.750 tỷ( SĐCC ) 
",Căn hộ, 09/10/2023,06/11/2023,Bán,2562677,Sổ đỏ,Đông-Nam,,,,,,,,,,,,,,,,,,,
