Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Hướng nhà,Số phòng ngủ
"
Sakura Vinhomes Smart City - phân khu duy nhất có bể bơi 4 mùa nội khu, phong cách Nhật Bản
","
Thỏa thuận
","
55
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Căn hộ chung cư tại Phường Tây Mỗ']","
  𝐍𝐡𝐚̣̂𝐧 𝐛𝐨𝐨𝐤𝐢𝐧𝐠 𝐒𝐀𝟏 - 𝐓𝐨𝐚̀ 𝐜𝐚̆𝐧 𝐡𝐨̣̂ 𝐜𝐮𝐨̂́𝐢 𝐜𝐮̀𝐧𝐠 𝐩𝐡𝐨𝐧𝐠 𝐜𝐚́𝐜𝐡 𝐍𝐡𝐚̣̂𝐭 𝐁𝐚̉𝐧 𝐭𝐚̣𝐢 𝐕𝐇𝐒𝐌𝐂  Phân khu The Sakura có nội khu đẹp nhất Vinhomes Smart City Thiên đường vui chơi Vườn Nhật nội khu rộng 1,1ha & hơn 20 tiện ích Phân khu duy nhất có bể bơi 4 mùa rộng 1.000m đẳng cấp Quốc tế Tâm điểm giáo dục với hệ thống 4 trường Vinschool ngay gần nhà SA1 là toà duy nhất còn lại tại phân khu The Sakura của CĐT Samty Cơ hội mua nhà từ móng đóng tiền giãn, thiết kế siêu đẹp, tối ưuLiên hệ em Hằng S103 09022203***trực dự án 24/7 ạVPBH trực tiếp CĐT: Trường Phát Land S205   
",Căn hộ, 09/11/2023,07/12/2023,Bán,2620610,,,
"
Bán chuyển nhượng căn hộ 2N2VS 63m2 góc phân khu S3 giá 2,8 tỷ có sổ đỏ
","
2,8
Tỷ ","
64
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Bán căn 2PN+ Siêu đẹp bên Phân Khu S3 Tòa có vị trí trung tâm Vinhomes Smart City 2N2VS diện tích 70m² tim tường , 63m² thông thủy. Ban công Đông Nam mát mẻ Phân khu S3 hiện đang rất hot với vị trí gần nhà xe , gần Vincom đang xây dựng Chủ nhà bán lại giá 2,8 tỷ nội thất đồ cơ bản (giá thị trường hiện tại 3-3,2 tỷ) Đã có sổ đỏ, giao dịch tại phòng công chứng Giá siêu tốt chỉ ngang giá chuyển nhượng bên s1,s2Liên hệ xem nhà gọi hoặc nhắn tin zalo 0974.750.***
",Căn hộ, 17/10/2023,14/11/2023,Bán,2578484,Sổ đỏ,Đông-Nam,
"
Chính chủ bán căn hộ 3pn vinhomes smart city giá 3.3 tỷ tầng trung, hướng mát, view thành phố về
","
1,8
Tỷ ","
80
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường 32']","
#Vinhomessmartcity Đại Đô thị thông minh đầu tiên Việt Nam, Trung tâm phía tây thành phố Hà Nội.
Tổng hợp quỹ căn #chuyểnnhượngVinhomesSmartCity giá tốt nhất:
Căn studio : 1.25 tỷ
Căn 1pn : 1.5 tỷ 
Căn 1pn +: 1.75 tỷ
Căn 2pn 1wc : 2.2 tỷ
Căn 2pn 2wc : 2.5 tỷ
Căn 2pn + : 2,6 tỷ
Căn 3pn : 3,3 tỷ
Liên Hệ : Hoàng  để được tư vấn và xem trực tiếp căn hộ
 
",Căn hộ, 09/11/2023,07/12/2023,Bán,2620518,Sổ hồng,,3
"
Chính chủ bán căn hộ 2pn rẻ nhất dự án vinhomes smart city giá 1,75 tỷ tầng trung, hướng mát,view
","
1,8
Tỷ ","
43
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường 32']","

#Vinhomessmartcity Đại Đô thị thông minh đầu tiên Việt Nam, Trung tâm phía tây thành phố Hà Nội.
Tổng hợp quỹ căn #chuyểnnhượngVinhomesSmartCity giá tốt nhất:
Căn studio : 1.25 tỷ
Căn 1pn : 1.5 tỷ 
Căn 1pn +: 1.75 tỷ
Căn 2pn 1wc : 2.2 tỷ
Căn 2pn 2wc : 2.5 tỷ
Căn 2pn + : 2,6 tỷ
Căn 3pn : 3,3 tỷ
",Căn hộ, 09/11/2023,07/12/2023,Bán,2620501,Sổ hồng,,2
"
Chính chủ bán căn hộ studio vinhomes smart city giá 1.25 tỷ tầng trung, hướng mát, view bể bơi
","
1,3
Tỷ ","
30
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường 32']","
#Vinhomessmartcity Đại Đô thị thông minh đầu tiên Việt Nam, Trung tâm phía tây thành phố Hà Nội.
Tổng hợp quỹ căn #chuyểnnhượngVinhomesSmartCity giá tốt nhất:
Căn studio : 1.25 tỷ
Căn 1pn : 1.5 tỷ 
Căn 1pn +: 1.75 tỷ
Căn 2pn 1wc : 2.2 tỷ
Căn 2pn 2wc : 2.5 tỷ
Căn 2pn + : 2,6 tỷ
Căn 3pn : 3,3 tỷ
 
",Căn hộ, 09/11/2023,07/12/2023,Bán,2620473,Sổ hồng,,1
"
Siêu vị trí - 15m ra phố - Gần trường Chu Văn An các cấp - QH ổn định - 36m2x4T, MT 3.5m - 5.9 tỷ
","
5,8 - 5,9
Tỷ ","
36
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Nhà riêng tại đường Thụy Khuê']","
* Diện tích 36m2 x 4 tầng, mặt tiền 3.5m. Giá chính chủ đặt 5.9 tỷ có thương lượng.  Nhà trong ngõ nông, thoáng, 15m ra đường Thụy Khuê. Ngõ xe máy tránh, đoạn trước nhà mở rộng 2,5m rất thoáng mát, để xe, quay xe thoải mái.Ngõ gần Sun Grand City 69 Thụy Khuê, gần TT Hội Phụ nữ VN 20 Thụy Khuê, dốc La Pho sang Ngọc Hà, Lăng Bác. Gần Hồ Tây, trường Mẫu Giáo, Trường TH cơ sở, TH Phổ thông Chu Văn An. Tiện ích bạt ngàn* Thiết kế: - Tầng 1 khách bếp, vệ sinh, để xe. - Tầng 2,3 : mỗi tầng 2 phòng ngủ ,vệ sinh ngoài. - Tầng 4 phòng thờ + sân phơi. * Sổ đỏ chính chủ, quy hoạch ổn định.* Liên hệ để xem nhà chính chủ miễn phí: Hoàng Việt  Tôi biết nhiều nhà cũng đang cần bán ở quận Ba Đình, Tây Hồ, Cầu Giấy, sẽ tặng các bạn thông tin miễn phí.
",Nhà riêng, 09/11/2023,07/12/2023,Bán,2620392,,,
"
40m2, MT 4.2 - Mộ Lao, Hà Đông - Kinh doanh tốt - Oto đỗ cửa - Nhỉnh 9 tỷ
","
9,8
Tỷ ","
40
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Đường Mỗ Lao']","
NHỈNH 9 TỶ NHÀ MỘ LAO KINH DOANH TẤP NẬP , 5 TẦNG MT 4.2M - Nhà đẹp ở ngay- Vị trí gần các trường đại học, giao thông thuận tiện, kinh doanh ngày đêm sầm uất- Nhà 5 Tầng, 40M, mặt tiền 4.2m, ngõ thông- Sổ đỏ sẵn sàng giao dịch ngayLiên hệ xem nhà Nhung 08761***79Hỗ trợ ngân hàng lên tới 80% 
",Nhà riêng, 09/11/2023,07/12/2023,Bán,2620332,Sổ đỏ,,
"
Bán Penthouse Iris Garden 185m2 ( Bàn giao thô) Thiết kế Duplex (Tầng 24 - 25) Hotline 0987106***
","
Thỏa thuận
","
185
m2
",['Mua bán Căn hộ chung cư  Iris Garden'],"
Bán Penthouse.  Iris Garden – Mỹ Đình thiết kế Duplex   Duy Nhất căn Penthouse bàn giao thô được bán ra ,với không gian sáng tạo riêng cho chủ nhà.------------------------------------------------------Tổng diện tích: 185m². Trong đó:- Diện tích tầng 1: 103m² - Tầng 2: 82m².- Diện tích khoảng sân vườn: 10m.Thiết kế: (4 phòng ngủ - 4 wc). Độ cao trần phòng khách: 6.6m. Mỗi tầng cao 3.3m.- Bàn giao: Thô  - không gian sáng tạo - Tầng 1: Thiết kế Phòng khách + bếp ( 2Pn + 2wc)- Tầng 2: Thiết 2Pn – 2wc có sân vườn riêng đi ra từ phòng ngủ masterBan công: Tây BắcChủ nhân sở hữu căn Penthouse có khoảng sân riêng bên trong căn hộ , thiết kế bên trong dạng Duplex không gian thoáng, giống như.  Căn. Biệt thự dưới mặt đất. Xung quang dự án đều có đầy đủ trường học, bệnh viên…. Bên trong nội khu có khuôn viên xanh ….Giá bán: 8,5 (tỷ).Hotline: Zalo/Viber: 0987 106 5***để nhận bản vẽ và thiết kế bên trong thực tếTrân trọng! 
",Căn hộ, 09/11/2023,23/11/2023,Bán,2591204,Sổ hồng,Tây-Bắc,
"
Bán Penthouse Sân vườn riêng 185m2 Iris garden - Mỹ Đình (bàn giao thô) thiết kế Duplex 4 Ngủ
","
Thỏa thuận
","
185
m2
",['Mua bán Căn hộ chung cư  Iris Garden'],"
Bán Penthouse.  Iris Garden – Mỹ Đình thiết kế Duplex   Duy Nhất căn Penthouse bàn giao thô được bán ra ,với không gian sáng tạo riêng cho chủ nhà.------------------------------------------------------Tổng diện tích: 185m². Trong đó:- Diện tích tầng 1: 103m² - Tầng 2: 82m².- Diện tích khoảng ban công 10m.Thiết kế: (4 phòng ngủ - 4 wc). Độ cao trần phòng khách: 6.6m. Mỗi tầng cao 3.3m.- Bàn giao: Thô  - không gian sáng tạo - Tầng 1: Thiết kế Phòng khách + bếp ( 2Pn + 2wc)- Tầng 2: Thiết 2Pn – 2wc có sân vườn riêng đi ra từ phòng ngủ masterChủ nhân sở hữu căn Penthouse có khoảng sân riêng bên trong căn hộ , thiết kế bên trong dạng Duplex không gian thoáng, giống như.  Căn. Biệt thự dưới mặt đất.  Xung quang dự án đều có đầy đue trường học, bệnh viên…. Bên trong nội khu có khuôn viên xanh ….Giá bán: 8,5 (tỷ).Hotline: Zalo/Viber: 0987 106 5***để nhận bản vẽ và thiết kế bên trong thực tếTrân trọng!
",Căn hộ, 09/11/2023,23/11/2023,Bán,2589874,Sổ hồng,Tây-Bắc,
"
[Đặc biệt] Cần bán Penthouse 303m2 Phố Duy Tân - Cầu Giấy toà Dreamland Bonanza (nhận bàn giao thô)
","
Thỏa thuận
","
303
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
Sở hữu Siêu phẩm biệt thự trên cao Penthouse/SkyVilla  Dreamland Bonanza ,Tầng 32 đẹp nhất phố Duy Tân, Cầu Giấy.Nơi hưởng thụ không gian sống riêng biệt – 1 cộng đồng  tinh hoa hội tụ.==========================Tổng diện tích: 303m2.- Diện tích tầng 1: 180m2 - Tầng 2: 120m.- Diện tích khoảng ban công chính:  17m.Thiết kế: (4 - 5 phòng ngủ - 5 WC). Độ cao trần phòng khách: 6.5m. Mỗi tầng cao 3.25m.- Bàn giao: Thô – Không gian sáng tạo- Có bể bơi, gym, golf mô phỏng, bóng bàn, yoga, sân chung nằm tại tầng 6 & 7 toà nhà.- Tầng 1 2 là khối thương mại, khu vui chơi, ngân hàng & Siêu thị đã đi vào vận hành.==========================Đặc biệt căn Penthouse sở hữu view siêu thoáng nằm trên tầng cao nhất toà nhà, view  Trường DH  Quốc Gia,  TP thành Phố.Ngoài ra có sẵn các tiện ích toà nhà chủ nhân được sử dụng miễn phí trong 2 năm.Chủ nhân sở hữu căn Penthouse được sử dụng thang riêng biệt. bên cạnh các công viên lớn như Hồ Skylake , Cv  cầu giấy……* Tặng lại bản vẽ thiết kế  3D cho khách mua Khách hàng quan tâm, muốn sở hữu căn nhà đẳng cấp trêm phố Duy Tân liên hệ em để xem nhà ạ.Hotline: Zalo/viber: 0987 106 ***Trân trọng!
",Căn hộ, 09/11/2023,23/11/2023,Bán,2524993,Sổ hồng,Đông-Bắc,
