Title,Price,Area,Address,Gen_descrip,Loại hình,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Hướng nhà,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bàn ghế P.khách,Số phòng ngủ,Đường vào,Mặt tiền,Số tầng,Nội thất,Căn góc
"
Căn hộ 1N + 1 43m2 view nội khu, thông thuỷ giá 2,3 tỷ Masteri West Height, Nam Từ Liêm, Hà Nội
","
2,3
Tỷ ","
46
m2
",['Mua bán Căn hộ chung cư  Masteri West Heights'],"
1 Căn 1N + 1 43 1 Bước ra bể bơi tầng thượng và vườn thượng uyển Masteri cực đẹp giá chỉ 2.3tỷ.- Với mức giá chỉ hơn 2,3 tỷ sở hữu ngay căn hộ 1PN + 1 cực rộng bàn giao full đồ cao cấp Masteri.- Bỏ ra hơn 500 triệu không phải trả gốc và lãi đến 2024.- Dễ dàng thiết kế thành 2PN với không gian + 1 cực rộng và thông minh.- View hồ cực đẹp dễ dàng cho thuê, làm homestay với thu nhập trung bình 800k - 1tr/ đêm.- Giải quyết vấn đề để xe với 2,5 tầng hầm đỗ xe.- Tiện ích đặc quyền đẳng cấp và sang trọng.- Bể bơi Panorama trên nóc toà tháp căn hộ kết hợp với vườn thượng uyển view toàn thành phố.- 1 bước xuống tầng 2 sử dụng phòng gym chuẩn quốc tế siêu rộng, rạp chiếu phim trong nhà, khu vui chơi trẻ em.- Nội khu rộng 1ha với bể bơi ngoài trời 1500m², sân thể thao, khu nghỉ thư giãn, thác nước ánh sáng, vườn không khí tươi, sân thiền,... Duy nhất tại Vinhomes Smart City.- Sảnh lễ tân, an ninh 24/7.- Vận hành chuẩn khách sạn 5 sao bởi The Marriott đêm lại trải nghiệm tốt nhất cho khách hàng.Liên hệ: 03958864***Nguyễn Nhung pkd để được tư vấn. 
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 13/11/2023,11/12/2023,Bán,2491632,,,,,,,,,,,,,,
"
Chỉ với 3tỷ4 sở hữu căn 2PN 2WC view hồ Phân khu Masteri duy nhất có 2 hầm để xe.
","
3,4
Tỷ ","
59
m2
",['Mua bán Căn hộ chung cư  Masteri West Heights'],"
Chỉ với 3tỷ1 sở hữu căn 2PN 2WC view hồ Phân khu duy nhất có 2 hầm để xe.- Vị trí gần hồ công viên trung tâm. Nhà để xe nồi.- Chất lượng xây dựng tốt với tường dày giúp cách âm cách nhiệt.- Bể bơi Panorama kết hợp vườn thượng uyển view toàn thành phố trên nóc tòa tháp căn hộ.- Nội khu đẳng cấp với bể bơi rộng 1500m², vườn không khí tươi, thác nước ánh sáng, thư viện ngoài trời, sân chơi trẻ em, khu biểu diễn nghệ thuật, cà phê ngoài trời,...- Phòng tập gym view hồ siêu rộng, rạp chiếu phim, khu vui chơi trẻ em ngay trong các toà căn hộ Masteri West Heights.- Không gian Business Central tinh tế đẳng cấp phù hợp làm việc, tiếp khách.- Vận hành chuẩn khách sạn 5 sao bởi the Marriott, lễ tân, an ninh 24/7.- Sân thể thao kết hợp nhiều bộ môn giúp cư dân rèn luyện sức khoẻ.- Khu nghỉ thư giãn giúp cư dân phục hồi thể chất và tinh thần sau 1 ngày làm việc mệt mỏi.Liên hệ pkd Masteri: 03958864***để được tư vấn chọn căn. 
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 13/11/2023,11/12/2023,Bán,2498193,Sổ hồng,,,,,,,,,,,,,
"
Bán nhà riêng Quận Hà Đông - Hà Nội giá thỏa thuận
","
Thỏa thuận
","
40
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Phường Mỗ Lao']","
Ngõ 58 thông sang Mỗ Lao và ngõ 108 Trần Phú. Đường rộng ô tô tránh đỗ, quay đầu thoải mái. Từ nhà ra ô tô chỉ vài chục mét. Gần hồ, gần sân chơi. Khu vực ăn theo KĐT Mỗ Lao, tiện ích không thiếu thứ gì.- Nhà mới xây được hơn năm, thiết kế mỗi tầng 2 phòng, tổng 4PN, PK, Phòng thờ, sân phơi.- Ngõ thoáng, ba gác tận cửa, cách 5m có sân để xe chung của 4 nhà. Cổng chung đêm khoá an toàn.- Sổ đỏ sẵn sàng. Hướng Đông Bắc.
",Nhà riêng,,,,,,,,, 13/11/2023,11/12/2023,Bán,2627854,,,,,,,,,,,,,,
"
Bán SkyVilla/Penthouse Bonanaza Q.Cầu Giấy 300m2 Nằm trên Phố Duy Tân - Cầu Giấy Ngày: 13/11/2023
","
Thỏa thuận
","
300
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
 Siêu phẩm Biệt thự trên cao Penthouse/SkyVilla Bonanza Thiết kế tầng 32 đẹp nhất Phố Duy Tân - Cầu Giấy.Nơi hưởng thụ không gian sống đẳng cấp - giới hạn - sang trọng ------------------------------------------------------Tổng diện tích: 300m². Trong đó:- Diện tích tầng 1: 180m² - Tầng 2: 120m².- Diện tích khoảng ban công 17m.Thiết kế: (4 - 5 phòng ngủ - 5 wc). Độ cao trần phòng khách: 6.6m. Mỗi tầng cao 3.3m.- Bàn giao: Thô.- Có bể bơi, gym, golf, bóng bàn, yoga, sân chung nằm tại tầng 6 7 toà nhà.- Tầng 1 2 là khối thương mại ngân hàng Siêu thị đã đi vào vận hành.Đặc biệt căn Penthouse sở hữu view siêu thoáng nằm trên tầng cao nhất toà nhà, view hồ skylake, công viên cầu giấy, trường ĐH FPT.Gia chủ có thể thưởng thức bình minh buổi sáng và ngắm hoàng hôn chiều trên căn Penthouse Full kính căn góc rộng.Ngoài ra có sẵn các tiện ích toà nhà chủ nhân được sử dụng miễn phí trong 2 năm.Chủ nhân sở hữu căn Penthouse được sử dụng thang riêng biệt.Khách hàng quan tâm, muốn sở hữu căn nhà đẳng cấp trêm phố Duy Tân liên hệ em để xem nhà:Hotline: Zalo/Viber: 0987 106 ***.Trân trọng! 
",Căn hộ,,,,,,,,, 16/10/2023,27/11/2023,Bán,2104778,Sổ hồng,Đông-Bắc,,,,,,,,,,,,
"
Bán nhà riêng Quận Đống Đa, 34 Phố Hoàng Cầu, nhà ngõ rộng to hơn phố.
","
Thỏa thuận
","
60 - 70
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Hoàng Cầu']","
Bán nhà riêng Quận Đống Đa, 34 Phố Hoàng Cầu, nhà ngõ rộng to hơn phố.Tầng 1 có 60m2, nhà xây 4 tầng kiểu pháp , ở trên là 70m trên sàn. Mặt tiền 4,8m giá 16 tỉ.Phố Hoàng Cầu tiện ích , gọi là ngõ rộng hơn phố, cạnh tòa nhà lớn, buôn bán gì cũng lời.Đường phố thông các ngả.Giá : 16 tỉLiên hệ Mr. Tuan Le
",Nhà riêng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 13/11/2023,11/12/2023,Bán,2627835,Sổ đỏ,Nam,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"
Bán nhà số 15/10 ngõ Gốc Đề, Minh Khai, Quận Hai Bà Trưng, dt 35m2 nhà 4 tầng đẹp, giá 3.15 Tỷ
","
3,15
Tỷ ","
35
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Gốc Đề']","
Bán nhà tại ngách 15/10 Ngõ Gốc Đề, Đường Minh Khai, Quận Hai Bà Trưng, Hà Nội. Diện tích 35m2 nhà 4 tầng nhà đẹp đang ở, mặt tiền 3.3m, hướng bắc, khu trung tâm đi lại thuận tiện, dân trí cao, sđcc. Giá bán: 3.15 tỷ. Liên hệ: 0978228***
",Nhà riêng,1.0,,,,1.0,1.0,1.0,1.0, 13/11/2023,11/12/2023,Bán,2627802,Sổ hồng,Bắc,1.0,1.0,,,,1.0,,,,,,
"
Bán nhà biệt thự Momota 151A Nguyễn Đức Cảnh, quận Hoàng Mai - Hà Nội, diện tích 143m2, giá 23 tỷ
","
23
Tỷ ","
143
m2
","['liền kề  Momota', 'Mua bán Nhà biệt thự']","
Bán biệt thự khu đô thị Momota 151A Nguyễn Đức Cảnh, Quận Hoàng Mai, Hà Nội. Diện tích 143m2 nhà 3,5 tầng, mặt tiền 9.5m, hướng nam, nhà đẹp đang ở có sân vườn, gara ôtô, đường hè rộng vị trí đẹp nhất khu đô thị tiện ở hoặc văn phòng công ty, sđcc. Giá bán: 23 tỷ.#banbietthunguyenduccanh
","Nhà biệt thự, liền kề",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 18/09/2023,11/12/2023,Bán,1872023,Sổ đỏ,Nam,1.0,1.0,1.0,1.0,1.0,1.0,4,9m,"9,5m",3,nhà đẹp,
"
Hot chính chủ bán !!! Bán nhà riêng 40m2 phân lô có đường rộng 5m tại ngõ 319 tam trinh
","
7,35
Tỷ ","
40
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Nguyễn Tam Trinh']","
chính chủ, bán cho bà nộiBán nhà phân lô khu Tam Trinh, Hmai, Hà nội. DT 40m², 4T có 4P ngủ, 1khach+bếp, 1tho+sân phơi, sổ đỏ, ô tô đậu cửa vỉa hè-đường 5m, tiện KD, VP, cho thuê. Trước nhà là sân rộng thoáng, giá nhỉnh chỉ hơn 7 tỉ có thương lượng- Khu dân trí an ninh ổn định tốt, gần chợ dân sinh và cách 500 siêu thị Mega, cách 400m chợ đầu mối phía Nam- Bán kính <3km tới ĐH kinh tế, Bách khoa, xây dựng, QTKD và các Bệnh viện Bách mai, Vietphap, Thanh nhàn, Vinmec....- Giao thông thuận lợi với các đường lớn: trục Tamtrinh-Loduc- Bờ hồ, Tamtrinh -Minhkhai-ngatuso,- Ra ngoại ô Tamtrinh- Phapvan, cầu Thanh trì, cầu Vĩnh Tuy- Cách cổng sau KDT Timecity 300m, đi bộ qua rất gần- cạnh ngay KDT Vĩnh Hoàng và hồ Vĩnh Hoàng rất tiện vui chơi và thể dục quanh hồ- Nhà năm trong khu ô bàn cờ, rất tiện thông nhau các ngõ 319, 293, 357 tam Trinh(ngõ thẳng chính 319) và thông ngõ 84, 72 lĩnh namAi có nhu cầu và thiện trí LH 0388 233 0***gặp chủ thượng lượng chi tiết
",Nhà riêng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 27/10/2023,24/11/2023,Bán,2590761,Giấy chứng nhận quyền sở hữu,Bắc,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"
Chủ cần bán căn hộ 2 phòng ngủ diện tích 72m2 tại Vinhomes Metropolis
","
7,5
Tỷ ","
72
m2
",['Mua bán Căn hộ chung cư  Vinhomes Metropolis'],"
Do chủ không có nhu cầu ở nên cần bán lại căn hộ 2 ngủ full đồ tại MetropolisThiết kế full nội thất cao cấpTầng cao, view thoáng, hướng mátAnh chị ib zalo để em gửi video thực tế ạ
",Căn hộ,,,,,,,,, 13/11/2023,11/12/2023,Bán,2627637,,,,,,,,,,,,,,
"
Bán căn nhà tại ngõ 300 phố bạch mai, hai bà trưng, 50m2, giá 5 tỷ 8
","
5,8
Tỷ ","
50
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phố Bạch Mai']","
Ngõ trước nhà ba gác, ngõ nông rất gần phố, 40M ra Bạch Mai, khu này sang khu Bách Khoa,Tạ Quang Bửu, Lê Thanh Nghị cực gần. Diện tích đất 50m2 đang là  nhà cấp 4. Phù hợp gia đình ở, đầu tư mua sửa làm căn hộ dịch vụ cho thuê, dòng tiền sinh lời hàng tháng rất ok. Chủ nhà xác định bán đất tặng nhà.
Ảnh minh họa
Sổ đỏ, nở hậu sang tên nhanh chóng
Giá Bán 5 tỷ 8
Chi tiết liên hệ Mr – Kiên – 
Chuyên thổ cư, còn hơn 200 nhà khu vực với nhiều mức giá,miễn phí dẫn khách xem nhà, tư vấn pháp lý
",Nhà riêng,,,,,,,,, 13/11/2023,11/12/2023,Bán,2627605,Sổ đỏ,,,,,,,,2,,,1,,
