Title,Price,Area,Address,Gen_descrip,Loại hình,Bình nóng lạnh,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Hướng nhà,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bàn ghế P.khách
"
Quỹ căn 4PN ngoại giao giá cực tốt dự án Berriver Jardin mua trực tiếp chủ đầu tư
","
6,9
Tỷ ","
180
m2
",['Mua bán Căn hộ chung cư  Premier Berriver Long Biên'],"
- Chính sách bán hàng tháng 08/2023.* Chiết khấu ngay 7% GTCH.* Nhận ngay quà tặng 2 chỉ vàng khi đặt cọc.* Quà tặng 100 triệu tháng ngâu trừ vào giá bán* Tặng SH trị giá 85 triệu* Tặng Voucher nội thất trị giá 50 triệu* Hỗ trợ lãi suất 0% trong vòng 18 tháng*** Bốc thăm trúng thưởng Oto Honda City trị giá 530 triệu và 19 giải thưởng giá trị khác cho 30 khách hàng đầu tiên* Bàn giao gói nội thất cao câp: Khóa Kadas, cửa lõi thép chống cháy, thiết bị Duravit, sàn gỗ bảo hành lên tới 20 năm.* Nhận bàn giao thô chiết khấu ngay 540 triệu đồng đối với căn 4PN.Quỹ căn 1PN - 1WC: 48m².- Quỹ căn 2PN view hướng Đông Nam & thành phố: 62m² - 64m².- Quỹ căn 3PN góc view sông Hồng: 83m², 100m², 110m².- Quỹ căn 4 phòng ngủ: 180m².Thông tin chi tiết vui lòng liên hệ ngay em Việt - phòng kinh doanh chủ đầu tư để lựa chọn được những căn hộ đẹp nhất, giá tốt nhất.
",Căn hộ,1.0,1.0,1.0,1.0,1.0, 14/11/2023,12/12/2023,Bán,1712875,,,,,,,,,,,
"
[ Bán Gấp] - Penthouse Dreamland Bonanza Số 23 Duy Tân - Cầu Giấy 300m2 (bàn giao thô)
","
Thỏa thuận
","
303
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
Siêu phẩm Biệt thự trên cao Penthouse Dreamland Bonanza nằm trên Phố Duy Tân - Cầu Giấy.Nơi hưởng thụ không gian sống Đẳng cấp - Giới hạn vị trí đẹp  quận Cầu GiấyToà nhà: Dreamland Bonanza Số 23 Duy Tân - Cầu Giấy ==========================Tổng diện tích: 300m². Trong đó:- Diện tích tầng 1: 180 m² - Tầng 2: 120 m²- Diện tích khoảng  ban công 17m².Thiết kế: ( 4 - 5 phòng ngủ -5 wc). Độ cao trần phòng khách: 6.7m. Mỗi tầng cao 3.3m.- Bàn giao : Thô - Có bể bơi, gym, golf, bóng bàn, yoga, sân chung nằm tại tầng 6 – 7 toà nhà.- Tầng 1 – 2 là khối thường mại ngân hàng – Siêu thị đã đi vào vận hành.==========================Đặc biệt căn Penthouse sở hữu view siêu thoáng nằm trên tầng cao nhất toà nhà, Không gian bên trong đều có cửa sổ rộng.Ngoài ra có sẵn các tiện ích toà nhà  chủ nhân được sử dụng miễn phí trong 2 năm.và sử dụng free phí DV 3 năm đầu.Chủ nhân  sở hữu căn Penthouse  được sử dụng thang riêng biệt.(ảnh thiết kế 3D ) Hotline: zalo/viber : 0987 106 ***Trân trọng !!! 
",Căn hộ,,,,,, 14/11/2023,28/11/2023,Bán,2629085,Sổ hồng,Đông-Bắc,,,,,,,,,
"
Bán Penthouse Mỹ Đình thiết Kế Duplex 185m2 Bàn giao thô Giá tốt cho khách Hotline 0987106***
","
Thỏa thuận
","
185,3
m2
",['Mua bán Căn hộ chung cư  Iris Garden'],"
Bán căn Penthouse - Mỹ Đình tầng 24 - 25 thông tầng. Bàn giao thô phiên bản giới hạn toà nhà.* Vị trí: Chung cư Iris Garden 30 Trần Hữu Dực Mỹ Đình.Căn penthouse thiết kế thông tầng.* Được bố trí là các căn góc với 2 mặt thoáng.* Tổng diện tích sàn 185m²:- Tầng 1 rộng 103m².- Tầng 2 rộng 82 m².* Căn penthouse được thiết kế cực đẹp, các phòng đều có ánh sáng và gió tự nhiên có khoảng sân vườn tầng 25. View thoáng..* Tầng 1: Có 2 phòng ngủ, 1 phòng khách, 1 phòng ăn, 2 WC, 3 logia.* Tầng 2: Có 2 phòng ngủ, 2WC + 1 sân vườn rộng.* Khu dân cư xanh - sạch - đẹp, an ninh 24/24, mát mẻ, có bể bơi ngoài trời và nhiều cây xanh có đường kính lớn. Có 4 tầng thương mại.* Là nơi có vị trí giao thông thuận lợi, cùng nhiều các nhà trường mẫu giáo Trung học uy tín hàng đầu Lê Quý Đôn, Đoàn Thị Điểm...* Có ban công, lô gia, hồ bơi, shophouse, sân vườn, nhà trẻ, Phòng khám ngay chân tòa nhà...* Đặc biệt cam kết cho 1 slot oto cho chủ nhà.- Giá: 8.5 (tỷ).Hotline: 0987 106 *** (Trung Kiên).
",Căn hộ,,,,,, 14/11/2023,28/11/2023,Bán,2261204,Sổ hồng,Tây-Bắc,,,,,,,,,
"
Bán căn BRG 3 phòng ngủ 120m2 tầng 30 cao, ban công nhìn ra hồ công viên Thanh Xuân
","
8,2
Tỷ ","
120
m2
",['Mua bán Căn hộ chung cư  BRG Diamond Residence'],"
Căn hộ BRG Lê Văn Lương nhận nhà ngay vào hoàn thiện nội thất đón TếtDiện tích 120m2 thiết kế 3 phòng ngủ 2 vệ sinh 2 ban côngTầng 30 cao thoáng, hoàn toàn không bị ảnh hưởng bởi tiếng ồn, bụi từ đường phốBan công Tây nam nhìn ra hồ công viên Thanh Xuân đẹpGiá bán: 8.2 tỷLiên hệ xem nhà: 0911.772.*** (em Ngọc)
",Căn hộ,,,,,, 14/11/2023,12/12/2023,Bán,2629070,,Đông-Bắc,,,,,,,,,
"
Tìm Chủ Nhân Căn Penthouse Mulberry Lane 480m2 Q.Hà Đông (Làng Việt Kiều Châu Âu - không Gian xanh)
","
Thỏa thuận
","
485
m2
",['Mua bán Căn hộ chung cư  Mulberry Lane'],"
𝕄𝕦𝕝𝕓𝕖𝕣𝕪 𝕃𝕒𝕟𝕖 – 𝕃à𝕟𝕘 𝕍𝕚ệ𝕥 𝕂𝕚ề𝕦 ℂ𝕙â𝕦 Â𝕦Mulbery Lane – Làng Việt Kiều Châu Âu, Siêu phẩm Penthouse đẳng cấp trên không – sân vườn riêng trên cao  đẹp nhất Quận Hà Đông .Không Gian thiết kế căn Penthouse  Mulbery Lane – Mộ Lao được  thiết kế. không gian sống “XANH” tiện ích đầy đủ giữa Thủ đô.====================Thông tin chi thiết:+ Diện tích căn hộ: 415m² + Diện tích sân vườn riêng:  70m² - Thiết kế : (4Pn – 5wc)==================== #  Đặc_biệt:  Được thiết kế phòng Masster King: >100m2.  Không gian riêng tư cho chủ nhân căn Penthouse “Rộng – thoáng – đẳng cấp”- (thiết kế mất 200tr decor rất đẹp tặng lại cho người mua).- Là 1 trong những căn penthouse cả HN gần như không có dự án nào có được diện tích lớn và giá tốt như vậy.- Không gian sống cực kỳ ấn tượng, dành cho những ai thích không gian rộng, mở, giếng trời vô cùng thoáng, tràn ngập ánh sáng.- Khoag sân vườn riêng rộng lớn chủ nhân thoả sức sáng tao cho căn Biệt thự trên không.Khu dân cư cao cấp có 54 tiện ích cao cấp:   Tìm hiểu ngay về siêu phẩm độc nhât  Hà Đông này !!! Hotline: 0987. 106. *** 
",Căn hộ,,,,,, 17/10/2023,28/11/2023,Bán,2137293,Sổ hồng,Đông-Bắc,,,,,,,,,
"
Siêu phẩm Penthouse The Zei toà nhà thẳng đứng đẳng cấp nhất Mỹ Đình Thiết kế Duplex tầng 40 - 41
","
Thỏa thuận
","
329
m2
",['Mua bán Căn hộ chung cư  The Zei Mỹ Đình'],"
Biệt Thự Nghỉ Dưỡng Trên Cao – Penthouse The Zei Plaza – Mỹ Đình   Penthouse The Zei nơi hưởng thụ không gian sống đẳng cấp giới hạn – riêng biệt – đẳng cấp. Với tầm view Full kính ngắm toàn thành phố. View toàn cảnh không gian mở.+ Penthouse  The Zei. Thiết kế Dạng Duplex – sân vườn ngoài trời, - Diện tích: 257m2 – 316m2 – 329m2  - Lầu  40 - 41  (phong thuỷ cực đẹp, 5 phòng ngủ, 5 toilet,-  Chiều cao trần 6,9m giúp cho phòng khách thông thoáng. Đầy sang trọng..   Hiện trạng bàn giao thô , Chủ nhận thoả sức không gian sáng tạo riêng theo Gu thẩm mỹ của mình Vị trí toà nhà là tâm điểm trung tâm Mỹ Đình. Tiền ích đầy đủ ,giao thông thuận tiện di chuyển đến các điểm khu vực TT Thành Phố, Với thiết kế nổi bật , các phòng được bố trí Full kính lấy ánh sáng từ bên ngoài,  Với Chiều dài ban công  sân vườn Siêu rộng. Được bố ngoài trời. trồng cây xanh mang không gian sống xanh riêng biệt cho căn Penthouse. Nhận thông tin mặt bằng – báo giá chi tiết từng căn !!!Hotline: 0987 106 *** trân trọng !!!
",Căn hộ,,,,,, 17/10/2023,28/11/2023,Bán,2110133,Sổ hồng,Đông-Nam,,,,,,,,,
"
Bán đất gấp Vân Nội – Đông Anh - Đường ô tô chỗ tránh nhau - Khu vực tiềm năng tăng giá cao
","
3,3 - 3,3
Tỷ ","
67
m2
","['Hà Nội', 'Huyện Đông Anh', 'Mua bán Đất tại Đường 23']","
🚗🚌🚖BÁN ĐẤT GẤP VÂN NỘI – ĐÔNG ANH -TRỤC CHÍNH LÀNG - ĐƯỜNG Ô TÔ CHỖ TRÁNH NHAU - - KHU VỰC TIỀM NĂNG TĂNG GIÁ CAO ĐÔNG ANH LÊN QUẬN👉Đường trước đất ô tô 7 chỗ tránh vào đất thoái mái trục chính làng👉Bán kính 500m bạt ngàn tiện ích. Chợ Vân Trì, Siêu thị, Ngân hàng, trường Cấp 1,2, đầy đủ. cạnh đường QL23.👉PHÁP LÝ SẠCH SỔ ĐỎ SẴN SÀNG GIAO DỊCH👉GỌI NGAY 24/24h
",Đất,,,,,, 14/11/2023,12/12/2023,Bán,2629037,Sổ đỏ,Nam,,,,,,,,,
"
Bán 90m2 đất ở Đức Giang Hoài Đức đường 3 ôtô tránh Kinh doanh mạnh giá 6tỷ.
","
6
Tỷ ","
90
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Đất tại Xã Đức Giang']","
Bán 90m2 đất ở Đức Giang Hoài Đức đường 3 ôtô tránh Kinh doanh mạnh giá 6tỷ.  + Vị trí nằm trên trục giao thông chính  thông đi khắp nơi.+ Cách trung tâm hành chính xã, trung tâm chợ, trường chỉ 500m, cách trường học các cấp  MN, 1,2,3 chỉ 300m..  Cơ hội đầu tư tăng lãi vốn là rất lớn khi Hoài Đức lên Quận vào năm 2025...LH: PHẠM VĂN TƯỞNG.- 0 CHÍN 8 MỘT 0 55 SÁU 5 BA.CHUYÊN NHÀ ĐẤT THỔ CƯ HÀ NỘIXem nhà 24/7 hoàn toàn Miễn PhíTẬN TÂM-UY TÍN-CHUYÊN NGHIỆP.
",Đất,,,,,, 14/11/2023,12/12/2023,Bán,2629150,,,,,,,,,,,
"
Bán căn hộ 3 ngủ BRG Le Grand Jardin Sài Đồng Long Biên - Hà Nội giá chỉ từ 4,2 tỷ
","
3,4 - 5,2
Tỷ ","
76 - 106
m2
",['Mua bán Căn hộ chung cư  Le Grand Jardin Sài Đồng'],"
Trực tiếp chủ đầu tư bán quỹ căn 3 ngủ.- Diện tích 85m2, 106m².- Thiết kế 3 ngủ 2 vệ sinh.- Hướng nhà đầy đủ cho khách hàng lựa chọn: Đông Nam, Đông Bắc, Tây Nam, Tây Bắc.- View hồ, view nội khu, view biệt thự Vinhomes Harmony.- Phòng khách cực rộng rãi và khu bếp riêng biệt.- Ban công nối liền phòng khách & Bếp.- Các phòng ngủ rộng rãi, thoải mái.- 2 phòng ngủ lô gia cực thoáng, 1 phòng ngủ có cửa sổ đón ánh sáng tự nhiên.+ Chính Sách bán Hàng mới nhất từ chủ đầu tư.Chiết khấu lên tới 9.5% GTCH.Vay Bank 0% -15 tháng.Tặng 15 tháng phí dịch vụ.Tặng Quà tân gia: 100tr.Sổ hồng lâu dài.Dự án đã bàn giao, nhận nhà ở ngay chìa khóa trao tay.Liên hệ ngay em Dung để nhận bảng giá và xem căn hộ. 
",Căn hộ,,,,,, 14/11/2023,12/12/2023,Bán,2629013,Sổ hồng,,,,,,,,,,
"
Bán căn hộ 3 ngủ BRG Le Grand Jardin Sài Đồng Long Biên - Hà Nội giá chỉ từ 4,2 tỷ
","
3,4 - 5,2
Tỷ ","
76 - 106
m2
",['Mua bán Căn hộ chung cư  Le Grand Jardin Sài Đồng'],"
Trực tiếp chủ đầu tư bán quỹ căn 3 ngủ.- Diện tích 85m2, 106m².- Thiết kế 3 ngủ 2 vệ sinh.- Hướng nhà đầy đủ cho khách hàng lựa chọn: Đông Nam, Đông Bắc, Tây Nam, Tây Bắc.- View hồ, view nội khu, view biệt thự Vinhomes Harmony.- Phòng khách cực rộng rãi và khu bếp riêng biệt.- Ban công nối liền phòng khách & Bếp.- Các phòng ngủ rộng rãi, thoải mái.- 2 phòng ngủ lô gia cực thoáng, 1 phòng ngủ có cửa sổ đón ánh sáng tự nhiên.+ Chính Sách bán Hàng mới nhất từ chủ đầu tư.Chiết khấu lên tới 9.5% GTCH.Vay Bank 0% -15 tháng.Tặng 15 tháng phí dịch vụ.Tặng Quà tân gia: 100tr.Sổ hồng lâu dài.Dự án đã bàn giao, nhận nhà ở ngay chìa khóa trao tay.Liên hệ ngay em Dung để nhận bảng giá và xem căn hộ. 
",Căn hộ,,,,,, 14/11/2023,12/12/2023,Bán,2629025,Sổ hồng,,,,,,,,,,
