Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Kệ TV,Tủ trang trí,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Bàn ăn,Giường ngủ,Bàn phấn,Tủ quần áo,Số phòng ngủ,Đường vào,Mặt tiền,Số tầng
"
Chính chủ cần bán căn hộ 3 phòng ngủ dự án Sunshine City dt 98m2, bàn giao nội thất CĐT
","
4,5
Tỷ ","
98
m2
",['Mua bán Căn hộ chung cư  Sunshine City'],"
Không có nhu cầu sử dụng cần bán căn hộ 3PN, 2VS tại dự án Sunshine City.Căn hộ có diện tích 98m², thiết kế phòng khách rộng, bếp giấu, 3 phòng ngủ đều có ánh sáng tự nhiên. Căn góc nên view rất thoáng.Nội thất bàn giao chủ đầu tư, nhà mới chưa ở.Giá bán 4,6 tỷ.LH: 0386974***
",Căn hộ,Sổ hồng,Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 06/11/2023,04/12/2023,Bán,2451771,,,,,,,,
"
Cần bán căn hộ 4PN + 3WC diện tích 127m2, ở ngay, giá hơn 3 tỷ, chung cư tecco garden thanh trì,
","
3,06
Tỷ ","
127
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Căn hộ chung cư tại Đường Quang Lai']","
Cần bán căn hộ 4PN + 3WC diện tích 127m2, ở ngay, giá hơn 3  tỷ, chung cư tecco garden thanh trì, gần nhà thi đấu- Trả trước chỉ 900 tr được nhận nhà ở ngay đã có sổ đỏ.- Mua chỉ cần trả trước 30% - 70% còn lại trả trong 2 năm, không mất lãi, không hồ sơ vay vốn- Giá bán 24tr/m² bao sổ.- Căn hộ 4 ngủ góc view cực đẹp.- Có hỗ trợ cho khách cần vay bank lãi suất 0%.- Nội thất: Đã có sàn gỗ, trần thạch cao, thiết bị wc, điều hòa, nóng lạnh, khóa thông minh và smart home...- Chung cư đầy đủ tiện ích.Anh chị quan tâm vui lòng liên hệ em Quý : 0985.920.03***0912.510.***
",Căn hộ,,,,,,,,,,,,, 06/11/2023,20/11/2023,Bán,2526948,,,,,,,,
"
Quỹ căn chủ đầu tư Tecco Garden ck 9%, hỗ trợ 0% lãi 18 tháng,ở ngay,có sổ, chỉ từ 3,2 tỷ/ 3pn+1
","
3,1
Tỷ ","
127
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Căn hộ chung cư tại Đường Quang Lai']","
Tecco Garden được đánh giá là dự án đáng sống nhất Hà Nội, dựa trên tiêu chuẩn cây xanh, công viên, không gian sống xanh.Chủ đầu tư Tecco chính thức thông báo khai trương căn hộ mẫu thực tế tại dự án và ra quỹ căn 3pn +1 đẹp nhất dự án vào chủ nhật ngày 25/06/2023 với rất nhiều ưu đãi cho khách hàng đăng ký sớm. Đặc biệt chỉ từ 3,2 tỷ sở hữu căn hộ 3PN+1, với giá hiếm hoi chỉ 25 tr/ m2.Chung cư Tecco Garden Thanh Trì nằm trong khu đô thị Tứ Hiệp, mở bán tung ra chính sách ưu đãi 9% cho 5 khách hàng cuối cùng đặt mua trong ngày mở bán.* Đóng 30 % nhận nhà ở ngay, còn lại thanh toán trong 24 tháng.* Hỗ trợ vay miễn gốc lãi trong đến 18 tháng.* Nhận nhà ở ngay* Sở hữu lâu dài.Đặc biệt cam kết mua lại sau 18 tháng theo nhu cầu của khách nếu khách có nhu cầu. ( áp dụng đến 15/8 )------------------------------* Diện tích căn hộ từ 127-141 m2- Mật độ cực thấp chỉ 25 tầng; 8 căn/sàn/; 4 thang máy- Nằm ngay trục chính Ngọc Hồi , Giải Phóng, Vũ Lăng, Trần thủ Độ----------------------------------* Bàn giao full nội thất nhập khẩu hiện đại:+ Cửa gỗ cao cấp,khóa từ, chuông cửa, cửa kính khung nhôm tĩnh điện, kính trắng an toàn ; sàn gỗ công nghiệp nhập khẩu dày 12mm, trần thạch cao, tường sơn bả, thiết bị chiếu sáng, truyền hình cap,+ Phòng tắm: Đầy giao đầy đủ thiết bị vệ sinh cao cấp , vách tắm, bình nóng lạnh, tủ lavabo...----------------------------------------* Tiện ích đặc quyền nội khu: Gym, fitness,yoga, khu vui chơi trẻ em , đường dạo bộ...* Công viên hồ điều hòa, khu cây xanh bãi đỗ xe, khu vui chơi trẻ em...Hệ thống giáo dục hàng đầu: Các trường công lập,Ngô Sỹ Kiện , Trường chuyên Chu Văn An ....Hệ thống bệnh viện uy Tín: Bệnh viện Nông Nghiệp,Bệnh Viện Nội Tiết Tw, bệnh viện Bạch Mai ...Liên Hệ Chủ Đầu Tư để nhận các ưu đãi: 0985.920.03***Mr. QUÝ.
",Căn hộ,,,,,,,,,,,,, 06/11/2023,20/11/2023,Bán,2528007,,,,,,,,
"
Mở bán Chung cư Tecco Garden 127 m2, 3 pn +1 , ở ngay, đã có sổ, giá 25 tr/ m2
","
3,3
Tỷ ","
127,5
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Căn hộ chung cư tại Xã Tứ Hiệp']","
 Trực tiếp cđt mở bán căn hộ chung cư Tecco Graden.   Diện tích : 128 m2, 4 pn, 3 vs. Giá : 3,3 tỷ . Căn hộ ở ngay, đã có sổ.Nội thất: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, điện , sơn, cửa hoàn thiện....- Cạnh trụ sở công an huyện, ngay gần sân vận động Thanh Trì.- Tiện ích nội khu đầy đủ: Siêu thị Vinmart, ngân hàng, phòng Gym, Spa, Yoga, khu vui chơi trẻ em, công viên nội khu.- Cạnh trường học các cấp chuẩn quốc gia, gần trung tâm hành chính huyện Thanh TrìLH xem nhà trực tiếp: 0985.920.03***0912.510.***
",Căn hộ,Sổ đỏ,,1.0,,,,,1.0,1.0,1.0,1.0,, 06/11/2023,20/11/2023,Bán,2451171,,,,,,,,
"
Bán gấp căn góc 3 ngủ 98m2 giá 3 tỷ view sông tại chung cư eurowindow river park
","
3
Tỷ ","
98
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Eurowindow River Park'],"
Chuyển nhượng gấp căn góc 3 ngủ DT 98m2 giá 3 Tỷ hướng đông nam view sôngMua xong nhưng do chuyển công tác không sử dụng đến nên muốn chuyển nhượng lại cho khách hàng cần - Vị trí đắc địa: Đường Trường Sa, Hà Nội (chân cầu Đông Trù)🍀 Thông tin chi tiết căn hộ: 🍀 Diện tích thông thủy: 98m2 )🍀 Thiết kế : 3 ngủ + 2 Wc👉🏻 Căn góc hướng đông nam view sông 👉🏻 Giá bán chỉ 3 tỷ nhận nhà ở luôn🔥 Tiện ích dự án chung cư eurowindow river park đầy đủ :✔️ Các trường Mầm Non, Tiểu Học, THCS đi bộ 200m.✔️ Bể bơi 4 mùa có mái che tiện nghi, phòng tập GYM, Yoga...✔️ Vườn dạo bộ trên caob tầng 4.✔️ Khu vui chơi trẻ em đa dạng các trò chơi thú vị.✔️ 137 căn ShopHouse chân đế vừa ở và kinh doanh✔️ Đại siêu thị WINMART+ rộng 1700m2.✔️ Đã vận hành ổn định và đón hơn 70% cư dân về sinh sống.🔎 Sở hữu 3 mặt View Sông Hồng và Sông Đuống, View Cầu Đông Trù đẹp nhất Long Biên🔎 Không gian sống trong lành, thoáng mát để tránh xa các khu công nghiệp và chật chội trong phố đảm bảo sức khỏe cho các con, nơi nghỉ ngơi sau 1 ngày làm việc dài mệt mỏi, thức dậy hưởng thụ không khí trong lành bên song ..🌿Eurowindow River Park – Chung cư cao cấp - Giá bình dân!Website: http://chungcunhadat.vn/chung-cu-eurowindow-river-park-dong-anh#eurowindowriverpark #chungcueurowindowriverpark #chungcucaudongtru #chungculongbien #canho3ngulongbien #canho2ngulongbien #eurowindowhoilding 
",Căn hộ,Sổ hồng,Đông-Nam,1.0,1.0,1.0,,,,1.0,1.0,1.0,, 06/11/2023,20/11/2023,Bán,2254466,,,,,,,,
"
Bán căn góc Full đồ 3 Ngủ DT 82m2 giá 2.1 tỷ chung cư eurowindow River Park Đông Trù
","
2,1
Tỷ ","
82
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Eurowindow River Park'],"
Gia đình tôi không có nhu cầu sử dụng nên cần sang nhượng lại căn góc đẹp hoàn thiện FULL đồ nội thất diện tích 82m2 ( 3 ngủ ) tại chung cư tại Eurowindow River Park.*Thông tin chuẩn căn hộ muốn bán- Diện tích: 82m2 gồm 3 phòng ngủ, 2 phòng tắm, phòng khách, bếp.- Tất cả các phòng đều có cửa sổ thoáng.- Logia thông thoáng.- Nội thất cao cấp hoàn thiện ( Sàn gỗ, trần thạch cao, thiết bị chiếu sáng, điều hòa âm trần, bếp, tủ bếp, hút mùi, nóng lạnh, thiết bị vệ sinh, giường tủ, bàn ghế, ........)- Đảm bảo tài chính bỏ ra hoàn toàn xứng đáng với chất lượng và nội thất đầu tư của gia chủ.*Giá chuyển nhượng 2.2 tỷ ( xem nhà ok và thương lượng với khách thiện chí )* Hệ thống tiện ích: Tổng hợp hưởng thụ có đến hơn 15 tiện ích nội khu tại xung quanh dự án- Bể bơi 4 mùa- Gym, Yoga, Spa, .- Vườn dạo bộ và khu thể thao ngoài trời - Gần trường học các cấp.- Chợ dân sinh- Hệ thống các dự án lớn như: Vin cổ loa, khu đô thị Smart City, Bệnh viện quốc gia, Trung tâm triển lãm quốc gia, các dự án khác của các chủ đầu tư lớn, .....* Liên hệ em ngay để đến xem căn hộ thực tế.Mr. chủ nhà: 0911339***  (Zalo, Viber). 
",Căn hộ,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0, 06/11/2023,20/11/2023,Bán,2266648,1.0,1.0,1.0,1.0,,,,
"
Mua căn hộ 2 ngủ 68m2 giá 2 tỷ tại chung cư eurowindow river park liên hệ: 0911339***
","
2 - 2,8
Tỷ ","
68 - 98
m2
",['Mua bán Căn hộ chung cư  Euro River Park'],"
Mua nhà ở luôn căn 2 ngủ, diện tích 68m2 giá 2 tỷ chung cư Eurowindow River Park có cơ hội nhận quà tặng lên đến 1.4 tỷ đồng ( Xe mazda , Xe SH 150i, Ti Vi, .)Cách phố cổ chỉ có 15 phút đi xe máy và đi lên sân bay Nội Bài chỉ có 20 PhútNằm vị trí trung tâm ngay chân cầu Đông Trù với tầm View không có che chẵn ra sông Hồng, sông Đuống+ Với thiết kế dạng các loại căn hộ cho khách hàng thoải mái lựa chọn từ 2PN+ 2VS ( 63m2  71m2), 3PN +2VS ( 77m2  98m2 )+ Bàn giao căn hộ nội thất liền tường, gồm sàn gỗ, trần thạch cao, cùng thiết bị điện, đèn led, tủ bếp trên dưới + bếp từ, nóng lạnh, đầu chờ điều hòa.+ Ký hợp đồng trực tiếp CĐT+ Chiết khấu lên tới 24% khi thanh toán sớm bằng vốn tự có  + Hoặc hỗ trợ vay 65% GTCH  với hỗ trợ lãi suất 18 tháng + ân hạn gốc  + Nhận nhà ở luôn không phải đợi chờ lâu như dự án khác, sử dụng ngay hệ thống tiện ích đã được hoàn thiện một cách đồng bộ tại dự án và xung quanh lân cận.+ Tiện ích gần chợ, trường mầm non + cấp 1, 2 ngay chân toà nhà, trước tòa nhà là đường Trường Sa, giao thông thuận tiện đi các tỉnh, như Bắc Ninh, Bắc Giang, Hưng Yên, Vĩnh Phúc, Thái Nguyên,+ Anh (chị) quan tâm xin LH: 09 1133 91***để xem căn hộ trực tiếp tại dự án. 
",Căn hộ,Sổ hồng,,1.0,1.0,1.0,,,,1.0,1.0,1.0,, 06/11/2023,20/11/2023,Bán,2143412,,,,,,,,
"
Bán nhà biệt thự song lập tại dự án The Diamond Point Long Biên diện tích 145m2
","
Thỏa thuận
","
145
m2
","['liền kề  The Diamond Point', 'Mua bán Nhà biệt thự']","
Chuyền nhượng suất ngoại giao đẹp nhất tại dự án The Diamond point.Vị trí tặng trưởng: Đường Nguyễn Lam, Phúc Đồng, Long Biên, Hà Nội ( đối diện KĐT Vinhomes The Harmony).Biệt thự song lập 2 mặt tiền thoáng diện tích 145m2. Thiết kế đẹp xây dưng 4 tầng cao, hoàn thiện mặt ngoài, vị trí đẹp nhất dự án đối diện với khu vườn hoa hướng ban công tây - nam.Quy mô dự án: Chỉ có 126 lô đất ( Shophouse, liền kề và biệt thự song lập )Xây dựng thành biệt thự song lập với 2 mặt thoáng rộng: Mặt trước 8m – chiều dài 18m, xây dựng 4 tầng cao.Dự án được quy hoạch cực đẹp: Hệ thống khu vui chơi, vườn hoa dạo bộ, công viên cây xanh tạo ra khu vực có cuộc sống an lành, Trường mầm non, Cấp 1, Cấp 2 và Cấp 3; Vườn hoa; Công viên; 7 tòa chung cư. Quy hoạch hệ thống cơ sở hạ tầng đường lớn rộng 30m và đường nội bộ 13m.Pháp lý: Sở hữu lâu dài.
","Nhà biệt thự, liền kề",,Tây-Nam,,,,,,,,,,, 06/11/2023,20/11/2023,Bán,1770312,,,,,4,10m,8m,4
"
Full quỹ căn 2PN/3PN/Dualkey dự án The Matrix One cần bán và cho thuê giá tốt nhất thị trường
","
5,1
Tỷ ","
88
m2
",['Mua bán Căn hộ chung cư  The Matrix One'],"
Em đang có Full quỹ căn 2PN/3PN/Dualkey cần bán tại The Matrix One giá tốt nhất thị trường anh chị em có nhu cầu liên hệ 09617665***ạ.* Căn hộ chuyển nhượng:- Căn 2PN: Giá từ 5.1 tỷ.- Căn 3PN view thành phố giá từ 6,9 tỷ.- Căn 3PN view công viên giá từ 7.5 tỷ.* Căn hộ cho thuê:- Căn 2PN - 88m2: Giá từ 15tr: Cơ bản 15tr/ Full 20tr- Căn 3PN - 112m2: Giá từ 23tr: Cơ bản 23tr/Full 25trCăn thật giá thật, có sẵn hàng, nói không với đăng ảo câu like. Quý khách có nhu cầu liên hệ: 0961766***.Có kết hợp sale cơ chế 50/50. Có nhu cầu inbox vui lòng không chếch choác.
",Căn hộ,,,,,,,,,,,,, 06/11/2023,04/12/2023,Bán,2176999,,,,,,,,
"
Sở hữu căn góc 3 ngủ 105m2 view công viên, full nội thất cao cấp, nhận nhà ở ngay,CK 21,5%,HTLS 0%
","
3,4
Tỷ ","
105
m2
",['Mua bán Căn hộ chung cư  Sunrise Garden (Bình Minh Garden)'],"
* Thông tin căn hộ:- Căn hộ 104,12m² thiết kế 3 ngủ, 2 vệ sinh, 1 ban công, 1 logia.- View sông, công viên nội khu dự án thoáng mát thơ mộng.- Thiết kế tối ưu công năng sử dụng, ban công trải dài vừa hút gió, vừa tạo ánh sáng cho các phòng.- Bếp thông ban công trực tiếp lấy ánh sáng thoáng ko bí mùi.- View đường 17m nội khu, view công viên cây xanh.- Gần thang máy, thang bộ, xa phòng rác. Yên tâm sinh hoạt.- Nội thất bàn giao full liền tường cao cấp: Sàn gỗ, trần thạch cao, full thiết bị vệ sinh Toto, vách tắm kính, bình nóng lạnh, điều hòa tất cả các phòng, tủ quần áo phòng ngủ chính, bếp, tủ bếp, hút mùi khóa 4 chức năng, chuông hình.- Sảnh tòa nhà hiện đại theo phong cách khách sạn 5 sao, điều hòa hành lang.- Thang máy ốp gỗ tiêu chuẩn khách sạn 5 sao. Sảnh louge, lễ tân phục vụ 24/7.- Kí HĐ trực tiếp CĐT, nhà mới nguyên bản CĐT.- Nhận nhà ở ngay, đã có biên bản nghiệm thu pccc, biên bản nghiệm thu chất lượng công trình.- Quỹ căn trực tiếp CĐT:+ Căn 2PN 73m - 75m²: Chỉ từ 2,7 tỷ.+ Căn hộ 3PN 92m - 94m - 105m²: Từ 3 tỷ.(Giá bao gồm full nội thất cao cấp).Liên hệ phòng kinh doanh tư vấn và thăm quan căn hộ mẫu: 0378 166 ***call, SMS, zalo).-----------------------------------------------* Chính sách ưu đãi:- Chính sách CK tới 21,5%, nhận nhà ở ngay đóng 95% GTCH.- Hỗ trợ vay 0% 12 tháng ân hạn nợ gốc.- Miễn phí 24 tháng dịch vụ vận hành.-----------------------------------------------* Tiện ích nổi bật:- Vị trí đắc địa cách 15 phút di chuyển tới Hồ Gươm trung tâm TP, 10 phút cầu Vĩnh Tuy.- Hệ thống tiện ích nổi bật tại dự án: Gym, yoga center, spa.+ Nhà trẻ tầng 2 510m, trường mầm non, liên cấp 1,2,3, bể bơi,.+ Phòng sinh hoạt cộng đồng tầng 2: 410 m.+ Hệ thống shophouse + 2 tầng thương mại, dịch vụ hiện hữu có sẵn.- Giao thông liên kết vùng đắc địa, tiện ích đẳng cấp:+ Chỉ mất 5 phút di chuyển đến các TTTM lớn như Aeon, Savico, Vincom.+ Tiện ích dân sinh xung quanh khu vực đa dạng: Bv Đức Giang, Bv Tâm Anh, chợ dân sinh, ngân hàng, dịch vụ ăn uống,...-------------------------------------------------* Hotline phòng kinh doanh của CĐT: 0378 166 107***Ms. Nhung (Call. SMS. Zalo) để nhận phiếu tính giá và thăm quan căn hộ thực tế (24/7).
",Căn hộ,Sổ hồng,Đông-Nam,,,,,,,,,,, 31/10/2023,14/11/2023,Bán,2602832,,,,,,,,
