Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Mặt tiền,Số tầng,Nội thất,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Số phòng ngủ,Hướng ban công,Căn góc
"
Chính chủ cần bán CC Victoria Văn Phú - Hà Đông 97m2
","
Thỏa thuận
","
97
m2
",['Mua bán Căn hộ chung cư  Văn Phú Victoria'],"
Chính chủ cần bán căn hộ 97m² chung cư Văn Phú Victoria Hà Đông.- Diện tích 97m², thiết kế 2 phòng ngủ, 2 WC.- 2 phòng ngủ rộng (có thể sửa thành 3 ngủ).- Để lại nội thất đầy đủ, khách mua về ở luôn được.- Toà chung cư đầy đủ tiện ích: Bể bơi, Phòng tập Gym, sân chơi.- Khu chung cư Victoria Hà Đông nằm trung tâm quận Hà Đông ngay trục đường huyết mạch Lê Trọng Tấn, nằm trong quần thể khu đô thị Văn Phú. Gần Metro Hà Đông, UBND Quận Hà Đông. Xung quanh bán kính 1km đầy đủ tiện ích công viên bệnh viện, trường cấp 1, 2, 3, mầm non.- Đã sẵn sổ đỏ, giá thỏa thuận.Liên hệ chính chủ để giao dịch.
",Căn hộ,Sổ đỏ,Đông-Nam, 04/11/2023,02/12/2023,Bán,2610501,,,,,,,,,,,,,,,,,,,,
"
ThanhNhàn- Hai Bà Trưng,32m2*6tầng, nhỉnh 5tỷ.
","
5,6E-05
Triệu ","
32
m2
","['Hà Nội', 'Mua bán Nhà riêng tại Quận Hai Bà Trưng']","
🌹🌹 EM GÁI MẶT PHỐ - 6 TẦNG ĐẸP LUNG LINH - VỀ Ở NGAY  🌹🌹🌹+ Nằm cách phố 1 nhà, khu trung tâm tiện ích ngập tràn, hàng xóm thân thiện, ở sướng.+ Sổ đỏ vuông đẹp nằm két sẵn sàng sang tên chủ mới.📲 0️⃣8️⃣8️⃣8️⃣8️⃣4️⃣3️⃣4️⃣4️⃣3️⃣(Ảnh thật 100%)
",Nhà riêng,,, 04/11/2023,02/12/2023,Bán,2610458,,,,,,,,,,,,,,,,,,,,
"
Bán đất 72m2 cửu việt , trâu quỳ, Huyện Gia Lâm - Hà Nội giá 5.04 Tỷ
","
5,04
Tỷ ","
72
m2
","['Hà Nội', 'Huyện Gia Lâm', 'Mua bán Đất tại Đường Cửu Việt 1']","
Bán 72m2 đất tổ dân phố Cửu Việt , Tt Trâu Quỳ Gia LâmMặt tiền : 4.5m hậu 4.5mĐường trước nhà ô tô đỗ cửa trải nhựaKhu dân cư đông đúc , đông sinh viênNgay gần trường học viện nông nghiệp 1 , cách vinhomes ocean pảkr 800mPháp lý sổ đỏ chính chủGiá bán : 70tr/m2Lh : Mr Thăng
",Đất,Sổ đỏ,Bắc, 04/11/2023,02/12/2023,Bán,2610573,,,,,,,,,,,,,,,,,,,,
"
Bán nhà mặt phố Thọ Lão cắt phố Lò Đúc 32m²,xây kiên cố 3 tầng,mặt tiền 3,5m nhỉnh 5tỷ.sổ đỏ vuông,
","
5,6
Tỷ ","
30
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà mặt phố tại Đường Dốc Thọ Lão']","
Bán nhà mặt phố Thọ Lão cắt phố Lò Đúc 32m²,xây kiên cố 3 tầng,mặt tiền 3,5m nhỉnh 5tỷ.sổ đỏ vuông, không quy hoạch, vị trí đắc địa kinh doanh mặt hàng gì cũng được. Lh ngay ,chậm mất lượt ạ.
",Nhà mặt phố,Sổ đỏ,, 04/11/2023,02/12/2023,Bán,2610288,5m,5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Bán
Nam Dư 109 m²,4 tầng, mặt tiền 4 m,giá chỉ 9,4 tỷ
","
9,2 - 9,4
Tỷ ","
109
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà mặt phố tại Đường Nam Dư']","
NHÀ MẶT PHỐ CHÍNH ÔTÔ HAI CHIỀU ,CẦN BÁN GẤP  Nam Dư 109 m²,4 tầng, mặt tiền 4 m,giá chỉ 9.4 tỷ Mô tả:,+ Nhà chủ xây dựng được hơn năm khung cột bê tông chắc chắn, khách mua về vừa ở vừa kinh doanh. Hoặc đập đi xâytoàn văn phòng đẹp tuyệt vời.,+ Vị trí mặt phố, Kinh doanh bất chấp, Hiện tại đang là 2 khối 1khổi nhà C4 bên ngoài cho thuê, 1 khối nhà tầng chủ đang ởbên trong.,+ Thiết kể:,-Tâng 1: cho thuê inh doanh+ phòng khách + bếp + WC,- Tầng 2,3: 4ngů + WC,- Tâng 4: phòng thờ + sân phơi,+ sổ đỏ chính chủ,CAM KẾT THÔNG TIN HÌNH ẢNH THẬT 100%
",Nhà mặt phố,Sổ đỏ,, 04/11/2023,02/12/2023,Bán,2610246,4m,5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Chính chủ gửi bán rất GẤP lô đất phố Xốm - Hà Đông, 45m2, 2,15 tỷ
","
2,15
Tỷ ","
45
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Đất tại Đường Quốc lộ 21B']","
Chính chủ gửi bán rất GẤP lô đất để trả nợ tại Phố XỐm - HÀ Đông, không lỗi phong thuỷ+ Diện tích 45m2, mặt tiền 5m, nằm trên mặt ngõ thông, có thể kinh doanh nhỏ được, xe Su cóc qua đất. Đất vuông vắn+ Chỉ 200m ra Quốc lộ 21B, 500m ra chợ XỐm, Đại học Đại Nam, khu chung cư Vesta, tiện ích ngập tràn+ KHu vực đông đúc dân cư, đi lại thuận tiện, gần chợ, khu vui chơi giải trí+ Pháp lý chuẩn chỉnh, sẵn sàng giao dịch ngayLh E Nghiệp để đi xem đất ạ 0915407-***
",Đất,Sổ đỏ,Đông, 04/11/2023,02/12/2023,Bán,2288950,,,,,,,,,,,,,,,,,,,,
"
Bán gấp nhà cấp 4, lô góc tại phố Xốm - Hà Đông, 38m2, ô tô nhỏ lùi, 1.85 tỷ
","
1,85
Tỷ ","
38
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Nhà riêng tại Phường Phú Lãm']","
Do chuyển công tác nên chính chủ cần bán GẤP nhà cấp 4 tại Phố Xốm, Hà Đông Diện tích 38m2.Đầy đủ công năng sử dụng cho gia đình ạ. Ngõ trước nhà thông thoáng, oto nhỏ lùi vào nhà, an ninh tốt, hàng xóm thân thiện 40m ra chợ dân sinh họp cả ngày rất tiện, trường Mầm non, Cấp 1+2  Phú Lãm, siêu thị Vinmart. 500m ra chợ Xốm, Quốc lộ 21B, Đại học Đại Nam, khu chung cư Vesta. 300m ra bến xe Yên NghĩaĐể lại cơ bản nội thất cho chủ mới LH e Nghiệp để được xem nhà ạ
",Nhà riêng,,Đông-Nam, 04/11/2023,02/12/2023,Bán,1896253,,,,,,,,,,,,,,,,,,,,
"
Bán nhà riêng quận Đống Đa phố Thái Hà 48.6m2 Kinh doanh / Cho thuê cực tốt
","
10,8
Tỷ ","
49
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Thái Hà']","
🔥NHÀ MỚI 5 TẦNG - ĐẸP  48.6M2 - NGÕ Ô TÔ - SIÊU PHẨM THÁI HÀ - GIÁ SIÊU HIẾM💥 VỊ TRÍ  :+ Nằm ở vị trí đắc địa, ngay phố Thái Hà, đường trước nhà ô tô tránh, mặt tiền đẹp.+ Nhà được xây rất chắc chắn, toàn bộ nội thất xịn, nhà thoáng trước sau, ánh sáng tràn ngập.💥THIẾT KẾ :+ Tầng 1: Phòng khách, phòng bếp+ Tầng 2, 3, 4: Gồm 6 phòng ngủ, wc giữa.+ Tầng 5: Phòng thờ, sân phơi + vườn tụ tập bạn bè.💥 Sổ đỏ chính chủ, sẵn sàng giao dịch.- Hiện chủ nhà đang cho thuê mỗi tháng gần ba chục trịu
",Nhà riêng,Sổ đỏ,, 04/11/2023,18/11/2023,Bán,2610164,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Bán căn hộ Huyện Gia Lâm Hà Nội giá Cực sốc chỉ 1 tỷ 800 triệu nhận nhà ở ngay căn hộ 2 phòng ngủ
","
400 - 1800
Triệu ","
59 - 69
m2
","['Hà Nội', 'Huyện Gia Lâm', 'Mua bán Căn hộ chung cư tại Đường Ngọc Trai 6']","
Mẫu căn 2 PN + 1: Diện tích 59 - 69 m² tại khu Saphire 1 - 2 Vinhomes Ocean Park.Sự lựa chọn hoàn hảo cho Khách hàng có nhu cầu nhận nhà ở ngay hoặc kinh doanh cho thuê:Thiết kế linh hoạt với phần + 1.2 phòng ngủ riêng biệt lấy được ánh sáng tươi bên ngoài.Nhận nhà về ở ngay, kinh doanh homestay.Vốn đầu tư 30 %: 700 - 800 triệu.Ngân hàng cho vay 70%.Lãi suất 0%: 25/12/2024.Quà tặng nội thất: 400 triệu.Mua qua VHO: Ck 0,5%.Tổ ấm an vui hỗ trợ 2,5 triệu / tháng.Vô vàn ưu đãi trong tháng 7 cho các nhà đầu tư và cư dân về với Vinhomes Ocean Park.Nhanh tay sở hữu căn 2PN - Số lượng căn có hạn. Liên hệ gọi hoặc ad zalo 0583104***  được hỗ trợ tư vấn trực tiếp miễn phí
",Căn hộ,Sổ đỏ,, 04/11/2023,02/12/2023,Bán,2610104,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,
"
Bán suất căn hộ chung cư IA20 Ciputra 92m2 tòa B
","
1,55
Tỷ ","
92
m2
",['Mua bán Căn hộ chung cư  IA20 Ciputra'],"
Hiện tôi đang có mấy suất ngoại giao chung cư IA20 Ciputra nhà ở của thành phố Hà Nội dành cho cán bộ cấp cao. Dự án nằm trong quần thể KĐT Ciputra tiếp giáp với hai trục đường huyết mạch chính là Phạm Văn Đồng - Võ Chí Công. Chung cư IA20 Ciputra KĐT Nam Thăng Long được thừa hưởng toàn bộ tiện ích cao cấp đã tích hợp sẵn của KĐT Ciputra, là một phức hợp tòa nhà căn hộ cao cấp trong quần thể Ciputra. Dự án gồm có 02 tòa chung cư cao 29 tầng - 01 tòa cao 40 tầng và biệt thự - liền kề. Khu vực dân trí cao, an ninh đảm bảo 24/24, gần và tích hợp đầy đủ các tiện ích cao cấp, giao thông hết sức thuận tiện, không gian sống đẳng cấp và cảnh quan mang đến hơi thở trong lành.- Diện tích căn hộ: 92m2 - 95m2 - 98m2 - 100m2 - 107m2 - 110m2 - 112m2.- Giá gốc: 16.8tr/m2 – 18,5tr/m2 ( Chưa bao gồm thuế VAT) + chênh- Vào tên Hợp đồng chính chủ. - Liên hệ trực tiếp: Mr. Thanh: - Tiến độ thanh toán:  - Đóng 30% khi ký hợp đồng và nhận nhà - Đóng 70% bằng vốn tự có hoặc hỗ trợ vay Bank lên 20 năm.II. Thông tin dự án:- Tên dự án: Cụm công trình nhà ở khu I. A20 khu đô thị Nam Thăng Long.- Vị trí: Lô đất I. A20 Khu Đô Thị Nam Thăng Long, Phường Đông Ngạc, Q. Bắc Từ Liêm, TP. Hà Nội (Ciputra - Hà Nội).- Chủ đầu tư: Công Ty CPĐT BĐS Đông Đô - Bộ Quốc Phòng.- Đơn vị thi công: Tập đoàn Vingroup & Tổng công ty đầu tư phát triển hạ tầng đô thị - UDIC.- Đơn vị thiết kế: Công Ty Cổ Phần Kiến Trúc Tây Hồ.- Quy mô khu đất rộng 30.091m2, trong đó:+ Khu cao tầng: 18.329m2, gồm 3 tòa chung cư cao tầng 29-40 tầng.+ Sân vườn: 7.214m2.+ Bãi đỗ xe ngoài trời: 1.020m2.+ Cây Xanh + Sân Chơi: 2.481m2.+ Khu thấp tầng: 5.356m2.+ Giao thông nội bộ: 3.825m2.- Mật độ xây dựng:+ Khu cao tầng: 54,5% đối với khối đế và 35,5% đối với phần thân.+ Khu thấp tầng: 77,6%.III. Vị trí dự án:- Chung cư IA20 Ciputra nằm về phía Tây Bắc Hà Nội, toạ lạc trên đường Phạm Văn Đồng - quận Bắc Từ Liêm và Võ Chí Công quận Tây Hồ - Hà Nội. Phía ông giáp đường Võ Chí Công - vành đai 2, bao quanh bởi sông Hồng và Hồ Tây.- Dự án chung cư I. A20 Ciputra được xây dựng với mục đích chính là đáp ứng nhu cầu nhà ở cho cán bộ cấp cao thuộc các ban ngành như: Văn Phòng Quốc Hội, Văn Phòng Chính Phủ, Văn Phòng Trung Ương Đảng,... Vậy nên, nếu so sánh với các dự án thương mại cùng khu vực, trong quần thể khu đô thị Ciputra, thì giá bán căn hộ tại chung cư I. A20 đang là thấp nhất, cạnh tranh nhất. Đây chính là cơ hội sở hữu/đầu tư căn hộ trong quần thể khu đô thị đẳng cấp bậc nhất thủ đô Hà Nội.- Quản lý dự án: Mr. Thanh:
",Căn hộ,Sổ hồng,Đông-Nam, 04/11/2023,02/12/2023,Bán,1180215,,16,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,Đông-Nam,Có
