Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Hướng nhà,Căn góc,Nội thất,Số tầng,Hướng ban công,Bình nóng lạnh,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bàn ghế P.khách,Mặt tiền
"
THANg Máy 🏆 NGõ THÔng - Ô TÔ CHạy 🚣 NGAy HỒ ĐỀn LỪ🔥 Đền Lừ - Hoàng Mai 6 tầng mt 4m g.i.á 6 t.ỷ
","
6 - 6,05
Tỷ ","
40
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Hoàng Mai']","
+ Tầng 2,3,4,5: mỗi tầng 01 ngủ + WC  + Tầng 6: Phòng thờ + Sân phơi.là ngõ sầm uất nhất của đường HOÀNG MAI, Nhà nằm ở vị trí tuyệt hảo, thông được cả sang hồ Đền lừ, thông cả sang sông Kim Ngưu. Nhà sát khu đô thị TUYỆT ĐẸP FILIZ đã xây xong (tức là đường to từ KIM NGƯU sẽ chạy vào khu đô thị này trong năm nay). Đường ngõ to đẹp, thông thoáng, kết nối với cả loạt đường chính.👉 S.ổ đ.ỏ chính chủ, pháp lý chuẩn.🌹
",Nhà riêng,Sổ đỏ, 12/11/2023,10/12/2023,Bán,2626680,,,,,,,,,,,,,,,,,,,,,
"
Bán căn hộ chung cư Berriver Jardin Long Biên, diện tích 58m2 - 180m2
","
2,1 - 4,3
Tỷ ","
58 - 180
m2
",['Mua bán Căn hộ chung cư  Premier Berriver Long Biên'],"
💝💝 BÁN CĂN HỘ VIEW SỐNG HỒNG CÁCH PHỐ CỔ 10 PHÚT Ở CHUNG CƯ BERIVER JARDIN LONG BIÊN 💝💝👉 Vị trí đắc địa 390 Nguyễn Văn Cừ - Long Biên.👉 Toà nhà gồm 20 tầng nổi ,2 tầng hầm với 9 căn/sàn. 👉 Diện tích đa dạng. 🌺 Căn 1PN  🌺 Căn 2PN  🌺 Căn 3PN (căn góc 3PN).⚜️Diện tích căn hộ 2 ngủ từ 59 - 75m2⚜️Diện tích căn hộ 3 ngủ từ 80m2 - 115m2.⚜️Diện tích căn hộ 4 ngủ từ 180m2⚜️Đầy đủ tiện ích trong nhà và tiện ích ngoài trời.♻️Trung tâm thương mại, bể bơi ngoài trời, cảnh quan, vườn dưỡng sinh, sân bóng bàn , vườn hoa bốn mùa, siêu thị , cafe, gym, sinh hoạt cộng đồng♻️Giao thông thuận tiện: 🌳 Ngay cạnh các trường Tiểu Học , Trung Học và Quốc tế.🌳 Chỉ 3p đến bệnh viện Đa khoa Tâm Anh.🌳 Chỉ 5p đến trung tâm thương mại : BIG C hoặc AEON. 🌳 Chỉ 10p đến trung tâm thành phố . Hồ Gươm.
",Căn hộ,Sổ hồng, 09/11/2023,23/11/2023,Bán,1355175,2,Đông-Bắc,Có,Có,,,,,,,,,,,,,,,,,
"
Cần bán nhà 4 tầng tại ngõ 459 bạch mai,hai bà trưng, 18m2, giá 2 tỷ 25
","
2,25
Tỷ ","
18
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phố Bạch Mai']","
• Diện tích 18M x 4T, phòng nào cũng có cửa sổ thoáng mát, nội thất cơ bản đầy đủ để lại toàn bộ cho khách mới.
• Ngõ trước nhà xe máy tránh nhau, gần chợ Mơ, đại học Bách Khoa, Kinh Tế, Xây Dựng…..
• Phù hợp hộ gia đình ở hoặc cho thuê đều ok. 
• Sổ đỏ đẹp sẵn sàng chào đón chủ mới ( Hình ảnh thực tế của nhà ) 
Giá Bán 2 tỷ 25
Chi tiết liên hệ Mr – Kiên – 
Chuyên thổ cư, còn hơn 200 nhà khu vực với nhiều mức giá,miễn phí dẫn khách xem nhà, tư vấn pháp lý
",Nhà riêng,Sổ đỏ, 12/11/2023,10/12/2023,Bán,2626528,3,,,,4,,,,,,,,,,,,,,,,
"
Căn hộ đập thông 155m2 - 182m2 - 259m2 dự án Le Grand Jardin, mua trực tiếp chủ đầu tư
","
Thỏa thuận
","
182
m2
",['Mua bán Căn hộ chung cư  Le Grand Jardin Sài Đồng'],"
Thiết kế căn hộ từ 4 - 6 phòng ngủ 4WC dành cho những gia đình ở nhiều thế hệ.Phòng khác + bếp rộng từ 60 - 80m2 rất rộng và đẹp.Nhà hướng Đông Nam, cực mátCăn góc 2 mặt thoáng giúp bao trọn tầm view.Liên hệ phòng kinh doanh chủ đầu tưChính sách ưu đãi mới nhất tháng 11/2023.Khi thanh toán theo tiến độ thường, chiết khấu 5% GTCH (chưa bao gồm VAT + KPBT).Khi không vay thanh toán sớm 95% giá bán, chiết khấu 8.5% GTCH (chưa bao gồm VAT + KPBT).Vay tối đa 70% GTCH, hỗ trợ lãi suất 0% trong 15 tháng.Miễn phí trả nợ trước hạn trong thời gian hỗ trợ lãi suất.Miễn 24 tháng phí dịch vụ.Chiết khấu 2.8 triệu/m2 với những căn bàn giao thô.Liên hệ phòng kinh doanh chủ đầu tư: 
",Căn hộ,Giấy chứng nhận quyền sở hữu, 12/11/2023,10/12/2023,Bán,1714974,4,Đông-Nam,,,,,,,,,,,,,,,,,,,
"
Mở bán căn hộ Duplex Penhouse dự án chung cư Khai Sơn City Ngọc Thụy Long Biên mua trực tiếp CĐT
","
Thỏa thuận
","
178
m2
",['Mua bán Căn hộ chung cư  Khai Sơn Town'],"
KHAI SƠN CITY TRỞ LẠI VỚI CHUNG CƯ CAO TẦNGĐỘC BẢN PHỐ CỔ PHIÊN BẢN 2022Liên hệ ngay em Việt - QLDA để được sở hữu những căn hộ tầng đẹp giá tốt nhất: 0962 - 961 - ***1. TỔNG QUAN DỰ ÁNCĐT: Công ty Cổ phần Khai SơnRa hàng 3 tòa chung cư HH-05, mỗi tòa 21 tầngTổng 545 sản phẩm bao gồm- 457 Căn hộ- 26 Penthouse- 16 Gian thương mại thông tầng (Tầng 1,2)- 46 Gian thương mại thường Officetel (Tầng 3)Đã đủ điều kiện bán hàng và ký HĐMBBàn giao cơ bản, dự kiến Tháng 7/20242. CHÍNH SÁCH BÁN HÀNG DỰ KIẾNNgân hàng hỗ trợ: VietinbankGiải ngân song song từ Đợt 2Hỗ trợ vay lên tới 65% GTCH - LS 0% trong 24 tháng (dành cho 60 căn hộ đầu tiên ký HĐMB)Ưu tiên mua suất để ô tô tại hầm thông 3 tòa (dành cho 60 căn hộ đầu tiên ký HĐMB)CK 5% khi TTS 70% - CK 8% khi TTS 95%CK 1,5% khi TT bằng vốn tự cóThông tin chi tiết vui lòng liên hệ (E Việt QLDA)
",Căn hộ,Giấy chứng nhận quyền sở hữu, 12/11/2023,10/12/2023,Bán,1910822,3,Đông-Nam,Có,Cao cấp,,Đông-Nam,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
"
Bán nhà riêng Quận Cầu Giấy 30m2 - Nhà đẹp Ngõ nông, đủ công năng sử dụng.
","
4,1
Tỷ ","
30
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Phường Mai Dịch']","
💥💥💥VIP CẦU GIẤY 30M2 - NHÀ ĐẸP Ở LUÔN - CỦA HIẾM GẦN PHỐ - TẶNG FULL NỘI THẤT🏝️Thiết kế:+ Tầng 1: Phòng bếp, phòng khách, vệ sinh, để xe+ Tầng 2, 3, 4 : Mỗi tầng 1 phòng ngủ 1 vệ sinh+ Tầng 5: Phòng thờ sân phơi💟 Sổ vuông đẹp sẵn giao dịch☎️ 0963443*** / 0869081***
",Nhà riêng,Sổ đỏ, 10/11/2023,08/12/2023,Bán,2621673,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"
Cần bán nhà mặt ngõ 4 tầng tại làng cổ Đông Ngạc. TK 3 Ô tô vào nhà. Tôi bán thấp hơn giá mua đất..
","
9,45
Tỷ ","
82
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Nhà riêng tại đường Đông Ngạc']","
CẦN BÁN NHANH NHÀ MẶT NGÕ 4 TẦNG, TOẠ LẠC TRÊN CON ĐƯỜNG ĐẸP NHẤT LÀNG CỔ ĐÔNG NGẠC, NGÕ Ô TÔ TRÁNH, TK ĐƯỢC 3 Ô TÔ 7 CHỖ VÀO NHÀ, TÔI BÁN THẤP HƠN GIÁ MUA ĐẤT...(DT: 76,5m2 thực tế > 80m2; 5PN; 3NVS)SĐT chính chủ: 093.453.6***.----------------------------------------------ĐÔI NÉT VỀ LÀNG CỔ ĐÔNG NGẠC - KHÔNG PHẢI AI CŨNG BIẾT...Làng cổ Đông Ngạc là một trong những làng cổ nhất của Hà Nội. Nơi đây nổi tiếng với truyền thống hiếu học. Làng còn có tên gọi khác là làng Tiến Sĩ bởi có rất nhiều vị tiến sĩ Hán học và Tây học được sinh ra tại đây nên đã đi vào câu ca: “Đất Kẻ Giàn - Quan Kẻ Vẽ” để bày tỏ niềm tự hào của các dòng tộc đều có người đỗ đạt đóng góp nhiều công lao trong các lĩnh vực: văn hóa, dịch thuật, quân sự, xã hội học…ở mọi thời kỳ lịch sử. Trong đó có những danh nhân nổi tiếng như Phan Trọng Phiên, Nguyễn Hữu Tạo, Hoàng Tăng Bí, Phạm Văn Trường, Hoàng Minh Giám... Ngoài ra, trên mảnh đất khoa bảng nổi tiếng này, những năm 40 của thế kỷ 20, Trung ương Ðảng và Xứ ủy Bắc Kỳ đã gây dựng cơ sở an toàn khu để từ đây chỉ đạo phong trào cách mạng, tiến tới khởi nghĩa giành chính quyền ở Hà Nội. Đây cũng là cơ sở y tế cứu chữa thương binh trong trận chiến bảo vệ Hà Nội năm 1946, và đã nuôi giấu nhiều cán bộ kháng chiến trong những năm Pháp chiếm đóng. Năm 2004, Đảng bộ và nhân dân phường Đông Ngạc đã được Nhà nước trao tặng danh hiệu Anh hùng lực lượng vũ trang nhân dân.Điểm đặc biệt về kiến trúc làng cổ Đông Ngạc còn nhiều cổng nhà, cổng làng được xây dựng hình tháp bút, trên cổng của các ngôi nhà cổ đều khắc chữ Hán Nôm, trong các nhà thờ của các dòng họ có các bức hoành phi câu đối. Điều đó thể hiện rõ tinh thần hiếu học của người dân Đông Ngạc từ xa xưa luôn giữ gìn gia phong của dòng tộc, giáo dục con cháu gìn giữ cho đến muôn đời sau. Vì vậy làng được suy tôn là một làng văn hiến xứ Bắc kỳ với trên 1.000 học vị từ cử nhân đến tiến sĩ, nhiều người được phong hàm giáo sư, hay giữ các chức vụ cao cấp của Nhà nước xuyên suốt chiều dài lịch sử.Làng Đông Ngạc hiện còn trên 100 ngôi nhà cổ có thời gian xây dựng trên 100 năm, trong đó có nhiều ngôi nhà gỗ được đục chạm công phu, bảo tồn nguyên trạng, còn có những ngôi nhà thờ cổ được dựng từ mấy thế kỷ trước.Trong những năm qua, Làng cổ Đông Ngạc đã trở thành một trong các điểm thu hút khách thăm quan, nghiên cứu tìm hiểu và học tập. => Hiện nay, phường Đông Ngạc có 32 di tích như: + Chùa Tư Khánh cổ tự(hay còn gọi là chùa Vẽ): Đây là ngôi chùa duy nhất ở thành phố Hà Nội được phong tặng danh hiệu ""Toàn gia kháng chiến"" trong cuộc kháng chiến chống thực dân Pháp (1946-1954). Hiện nay, chùa còn lưu giữ quả chuông niên hiệu Đại Khánh thứ 2 (1315) đời vua Trần Minh Tông, một đại hồng chung (chuông) treo ở gác chuông, nặng tới 750kg với niên hiệu Gia Long 16 (1817) cùng với 2 quả chuông khác nhỏ hơn với niên hiệu thời Nguyễn).+ Đình Đông Ngạc hay Đình Vẽ: thờ 3 vị thần tượng trưng cho Thiên - Địa - Nhân và thờ Tiến sĩ Phạm Quang Dung, người làng có công trùng tu đình năm 1718 và Phạm Thọ Lý, người cung tiến đất làm đình lần đầu năm 1635.+ Văn chỉ: là nơi thờ Khổng Tử, các bậc Tiên hiền và các nhà khoa bảng, vinh hiển của địa phương tại các tổng, huyện, làng, xã.+ Nhà thờ họ Đỗ: Nhà thờ cổ dòng họ Đỗ được xem như đình làng thứ hai, hiện vẫn còn nguyên vẹn kiến trúc cách đây 3 thế kỷ. Cụ tổ Đỗ Thế Giai, làm quan thời Lê - Trịnh. Khi còn sống, cụ Đỗ Thế Giai đã được triều đình phong Vương, gọi là Đỗ Đại Vương; đến khi qua đời được tôn làm Thần gọi là Thượng đẳng phúc thần.+ Nhà thờ họ Phan: nhà thờ nổi bật với pho tượng nhà sử học Phan Phu Tiên. Ông chính là Tiến sĩ khai khoa đầu tiên của làng Đông Ngạc dưới thời Lê Thái Tổ. Trên tấm bia ký của nhà thờ họ Phan còn ghi lại những tên tuổi danh tiếng khác như: cụ Phan Tuấn Phong - lãnh tụ phong trào Đông kinh nghĩa thục; cụ Phan Văn Trường - tiến sĩ luật tại Pháp...Hiện trong kho thư tịch cổ còn lưu giữ được một cuốn sách quý là “Đông Ngạc xã chí” ghi chép được nhiều tư liệu liên quan. Lời tựa sách viết rằng: “Làng ta được gọi là làng Đông Ngạc là có nguyên do. Kính nghĩ! Làng ta chiếm một bầu trời, phong khí an bài, nổi tiếng quý địa. Sông dài phía trước, nước chảy xiết ở phía Đông như một con rồng; chữ phẩm phía sau, khí bốc cao ở phía Tây tựa một con hổ. Đất linh thiêng, người kiệt xuất. Cổ đã qua, nay đang tới, một làng tuấn kiệt, thiên hạ biết tên. Bởi vậy người xưa từng dựa vào đó để đặt tên làng Đông Ngạc...”.Với sự yên bình của một ngôi làng nằm ngay nội thành cùng những giá trị văn hóa, lịch sử vốn có, Đông Ngạc đang có thế mạnh phát triển về du lịch, trở thành điểm đến cho những người muốn tìm hiểu về lịch sử hoặc tham quan những không gian cổ kính của một ngôi làng cổ, khám phá những nếp nhà với kiến trúc truyền thống...Chỉ chừng ấy thôi cũng đủ để khiến bất kỳ ai khi đến với vùng đất này cũng đều như lạc vào vùng không gian của vài trăm năm, thậm chí cả nghìn năm trước đó...#BANNHADONGNGAC #BANNHABACTULIEM#BANNHAXUANDINH#BANNHACONHUE#BANNHATANXUAN#BANNHATHUYPHUONG#BANNHALANGCODONGNGAC#MUABANNHADONGDA#MUABANNHAHAIBATRUNG#MUABANNHAHANOI#MUABANDATHANOI#MUABANNHADONGANH#MUABANDATDONGANH
",Nhà riêng,, 08/11/2023,06/12/2023,Bán,2535127,4,,,True,4,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6m
"
Cần bán căn mặt ngõ duy nhất tại làng cổ Đông Ngạc, 3 ô tô vào nhà, tôi bán thấp hơn giá mua đất...
","
9,45
Tỷ ","
82
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Nhà riêng tại Phường Đông Ngạc']","
CĂN MẶT NGÕ DUY NHẤT TOẠ LẠC TRÊN CON ĐƯỜNG ĐẸP NHẤT LÀNG CỔ ĐÔNG NGẠC, TK ĐƯỢC 3 Ô TÔ 7 CHỖ VÀO NHÀ, TÔI BÁN THẤP HƠN GIÁ MUA ĐẤT...* Nhà thuộc làng đất Quan - nơi địa linh nhân kiệt.* Nhà mặt ngõ ô tô tránh. Diện tích sổ: 76,5m²; 4 tầng; 5 phòng - bao gồm 1 tầng lửng làm phòng thiền trà.* 2 ban công view đẹp, thoáng mát + 1 sân chơi đa năng tầng 4.* 2 nguồn nước: Máy + giếng khoan - do nước nhiều khoáng chất nên hiện tại gia đình tôi chỉ dùng giếng khoan(nước máy để duy trì).* Nhà dân xây khung cột bê tông cốt thép + thêm tường chịu lực 200 kiên cố.* Tôi tặng toàn bộ Nội Thất xịn theo phong cách châu âu.* Nhà gần Bệnh viện lớn 5*, chợ vẽ, trường học, mầm non, Ciputra, Ecohome, cầu Nhật Tân...* Hàng xóm quan chức có học thức cao, an ninh rất tốt.* Đất lành, phong thủy & sinh khí tốt, thuận tiện đi sân bay & nội thành HN.* Nơi đất hiếm. Chưa có căn mặt ngõ thứ 2 giao bán.* DT: >80m2.✓ Giá tham khảo: 130tr/m2 cũng ko ai bán. ✓ Đất phong thủy thuộc dải long mạch - tiền nhiều cũng khó mua.* Vui lòng LH chủ nhà qua SĐT: 093.453.6***--------------------------------------TẠI SAO NHIỀU NGƯỜI DÂN TRÍ THỨC BÁN NHÀ NƠI KHÁC ĐỔ VỀ MUA NHÀ TẠI LÀNG CỔ ĐÔNG NGẠC ĐỂ AN CƯ LẠC NGHIỆP ??Làng cổ Đông Ngạc nổi tiếng với truyền thống hiếu học. Làng còn có tên gọi khác là làng Tiến Sĩ, bởi vùng đất này là quê hương của rất nhiều vị tiến sĩ Hán học và Tây học vang danh một thời...Hiện trong kho thư tịch cổ còn lưu giữ được một cuốn sách quý là “Đông Ngạc xã chí” ghi chép được nhiều tư liệu liên quan. Lời tựa sách viết rằng: “Làng ta được gọi là làng Đông Ngạc là có nguyên do. Kính nghĩ! Làng ta chiếm một bầu trời, phong khí an bài, nổi tiếng quý địa. Sông dài phía trước, nước chảy xiết ở phía Đông như một con rồng; chữ phẩm phía sau, khí bốc cao ở phía Tây tựa một con hổ. Đất linh thiêng, người kiệt xuất. Cổ đã qua, nay đang tới, một làng tuấn kiệt, thiên hạ biết tên. Bởi vậy người xưa từng dựa vào đó để đặt tên làng, gọi là phường Đông Ngạc...”.--------------------------------------#bannhabactuliem #muanhabactuliem #muabannhadatbactuliem #muanhabactuliemgiare#bannhahanoi #muanhahanoi #muabannhadathanoi #muanhahanoigiare#muabannhadongngac#muabannhalangcodongngac#muabannhahaibatrung#muabannhadongda#muabannhaconhue#muabannhatanxuan#muabannhaxuandinh
",Nhà riêng,, 20/10/2023,17/11/2023,Bán,2503802,4,,,True,4,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6m
"
Chính chủ bán nhà phố thương mại shophouse Hà Đông - Hà Nội
","
14,6
Tỷ ","
161
m2
",['Mua bán Bất động sản khác  Anland Lakeview'],"
Bán căn hộ thông tầng khối đế chung cư Anland LakeView mặt đường Lê Quang Đao - Mỹ Đình. Nhà 3 tầng diện tích mỗi tầng 54m, chủ nhà có 2 căn cạnh nhau được đập thông. Với tổng diện tích 2 căn là 370m tiện cho mở chi nhánh ngân hàng, công ty, phòng khám, Spa.  Vị trí đẹp nhất tại dự án, view thoáng đẹp, cách đại siêu thị AeonMall 300m, cạnh công viên thiên văn học, nằm trong quần thể Khu Đô Thị Nam Cường với hàng ngàn căn biệt thự đã xây xong cư dân đang chuyển về sinh sống, ngay tại căn nhà phía trên tầng là 600 căn hộ chung cư đã về ở, tạo thành quần thể đông đúc nhộn nhịp. Với trục đường Lê Quang Đạo - Mỹ Đình hoàn thành sẽ tạo ra sự kết nối tuyệt vời đến đường vành đai 3.5 và vành đai 4, mạng lưới giao thông vô cùng thuận lợi cho phát triển kinh doanh.Liên hệ chính chủ Ms Khánh Vy 
",Bất động sản khác,, 12/11/2023,10/12/2023,Bán,1827491,,,,,3,,,,,,,,,,,,,,,,
"
Bán dinh thự trong khu Vinhomes Thăng Long - An Khánh - Hoài Đức - Hà Nội
","
Thỏa thuận
","
431,97
m2
","['liền kề  Vinhomes Thăng Long', 'Mua bán Nhà biệt thự']","
Bán căn dinh thự Siêu to của chủ đầu tư Tập Đoàn Đất Quảng nằm trong KĐT Vinhomes Thăng Long.Dãy biệt thự chỉ 18 căn nhưng lại nằm trong lõi khu Vinhomes nên được thừa hưởng mọi tiện ích đẳng cấp và đáng sống.Với thiết kế Địa Trung Hải do các kiến trúc sư Tây Ban Nha và US thiết kế, nhà hoàn thiện thô mặt ngoài đã xây chia phòng. Người mua tha hồ sửa chữa theo ý mình với DTXD 580m với tầng hầm rộng 150m được đúc nguyên khối sử lý kỹ thuật chống thấm tuyệt đối.Tầng 1 rộng 180m tha hồ sáng tạo cho phòng khách và bếp cực sang trọng đẳng cấp.Tầng 2 và 3 thoáng rộng mênh mông cho thiết kế phòng ngủ tuyệt vời.Đây là lần đầu tiên đăng bán dãy Đất Quảng vì chỉ còn duy nhất 02 căn bán, căn 431,97m này mới nhận bàn giao ngày 18/8/2020 nên còn nóng hổi, Vũ Nam không cần đăng nhiều nhưng bán gần như cả dãy Đất Quảng và đang cần nốt 02 nhà hàng xóm để về cùng sửa cùng ở cho đồng bộ và vui vẻ. Đã thành lập Xóm Đất Quảng do chính Vũ Nam là Add min để cùng nhau hỗ trợ trao đổi khi sửa chữa và các thủ tục với chủ đầu tư hoặc BQL Vinhomes Thăng Long cũng như hỗ trợ làm sổ đỏ trong thời gian tới.Liên hệ trực tiếp Mr Vũ Nam.Long Khánh 7 Shophouse 01 Vinhomes Thăng Long. (Cư dân chính thức và đầu tiên tại KĐT)
","Nhà biệt thự, liền kề",Giấy tờ hợp lệ, 12/11/2023,10/12/2023,Bán,1345147,,Tây,,,,,,,,,,,,,,,,,,,
