Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Số tầng,Bình nóng lạnh,Máy hút mùi,Kệ TV,Tủ trang trí,Giường ngủ,Tủ quần áo,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ăn,Tủ bếp,Bàn phấn,Bồn tắm,Bàn ghế P.khách
"
Siêu Phẩm Penthouse sân vườn riêng Iris Garden - Mỹ Đình (thiết kế Duplex - Bàn giao thô)
","
Thỏa thuận
","
185
m2
",['Mua bán Căn hộ chung cư  Iris Garden'],"
Bán căn Penthouse - Mỹ Đình tầng (24 – 25) thông tầng. Bàn giao thô phiên bản giới hạn toà nhà* Vị trí: Chung cư Iris Garden 30 Trần Hữu Dực Mỹ Đình.Căn penthouse thiết kế Duplex :* Được bố trí là các căn góc với 2 mặt thoáng.* Tổng diện tích sàn 185m²:- Tầng 1 rộng 103m².- Tầng 2 rộng 82 m².* Căn penthouse được thiết kế cực đẹp, các phòng đều có ánh sáng và gió tự nhiên có khoảng sân vườn tầng 25. View thoáng..* Tầng 1: Có 2 phòng ngủ, 1 phòng khách, 1 phòng ăn, 2 WC, 3 logia.* Tầng 2: Có 2 phòng ngủ, 2WC + 1 sân vườn rộng.* Khu dân cư xanh - sạch - đẹp, an ninh 24/24, mát mẻ, có bể bơi ngoài trời và nhiều cây xanh có đường kính lớn. Có 4 tầng thương mại.*Nơi có vị trí giao thông thuận lợi, cùng nhiều các nhà trường mẫu giáo Trung học uy tín hàng đầu Lê Quý Đôn, Đoàn Thị Điểm...* Có ban công, lô gia, hồ bơi, shophouse, sân vườn, nhà trẻ, Phòng khám ngay chân tòa nhà...* Đặc biệt cam kết cho 1 slot oto cho chủ nhà trong HDMB- Giá: 8.5 (tỷ).Hotline: 0987 106 521 (Trung Kiên). 
",Căn hộ,Sổ hồng,Tây-Bắc, 02/11/2023,30/11/2023,Bán,2606166,,,,,,,,,,,,,,,,
"
Cần bán nhà ngõ 15 phương mai, 41m, ngõ to thoáng, 4 tầng, giá 5 tỷ 5
","
5,5
Tỷ ","
41
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Phương Mai']","
Nhà 4 tầng, diện tích mỗi tầng 41m, cầu thang giữa mỗi tầng 2 phòng ngủ, tổng có 5 phòng ngủ phù hợp nhà nhiều thế hệ, điểm cộng là nhà ngõ thoáng, gần ô tô, có vỉa hè để xe thoải mái, chủ tự xây mới nội thất như khách sạn 5 sao chỉ việc xách vali ở luôn.
Gần sát Bệnh viện Da liệu, Bạch Mai, Lão Khoa…. Trường Kim Liên, Đống Đa, Trung Tự…..Trường ĐH Bách Khoa, Xây Dựng, Kinh tế, Công viên thống nhất, bến xe Giáp bát cực gần ….. tiện đi mọi hướng
Giá chào : 5 tỷ 5
Sổ đỏ đẹp sẵn sàng chào đón chủ mới
Xem nhà liên hệ : Mr – Kiên – 
Chuyên thổ cư, còn hơn 200 nhà khu vực với nhiều mức giá,miễn phí dẫn khách xem nhà, tư vấn pháp lý
",Nhà riêng,Sổ đỏ,, 15/11/2023,13/12/2023,Bán,2630993,4,4,,,,,,,,,,,,,,
"
Siêu phẩm trên cao penthouse Dreamland Bonanza 300m2 giá 12 tỷ Bàn giao thô mặt đường Duy Tân
","
Thỏa thuận
","
300
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
Siêu phẩm Biệt thự trên cao Penthouse Dreamland Bonanza nằm trên Phố Duy Tân - Cầu Giấy.Nơi hưởng thụ không gian sống Đẳng cấp - Giới hạn vị trí đẹp  quận Cầu GiấyToà nhà: Dreamland Bonanza Số 23 Duy Tân - Cầu Giấy ==========================Tổng diện tích: 300m². Trong đó:- Diện tích tầng 1: 180 m² - Tầng 2: 120 m²- Diện tích khoảng  ban công 17m².Thiết kế: ( 4 - 5 phòng ngủ -5 wc). Độ cao trần phòng khách: 6.7m. Mỗi tầng cao 3.3m.- Bàn giao : Thô - Có bể bơi, gym, golf, bóng bàn, yoga, sân chung nằm tại tầng 6 – 7 toà nhà.- Tầng 1 – 2 là khối thường mại ngân hàng – Siêu thị đã đi vào vận hành.==========================Đặc biệt căn Penthouse sở hữu view siêu thoáng nằm trên tầng cao nhất toà nhà, Không gian bên trong đều có cửa sổ rộng.Ngoài ra có sẵn các tiện ích toà nhà  chủ nhân được sử dụng miễn phí trong 2 năm.và sử dụng free phí DV 3 năm đầu.Chủ nhân  sở hữu căn Penthouse  được sử dụng thang riêng biệt.(ảnh thiết kế 3D ) Hotline: zalo/viber : 0987 106 ***Trân trọng !!! 
",Căn hộ,Sổ hồng,Đông-Bắc, 15/11/2023,29/11/2023,Bán,2630987,,,,,,,,,,,,,,,,
"
cc chợ Ngọc Hà - Hoàng Hoa Thám - Đội Cấn - Ba Đình, ở ngay từ 800 - 900 - 1,2 tỷ ở ngay.
","
800
Triệu ","
35
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Ba Đình']","
 bán chung cư chợ Ngọc Hà - Hoàng Hoa Thám - Đội Cấn - Ba Đình, ở ngay từ 800 - 900 - 1,2 tỷ ở ngay.Vị trí đắc địa trên đường Hoàng Hoa Thám.Diện tích: 30m² - 35m² - 48m² - 50m² - 55m².Giá: 800tr - 1 tỷ - 1.2 tỷ/căn.Thiết kế 1PN - 2PN - phòng ngủ thoáng rộng, 1 vệ sinh, 1 phòng khách.+ Bếp ban công thoáng, sàn gỗ cao cấp đẹp.Vị trí vô cùng thuận lợi, gần đường Đội Cấn, Hoàng Hoa Thám, Bưởi, cách hồ Tây 500m.Gần nhiều tiện ích như:+ Trường mẫu giáo, cấp 1, 2, 3 Ba Đình.+ Gần bệnh viện 354 Quân Đội.+ Chợ Vĩnh Phúc Cách 150m.+ Giao thông thuận lợi đi Hoàng Hoa Thám, Đốc Ngữ, Bưởi, Đội Cấn, Tây Hồ, Lạc Long Quân...Căn hộ thông thoáng, ban công rộng rãi, có thang máy và thang bộ.Tòa nhà xây dựng trên đất khu đất rộng, có mặt ngõ to, khu dân trí cao, an ninh cực tốt.- Có 01 thang máy nhập khẩu và 01 thang bộ. Full nội thất cao cấp 100% bằng gỗ thịt, hệ thống đèn chùm, led, truyền hình cáp, internet đầy đủ, thiết kế hiện đại, sang trọng.Liên hệ trực tiếp chủ đầu tư để mua giá gốc và hưởng chiết khấu cao. 
",Căn hộ,,, 26/10/2023,23/11/2023,Bán,2595559,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"
Bán căn hộ Vĩnh Phúc - Ba Đình - Hà Nội giá 700 - 1,2 tỷ - 1,350 tỷ
","
700
Triệu ","
35
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Ba Đình']","
CĐT mở bán chung cư mini Hoàng Hoa Thám - Vĩnh Phúc khu 7,2ha khu dân cư sầm uất nhất Hà nội1. Vị trí đắc địa Quận Ba Đình , gần đường Hoàng hoa thám, Thụy khuê , Bưởi , Lạc long quân… Gần chợ Vĩnh phúc , trường học cấp 1,2 Hoàng hoa thám, đi lại các hướng rất thuận lợi,2. Trang thiết bị - nội thất. - Sàn gỗ hoặc gạch, trần thạch cao, bếp, tủ bếp trên dưới, máy hút mùi, bình nóng lạnh, thiết bị chiếu sáng, thiết bị vệ sinh, Tòa nhà được trang bị gồm thang máy hiện đại, thang bộ, bảo vệ 24/24 an ninh tốt .3. Diện tích - thiết kế. - Chung cư mini Hoàng Hoa Thám được thiết kế đa dạng các loại diện tích từ 25 - 36 - 45 - 48 - 50 m².4. Giá bán.Căn Studio 25m²: 650 triệu.Căn 1 PN 34 - 36 m²: 880 triệu - 950 triệu.Căn 2 PN 45 - 48 - 50 m²: 1.200tr - 1.650tr5. Pháp lý: Mua chung cư mini Hoàng Hoa Thám khách hàng không phải mất thêm chi phí nào, ký hợp đồng trực tiếp CĐT với đầy đủ pháp lý: Sổ đỏ PTCC, giấy phép XD, hợp đồng mua bán căn hộ, cam kết tách sổ hồng. Liên hệ chủ đầu tư để mua giá gốc. 
",Căn hộ,,, 08/11/2023,06/12/2023,Bán,2478857,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,
"
Ban quản lý Vinhomes tháng 11 Studio 980tr 1 phòng ngủ 1.35 tỷ, 2 phòng ngủ 1,6 tỷ, 3 PN 2,4 tỷ
","
950
Triệu ","
31
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Cập nhật bảng giá căn 1 - 2 - 3PN chung cư Vinhomes Ocean Park.1. Bảng giá:+ Căn hộ studio.- Diện tích: 28 - 36m2 giá full 950tr tầng 2, tầng 5, tầng 8, tầng 21, tầng 23.+ Căn hộ 1 phòng ngủ.- Diện tích: 43m2, 53m2.- Giá bán: Giá full 1,35 tỷ tầng 2, tầng 6, tầng 9, tầng 21, tầng 23.+ Căn hộ 2 phòng ngủ.- Diện tích: 60m2.- Giá bán: Giá full 1,6 tỷ tầng 6, tầng 16, tầng 22, tầng 26.+ Căn hộ 3 phòng ngủ.- Diện tích: 75m2 - 100m2 tầng 2, tầng 6, tầng 12, tầng 25.- Giá bán: Giá full 2,4 tỷ.- Hỗ trợ trả góp 80% giá trị căn hộ.- Hỗ trợ làm thủ tục sang tên sổ đỏ.Liên hệ: ngay với tôi để nhận danh sách căn hộ rẻ nhất tháng 11. 
",Căn hộ,Sổ đỏ,, 15/11/2023,13/12/2023,Bán,1940771,,,,,,,,,,,,,,,,
"
bán cc xuân thủy - trần thái tông 35m /1pn /1pk giá 8xx ô tô cách 20m
","
860
Triệu ","
35
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Cầu Giấy']","
bán căn hộ ccmn xuân thủy tầng cao thoáng sáng vị trí đắc địa gần học viện báo chí nằm trên trục đường xuân thủy dịch vọng hậu căn hộ có diện tích 35m /1pn/1 pk bếp vệ sinh tăng lại hết đồ cho người mua mới bao gồm giường tủ sô fa điều hòa máy gặt ... nhà ít ở thiết bị vẫn rất tốtô tô cách nhà chỉ 20m giá bán 860 tr bao có thương lượng
",Căn hộ,,, 14/11/2023,12/12/2023,Bán,2629140,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
"
Cần tiền nên bán lại căn hộ 2 ngủ, 1vs 55m2,tầng trung tại Ocean Park , Giá cắt lỗ: 1.650ty
","
1,65
Tỷ ","
55
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Thông tin căn hộ. Loại căn 2 ngủ, 1vs. Diện tích: 55m2 thông thủy. Nhà nguyên bản chủ đầu tư. Giá cắt lỗ: 1.650tyLH e Trọng để xem nhà và nhận thêm thông tin nhé ạ  Đầy đủ các tiện ích xung quanh: bể bơi trường học, siêu thị, khu vui chơi ngoài trời, trung tâm thương mãi  
",Căn hộ,Sổ hồng,Tây-Nam, 15/11/2023,13/12/2023,Bán,2630872,,,,,,,,,,,,,,,,
"
Bán căn góc thoáng 144m2 3 ngủ cực rộng BRG Lê Văn Lương nhỉnh 9 tỷ
","
9,4
Tỷ ","
144
m2
",['Mua bán Căn hộ chung cư  BRG Diamond Residence'],"
Căn góc 144m2 với 3 phòng ngủ 3 vệ sinh cực thoáng, sở hữu khu bếp riêng có ban công hạn chế tối đa ám mùi phòng kháchMua xong nhận nhà về sửa sang hoàn thiện sẵn sàng đón TếtCăn hộ thuộc chung cư cao cấp BRG Diamond Residence vị trí trung tâm ngã tư Lê Văn Lương – Hoàng Đạo Thúy, sở hữu 5 tầng hầm và 5 tầng trung tâm thương mại thuận tiện đậu xe và sử dụng dịch vụ thiết yếu cũng như vui chơi giải trí hàng ngàyChủ đầu tư BRG hỗ trợ chính sách vay cực ưu đãi với chương trình vay tối đa 65%, lãi suất 0% và ân hạn nợ gốc tối đa đến 1/7/2024Giá bán: 9.4 tỷ kí hợp đồng trực tiếp chủ đầu tưLiên hệ xem nhà: 0911.772.*** (em Ngọc)
",Căn hộ,,Tây-Bắc, 15/11/2023,13/12/2023,Bán,2570274,,,,,,,,,,,,,,,,
"
Bán căn penthouse thông tầng 192m2 ban công Đông nam tòa K2 đẹp nhất KĐT Khai Sơn Long Biên
","
10,4
Tỷ ","
192
m2
",['Mua bán Căn hộ chung cư  Khai Sơn Town'],"
Căn penthouse thiết kế dạng duplex thông tầng hiếm hoi khu vực Long Biên, thuộc tòa K2 thoáng đẹp nhất khu đô thị Khai Sơn, sở hữu ban công Đông nam nhìn xuống công viên và hồ điều hòa 15haDiện tích sử dụng vừa phải 192m2 thông tầng 20-21 thiết kế 3 phòng ngủ rộng rãi, căn hộ có khoảng thông tầng cao tạo nên sự khác biệt, đẳng cấp cho gia chủLà 1 trong 3 căn penthouse ban công Đông nam hiếm hoi còn lại tại Khai SơnVị trí thuận tiện cho việc học hành với hệ thống trường liên cấp Times school, trường quốc tế Pháp Alexandre Yersin…trong bán kính 1kmGiá bán: 10.4 tỷLiên hệ xem nhà: 0911.772.*** (em Ngọc)
",Căn hộ,,Đông-Nam, 15/11/2023,13/12/2023,Bán,2630820,,,,,,,,,,,,,,,,
"
Bán căn biệt thự Đơn Lập Ngọc Trai VIP nhất dự án Vinhomes Ocean Park Gia Lâm 55 tỉ
","
Thỏa thuận
","
288
m2
","['liền kề  Vinhomes Ocean Park', 'Mua bán Nhà biệt thự']","
Là viên ngọc quý của dự án được bao bọc bởi hồ điều hòa và hệ thống kênh đào tuyệt đẹp trải rộng xung quanh.Với hệ thống tiện ích trọn vẹn và riêng tư giúp cuộc sống trở nên trọn vẹn và dễ dàng thì đây là không gian đán sống đáng mơ ước đáng tự hào.Nằm ở phân khu khép kín duy nhất của dự án với hệ thống an ninh 24/7 giúp bảo đảm an toàn về con người và tài sản của cư dân đảo Ngọc.Nơi có nhiều tiện ích nhất của dự với 2 công viên sân chơi nội khu,bể bơi ngoài trời thêm vào đó là hệ thống nướng BBQ riêng biệt chỉ dành cho cư dân trong đảo.Chủ nhà thiện chí bán giá 55 tỉ bao toàn bộ thuế phí sang tên.Diện tích 288m².Diện tích xây dựng 137m²/sàn x 3,5 tầng.Quý khách hàng quan tâm liên hệ em Thắng: 09814862***để được tư vấn về giá và xem nhà trực tiếp.
","Nhà biệt thự, liền kề",Sổ đỏ,Đông-Nam, 15/11/2023,13/12/2023,Bán,2577873,,,,,,,,,,,,,,,,
"
Chính chủ cần nhượng lại căn 3 ngủ rẻ nhất, tầng trung, full đồ, Tại Ocean Park , Giá cắt lỗ: 2.5ty
","
2,5
Tỷ ","
75
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Thông tin căn hộ. Loại căn 3 ngủ góc. Diện tích 75m2. full đồ, tâng trung thoáng mát. Giá: 2.5ty  Đầy đủ các tiện ích xung quanh: bể bơi trường học, siêu thị, khu vui chơi ngoài trời, trung tam thương mại...  
",Căn hộ,,Đông-Bắc, 15/11/2023,13/12/2023,Bán,2630824,,,,,,,,,,,,,,,,
"
Bán nhà Quận Thanh Xuân, 6 Tầng Thang Máy, Gara Ô Tô-giá 9.70 Tỷ
","
9,7
Tỷ ","
40
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Hoàng Đạo Thành']","
Nhà bán nằm trong phố Hoàng Đạo Thành, Quận Thanh Xuân, gần đường vành đai 3, đường Nguyễn Trãi, khu vực quận Hoàng Mai, Hà Đông....Diện tích sổ 40m2, mặt tiền 5.9m, 6 tầng thang máy, gara ô tô.Thiết kế: tầng 1, gara, bếpTầng 2, 3: thông sànTầng 4,5 : mỗi tầng 2 phòng ngủTầng 6 sân phơiSổ đỏ chính chủ Nhà xây mới, chủ đầu tư xây dựng tỉ mỉ, kiên cố, giá có thương lượng...Anh/Chị quan tâm căn nhà liên hệ E Đức 24/7
",Nhà riêng,Sổ đỏ,, 15/11/2023,13/12/2023,Bán,2630817,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"
Chính chủ bán cắt lỗ căn góc 3 ngủ lớn nhất, 98m2, tầng trung, tại Ocean Park. LH:0818858***
","
3,4
Tỷ ","
98
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Thông tin căn hộ: . Loại căn 3 ngủ góc rộng nhất . Diện tích: 98m2. Giá cắt lỗ: 3.4tyLH e Trọng để xem nhà Đầy đủ các tiện ích xung quanh: bể bơi trường học, siêu thị, khu vui chơi ngoài trời, trung tam thương mại...  
",Căn hộ,,Đông-Bắc, 30/10/2023,27/11/2023,Bán,2601856,,,,,,,,,,,,,,,,
"
Tôi cần nhượng lại căn hộ 2 ngủ, 2vs, full đồ, Hướng ĐN mát, tại Vinhomes Ocean Park, Giá: 2.03ty
","
2,03
Tỷ ","
63
m2
",['Mua bán Căn hộ chung cư  Vinhomes Ocean Park'],"
Thông tin căn hộ. Loại căn 2 ngủ, 2vs. View thoáng, hướng mát, có thể nhìn được ra sông san hô. Diện tích sử dụng: 63m2. Giá cắt lỗ: 2.03ty  Đầy đủ các tiện ích xung quanh: bể bơi trường học, siêu thị, khu vui chơi ngoài trời, trung tam thương mại...  
",Căn hộ,,Đông-Nam, 02/11/2023,30/11/2023,Bán,2608003,,,,,,,,,,,,,,,,
