Title,Price,Area,Address,Gen_descrip,Loại hình,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Hướng nhà,Số phòng ngủ,Hướng ban công,Số tầng,Căn góc,Nội thất
"
Bán nhà 6 tầng có thang máy tại Mỹ Đình quận Nam Từ Liêm Hà Nội.
","
4,5
Tỷ ","
33
m2
","['Hà Nội', 'Quận Nam Từ Liêm', 'Mua bán Nhà riêng tại đường Mỹ Đình']","
💎 Bán nhà 6 tầng có thang máy tại Mỹ Đình quận Nam Từ Liêm Hà Nội.👉 Diện tích 33m2 thực tế 36m2. Sổ đỏ chính chủ, pháp lý rõ ràng.✔️ Chủ nhà xây ở nên rất tâm huyết, thiết bị đắt tiền, thang máy ngoại nhập, kiến trúc hiện đại.✔️ Thiết kế tầng 1 để xe, trên mỗi tầng 1 phòng.✅ Chủ đang mong muốn 4,5 tỷ. Khách thiện trí có thẻ thương lượng thêm.☎️ 090491507***0973010***.💖 Nhận ký gửi MB BĐS và hỗ trợ ngân hàng.
",Nhà riêng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 08/11/2023,06/12/2023,Bán,2315102,,,,,,,
"
Bán gấp 81m2 hoặc cho thuê mặt đường Yên Vĩnh, Kim Chung, Hoài Đức, Hà Nội
","
4,86
Tỷ ","
81
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Đất tại Đường Yên Vĩnh']","
Bán 81m2 đất mặt đường Yên Vĩnh Kim Chung ngay trường cấp 2 cổng chào Yên Vĩnh.Cách khu đô thị Hinode Royal Park 150m vị trí đông dân cư kinh doanh nhộn nhịp.Ô tô con tránh nhau thoải mái. Chủ vừa làm nhà cấp 4 gác xép khung thép chắc chắn, đầy đủ điện nước, vệ sinh,, về chỉ việc mở bán hàng, quán ăn quán nhậu quán bia,, mở siêu thị mini.. Hoặc bán hàng online..Giá: 60tr/m2. Có thương lượng.Liên hệ để biết thêm thông tin cụ thể.
",Đất,,,,,,,,,,,,,,, 08/11/2023,06/12/2023,Bán,1701486,,,,,,,
"
Bán nhà 6 tầng thang máy 5,x tỷ sây Đt HUD Vân Canh Hoài Đức - Hà Nội giá 5.35 Tỷ
","
5,35
Tỷ ","
39
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Nhà riêng tại Xã Vân Canh']","
💎 Tài chính hơn 5 tỷ.. Nhà 6 tầng 39m2 ô tô đỗ cửa.Kiến trúc hiện đại, thiết bị cao cấp, thang máy đắt tiền.Vị trí cuối Trịnh Văn Bô kéo dài, sát khu đô thị, cạnh đường rộng 24m.Cách Mỹ Định 5p chạy xe. Cách vành đai 3.5 hơn 100m.✅ Chủ mong muốn 5,35 tỷ.Khách hàng thiện trí alo em hẹn gặp chủ đàm phán thêm.☎ 090491507***0973010***.Nhận ký gửi MB BĐS và hỗ trợ ngân hàng.
",Nhà riêng,,,,,,,,,,,,,,, 08/11/2023,06/12/2023,Bán,2480980,Sổ đỏ,,,,,,
"
Bán nhà Phạm Ngọc Thạch , oto đỗ cổng ,nội thất hiện đại , 42m x 4tầng , chỉ 5.3 tỷ
","
5,3
Tỷ ","
42
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Đường Phạm Ngọc Thạch']","
Vị trí trung tâm Quận , trọng điểm phát triển từng ngày . Căn nhà tọa lạc tại Phố Phạm Ngọc Thạch , oto đỗ cổng , với diện tích 42m , xây dựng 4 tầng kiên cố , đầy đủ công năng sử dụng , chỉ 5.3 tỷ (  có thương lượng ) .Xung quanh tiện ích đầy đủ không thiếu thứ gì : hồ điều hòa , chợ , trường học các cấp , khu vui trơi , ....Giao thông vô cùng thuận tiện , nơi tiếp giáp giữa các tuyến phố sầm uất : # Nguyễn Ngọc Doãn ,# Hồ Đắc Di , Xã Đàn , #Chùa Bộc , #Tôn Thất Tùng ....Sổ đỏ vuông vắn , sẵn sàng sang tên .Liên hệ xem nhà miễn phí ngay hôm nay : 0919922*** ( call-zalo)
",Nhà riêng,,,,,,,,,,,,,,, 08/11/2023,06/12/2023,Bán,2617510,Sổ đỏ,Đông-Nam,,,,,
"
1,91 tỷ Bán căn hộ 1pn + DT 43m2 view nội khu bể bơi, sẵn sổ. LH: 098.782.5***
","
1,91
Tỷ ","
43
m2
",['Mua bán Căn hộ chung cư  Vinhomes Smart City'],"
Chính chủ bán gấp căn hộ 1pn+ DT 43m2, BC Tây Nam, View bể bơi nội khu, Toà S1 Vinhomes Smart City. Tiện ích hoàn thiện nhất khu S1,S2. LH: 098.782.5***- Diện tích sử dụng: 43m2. Thiết kế gồm: 1 phòng khách, 1 phòng ngủ chính và không gian + có thể làm thành phòng ngủ cho trẻ, phòng làm việc, đọc sách hoặc ko gian trưng bày- Hướng cửa chính: Đông Bắc- Ban công: Tây Nam- View nội khu, bể bơi và sân chơi thể thao- Full nội thất liền tường- Đã có sổ đỏ, sẵn sàng giao dịch- Giá: 1,910 tỷ bao toàn bộ thuế phí đến khi ra sổLiên hệ 098.782.59***để nhận thông tin chi tiếtĐặc quyền khi trở thành cư dân Vinhomes: Sử dụng Full tiện ích 5 sao như: Bể bơi 4 mùa và hệ thống bể bơi tại các cụm KĐT, Công viên trung tâm hồ điều hoà cát trắng có hệ thống bếp nướng BBQ, Công viên thể thao với hàng nghìn máy tập, Khu vui chơi trẻ em nội khu và ngoại khu, Vườn Nhật mang đậm phong cách xứ Phù Tang, Trung tâm thương mại Mega Mall lớn nhất miền Bắc, Bệnh viện Vinmec, Trường học liên cấp Vinschool và 16 điểm trường quanh dự án.Liên hệ: Zalo 098.782.59***để trở thành cư dân Vinhomes Smart City.
",Căn hộ,,,,,,,,,,,,,,, 04/11/2023,02/12/2023,Bán,2611016,,,,,,,
"
Chuyển nhượng shop thương mại tại Hope Residence Phúc Đồng, Long Biên DT 83 - 195m2 giá từ 57Tr/m2
","
5,1 - 14
Tỷ ","
83 - 195
m2
",['Mua bán Nhà phố thương mại Shophouse  Hope Residence'],"
Chuyển nhượng shop chân đế hope Residence Phúc Đồng ngay ngã 4 đèn xanh đèn đỏ giao với  đường Chu Huy Mân và Nguyễn Lam.- Thông ra các tuyến phố Huỳnh Văn Nghệ, Vũ Đức Thận, Đoàn Khuê, Đình Đức Thiện, QL5 được hưởng tiện ích trong khu Biệt thự cao cấp Vinhome Riverside, Vinhome The Harmony, Le Grand Jardin Sài Đồng, KĐT Việt Hưng.- Shophouse phù hợp để làm văn phòng, Kinh doanh nhà hàng, kinh doanh siêu thị, quầy thuốc, ngân hàng, cafe, trà sữa, và các thương hiệu nhượng quyền …...- Có đến 1200 căn hộ đã ở full tại dự án đem đến lượng khách hàng và nhu cầu rất lớn.- Diện tích đa dạng: 83m², 104m², 121m², 170m², 176m², 195m²- Mua để đầu tư giữ giá trị dòng tiền hay cho thuê rất được giá- Sổ đỏ trao tay + sẵn sàng giao dịch.- Liên hệ xem nhà: 09.1133.9***
",Nhà phố thương mại Shophouse,,,,,,,,,,,,,,, 27/10/2023,10/11/2023,Bán,2263741,Sổ đỏ,,,,,,
"
Mở bán căn shophouse đẹp nhất dự án Berriver Long Biên Diện tích từ 80 - 270m2
","
4,5 - 20
Tỷ ","
80 - 270
m2
",['Mua bán Nhà phố thương mại Shophouse  Premier Berriver Long Biên'],"
ĐÂY LÀ GÌ? CƠ HỘI ĐẦU TƯ - TĂNG TRƯỞNG TÀI CHÍNH CHO KHÁCH HÀNG Shophoues siêu hót hót dự án cao cấp Berriver long biên!Diện tích từ 80m2 - 105m2 - 260m2 shophouse chân đếSổ hồng sử dụng lâu dài - trao tay cho khách hàng ngay.===================Hệ thống cơ sở hạ tầng đồng bộ giao thông thuận lợi - Phải nói là vị trí kim cương Kinh doanh. Đặc biệt là nằm trong hệ thống khu cư dân có đời sống cao được du nhập từ bên phố cổ sang - chỉ qua mỗi cây cầu chương dương. Với chỉ có cơ hội 1 lô duy nhất - đang là xu hướng và lợi thế chiến lược kinh doanh cho các thương hiệu lớn - chuỗi cửa hàng cafe, thực phẩm sạch, Hàng thời trang nhập khẩu, thương hiệu lớn .......Khối lượng khách hàng cao cấp và nhu cầu sử dụng các dòng sản phẩm cao cấp thì đã hiện hữu sẵn tại vị trí dự án và trong tòa nhà - cũng như là xung quanh Tổ hợp 5 tòa nhà cao cấp chung cư berriver đẹp hót nhất Long Biên hiện nay
",Nhà phố thương mại Shophouse,,,,,,,,,,,,,,, 04/09/2023,13/11/2023,Bán,1453655,Sổ đỏ,Đông-Nam,,,,,
"
Cần bán căn hộ cao cấp Hapulico Complex Nguyễn Huy Tưởng - Thanh Xuân - 88m2, đủ nội thất, 4,388 tỷ
","
4,39
Tỷ ","
88
m2
",['Mua bán Căn hộ chung cư  Hapulico Complex'],"
Chính chủ gửi bán căn hộ cao cấp tại tôt hợp chung cư Hapulico Complex - ngay giao cắt Nguyễn Huy Tưởng - Vũ Trọng Phụng, Q. Thanh Xuân - 88m², 2pn + 2wc, nội thất đầy đủ xin xò; giá: 4 tỷ 388 triệu.- Tòa nhà tọa lạc tại vị trí trung tâm quận Thanh Xuân, giao thông rất thuận lợi di chuyển các hướng Ngã Tư Sở - Hà Đông - Cầu Giấy - Vành đai 3...- Tổ hợp căn hộ Hapulico Complex nằm ngay giao cắt phố Nguyễn Huy Tưởng và Vũ Trọng Phụng, tiện ích xung quanh đầy đủ: Trường học các cấp, bể bơi nước mặn 4 mùa, TTTM + chợ, chợ thuốc - dịch vụ chăm sóc sức khỏe, nhà hàng, spa, khu vui chơi giải trí...- Diện tích căn hộ:  88m² với thiết kế 2PN, 2WC, bếp + phòng khách rộng, ban công thoáng sáng mát mẻ.- Tòa nhà 24 tầng - 2 tầng hầm - 6 thang máy, bảo vệ 24/7, camera an ninh.- Nhà có slot ô tô và 2 xe máy dưới tầng hầm, phí dịch vụ căn hộ 5k/m/tháng.- Sổ đỏ chính chủ, sở hữu lâu dài.- Gía: 4 tỷ 388 triệu (có thương lượng tốt cho khách thiện chí).- Qúy cô/chú/anh/chị quan tâm vui lòng liên hệ: 0941 668 118hỗ trợ 24/7).
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 08/11/2023,06/12/2023,Bán,2528975,Sổ hồng,,,,,,
"
Bán nhà riêng Quận Thanh Xuân - Hà Nội giá 6.69 Tỷ
","
6,69
Tỷ ","
40
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Đường Vũ Trọng Phụng']","
CHÍNH CHỦ GỬI BÁN GẤP: NHÀ MỚI ĐẸP - ĐẦU NGÕ TRÊN PHỐ VŨ TRỌNG PHỤNG, QUẬN THANH XUÂN, NGÕ THÔNG - KD ONLINE - CÁCH MẶT PHỐ VŨ TRỌNG PHỤNG 10M- DIỆN TÍCH SỔ 34M2, THỰC TẾ SỬ DỤNG: 40M2, 6 TẦNG XÂY DỰNG, MẶT TIỀN 4,8 MÉT, GIÁ LỘC PHÁT: 6 TỶ 688 TRIỆU - Nhà chủ tự xây có thuê thiết kế cực kỳ tâm huyết, tặng lại toàn bộ đồ gỗ đắt tiền. Thiết kế giếng trời cuối nhà nên nhà cực thoáng và sáng.- Vị trí tốt: cách mặt phố Vũ Trọng Phụng chỉ 3 nhà, cách đường Nguyễn Trãi hơn 100m, gần trường học các cấp; gần chợ, TTTM; gần các bện viện lớn, giao thông các ngả cực thuận tiện...- Thiết kế hiện đại:+ T1: Phòng khách, bếp+ T2: Phòng ngủ vệ sinh khép kín.+ T3: Phòng ngủ vệ sinh khép kín.+ T4: Thông sàn - vệ sinh tầng.+ T5: Thông sàn đang kinh doanh online.+ T6: Phòng thờ sân phơi.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.- Gía Lộc Phát: 6 tỷ 688 triệu - có thương lượng tốt cho khách thiện chí. - Qúy cô/chú/anh/chị quan tâm vui lòng liên hệ: 0941 - 66 - 8*** (hỗ trợ 24/7).#vutrongphung #nguyentrai, #thanhxuan #hanoi
",Nhà riêng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 08/11/2023,06/12/2023,Bán,2558533,Sổ đỏ,,,,,,
"
7 tầng -thuỵ khuê tây hồ- 13 tỉ -53 m i 3 mặt tiền i ô tô vào nhà -
","
13
Tỷ ","
53
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Nhà mặt phố tại đường Thụy Khuê']","
Ngõ Ô tô - Thuỵ Khuê Tây Hồ - 3 mặt tiền - 7 tầng Thang máy Diện tích 53 m l 7 tầng l mặt tiền 4m l 12.3 tỷ 
Mô tả: +Mặt ngõ thông Kinh doanh +Ô tô chạy quanh nhà . +Thang máy +Nhà 3 mặt thoáng+ Vừa ở + Kinh doanh 
2. Thiết kế : +7 Tầng Thang máy.+T1 : Gara oto+T2 : PK +T3,4,5: 3 PN + KHÉP KÍN+T6: Bếp - Phòng Thờ+T7 : Sân Thượng Ngắm cảnh, trồng cây . 
 3. Pháp lý : - Sổ đỏ chính chủ giao dịch ngay.
4. Liên hệ xem nhà : 
",Nhà mặt phố,,,,,,,,,,,,,,, 07/11/2023,05/12/2023,Bán,2617213,Sổ đỏ,,5,,,,
