Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bàn ghế P.khách
"
MASTERI căn 2PN2WC View Hồ công viên, miễn phí dv 3 năm. Giảm CÒN 3,8 TỶ, Full nội thất cao cấp.
","
3,8
Tỷ ","
59
m2
",['Mua bán Căn hộ chung cư  Masteri West Heights'],"
Sở hữu căn hộ VIEW HỒ ĐIỀU HOÀ với tầm nhìn hoàn hảo, căn góc VIP nhất phân khu, tiện ích đẳng cấp nhất dự án Masteri West Height - Vinhomes Smart City, vận hành toà nhà theo tiêu chuẩn khách sạn 5 sao,....mong muốn mang lại những giá trị tốt nhất cho gia đình thì đây là một sản phẩm dành cho dành cho Anh/chị:- Căn 2PN 2WC view thẳng hồ công viên trung tâm, hướng mát.- Là sự kết hợp hoàn hảo khi nằm tại toà nhà của phân khu đẳng cấp nhất dự án Vinhomes Smart City.- Giá ký mới trực tiếp từ Chủ Đầu Tư còn 3.8 tỷ trọn gói toàn bộ( đã bao gồm toàn bộ VAT + kinh phí bảo trì + ....)Liên hệ: 0395886445***PKD CĐT Masteries Homes.+ Vị trí đắc địa, cạnh CV Trung Tâm, nhà để xe...+ Miễn phí quản lý: 36 tháng.+ Miễn phí trọn đời phòng tập Gym, Yoga + bể bơi....+ Bể bơi vô cực và sky garden riêng mỗi toà trên tầng thượng và phòng chiếu phim... và sử dụng 22 tiện ích dịch vụ như khách sạn 5*+ Có 2,5 tầng hầm rộng 5ha và 2 nhà xe nổi. Giải quyết ngay vấn đề đỗ xe cho cư dân.+Có sảnh lễ tân đón tiếp khách 24/7, phòng chờ riêng tư.+ Bàn giao: Full nội thất cao cấp thiết bị đều là thương hiệu nhập khẩu như: Grohe, Hafele, Kohler, Daikin,... Hệ thống kính Low -E cao cấp trang bị trong căn hộ....Liên hệ: 03958864***Nguyễn Nhung - PKD CĐT Masteries Homes. 
",Căn hộ,Sổ hồng,Đông-Bắc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 15/11/2023,13/12/2023,Bán,2491494,,,,,,
"
Bán biệt thự đơn lập 3 tầng có hầm căn góc view sông, công viên giá chỉ 76tr/m2 cả đất cả xây.
","
35,7
Tỷ ","
493
m2
","['liền kề  An Lạc Green Symphony', 'Mua bán Nhà biệt thự']","
BIỆT THỰ ĐƠN LẬP 3 TẦNG CÓ TẦNG HẦM VIEW SÔNG, CÔNG VIÊNGIÁ CHỈ TỪ 75TR/M CẢ ĐẤT CẢ XÂY BẰNG CĂN CHUNG CƯ.*Chính sách bán hàng cực Hot T11 - 2023.- Chiết khấu lên tới 7%.- Vay 65% giá trị HĐMB - Hỗ trợ LS 0% lên tới 18 tháng.- Thanh toán 30% kí HĐMB trực tiếp CĐT.* Quỹ căn đa dạng:- Diện tích từ 126m² - 135m² - 142m² - 258m² - 300m².- Biệt thự đơn lập có hầm, thiết kế 3 tầng 1 tum.* Vận hành quản lý đơn vị Quốc tế CBRE.* Pháp lý sổ đỏ lâu dài.* Nhận nhà ở ngay.* CĐT Tập đoàn An Lạc uy tín - Thành lập 21 năm.- Quà tặng đặc biệt chỉ có trong tháng này:+ Tặng vàng SJC.+ Miễn phí 02 năm phí dịch vụ.+ Bốc thăm may mắn 03 ô tô cho khách hàng hoàn thiện trong năm 2023.--------------------------------------* Hotline hỗ trợ KH: 0982 145 3***em Diễm Phương / 0988 379 6***Tá Quyết TPKD.Cam kết tư vấn chuẩn giá bán và thông tin dự án.Không chênh, không phí phát sinh. Luôn có giá bán tốt nhất khu vực.
","Nhà biệt thự, liền kề",Sổ hồng,Đông-Nam,,,,,,,,, 15/11/2023,13/12/2023,Bán,2631247,,,,,,
"
Song Lập , Cực Hiếm, 258m2 , view trường học. 65tr/m2. Sổ đỏ lâu dài. nhận nhà NGAY. LH 0365658***
","
16,9
Tỷ ","
258
m2
","['liền kề  An Lạc Green Symphony', 'Mua bán Nhà biệt thự']","
- Bán căn SL Cực Hiếm - An Lạc Green Symphony, View Trường học.  GIÁ 65tr/m². Sổ đỏ lâu dài .- Thiết kế 3 tầng 1 tum, BC Đông Nam hướng mát.- Gần công viên trung tâm, bể bơi vô cực, clubhouse, và nhiều tiện ích.- Mặt tiền 7m, đường trước nhà 13,5m². gần trục chính đường 58m, Ô tô đỗ thoải mái.* Là căn SONG LẬP hiếm nhất dự án, giá tốt nhất.* Quà tặng tân gia Vàng SJC.- Vốn tự có chỉ 5,5 tỷ. Bank hỗ trợ 0% lên tới 18 tháng.- Dư địa tăng giá tốt khi hạ tầng đồng bộ, tuyến vành đai 3,5 hoàn thiện, kết nối thuận tiện, Di chuyển tới Mỹ Đình chỉ 10p di chuyển.------------------------------------Khách hàng quan tâm liên hệ em ngay để được tư vấn và hỗ trợ xem căn hộ miễn phí.Hotline: 0365658***    Hỗ trợ thủ tục nhanh gọn, Cam kết giá tốt nhất thị trường). E Quyết.
","Nhà biệt thự, liền kề",Sổ đỏ,Đông-Nam,,,,,,,,, 15/11/2023,13/12/2023,Bán,2631235,,,,,,
"
Bán căn hộ HH Linh Đàm thiết kế 2PN,2WC đầy đủ nội thất mới
","
1,72
Tỷ ","
67
m2
",['Mua bán Căn hộ chung cư  Khu đô thị mới Linh Đàm'],"
Tôi có căn hộ HH Linh Đàm cần bán diện tích 67m2 thiết kế gồm 2PN,2WC đầy đủ nội thất mới rộng rãi thoáng mát. Nội thất căn hộ bao gồm: Sàn gỗ,trần thạch cao,bàn ghế sofa,tivi,tủ lạnh,khu vực bếp,giường,tủ quần áo...Khách mua chỉ việc sách vali vào ở. Pháp lý căn hộ chặt chẽ ( HĐ mua bán vĩnh viễn ). Ngân hàng hỗ trợ vay bank tối đa 70% giá trị HĐ căn hộ. Giá bán : 1 tỉ 720tr ( Giá đã bao gồm hết chi phí giấy tờ sang tên ).Lh Mr.Chiến: 0945  266 555
",Căn hộ,,,,,,,,,,, 15/11/2023,13/12/2023,Bán,2631229,,,,,,
"
Shophouse đại lộ san hô 100m2 view vincom mặt đường 51m
","
Thỏa thuận
","
65 - 1002
m2
","['Hà Nội', 'Mua bán Nhà mặt phố tại Huyện Gia Lâm']","
Giới thiệu anh chị căn Shophouse Đại lộ san hô 1x. Mặt đường rộng 51m View trực diện Cổng ra vào Vincom Mega Maill lớn nhất miền bắc, Cầu tạo sóng điểm dung chuyển, níu chân nguồn khách khủng lồ của hai đại dự án Vhop2,3. Khai thác dòng tiền bền vững với vốn đầu tư vô cùng hợp lý. THÔNG TIN CHI TIẾT 💎Mã căn: ĐLSH-1X 💎Diện tích đất: 100,2 m2 💎Xây dựng tầng 1: 65.2 m2 💎Tổng xây dựng: 246.4 m2 💎Mặt tiền: 6m 💎Kết cấu: 4 tầng 1 mái 💎Giá CĐT: 13,385 tỷ 💎Giá VAY: 12,4 TỶ ( 127tr/m2) 💎Giá sau chính sách chỉ còn: 11,399 Tỷ ( 113tr/m2 ) 💎Vốn tự có chỉ 30% : 3,732 TỶ 💰Săn hợp đồng thuê 1,240 tỷ trong 30 tháng (41 triệu / 1 tháng) 💰Tăng xe Vinfast VF8 Plus ( 1,270 tỷ)💰 💰Tăng gói nội thất 1,75 triệu/m2 X Tổng xây dựng = 431 triệu 💰 ✨Khách được vay ngân hàng 70% với lãi suất cố định 3.5%/năm trong 30 tháng, ân hạn nợ gốc 30 tháng.Đây là 1 kênh đầu tư tạo dòng tiền ổn định và tăng giá trị bất động sản rất cao. Anh chị quan tâm liên hệ ngay với em để được tư vấn căn đẹp nhất giá tốt nhất.HOTLINE TƯ VẤN ĐẦU TƯ UY TÍN  0946014444***0946605***
",Nhà mặt phố,,,,,,,,,,, 15/11/2023,13/12/2023,Bán,2631231,,,,,,
"
Sở hữu căn 77,67m2 full nội thất cao cấp, sổ đỏ trao tay tại Ecocity Việt Hưng chỉ 2,6 tỷ
","
2,6
Tỷ ","
72
m2
",['Mua bán Căn hộ chung cư  Eco City Việt Hưng'],"
* Thông tin căn hộ:- Diện tích thông thủy: 77,67m2 thiết kế 2 ngủ 2 vệ sinh , bếp thông loggia, phòng khách vuông vắn - Bàn giao full nội thất cao cấp gồm: Sàn gỗ công nghiệp, trần thạch cao, thiết bị vệ sinh đầy đủ ToTo, tủ bếp trên dưới, máy hút mùi, điều hòa, đèn chiếu sáng, …..- Sổ hồng lâu dài- Quỹ căn khác: 63,6m2; 72,84m2; 77,65m2;.......--------------------------------------------* Tiện ích nổi bật:- Vị trí đắc địa nằm tại lô đất CT – 21B KĐT Việt Hưng , tiếp giáp trục đường lớn Đoàn Khuê – Lưu Khánh Đàm , liền kề đô thị Việt Hưng và Vinhome Riverside.- Tiện ích nội khu: bể bơi ngoài trời 4 mùa, phòng tập gym, quần thể nhà hàng, café, giải trí, công viên cây xanh, phòng hội nghị tiệc cưới,........... - Thừa hưởng các tiện ích hạ tầng đẳng cấp như: Trường liên cấp Việt Hưng 0,2km, công viên Việt Hưng 1,6km, đại siêu thị Aeon Mall Long Biên 3km, bệnh viện Đức Giang 2,2km,Vinschool, trường quốc tế BIS, Wellspring, Marie Curie , BV Đức Giang. ………----------------------------------------------* Hotline trực tiếp phòng kinh doanh của CĐT để xem căn hộ thực tế và tư vấn (24/7):0378.166.*** – Ms Nhung ( Call, Sms,Zalo).
",Căn hộ,Sổ hồng,Đông-Nam,,,,,,,,, 02/11/2023,16/11/2023,Bán,2606057,,,,,,
"
1,7 tỷ bán nhanh căn Studio view trực diện hồ Vinhomes Smart City. LH: 0987825***
","
1,7
Tỷ ","
28
m2
",['Mua bán Căn hộ chung cư  Imperia Smart City'],"
Bán nhanh căn Studio toà I2 view trực diện hồ, dự án Imperia Vinhomes Smart City, Tây Mỗ.- Toà: I2- Ban công: Đông Bắc- View: công viên trung tâm và hồ điều hoà- Diện tích: 28,1m2- Giá: 1,7 tỷ bao phí- Hiện trạng nhà nguyên bản CĐT, nhà mới tinh chưa ở ngày nào, đã có full phòng tắm, và 1 cái điều hoà.Xem nhà liên hệ: 098.782.5***
",Căn hộ,,,,,,,,,,, 15/11/2023,13/12/2023,Bán,2631069,,,,,,
"
Bán Penthouse 300m2 Siêu hót thiết kế Duplex nằm phố Duy Tân - Cầu Giấy (bàn giao thô)
","
Thỏa thuận
","
300
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
Siêu phẩm Biệt thự trên cao Penthouse Dreamland Bonanza nằm trên Phố Duy Tân - Cầu Giấy.Nơi hưởng thụ không gian sống Đẳng cấp - Giới hạn vị trí đẹp  quận Cầu GiấyToà nhà: Dreamland Bonanza Số 23 Duy Tân - Cầu Giấy ==========================Tổng diện tích: 300m². Trong đó:- Diện tích tầng 1: 180 m² - Tầng 2: 120 m²- Diện tích khoảng  ban công 17m².Thiết kế: ( 4 - 5 phòng ngủ -5 wc). Độ cao trần phòng khách: 6.7m. Mỗi tầng cao 3.3m.- Bàn giao : Thô - Có bể bơi, gym, golf, bóng bàn, yoga, sân chung nằm tại tầng 6 – 7 toà nhà.- Tầng 1 – 2 là khối thường mại ngân hàng – Siêu thị đã đi vào vận hành.==========================Đặc biệt căn Penthouse sở hữu view siêu thoáng nằm trên tầng cao nhất toà nhà, Không gian bên trong đều có cửa sổ rộng.Ngoài ra có sẵn các tiện ích toà nhà  chủ nhân được sử dụng miễn phí trong 2 năm.và sử dụng free phí DV 3 năm đầu.Chủ nhân  sở hữu căn Penthouse  được sử dụng thang riêng biệt.(ảnh thiết kế 3D ) Hotline: zalo/viber : 0987 106 ***Trân trọng !!! 
",Căn hộ,Sổ hồng,Đông-Bắc,,,,,,,,, 15/11/2023,29/11/2023,Bán,2468679,,,,,,
"
Bán Căn Duplex 190m2 Roman Plaza. - Tỗ Hữu Full nội thất, sẵn sổ đỏ giao dịch ngay Lh: 0987106***
","
Thỏa thuận
","
190
m2
",['Mua bán Căn hộ chung cư  Roman Plaza'],"
Chính chủ chuyển sang B,Thự  cần bán căn Penhouse/Duplex  Roman Plaza Tố Hữu - Sổ đỏ sẵn  Nơi hưởng thụ cuộc sống thượng lưu – Phiên bản giới hạn toà nhà------------------------------------------Diện tích: 190 m² thông tầng (21- 22)+ Tầng 1: (01 ngủ, 01WC chung, bếp, sảnh, khu vực phòng ăn và khu vực phòng khách). Sân Vườn ban Công dài suốt chiều ngang căn hộ.+ Tầng 2: 01 ngủ master, 01 ngủ thường đều khép kín, phòng đọc sách và phòng thờ). 2 phòng ngủ đều có ban công riêng view về phố liền kề shophouse galaxy, tố hữu - Vạn Phúc (view thoáng vv). Căn góc. Cửa chính Đông Bắc.- Ban công Tây Nam.- Nội ngoại thất đầy đủ mới đẹp.làm cẩn thận.- Tiện ích thông minh xịn xò.- View đẹp, căng tầm mắt. Tiện ích nội ngoại khu đầy đủ và đẳng cấp.- Phí dv 8k (1,5tr/ tháng).- Tặng lại 3 slot để xe ô tô.- Sổ đỏ khoá trong 3 lớp két sắt trong nhà. ( Giao dịch được ngay)Giá bán: 11 tỷ Hotline: 0987 106 ***
",Căn hộ,Sổ hồng,Tây-Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 02/11/2023,30/11/2023,Bán,2352535,1.0,1.0,1.0,1.0,1.0,1.0
"
Bán Penthouse 485m2 Mulberry Lane căn biệt thự trên cao đẳng cấp sân vườn riêng - sổ đỏ sẵn
","
Thỏa thuận
","
480
m2
",['Mua bán Căn hộ chung cư  Mulberry Lane'],"
𝕄𝕦𝕝𝕓𝕖𝕣𝕪 𝕃𝕒𝕟𝕖 – 𝕃à𝕟𝕘 𝕍𝕚ệ𝕥 𝕂𝕚ề𝕦 ℂ𝕙â𝕦 Â𝕦 - Sở  Hữu ngay làm háng xóm với Ca Sĩ Hương Ly Mulbery Lane – Làng Việt Kiều Châu Âu, Siêu phẩm Penthouse đẳng cấp trên không – sân vườn riêng trên cao  đẹp nhất Quận Hà Đông .Không Gian thiết kế căn Penthouse  Mulbery Lane – Mộ Lao được  thiết kế. không gian sống “XANH” tiện ích đầy đủ giữa Thủ đô.====================Thông tin chi thiết:+ Diện tích căn hộ: 415m² + Diện tích sân vườn riêng:  70m² - Thiết kế : (4Pn – 5wc) Tầng 35==================== #  Đặc_biệt:  Được thiết kế phòng Masster King: >100m2.  Không gian riêng tư cho chủ nhân căn Penthouse “Rộng – thoáng – đẳng cấp”- (thiết kế mất 200tr decor rất đẹp tặng lại cho người mua).- Là 1 trong những căn penthouse cả HN gần như không có dự án nào có được diện tích lớn và giá tốt như vậy.- Không gian sống cực kỳ ấn tượng, dành cho những ai thích không gian rộng, mở, giếng trời vô cùng thoáng, tràn ngập ánh sáng.- Khoag sân vườn riêng rộng lớn chủ nhân thoả sức sáng tao cho căn Biệt thự trên không.Khu dân cư cao cấp có 54 tiện ích cao cấp:   Tìm hiểu ngay về siêu phẩm độc nhât  Hà Đông này !!! Hotline: 0987. 106. *** 
",Căn hộ,Sổ hồng,Đông-Bắc,,,,,,,,, 02/11/2023,30/11/2023,Bán,2132599,,,,,,
