Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ
"
Cần bán gấp căn chung cư The Sakura , giá rẻ tại Quận Nam Từ Liêm - Hà Nội
","
Thỏa thuận
","
--
",['Mua bán Căn hộ chung cư  The Sakura'],"
 Cần bán căn Studio ở ngay tại KĐT vin smart city liên  hệ 0973 710 ***- thuộc khu Sakura gần trường học, có bể 4 mùa, vườn trên mây, phòng  gym spa đầy đủ - DT : 28m tim tường- nội thất : đầy đủ chỉ việc về ở- giá : 1.38 tỉ bao sang tên** cam kết giá chuẩn không phát sinh phí ***- nhà mới, giá  mềm nhất thị trường, tầng trung đẹp.- liên  hệ  ngay xem nhà và hỗ trợ thủ tục : 0973 710 ***KĐT vin smart city đẹp nhất tại TP  Hà  Nội với chuẩn mực sống cao cấp đầy dủ tiện ích : trường học Vin school, BV Vinmec, trung tâm mua sắm Vincom mega mall, 3 công viên liên hoàn, bể bơi, sân thể thao, khu dạo bộ Thuận tiện giao thông đi lại 
",Căn hộ, 21/11/2023,19/12/2023,Bán,2642726,
"
Cần bán gấp bán nhanh căn chung cư 229 Phố Vọng, 3 phòng ngủ, 120 m2, giá 5.5 tỷ
","
5,5
Tỷ ","
120
m2
",['Mua bán Căn hộ chung cư  229 Phố Vọng'],"
 GÓC BÁN NHÀTôi cần bán chung  cư cao cấp 229 Phố Vọng.chung  cư 3  phòng  ngủ, 2  nhà  vệ  sinh,  p.khách, Bếp tổng DT 120 m2 cực rộng và thoáng mát.chung  cư là căn  hộ  góc tầng trung ban công hướng Bắc, Đông, Nam.Tôi bán tặng lại toàn bộ nội thất xịn cho khách mua.bìa  đỏ lâu dài sẵn sang tên.giá : 5.5 tỉliên  hệ  ngay : 0794 949 *** 
",Căn hộ, 21/11/2023,19/12/2023,Bán,2642725,3
"
Sở hữu ngay nhà đất 6 tầng, 40 m2 tại Phố Phạm Tuấn Tài - Nghĩa Đô - Cầu Giấy - Hà Nội, giá 8.3 tỷ
","
8,3
Tỷ ","
40
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Phố Phạm Tuấn Tài']","
 Bán nhà Phạm Tuấn Tài, phân lô oto vòng quanh, khu vip KDDT 43 mét  vuông x 6 tầng, MT 4.2mNhà chủ tự xây, kcbt chắc chắn, thiết kế 6 tầng.Mỗi tầng 1 PN khép kín, cầu thang cuối nhà, có thể cải tạo lắp thang máy dễ dàng, tổng 4 PN khép kín. Tầng 6 phòng thời, sân vườn.Vị trí nhà siêu đẹp, nằm trong khu phân lô, ngõ to hơn phố, đường trước nhà oto tránh. Giao thông đi lại thuận tiện thông thương các tuyến phố như Hoàng Quốc Việt, Đặng Thùy Trâm, Trần Quốc Hoàn. Gần trường, chợ Giá: 8.3 tỉ pháp  lí: bìa  đỏ chính chủ Quý KH quan tâm liên  hệ  ngay trực tiếp làm việc về giá: 0946 509 *** 
",Nhà riêng, 21/11/2023,19/12/2023,Bán,2642717,1
"
Cần bán nhà sổ hồng riêng 5 tầng, 135 m2, mặt tiền 5m tại Đường Trung Yên - Cầu Giấy, giá 30 tỷ
","
30
Tỷ ","
135
m2
",['Mua bán Nhà riêng  Khu đô thị Trung Yên'],"
 Chính chủ bán nhà khu  đô  thị Trung Yên 5 tầng - 135 mét  vuông - MT 5m - vỉa hè - 2 thoáng - chỉ 30 tỉ.+ Chính chủ bán nhà thuộc khu phân lô vip Trung Yên - Trung Hòa, đường trước nhà 3 oto tránh thông tứ phía, vỉa hè rộng, xung quanh toàn văn phòng, trụ sở giao dịch, coffee, nhà hàng, hotel KD sầm uất.+ Nhà xây 5 tầng móng khung cột chắc chắn lên thêm tầng lắp thang máy vô tư. Hai mặt thoáng trước sau nên các phòng đều đón ánh sáng tự nhiên.+ Giao thông thuận tiện kết nối các tuyến phố Trần Duy Hưng, Trung Kính Vũ Phạm Hàm, Trần Kim Xuyến...+ bìa  đỏ phân lô vuông  vức, giao dịch ngay.+ Bán 30 tỉ (thỏa  thuận).+ Gọi cho tôi ngay 24/24: anh. Minh 0855 383 ***Miễn TG và QC làm phiền). 
",Nhà riêng, 21/11/2023,19/12/2023,Bán,2642716,
"
Bán gấp căn Luxury Park View, 3 phòng ngủ, 122 m2, thỏa thuận tại Cầu Giấy - Hà Nội
","
Thỏa thuận
","
122
m2
",['Mua bán Căn hộ chung cư  Luxury Park View'],"
 Bán một  căn góc 2 mặt thoáng siêu đẹp toà The Park Home - Cầu Giấy.DT khoảng122m2.3 phòng  ngủ, 2vs.Đặc biệt pk siêu rộng và thoáng.Tầng 26/30 cực đẹp.Nhà mới chưa ở bàn giao không gian sáng tạo.gọi  ngay em ngay để nhận tv và báo giá: 0981 110 *** 
",Căn hộ, 21/11/2023,19/12/2023,Bán,2642713,3
"
Cần bán gấp bán nhanh căn chung cư FLC Complex, 3 phòng ngủ, 131 m2, giá 4 tỷ tại Nam Từ Liêm
","
4
Tỷ ","
131
m2
",['Mua bán Căn hộ chung cư  FLC Complex'],"
 Thị trường FLC ComPlex chưa bao giờ hết sôi động từ trước đến nay nhất là thời gian gần đây do nhu cầu mua đi bán lại của dân  cư toà nhà và dân  cư chuyển đến. Cũng như nhu cầu mua bán nhà gần tết Nguyên Đán. Vì vậy ban quản lý quyết định thành lập phòng  KD giúp dân  cư FLC ComPlex và KH có nhu cầu mua bán có thể thuận tiện hơn trong việc xem nhà, giao dịch, không bị thổi giá.-Tọa Lạc tại Số 36 Đường Phạm Hùng. Cạnh Bến xe Mỹ Đình 50m. Thuận tiện cho việc di chuyển đi các nơi trong TP.- Cách đại  học Thương Mại 1 kilomet, đại  học Quốc Gia 500m, Sân Vận Động Mỹ Đình 2 kilomet.- căn  hộ có bể bơi 4 mùa, Phòng tập phòng  gym, HighLand Coffe, Winmart, bi - a ngay tại Tầng 1. - Công Viên Cầu giấy bên kia đường Phạm Hùng đang hoàn thiện- Đường Vành Đai ba nối  dài nối thẳng về phía Sân Vận Động Mỹ Đình đang hoàn thiện 70 phần  trăm. Bảng báo giá  siêu  mềm nhất hiện tại các quỹ căn từ 54m2 đến 131m2.- 54m2 giá 2,6 tỉ (1n + 1 đa năng + 1  phòng  vệ  sinh) - (nội  thất  đầy  đủ). View SVĐ Mỹ Đình- 56m2 giá 2,9 tỉ (2n + 1  phòng  vệ  sinh) - (nội  thất  đầy  đủ). View KangNam- 66m2 giá 3,15 tỉ (2n + 2  phòng  vệ  sinh) - (nội  thất  đầy  đủ)- 70m2 giá 3,3 tỉ (2n + 2 phòng  vệ  sinh) - (nội  thất  đầy  đủ).- 94m2 giá 3,8 tỉ (3n + 2 phòng  vệ  sinh) - (Cơ bản) - giá  siêu  mềm.- 97m2 giá 4 tỉ (3n + 2 phòng  vệ  sinh) - (nội  thất  đầy  đủ) - giá  siêu  mềm.- 98m2 giá 4,15 (3n + 2 phòng  vệ  sinh) - (nội  thất  đầy  đủ).- 131m2 giá 4,8 tỉ (3n + 2 phòng  vệ  sinh + 1 kho + duy nhất 2 ban công) - (nội  thất  đầy  đủ).- liên  hệ  ngay xem nhà 24/24 và đc hỗ trợ thủ tục sang tên bìa  đỏ:gọi  ngay: 0936 192 ***- Không làm việc với các sale của các sàn đi check căn, mất thời gian.- Tất cả các chung  cư đã có sổ, hỗ trợ vay vốn NH, làm bìa  đỏ nhanh. 
",Căn hộ, 21/11/2023,19/12/2023,Bán,2642712,3
"
Sở hữu ngay căn nhà đẹp 2 tầng, 36 m2 tại Phường Thanh Nhàn - Hai Bà Trưng - Hà Nội, giá 3.4 tỷ
","
3,4
Tỷ ","
36
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Phường Thanh Nhàn']","
 Gấp bán nhà cực  hiếm giảm liền 3.4 tỉ phố Trần khát chân 36m 2 Tầng mt3.2 hai bà Trưng. gọi  ngay 0915 222 ***cường căn  nhà  phố)Mô tả:Nhà vị trí đẹp ngõ  tương  đối  rộng thoáng ba gác phi, ngõ thẳng gần phố,nhà 2 Tầng 2 ngủ đủ công năng.Sổ hoa hậu sẵn sàng giao dịch. 
",Nhà riêng, 21/11/2023,19/12/2023,Bán,2642690,
"
Cần bán gấp nhà riêng 55 m2 tại Đường Võ Thị Sáu - Thanh Nhàn - Hai Bà Trưng - Hà Nội, giá 4 tỷ
","
4
Tỷ ","
55
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Võ Thị Sáu']","
 Bạn đang tìm kiếm một tổ ấm ấm áp, vị trí trung tâm, và giá cả hợp lý tại Hai Bà Trưng? Đừng bỏ lỡ cơ hội này! 55m2, giá chỉ 4 tỉ (giá  cả  thương  lượng). hotline/zalo: 0936 529 ***Chung Phong Thủy) để tham khảo thêm hàng trăm ngôi  nhà đẹp tại khu vực.Vị trí trung tâm: Với ngôi  nhà tọa lạc ở trái tim của Q. Hai Bà Trưng, bạn có thể dễ dàng tiếp cận đến mọi tiện ích, từ trường học, BV, siêu thị cho đến các điểm giải trí và công viên xanh mát.Thiết kế hợp lý: ngôi  nhà này đc thiết kế vô cùng hợp lý, bố trí các phòng một cách tinh tế, tạo nên không gian sống thoải mái và tiện lợi.bìa  đỏ chính chủ: Bạn sẽ yên tâm khi biết rằng bìa  đỏ của ngôi  nhà này đẹp và chính chủ.Đừng bỏ lỡ cơ hội độc đáo này! Hãy đến và trải nghiệm cuộc sống đẳng cấp tại ngôi  nhà Võ Thị Sáu.call  ngay để biết thêm chi tiết và đặt lịch xem nhà:Điện thoại/zalo: 0936 529 ***Chung Phong Thủy) để biết thêm chi tiết và sắp xếp lịch hẹn xem nhà. 
",Nhà riêng, 21/11/2023,19/12/2023,Bán,2642689,4
"
Sở hữu ngay căn chung cư Xuân Phương Residence, 2 phòng ngủ, 60 m2, giá 2.25 tỷ tại Nam Từ Liêm
","
2,25
Tỷ ","
60
m2
",['Mua bán Căn hộ chung cư  Xuân Phương Residence'],"
 - Em Cần Bán chung  cư 60m2 Thuộc Toà B báo Nhân Dân- chung  cư đc Thiết Kế 2 PN - Vệ Sinh- Thuộc Tầng Cao so với Toà chỉ 17 tầng- NTP  Hà  Nội Thất Cơ Bản- Thông tin vô cùng chính xác - em không chào ảo - a/c thấy Khớp Với nhu cầu vui lòng liên  hệ  ngay em Qua Zalo Hoặc số  điện  thoại 0585 025 *** 
",Căn hộ, 21/11/2023,19/12/2023,Bán,2642684,2
"
Sở hữu ngay căn hộ Anland 2, 2 phòng ngủ, 67 m2, giá 2.95 tỷ tại Quận Hà Đông - Hà Nội
","
2,95
Tỷ ","
67
m2
",['Mua bán Căn hộ chung cư  Anland 2'],"
 Chính chủ em cần bán căn 2 phòng  ngủ 2VS 67m2, toà Anlandchung  cư tầng đẹp.Em để lại toàn bộ nội thất khách chỉ việc mang quần áo về ở. p.khách: sô  pha, bàn trà, kệ TV, điều hòa.gian  bếp: Toàn bộ hệ thống bếp đang có.2  phòng  ngủ đầy đủ giường  ngủ, tủ quần áo, bàn học, bàn phấn.Tất cả đồ còn mới sử dụng tốt.giá 2,95 tỉ.LH em xem nhà trực tiếp 0376 540 *** 
",Căn hộ, 21/11/2023,19/12/2023,Bán,2642683,2
