Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Số tầng,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Hướng ban công,Căn góc,Nội thất
"
Bán 3260m đất Mặt phố QL32 lô góc Hoài Đức, siêu phẩm đón sóng Vành đai 4 giá 160 tỷ.
","
160
Tỷ ","
3260
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Nhà mặt phố tại Đường 32']","
Bán 3260m đất Mặt phố QL32 lô góc Hoài Đức, siêu phẩm đón sóng Vành đai 4 giá 160 tỷ.  💥 SIÊU PHẨM LÔ GÓC HAI MẶT PHỐ ĐÓN 3 CƠN SÓNG VÀNG KHU VỰC HOÀI ĐỨC CHO CÁC NHÀ ĐẦU TƯ LÃO LUYỆN.👉 SÓNG ĐẦU LẦN 1- ĐÓN LÕNG VÀNH ĐAI 4 ĐANG THI CÔNG TRIỂN KHAI.👉SÓNG VÀNG LẦN 2- ĐÓN ĐẦU QUYẾT ĐỊNH LÊN QUẬN HOÀI ĐỨC 2025.👉 SIÊU SÓNG VÀNG LẦN 3- TRỤC QL32 SƠN TÂY MỞ RỘNG, KẾT NỐI THỦ ĐÔ HÀ NỘI VÀ KHU ĐÔ THỊ VỆ TINH SƠN TÂY. ✅ Hiện trạng sử dụng 3260m2 làm trung tâm đào tạo tiếng nhật bao gồm: + 1 dãy nhà cấp 4 làm phòng học và ký túc xá là 120m2+ 2 dãy nhà 3 tầng tổng diện tích sàn xây dựng là 700m2/1 sàn làm phòng học và ký túc cho sinh viên.+ 1 nhà bếp và phòng ăn rộng 300m2+ 1 Sân trường rộng 800m2+ Khu vực để đồ + Phòng tắm + Wc... LH: PHẠM VĂN TƯỞNG.- 0 CHÍN 8 MỘT 0 55 SÁU 5 BA.CHUYÊN NHÀ ĐẤT THỔ CƯ HÀ NỘIXem nhà 24/7 hoàn toàn Miễn PhíTẬN TÂM-UY TÍN-CHUYÊN NGHIỆP.
",Nhà mặt phố,Sổ đỏ, 16/11/2023,14/12/2023,Bán,2634222,,,,,,,,,,,,,,,,,,,,
"
Văn miếu,gần phố cổ, đống đa, 28m2,4 tầng,ngõ thông, kinh doanh, giá chỉ 2.x tỷ
","
2,6
Tỷ ","
28
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Đường Ngô Sĩ Liên']","
💥💥💥💥💰💰💰 NHỎ BA HỘ KHẨU ĐỐNG ĐA - BA BƯỚC PHỐ CỔ - NGÕ THÔNG - AN NINH AN SINH ĐỈNH 💰💰💰💥💥💥💥
👉 Vị trí trung tâm, đẳng cấp, hiếm nhà bán, gần ngay phố Cổ, Văn Miếu Quốc Tử Giám, Lăng Bác, tiện ích bạt ngàn.
 👉Ngõ vào rộng, thông, vài bước ra phố.
 👉 Nhà xây chắc chắn, đầy đủ công năng, khách mua chỉ việc xách vali về ở.
 👉 Thiết kế: + T1: Để xe, bếp.
 + T2,3: Mỗi phòng 1 ngủ rộng, WC. 
+ T4: 1 phòng nhỏ, sân phơi. 
📕 Sổ đỏ cất két, giao dịch trong ngày.
 liên hệ ngay; CHUNG PHONG
số điện thoại, zalo : .
",Nhà riêng,Sổ đỏ, 16/11/2023,14/12/2023,Bán,2633839,3,4,,,,,,,,,,,,,,,,,,
"
Cần bán gấp căn liền kề Gamuda 119m2 full đồ giá 17 tỷ, LH 0977 699 ***
","
17
Tỷ ","
120
m2
","['liền kề  Khu đô thị Gamuda Gardens', 'Mua bán Nhà biệt thự']","
Gia đình có nhu cầu bán gấp căn liền kề 119m² full đồ kđt Gamuda Gardens, Hoàng Mai, Hà Nội.Diện tích 119m², xây 3 tầng 1 tum, mặt tiền 5.5m đã hoàn thiện full đồ.Hướng Đông tứ trạchGiá bán 17 tỷ bao phíLh 0977699***
","Nhà biệt thự, liền kề",Sổ đỏ, 23/10/2023,20/11/2023,Bán,2589597,,,Bắc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Bán căn Penthouse DreamLand Bonanza 300m2 thiết kế Duplex ( Bàn giao thô) ngày 16/11/2023
","
Thỏa thuận
","
303
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
Siêu phẩm Biệt thự trên cao Penthouse Dreamland Bonanza nằm trên Phố Duy Tân - Cầu Giấy.Nơi hưởng thụ không gian sống Đẳng cấp - Giới hạn vị trí đẹp  quận Cầu GiấyToà nhà: Dreamland Bonanza Số 23 Duy Tân - Cầu Giấy ==========================Tổng diện tích: 300m². Trong đó:- Diện tích tầng 1: 180 m² - Tầng 2: 120 m²- Diện tích khoảng  ban công 17m².Thiết kế: ( 4 - 5 phòng ngủ -5 wc). Độ cao trần phòng khách: 6.7m. Mỗi tầng cao 3.3m.- Bàn giao : Thô - Có bể bơi, gym, golf, bóng bàn, yoga, sân chung nằm tại tầng 6 – 7 toà nhà.- Tầng 1 – 2 là khối thường mại ngân hàng – Siêu thị đã đi vào vận hành.==========================Đặc biệt căn Penthouse sở hữu view siêu thoáng nằm trên tầng cao nhất toà nhà, Không gian bên trong đều có cửa sổ rộng.Ngoài ra có sẵn các tiện ích toà nhà  chủ nhân được sử dụng miễn phí trong 2 năm.và sử dụng free phí DV 3 năm đầu.Chủ nhân  sở hữu căn Penthouse  được sử dụng thang riêng biệt.(ảnh thiết kế 3D ) Hotline: zalo/viber : 0987 106 ***Trân trọng !!!   
",Căn hộ,Sổ hồng, 16/11/2023,30/11/2023,Bán,2112163,,,Đông-Nam,,,,,,,,,,,,,,,,,
"
Bán Penthouse/Duplex 300m2 tòa Dreamland Bonanza Mặt phố Duy Tân - Cầu Giấy ngày: 15/11/2023
","
12
Tỷ ","
303
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
GẤP GẤP GẤP – TÌM CHỦ NHÂN CHO CĂN PENTHOUSE CẦU GIẤY GIÁ 12 TỶ Biệt thự trên cao Penthouse/SkyVilla Bonanza  đẹp nhất Phố Duy Tân -Cầu Giấy.Nơi hưởng thụ không gian sống Đẳng cấp - Giới hạn - Thượng Lưu.========================== Dự án:  Dream Land Bonanza – Số 23 Duy Tân – Cầu GiấyTổng diện tích: 300m². - Diện tích tầng 1: 180m² - Tầng 2: 120m².- Diện tích khoảng ban công 17m.Thiết kế: (4 - 5 phòng ngủ - 5 wc). Độ cao trần phòng khách: 6.6m. Mỗi tầng cao 3.3m.- Bàn giao: Thô.- Có bể bơi, gym, golf, bóng bàn, yoga, sân chung nằm tại tầng 6 – 7 của toà nhà.- Tầng 1 - 2 là khối thương mại ngân hàng & Siêu thị đã đi vào vận hành.==========================Đặc biệt căn Penthouse sở hữu view siêu thoáng nằm trên tầng cao nhất toà nhà.Free 1 slot oto dưới hầm trong 3 năm đầuNgoài ra: có sẵn các tiện ích toà nhà chủ nhân được sử dụng miễn phí trong 2 năm.Chủ nhân sở hữu căn Penthouse được sử dụng thang riêng biệt.Giá bán: 12 (tỷ)  Sang nhượng HDMB. Hotline: Zalo/viber 0987 106 ***
",Căn hộ,Sổ hồng, 02/11/2023,30/11/2023,Bán,1706101,4,32,Đông-Bắc,,,,,,,,,,,,,,,Tây-Bắc,Có,Thô
"
Chỉ từ 2,1 tỷ/3PN tại chân cầu Đông Trù, CK 8%, LS 0% trong 12 tháng. Nhận nhà ngay. Sổ liền tay
","
2,1
Tỷ ","
82
m2
",['Mua bán Căn hộ chung cư  Euro River Park'],"
Eurowindow River Park, 1 sản phẩm của CĐT Eurowindow Holding. 1 CĐT vô cùng uy tín, với tiềm lực tài chính mạnh mẽ, kinh nghiệm dày dặn trong lĩnh vực BĐS.Toạ lạc tại vị trí chân cầu Đông Trù, mặt đường Trường Sa, với quần thể căn hộ thương mại dịch vụ vô cùng quy mô. Diện tích căn hộ đa dạng, giá cả phải chăng. Eurowindow river park Căn hộ cao cấp giá bình dân.Dự án duy nhất chỉ với 2,1 tỷ/3pn nội thất liền tường tại Eurowindow River Park.Liên hệ: 0912 293 2***để được tư vấn và đăng ký xem căn hộ.- Với tiềm năng tăng giá cao vì có rất nhiều dự án được các ông chủ lớn chuẩn bị xây dựng.- Đông Anh lên quận - BĐS ""tăng nhiệt"".- Diện tích căn hộ đa dạng: 2 phòng ngủ và 3 phòng ngủ từ 63,1 - 98,6 m2.- Sở hữu đầy đủ những tiện ích sang trọng và hiện đại, phục vụ tối đa nhu cầu mua sắm, giải trí và thư giãn của cư dân như: Trung tâm thương mại, hệ thống nhà hàng, ẩm thực, dịch vụ Spa & Fitness, khu vườn Nhật trên cao, bể bơi bốn mùa, khu vui chơi trẻ em, trường học...* Thông tin căn hộ:- Diện tích căn hộ: 85m2.- Thiết kế 3PN 2WC.- Tiêu chuẩn bàn giao: Trần thạch cao, sàn gỗ, thiết bị vệ sinh, tủ bếp trên dưới, nóng lạnh, đầu chờ điều hoà.- Phí dịch vụ 6k/m /tháng, đang được trợ giá còn 3k/m /tháng.- Phí gửi xe ô tô 600k/tháng.- Ban công rộng rãi, thoáng mát, đón nắng tự nhiên.- Quần thể cư dân văn minh, tiện ích nội khu hoàn chỉnh, ban quản lý cầu thị và lắng nghe.* Chính sách bán hàng cực tốt:+ Ngân hàng cho vay vốn LS 0% trong 12 tháng.+ Chiết khấu lên tới 08%.Liên hệ 0912 293 2***để được tư vấn và đăng ký xem căn hộ.
",Căn hộ,, 21/10/2023,18/11/2023,Bán,2585024,,,,,,,,,,,,,,,,,,,,
"
Chính chủ bán nhà riêng tại phường quang Trung, Đống Đa, Hà Nội
","
4,6
Triệu ","
38
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Đường Nguyễn Lương Bằng']","
[Tây Sơn - Đống Đa] Chính chủ bán nhàDiện tích sổ đỏ 38m2, diện tích đất 40m2. Có cổng và sân riêng để thêm được 2-3 xe máy.✅Nhà xây 4 tầng:Tầng 1: Bếp, để xe máy, phòng khách rộng rãi (Có thể kê thêm giường ngủ nếu cần), 1 nhà vệ sinhTầng 2: 2 phòng ngủ, 1 nhà vệ sinhTầng 3: phòng master, 1 nhà vệ sinhTầng 4: phòng thờ, sân phơi rộng rãi✅Xung quanh tiện ích ngập tràn:- Nhà nằm ở khu vực trung tâm Quận Đống Đa, ngõ trước nhà 2,5m, khu dân cư yên tĩnh, an ninh đảm bảo. Ô tô đỗ cách nhà 100m, cách đường lớn phố Nguyễn Lương Bằng, Tây Sơn 150m.- Công viên Trần Quang Diệu (100m), Công viên 1/6 (200m), Hồ Hoàng Cầu (300m)- Bệnh viện Đống Đa: 200m- Chợ Nam Đồng, Chợ Thái Hà: 200m- Gần nhiều trường học: Mầm non Cozy House, mầm non Minh Hải, Tiểu học/THCS Quang Trung, Bế Văn Đàn, Đại học Công Đoàn, Đại học Thủy Lợi...- Điểm đặc biệt là nhà rất có lộc. Chủ nhà trước và mình đều làm ăn tốt và đổi sang nhà mới to hơn.🏷Giá bán 4.600 tỷ☎️Vui lòng liên hệ chính chủ: Ms Hà 0933.86.86*** (Miễn trung gian, môi giới)
",Nhà riêng,, 16/11/2023,14/12/2023,Bán,2633648,,,Đông,,,,,,,,,,,,,,,,,
"
Bán nhà ngõ 20 Tả Thanh Oai - Cầu Tó 31m2*5 tầng Nhà đẹp ở luôn giá 2.6 tỷ có thương lượng
","
2,6
Tỷ ","
31
m2
","['Hà Nội', 'Huyện Thanh Trì', 'Mua bán Nhà riêng tại Đường Tả Thanh Oai']","
Bán nhà ngõ 20 Tả Thanh Oai - Cầu Tó 31m2*5 tầng Nhà đẹp ở luôn giá 2.6 tỷ có thương lượng Chính chủ cần bán nhanh nhà 5 tầng mới đẹp tại ngõ 20 Tả Thanh Oai - Cầu Tó:+ Nhà nằm ở ngõ 20B cách Cầu Tó chỉ khoảng 1.2km  + Nhà cách đường ô tô tránh chỉ 50m, rất gần ô tô, tiện gọi taxi khi cần.  + Nhà rất gần trường Mầm non, Cấp 1, cấp 2 Tả Thanh Oai.  + Diện tích 31m2 mặt tiền rộng. Nhà xây thiết kế theo lối kiến trúc hiện đại, đầy đủ công năng cho hộ gia đình 5-6 người ở với 5 tầng:Tầng 1: Phòng khách, Bếp, để xe.Tầng 2, 3, 4: mỗi tầng 1 phòng ngủ master + wc khép kín.Tầng 5: Phòng thờ + sân phơi  * Pháp lý: Sổ đỏ chính chủ cất két.* Giá chào bán 2.6 tỷ có thương lượng.Quan tâm liên hệ trực tiếp Mr Việt – 09368237***để làm việc trực tiếp chủ nhà.  Miễn tiếp trung gian và môi giới.
",Nhà riêng,Sổ đỏ, 16/11/2023,30/11/2023,Bán,2633606,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"
Tân Mai Hoàng Mai Nhà Đẹp, Mới, Ngõ Thông, OTO Tránh, Kinh Doanh, 5 Tầng, Giá 5.15 Tỷ
","
5,15
Tỷ ","
40
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Tân Mai']","
- Diện tích 40.4 m xây 5 tầng mặt tiền 3.64 m giá 5.15 tỷ- Hướng: Tây- Vị trí: Ô tô đỗ cửa, cách ô tô tránh 50m, thông ra Nguyễn Chính, Chợ Tân Mai, bờ sông sét - Nhà gần Sân bóng Tân Mai, Chợ Tân Mai, Trường TH, THCS Tân Mai, THPT Trương Định, Công viên Hồ Đền Lừ, Chợ Đầu Mối, Bến Xe Giáp Bát…- Thiết kế: mới đẹp hiện đại, 5 tầng, Thiết bị TOTO, bồn tắm vách kính, cửa gỗ Lim. + T1: Kinh doanh + Phòng khách + Bếp +WC+ T2+3+4:Mỗi tầng 01 phòng + WC+ T5 : phòng thờ + sân phơi-Sổ đỏ chính chủ vuông bánh trưng, sẵn sàng giao dịch.*Ảnh và thông tin thật 100%*
",Nhà riêng,Sổ đỏ, 16/11/2023,14/12/2023,Bán,2633569,,,Tây,,,,,,,,,,,,,,,,,
"
Chính chủ cần bán căn 2PN 72m2 BC Đông Nam, giá 3.150tr bao phí, full đồ, nhận nhà ngay
","
3,15
Tỷ ","
72
m2
",['Mua bán Căn hộ chung cư  HC Golden City'],"
Gia đình tôi cần chuyển nhượng lại căn 2PN tại chung cư HC Golden City, 319 Bồ Đề (Gần bệnh viện Tâm Anh và công viên quận).* Thông tin căn hộ:- Diện tích thông thuỷ 72 m².- Thiết kế 2PN + 2WC.- Căn hộ đã được thiết kế và trang bị full nội thất xịn sò.* Giá bán 3.150tỷ bao gồm toàn bộ VAT, KPBT.* Nội thất nhập khẩu siêu vip.- Điều hòa âm trần Daikin + Hút Lọc không khí tốt cho sức khỏe.- Phào chỉ cách điệu của Korea và giấy dán tường Japan, thiết kế theo phong cách tân cổ điển.- Hệ thống sàn, cửa chính + khóa từ, cửa thông phòng chất liệu gỗ tự nhiên và chậm cháy.- Cửa ban công - cửa kính 3 lớp Low - E3, chống tia bức xạ, cực tím, cách âm, cách nhiệt.- Hệ thống tủ bếp, tủ đồ các phòng chất liệu là gỗ Gõ đỏ Nam Phi.- Full thiết bị phòng bếp Hafler Đức. Thiết kế quầy bar sang trọng và hiện đại.- Full thiết bị WC đồng bộ nhập khẩu Thái Lan, thiết bị báo & xử lý cháy nhập khẩu từ USA.- Chuông báo khách màn hình Panasonic, đón khách từ sảnh lễ tân.- Thông tin dự án HC Golden City.- Vị trí mặt phố Hồng Tiến (Cách bệnh viện Tâm Anh 200m).- Chủ Đầu tư Cty Cổ phần xây dựng và đầu tư 319 Bộ quốc phòng.* Giao thông thuận tiện:+ Dự án nằm tại mặt phố Hồng Tiến - Nguyễn Văn Cừ.+ Chỉ 5p vào trung tâm phố cổ. 5p đến Aeon Mall.+ Cách bệnh viện đa khoa Tâm Anh 200m.+ Cơ sở hạ tầng xung quanh quy hoạch đẹp, đường 25m.- Liên hệ xem nhà: 0912 293 262***Mrs Hằng.
",Căn hộ,, 09/11/2023,07/12/2023,Bán,2346662,,,Đông-Nam,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,
