Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Số phòng ngủ,Căn góc,Số tầng,Đường vào,Mặt tiền,Chiều sâu,Hướng ban công,Nội thất
"
Bán 65m2 đất phân lô ôtô vào đất tại Hoài Đức, cạnh khu đô thị Hinode chỉ 2,4 tỷ.
","
2,4
Tỷ ","
65
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Đất tại Đường Văn Minh']","
Bán 65m2 đất phân lô ôtô vào đất tại Hoài Đức, cạnh khu đô thị Hinode chỉ 2,4 tỷ.  💥 SIÊU PHẨM phân lô ô tô dừng đỗ cách khu đô thị Hinode chỉ vài chục mét, cách trường học các cấp MN,1,2 chỉ 100m, mặt tiền 4m khổ đất rất đẹp+ Giá mềmLH: PHẠM VĂN TƯỞNG.- 0 CHÍN 8 MỘT 0 55 SÁU 5 BA.CHUYÊN NHÀ ĐẤT THỔ CƯ HÀ NỘIXem nhà 24/7 hoàn toàn Miễn PhíTẬN TÂM-UY TÍN-CHUYÊN NGHIỆP.
",Đất, 18/11/2023,16/12/2023,Bán,2637998,,,,,,,,,,,,,,,,,,,,,,,,
"
Giảm giá sâu – Chung cư H6 - Lê Đại Hành ngay Công Viên Thống Nhất 1-2 ngủ, full đồ cao cấp
","
590
Triệu ","
28
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Căn hộ chung cư tại Đường Hồ Ba Mẫu']","
Giảm giá sâu – Chung cư H6 - Lê Đại Hành ngay Công Viên Thống Nhất 1-2 ngủ, full đồ cao cấp+Có thang máy, thang bộ+ ở ngay+ Căn hộ mớiBảo vệ 24/24Diện tích đa dạng: 28m2 – 35 – 50m2Giá bán dao động: 590tr – 950tr – 1,2 tỷ              Chiết khấu 30 - 50tr/cănTòa nhà Cách Hồ Ba Mẫu khoảng 50mCách  Công Viên Thống Nhất khoảng  150mThuận tiện di chuyển qua các Quận:  Hoàn Kiếm, ĐỐng Đa, Hai Bà Trưng, Hoàng Mai…                                                Xem nhà: 0983 169 ***( miễn TG), xem nhà không mất phí) 
",Căn hộ, 18/11/2023,02/12/2023,Bán,2565290,Sổ đỏ,Đông-Nam,,,,,,,,,,,,,,,,,,,,,,
"
Siêu hot!!Căn hộ giá rẻ 62m2, 3 ngủ, 2 wc, phố Minh Khai , ô tô đỗ cách 30m, ở ngay, full đồ
","
690
Triệu ","
62
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Căn hộ chung cư tại Đường Minh Khai']","
Gấp - Giảm cực mạnh - Chính chủ cần bán gấp Căn hộ K7  - Minh Khai - Hai Bà TrưngDiện tích đa dạng: 30m2 - 48 - 62m2Thiết kế 1-2 - 3 ngủ, 1-2 wcGiá từ 680tr - 1 tỷ - 1,7 tỷChiết khấu sâu: 30 -50tr/ cănCăn hộ xây mới 100%Có thang máyBảo vệ 24/24Cách mặt phố Minh Khai lớn khoảng 50mĐi Minh Khai, Trần Khát Chân, Lê Đại Hành... Thuận tiệnĐặt lịch xem ngay: 0983 169 ***
",Căn hộ, 18/11/2023,02/12/2023,Bán,2492193,Sổ đỏ,Đông-Nam,,,,,,,,,,,,,,,,,,,,,,
"
Chính chủ Bán căn hộ K7 –Phố Lê Duẩn cạnh Công Viên Thống Nhất 35m2, 1 ngủ nhỉnh 600tr
","
650
Triệu ","
35
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Căn hộ chung cư tại Đường Lê Duẩn']","
Chính chủ Bán căn hộ  K7 –Phố Lê Duẩn cạnh Công Viên Thống Nhất 35m2, 1 ngủ nhỉnh 600trGần các khu vực: Xã Đàn, Lê Đại Hành, Giải Phóng, Hoàng Mai…Cách Hồ Ba Mẫu khoảng 50m                                    Ra Công Viên Thống Nhất khoảng 150mThuận tiện di chuyển qua các Quận: Hoàn Kiếm, ĐỐng Đa, Hai Bà Trưng, Hoàng Mai… Tòa nhà Chung cư K7 – Đống Đa hiện tại đã hoàn thiện xong chỉ việc xách vali vào ở ngay với diện tích và giá bán đa dạng+ Diện tích: 28m2 - 32m2 – 35m – 50m2   . Giá từ  680tr - 950tr – 1,43 tỷ + Chiết khấu cao 30tr – 50tr/căn+ Có thang máy, thang bộ. Bảo vệ 24/24+ Cách ĐH Bách Khoa, Kinh Tế Quốc Dân khoảng 1kmĐẶT LỊCH XEM NHÀ: 0983 169 ***( chính chủ, không qua trung gian)
",Căn hộ, 18/11/2023,02/12/2023,Bán,2565284,Sổ đỏ,Đông-Bắc,,,,,,,,,,,,,,,,,,,,,,
"
Bán nhà riêng Quận Bắc Từ Liêm - Hà Nội giá 4.40 Tỷ
","
4,4
Tỷ ","
30 - 32
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Nhà riêng tại Phường Cổ Nhuế 1']","
NHÀ ĐẸP LUNG LINH - NGÕ NÔNG RỘNG - 30M RA OTO TRÁNH.Nhà nằm vị trí đẹp, dân cư đông đúc, kinh doanh sầm uất.Nhà gần chợ, trường học các cấp, UBND, bệnh viện,...- Nhà thiết kế 5 tầng đẹp leng keng :. Tầng 1: Phòng khách, bếp, wc.. Tầng 2, 3, 4 mỗi tầng 1 phòng ngủ, 1 wc.. Tầng 5: Phòng thờ, sân phơi.- Giá : 4.4 tỷ.Sổ đỏ chính chủ, sẵn sàng giao dịch liền tay.- LH Đạt : 0325829***.
",Nhà riêng, 18/11/2023,16/12/2023,Bán,2637907,Sổ đỏ,,,,,,,,,,,,,,,,,,,,,,,
"
TÁCH SỔ - Bán Chung Cư L2 Hoàng Hoa Thám - Vĩnh Phúc - khu 7,2Ha - TẶNG đầy đủ nội thất - Ở NGAY
","
550 - 1550
Triệu ","
33 - 60
m2
","['Hà Nội', 'Quận Ba Đình', 'Mua bán Căn hộ chung cư tại Đường Vĩnh Phúc']","
CHÍNH CHỦ MỞ BÁN TRỰC TIẾP CHUNG CƯ VĨNH PHÚC - KHU 7,2HA - BA ĐÌNH Liên hệ Chủ Đầu Tư - Lộc 096.164.3*** Giảm giá sâu cho khách hàng mua nhà trong tháng- giao nhà ngay, full nội thất  - Giá bán: 850tr - 990tr - hơn 1 tỷ2 - 1ty6/ CĂN - Diện tích: 30m2 - 35m2 - 45m2 - 48m2 -56m2-60m2 * Thiết kế 1-2 ngủ + 1vs +khách + bếp+ ban công thoáng.  *Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led, sofa, giường , tủ , điều hòa.... Tòa nhà thiết kế tầng 1 để xe rộng thoáng  *Giấy tờ pháp lý: Sổ hồng vĩnh viễn từng căn riêng, hợp đồng mua bán công chứng nhà nước. **** LIÊN HỆ TRỰC TIẾP CHỦ ĐẦU TƯ Lộc 096.164.3*** mua nhà- add Zalo để nhận video căn hộ ( miễn môi giới-trung gian)
",Căn hộ, 18/11/2023,02/12/2023,Bán,2450859,Sổ đỏ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
"
Hot bán chung cư Xuân Đỉnh - Ngoại Giao Đoàn 35-52m2, 1 - 2 PN, nhà thoáng đẹp, ô tô đỗ ngay cửa
","
587 - 1120
Triệu ","
32 - 55
m2
","['Hà Nội', 'Quận Bắc Từ Liêm', 'Mua bán Căn hộ chung cư tại Đường Xuân Đỉnh']","
Chủ đầu tư mở bán chung cư mini Xuân Đỉnh - Ngoại Giao Đoàn full nội thất, vào ở luôn, ô tô đỗ cửa, giá cực rẻ chỉ từ 490tr.1. VỊ TRÍ:- Gần khu biệt thự Ngoại Giao Đoàn chỉ 50m.- Cách đường Võ Chí Công chỉ 500m đường ô tô 2 làn.- Gần các tuyến đương Nguyễn Hoàng Tôn, Xuân đỉnh, Xuân Tảo, Phạm Văn Đồng, Võ Chí Công, Xuân La.- Ô tô con đỗ cửa thoải mái 24/24.2. NỘI THẤT:- Nhà 1 sàn 5 căn hộ, Nội thất Sang trọng, thoáng mát , có sân vui chơi cho trẻ e.Sàn gỗ (Gạch), trần thạch cao, tủ bếp trên dưới, bếp từ, hút mùi, nóng lạnh, thiết bị vệ sinh đầy đủ, các đèn điện chiếu sáng và trang trí tuyệt đẹp, đầu chờ internet, truyền hình cáp...3. GIÁ BÁN:Chung cư mini Xuân Đỉnh đầy đủ nội thất vào ở luôn, diện tích đất 550 m2.+ Căn 30m2: Giá từ 490tr - 590tr.+ Căn 32m2: Giá từ 700tr - 800tr.+ Căn 48m2: Giá từ  860tr - 1TY1+ Căn 52m2: Giá từ 830tr - 1TY2Chiết Khấu Ngay 30-35tr mỗi căn.DỰ ÁN TRỰC TIẾP CHÍNH CHỦ - XEM NHÀ 24/24. (miễn môi giới - Trung Gian ).
",Căn hộ, 18/11/2023,02/12/2023,Bán,1936023,Sổ đỏ,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,Có,,,,,,
"
Nhà đẹp hoàng mai,32m2,4 tầng,gần phố, kinh doanh, an sinh đỉnh, 3 tỷ.
","
3
Tỷ ","
32
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Phố Thanh Đàm']","
NHÀ ĐẸP THANH TRÌ, HOÀNG MAI - NHIỀU TIỆN ÍCH - ĐỦ CÔNG NĂNG - GẦN PHỐ - CÁCH Ô TÔ 40M - TẶNG FULL NỘI THẤT.🌹💥Nhà nằm vị trí đẹp, gần phố, ngõ nông, cách ô tô 40m phố thanh đàm thông hai đầu 💥🌹Nhà Thiết kế 4 Tầng :  + Tầng 1 : Để xe + PK + Bếp + Vệ Sinh  + Tầng 2+3 : Mỗi Tầng 1 PN + Vệ sinh + Tầng 4 : P Thờ + Sân phơi. - giá chỉ 3 tỷ có thương lượng.🌹💥Sổ đỏ chính chủ sẵn sàng giao dịch.liên hệ ngay : CHUNG PHONG.sdt,zalo: .
",Nhà riêng, 18/11/2023,16/12/2023,Bán,2637732,Sổ đỏ,,,,,,,,,,,,,,,,3,,4,,,,,
"
Nhà đẹp trương định hai bà trưng, 24m2, 4 tầng, ngõ nông, kinh doanh đỉnh, giá chỉ 2,9 tỷ.
","
2,9
Tỷ ","
24
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Ngõ An Sơn']","
🌹💥 bán nhà tại trương định, Hai Bà Trưng.Nhà nằm vị trí đẹp, gần phố, ngõ nông, kinh doanh , tiện ích không thiếu thứ gì -rất gần đường vành đai 2 giao thông thuận tiện.
 - tặng full nội thất như hình💥🌹Nhà Thiết kế 4 Tầng :  + Tầng 1 : Để xe + PK + Bếp  + Tầng 2+3 : Mỗi Tầng 1 PN + Vệ sinh + Tầng 4 : P Thờ + Sân phơi Giá chỉ 2,9 tỷ có thương lượng.🌹💥Sổ đỏ chính chủ sẵn sàng giao dịch, chủ nhà thiện chí bán, sổ vuông đẹp.liên hệ ngay : Chung phongsdt,zalo : .
",Nhà riêng, 18/11/2023,16/12/2023,Bán,2637682,Sổ đỏ,,,,,,,,,,,,,,,,3,,4,,,,,
"
Cần bán gấp căn Shophouse dự án Khai Sơn City view nội khu giá siêu rẻ, đã có sổ đỏ - 0979465***
","
15
Tỷ ","
90
m2
","['liền kề  Khai Sơn Town', 'Mua bán Nhà biệt thự']","
Tôi chính chủ cần bán gấp căn Shophouse thuộc dự án Khai Sơn City. Thông tin căn shophouse:- Diện tích: 90,2m, mặt tiền 6m.- Xây 5 tầng 1 tum, vơi tầng 1 là không gian có thể cho thuê hoặc đổ xe nếu để ở, tầng 2 phòng khách và bếp, tầng 3 và 4 mỗi tầng 2PN, tầng 5 phòng thờ và sân thượng. Tất cả phòng ngủ đều có ban công thoáng.- Đã nhận bàn giao và đã có sổ đỏ.- Hướng: Tây Bắc.- Nhà được thiết kế xây 5 tầng có hố chờ làm thang máy, thiết kế siêu thoáng.- Mặt đường 9m view trực tiếp vào trường mầm non.- Dự án đã vào vận hành và có cư dân về ở được hơn 2 năm nay. Với nhiều tiện ích như công viên trung tâm rộng 6,6ha đã hiện hữu, hồ điều hoà rộng 32ha đang thi công được 40%, hạ tầng đường sá đã xong xuôi hết.Đường QH 40m đã thông di chuyển rất thuận lợi kết nối ra trung tâm chỉ 10-15p đi xe.Vì đang cần tiền gấp trong thời gian khó khăn nên muốn bán với giá cắt lỗ, rẻ hơn 3 tỷ so với giá thị trường.Ai mua liên hệ trực tiếp xem nhà và sổ đỏ. Sổ đỏ đang cầm tay có thể sang tên được luôn.Liên hệ chính chủ xem nhà và đàm phán giá: Ms.Nhâm: 0979465***
","Nhà biệt thự, liền kề", 23/10/2023,18/12/2023,Bán,2558072,Sổ đỏ,Tây-Bắc,,,,,,,,,,,,,,,,,,,,,,
"
BÁN đất Uy Nỗ, Đông Anh, 82m2 Ngõ Thông, Ô TÔ Vào Đất, Cần Bán Gấp.
","
4,4 - 4,5
Tỷ ","
82
m2
","['Hà Nội', 'Huyện Đông Anh', 'Mua bán Đất tại Xã Uy Nỗ']","
+ Chủ cần tiền mua nhà bên Phố, cần bán gấp mảnh đất ở Phan Xá, Uy Nỗ, Đông Anh.+ Đất ở vị trí đẹp Trung Tâm Thị Trấn Đông Anh, gần UBND Huyện, Bệnh Viện, Nhà Văn Hóa….+ Khu vực bạt ngàn tiện ích như chợ, trường, nhà hàng, quán ăn,…+ Ngõ trước nhà rộng, thoáng, ô tô vào đất, ba bước ra đường ô tô tránh, giao thông thuận tiện.+ Đất diện tích: 82m², mặt tiền 4,3m, phù hợp xây dựng một ngôi nhà đẹp.+ Đông Anh dự kiến lên quận trong thới gian tới, giá trị tăng mạnh trong tương lai.+ Sổ đẹp cất két, sẵn sàng giao dịch.+ Giá: 4,5 tỷ (Thương lượng).+ Liên hệ: 0974629*** – em HânTƯ VẤN TẬN TÂM, NÂNG TẦM GIÁ TRỊ.
",Đất, 18/11/2023,16/12/2023,Bán,2637673,,,,,,,,,,,,,,,,,,,,,,,,
"
Cần bán 50m2 đất dịch vụ khu 25,2ha xã Vân Canh Hoài Đức, giá 73tr/1m2, đã có sổ đỏ, giao dịch ngay
","
Thỏa thuận
","
50
m2
","['Hà Nội', 'Huyện Hoài Đức', 'Mua bán Đất nền dự án tại Đường 70']","
Tôi cần bán gấp lô đất 50m2 đất dịch vụ khu 25,2ha xã Vân Canh Huyện Hoài Đức Hà Nội.+ Vị trí lô đất giáp khu đô thị An Lạc Green Symphony, gần đường Văn Tiến Dũng kéo dài, di chuyển đi Mỹ Đình rất thuận tiện.+ Lô đất 50m2 vuông vắn đường to 13m, hướng đông nam mát mẻ.Mua để ở hoặc đầu tư sinh lời tốt.+ Sổ đỏ lâu dài.Giá bán: Thương lượng trực tiếp(cam kết giá đầu tư).Liên hệ xem sổ đỏ và thực địa lô đất ngay
",Đất nền dự án, 18/11/2023,16/12/2023,Bán,1860844,Sổ đỏ,Đông-Nam,,,,,,,,,,,,,,,,,,12m,4m,"12,5m",,
