Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Số phòng ngủ,Số tầng,Căn góc,Nội thất,Hướng ban công
"
Bán nhà tập thể thông 2 tầng 120m2 phố Mai Động đã sửa đẹp
","
2,4
Tỷ ","
120
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Căn hộ chung cư tại Đường Mai Động']","
Bán nhà tập thể thông 2 tầng 120m2 phố Mai Động đã sửa đẹp Bán nhà tập thể Mai Động, vị trí trung tâm kết nối 2 quận Hai Bà Trưng – Hoàng Mai; ngay gần Times City, hồ Đền Lừ, bệnh viện Thanh Nhàn… Nhà ở tầng 2 đã cơi nới làm cầu thang lên tầng 3, có hiên để xe, trồng cây.Diện tích sử dụng đến 120m2Có 3 phòng ngủ, 1 phòng khách, 1 bếp đã sửa đẹp. Giá bán chỉ 2,x tỷ (x nhỏ để thương lượng) LH: 0936262*** #bannhataptheHoangMai #bannhataptheMaiDong #bannhataptheHaiBaTrung #muabannhatapthe
",Căn hộ,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 07/10/2023,04/11/2023,Bán,2559758,,,,,,
"
Em Cần Bán căn hộ siêu VIP tại HPC Landmark 105 Tố Hữu, Hà Đông - Hà Nội giá 3.30 Tỷ
","
3,3
Tỷ ","
110
m2
",['Mua bán Căn hộ chung cư  HPC Landmark 105'],"
- Căn hộ cao cấp, chung cư HPCLandmark  105 Tố Hữu, HàĐông  - căn hộ tầng giữa 3 Phòng ngủ - Diện tích thông thủy 110m2, nội thất đầy đủ, nhập khẩu cao cấp.- Giá bán có  thỏa thuận - Pháp lý chuẩn, sổ đỏ chính chủ- Vị trí đắc địa, trung tâm Q. Hà Đông- Tiện ích xung quanh đầy đủ, 3 phút di chuyển vào Trung Tâm, phố cổ, hồ tây, lăng bác, bx Mỹ Đình... - Mọi chi tiết xin liên hệ E Đức 24/7, xin trân trọng...
",Căn hộ,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 28/10/2023,25/11/2023,Bán,2363520,,,,,,
"
Bán nhà, ngõ 56 phố Đặng Xuân Bảng, sát vách Đại Từ. Sổ đỏ. Giá 4,15 tỉ có TL
","
4,15
Tỷ ","
50
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà riêng tại Đường Đặng Xuân Bảng']","
Chủ nhà thiện chí bán, tặng bản vẽ thiết kế nâng 5 tầng:* Vị trí: ngõ phố Đặng Xuân Bảng, Bắc Linh Đàm.* Thông tin:- Diện tích 50m² x 3 tầng (2pn)- Hướng Nam (ghé Đông).- Mặt tiền: 4.23m; nở hậu. Ngõ trước nhà 2.5m.- Cách đường ô tô 10m* Vị trí tuyệt đẹp, giao thông đi lại thuận tiện.* Hưởng đầy đủ tiện ích đô thị.Sổ đỏ, pháp lí rõ ràng.Giá 4.15 tỷ (bao sang tên).Anh chị quan tâm liên hệ em nhé!0941.48.8*** / 0981.195***Cảm ơn anh chị đã đọc tin!
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 28/10/2023,25/11/2023,Bán,2495189,Nam,,,,,
"
Bán nhà lô D4, Khu Đô Thị Đại Kim - Nguyễn Cảnh Dị; 51m2 x 4,5 tầng. Giá 10 tỷ (có TL)
","
10
Tỷ ","
51
m2
","['Hà Nội', 'Quận Hoàng Mai', 'liền kề tại Đường Nguyễn Cảnh Dị', 'Mua bán Nhà biệt thự']","
Em xin giới thiệu về căn nhà:* Anh chị chủ nhà chuyển nhà ra khu vực khác nên cần bán lại cho người mới có duyên:* Thông tin căn nhà: Hướng Tây Bắc.- Diện tích 51m² xây 4,5 tầng. Mặt tiền 4m, vỉa hè 2m, thiết kế như sau:+ Tầng 1: Thiết kế gaara, phòng khách, phòng bếp, kho, wc.+ Tầng 2,3,4: Mỗi tầng 2 phòng, wc khép kín.+ Tầng 5: Phòng thờ, sân phơi.- Đường trước nhà rất rộng, thuộc đường nội bộ khu đô thị, 2 xe ô tô tránh nhau thoải mái.* Hiện trạng: Đang để trống, không sử dụng.- Nhà nằm vị trí đẹp, hưởng trọn vẹn tiện ích của khu đô thị như gần trường học quốc tế, công viên hồ Linh Đàm, rạp chiếu phim, trung tâm thương mại.- Giao thông đi lại thuận tiện, gần các tuyến phố lớn như Nguyễn Hữu Thọ, Nguyễn Xiển, vành đai 3 trên cao, Giải Phóng, Linh Đàm, Khu đô thị Linh Đàm, Kim Giang, Vũ Tông Phan...- Tương lai khu đô thị có thêm dự án Aeon, sẽ rất phát triển và sầm uất.* Sổ đỏ; pháp lí rõ ràng.- Giá 10 tỷ (có thương lượng).Anh chị quan tâm căn nhà liên hệ em nhé: 0941 488 *** / 0981 195 ***Cảm ơn anh chị đã dành thời gian đọc tin!
","Nhà biệt thự, liền kề",Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 28/10/2023,25/11/2023,Bán,2532944,,,,,,
"
Còn 1 căn duy nhất, bán nhà lô góc, trung tâm quận Đống Đa
","
4,6
Tỷ ","
52
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà riêng tại Phố Khâm Thiên']","
Chính chủ cần tiền bán gấp nhà Đống Đa - Diện tích: 51m2 x2 tầng, Mặt tiền 4m, nở hậu 0,35m, hút lộc ầm ầm - Nhà 2 tầng lô góc, 2 mặt thoáng, nằm ngay ngã tư, ngay mặt đường chính, thông ra Hồ Ba Mẫu, Xã Đàn - Nhà cũ xác định bán đất, nhưng chủ nhà bảo quản tốt, vị trí đắc địa, gần các tuyến đường chính, cách vài bước ra đến bờ Hồ, gần chợ Khâm Thiên, đi 5 phút ra đến Ga Hà Nội, gần các bệnh viện, trung tâm y tế, trường học,... - Sổ đỏ pháp lý rõ ràng, sẵn sàng giao dịch Gía: 4,6 tỷ
",Nhà riêng,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 28/10/2023,25/11/2023,Bán,2598600,,,,,,
"
Siêu Hiếm ! Chung cư Giải Phóng- Cạnh Đại Học Kinh Tế Quốc Dân 35-60m2/1-2-3 ngủ
","
Thỏa thuận
","
50
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Căn hộ chung cư tại Đường Giải Phóng']","
TUYỆT ĐỐI GIÁ CHUẨN !!! Chung cư Giải Phóng – cạnh Đại Học Kinh Tế Quốc Dân 35-60m2/1-2-3 ngủ  Chỉ trên dưới 1 tỷ có ngay căn hộ chung cư với đầy đủ công năng sử dụng, Vị trí trung tâm 3 bước ra đường lớn, ô tô đỗ tận cửa .Cực kỳ phù hợp cho gia đình vợ chồng trẻ, các bạn sinh viên , ông bà muốn ra ở riêng . Nhận bàn giao căn hộ luôn - căn hộ rất thoáng sáng. Ô tô đỗ trước cửa chung cư. Giá bán:  800tr - 1050tr - hơn 1 tỷ. Diện tích: 35m2 -48m2 - 50m² - 55m² - 58m² - 62m²   Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led. Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp. Sổ hồng sở hữu vĩnh viễn - nhận nhà ở ngay. Khách hàng lưu ý : Có rất nhiều tin ảo bán nhà 600-700 triệu là hoàn toàn không có thật  Tôi đơn vị chủ đầu tư không phải đơn vị trung gian môi giới, khách hàng liên hệ mua nhà sẽ đảm bảo mua nhà giá gốc , không bị cò quay báo giá ảo và không thu bất kỳ khoản phí nào trong quá trình đi xem và mua nhà  Liên hệ ngay để được hỗ trợ cung cấp đầy đủ thông tin chính xác nhất và mua nhà giá tốt nhất   
",Căn hộ,Sổ hồng,,,,,,,,,,,,,,, 28/10/2023,25/11/2023,Bán,2598602,,,,,,
"
Chính chủ cần bán nhà mặt Phố Hồ Đắc Di. 7 tầng, thông sàn, thang máy, kinh doanh; 60m2, MT rộng
","
31,8
Tỷ ","
60
m2
","['Hà Nội', 'Quận Đống Đa', 'Mua bán Nhà mặt phố tại Đường Hồ Đắc Di']","
Chính chủ cần bán nhà mặt Phố Hồ Đắc Di. 7 tầng, thông sàn, thang máy, kinh doanh mọi loại hình...DT: 60m² x 7 tầng, thang máy, thông sàn, mặt tiền 4.2m phù hợp đa dạng mục đích kinh doanh.Nhà nằm ở vị trí đẹp nhất phố Hồ Đắc Di Đường đôi không có giải phân cách, QH ổn định, Kinh doanh bất chấp mọi loại hình. Chủ nhà đang tự khai thác kinh doanh, mở cửa là có tiền. Trước mặt là hồ, sân thượng là vườn trồng cây ăn quả, bưởi, khế, tranh... Phong thủy không thể tuyệt vời hơn.Sổ đỏ vuông đẹp.Thiết kế: Toàn bộ thông sàn, thang máy lên tận tầng 7;Tầng 1 - 2 - 3: Sẵn Kinh doanh; vệ sinh.Tầng 4 - 5 - 6: PN, Bếp, Vệ sinh - Sàn gỗ.Tầng 7: Sân vườn trồng cây ăn quả, phòng ở cho thú cưng. 
",Nhà mặt phố,Sổ đỏ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 12/10/2023,09/11/2023,Bán,2568489,,,,,,
"
Bán nhà mặt phố Quận Cầu Giấy - Hà Nội giá 16.50 Tỷ
","
16,5
Tỷ ","
70
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà mặt phố tại Đường Trần Duy Hưng']","
CHỈ 16.5 tỷ CÓ NHÀ 5 tầng MẶT ĐƯỜNG TRẦN DUY HƯNG, Ô TÔ tải TRÁNH, VỈA HÈ RỘNG, KINH DOANH SẦM UẤT. 02 MẶT THOÁNG TRƯỚC SAU.DT: 70m x 5 tầng; mt rộng thênh thang; nhà hiện cho thuê T1 giá 42 triệu; các tầng trên cho thuê 35 triệu/tháng. “Lãi kép” Vừa giữ nhà, đất, vừa có Sổ lương hưu ổn định ko thể tuyệt vời hơn. Nếu vừa kinh doanh vừa ở thì căn nhà này là lựa chọn tốt nhất.Vị trí: Dân cư đông đúc, tấp nập người qua lại, Thông thương giữa các tuyến phố: Trần Duy Hưng, Trung Kính, Cầu Giấy…ĐT/zalo: 0961 241 0***xem nhà và gặp trực tiếp chủ
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,, 28/10/2023,25/11/2023,Bán,2598548,,,,,,
"
Bán nhà mặt phố Quận Hoàng Mai - Hà Nội giá 11.80 Tỷ
","
11,8
Tỷ ","
88,2
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà mặt phố tại Phố Thanh Đàm']","
Bán đất tặng nhà câp 4. Đầy đủ điện nước. Khách mua đầu tư xây chung cư Mini. Nhà nghỉ. Khách sạn. Tòa nhà vp. Quá đỉnh.Phố Thanh Đàm khu vực nhu cầu cao. Xung quanh rất nhiều trường đại học lớn. Gần ngay trường TH Thanh Trì. Công sở. Khu vực kd buôn bán sầm uất. 5 phút lên TIMES CITY. 10 phút lên phố cổ. Vị trí đẹp mặt tiền rộng. Đường ôtô tranh nhau. Vĩ hè rộng. Giao thông muôn ngã thuận tiện.
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,, 28/10/2023,25/11/2023,Bán,2598375,,,,,,
"
Bán căn góc phố đi bộ trung tâm Hà Nội 26.4m mặt tiền, 164m2 đất, 5 tầng, phù hợp mọi loại hình KD
","
43 - 45
Tỷ ","
164
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà mặt phố tại Đường Nguyễn Xiển']","
Bán Nhà căn góc mặt phố đi bộ trung tâm Hà Nội 26m mặt tiền , 164m² đất, 5 tầng mới đẹp, phù hợp mọi loại hình Kinh doanh (đẹp thực tế như hình).+ Nhà là căn góc tài phố đi bộ đông đúng sầm uất trung tầm Hà Nội phố.+ Căn góc vuông đẹp tổng 2 mặt tiền rộng 26,42m (một mặt 14,5m và một mặt 11,92m).+ Sân vườn vỉa hè trước nhà 3m, thuận tiện để ổ tô và kinh doanh các loại hình.+ Đất vuông đẹp xây 5 tầng 1 tum tổng sàn xây dựng 555,5m², một sàn rộng 118m² rất Vip đẹp.+ Vị trí căn ở trung tâm dự án và trung tầm Hà Nội nên buôn bán kinh doanh rất thuận lợi, đặc biết phù hợp làm văn phòng vip hặc kinh doành các sản phẩm cần nhận diện thương hiệu tốt.+ Nhà mặt phố ở trung tầm Hà Nội nên cách các trường đại học, trường trung học, tiểu học từ 200m đến 500m, cách các bệnh viện lớn 3km, rất thuận lợi.+ Nằm trong khu đô thị cành đường Vành Đai 3, Nguyễn Xiển trung tầm của quận Thanh Xuân nên kết nối giao thông đi các tĩnh rất tốt.+ Nằm trên trục đường mới Lương Thế Vinh kéo dài nên rất tốt cho cả mua để đầu tư.+ Vị trí trung tầm Hà Nội những vẫn là khu đang được quy hoạch và phát triển của Thủ Đô Hà Nội nên cơ hổi để đầu tư rất tốt.Liện hệ Quý: 0917 273 8***để biết thêm thông tin và mua được căn nhà đẹp và ưng ý tại Hà Nội.
",Nhà mặt phố,Sổ đỏ,,,,,,,,,,,,,,, 28/10/2023,25/11/2023,Bán,2598257,Tây-Bắc,,,,,
