Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ
"
Bán lô đất 1 m2, mặt tiền 20m tại Xã Hòa Thạch - Quốc Oai - Hà Nội, giá 3.8 tỷ
","
3,8
Tỷ ","
1
m2
","['Hà Nội', 'Huyện Quốc Oai', 'Bán Đất tại Xã Hòa Thạch']","
 Chính chủ e cần tiền thực sự nên cắt lỗ miếng  đất 1008 mét  vuông đất ở 240 mét  vuông view hồ tại Hoà Thạch Quốc Oai thành  phố  Hà  Nội, giá bao rẻ nhất vịnh bắc bộ.sổ  hồng  riêng chính chủ, cách trục chính liên xã chỉ 50m, cách bán kính chợ trường học chỉ 1 kilomet.Chi tiết liên  hệ e Ánh 0349 946 *** chuyên bds Hoà Lạc. 
",Đất, 29/11/2023,27/12/2023,Bán,2657224,
"
Sở hữu căn chung cư The Pride, 3 phòng ngủ, 150 m2, giá 4.8 tỷ tại Quận Hà Đông - Hà Nội
","
4,8
Tỷ ","
150
m2
",['Bán Căn hộ chung cư  The Pride'],"
 Bán chung  cư 150m2, tòa CT4 căn  hộ The Pride, Tố Hữu, Hà Đông, Thủ  đô  Hà  Nộichung  cư 2 MẶT THOÁNG, NỘI THẤT ĐÃ THIẾT KẾ ĐẸP, VỀ Ở NGAY.+ Vị trí: Tòa CT4 The Pride nằm ngay mặt đường Tố Hữu, rất thuận tiện cho việc đi lại, hạ  tầng  giao  thông đã đồng bộ, gần Bến xe  bus, BRT, gần Trường học, Chợ, Siêu thị, BV.ĐẶC BIỆT: Tòa CT4 có bể bơi 4 mùa và ngoài trời, phòng tập phòng  gym, sauna, xông sục ở tầng 5.+ Thiết kế:- DT 146 m2, có 2 ban công,- 3  phòng  ngủ , 3 VS , 1 P khách rộng và 1 bếp rộng Tất cả các phòng đều có cửa sổ đón ánh sáng tự nhiên.+ Hướng: Cửa chính: hướng  Đông  Nam , Ban công 1: hướng  Đông  Bắc, Ban công 2: hướng  Tây  Bắc+ bìa  đỏ CHÍNH CHỦ + Giá: 4,8 tỉ + LH: 0975 795 ***( không  trung  gian) 
",Căn hộ, 29/11/2023,27/12/2023,Bán,2657221,3
"
Chuyển nhượng căn hộ CT6 Constrexim, 3 phòng ngủ, 100 m2, giá 4 tỷ tại Cầu Giấy - Hà Nội
","
4
Tỷ ","
100
m2
",['Mua bán Căn hộ chung cư  CT6 Constrexim'],"
 Tôi cần bán  gấp chung  cư tòa CT6 Constrexim Dương Đình Nghệ, Yên Hòa. Vị trí trung tâm, hộ khẩu Cầu Giấy thuận tiện cho con đi học.- DT 100m, 3 phòng  ngủ 2 toilet.- Cửa đi Đông, ban công Tây- SHCC, giá 4 tỉ.- đầy  đủ  nội  thất, mới và tiện nghiliên  hệ  ngay tôi phước 24/7h - 0866. 608, 539 (miễn TG - MG).Cam kết thông tin chuẩn xác. 
",Căn hộ, 29/11/2023,27/12/2023,Bán,2657220,3
"
Sở hữu nhà chung cư 2 phòng ngủ, 65 m2, giá 1.68 tỷ tại Đường Nguyễn Quý Đức - Thanh Xuân - Hà Nội
","
1,68
Tỷ ","
65
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Căn hộ chung cư tại Đường Nguyễn Quý Đức']","
 ngôi  nhà hiếm có khu tập thể Thanh Xuân Bắc, DT rộng, giá rất hợp lý: 65 m2, gồm 2 ngủ, 1 pk, 1 bếp, 1 vệ sinh. Giá chỉ 1.68 tỉCầu thang rộng, sạch sẽ, thoáng.Có khu vui chơi trẻ em và khu tập thể dục cho dân  cư, nhà sinh hoạt cộng đồng, trường  cấp  1, THCS, trung học phổ thông rất gần và thuận tiện.chính chủ công chức, rất có  thiện  chí và dễ gần.bìa  đỏ chuẩn pháp  lí.giá: 1.68 tỉcall  ngay chính chủ: 0982 167 *** 
",Căn hộ, 29/11/2023,27/12/2023,Bán,2657217,2
"
Cần bán gấp nhà chung cư 2 phòng ngủ, 78 m2, giá 3.7 tỷ tại Thanh Xuân - Hà Nội
","
3,7
Tỷ ","
78
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Bán Căn hộ chung cư tại Phố Ngụy Như Kon Tum']","
 Chính chủ Cần bán  ngay căn  hộ  góc thoáng. 2 ngủ 2 vệ sinh tại căn  hộ  chung  cư HEI TOWER số 1 NGUỴ NHƯ CON TUM - đối diện căn  hộ  chung  cư Hapulico 86 Vũ Trọng Phụng. DT 78m2 lô góc các phòng đều có ánh sáng tự nhiên , ban công view TP cực đẹp. full  nội  thất : điều hòa,bình  nóng  lạnh, bàn ghế, kệ bếp..... (100 phần  trăm như hình ảnh ). Đã có bìa  đỏ lâu dài , CĐT uy tín xây chất lượng tốt. giá 3,7 tỉ có  thương  lượng cho khách có  thiện  chí.Hãy gọi cho tôi anh Lương : 0879 383 *** để mua sớm . TV free.#thanhxuan , #chungcu , #nguynhucontum , #heitower 
",Căn hộ, 29/11/2023,27/12/2023,Bán,2657216,2
"
Cần bán nhà biệt thự, liền kề Phoenix Bắc Ninh, 5 tầng, giá 8.8 tỷ tại Quận Long Biên - Hà Nội
","
8,8
Tỷ ","
--
","['liền kề  Phoenix Bắc Ninh', 'Mua bán Nhà biệt thự']","

bán  nhanh  Dự án Bình Minh Garden, vị trí đẹp trung tâm công viên đài phun nước, xây 5 tầng, nhận nhà ngay, đã có bìa  đỏ.  DT: 94,6 mét  vuông.  MT: 4.5m.  Thang máy: Có hố chờ thang máy.  Mô tả: view công viên đài phun nước, đường trước nhà 10m  Vị trí chuẩn nhà sang kề phố"" - nằm trong lõi khu vực Long Biên,  + Chỉ mất chưa tới 15ph di chuyển thuận tiện tới trung tâm phố cổ. + Cách Trường học quốc tế, BV Đức Giang chỉ 5p di chuyển. + Cách BigC, Aeon Mall Long Biên chỉ 10p di chuyển.  Tiện ích hoàn hảo, chuẩn phong cách sống Xanh và Sang thời thượng: + nhà  giữ  trẻ ngay trong tòa căn  hộ. + Khối đế trung  tâm  thương  mại và nhà  phố  thương  mại  shophouse sôi động 24/24. + Vườn Ánh Dương 6000 mét  vuông. + Những chung  cư đa dạng DT, thiết kế thông minh sở hữu tầm view sông Hồng, sông Đuống rộng thoáng.  hotline: 0982998***
 
","Nhà biệt thự, liền kề", 29/11/2023,27/12/2023,Bán,2657205,
"
Chuyển nhượng chung cư Sunrise Garden (Bình Minh Garden), 2 phòng ngủ, 74 m2, giá 2.6 tỷ
","
2,6
Tỷ ","
74
m2
",['Bán Căn hộ chung cư  Sunrise Garden (Bình Minh Garden)'],"
 Do thay đổi công việc nên GĐ cần bán căn 74 mét  vuông dự án căn  hộ Bình Minh.- căn  hộ  chung  cư 2 phòng  ngủ, 2  phòng  vệ  sinh.- căn  hộ  góc hộ thoáng mát, yên tĩnh.- View cầu Đông Trù và sông Đuống.- Bàn giao đầy  đủ  nội  thất cơ bản.- Nhận nhà ngay.- Tầng trung đẹp. 
",Căn hộ, 29/11/2023,27/12/2023,Bán,2657203,2
"
Chuyển nhượng căn hộ Mipec Rubik 360, 2 phòng ngủ, 75 m2, giá tốt tại Cầu Giấy - Hà Nội
","
Thỏa thuận
","
75
m2
",['Mua bán Căn hộ chung cư  Mipec Rubik 360'],"
 BQL Mipec Xuân Thủy quỹ căn  hộ  chung  cư cho thuê - sang  nhượng giá rất tốt thời điểm khởi đầu hiện nay.- Căn 2N - 1 toilet: CB/Full đồ giá chỉ từ 3,4 tỉ.- Căn 2N - 2 toilet: 70m - 75m - 77m - 83m - 85m giá chỉ từ 4 tỉ 2 - 5 tỉ 8.- Căn 3 phòng  ngủ - 2 toilet: 95m - 107m - 110m giá chỉ từ 6tỉ.- Căn 4 phòng  ngủ: 123m giá chỉ từ 7,9 tỉ.Và nhiều quỹ căn ngoại giao, giá ưu đãi tốt nhất.call  ngay/ zalo: 0985 276 *** em Diệm để xem nhà trực tiếp và trao đổi thêm nhiều thông tin chi tiết. 
",Căn hộ, 29/11/2023,27/12/2023,Bán,2657202,2
"
Bán gấp căn chung cư Khu đô thị Mỹ Đình Sông Đà, 3 phòng ngủ, 105 m2, giá tốt tại Nam Từ Liêm
","
Thỏa thuận
","
105
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Mỹ Đình Sông Đà'],"
 Cần bán  ngay chung  cư Sudico Mỹ Đình Sông Đà 105 mét  vuông.chung  cư 105 mét  vuông, 03 PN, 2 phòng  vệ  sinh, nội thất liền tường, Giá 3.x tỉ.L/H 0975 970 *** 
",Căn hộ, 29/11/2023,27/12/2023,Bán,2657200,3
"
Bán nhanh căn hộ chung cư 130 Nguyễn Đức Cảnh, 3 phòng ngủ, 131 m2, giá 3.95 tỷ tại Hoàng Mai
","
3,95
Tỷ ","
131
m2
",['Mua bán Căn hộ chung cư  130 Nguyễn Đức Cảnh'],"
 căn  hộ  chung  cư tầng cao ban công chính Nam, cửa hướng Bắc.chính chủ tặng lại toàn bộ nội thất cho khách mua.sổ  hồng  riêng lâu dài sẵn giao dịch.L/H: 0979 856 *** 
",Căn hộ, 29/11/2023,27/12/2023,Bán,2657195,3
