Title,Price,Area,Address,Gen_descrip,Loại hình,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Hướng nhà,Tình trạng pháp lý,Số phòng ngủ,Căn góc,Nội thất
"
Bán nhà riêng Quận Tây Hồ - Hà Nội giá 3.25 Tỷ
","
3,25
Tỷ ","
32
m2
","['Hà Nội', 'Quận Tây Hồ', 'Mua bán Nhà riêng tại Đường Đồng Cổ']","
HÀNG HIẾM Chỉ 3.25 Tỷ  có nhà đất 5 tầng Phố Đồng Cổ - Thụy Khuê* Mô tả:- Vị trí cực đẹp, 3 bước ra mặt phố, ngõ rộng, nông, từ nhà ra phố chỉ 20m,- Cực hiếm trong phân khúc 3 tỷ. Đầu tư lãi tiền tỷ- Khu vực dân trí cao, ở thích. Trung tâm Tây Hồ an sinh tiện ích khỏi bàn.- Phố mới, tiện ích ngập tràn  - Chỉ 1 phút đi bộ ra chợ Bưởi, ra hồ Tây chỉ 10.- Ngõ thông các ngả ra Thụy Khuê và Hoàng Hoa Thám.*Thiết kế:Nhà 5 tầng đủ công năng:- T1: Phòng khách, WC- T2: Bếp phòng ăn- T3: 1 PN, WC- T4: 2 PN- T5: Phòng thờ, sân phơi- Sổ đỏ chính chủ sẵn sàng giao dịch trong ngày cho khách- Liên hệ xem nhà: 096.299.1***
",Nhà riêng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 17/11/2023,01/12/2023,Bán,2635437,,,,,
"
Biệt thự trên không 300m2 Phố Duy Tân căn Penthouse thông tầng đẳng cấp - sang trọng - tinh tế
","
Thỏa thuận
","
300
m2
",['Mua bán Căn hộ chung cư  Dreamland Bonanza'],"
 Gia đình cần bán nhanh căn Biệt thự trên cao Penthouse/SkyVilla Bonanza tọa lạc tầng 32 đẹp nhất Phố Duy Tân – Cầu Giấy.Nơi hưởng thụ không gian sống Đẳng cấp - Giới hạn - Thượng Lưu==========================Tổng diện tích: 300m². Trong đó:- Diện tích tầng 1: 180 m² - Tầng 2: 120 m²- Diện tích khoảng  ban công 17m².Thiết kế: ( 4 - 5 phòng ngủ -5 wc). Độ cao trần phòng khách: 6.9m. Mỗi tầng cao 3.3m.- Bàn giao : Thô - Có bể bơi, gym, golf, bóng bàn, yoga, sân chung nằm tại tầng 6 – 7 toà nhà.- Tầng 1 – 2 là khôus thường mại ngân hàng – Siêu thị đã đi vào vận hành.==========================Gia chủ có thể thưởng thức bình minh buổi sáng và ngắm hoàng hôn chiều trên căn Penthouse  Full kính căn góc rộng.Ngoài ra có sẵn các tiện ích toà nhà  chủ nhân được sử dụng miễn phí trong 2 năm.Chủ nhân  sở hữu căn Penthouse  được sử dụng thang riêng biệt.Vị trí dự án nằm ngay mặt đường Duy Tân - giao thông thuận lợi.Giá bán: 12 (tỷ)Khách hàng quan tâm, muốn sở hữu căn nhà đẳng cấp trêm phố Duy Tân liên hệ em để xem nhà: Hotline: zalo/viber Trân trọng !!!  
",Căn hộ,,,,,,,,,,,,,,, 04/11/2023,02/12/2023,Bán,2111187,Đông-Nam,,,,
"
Penthouse/Duplex Iris Garden 185m2 phiên bản giới hạn toà nhà (bàn giao thô) hotline 0987106***
","
Thỏa thuận
","
185
m2
",['Mua bán Căn hộ chung cư  Iris Garden'],"
Bán căn Penthouse - Mỹ Đình tầng (24 – 25) thông tầng. Bàn giao thô phiên bản giới hạn toà nhà* Vị trí: Chung cư Iris Garden 30 Trần Hữu Dực Mỹ Đình.Căn penthouse thiết kế Duplex :* Được bố trí là các căn góc với 2 mặt thoáng.* Tổng diện tích sàn 185m²:- Tầng 1 rộng 103m².- Tầng 2 rộng 82 m².* Căn penthouse được thiết kế cực đẹp, các phòng đều có ánh sáng và gió tự nhiên có khoảng sân vườn tầng 25. View thoáng..* Tầng 1: Có 2 phòng ngủ, 1 phòng khách, 1 phòng ăn, 2 WC, 3 logia.* Tầng 2: Có 2 phòng ngủ, 2WC + 1 sân vườn rộng.* Khu dân cư xanh - sạch - đẹp, an ninh 24/24, mát mẻ, có bể bơi ngoài trời và nhiều cây xanh có đường kính lớn. Có 4 tầng thương mại.*Nơi có vị trí giao thông thuận lợi, cùng nhiều các nhà trường mẫu giáo Trung học uy tín hàng đầu Lê Quý Đôn, Đoàn Thị Điểm...* Có ban công, lô gia, hồ bơi, shophouse, sân vườn, nhà trẻ, Phòng khám ngay chân tòa nhà...* Đặc biệt cam kết cho 1 slot oto cho chủ nhà trong HDMB- Giá: 8.5 (tỷ).Hotline: 0987 106 521 (Trung Kiên). 
",Căn hộ,,,,,,,,,,,,,,, 04/11/2023,02/12/2023,Bán,2610676,Tây-Bắc,Sổ hồng,,,
"
Căn hộ 3PN 83m2 BC Đông nam, view trọn vinhomes tại TSG lotus Sài Đồng full đồ, có sổ, giá 3.250tr
","
3,25
Tỷ ","
83
m2
",['Mua bán Căn hộ chung cư  TSG Lotus Sài Đồng'],"
Do không có nhu cầu sử dụng, chủ nhà gửi bán căn hộ 83m2. BC đông Bắc, tầng cao, view trọn VInhomes riverside, thiết kế 3 phòng ngủ siêu đẹp siêu tiện ích tại dự án TSG Lotus Sài Đồng.Diện tích 83 m2, giá chỉ 3.250tr, bao toàn bộ phí sang tên chuyển nhượng. Bàn giao full nội thất.- Phòng sinh hoạt chung: 32m.- Bếp 8m 3 phòng ngủ 14m, 11m, 8m.- 2 nhà vệ sinh 2,7m - 3,3m.- 2 ban công cực rộng dùng để ngắm cảnh và phơi phóng 3.8m - 6,4m.Là căn hộ sở hữu những điểm cộng rất lớn của dự án cao cấp nhất khu vực về thiết kế tối ưu, tầm view mát mắt, hướng ban công đón không khí tự nhiên mát mẻ suốt mùa hè, với mức giá rẻ nhất thị trường hiện giờ.Tại sao lại chọn TSG Lotus Sài Đồng?+ Căn hộ ở ngay, dẹp tan mối lo mua nhà trên giấy tờ.+ Vị trí đắc địa, tiếp giáp KĐT Sài Đồng và KĐT đắt giá Vinhomes.+ Kết nối giao thông thuận tiện.+ CĐT uy tín, đã triển khai nhiều dự án đi vào hoạt động.+ Mô hình đẳng cấp, nhân đôi giá trị: Nhà trẻ - căn hộ.Liên hệ: 0912 293 262***mrs Hằng+ Cơ hội sinh lời kép từ đầu tư kinh doanh và gia tăng giá trị BĐS.+ 24 tiện ích nội khu với đầy đủ dịch vụ thương mại, tầng hầm, khuôn viên, cafe, gym, bể bơi trong nhà...+ Mật độ cây xanh cao, không khí trong lành, 100% căn hộ thiết kế thông thoáng với 2 lô gia. Tổng quan dự án:- Chủ đầu tư: Công ty cổ phần BĐS Sài Đồng.- Vị trí: 190 Sài Đồng, Long Biên, Hà Nội.- Quy mô dự án: Tòa chung cư 25 tầng. 21 lô liền kề, 32 kiot thương mại, 1 nhà trẻ mẫu giáo. 2 tầng hầm. 328 căn hộ.+ 2 tầng hầm với diện tích hơn 11.000m, đảm bảo mọi nhu cầu để xe của cư dân.+ Tầng 1 - 5: Trung tâm thương mại, 25 dịch vụ tiện ích đẳng cấp, bể bơi 4 mùa 500m. Di chuyển bằng 2 thang máy riêng biệt.+ Tầng 6 - 22: Căn hộ cao cấp.+ Tầng 23 - 24: Căn hộ duplex và penthouse. 
",Căn hộ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 30/09/2023,25/11/2023,Bán,2371081,,,,,
"
HC Golden City - Nhận nhà ở ngay – full nội thất cao cấp nhập khẩu chỉ 4,1tỷ/ căn góc 3PN
","
4,1
Tỷ ","
87
m2
","['Hà Nội', 'Quận Long Biên', 'Mua bán Căn hộ chung cư tại Phường Bồ Đề']","
Chỉ 4,1 tỷ /căn góc 3PN full nội thất cao cấp nhập khẩu – Nhận nhà ở ngay. Hỗ trợ vay Ngân hàng với lãi suất ưu đãi.Bảng giá mới nhất và chính sách ưu đãi cho khách hàng tại Chung cư cao cấp HC Golden City1) Bảng giá:- Căn hộ 2PN  diện tích 72m giá từ 3 tỷ- Căn hộ 2PN + 1 diện tích 82m giá từ 3,7 tỷ.- Căn hộ 3PN diện tích 87m² giá từ 4,1 tỷ.- Căn hộ 3PN diện tích 102m gá từ 5,1 tỷ.- Căn hộ 3PN góc 120m giá từ 6.5 tỷ.2) Chính sách :- Quà tặng tân gia lên đến 380tr ( tùy căn )- Miễn phí dịch vụ 2 năm của tòa nhà - Tăng thẻ tập gym 12 tháng tại tầng 2 của tòa nhà- Hỗ trợ vay ngân hàng lãi suất ưu đãi nhất**Hotline: 0973.087.9***Ms Hiền ( hỗ trợ 24/7) tư vấn miễn phí và xem căn hộ thực tế* Bàn giao full nội thất liền tường cao cấp.+ Tủ bếp trên dưới gỗ Gõ Đỏ, thiết bị bếp Hafele, máy lọc nước Kangaroo.+ Tủ âm tường, tủ giày gỗ Gõ đỏ tự nhiên.+ Thiết bị vệ sinh, bồn rửa mặt, vách kính tắm. Vòi sen, nóng lạnh Kohler.+ Sàn gỗ Lim Nam Phi nhập khẩu, cửa chính gỗ chống cháy khóa từ Hafele, cửa phòng gỗ Lim Nam Phi, khóa vân tay.+ Điều hòa âm trần VRV hai chiều lấy gió tươi tự nhiên của Nhật Bản.+ Giàn phơi thông minh, cửa kính chống tia cực tím 3 lớp, giấy dán tường.-----------------------------------------------------------------------------------------* Dự án sở hữu vị trí Vàng bậc nhất quận Long Biên.- Cách Bệnh viện Tâm Anh chỉ 200m.- Các Hồ Gươm trung tâm Hà Nội 3,6km.- Cách hệ thống trường cấp 1, 2, 3 Quốc Tế Wellspring Hà Nội 200m.- Cách cầu Trần Hưng Đạo (2024 hoàn thành) - 300m.- Cách trung tâm hành chính quận Long Biên 3km.- Cách trung tâm mua sắm Aeon Mall Long Biên: 3km.Vị trí VÀNG đẹp nhất quận Long Biên, đường đi lối lại thoáng rộng, với 6 làn đường.+ Dự án Hc Golden City sở hữu vị trí đắc địa trên tuyến đường dát vàng Hồng Tiến chỉ cách trung tâm phố cổ 1,5 km, Kết nối giao thông cực kỳ thuận tiện.Dự án gồm 2 tòa chung cư cao 25 tầng trong đó có 2 tầng hầm, 2 tầng thương mại với đầy đủ các tiện ích phục vụ cư dân như: Siêu thị, ngân hàng, phòng tập gym, cafe, ăn sáng.**Hotline phòng bán hàng CDT: Mr Để 0982.195.*** / 0973.087.9***Ms Hiền ( hỗ trợ 24/7) để được xem căn hộ thực tế và tư vấn miễn phí
",Căn hộ,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,, 23/10/2023,18/12/2023,Bán,2589015,,Sổ hồng,,,
"
bán căn hộ ccmn khâm thiên 52m nhỉnh 1 tỷ ở ngay
","
1
Tỷ ","
52
m2
","['Hà Nội', 'Mua bán Căn hộ chung cư tại Quận Đống Đa']","
bán lại căn hộ ccmn khâm thiên diện tích 50m tầng 2 giá chỉ 1 tỷ vào ở ngayvị tri : trung tâm quận đống đa, gần xã đàn tây sơn, hào nam, tỏa đi các ngả thời điểm vào mua căn hộ giá tốtcăn hộ có đồ cơ bản tủ bếp bếp từ hút mùi nóng lạnh thiết bị vệ sinh...giá bán 1,090 tỷ có thương lượng 
",Căn hộ,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,, 09/11/2023,07/12/2023,Bán,2619976,,,,,
"
Bán nhà Tân Mai Hoàng Mai 40m 3tỷ 5tầng Mt 4m nhà mới đối diện trường học Tân Mai kinh doanh đỉnh
","
3
Tỷ ","
40
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Mua bán Nhà mặt phố tại Đường Tân Mai']","
NHÀ MỚI NỘI THẤT ĐẸP KHU KINH DOANH SẦM UẤTThiết kế: 5 tầng, 4 ngủ, đủ công năng, full nội thất, chỉ cần xách vali về ở luôn.- Tầng 1: Phòng khách, bếp.- Tầng 2,3,4, 5: Mỗi tầng 1 ngủ, vệ sinh, ban công.Vị Trí: Gần các phố Tam Chinh, Trương Định, Nguyễn Đức Cảnh, Đền Lừ, Vĩnh Hoàng, Kim Đồng, Nguyễn Chính, Giai phóng.- Tân Mai rộng ô tô tránh, khu dân cư đông đúc, an ninh tốt, giao thông thuận tiện.- Nhà gần trường Tiểu học, THCS Tân Mai, trường THPT Trương Định. Cách 2,5km đến Đại học Kinh tế Quốc Dân, Bách Khoa, Xây Dựng, các bệnh viện lớn như Bạch Mai, bến xe giáp bát...- Sổ đỏ chính chủ.- Liên hệ Trần Huy 08681804***chuyên môi giới nhà đất khu vực Quận Hoàng Mai. Thanh Xuân, Hà Đông, Hai Bà Trưng...
",Nhà mặt phố,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 17/11/2023,15/12/2023,Bán,2635308,,Sổ hồng,,,
"
Bán căn hộ 2PN2VS Vinhomes West Pont Ban công Đông Nam View ngoại khu
","
3,35
Tỷ ","
72
m2
",['Mua bán Căn hộ chung cư  Vinhomes West Point'],"
Do ở xa không quản lý cho thuê được nên chủ nhà cần bán căn hộ 2PN2VS loại căn rộng diện tích 72m2 tại khu đô thị cao cấp Vinhomes West PointCăn hộ gần như mới vì trước cho người Hàn thuê ở rất giữ gìnGiá thuê hiện tại được khoảng 16-18tr/ thángĐồ nguyên bản chủ đầu tư, có điều hòa âm trần các phòng, thiết bị bếp hút mùi bếp từ, tủ quần áo âm tườngTầng cao view thoáng, ban công đông namGiá bán 3,360 tỷ Nhà đang trống có thể đi xem đượcLh chi tiết 0974.750.***#chuyennhuongvinhomesmydinh #canho2pnvinhomes #bancanhovinhomewestpoin #chuyennhuongvinhomeswwestpoint
",Căn hộ,,,,,,,,,,,,,,, 26/10/2023,23/11/2023,Bán,2595028,,,,,
"
Bán nhà riêng đẹp, sang, ở ngay thuộc quận Thanh Xuân - Hà Nội - Khu Ngã Tư Sở - Nội thất đẹp, xịn
","
4,86
Tỷ ","
40
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Mua bán Nhà riêng tại Phường Khương Trung']","
NHÀ THANH XUÂN ĐẸP, SANG – VỊ TRÍ 1 NHÀ RA PHỐ – 40M2 – NHƯ KHÁCH SẠN 5 SAO – FULL NỘI THẤT, THIẾT KẾ SANG XỊN💥 🌹Vị trí: – Trung tâm Thanh Xuân, gần Hồ Đầm Hồng, cách mặt phố 9m, ô tô đỗ ngày đêm. Xung quanh ngập tràn tiện ích, nào Hồ Điều Hoà, nào Trường học cấp 1 cấp 2 mầm non chợ lớn…. 🌷Căn nhà được thiết kế tâm huyết, trang bị nội thất sang xịn, cấu trúc các tầng:+ Tầng 1: Phòng khách + bếp.+ Tầng 2: Phòng Master chính + Phòng nhỏ cho trẻ em & wc. (Full đồ thiết kế) + Tầng 3: 02 phòng ngủ + wc.+ Tầng 4: phòng thờ + khu giặt + sân phơi.Sổ đỏ chính chủ đẹp. Giao dịch nhanh.🍀
",Nhà riêng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 17/11/2023,15/12/2023,Bán,2635249,,Sổ đỏ,,,
"
Nhà Trần Khát Chân Hai Bà Trưng thanh nhàn 35m 3 tỷ 3t mt 4m trung tâm quận kinh doanh cực đỉnh
","
3
Tỷ ","
35
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà mặt phố tại Đường Đê Trần Khát Chân']","
TRUNG TÂM HAI BÀ TRƯNG, 15M RA MẶT PHỐ, AN SINH ĐỈNHMô tả: Vị trí: Thông các phố Nguyễn Khoái, Lò Đúc, Kim Ngưu, Lạc Trung, Phố Huế, Đại Cồ Việt.+ Nhà trong ngõ rộng gần 3m, phân lô, cực kỳ thoáng, để xe thoải mái trước cửa. 15m lên mặt đường ô tô tránh, thông tứ tung, đi bộ sang trường Hai Bà Trưng, chợ dân sinh, cực kỳ tiện ích, gần các trương tiểu học và trung học cơ sở Lương Yên, ĐH Bách Khoa, ĐH Xây Dựng…+ Nhà xây khung cột kiên cố, chủ để sẵn cột chờ lên thêm 2-3 tầng thoải mái. Thiết kế rất hợp lý:- Tầng 1: Phòng khách, bếp, wc- Tầng 2: 2 phòng ngủ, wc- Tầng 3: 1 phòng ngủ, khu giặt (có thể chuyển thành wc), sân phơi rộng.- Tầng 4: tum đang để trốngKhu vực tập trung sinh viên các trường Đại học Kinh tế kỹ thuật, Bách khoa, Kinh tế thuê ở. Chủ mới mua về cải tạo thành căn nhà 5 tầng quá hợp lý+ Sổ đỏ chính chủ giao dịch ngay.-Liên hệ Trần Huy 08681804***chuyên môi giới nhà đất khu vực Quận Hoàng Mai. Thanh Xuân, Hà Đông. Hai Bà Trưng.
",Nhà mặt phố,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 17/11/2023,15/12/2023,Bán,2635252,,Sổ hồng,,,
