Title,Price,Area,Address,Gen_descrip,Loại hình,Tình trạng pháp lý,Hướng nhà,Bình nóng lạnh,Máy hút mùi,Tủ bếp,Bàn ăn,Kệ TV,Tủ trang trí,Giường ngủ,Bàn phấn,Tủ quần áo,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Bàn ghế P.khách,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Đường vào,Mặt tiền,Số tầng
"
Chỉ 4,2 tỷ Gia đình em cần bán căn hộ 3PN có DT 90m2 tầng trung tòa A7 An Bình City
","
4,2
Tỷ ","
90
m2
",['Mua bán Căn hộ chung cư  An Bình City'],"
Gia đình em  chuyển khu khác ở để tiện việc di chuyển đi học của con . nhà em cần nhượng lại căn hộ chung cư tòa A7 An Bình City 232 đường phạm văn đồng+ Căn hộ nhà em mua và ở từ đầu lên đã chọn căn hộ rất kỹ từ hướng ,view , số tầng  .nhà rất có lộc , cũng vì lý do học hành của con mà em phải bán mặc dù rất tiếc .Nội Thất em cũng làm rất tỷ mỉ, đầy đủ và cẩn thận ngay từ đâu .nhà em ở giữ mới , sẽ tặng hết lại cho khách mua nếu khách ưng NT nhà em ạ và không lấy thêm 1 đồng+ DT nhà 90m2 thông thủy và thiết kế 3PN và 2 nhà Wc rất hợp lý . phòng nào cũng rộng ,thoáng .bếp tách riêng phòng khách nấu ăn rất tiện .+ Giá Bán :4,25 tỷ ( có thương lượng thêm ạ )+ ở trong KHU ĐÔ THỊ nhiều năm em thấy ở đây rất đẹp ,và thuận tiện nhiều thứ như :chợ -đường –trường-trạm  bán kính 500m có đầy đủ hết ạ+ có không gian cây xanh rộng , có khu vui chơi , bể bơi ,gym ,spa quanh tòa nhàAnh chị ai có nhu cầu ,quan tâm cần mua căn hộ bên An Bình City có thể liên hệ em để qua xem nhà ạĐT :03892262***Em HuânBáo trước em 1 -2 tiếng ạ
",Căn hộ,Sổ đỏ,Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 10/10/2023,24/10/2023,Bán,2565084,,,,
"
Chính chủ bán căn hộ 65m2 toà HH02-1C chung cư Thanh Hà Cienco 5
","
Thỏa thuận
","
65
m2
","['Hà Nội', 'Quận Hà Đông', 'Mua bán Căn hộ chung cư tại Phường Kiến Hưng']","
Nhà nguyên bản của chủ đầu tư, thiết kế 2pn,2wc phù hợp cho những hộ gia đình nhỏ.không gian thoáng đãng, yên tĩnh, chi phí dịch vụ toà nhà rẻ nhất, tiện ích xung quanh đầy đủ .Điện đường trường trạm, bể bơi, khu vui chơi giải trí bán kính 200mGiá bán: 1.2x tỷ.Diện tích: 65m².Tầng: 2Hướng cửa Bắc. Ban Công: NamCần chuyển nhượng sớm nên giá mềm cho ai thiện chí.Liên hệ để xem nhà và làm giá: 03356888***em Duy
",Căn hộ,,Bắc,,,,,,,,,,,,,,, 10/10/2023,07/11/2023,Bán,2564905,,,,
"
Chuyển nhượng căn hộ 56m2 chung cư An Quý Hưng Long Biên full đồ nội thất trẻ trung
","
1,95
Tỷ ","
56
m2
",['Mua bán Căn hộ chung cư  AQH Riverside'],"
Chung cư An Quý Hưng Long Biên giá tốt chỉ nhỉnh 1.9 tỷ+ Căn hộ 56m2 tầng trung ban công Đông Nam mát mẻ+ Nhà đã lên full nội thất chỉ cần xách va li về ở+ Thiết kế trẻ trung phù hợp gia đình trẻLh: 0382.353.***
",Căn hộ,,,,,,,,,,,,,,,,, 10/10/2023,24/10/2023,Bán,2564897,,,,
"
Căn hộ 3pn chung cư TSG Lotus tầng cao view thoáng full đồ
","
3,3
Tỷ ","
84
m2
",['Mua bán Căn hộ chung cư  TSG Lotus Sài Đồng'],"
 Căn hộ 3pn - 84m2 chung cư TSG Lotus 190 Sài Đồng Thiết kế 3pn rộng rãi,khách bếp riêng biệt tầng cao view thoáng ngắm nhìn vinhomes Nhà đã lên full nội thất cơ bản:giường tủ,tủ bếp,diều hòa,thiết bị vệ sinh Sổ đỏ chính chủ giao dịch trực tiếp giá bán 3.3 tỷ bao toàn bộ thuế phí0382.353.5***xem thực tế căn hộ
",Căn hộ,,,,,,,,,,,,,,,,, 10/10/2023,24/10/2023,Bán,2564884,,,,
"
Số lượng có hạn: CH 3pn 2ban công 1logia RẺ NHẤT Mỹ Đình - HTLS 0%- Mua xong lãi ngay 076 345 6***
","
Thỏa thuận
","
109 - 114
m2
",['Mua bán Căn hộ chung cư  Hoàng Thành Pearl'],"
SỐ LƯỢNG CÓ HẠN: CH 3PN + 3 LÔ GIA RẺ NHẤT MỸ ĐÌNH – HỖ TRỢ LS 0% - SẮP BÀN GIAOCHỈ CÒN ĐÚNG 5 NGÀY(15/10/2023) TRƯỚC KHI TĂNG GIÁ CHÍNH THỨC - MỨC TĂNG TỐI THIỂU 10% 🔑 THÔNG TIN CHI TIẾT CĂN HỘ:- Diện tích 110 tới 112m2 thông thủy- Thiết kế: 03 phòng ngủ + 02wc + 01 nhà kho + có tới 3 lô gia và ban công- Bàn giao full nội thất cao cấp liền tường - có cả tủ âm tường- Giá niêm yết chỉ từ 5,4 tỷ (vat+full nội thất cao cấp liền tường)- Chính sách hấp dẫn:+ Thanh toán thường 06 đợt+ Chiết khấu thanh toán sớm 2,5% GTCH+ Hỗ trợ lãi suất 0% tới 30/6/2024- Thông tin tổng quan:+ Chủ đầu tư: Công ty CP Đầu tư và Phát triển Hạ tầng Hoàng Thành+ Nhà thầu: Tập đoàn Xây dựng DELTA+ Quy mô: 1,5 ha+ Thiết kế xây dựng: gồm 01 tòa căn hộ cao 30 tầng với 334 căn hộ cao cấp, 3 tầng hầm, 2 tầng thương mại dịch vụ cùng 25 căn liền kề shophouse- Hình thức sở hữu: Sổ đỏ lâu dài🔑 NHẬN THÔNG TIN VÀ THĂM QUAN CĂN HỘ MẪUHotline: 076 345 6***
",Căn hộ,Sổ đỏ,Đông-Bắc,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,, 10/10/2023,07/11/2023,Bán,2564770,,,,
"
Bán nhà riêng Quận Hai Bà Trưng - Hà Nội giá 2.15 Tỷ
","
2,05
Tỷ ","
36
m2
","['Hà Nội', 'Quận Hai Bà Trưng', 'Mua bán Nhà riêng tại Đường Bạch Đằng']","
Bán nhà ngõ 678 Bạch Đằng, Hai Bà Trưng, 36m2 ,5 tầng cực đẹp.Nhà DT 36m2 thiết kế 5 tầng hợp lý mỗi tầng 1 PN rộng WC khép kín.- -- Tầng 1 là PK, bếp ăn và chỗ để xe máy.- -- Tầng 2,3,4 mỗi tầng một PN rộng có ban công thoáng mát.- -- Tầng 5 là phòng thờ và sân phơi đồ.Sổ đỏ chính chủ giá 2,05 tỷ (miễn trung gian). Liên hệ: Anh Thăng - SĐT: 0385.684.***
",Nhà riêng,,,,,,,,,,,,,,,,, 10/10/2023,07/11/2023,Bán,2564783,,,,
"
Chính Chủ Bán Nhà Riêng mặt phố Trần Duy Hưng, Cầu Giấy, 92m2*5 Tầng - vị trí kinh doanh đắc địa
","
38,5
Tỷ ","
92
m2
","['Hà Nội', 'Quận Cầu Giấy', 'Mua bán Nhà riêng tại Đường Trần Duy Hưng']","
Mặt Phố Trần Duy Hưng, Cầu Giấy, 92m2, 5 Tầng diện tích sử dụng gần 400m2, vị trí kinh doanh đắc địa. - gần nút giao Láng Hạ, Nguyễn Chí Thanh, Nguyễn Khang.- Nhà 5 tầng: 5PN- 5WC, 1 PHÒNG KHÁCH, 1 PHÒNG BẾP, 1 PHÒNG THỜ.Vừa phù hợp để ở kết hợp cho thuê.+ Trần Duy Hưng là tuyến đường lớn thuộc phường Trung Hoà, Quận Cầu Giấy, Hà Nội+ Kết nối các cung đường: Nguyễn Chí Thanh, đường Láng, Trung Kính, Hoàng Đạo Thuý, Nguyễn Chánh, Phạm Hùng, Khuất Duy Tiến. Giao thông tiện đi các hướng.+ Nhà ở vị trí cực đẹp giáp ranh 3 quận trung tâm: Đống Đa, Cầu Giấy, Thanh Xuân. - Diện tích: 92 m2, sổ đỏ vuông đẹp, vị trí trung tâm cực đẹp, Giá:  38.5 Tỷ- Nhà mặt tiền thoáng, rộng, tầng 1 sâu phù hợp làm cửa hàng, ngân hàng, siêu thị tiện lợi..- Pháp lý chuẩn: sổ đỏ vuông đẹp, sẵn sàng giao dịch.ĐT: liên hệ: 0981328***
",Nhà riêng,Sổ hồng,Tây-Bắc,1.0,,,,,,,,,1.0,1.0,1.0,1.0,, 10/10/2023,24/10/2023,Bán,2500754,,,,
"
3.9 tỷ sở hữu căn hộ 3PN HC Golden City, gần cầu Chương Dương, full nội thất, ở ngay
","
3,9
Tỷ ","
82,1
m2
",['Mua bán Căn hộ chung cư  HC Golden City'],"
* Dự án Chung cư cao cấp nhất quận Long Biên - HC Golden City - Căn hộ 3PN chỉ giá 3,9 tỷ bàn giao full Nội thất liền tường.Dự án HC Golden City nằm ngay trên mặt phố Hồng Tiến( rộng 40m, 2 làn xe), ngay gần cầu Chương Dương, di chuyển sang Hoàn Kiếm chỉ 7 phút lái xe*Thông tin căn hộ HOT nhất dự án:Thiết kế 3PN - Diện tích thông thủy 82.1m2.Công năng sử dụng: 3PN - 2WC - 2 logia.Giá bán căn hộ: 3.9 tỷ đã có VAT + gói full Nội thấy cao cấp.Căn hộ thoáng lấy gió từ 2 ban công rộng rãi, có gió Nam rất mát.* Căn hộ đã được trang bị full Nội thất liền tường nhập khẩu:- Đã trang bị đủ hệ thống điều hòa âm trần mới nhất của Daikin VRV.- Sàn gỗ tự nhiên ghép thanh bề mặt Lim Nam phi.- Hệ thống tủ bếp, tủ quần áo bằng gỗ Gõ nam phi cao cấp.- Thiết vị vệ sinh Kohler nhập khẩu.- Thiết bị bếp đun và hút mùi Hefele, máy lọc nước Kangaroo.- Toàn bộ căn hộ dung giấy dán tường của Nhật, giàn phơi quần áo thông minh.- Hệ thống đèn âm trần, đèn chum treo tường chiếu sáng.- Bếp âm và hút mùi của Hafele, Máy lọc nước Kangaroo.* Tiện ích dự án.- Tiện ích 2 tầng thương mại: Các kiot cửa hàng, hệ thống phòng tập Gym tại tầng 2.- Hơn 90 lô liền kề xung quanh, kinh doanh sầm uất.- Kế cạnh công viên hoa Bồ Đề thoáng mát, trong lành nhiều cây xanh.- Nhận nhà ở ngay.- Gần ngay cạnh bệnh viện đa khoa Tâm Anh và Hệ thống trường liên cấp quốc tế Wellspring.* Quà tặng ưu đãi dành tặng Khách hàng.- Miễn phí 2 năm dịch vụ.- Miễn phí 1 năm tập Gym.* Hỗ trợ đi xem căn hộ thực tế: Mrs Nga - 0865 831 ***(Phòng Kinh doanh).* http://hc-golden.info/
",Căn hộ,Sổ hồng,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,, 05/10/2023,02/11/2023,Bán,2556288,,,,
"
Bán đất thổ cư giá chỉ 380tr/lô 58m tại Chương Mỹ-HN 0982876***
","
0 - 383,8
Triệu ","
58
m2
","['Hà Nội', 'Huyện Chương Mỹ', 'Mua bán Bất động sản khác tại Đường Nguyễn Bá Tạo']","
Chính chủ gửi bán lô đất có diện tích 58m2 toàn bộ là đất ở với mặt tiền lô đất là 4,6m sâu 12m đường vào rộng 2,5m cách trục chính liên xã,trường cấp 1-2 chỉ 150m .Bán kính 300m đầy đủ tiện ích.Pháp lý sổ hồng tách bán,công chứng sau 1 tháng đặt cọc,lô đất phù hợp cho tất cả mọi người từ công nhân,viên chức lương thấp đều đầu tư đc ạLô đất cách Hà Đông 20km,cách chợ đầu mối gia súc gia cầm chỉ 500m dân cư cực kỳ phát triểnĐịa chỉ: Mỹ Lương Chương Mỹ HNMọi thông tin chi tiết có thể ib zalo hoặc gọi trực tiếp cho  e ạ
",Bất động sản khác,,,,,,,,,,,,,,,,, 10/10/2023,24/10/2023,Bán,2564590,,,,
"
Bán căn hộ tại tòa T09 Vinhomes Times City - 1 phòng ngủ - Diện tích 53m² - Giá 2 tỷ 750 triệu
","
2,75
Tỷ ","
53
m2
",['Mua bán Căn hộ chung cư  Khu đô thị Vinhomes Times City'],"
Mình muốn nhượng lại căn hộ tại tòa T09 Vinhomes Times City với các thông số sau: - Diện tích: 53m2 - Full đồ- Số phòng ngủ: 1- Số WC: 1- Hướng ban công: Hướng Nam- Giá bán: 2 tỷ 750tr (có thương lượng)- Liên hệ xem căn hộ: 0919.889.896***Không tiếp môi giới
",Căn hộ,Sổ hồng,Nam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, 10/10/2023,07/11/2023,Bán,2564583,,,,
"
cần chuyển nhượng gấp lô đất 2100m2 đất mặt đường suối mơ
","
10,5 - 11
Tỷ ","
2100
m2
","['Hà Nội', 'Huyện Ba Vì', 'Mua bán Đất tại Xã Yên Bài']","
- Lô đất vuông vắn, bám mặt đường suối mơ 60m, hai mặt đường, đất bằng phẳng thế đất cao, view cánh đồng, lưng tựa núi, xung quanh đã xây tường bao ranh giới rõ ràng,sổ hồng công chứng trong ngày, tổng diện tích 2100m2 có 400m2 là đất ở lâu dài, diện tích còn lại là đất vườn, phù hợp làm nhà nghỉ cuối tuần,giá bán là 11 tỷ.
",Đất,,,,,,,,,,,,,,,,, 10/10/2023,07/11/2023,Bán,2564525,,,,
"
cần bán 3,7ha đất thổ cư vị trí đẹp xã yên bình giá đầu tư
","
24,5 - 25
Tỷ ","
37000
m2
","['Hà Nội', 'Huyện Thạch Thất', 'Mua bán Đất tại Xã Yên Bình']","
Khu đất đất là một thung lũng độc lập, có ao, đồi thấp, chất đất tốt khu vực không khí trong lành, giao thông thuận tiện phù hơp làm khu nghỉ dưỡng, hoặc làm trang trại giáo dục đều được, lô đất có hai sổ 1 sổ là đất vườn và đất ở là 2552m có 150m là đất ở lâu dài , sổ còn lại là 3,5ha là đất rừng sản xuất, sổ đã được cấp đổi sang bìa hà nội, giá bán là 25 tỷ
",Đất,Sổ hồng,,,,,,,,,,,,,,,, 10/10/2023,24/10/2023,Bán,2564520,,,,
