price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet
"11,2 tỷ VNĐ","Đường Nguyễn Văn Cừ, Bồ Đề, Long Biên", 65m2, 5, 5, 4, 5,"* Chủ mới xách vali về ở ngay.* Lô góc 2 thoáng, ngõ thông 3 hướng Nguyễn Văn Cừ - Hoàng Như Tiếp - Hồng Tiến.* Ô tô đỗ cửa vào nhà.* 3 bước bãi trông giữ xe ô tô ngày đêm.* 3 phút di chuyển bệnh viện Tâm Anh - Bắc Hà, trường học các cấp.* Các tầng đều có ban công view ngoài, cửa sổ rộng, thoáng mát.* Khu dân trí cao: chủ yếu ngân hàng, báo chí, hàng không.* An ninh an toàn tuyệt đối.* Sổ đỏ chính chủ, cất két chờ giao dịch.",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785236.7387328,,
"2,6 tỷ VNĐ",Đại La - Đồng Tâm, 45m2,,,,,"- Bán nhà vị trí ĐẸP, độc nhất nằm ngay trung tâm quận Hai Bà Trưng ngã tư Đại La – Trần Đại Nghĩa trung tâm của các trung tâm thuận tiện đi mọi ngả sang Đống Đa, Hoàng Mai, Hai Bà Trưng, Thanh Xuân đều tiện lợi….. ba bước ra Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân…., hơn thế nữa  ngõ lại thoáng, rộng. - Chủ nhà tâm huyết xây dựng, thiết kế khung cột bê tông chắc chắn, hợp lý với thiết kế phòng ngủ, phòng thờ, sân phơi thoáng đãng, - Tiện ích xung quanh đầy đủ gần các trường mầm non,cấp 1,2, đi bộ ra chợ rất thuận tiện. - Khu vực đang phát triển từng ngày, khu dân trí văn minh, hàng xóm thân thiện. - Sổ đỏ chính chủ, pháp lý chuẩn, sang tên nhanh chóng. Chủ ở rất lộc đã mua nhà mặt phố nên cực kỳ thiện trí bán giá trào 2.6 tỷ có thương lượng cho khách thiện trí.Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội luôn sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Phương châm làm việc: -Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu - Không kênh giá chủ nhà                                - Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý. ",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785237.675317,,
"2,7 tỷ VNĐ","Đường Hoa Bằng, Quan Hoa, Cầu Giấy", 26m2, 4, 3, 4, 3,"+ Ngôi nhà vuông đẹp, bé xinh có vị trí cực đẹp, 10m ra ô tô tránh đỗ. + Nhà rất gần vài bước ra đến đường ô tô. Đi từ Dương Đình Nghệ vào cực gần. Tương lai quy hoạch sáng ngời.   + Thiết kế:  - Tầng 1: Bếp, khách - Tầng 2: 1 phòng ngủ, vệ sinh - Tầng 3: 1 phòng ngủ, vệ sinh - Tầng 4: Phòng thờ, sân phơi. + Chủ thiện chí bán sớm mua nhà lớn hơn cho con trai lấy vợ.  + Sổ đỏ chính chủ, vuông đẹp. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785238.5732257,,
"2,48 tỷ VNĐ","Đường Huyền Kỳ, Phú Lãm, Hà Đông", 58m2, 4,,,,"
    - Chính chủ chị họ nhờ bán lô đất 2 mặt thoáng, diện tích 57.5m tại tổ 7 phường Phú Lãm, Hà Đông- Vị trí trung tâm, cách đường ô tô tránh chỉ 50m, 300m ra đường QL 21B, giao thông thuận lợi các hướng. Gần trường học các cấp như Đh Đại Nam, Cđ Thương Mại, Y Dược, Trần Hưng Đạo...tiện ích đầy đủ, dân cư đông đúc, sầm uất- Sổ đỏ chính chủ, sẵn sàng giao dịchLh E để xem vị trí đất và gặp trực tiếp chị  để trả giá- E Giao chuyên thổ cư Hà Đông
",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785239.7042398, Tây bắc,
"2,7 tỷ VNĐ","Đường Khâm Thiên, Trung Phụng, Đống Đa", 34m2, 3, 2, 4, 3,"
    
NHÀ XÂY CHẮC CHẮN, KHUNG CỘT, CÁCH MP TRUNG PHỤNG 50M.

Diện tích 34m2, 4 tầng, mặt tiền 3.4m, giá 2.7 tỷ -LH 0936206176
- Vị trí nhà cách mặt phố Trung Phụng 50m, 
- Khu vực trung tâm Đống Đa giao thông thuận tiện, nhiều tiện ích xung quanh, gần phố.
- Nhà thiết kế 4 tầng chắc chắn, 2 phòng ngủ, 1 phòng khách, 3 nhà vệ sinh, sảnh, sân phơi, có thể thêm 1 phòng ngủ.
- Nhà thiếu chủ nữ, chủ ở mình nên cần chủ mới về tân trang lại. Khung cột cực chắc chắn, trước nhà sân rộng để nhiều xe máy.
- Sổ đỏ chính chủ giao dịch ngay.
- Chủ cán bộ ngành bộ Giao Thông hiểu chuyện và tôn trọng Môi giới.
- Giá 2.8 tỷ có thương lượng
LH0936206176
",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785240.7972858,, 3
"2,2 tỷ VNĐ","Đường Lê Xuân Điệp, Kiến Hưng, Hà Đông", 68m2, 8, 1,, 2,"BÁN NHÀ HÀ ĐÔNG, Chung Cư Mipec City View, 68,9m2, giá 2xxx tỉ        -------------------------- VỊ TRÍ KIM CƯƠNG:       Gần viện 103, Viện K tân Triều, Viện bỏng, gần khu đô thị Xa la      Căn hộ chính chủ tên vợ chồng mình sẵn sàng giao dịch      Căn hộ ở rất thích làm ăn có lộc, Tầng toàn các chủ doanh nghiệp. CĂN HỘ LÀ HOA HẬU CỦA TÒA NHÀ - HIẾM NHÀ BÁN    Nhà 2 ban công thoáng mát (Mùa hè gần như chỉ cần dùng quạt là đủ)    Hướng cửa chính Tây bắc, Ban công 1 Đông Nam, Ban công 2(Đông bắc)    Nhà vuông vắn thiết kế chia phòng rất hợp lý.    Toàn bộ nội thất mình làm rất cẩn thận: Thuê thiết kế và thi công riêng (Con cưng)    Căn hộ trộm vía: Điện nước mạng, nhà đều không một lỗi nhỏ    Có 1 lot oto ưu tiên dưới hầm M2Gía cả: 2xxx tỉ (Thỏa thuận) - Sẵn sổ giao dịch luônLIÊN HỆ XEM NHÀ -   Mr Hưng: 097.881.0369
",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785241.7946181, Tây bắc, 2
"6,7 tỷ VNĐ","Khúc Thừa Dụ, Cầu Giấy", 45m2, 4,, 4, 4,"Phân Khúc Hiếm- Nhà Siêu Đẹp Phố Khúc Thừa Dụ, Q. Cầu Giấy - Ngõ rộng 4 mét - Gần Chợ Dịch Vọng, Công Viên Cầu Giấy… Diện tích: 40m2, 4 tầng, MT 4.4m Giá bán: 6.7 Tỷ (TL) ♻ Nhà siêu đẹp Phố Khúc Thừa Dụ ngõ cực rộng 3.5 -4m rộng rãi, thoáng đãng, sạch sẽ, văn minh, dân trí cao… giao thông thuận lợi, vài bước chân tiện ích bạt ngàn: Chợ Dịch Vọng, Công viên cầu giấy, siêu thị, TTTM,…. 📕 Sổ đỏ nét căng, vuông vắn trước sau, cất két sẵn sàng giao dịch. Liên hệ Trần Dũng xem nhà, gặp chính chủ làm việc: 0987 881 444",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785242.9685016,,
"6,25 tỷ VNĐ","Đường , Thạch Bàn, Long Biên", 38m2, 4, 5, 5, 4,"+Nhà xây mới cứng koong, thiết kế hiện đại, 5 tầng đầy đủ công năng, phòng ngủ thoáng sáng. +Lô góc, ở hay kinh doanh đều quá đc, ô tô đỗ cửa, trước nhà có khoảng sân tập thể rộng, 100m ra đường chính, hồ điều hòa. +Sổ đỏ cất két, chủ nhà thiện chí. +Em Tâm ViNa luôn sẵn sàng hỗ trợ ACE 24/7: 0389.323.832.",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785243.9069917,, 4
"7,8 tỷ VNĐ","Đường Thanh Am, Thượng Thanh, Long Biên", 50m2, 3, 7, 5, 4,"+ Nhà mới xây to đẹp, vị trí đắc địa, chủ nhà xây tâm huyết, 2 mặt thoáng, vỉa hè rộng, đường trước cửa ô tô tránh thoải mái, khu phân lô bàn cờ thông tứ phía. + 50m2 vuông đẹp, xây 5 tầng hiện đại, đầy đủ công năng. + Sổ đỏ cất két, chủ nhà tuổi trẻ tài cao thành đạt rất hợp tác. +Em Tâm ViNa luôn sẵn sàng hỗ trợ ACE 24/7: 0389.323.832. ",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785244.9152942,, 4
"5,05 tỷ VNĐ","Đường Xuân Thủy, Dịch Vọng, Cầu Giấy", 42m2, 3, 2, 5, 7,". Giá: 5.05 tỷ( thương lượng) -dân xây cẩn thận chắc chắn.-khu dân trí cao.- Gần rất nhiều trường Đại học cũng như dịch vụ tiện ích lớn như : Trường Đại Học Thương Mại, Đại Học Ngoại Ngữ, Đại Học Sư Phạm Hà Nội, Du Lịch, gần chợ xanh, khu vực buôn bán sầm uất.- Khu dân trí cao, an ninh tốt. Nhà có vị trí giao thông thuận tiện, tiếp giáp với nhiều đường lớn: Cầu Giấy, Xuân Thủy, Hoàng Quốc Việt, Trần Quốc Hoàn, Hồ Tùng Mậu, Phạm Hùng, Phạm Văn Đồng...rất thuận tiện cho việc giao thông và sinh hoạt, tràn ngập tiện ích. - Tầng 1: Phòng Khách + Bếp Ăn + chỗ để xe.- Tầng 2: 2 Phòng ngủ.- Tầng 3: 2 Phòng ngủ.- Tầng 4: 2 Phòng ngủ.- Tầng 5 : 1 Phòng ngủ + Sân Phơi. Tất cả các tầng đều vệ sinh giữa hai phòng.-Khách quan tâm liên hệ 0838233888 mr.Định xem nhà miễn phí",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785246.1211698,, 4
