price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Hướng,Số toilet
"6,3 tỷ VNĐ",Phố Trương Định quận Hai Bà Trưng Hà Nội, 45m2, 5, 4,"Thông tin mô tả: + Sổ đỏ vuông cực kì đẹp.Thông số: 45 m, 5 tầng, 5,4m mặt tiền. Có 102. + Nhà mặt phố đáp ứng mọi loại hình kinh doanh. Hoặc cho thuê với dòng tiền cực khủng. + Ô tô đậu trước cửa nhà. Giá chỉ: 6.3 tỷ Liên hệ: Đức Kiệt 0386826403 ( Gọi hoặc inbox 24x24g) Miễn phí xem nhà -  Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24g Cảm ơn Quý anh/chị cô/bác đã quan tâm!",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791568.4826877,,,,
"6,3 tỷ VNĐ","Đường Nguyễn Đình Hoàn, Nghĩa Đô, Cầu Giấy", 40m2, 4, 5,"+ Chính chủ cần bán nhà diện tích 40 m2 x 5 tầng giá 5,3 tỷ nhà đẹp. + Vị trí: Khu dân trí tốt, dân cư sầm uất, cạnh chợ, ở, văn phòng, kinh doanh sầm uất. Cạnh nhà là nhà Văn hóa, gửi xe ô tô thoải mái. + Thiết kế cầu thang giữa, nội thất sang xịn mịn,  Tầng 1 phòng ăn, bếp, vệ sinh.  Tầng 3 phòng khách víp, vệ sinh.  Tầng 3,4 mỗi tầng 2 phòng ngủ, vệ sinh.  Tầng 5 phòng thờ, sân phơi.  Sổ đỏ chính chủ, cất két. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791569.6306171, 4, 6,,
"2,1 tỷ VNĐ","Đường Xa La, Phúc La, Hà Đông", 84m2,,,"
    💥 CHUNG CƯ CT1B XALA HÀ ĐÔNG 84M2 2N 2WC CHỈ 2.1 TỶ 💥 ⭕️ LH NGAY 0982833366 (KHU VỰC TẦM GIÁ CHỈ CÓ MỘT CĂN-NHANH MỚI CÒN)----------------------------CHUNG CƯ CT1B XALA HÀ ĐÔNG 84M2 2PNTÒA NHÀ HIẾM NHÀ BÁN - KHU TRUNG TÂM SỐ 1 KĐT XA LA- Vị trí trung tâm số 1 KĐT Xa La: siêu thị, nhà hàng khách sạn, công viên, trường cấp 1,2,3, chợ dân sinh... - Thiết kế căn hộ gồm: phòng khách lớn + 2 phòng ngủ + bếp + quầy bar + WC.- Sổ đỏ cất két sẵn sàng giao dịch.----------------------------🚀 GIÁ BÁN CHỈ: 2.1 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên nhà chung cư, nhà tập thể Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791570.6648502, 1, 2,,
"5,2 tỷ VNĐ","Đường Hồ Văn Chương, Thổ Quan, Đống Đa", 35m2, 4, 5,"+ Mặt ngõ ô tô tránh kinh doanh sầm uất ngày đêm. + Vị trí: Khu dân trí cao, dân cư sầm uất, cạnh chợ, ở, văn phòng, kinh doanh sầm uất.  Thiết kế thông sàn cầu thang cuối.  Tầng 1 phòng khách, bếp, vệ sinh. Tầng 2,3 mỗi tầng 1 phòng ngủ rộng, vệ sinh.  Tầng 4 gồm 2 phòng ngủ, tổng 4 phòng ngủ.  Tầng 5 phòng thờ, sân phơi.  Sổ đỏ chính chủ, vuông nét, cất két sắt. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791572.0840538, 3, 4,,
"3,45 tỷ VNĐ","Cầu Bươu, Tả Thanh Oai", 33m2,,,"+ Vị trí nhà nằm ngõ thông thoáng, trước nhà 3 gác chạy, khu vực dân cư sầm uất, tiện ích xung quanh ngập tràn. + 30m ra mặt ngõ ô tô, 80m ra đường DT70A ô tô tránh nhau. + Nhà gần Bưu cục Cầu Bươu, Tabudec Plaza, Chung cư Đại Thanh, Trường mầm non Chân Trời Mới…+ Sổ đỏ đẹp vuông cất két giao dịch ngay.",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791574.725514,,,,
"2,5 tỷ VNĐ","Đường Tỉnh lộ 420, Tân Xã, Thạch Thất", 140m2, 6,,"BÁN 140M CÁCH TRỤC CHÍNH ĐƯỜNG 50M VÀI BƯỚC CHÂN  - Diện tích: 140m2, thôn 1 Phú Hữu Tân Xã  - Đường rộng xe tải đánh võng  - Gần trường FPT, Đại học Quốc gia HN, VSmart,…  - Giá tốt phù hợp xây trọ, kinh doanh,…  LH: 0983657320 Chính chủ",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791579.3668838,,,,
"2,6 tỷ VNĐ","Đường Liên Xã, Liên Hà, Đông Anh", 63m2, 4,,"+ Đất đấu giá X4 Hà Phong phân lô, ô tô tải vào nhà, quy hoạch đô thị siêu đẹp này thuộc khu trung tâm của xã Liên Hà, vị trí thôn Hà Phong, xã Liên Hà, Đông Anh -  + Chợ gỗ cổ truyền hàng trăm năm nổi tiếng Liên Hà, khu vực trung tâm giao thương của Xã, tiện ích ngập tràn trong bán kính 300m không thiếu thứ gì.+ Công ty ta bán 2 lô đẹp nhất tại khu đấu giá X4 này và đang có giá cực tốt so với xung quanh ( Đấu giá  X7 Lỗ Giao Liên Hà vừa đấu giá ~50 triệu/m2)+  Đã xây nhà kết cấu thép siêu bền có tuổi thọ hàng trăm năm, đang cho thuê chứa đồ gỗ ~ 60 triệu/năm.Đường trục chính rộng thênh thang 2 ô tô tải tránh nhau thoải mái, ô tô vào nhà, vừa ở vừa kinh doanh tốt. Khu vực tiềm năng tăng giá cực cao - đối diện với khu đô thị Hà Hương, đi bộ ra trường cấp 3 danh tiếng của Đông Anh.+ Pháp lý chuẩn, sổ đỏ sẵn sàng giao dịch..",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791580.604531,,,,
"2,5 tỷ VNĐ","Ngọc Thụy, Long Biên", 33.5m2, 5, 2,"+ Nhà cũ bán đất tặng nhà 2 tầng, hiện đã lớn tuổi bán đi về ở với con cháu. + Nhà 2 bước ra sân chơi cả khu rộng thoáng đẹp, 30m ra hồ, phong thủy hữu tình. - Ô tô đỗ gần, ngõ đẹp, thoáng sạch. Gần chợ, trường học, trung tâm Ngọc Thụy. Cách cầu Chương Dương chỉ 1.5km – 2km. + Chủ nhà chú Phong quân đội về hiu rất chuẩn chỉ, hợp tác, cần bán nhanh. - Lh Mr Trác: 0965492571 ( xem nhà và tư vấn miễn phí)  ",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791582.0077755,, 2,,
"6,45 tỷ VNĐ",Đình thôn Nam Từ Liêm, 60m2, 4, 4,"Bán nhà Đình Thôn, Nam Từ Liêm, 10m ra mặt phố S = 60m2, 4 tầng, mặt tiền 4.2m, giá 6.45 tỷ. + Vị trí đẹp, xung quanh tiện ích đầy đủ, dân cư đông đúc. + Giao thông: đường Phạm Hùng, bến xe Mỹ Đình, Mễ Trì, Vành Đai 3,... * Thiết kế: Cầu thang giữa, tổng 6 phòng ngủ, có giếng trời. * Sổ đỏ đẹp, chủ nhà thiện chí. * Gọi ngay em Trường: 0373680538 để xem nhà miễn phí, không tiếp môi giới.",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791583.8428667, 2, 6,,
"5,2 tỷ VNĐ","Đường Yên Hòa, Yên Hòa, Cầu Giấy", 44m2, 4, 5,"+ Chính chủ cần bán nhà Phố Yên Hòa diện tích 44m2 x 5 tầng mặt tiền rộng giá 5,2 tỷ. + Nhà lô góc 3 thoáng, thiết kế lệch tầng, đầy đủ công năng: + Tầng 1: Khu để xe, phòng khách.  + Tầng 2: Bếp.  + Tầng 3, 4, 5: Mỗi tầng 1 phòng, wc giữa các tầng.  + Tầng 6: Phòng thờ, sân phơi.  + Sổ đỏ vuông đét sẵn sàng giao dịch + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791585.3348742, 4, 6,,
