price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet,Hướng
"2,68 tỷ VNĐ","đường Xuân Đỗ, Phường Cự Khối, quận Long Biên, Hà Nội", 33m2, 4, 3,"Giá Hợp Lý! Bán Nhà Xuân Đỗ, Cự Khối - Long Biên 33m2, 4T, chỉ 2,68 tỷ (có sân rộng)  + Tầng 1 : Phòng khách + Bếp + wc. + Tầng 2: 1 phòng ngủ, 1 wc. + Tầng 3: 1 phòng ngủ + 1 wc. + Tầng 4: 1 phòng ngủ nhỏ, 1 phòng thờ, sân phơi.  Nhà thiết kế đẹp, xây dựng tâm huyết, có sân rộng phía trước nhà…  Xung quanh bán kính không xa là chợ, trường cấp 1,2 Cự Khối, các tổ hợp dịch vụ sầm uất..  Thuận tiện kết nối các hướng như đường rộng Phố Xuân Đỗ, Bát Khối, Cầu Thanh Trì.. Lh : 0965 722 358 Mr Tùng",24/12/2022,Tin thường,batdongsan_so_com_vn_1673782242.5927563,,,,
"8,6 tỷ VNĐ","Đường Thái Hà, Láng Hạ, Đống Đa", 34m2, 4, 5,"+ Vị trí cực đỉnh phố thái hà diện tích 34 m2 x 4 tầng giá 8,6 tỷ. + Ngõ rộng đường ô tô tránh dừng ngày đêm, vỉa hè . Ngõ tập trung đông văn phòng, lớp học,… Phố Thái Hà thì quá nổi tiếng rồi. + Nhà 4 tầng xây chắc chắn.  Tầng 1: Phòng khách, phòng bếp. Tầng 2,3: Mỗi tầng 2pn, vs giữa. Tầng 4: tầng tum.  + Sổ đỏ chính chủ, giao dịch ngay. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",24/12/2022,Tin thường,batdongsan_so_com_vn_1673782243.7566435, 5, 6,,
61 tỷ VNĐ,"P. Bát Sứ, P. Hàng Bồ, Q. Hoàn Kiếm, Tp. Hà Nội", 90m2, 4,,"Cần bán khách sạn trong phố cổ. Diện tích 90m2, mặt tiền gần 4m.  Mới được sửa sang đẹp đẽ. Công suất 20 phòng đang kinh doanh tốt, có thang máy. Sổ đỏ chính chủ. Giao nhà ngay. ",24/12/2022,Tin thường,batdongsan_so_com_vn_1673782244.9073937, 3,,,
"5,1 tỷ VNĐ","Đường Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai", 65m2, 5, 6,"
Gọi ngay: Hoàng Anh Nhà Đẹp 0936060682 (chân thành, niềm nở, uy tín) 
Chính chủ gửi bán căn nhà đẹp lung linh nhất Đường Hoàng Mai. Vị trí cực đẹp, ngõ thông, trước nhà ba gác tránh, vài bước ra ô tô, ra phố 
Kết cấu 6 tầng 6 ngủ. Diện tích 65m. Nhà đẹp ở ngay, an sinh tốt, dân trí cao. 
Sổ đỏ đẹp vuông vắn, pháp lý chuẩn. Giá chỉ 5 Tỷ 1 (còn thương lượng) 
Gọi ngay: Hoàng Anh Nhà Đẹp 0936060682 (phục vụ tận tình 24/24)",24/12/2022,Tin thường,batdongsan_so_com_vn_1673782245.991644, 4, 3, 4,
"11,2 tỷ VNĐ","Đường Phùng Khoang, Cầu Diễn, Nam Từ Liêm", 79m2, 7, 18,"Cần Bán Gấp CCMN siêu phẩm 18 phòng khép kín,ô tô ,ngõ thông tại Phùng khoang 78mx7 tầng thang máy  Tòa CCMN cho dòng tiền siêu lợi nhuận 90tr/tháng, hiệu suất đầu tư gần 10%/năm, kênh giữ tiền luôn an toàn và hiệu quả nhất.+ Thiết kế:- Tầng 1: Để xe + máy giặt + 1 phòng.- Tầng 2 - 6: Mỗi tầng 3 phòng.- Tầng 7: 2 phòng.+ Tất cả các phòng đều khép kín, full nội thất, bài trí bắt mắt, có ban công, giếng trời nên cực kỳ thoáng mát.+ Khu vực nhiều trường đại học rất đông sinh viên và người đi làm nên luôn trong tình trạng cháy phòng cho thuê.",24/12/2022,Tin thường,batdongsan_so_com_vn_1673782247.039087, 4, 5, 18,
"4,35 tỷ VNĐ","Đường Trần Phú, Mộ Lao, Hà Đông", 40m2, 1, 1,"
    

- Ngõ trước nhà rộng đẹp, ô tô lùi, cách đường Trần Phú đúng 15m.
- Gần xe bus, Tàu trên cao, Big c Hồ Gươm, Coop mart, Mediamart, Điện máy xanh, Nguyễn Kim, gần các trường Đại học lớn như Kiến trúc, Bưu chính, An ninh, Y học cổ truyền, Nhạc họa...

- Sổ đỏ vuông đẹp không tỳ vết giao dịch ngay.
LH: Mr Công Nhà TO 0931706698 để xem nhà miễn phí.
Chú ý: Không tiếp môi giới, trung gian.
",24/12/2022,Tin thường,batdongsan_so_com_vn_1673782247.888765, 4, 5, 1,
"15,3 tỷ VNĐ","Đường Đặng Xuân Bảng, Đại Kim, Hoàng Mai", 100m2, 5, 8,"
    - Vị trí đắc địa: Độc tôn về vị trí, 3 mặt thoáng, KD đỉnh, văn phòng hay cho thuê phòng khám trường học vô tư.
+Khu đô thị BẮC LINH ĐÀM giá quá tốt, phân lô ô tô chạy vòng quanh, dừng đỗ thoải mái 3 mặt thoáng vĩnh viễn, VIEW VƯỜN HOA. Ở SƯỚNG LẮM.
- Nhà xây để ở nên rất chắc chắn, kiên cố. Chủ thiết cố đầy đủ công năng, mỗi tầng 3 phòng. 
- Tầng 1: Kinh doanh, Gara ô tô, phòng khách, phòng bếp. 
- Tầng 2,3; Phòng ngủ to, ban công và 2 phòng ngủ nhỏ, WC ngoài. 
-Tầng 4: phòng thờ, 2 Phòng ngủ, sân thượng
- Tổng 8 ngủ- VỪA Ở và cho thuê cũng hái ra tiền. 
- Sổ đỏ phân lô, chính chủ, khách mua giúp chủ rút sổ.
",17/12/2022,Tin thường,batdongsan_so_com_vn_1673782249.193204, 8, 7, 10,
"3,1 tỷ VNĐ",Toàn Thắng Đống Đa Hà Nội, 40m2, 4, 4,"- Diện tích 40m2 X4 tầng. Mặt tiền 5.2m Giá bán 3.1 tỷ ( có thương lượng )-  Vị trí nhà thoáng sầm uất ngõ nông gần phố! - Thiết kế- Tầng 1: Phòng khách, bếp!Tầng 2,3: Mỗi tầng 2 phòng ngủ! - Tầng 4 : Phòng thờ + sân phơi. - nhà rất có lộc đã xây dựng được 10 năm! Nay chủ có việc cần tiền nên cần bán gấp!  - Gần các trường mầm non, nhà văn hóa đại học, đi bộ ra chợ tiện ích cao. - Giao thông kết nối : Toàn Thắng, Thổ Quan, Khâm Thiên, Lệnh Cư, Trung Tả!  + Sổ đỏ chính chủ sẵn sàng giao dịch! Liên hệ em Quân để được tư vấn và xem nhà! 0385 94 1802Miễn ( T Quảng Cáo  )",24/12/2022,Tin thường,batdongsan_so_com_vn_1673782250.382025, 5,, 4,
"5,85 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 50m2, 4, 4,"Bán nhà phố Thái Hà, cách ô tô chỉ 10m, sân trước nhà rộng để 20 xe máy. Thuộc khu phân lô quân đội, nhà dân xây khung cột chắc chắn. An ninh tuyệt đối bất kể ngày đêm. Diện tích 50m2, đẹp ở luôn giá bán 5,85 tỷ. Xung quanh nhà là ĐH Công Đoàn, ĐH Thủy Lợi, HV Ngân Hàng, Bể bơi Thái Hà. Cách Royal city, Mipec chưa đến 1km. Sổ đỏ vuông phân lô. Liên hệ: Ánh Hậu 0702269986",24/12/2022,Tin thường,batdongsan_so_com_vn_1673782251.3319943, 5, 3, 4,
"3,8 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 36m2, 5, 3,"+ Nhà trong ngõ ô tô tránh, 20m ra ô tô. Vài bước chân ra hồ Đầm Hồng thể dục hóng mát. + Ngõ thông các ngã ra Hoàng Văn Thái, Vương Thừa Vũ. Gần phố Bùi Xương Trạch, Vũ Tông Phan, Tô Vĩnh Diện. Giao thông quá thuận lợi. + Gần trường học các cấp, chợ, trường ĐH lớn như Y Hà Nội, Bách Khoa, Kinh Tế, Xây Dựng và các bệnh viện hàng đầu Thủ Đô. Tiện ích bạt ngàn. + Thiết kế xây dựng bằng khung cột BTCT chắc chắn, cam kết mới 100%, đầy đủ công năng. Khu vực đan trí cao, an sinh tuyệt đỉnh, hàng xóm cán bộ. + Sổ đỏ chính chủ sẵn sàng sang tên.Liên hệ, tôi Nguyễn Luận, tôi cam kết hỗ trợ pháp lý chuẩn và giá tốt nhất nho anh chị. Trân trọng.",24/12/2022,Tin thường,batdongsan_so_com_vn_1673782252.6734176, 5, 2, 4,
