price,address,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Diện tích,Số toilet,Hướng,Mặt tiền
"5,4 tỷ VNĐ","Đường Hồ Ba Mẫu, Quang Trung, Đống Đa", 1, 5, 3,"Hồ Ba Mẫu _ Đống đa 32m 5 tầng chỉ 5 tỷ, ngõ ô tô, vài bước ra hồ, nở hậu, an sinh đỉnh🔥🔥🔥MỘT BƯỚC RA HỒ - NHÀ MỚI - NGÕ Ô TÔ - TRUNG TÂM ĐỐNG ĐA - GIÁ RẺ BẤT NGỜ - CHỐT GẤP!🌹🌹🌹Mô tả:+ Nhà nằm ở vị trí trung tâm Đống Đa, cách Hồ Ba Mẫu vài bước chân, đường ngõ rộng, không gian sinh thái tuyệt vời, nhiều tiện ích xung quanh.+ Nhà 5 tầng thiết kế hiện đại.+ Thiết kế:- Tầng 1: Phòng khách - bếp - vệ sinh.- Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ + vệ sinh.- Tầng 5: Phòng thờ + sân phơi.+ Sổ đỏ chính chủ, pháp lý chuẩn, nở hậu, sẵn sàng giao dịch.– Liên Hệ: CV BĐS – Hiền Trần . DĐ: 0972168342 ( Tôi Đang Có DANH SÁCH Hơn 1000 Căn Nhà Đang Bán Tại Hà Nội Từ 3 – 100 Tỷ) TƯ VẤN TẬN TÂM, NÂNG TẦM GIÁ TRỊ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787252.2458613,,,,
"6,3 tỷ VNĐ","Đường Xã Đàn 2, Ô Chợ Dừa, Đống Đa", 6, 5, 6,"Xã Đàn 45m 5 tầng nhỉnh 6 tỷ. Mặt Ngõ ô tô, cách phố 30m- Nhà đẹp , cách MP xã đàn tầm 30m, ngõ to ô tô nhỏ vào được.- Nhà xây tầng 2 phòng, tổng có 4 phòng ngủ và 3 nhà vệ sinh.- Sổ vuông, chủ nhà rất có lộc có nhiều nhà MP._ Chủ đang cần bán gấp để dồn tiền mua căn lớn nên giá có thể thương lượng mạnh.– Liên Hệ: CV BĐS – Hiền Trần . DĐ: 0972168342 ( Tôi Đang Có DANH SÁCH Hơn 1000 Căn Nhà Đang Bán Tại Hà Nội Từ 3 – 100 Tỷ) TƯ VẤN TẬN TÂM, NÂNG TẦM GIÁ TRỊ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787259.7642899, 45m2,,,
"11,5 tỷ VNĐ","Đường Trung Kính, Trung Hòa, Cầu Giấy", 20, 5, 4,"💥 SIÊU RẺ -BÁN NHÀ TRUNG KÍNH TO - Ô TÔ TRÁNH, VÀO NHÀ - 40M2 4T MT 5M, CHỈ 11.5 TỶ 💥 ⭕️ LH NGAY 0982833366 (CỰC RẺ CHO NHÀ PHÂN LÔ NGÕ TO NHƯ PHỐ TRUNG KÍNH ĐÔI)---------------------------- BÁN NHÀ PHỐ VIP TRUNG KÍNH TO, MẠC THÁI TỔ (ĐƯỜNG ĐÔI) CẦU GIẤYPHÂN LÔ VỈA HÈ 3 OTO TRÁNH - 2 MẶT PHỐ VÀO THÔNG THOÁNG CỰC RỘNGVIEW TRƯỜNG HỌC - Ở KINH DOANH ĐỈNH CAO - AN SINH TUYỆT VỜI- Nhà phân lô vip của Cầu Giấy, cách 1 nhà ra phố mới.- Khu vực tập trung nhiều văn phòng, công ty, ở kết hợp kinh doanh bất chấp mọi loại hình.- Nhà 2 mặt phố vào thông thoáng- Gia chủ cán bộ công chức, con cái thành đạt, ở rất có lộc, đất cực lành.- Nhà dân tự xây 4 tầng khung cột chắc chắn:+ Cầu thang gỗ lim, sàn gỗ + gạch hoa sạch đẹp.+ T1: Gara, bếp, wc+ T2: Phòng khách + 1 ngủ + wc+ T3: 2 phòng ngủ + wc+ T4: phòng thờ + sân phơi rộng.- Phân lô dân trí cao, an ninh tốt. - Sổ đỏ vuông như bánh chưng. Pháp lý sạch cất két giao dịch ngay!---------------------------- 🚀 GIÁ BÁN CHỈ: 11.5 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%LH: Mr. Phương_Nhà_Phố (1981)(FB/ZALO - 24/7)   - Tiếp khách có nhu cầu thực, khách xem cho vui hoặc không có quyền quyết xin phép không tương tác vì CV mình rất bận.- Phương_Nhà_Phố có thông tin hàng ngàn căn nhà với đủ phân khúc từ vài tỷ đến vài trăm tỷ, thông tin hình ảnh thật mô tả kỹ không làm mất thời gian công sức của ACE. CÁC LĨNH VỰC BĐS ĐANG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô, Nhà liền kề5. Chung cư, tập thể, nhà ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo BĐS phù hợp nhất. Xin cảm ơn!!!!!!!!!",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787261.0219753, 40m2, 4,,
"1,6 tỷ VNĐ","Đường An Đào A, Trâu Quỳ, Gia Lâm", 5, 1, 1,"
    Tiện ích 5sao ,đỉnh Cao nghỉ dưỡng
PAVILION vin homes Ocean park
* Chỉ 1.6 tỷ sở hữu căn hộ tiện ích 5* 
* Hỗ trợ lãi suất lên đến 24 tháng 
* Chiết khấu lên đến 9,5 ,% thanh toán sớm 
* Chỉ 30% ngân hàng hỗ trợ 70% giá trị căn hộ 
* Tặng voucher lên đến 200 triệu .
",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787262.0524228, 43m2, 1, Đông bắc, 5
"4,15 tỷ VNĐ","Đường Nguyễn Khang, Yên Hòa, Cầu Giấy", 3, 4, 5,"+ Chính chủ cần bán nhà Phố Nguyễn Khang diện tích 32m2 x 4 tầng giá 4.150 tỷ. + Vị trí nhà đẹp xây mới, đầy đủ công năng sử dụng. + Nhà trung tâm Quận Cầu Giấy,lên rất tiện di chuyển đi các Quận Tây Hồ, Quận Đống Đa, Quận Ba Đình , Quận Bắc Từ Liêm, Quận Nam Từ Liêm, Rất gần nhiều Trường Đại Học, cùng rất nhiều tiện ích khác. + Thiết kế: - Tầng 1: Phòng khách, bếp, vs. - Tầng 2,3: Mỗi tầng 2 ngủ, vs. - Tầng 4: Phòng thờ, sân phơi. + Sổ đỏ vuông đẹp. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787263.0039017, 32m2, 5,, 4
34 tỷ VNĐ,"Đường Tô Ngọc Vân, Quảng An, Tây Hồ", 15, 5, 6,"💥 BIỆT THỰ ĐẲNG CẤP TÔ NGỌC VÂN, TÂY HỒ 120M2 5T MT 8.2 M, CHỈ 34 TỶ 💥 ⭕️ LH NGAY 0982833366 (BIỆT THỰ ĐẲNG CẤP NHẤT NHÌ HÀ NỘI)---------------------------- SIÊU PHẨM BIỆT THỰ TÔ NGỌC VÂN, TÂY HỒ - GARA - KINH DOANH CHO THUÊ 4000$/THÁNG - NHÀ MỚI Ở SƯỚNG+ Biệt thự chỉ cách mặt phố vài bước chân. Ngõ to như phố, đường trước nhà rộng, ô tô 7c để trong GARA.+ Khu vực VIP, hàng xóm toàn biệt thự cao cấp,  nhà riêng của các Đại sứ, chuyên gia nước ngoài và hoa hậu nổi tiếng.+ Nhà thiết kế phong cách biệt thự Pháp, công năng sử dụng hoàn hảo, thoáng mát. Cầu thang, hệ thống cửa gỗ lim sang trọng. Nội thất cao cấp nhập khẩu chủ để lại toàn bộ.- Tầng 1: Gara để 2-3 ô tô - Wc - Cầu thang nội bộ- Tầng 2: Phòng khách - Bếp - Wc- Tầng 3-4: Mỗi tầng 2 P Ngủ - Wc khép kín- Tầng 5: Phòng thờ - Sân vườn BBQ - Kho+ Sổ đỏ chính chủ sẵn giao dịch tích tắc---------------------------- 🚀 GIÁ BÁN CHỈ: 34 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%LH: Mr. Phương_Nhà_Phố (1981)(FB/ZALO - 24/7)   - Tiếp khách có nhu cầu thực, khách xem cho vui hoặc không có quyền quyết xin phép không tương tác vì CV mình rất bận.- Phương_Nhà_Phố có thông tin hàng ngàn căn nhà với đủ phân khúc từ vài tỷ đến vài trăm tỷ, thông tin hình ảnh thật mô tả kỹ không làm mất thời gian công sức của ACE CÁC LĨNH VỰC BĐS ĐANG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô, Nhà liền kề5. Chung cư, tập thể, nhà ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo BĐS phù hợp nhất. Xin cảm ơn!!!!!!!!!",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787264.1089456, 120m2, 6,, 8
3 tỷ VNĐ,"Trung Văn, Nam Từ Liêm",,,,"Bán đất tặng nhà đường Trung Văn, 40m2, mặt tiền 5,5m; giá chỉ 3 tỷ. Cần bán gấp căn nhà cấp 4 tại đường Trung Văn, quận Nam Từ Liêm. Ngõ thoáng sáng, ô tô 7 chỗ đỗ sát cửa, khu vực đông dân cư và cực nhiều tiện ích.Hiện Có  Nhà Cấp 4 lợp tôn ở sạch sẽ thoải mái. Khách mua về có thể ở luôn hoặc xây chung cư mini thì bạt ngàn khách.Diện tích: 40m2Sổ đỏ vuông vắn sẵn sàng giao dịch.Giá: 3 tỷ (CÓ THƯƠNG LƯỢNG) Liên hệ: Quyên - 0343558823 (miễn môi giới và trung gian). QUYÊN - CHUYÊN NHÀ ĐẸP VÀ DÒNG TIỀN HÀ NỘI.",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787265.2350636, 40m2,,,
"3,5 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 3, 2, 2,"
    * Mô tả: 
+ Vị trí gần ô tô, 30m ra ô tô dừng đỗ, ô tô tránh. 
+ Khu vực dân trí cao ngõ vip nhất khu vực Thái Hà. Tiện ích xung quanh gì cũng có, gần trường, gần chợ, công viên, bể bơi...tóm lại cái gì cũng có. Ngõ lớn 2 ô tô tránh
+ Nhà xác định bán đất tặng 2 tầng kiên cố  để ở luôn. Khách mua về xây 5 tầng lô góc đua ra cực đẹp. Hướng đông nam,đông bắc 
+ Sổ đỏ chính chủ.
Liên hệ em Hùng Nhà Tốt-Xem Là Chốt: 094 665 8282 (Giá chính chủ-Miễn trung gian)",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787266.4318633, 30m2, 2,,
"2,9 tỷ VNĐ",Cổ Nhuế, 2, 1, 1,"ĐẦU TƯ- XÂY CHUNG CƯ MINI- TƯƠNG LAI TĂNG GIÁ MẠNH - Gần đại học Mỏ- Địa chất, học viện Tài chính, đại học Tài nguyên Môi trường, học viện Cảnh Sát,… - Giao thông: Phạm Văn Đồng, Phố Viên, công viên Hòa Bình,… - S = 90m2, mặt tiền 4.5m, giá 2.9 tỷ. - Sổ đỏ vuông đẹp, sẵn sàng giao dịch. * Liên hệ Bình để xem đất.",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787267.3514042, 90m2,,, 4
"2,79 tỷ VNĐ","Đường Cầu Am, Vạn Phúc, Hà Đông", 3,,," HIẾM- NGÕ RỘNG- KINH DOANH- Ô TÔ 

Diện tích 29.5m2, 6 tầng, mặt tiền 6m, giá chỉ 2 tỷ 79 - LH 0936206176

 Nhà nằm vị trí rất đẹp trung tâm quận Hà Đông, mặt tiền rộng vừa ở vừa kinh doanh nhỏ : Spa, gội đầu, Nail, bán hàng nhỏ…Ngõ rộng ô tô con qua nhà giáp ngay làng Vạn Phúc nổi tiếng, gần Bưu Điện Hà Đông, gần chợ Hà Đông, trường học các cấp, giao thông đi lại vô cùng thuận lợi.

 Thiết kế 6 tầng khung cột chắc chắn.
- Tầng 1: Phòng khách, kinh doanh, bếp, để xe.
- Tầng 2,3,4,5: Mỗi tầng 1 PN rộng, wc.
- Tầng 6: Phòng thờ, phòng ngủ, sân phơi.

Sổ đỏ chính chủ, sẵn sàng giao dịch.
Chủ nhà cần tiền gấp mới bán giá này, cơ hội quá tốt cho nhưng ai muốn sở hữu  nhà dưới 3 tỷ Hà Nội
LH 0936206176
",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787268.402596, 29m2,,, 6
