price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet,Lộ giới
18 tỷ VNĐ,Phố 8/3 Hai Bà Trưng Hà Nội, 110m2, 6, 4, 4,"+ Cần bán nhà lô góc mặt phố 8/3 quận Hai Bà Trưng, kinh doanh đỉnh, vị trí đắc địa đoạn đẹp nhất phố. + Khu vực không ngừng phát triển, xung quanh tiện ích bạt ngàn, khu đông dân, kinh doanh bất chấp, gần công viên, bệnh viện Thanh Nhàn, gần phố cổ, các TTTM lớn…. + Giá 18 tỷ + Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn. )",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828630.539775,,,
"3,395 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 85.67m2,,, 2,Chung cư giá rẻ Tây Hồ đối diện Lotte Mall ❤️❤️🎊Tặng ngay 2 chỉ vàng 9999🎊Liên kết vùng vô cùng thuận lợi.🎊Còn các căn có diện tích 84m² - 85m².🎊Giá chỉ từ 1 tỷ(30%) là có ngay 1 căn hộ 2 ngủ.❗❗❗Mua nhanh kẻo hết ❗❗❗☎️ Zalo: 0977568223 – Vân Anh (Zalo),02/04/2022,Tin thường,batdongsan_so_com_vn_1673828631.807383, Đông nam, 2,
"3,5 tỷ VNĐ","Mình cần bán 01 căn biệt thự tại Khu biệt thự Rose Villas xã Yên Bài, Ba Vì, 3,5 tỷ; 0966686699", 325m2,,,,"Mình cần bán 01 căn biệt thự tại Khu biệt thự Rose Villas xã Yên Bài, Ba Vì, 3,5 tỷ; 0966686699 Diện tích: 325m2, nhà kiểu villa 1 tầng 2 phòng ngủ, có thể chồng thêm tầng rất dễ dàng nếu muốn. Nhà đã có đầy đủ tiện nghi đủ điều kiện để sinh hoạt gia đình hoặc cho CĐT thuê lại. Giá bán: 3,5 tỷ Bạn nào quan tâm liên hệ mình qua SĐT: 0966.68.66.99. Mình cảm ơn! *Giới thiệu: Biệt thự Rose Villas nằm tại xã Yên Bài, Ba Vì cách Hà Nội chỉ 40 km, là một nơi lý tưởng để nghỉ dưỡng với khí hậu tuyệt vời mà ít nơi có được. Rose Villas nằm dưới chân núi Ba Vì, phía trên là rừng thông với diện tích 40ha, phía trước là hồ Yên Bài tạo ra một bầu không khí mát mẻ, trong lành.Rose Villas có hạ tầng hoàn chỉnh, với cây cối xanh tươi, trù phú, vườn hồng cổ sapa rực rỡ quanh năm, bể bơi vô cực, và những góc sống ảo cực đỉnh. Mật độ xây dựng cực thấp, toàn bộ các căn biệt thự đã được hoàn thiện, và đưa vào khai thác cho thuê, nên nếu bạn không có nhu cầu ở thường xuyên có thể cho CĐT thuê lại.Link fb: https://www.facebook.com/rosevillasyenbai      http://www.sanbatdongsanviet.com.vn",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828632.8735332,,,
"12,2 tỷ VNĐ","MP Thanh Bình, Phường Mỗ Lao, Quận Hà Đông, HN", 60m2, 5, 4, 4,"+ Siêu hiếm! 1 Căn duy nhất, Mặt Phố Thanh Bình, Mỗ Lao, HĐ với diện tích 60m nhà 4 tầng, mặt tiền rộng 5m, vỉa hè rộng 3.5m giá 12 tỷ 2. + Vị trí tuyệt đẹp, Kinh Doanh sầm uất, dòng tiền cho thuê lúc nào cũng HOT, khu vực dân trí cao, cạnh KĐT Mỗ Lao, Làng Việt Kiều Châu Âu nên tiện ích dịch vụ ngập tràn không thiếu thứ gì. + Phố Thanh Bình thông thương kết nối từ Trần Phú, Phùng Hưng, Quang Trung sang Vũ Trọng Khánh, Tố Hữu, Nguyễn Văn Lộc, nên phù hợp với mọi loại hình Kinh Doanh như Nhà Hàng, Showroom, Văn Phòng... + Nhà được thiết kế theo phong cách nhà phố hiện đại, phù hợp vừa ở và kinh doanh, có ô chờ Thang máy và kết cấu nhà có thể xây lên thành 7 tầng. + Sổ đỏ vuông đẹp, pháp lý chuẩn, giao dịch ngay. + Giá chào 12 tỷ 2 ( Có thương lượng) + Liên hệ xem nhà: 0902.083.139",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828634.1321633,, 4,
750 triệu VNĐ,"Cần bán CHCC mini đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy, 750tr; 0973101982", 40m2,,,,"Cần bán CHCC mini đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy, 750tr; 0973101982 - Chung cư mini 50A ngõ 66 Hồ Tùng Mậu- Diện tích 40m2, có 1 phòng ngủ, 1 phòng khách và bếp, 1 WC- Giao thông thuận tiện, gần trường gần trung tâm- Khu gần nhiều trường học các cấp từ Mầm non đến Đại Học...- Giấy tờ chính chủ Giá bán: 750 triệuLiên hệ chính chủ: 0973101982       http://www.sanbatdongsanviet.com.vn",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828635.1474483,,,
"13,6 tỷ VNĐ",Mỗ Lao- Hà Đông, 110m2,, 7,,"ĐỘC! Tòa CCMN 110m, 7 tầng , 24 phòng, mặt ngõ thông, gần hồ Mỗ Lao - Diện tích xây dựng thực tế 110m2, mặt tiền trên 5m rất rộng thoáng trước- sau vĩnh viễn. Nhà xây 7 tầng thang máy, có 24 phòng (Full đồ nội thất cao cấp), giá cho thuê 3,7tr - 4tr/tháng. Doanh thu khủng 90tr/tháng. - Nội thất: Thiết bị vệ sinh cao cấp, hệ thống đèn chiếu sáng, có đồng hồ điện nước riêng từng phòng. Hệ thống bàn bếp, giường, tủ quần áo, điều hòa, nóng lạnh, quạt trần đầy đủ, sân thượng phơi đồ, chỗ để xe, cầu thang bộ. - Vị trí: Cạnh hồ Mỗ Lao, gần ngay trục đường chính Trần Phú - Mỗ Lao, BigC hồ gương PLaza ngõ thông kinh doanh nhỏ, Thông nối ra các trục đường lớn Nguyễn Trãi , Tố Hữu, Thanh Xuân, Nam Từ Liêm... -  Giao thông cự kỳ thuận tiện đi vào trung tâm thành phố,gần các trường đại học lớn: Học viện Công Nghệ Bưu Chính Viễn Thông, Kiến Trúc, Học viện Quân Y, Học viện An Ninh, Nhạc họa Trung ương ....nhu cầu sinh viên, dân văn phòng cá nhân và hộ gia đình thuê rất lớn. - Giá: 13.6 tỷ. (có thương lượng ). - Sổ vuông đẹp, sẵn sàng giao dịch. - Liên hệ: Em Huyền ( 0965472910)- Chuyên Chung cư mi ni khu vực: Mỗ Lao, Văn Quán, Tân Triều, Triều Khúc, Yên Xá, Thanh Xuân phân khúc từ 5 đến 100 tỷ. - Trân trọng cảm ơn quý bạn đã đọc tin!",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828636.2694826,,,
"6,9 tỷ VNĐ",Trần Phú- Hà Đông, 58m2,, 7,,"HÀNG ĐỘC! CCMN NHỈNH 6 TỶ, 18pkk, 7 TẦNG THANG MÁY, MẶT NGÕ THÔNG, FULL NỘI THẤT. Vị trí: thuộc phố Trần Phú trung tâm Quận Hà Đông, mặt ngõ rộng thông thoáng, gần các trường Đại học lớn: Học viện An ninh, Kiến Trúc, Công nghệ Bưu chính Viễn thông, Nhạc họa trung ương. Giáp Khu đô thị Văn Quán hưởng nhiều lợi ích. Diện tích: 58m2, nhà có 18 phòng khép kín đã cho thuê kín, 7 tầng thang máy hiện đại, doanh thu tối đa 50-60 triệu/ tháng, dòng tiền cao hơn nhiều so với lãi suất ngân hàng. Khu đông dân cư, nhiều sinh viên các trường Đại học, các tòa văn phòng lớn nhu cầu thuê nhà cá nhân và gia đình rất nhiều. Nội thất: Điều hòa,máy giặt, cầu thang máy, bình nóng lạnh, giường, tủ, rèm, tủ bếp, cục phát wifi, camera, cửa các phòng đều thiết kế hiện đại, đèn điện trần thạch cao, thiết bị nhà vệ sinh cao cấp, điện nước đầy đủ. Có ban công phơi đồ, chỗ để xe rộng. Pháp lý đầy đủ, sổ vuông vắn. Giá: 6.9 tỷ ( có thương lượng). Liên hệ: Em Huyền ( 0965472910)- Chuyên Chung cư mi ni khu vực: Mỗ Lao, Văn Quán, Tân Triều, Triều Khúc, Yên Xá, Thanh Xuân phân khúc từ 5 đến 100 tỷ. Trân trọng cảm ơn quý bạn đã đọc tin!",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828637.324623,,,
"3,9 tỷ VNĐ",khương hạ, 37m2,, 5, 5,"- Chủ bán gấp lấy tiền muốn định cư ở nước ngoài. - Diện tích: 37m2, 5 tầng, mặt tiền 3.5m. - Vị trí: Mặt ngõ rộng thông, gần hồ, các trường học, khu vui chơi giải trí. - Trước nhà thông thoáng, cách 35m ra đường ô tô. - Nhà thiết kế 5 tầng chắc chắn, hiện đại. - Giá 3.9 tỷ chủ thiện chí bán ( có thương lượng ). - Sổ đỏ nét căng sẵn sàng giao dịch. - Liên hệ ngay em Thảo chuyên thổ cư Hà Nội.",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828638.374814,,,
,KIM NGƯU, 35m2,, 4,,"+ Vị trí nhà ngay ngã tư Kim Ngưu - Lạc Trung. Đoạn đẹp nhất của phố, kinh  doanh vô cùng sầm uất. Bên cạnh nhà có khe thoáng riêng 40cm, khách đập đi xây mới thì mặt tiền gần 4m quá đẹp. + Nhà xây 4 tầng còn mới, thiết kế đẹp. - Tầng 1 chủ đang cho thuê 20tr/tháng. - Tầng 2: Phòng khách + 1 phòng ngủ + Wc. - Tầng 3: Bếp + 1 ngủ + Wc. - Tầng 4: Phòng thờ, sân phơi. + Sổ đẹp, nở hậu 5cm. +Giao thông thuận tiện, giao với các phố lớn: Lạc Trung, Trần khát chân, Lò Đúc,...Gần các trường đại học: KTQD,DK,XD…, Gần bệnh viện Thanh nhàn, Bạch Mai… +Giá chào 9.8 tỷ- có thương lượng. +Miễn phí tư vấn, xem nhà 100%. +Liên hệ xem nhà: Nguyễn Dương 0825920555",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828639.4519355,,,
3 tỷ VNĐ,Xuân Sen - Thủy Xuân Tiên - Chương Mỹ - Hà Nội, 202m2, 11,,,Cần Bán mảnh 202m cạnh khu công nghiệp Nhuận Trạch đã đền bù chuẩn bị khởi côngDiện tích 202m + Mặt tiền 11.5m + đường rộng 5m + cách Ql21 300m + đường thông ngõ thoáng + quý anh chị đầu tư cân nhắc mua nhanh sau khi khởi công dự án sẽ k có giá này nữa. cơ hội đầu tư hiếm hoiQuý khách quan tâm liên hệ Đỗ Vĩnh 0984845398 chuyên gia môi giới đất thổ cư Hà Nội.    Tư vấn miễn phí.    Hỗ trợ pháp lý.    Hỗ trợ đàm phán giá.    Hỗ trợ tài chính vay vốn ngân hàng.Xin cảm ơn!,02/04/2022,Tin thường,batdongsan_so_com_vn_1673828640.4901547,,, 20
15 tỷ VNĐ,Hà Nội, 70m2,,,,"Bán nhà có sổ đỏ đường Nguyễn Công Hoan - SĐT: 0366 555 258.Diện tích 70 m2, nội thất châu Âu.Xây 7 tầng thang máy Nhật Bản.Mặt tiền 5 m.Khu phân lô ô tô tránh ô tô.Trước nhà xe dừng đỗ thoải mái.Dân trí cao, trịnh văn quyết g63 an ninh tốt, kinh doanh sầm uất.Sổ đẹp vuông vắn giao dịch mọi lúc.Giá chào chỉ 15 tỷ thương lượng mạnh.Liên hệ ngay 24/7 Ms Thanh để xem nhà - 0366 555 258.",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828641.5717316,,,
