price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng
"5,5 tỷ VNĐ","Ba Đình, Hà Nội", 55m2, 4, 5, 4, 4,"Bán nhà 5 tầng phố Ngọc Khánh, quận Ba Đình. Ngõ rộng, vài bước chân ra phố. + Thông số: 55m x 4 tầng, mặt tiền 4.8m. + Nhà xây thiết kế hiện đại, nội thất sịn. - Tầng 1: Khách, bếp, WC - Tầng 2+3: mỗi tầng 2 phòng ngủ +WC - Tầng 4: Phòng thờ + Sân phơi + Giá chào: 5.5 tỷ (có thương lượng) + Sổ đỏ sẵn sàng. Liên hệ: Anh Đức 0988484701",12/12/2021,Tin thường,batdongsan_so_com_vn_1673836394.7199998,
4 tỷ VNĐ,Hà Nội, 46m2,,,,," - Cần bán nhà quận Đống Đa 4 tỷ, khu VIP, 15m bãi gửi xe ô tô. - Tọa lạc ở vị trí trung tâm quận Đống Đa, ngõ thông các phố Vũ Ngọc Phan, Nguyễn Chí Thanh, Nguyên Hồng, Đường Láng.  - Nhà thiết kế 4 tầng, căn góc 2 mặt thoáng, kiến trúc hiện đại và nội thất ngoại nhập được chủ tặng lại toàn bộ.  - Giá bán 4 tỷ, chủ cần cần bán gấp để mua nhà biệt thự, sổ đỏ chính chủ, pháp lý sạch. Liên hệ miễn phí: Thanh Bình Giáo sư Thổ cư - 0856 968 656.",12/12/2021,Tin thường,batdongsan_so_com_vn_1673836396.7097104,
4 tỷ VNĐ,Hà Nội, 49m2,,,,," - Cần bán nhà ở trung tâm quận Đống Đa 4 tỷ, thiết kế 5 tầng, nhà mới long lanh. - Tọa lạc ngay phố Nam Đồng, trung tâm quận Đống Đa, xung quanh là khu phố kinh doanh sầm uất và các trung tâm thương mại, trường học và bệnh viện cô cùng tiện lợi, ngõ rộng ô tô 4 chỗ đỗ cửa được. - Nhà thiết kế gồm 5 tầng, còn mới long lanh, nhà được lắp đặt đầy đủ tiện ích, nội thất hiện đại, khách chỉ cần xách vali đến ở. - Giá bán gấp 4 tỷ, sổ đỏ chính chủ, pháp lý sạchLiên hệ miễn phí: Thanh Bình Giáo sư Thổ cư - 0856 968 656.",12/12/2021,Tin thường,batdongsan_so_com_vn_1673836398.9699223,
"10,7 tỷ VNĐ","Láng Hạ, Đống Đa, Hà Nội", 56m2,,, 5,," SIÊU PHẨM GẦN ĐẠI SỨ QUÁN - TRUNG TÂM QUẬN ĐỐNG ĐA - HÀNG XÓM QUAN CHỨC - SĐCC -  KHU VIPMô tả:+ Nhà Láng Hạ, vị trí đẹp oto chạy vòng quanh.+ Nhà 5 tầng hiện tại vẫn rất đẹp cho thuê văn phòng + Sổ phân lô cực đẹp.+ Ngõ trước nhà ô tô tránh, cách mặt phố Láng Hạ 30m.  Xung quanh toàn tòa nhà văn phòng lừng lững.+ Dân trí cực cao, tiện ích đỉnh của đỉnh.+ Nhà xây lên đáp ứng được mọi nhu cầu của khách mua: Ở, cho thuê văn phòng, cho tây thuê căn hộ, cho thuê làm spa.+ Sổ đỏ đẹ, sẵn sàng giao dịch.+ Giá: 10.7 tỷ có thương lượng.+ LH: Cung Khanh 0904080227 miễn trung gian.",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836401.1202054,
"3,5 tỷ VNĐ",Ngõ 145 Thạch Bàn, 41m2,,, 5,,"+ Nhà mới kính koong, đẹp lung linh, thiết kế thông sàn, đỉnh công năng 3PN, khách mua chỉ việc xách vali đến ở.+ Vị trí ngõ ô tô Matiz đỗ cửa, khu dân trí cao, an ninh tốt, hàng xóm thân thiện.+ Liên hệ Mr Ánh 0968.669.038 ( Làm việc chính chủ)",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836402.916296,
26 tỷ VNĐ,"Lý Nam Đế, Tp Hối An", 195m2, 7,, 4, 9,"Tọa lạc trong lòng phố cổ thuộc dự án khu dân cư Phong Sơn, Hội An Diện tích đất: 194.8m2 Hướng : đông nam, tây nam Là dạng mô hình khách sạn căn hộ có 9 căn hộ mini thiết kế sang trọng-tinh tế Trang bị nội thất đầy đủ tiện nghi hồ  bơi sang trọng đẳng cấp,spa,… Gần bảo tàng lịch sử và nghệ thuật,bảo tàng hội an,sân golf  BRG Đà Nẵng,công viên Ấn Tượng Hội An,.. Liên hệ ngay: 0346914650 - Ms Dung",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836405.158671, Đông bắc
4 tỷ VNĐ,Hà Nội, 47m2,,,,," - Nhà cách mặt phố Hồ Ba Mẫu vài bước chân, ngõ rộng, thoáng. - Nhà rất mới, xây khung bê tông cốt thép, kiến trúc và nội thất hiện đại, ngoại nhập, thửa đất đẹp, nhiều thoáng. - Diện tích 47 m2, chỉ việc ở luôn.  + Tầng 1: Có sân để xe, phòng khách, bếp, phòng ăn và WC.   + Tầng 2, 3: Nhiều phòng ngủ, WC.  + Tầng 4: Phòng thờ và sân phơi.Giá bán gấp chỉ 4 tỷ cho một căn an sinh tuyệt đỉnh, sổ đỏ cầm tay, pháp lý chuẩn.Liên hệ Giáo sư Thổ cư Mr. Bình - 0856 968 656.",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836406.7593567,
"4,23 tỷ VNĐ",Phúc La- Hà Đông, 51m2,,, 4,,"Bán nhà đẹp Phúc La, Hà Đông, 51m2x 4 tầng, nhỉnh 4 tỷ, ô tô gần Giới thiệu đến quý khách hàng một căn nhà tại vị trí Trung tâm Quận Hà Đông, nhà đẹp nhất khu gần Hồ Văn Quán rất hiếm, ngõ thoáng, giao thông di chuyển quá thuận lợi các phố: Thanh Bình, Phùng Hưng, Yên Xá, Quang Trung, Trần Phú, Nguyễn Trãi, Yên Phúc, Xa La, Tô Hiệu,... Tiện ích ngút ngàn: xung quanh là các ngân hàng, trường học các cấp, bệnh viện, bến xe, siêu thị, việc đi lại quá dễ dàng nhanh chóng. Nhà được chủ là dân xây dựng chuyên nghiệp xây rất chắc chắn, ở giữ gìn bao năm sạch đẹp như mới, các phòng đều mở cửa sổ thoáng sáng với 4 tầng rộng đẹp, khu hiếm nhà bán. Sổ đỏ cất két, giao dịch ngay. Giá: 4.23 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836409.2022014,
"2,77 tỷ VNĐ",Yên Xá- Hà Đông, 41m2,,,, 4,"Nhỉnh 2 tỷ gần phố Yên Xá, Hà Đông, 41m2, 4 ngủ rộng, ngõ thoáng Chủ tín nhiệm gửi bán gấp nhà trong tháng, được xây khung cột chắc chắn với 4 tầng thoáng sáng, phòng nào cũng hiện đại nội thất sang đẹp, nhà mới chỉ việc ở ngay, khu dân cư văn minh yên tĩnh, đường vào nhà trải nhựa khang trang, ngõ thông thoáng, vài bước chân ra phố ô tô tránh. Giao thông vô cùng thuận tiện di chuyển các phố: Mậu Lương, Thanh Hà, Xa La, Phú Lương, Văn Phú, Văn Quán, Tân Triều,.... Tiện ích xung quanh ngút ngàn: trường học, bệnh viện, ngân hàng, siêu thị, trung tâm mua sắm, vườn hoa, bể bơi, sân bóng...mua gì cũng có. Vị trí đẹp tiếp giáp Khu đô thị Văn Quán. Chủ nhà rất thành đạt nhiều nhà bán bớt, gia lộc cho khách thiện chí mua. Sổ đỏ chính chủ , sẵn sàng giao dịch. Giá: 2.77 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.       - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836410.9322112,
"2,82 tỷ VNĐ",Mậu Lương- Hà Đông, 42m2,,, 4,,"Tôi cần bán nhà 42m2x 4 tầng, ô tô gần, Mậu Lương, Hà Đông Nhà bán nằm vị trí đẹp giao thông vô cùng thuận lợi cạnh các bệnh viện lớn, di chuyển các hướng Yên Xá, Đa Sỹ, Thanh Hà, Phùng Hưng, Yên Phúc, Văn Quán, Tân Triều, Cầu Bươu, Phú Lương, Văn Phú...cạnh các phố cổ kinh doanh sầm uất, nhiều tiện ích. Xung quanh: siêu thị, các bệnh viện lớn, ngân hàng, chợ, trung tâm thương mại... Nhà được thiết kế khung cột chắc chắn, các phòng thoáng sáng đầy đủ công năng, chỉ việc ở ngay. Sổ đỏ vuông, pháp lý chuẩn. Giá: 2.82 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.       - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836413.2616434,
"2,81 tỷ VNĐ",Phan Đình Giót- Hà Đông, 42m2,,,, 4,"Chính chủ bán nhà đẹp 42m2, gần ô tô, 4 ngủ, ngõ thoáng, Phan Đình Giót, Hà Đông Nhà bán nằm vị trí đẹp giao thông vô cùng thuận lợi gần chợ, trường học, sân bóng. Rất gần tàu điện trên cao, giao thông thuận lợi các phố:Quang Trung , Ngô Thì Nhậm, Tố Hữu, La Khê, Văn Phú, Lê Trọng Tấn, cạnh chợ Bông Đỏ. Xung quanh ngập tràn tiện ích: siêu thị, gần chợ, ngân hàng, trung tâm thương mại, bệnh viện. Nhà được thiết kế khung cột chắc chắn, các phòng thoáng sáng đầy đủ công năng. Chỉ việc xách vali đến ở. Sổ đỏ vuông, pháp lý chuẩn. Giá: 2.81 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.       - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836414.9773822,
"2,8 tỷ VNĐ",Đa Sỹ- Hà Đông, 41m2,,,, 4,"Nhỉnh 2 tỷ nhà đẹp Đa Sỹ, Hà Đông, 41m, 4 ngủ rộng siêu hiếm, ngõ thông, ô tô gần Chủ nhờ bán gấp nhà đẹp trong tháng, vị trí trung tâm đắc địa gần các bệnh viện lớn Học viện Quân y 103, Đa Khoa Hà Đông, Viện Bỏng...an sinh đỉnh nhất khu vực. Cạnh Khu đô thị Xa La, Phú Lương, Văn Phú,... sầm uất ngày đêm. Vị trí thông thương các tuyến phố : Lê Lợi, Tân Triều, Thanh Hà, Yên Xá, Yên Phúc, Văn Quán, Phú Lương, Yên Phúc, ....chợ đầu mối 365 gần nhà. Nhà ngõ rộng thông thoáng, gần phố ô tô tránh, tiện ích xung quanh ngút ngàn siêu thị, chợ trường học, ngân hàng, bể bơi, sân bóng... Nhà chủ xây tâm huyết, khung cột chắc chắc, các phòng đều sáng đầy đủ công năng sử dụng với 4 tầng đẹp mê li nhìn là thích, nội thất nhập xịn ở đỉnh. Sổ đỏ chính chủ, pháp lý sạch. Giá: 2.8 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.    - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836417.13133,
"2,78 tỷ VNĐ",La Khê- Hà Đông, 41m2, 4,,,,"Cần bán nhà La Khê, Hà Đông, 41m, MT 4m, nhỉnh 2 tỷ, gần ô tô, ngõ thông Nhà nằm vị trí đắc địa trung tâm Quận Hà Đông thông thương các phố: Lê Trọng Tấn, Văn Phú, Ngô Thì Nhậm, văn Khê Khê, Phan Đình Giót, Tố Hữu, gần bến xe bus thuận tiện đi lại. Nhà ngõ rộng thông thoáng, gần đường ô tô, xung quanh nhiều tiện ích: chợ Bông Đỏ, trường học các cấp, bệnh viện lớn ,ngân hàng... Nhà được thiết kế chuẩn công năng sử dụng, khung cột chắc chắn, phòng nào cũng cửa sổ mở thoáng sáng rất tốt cho sức khỏe, nhà mới chỉ việc xách vali đến ở. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 2.78 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.    - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",11/12/2021,Tin thường,batdongsan_so_com_vn_1673836418.9381535,
