price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"5,3 tỷ VNĐ",Đường Phố Trạm phường Long Biên, 53m2, 3,"
    BÁN NHÀ DÂN XÂY PHỐ TRẠM LONG BIÊN 52M.- Nhà dân xây tâm huyết, kiên cố, thiết kế chuyên nghiệp.- Vị trí đẹp chân cầu VĨNH TUY, hàng xóm AEON, BIG C,…- Chuyên môi giới nhà đất Long Biên với nhiều năm kinh nghiệm.- Cam kết: TƯ VẤN, XEM NHÀ MIỄN PHÍ.- KHÁCH HÀNG TRỰC TIẾP ĐÀM PHÁN VỚI CHỦ.- UY TÍN - TẬN TÂM - CHUYÊN NGHIỆP.
",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802129.5637226,,,,,
9 tỷ VNĐ,Thái Thịnh, 50m2,,"+ Trung tâm lõi Đống Đa, tiện ích bạt ngàn. Thông sang Thái Hà, Tây Sơn, Thịnh Quang.+ Mặt ngõ thông, cách đường lớn 70m, ô tô tránh nhau, kinh doanh bất chấp mọi mặt hàng.+ Thiết kế nhà 5 Tầng mới đẹp, nội thất toàn gỗ xịn, chủ tặng lại hết cho khách.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.    LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802132.418085, 5,,,,
"7,3 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 55m2, 2,"
    Bán nhà ngõ Phố Thái Hà, 5 tầng ở ngay: 
    + Diện tích rộng: 55m2     + Mặt tiền rộng: 3.5m - Khu vực dân trí cao, an ninh tốt.  - Nhà dân xây 5 tầng, khung cột chắc chắn, thiết kế hợp lý, các phòng đều thoáng sáng tốt cho sức khỏe. - Xung quanh gần trường học các cấp. - Kết nối Thái Hà - Thái Thịnh - Yên Lãng - Láng - Ngã Tư Sở ....     + Sổ đỏ chính chủ, sẵn sàng giao dịch, công chứng sang tên luôn.     + Giá bán 7.3 tỷ (có thương lượng) - Liên hệ ngay em Thịnh (gọi hoặc inbox zalo 24/24h) Miễn phí xem nhà - Nguồn hàng phong phú - Nhiệt tình tận tâm - Hỗ trợ 24/24 - Cam kết thông tin thật 100% Miễn môi giới, trung gian. Xin cảm ơn đã đọc tin.!.",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802134.0207968, 5, 3, 6, 4,
115 triệu VNĐ,Thành Trung - Trâu Quỳ - Gia Lâm - Hà Nội, 84m2, 11,"- Chính chủ cần bán nhanh căn Shophouse chủ đầu tư Sông Hồng Land trung tâm thị trấn Trâu Quỳ - Gia Lâm – Hà Nội. - Vị trí đắc địa nằm trong vùng lõi kinh tế - chính trị của Gia Lâm, hạ tầng giao thông đồng bộ nhựa hóa liên kết nhiều tuyến đường lớn kinh doanh tốt như: Phố Thành Trung, Ngô Xuân Quảng, Nguyễn Khiêm Ích, Cửu Việt, Nguyễn Mậu Tài,….. - Xung quanh muôn vàn tiện ích không thiếu thứ gì, tiếp giáp khu đấu giá 31ha và huyện ủy Gia Lâm, trạm y tế, bệnh viện trường học các cấp,đến biển hồ Vin Ocean Park chỉ 5p,..… - Hiện trạng nhà xây 4 tầng thiết kế hiện đại, hoàn thiện mặt ngoài bên trong bàn giao thô có hố chờ thang máy, mặt tiền rộng 6m vỉa hè 3m đường trước nhà 11m trải nhựa bóng nhoáng,.. - Chủ nhà thiện trí bán đã hạ nhiều để nhanh vào việc giá chỉ 11,5 tỷ ,sổ đỏ sẵn sàng công chứng. Liên hệ xem nhà đất và biết thêm thông tin chi tiết E.Nhật 0982852808, 0948584888",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802135.9835768, 4, 6, 4, 4, Đông bắc
"3,3 tỷ VNĐ",hai đình thanh xuân hà nội., 30m2,,"+ Bán Nhà Phố Hạ Đình, Quận Thanh xuân, lô góc 2 thoáng siêu đẹp. khu vực toàn công chức ở, an ninh tốt, dân trí cao. Chỉ 10 phút ra Royal city và BigC. + Chủ nhà xây tâm huyết, thiết kế đẹp, ánh sáng ngập tràn, nội thất đầy đủ. Cần bán để sang nước ngoài ở với con. + Nhà 5 tầng mới đẹp, vài bước ra phố. Gần các đường như. Khương Trung, Nguyễn Trãi, Kim Giang, Vũ Tông Phan và nhiều trường Đại Học. Giá chỉ 3.2 tỷ. + Sổ đỏ cất két, sẵn sàng giao dịch. + Liên hệ; 0911303899 - Mr Quân. Tư vấn miễn phí 24/24.",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802137.3249903,,,,,
13 tỷ VNĐ,ĐỊnh Công Hoàng Mai hà Nội, 70m2,,"Chính chủ bán nhà mặt đường Trương Định, Hoàng Mai (Đối diện chung cư Nam Đô) 0985.698.022 - Nhà diện tích 70m2/sàn, nhà 3 tầng thiết kế đẹp.+Tầng 1 thông sàn sử dụng kinh doanh.+Tầng 2 gồm 1 phòng khách và 1 phòng ngủ, 1wc.+Tầng 3 gồm 2 phòng ngủ 2wc - bếp và sân phơi.Vị trí nằm ở khu dân cư đông đúc gần Trường, Chợ, Trung tâm mua sắm, bệnh viện thuộc khu vực sầm uất, khu dân trí cao an ninh tốt.Vỉa hè rộng thông thoáng, đầy đủ mọi tiện ích.-Nhà hướng Đông Nam.-Sổ đỏ chính chủ pháp lý rõ ràng.*Giá bán : 13 tỷ ( có thoả thuận)Liên hệ chính chủ : 0985.698.022",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802139.0543635,,,,,
"10,96 tỷ VNĐ",Khu đô thị Vân Canh  - HUD Vân Canh, 100m2,,"LIỀN KỀ KHU ĐÔ THỊ VÂN CANH (HUD VÂN CANH) – 4 TẦNNG 100M2 – 10,96 TỶ. - Chính chủ nhờ bán Liền kề Khu đô thị Vân Canh (HUD Vân Canh), khu vực phân lô, vỉa hè, diện tích rộng. Thông ra các đường lớn như Trịnh Văn Bô, Xuân Phương, Cầu Diễn, Mỹ Đình, nngay  sát tòa nhà Athenna... Thuận tiện đi lại. - Nhà chủ thiết kế nội thất sang đẹp, đầy đủ công năng, thoáng trước thoáng sau. Thiết kế: - Tầng 1: Gara, phòng khách, bếp, ô thoáng. - Tầng 2,3: Mỗi tầng 2 ngủ vệ sinh khép kín. - Tầng 4: Phòng thờ, sân phơi, phòng gym. - Sổ đỏ chính chủ. Chủ thiện chí, hợp tác cần bán nhanh. - Liên hệ: K.S Phương – 0918120568 để được tư vấn về ngôi nhà và gặp chủ đàm phán trực tiếp",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802140.7284691, 4, 5, 4, 4,
"2,7 tỷ VNĐ","Chính chủ bán CHCC tầng 25 Tecco Diamond  Thanh Trì; 2,7 tỷ; 0984524168", 81m2,,"Chính chủ bán CHCC tầng 25 Tecco Diamond  Thanh Trì; 2,7 tỷ; 0984524168  – Diện tích sử dụng 80,9m2, có 3pn, 2wc, thoáng mát hướng ban công nhìn ra đường cao tốc, nhìn về hướng trung tâm TP,  - Nhà mới mua chưa lắp nội thất, chưa sử dụng.  – Gần bến xe nước ngầm, bến xe giáp bát, gần chợ Tứ Hiệp, gần bệnh viện, trường học cấp 1,2,3 và đại học.  – Bên dưới tòa nhà có bể bơi, và các cửa hàng, siêu thị, đầy đủ các tiện ích.   – Giá 2,7 tỷ dùng để ở rất tốt hoặc đầu tư sinh lời trong tương lai  – Điện thoại: 0984524168      http://www.sanbatdongsanviet.com.vn",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802142.2125008,,,,,
45 tỷ VNĐ,Đường Trần Quang Diệu phường Trung Liệt, 110m2, 30,,13/09/2022,Tin thường,batdongsan_so_com_vn_1673802143.508032, 7, 7, 9, 10,
"7,3 tỷ VNĐ","Đường Nguyễn An Ninh, Phường Tương Mai", 55m2, 3,"✓ Nhà mới, siêu đẹp, tháng máy chạy êm ru, kinh doanh sinh lời.✓ Diện tích: 55 m.✓ Sổ đỏ chính chủ, pháp ly chuẩn.✓ Giá chào: Nhỉnh 7 tỷ.✓ Nhà thiết kế hiện đại, tình tế đến từ chỉ tiết, cực kỳ sáng, thoáng, vượng khí.✓ Gần nhà thì đấu Hoàng mai, thông sang Trưing Định, Nguyễn an ninh.✓ Gần nhiều trường học liên cấp .✓ Gần nhiều trường Đại học và Bệnh viện lớn.+ Liên hệ: Nguyễn Dương - 0825920555.",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802148.518211, 5, 4, 5, 4,
