price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Số tầng,Hướng
"48,5 tỷ VNĐ","Việt Hưng, Long Biên HN", 230m2,"+ Biệt thự đơn lập siêu Vip, mặt quay nội khu, có cổng an ninh 24/7, đẳng cấp sống đại gia. +Thiết kế 4 tầng hiện vẫn để xây thô. Khách mua về hoàn thiện theo ý mình đẹp long lanh.  + Sổ đỏ chính chủ, pháp lý chuẩn chỉ, giao dịch trong phút mốt",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792526.3132875,,,,,,
"3,45 tỷ VNĐ","Minh Khai, Hoàng Mai HN", 33m2,"+ Nhà rất gần ô tô, ngõ vào nhà thoáng sạch, ngõ trước nhà SH quay đầu thoải mái.  + Khu vực an sinh đỉnh, tiện ích ngập tràn, cần gì cũng có. + Nhà ba tầng thiết kế đầy đủ công năng khách bếp, 3 ngủ, phòng thờ, sân phơi. + Sổ đỏ vuông đẹp sẵn sàng giao dịch",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792528.3289583,,,,,,
"3,1 tỷ VNĐ",Đường Vĩnh Quỳnh phường Vĩnh Quỳnh, 50m2,"BÁN ĐẤT PHÂN LÔ THANH TRÌ,50M2, MẶT TIỀN 3.6M, GIÁ 3,1 TỶ +Vị trí đẹp, đường rộng thoáng. + Chủ xác định tặng nhà cấp 4 +Nhà phân lô trong khu tập thể, dân trí cao, an ninh tốt, tiện ích ngập tràn. +Sổ đỏ đẹp, đất nở hậu, chính chủ, sẵn sàng giao dịch +Chủ nhà trẻ tuổi, thân thiện, thiện chí bán để lấy tiền đầu tư kinh doanh. Anh chị em có nhu cầu là vào việc luôn. Miễn tiếp trung gian hoặc môi giới. (hàng hiếm , siêu rẻ, chủ cần tiền gấp). ",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792529.4359982, 3, 1, 1, 1,,
"9,5 tỷ VNĐ",Đường Nguyễn Viết Xuân phường Hà Cầu, 53m2,"
    
SIÊU PHẨM - MẶT PHỐ - NGUYỄN VIẾT XUÂN - KINH DOANH SẦM UẤT - ĐANG CHO THUÊ 10TR/TH

Diện tích 53m2, mặt tiền 4.5m, giá 9.5 tỷ  Liên hệ 0936206176
Hiện đang có nhà cấp 4 cho thuê kinh doanh thu 10tr/ tháng

+ mảnh đất mặt phố hiếm nhà bán .mặt phố Nguyễn Viết Xuân, đoạn phố đẹp nhất, vỉa hè rất rộng kinh doanh bất chấp mọi loại hình. Nhà gần CĐ y tế Cộng đồng, 100m ra phố Quang Trung, bạt ngàn công ty văn phòng, ngay trường cấp 1, 2 Ngô Thì Nhậm, xung quanh bạt ngàn hàng quán, chợ, ... Tiện ích không thiếu gì.

+ nằm trêm mặt đường 18M , nằm cạnh chân 3 toà chung cư, mật độ dân cư tập chung ở đây cực kỳ nhiều, nhu cầu mua sắm, làm đẹp, ăn uống cực kỳ lớn . 
+ Nguyễn Viết Xuân là tuyến phố huyết mạch thông khắp ngã, giao cắt với phô Ngô Thì Nhậm thông Quang Trung - Tố Hữu - tiền năng cực kỳ lớn - mặt phố rất hiếm nhà bán - cứ có nhà giao bán là sẽ giao dịch ngay .

+ Sổ đỏ phân lô, sẵn sàng giao dịch. 
",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792530.4692767, 4, 12, 1, 1, 1,
"9,5 tỷ VNĐ",Đường Nguyễn Viết Xuân phường Hà Cầu, 53m2,"
    
SIÊU PHẨM - MẶT PHỐ - NGUYỄN VIẾT XUÂN - KINH DOANH SẦM UẤT - ĐANG CHO THUÊ 10TR/TH

Diện tích 53m2, mặt tiền 4.5m, giá 9.5 tỷ  Liên hệ 0936206176
Hiện đang có nhà cấp 4 cho thuê kinh doanh thu 10tr/ tháng

+ mảnh đất mặt phố hiếm nhà bán .mặt phố Nguyễn Viết Xuân, đoạn phố đẹp nhất, vỉa hè rất rộng kinh doanh bất chấp mọi loại hình. Nhà gần CĐ y tế Cộng đồng, 100m ra phố Quang Trung, bạt ngàn công ty văn phòng, ngay trường cấp 1, 2 Ngô Thì Nhậm, xung quanh bạt ngàn hàng quán, chợ, ... Tiện ích không thiếu gì.

+ nằm trêm mặt đường 18M , nằm cạnh chân 3 toà chung cư, mật độ dân cư tập chung ở đây cực kỳ nhiều, nhu cầu mua sắm, làm đẹp, ăn uống cực kỳ lớn . 
+ Nguyễn Viết Xuân là tuyến phố huyết mạch thông khắp ngã, giao cắt với phô Ngô Thì Nhậm thông Quang Trung - Tố Hữu - tiền năng cực kỳ lớn - mặt phố rất hiếm nhà bán - cứ có nhà giao bán là sẽ giao dịch ngay .

+ Sổ đỏ phân lô, sẵn sàng giao dịch. 
",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792531.6052392, 4, 12, 1, 1, 1,
"7,9 tỷ VNĐ",Đường Lương Ngọc Quyến phường Văn Quán, 60m2,"
    
MẶT PHỐ - Ô TÔ TRÁNH - KINH DOANH ĐỈNH - HAI THOÁNG - TRUNG TÂM QUẬN 
Diện tích 60m2, 4 tầng, mặt tiền 4.5m, giá 7.9 tỷ  LH0936206176

+ Nhà mặt phố kinh doanh đỉnh, chủ đang vừa ở vừa cho thuê kinh doanh
+ Phố Lương Ngọc Quyến đẹp, ở sướng, dân trí cao, tiện ích đầy đủ, trung tâm Quận Hà Đông nên đi đâu cũng tiện. Gần các trường đại học lớn, chợ siêu thị, TTTM, vvvv.
Quận Hà Đông giáp ranh với Quận Thanh Xuân, quận Nam Từ Liêm, quận thanh trì.

+ Nhà chủ tự xây, thiết kế cơ bản tầng 2 phòng rộng thoáng, công năng đầy đủ, khách mua về thêm vài thùng sơn là ở tạm ngon lành. Hoặc dư dả tài chính thì khoác thêm cho e nó tấm áo mới thì đẹp lung linh, thiết kế chi tiết:
- T1: Kinh doanh + bếp + WC
- T2, phòng khách + 1 phòng ngủ, vệ sinh. 
-Tầng 3: 2PN + Ban công
- T4: Phòng thờ + sân phơi

+ Sổ đỏ chính chủ
",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792532.7741113, 4, 7, 3, 4, 4,
"3,4 tỷ VNĐ",Đường Hà Trì phường Hà Cầu, 43m2,"
    
NHỈNH 3 TỶ - 5 TẦNG + 1 TUM - 4 NGỦ - LÔ GÓC 3 THOÁNG VĨNH VIỄN - GIÁ MỀM NHẤT HÀ TRÌ 4 - TẶNG 95% NỘI THẤT HIỆN TRẠNG 

Diện tích 43m2, 5 tầng, mặt tiền 3.3n, giá 3.4 tỷ LH0936206176
 
+ Nhà xây mới được 2 năm, còn mới và chất lượng, khách mua dọn về ở ngay, khách thiện chí chủ tặng Nội thất.
+ Thiết kế hiện đại, công năng thượng thừa, chi tiết:
+ Tầng 1: Để xe, bếp, WC.
+ Tầng lửng: phòng khách cực rộng
+ Tầng 3,4,: mỗi tầng 2 phòng ngủ rộng, 1 WC
+ Tầng 5: Phòng thờ, sân phơi
+ Tầng 6: (tum) sân vườn trồng rau sạch ăn quanh năm.

+ Trước nhà thoáng rộng tầm 4m, lát gạch đỏ sạch sẽ văn minh, nhà lô góc, 4 mặt không tiếp giáp bất kỳ với tường nhà nào, hiếm có.

+ Nhà nằm sát ngã tư Hà Trì, dân cư đông đúc, tiện ích cực kì đầy đủ, an sinh đỉnh, khu vực đang phát triển cực mạnh của Hà Đông.

+ Sổ phân lô
",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792533.9539943, 3, 3, 4, 4, 5,
"3,5 tỷ VNĐ","Phường Phương Liên, Đê La Thành, Đống Đa", 31m2,"Bán nhà phố Đê la thành dt: 36m², 3 tầng, mt: 4.2. Giá: 3.5 tỷ (có thương lượng).Ngõ có 3 nhà, đã có dòng tiền, trước nhà thoáng mát, gần nhiều tiện ích, giao thông thuận tiệnThiết kế: - Tầng 1: Khách + bếp + WC.- Tầng 2,3: Mỗi tầng 1 phòng ngủ khép kín + Thờ, sân phơi.- Sổ đỏ đẹp, sẵn sàng giao dịch.",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792535.0919504, 4,, 2, 2, 3,
,Đường Văn Chương phường Văn Chương, 51m2,"- Tầng 2, 3, 4: mỗi tầng 2 ngủ, wc.+ Sổ đỏ chính chủ, nở hậu, cất két sẵn sàng giao dịch.Nhanh nhanh gọi điện hẹn tôi đi xem sớm thôi, kẻo lỡ cơ hội sở hữu em nó.
",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792536.2039762,, 4, 4,, 4,
"37,5 tỷ VNĐ",Trương Định Hoàng Mai Hà Nội, 96m2,"- Dt 96m2 X5 Tầng. Mt 5.5m Giá 37.5 tỷ ( có thương lượng )- Vị trí lô góc 2 mặt thoáng - Nhà mặt phố, hưởng trọn tiện ích, dân cư đông đúc kinh doanh sầm uất nhộn nhịp.- Nhà hiện chủ đang cho thuê, mỗi tháng 70triệu. Khách mua về có thể tự kinh doanh hoặc quản lý việc tiếp tục cho thuê!  + Thiết kế 5 Tầng thông sàn. cầu thang bộ và thang máy!  - Sổ đỏ chủ cất két, sẵn sàng giao dịchACE có nhu cầu liên hệ em Quân để được tư vấn và hỗ trợ. 0385 94 1802 ❤️Miễn ( TG Quảng Cáo )",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792537.5553603, 5,,, 5, 5,
"5,18 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 48m2,"Mô tả: -Ngõ 109 Quan Nhân, thông sang Giáp Nhất  Kết cấu: nhà xây khung cột chắc chắn, có thể thêm tầng thoải mái.  ",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792538.533744, 5, 2, 4, 4, 4,
"8,6 tỷ VNĐ",Đường Thái Hà phường Láng Hạ, 39m2,- Giá 8.6 tỷ còn thương lượng ,25/10/2022,Tin thường,batdongsan_so_com_vn_1673792539.658733,, 7, 4, 3, 4,
"5,18 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 48m2,"Mô tả: -Ngõ 109 Quan Nhân, thông sang Giáp Nhất  Kết cấu: nhà xây khung cột chắc chắn, có thể thêm tầng thoải mái.  ",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792540.7029417, 5, 2, 4, 4, 4,
4 tỷ VNĐ,Đường 19 tháng 5 phường Văn Quán, 43m2,"- DT: 43m x 5 tầng x MT 3.8m. Giá chỉ 4 tỷ (có thương lượng) - Nhà được thiết kế 5 tầng, thiết kế hiện đại, đủ công năng cho 1 gđ 4,5 thành viên  ",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792542.1750033, 4, 3, 4, 3, 5,
,Đường Văn Chương phường Văn Chương, 51m2,"- Tầng 2, 3, 4: mỗi tầng 2 ngủ, wc.+ Sổ đỏ chính chủ, nở hậu, cất két sẵn sàng giao dịch.Nhanh nhanh gọi điện hẹn tôi đi xem sớm thôi, kẻo lỡ cơ hội sở hữu em nó.
",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792543.4934745,, 4, 4,, 4,
"11,5 tỷ VNĐ",Phùng Khoang Nam Từ Liêm, 70m2,"TÒA CCMN CAO CẤP 7 TẦNG THANG MÁY TẠI PHÙNG KHOANG QUẬN NAM TỪ LIÊM - 18 PHÒNG KHÉP KÍN - DÒNG TIỀN SẤP SỈ 90TR/THÁNG.Diện tích 70m 7 tầng giá 11.5 tỷ lh: 0819508701 Mô tả:+ Tòa chung cư mini xây dựng 7 tầng thang máy. Tổng 18 phòng khép kín full nội thất cao cấp. - Tầng 1: Để xe + 1 phòng.- Tầng 2,3,4,5,6: Mỗi tầng 3 phòng. - Tầng 7: 2 phòng + sân phơi. + Hiện tại chủ đã cho thuê kín phòng. Doanh thu sấp sỉ 90tr/tháng. TẦM TIỀN này và DOANH THU này hàng tháng đảm bảo đang cao nhất thị trường cùng phân khúc. + Vị trí trung tâm quận Nam Từ Liêm, ngõ trước nhà ba gác tránh nhau.- Sổ đỏ vuông đẹp, pháp lý chuẩn, giao dịch nhanh.- Gọi cho Nguyên  Anh:0819508701 để xem nhà miễn phí.",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792544.7560966, 3, 17, 10, 10, 7, Tây
"12,3 tỷ VNĐ",Đường Nguyễn Phong Sắc phường Nghĩa Tân, 69m2," kéo dài. Khu vực phân lô đường rộng ngõ thông hè thoáng, cây xanh bóng mát quanh năm, ở cực sướng! ô tô vào nhà   ",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792545.9229963, 6, 6, 6, 3, 4,
"12,3 tỷ VNĐ",Đường Nguyễn Phong Sắc phường Nghĩa Tân, 69m2," kéo dài. Khu vực phân lô đường rộng ngõ thông hè thoáng, cây xanh bóng mát quanh năm, ở cực sướng! ô tô vào nhà   ",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792547.2015548, 6, 6, 6, 3, 4,
"11,5 tỷ VNĐ",Phùng Khoang, 77m2,"CHUNG CƯ MINI SIÊU VIP 77m2x7T THANG MÁY DÒNG TIỀN 90tr/tháng 11.5tỷ PHÙNG KHOANG, TRUNG VĂN, NAM TỪ LIÊM = Vị trí trung tâm lõi của 7 trường đại học lớn: Phùng Khoang nơi hội tụ sinh viên và người đi làm đông nhất Hà Nội, quanh năm tấp nập như trẩy hội. = Khu vực cho thuê full phòng quanh năm, doanh thu dòng tiền 90 triệu/tháng. = Đường đi thông tất cả các ngõ, các tuyến: Nguyễn Trái, Khuất Duy Tiến, Tố Hữu, Vũ Trọng Khánh… = Nhà mới koong thiết kế hiện đại, đẳng cấp, sang trọng, cực Vip đầy đủ mọi tiện ích công năng = Diện tích 77m2, xây 7 tần, thang máy, phòng khép kíp đẹp như chung cư cao cấp. = Giá mong muốn 11,5 tỷ. = Sổ chính chủ vuông vắn xinh xắn như hoa hậu = Cam kết thông tin hình ảnh thật 100% = Liên hệ: 0822667666",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792549.1479979,,,,, 7,
