price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Hướng,Số toilet
12 tỷ VNĐ,Đường Ngọc Thụy phường Ngọc Thụy, 140m2, 6, 9,+ Vị trí Ôtô kinh doanh cây xanh phủ kín đường rộng 9m. + Trường quốc tế pháp ngay gần xây Apaterment cho Tây thuê thu nhập 3000 USD/ Tháng.  ,07/07/2022,Tin thường,batdongsan_so_com_vn_1673815924.9248416,,,,
"2,85 tỷ VNĐ",Đường Nguyên Xá P Mnh Khai Q Bắc Từ Liêm, 38m2,,,"Chủ ngộp cần bán căn nhà mới xây 38mx4.2 4 tầng giá cực rẻ chỉ 2.85 tỷ với đặc điểm:+ Nhà đẹp, mới tinh, khu vực nhiều người thuê ở và làm việc tại Hà Nội.+ Nhà khung bê tông cốt thép thiết kế mỗi tầng 1 phòng rộng, wc, cầu thang cuối nhà, thoáng mát, trước nhà có sân chung lát gạch sạch sẽ, bóng nhoáng.+ Sổ đỏ sẵn sàng giao dịch.+ Phố Nguyên Xá thông ngõ 162, thông ngõ 132, thông ngõ 136 Đường Cầu Diễn. Giao thông thuận tiện lắm.+ Nhà nhỏ tiền dễ chốt.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815926.5903864, 4, 3,,
"4,45 tỷ VNĐ",Khương Đình - Thanh Xuân, 37m2,,,"KHƯƠNG ĐÌNH – THANH XUÂN, Ô TÔ – KINH DOANH, 37M2 – 4.45 TỶ -  Khương Đình – Thanh Xuân, cách một nhà ra phố, ngõ thông ô tô nhỏ, kinh doanh nhỏ như tạp hóa, hiệu   thuốc, spa … quá tốt. - Nhà 4 tầng, mặt tiền 6m, khung cột bê tông, chỉ việc về ở. - Sổ đỏ chính chủ, thiện chí bán - Liên hệ: K.S Phương  - 0918120568 để được hỗ trợ gặp trực tiếp chủ nhà xem nhà và thương lượng giá tốt",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815928.0434992,,,,
599 triệu VNĐ,Đa Tốn, 70m2, 7, 10,"🏡 CHỈ TỪ 𝟓𝟗𝟗 𝐓𝐑𝐈𝐄̣̂𝐔 SỞ HỮU NGAY CĂN HỘ 𝟐𝐏𝐍+𝟏 CAO CẤP #VINHOMES_OCEAN_PARK🌸 𝟖 𝐋𝐲́ 𝐝𝐨 để lựa chọn mua căn hộ tại #Shapphire #VINHOMES_OCEAN_PARK trong thời điểm này:🎯 Thiết kế ưu việt căn 𝟐𝐏𝐍+𝟏 với diện tích 60𝐦𝟐 - 70𝗺𝟮------------------⭐ Có đầy đủ tiện ích Vincom Megamall, Vinschool, Vinbus, Vinmec, Công viên, Sân chơi thể thao ...⭐ Cộng đồng văn minh nhất, kiến tạo cuộc sống⭐ An tâm về nhà cửa vì có an ninh tốt⭐ Chính sách bán hàng ƯU_ĐÃI chưa từng có từ trước đến nay⭐ Bàn giao nhà NGAY sau khi khách hàng ký hợp đồng mua bán trực tiếp chủ đầu tư Vinhomes⭐ Bộ máy quản lý vận hành của khu đô thị đã đi vào hoạt động ổn định và phục vụ đầy đủ nhu cầu của quý cư dân.⭐ Quý khách hàng trải nghiệm thực tế TRỰC_TIẾP căn hộ và vô vàn các đại tiện ích đẳng cấp miễn phí.⭐ Hệ thống cơ sở hạ tầng giao thông siêu kết nối------------------🎁 Đóng 𝟓𝟗𝟗 𝘁𝗿𝗶𝗲̣̂𝘂 Nhận nhà về ở hoặc Cho Thuê ngay 10-15triệu/tháng🎁 Hỗ trợ vay vốn lên đến 𝟕𝟎%🎁 Lãi suất 0% đến 𝟎𝟒/𝟐𝟎𝟐𝟑🎁 Tặng ngay Voucher Vinfast lên tới 𝟐𝟎𝟎 triệu🎁 Chiết khấu lên tới 𝟏𝟐,𝟓% GTCH thanh toán tiến độ🎁Tặng quà nội thất lên tới 𝟑𝟖𝟎 𝐭𝐫𝐢𝐞̣̂𝐮🎁 Quà tặng mùa Hè lên tới 𝟏𝟎𝟎 𝐓𝐫𝐢𝐞̣̂𝐮#TheOceanView #The_Ocean_View #VinhomesOceanPark #Vinhomes_Ocean_park #Sapphrie #Ruby #TheZenPark #The_Zen_park #ThePavilion #The_Pavilion #TheBayfont #TheRoyalSail #The_Royal_Sail #ĐầutưmuabánchuyểnnhượngBĐSVinhomes #Đầu_tư_mua_bán_chuyển_nhượng_BĐS_Vinhomes #Vinhomes #Vingroup #MasteriseHomes #Masterise_Homes #Techno_park #Technopark #Mô_hình_Đô_thị_15_phút #Thiên_đường_nghỉ_dưỡng #Phong_cách_Dubai_Singapore_nhật_bản #Vinhomes_Oceanpark #Chung_cư_Vinhomes #Ocean_Park",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815929.709044, 10, 2, Đông nam, 2
"1,43 tỷ VNĐ","Trâu Quỳ , Gia Lâm , Hà Nội", 33m2, 3, 2,"Đất Trâu Quỳ chỉ 1ty4 được 33m ngay gần đường chính . Lh : 0981752669.+ 33m mặt tiền hơn 3m+ Đường 2m chỉ cách đường chính 30m , dân cư tập trung + Lô cuối cùng ở Trâu Quỳ hiện tại , có ra lộc cho khách thiện chí mua + Sổ đỏ sẵn sàng giao dịch , nguồn gốc đất sạch sẽ , đất thổ 100%Liên hệ : 0981752669 - em Vĩ xem đất miễn phí , giá cả hợp lí .",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815931.0180242,,,,
"5,9 tỷ VNĐ",Ngõ Linh Lang ba đình, 43m2, 4, 2,"Bán nhà ngõ Linh Lang Ba Đình DT 50m2 x 5 tầng mt 4,3m nhỉnh hơn 5tỷ. NHÀ ĐẸP - LÔ GÓC - 5 TẦNG 4 NGỦ - KHU VỰC TRUNG TÂM LOTTE DEAWO - BÁCH THÚ THỦ LỆ + Thiết kế chắc chắn đẹp. cầu thang cuối nhà - Tầng 1 : Phòng Khách , Bếp , WC , Để xe - Tầng 2 : 1 ngủ rộngmaster 1 wc - Tầng 3 : 1 ngủ tộng master 1 wc - Tầng 4 : 2 ngủ + wc - Tầng 5 : Phòng thờ , sân phơi. - Sổ đỏ đẹp chính chủ có thương lượng + Chi Tiết Xin Liên Hệ Bùi Anh Thái. 1979 - 0987.862962.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815932.5060365, 5, 4,, 4
"4,7 tỷ VNĐ",xuan la, 40m2, 3, 3,"""Bán nhà Xuân La40m 5tg, mt 3.5m, giá 4.7 tỷ. Ngõ OTO. Giá bán hiện trạng phần thô là 4,7 tỷ.Hoàn thiện giá sẽ là 5 tỷ, ĐC sẽ up ảnh thường xuyên. - Ngõ rộng ba gác chạy bét nhè, tránh xe máy.Gần chợ cóc,  dân sinh xung quanh khá tốt.Khách nào thích Hồ Tây thì quá tuyệt vời, nhất là ông nào khoái câu cá như tôi chẳng hạn. Nhà thiết kế thang giữa tầng 2 phòng, wc giữa từng tầng.""",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815933.6559622, 5, 5,, 5
5 tỷ VNĐ,Đường Chu Huy Mân phường Phúc Đồng, 50m2, 4,,"

Phân lô ô tô tránh 50m Đất 5 tỷ chu huy Mân Long Biên. 

+ Khu 918 phân lô Quân đội, cực VIP, Dân trí cao, môi trường sống cực tốt, tiện ích ngập tràn.

+ Gần siêu thị Nhật Aeon Mall đi bộ được, sân Golf đi bộ hít thở không khí trong lành.

+ Diện tích vừa miếng, xây nhà tầng 2 phòng, gara ô tô thang máy.

Sổ đỏ chính chủ 0904264580. 1Đặng Hằng ",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815934.7840447,,,,
11 tỷ VNĐ,Đường Ngọc Thụy phường Long Biên, 140m2,,,"Đất mặt đường rộng- ô tô tránh nhau,gần chợ, TTTM, gần trường học các cấp. Gọi ngay cho tôi sau khi đọc tin:"",serif;="""" line-height:="""" 107%;="""" mso-bidi-font-size:="""" 11.0pt;="""" mso-ansi-language:="""" vi'="""" hot="""" line="""" spanspantimes="""" 11.0pt'="""" zalo:="""" 0345345969-span="""" spanmr="""" thÀnh="""" span="""" p="""" class=""MsoNormalSPANTimes""> ",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815936.038685,,,,
18 tỷ VNĐ,Đường Trần Cung phường Cổ Nhuế 1, 82m2, 5, 10,"





Căn nhà mặt phố Trần Cung, quận Bắc Từ Liêm rất đẹp, mặt tiền rất rộng, gần Bệnh viện E Hà Nội, Ô tô tránh nhau thoải mái, có thể ở và kinh doanh.

+ Diện tích: 82 m2, 2 tầng, mặt tiền 5m, giá 18 tỷ.

+ Thiết kế:

- Nhà xây dựng chắc chắn, thoáng trước và sau, nhà 2 tầng có 2 phòng, WC, full nội thất.

+ Vị trí: - Nằm trung tâm quận Bắc Từ Liêm, giao thông rất thuận tiện. Vị trí gần các tuyến phố: Hoàng Quốc Việt, Trần Cung.

- Khu vực phát triển cực mạnh khi hàng loạt dự án xung quanh đang triển khai.

- Vị trí quá đẹp để kinh doanh, làm văn phòng hoặc ở đẳng cấp.

+ Sổ đỏ chính chủ, sẵn sàng giao dịch.

 ",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815937.1886082, 2, 2,, 4
