price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng
9 tỷ VNĐ,Đường Láng Đống Đa Hà Nội, 45m2, 6, 6,"- Diện tích 45m2 X6 Tầng. Mặt tiền 6mGiá 9 tỷ ( có thương lượng  )- Vị trí đẹp toạ lạc tại mặt ngõ dân trí cao an ninh đảm bảo cực cao đường trước nhà rộng 4.5m! - Nhà xây cho con trai ở, nên cực kì yên tâm về chất lượng!  - Thiết kế: + Tầng 1 : Gara+ Tầng 2: Phòng khách! + Tầng 3,4,5 phòng ngủ! + Tầng 6: sân rộng!  - Giao thông thuận lợi đi Tây Hồ, Sân Bay Nội Bài, ra công viên Cầu Giấy!  - Sổ đỏ đẹp mê ly sẵn sàng giao dịch!  Liên hệ em Quân để được xem nhà! 0385 94 1802 Miễn ( TG Quảng Cáo )",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782559.0302157,,,,
"21,5 tỷ VNĐ","Đường Trần Vỹ, Mai Dịch, Cầu Giấy", 62m2, 5, 8,"💥 Tòa văn phòng Phố Trần Vỹ, 62m2 8T Thang máy, MT 5.2m, Thông sàn KD, Chỉ 21.5 Tỷ 💥⭕️ LH NGAY 0982833366 ---------------------------- PHÂN LÔ PHỐ TRẦN VỸ - HIẾM NHÀ BÁN- 8 TẦNG THANG MÁY - 7 NỔI + HẦM ĐỂ XELÔ GÓC 3 THOÁNG - Ô TÔ TRÁNH- 20M RA MẶT PHỐ TRẦN VỸ- Nhà thuộc khu phân lô Phố Trần Vỹ. Một trong những con phố kinh doanh sầm uất của Quận Cầu Giấy. - Trước nhà Ô tô chạy vòng quanh, dừng đỗ ngày đêm. Khu dân trí cao, an ninh tốt. Nhà cách Mặt Phố Trần Vỹ 20M, giao thông thuận tiện- Nhà mới đẹp, 8 tầng thang máy, có hầm, Lô góc. Thiết kế thông sàn chuẩn văn phòng. + Tầng Hầm: Để xe+ Tầng 1: Lễ tân, Phòng tiếp khách+ Tầng 2: Kho thông sàn + Tầng 3: Văn phòng, Phòng tổng Giám đốc + Tầng 4: Kho, thông sàn+ Tầng 5: Văn Phòng + Tầng 6: Văn phòng + Tầng 7: Phòng bảo vệ, kho, phòng thờ - Sổ đỏ sẵn sàng giao dịch ngay. ---------------------------- 🚀 GIÁ SIÊU RẺ CHỈ: 21.5 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ    0982833366    ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%LH: Mr. Phương_Nhà_Phố (1981) (FB/ZALO - 24/7)   - Tiếp khách có nhu cầu thực, khách xem cho vui xin phép không tương tác vì CV mình rất bận.- Phương_Nhà_Phố có thông tin hàng ngàn căn nhà với đủ phân khúc từ vài tỷ đến vài trăm tỷ, thông tin hình ảnh thật mô tả kỹ không làm mất thời gian công sức của ACE. CÁC LĨNH VỰC BĐS ĐANG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô, Nhà liền kề5. Chung cư, tập thể, nhà ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo BĐS phù hợp nhất. Xin cảm ơn!!!",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782560.577077, 30, 8, 7,
"6,35 tỷ VNĐ","Đường Đại lộ Thăng Long, Song Phương, Hoài Đức", 110m2, 7,,"
    Cần Bán nhanh trước Tết, Bán Đất DV Song phương, Hoài Đức 110m chỉ 6,x tỷ
- Nhanh tay Đầu tư sinh lời ngay khi cọc, CCMN, Chia lô...
- Vị trí cực đẹp. Hàng xóm Trường THPT Hoài Đức C, Học Viện Chính Sách, Gần các trường học cấp 1,2,3 Kinh doanh, cho thuê, tương lai trung tâm phát triển, gần Thiên Đường Bảo Sơn, Khu đô thị, KCN.. TTTM Vincom Mega Mall, AEon Mall,.. Khu vực phát triển mạnh, Tương lai lên Quận Hoài Đức.
- Giao thông thuận tiện, Đường Đại lộ Thăng long, Lê Trọng Tấn, TL 70, vành đai 4, vành đai 3.5
- Sổ CC, sang tên nhanh gọn. Giá thương lượng. Chủ thiện chí
Thông tin chi tiết liên hệ Mr Đức Nhà Đẹp 0898839292.
Rất nhiều Nhà Đất đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782561.6312592,,,,
"4,4 tỷ VNĐ","Đường Phú Lương, Phú Lương, Hà Đông", 42m2, 3, 4,"KINH DOANH - VỈA HÈ - Ô TÔ TRÁNH- CẠNH QUỐC LỘ 21B - RẺ NHẤT KHU VỰC. Mô tả : + Đường rộng rãi o tô quay đầu trước nhà, ô tô đỗ ngày đêm. + Đất đấu giá Phú Lương 1 ngay sau quốc lộ 21B Phố Xốm Hà Đông, cạnh Tiểu học Phú Cường. + Xung quanh xây nhà ở kinh doanh văn phòng kho bãi sầm uất. Vị trí đắc địa , sát chung cư, công viên, vành đai 4 đang khởi công giá tăng từng ngày. - Nhà thiết kế 4 tầng: + Tầng 1 : Khách, vệ sinh, bếp. + Tầng 2,3 : Mỗi tầng chia 2 phòng, tổng 4 ngủ, vệ sinh giữa. + Tầng 4: Phòng thờ, sân phơi. + Sổ đỏ xịn, phân lô vuông đét. ",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782562.9158468, 7, 4, 4,
"8,7 tỷ VNĐ","Đường Nguyễn Phúc Lai, Ô Chợ Dừa, Đống Đa", 44m2, 4, 4,"💥 Bán nhà Nguyễn Phúc Lai, Đống Đa, Ô tô 7C Đỗ cửa, 44m2 4T MT 4m, Chỉ 8.7 Tỷ 💥⭕️ LH NGAY 0982833366 ---------------------------- NHÀ PHỐ NGUYỄN PHÚC LAI - Ô CHỢ DỪA - TRUNG TÂM ĐỐNG ĐAÔ TÔ 7 CHỖ ĐỖ TẬN CỬA - KHU VỰC CỰC HIẾM NHÀ BÁN - PHÂN LÔ , TRUNG TÂM QUẬN ĐỐNG ĐA.+ Chỉ 30m ra ô tô tránh nhau thoải mái, 10m ra mặt phố Nguyễn Phúc Lai , trước nhà ô tô 7 chỗ đỗ cửa. Giao thông thuận tiện Đê La Thành, Hoàng Cầu.+ Tương lai sau quy hoạch vị trí nhà còn đẹp hơn rất nhiều.+ Vừa ở vừa kinh doanh nhỏ hoặc online đều tiện.+ Nhà vừa sửa xong, KCBT chắc chắn.+ Thiết kế 4 tầng:- Tầng 1 khách, bếp ,wc.- Tầng 2,3 tổng 4 ngủ wc riêng biệt. Cửa sổ từng phòng thoáng đãng.-  Tầng 4 : phòng thờ , sân phơi.+ Sổ đỏ chính chủ, sẵn sàng giao dịch ngay.---------------------------- 🚀 GIÁ SIÊU RẺ CHỈ: 8.7 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ    0982833366    ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%LH: Mr. Phương_Nhà_Phố (1981) (FB/ZALO - 24/7)   - Tiếp khách có nhu cầu thực, khách xem cho vui xin phép không tương tác vì CV mình rất bận.- Phương_Nhà_Phố có thông tin hàng ngàn căn nhà với đủ phân khúc từ vài tỷ đến vài trăm tỷ, thông tin hình ảnh thật mô tả kỹ không làm mất thời gian công sức của ACE. CÁC LĨNH VỰC BĐS ĐANG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô, Nhà liền kề5. Chung cư, tập thể, nhà ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo BĐS phù hợp nhất. Xin cảm ơn!!!",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782564.0188706, 30, 4, 3,
"2,8 tỷ VNĐ","Đường Văn Chương, Văn Chương, Đống Đa", 24m2, 2, 5,"Chính chủ cần bán nhà riêng tại ngõ 145 Văn Chương, Đống Đa + Vị trí rất đẹp, 100m ra phố Văn Chương, Thịnh Hào ngõ xe máy tránh. + Khu vực dân cư đông đúc, hàng xóm văn minh, an ninh đảm bảo, xung quanh nhiều trường đại học lớn. + Diện tích 24m, MT 2.8m, thiết kế 5 tầng gồm 3 PN, chủ tự xây để ở, kết cấu khung chắc chắn, công năng sử dụng hợp lý.   Sổ đỏ đẹp, sang tên nhanh. Liên hệ xem nhà: 0332618488 E Đức Anh",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782565.1847503, 3, 3, 3,
33 tỷ VNĐ,"Đường Thái Hà, Trung Liệt, Đống Đa", 127m2, 9, 10,"
    💥 Bán Khách sạn đầu phố Thái Hà, Đống Đa, 126m2 10 Tầng, MT 9m, Chỉ 33 Tỷ 💥☎️ LH NGAY 0982833366-----------------------------BÁN KHÁCH SẠN 10 TẦNG PHỐ VIP THÁI HÀ (NGAY ĐẦU PHỐ) - MẶT TIỀN CỰC THOÁNG - VIEW PHỐ THÁI HÀ - Tòa khách sạn đầu phố VIP Thái Hà, lõi Đống Đa, 10 tầng thang máy, Ô tô đỗ cửa, Cách phố chỉ vài chục mét.- Diện tích sổ đỏ 127 m2, Tổng diện tích sử dụng 1.400 m2, MT khủng gần 9m- Khách sạn 10 tầng tổng 46 phòng, đầy đủ thang máy, máy phát điện, máy giặt sấy là công nghiệp, nước nóng năng lượng mặt trời. Quản lý khách sạn bằng hệ thống camera , hệ thống điện trung tâm , phần mềm quản lý khách sạn - Sổ đỏ chính chủ giao dịch ngay----------------------------🚀 GIÁ BÁN: 33 Tỷ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ  0982833366 ZALO 0902223785(Chuyên Mặt phố, Tòa văn phòng, Khách sạn, Apartment Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782566.451362, 15, 46, 46,
"2,5 tỷ VNĐ",Lãng Yên - Hà Nội, 40m2,,,"- Bán Nhà nằm ở vị trí trung tâm trên mặt phố Lãng Yên với khu vực kinh doanh buôn bán sầm uất, dân trí cao, an ninh thắt chặt.- Đường trước nhà rộng rãi thoáng mát, ô tô đỗ trước cửa, rất phù hợp để kinh doanh lâu dài, hiện tại gia chủ đang cho thuê để kinh doanh rất ổn định.- Xung quanh nhà gần chợ, các nhà hàng, quán ăn, tạp hoá, siêu thị mini, hiệu cùng vô vàn các tiện ích khác nhau.- Nhà nằm ở vị trí trung tâm nên thông ra nhiều tuyến phố lớn Nguyễn Khoái, Trần Khát Chân, Đại Cồ Việt, Lãng Yên giao thông di chuyển thuận tiện, dễ dàng.- Nhà được gia chủ thiết kế chắc chắn kết hợp bởi nhiều phòng khác nhau với đầy đủ công năng sử dụng.- Sổ đỏ sạch, pháp lý chuẩn sẵn sàng giao dich. Chủ nhà trẻ tuổi làm ăn rất lộc nên cực kỳ thiện trí giá trào 2.5 tỷ Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782567.6661148,,,,
"9,5 tỷ VNĐ","Đường An Sơn, Bạch Đằng, Hai Bà Trưng", 116m2, 5, 3,"Diện tích: ngang 5m dài 23m tổng 116.1m2. Kết cấu: Nhà 1 trệt 2 Lầu sân thượng BTCT kiên cố, 5PN, 5WC. phòng bếp, phòng khách, sân để xe. Vị trí: Nhà mặt tiền kinh doanh hẻm 308 đường Huỳnh Tấn Phát. Xe hơi ngủ trong nhà. Khu vực xây dựng 7 tầng. Tiện ích: trung tâm thương mại Vincom Nam Long, trường Đại học, trường Quốc tế, phố thời trang, cửa hhang tiện ích, địa điểm ăn uống sầm uất...  Hiện nhà đang cho thuê căn hộ dịch vụ hợp đồng 5 năm, thu nhập mỗi tháng 20 triệu.Sổ Hồng chính chủ, sổ vuông vức, hoàn công chuẩn chỉ, công chứng nhanh. LH. Ánh 0944130981 ",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782568.8589225, 6, 4, 4,
"3,6 tỷ VNĐ",1 Ngụy Như Kon Tum, 98m2,,,"Bán căn 3PN dự án Hei Tower Ngụy Như Kon Tum, 98m2 siêu rộng, nhỉnh 3 tỷ.+ Vị trí đắc địa ngã ba Ngụy Như Kon Tum, Vũ Trọng Phụng, Lê Văn Lương, Hoàng Đạo Thúy, hưởng trọn vẹn tiện ích KĐT Trung Hòa Nhân Chính và quần thể Hapulico, chợ Nhân Chính, siêu thị Big C, cấp 1 và cấp 2 Phan Đình Giót, THCS Thanh Xuân….+ Tòa nhà có 5 tầng TTTM, 2 tầng hầm, 11 thang máy, 2 thang bộ, đã được nghiệm thu PCCC, nhà trẻ, phòng sinh hoạt cộng đồng, bể bơi, trung tâm chăm sóc sức khỏe, khu vực tắm nắng cà phê ngoài trời….+ Căn hộ tầng trung dtsd 97,7m2, tke 2PN + 1P đa năng (PN thứ 3 hoặc phòng thờ)+ 2VS + 1 phòng giặt + Khách + Bếp + Sân vườn.+ Giá : 3ty6+ Sổ đỏ chính chủ, full nội thất liền tườngChi tiết gọi 0912388305 (gặp Yến sn90)",21/12/2022,Tin thường,batdongsan_so_com_vn_1673782569.8692188,, 3, 2,
