price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Mặt tiền,Lộ giới,Số tầng
"4,3 tỷ VNĐ","Bán nhà Phú Đô, Mỹ Đình, Nam Từ Liêm, 4,3tỷ; 0904526599", 33m2,"Bán nhà Phú Đô, Mỹ Đình, Nam Từ Liêm, 4,3tỷ; 0904526599  - Diện tích: 33m2 xây 5 tầng, chủ  xây chắc chắn - Hướng: Tây Nam - Mỗi tầng 1 phòng rộng rãi thoáng mát.  + Tầng 5 phòng thờ và sân phơi - Khu anh ninh tốt, giao thông thuận lợi, dân trí cao - Gần trường, gần chợ, gần các tiện ích xung quanh Sổ đổ chính chủ giao dịch ngày   Giá: 4,3 tỷ Liên hệ: 0904526599       http://www.sanbatdongsanviet.com.vn",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791935.8845575,,,,,,
"1,98 tỷ VNĐ","Tố Hữu, Dương Nội", 75m2,"EM CHÍNH CHỦ BÁN CĂN CHUNG CƯ ĐANG Ở 75m2 KĐT DƯƠNG NỘI XUÂN MAI COMPLEX CHỈ 1.98tỷ Em chuyển về quê với gia đình nên cần bán gấp. Toà chung cư Xuân Mai Complex ngay cạnh đường Tỗ Hữu (không bao giờ tắc), chân toà là cầu vượt thông nhiều tuyến đường đi các ngả, đi đâu cũng thuận lợi. Ra khỏi tầng hầm để xe là chợ dân sinh sầm uất, 500m ra bến xe Yên Nghĩa, 500m tới trung tâm thương mại khủng AEON Hà Đông và rất nhiều tiện ích khác… Căn chung cư 2 phòng ngủ, 1 khách, 1 bếp, 2 wc trước cửa có không gian chung rất rộng. Hướng ban công, cửa sổ view vườn cây xanh cực truất, phóng xa trên 300m khu đô thị nghĩa đô, công viên + hồ Nhạc Nước. An ninh chung cư xuất sắc. Giá mong muốn 1.98 tỷ. “Giá đã bao gồm tất tần tật nội thất cao cấp” LH em Quản: 0822.667.666",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791937.0713837, 2, 2,,,,
"5,9 tỷ VNĐ","Đường Bùi Xương Trạch, Khương Trung, Thanh Xuân", 57m2,"NHÀ CẦN BÁN CHỦ GIẢM CÒN 5.9 TỶ- TẶNG FULL NỘI THẤT MẶT NGÕ QUY HOẠCH THÀNH MẶT ĐƯỜNG 57m x 4tầng Giá 5.9 tỷ .Bùi Xương Trạch.Thanh Xuân  -Được ngân hàng hỗ trợ tối đa giá trị căn nhà. Vị trí đẹp, ngõ thẳng tắp, nhà gần mặt phố An sinh đỉnh. Trung tâm nhiều tiện ích trường học, bãi gửi ôtô ... Nhà xây chắc chắn, kiên cố, đẹp mắt, thoáng sáng 2 mặt, ban công nên thơ .Nhà đẹp giá rẻ vị trí trung tâm xứng đáng chốt luôn trong ngày -Nội thất xịn xò Full cơ bản sẵn chỉ về ở -Giá 6.2 tỷMT3,9 (có tl nhẹ) Sổ đỏ chính chủ nở hậu, vượng khí sẵn sàng giao dịch Liên hệ: 0904560717-- 0988599411  gặp Liên để được đi xem nhà miễn phí.quachcuong411@gmail.com .lienpham240473@gmail.com",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791938.2392583, 3, 4, Đông, 3, 5, 4
"26,8 tỷ VNĐ","Đường Kim Mã Thượng, Cống Vị, Ba Đình", 80m2,"HIẾM ! MẶT PHỐ KIM MÃ THƯỢNG - BA ĐÌNH - KINH DOANH ĐỈNH VIEW LOTE ĐÀO TẤN - THOÁNG TRƯỚC SAU - VỈA HÈ 2 CHIỀU Ô TÔ - 22 TỶ (CTL) + Vị trí: Mặt phố Kim Mã Thượng cách LOTE Đào Tấn 100m, cách Đại sứ quán Nhật gần bên, khu vực an ninh tuyệt đối, toàn người nước ngoài ở, mặt phố lớn có vỉa hè.  + Thiết kế : 3 tầng cũ gần 80M - Mặt tiền 5M , nhà xây còn rất chắc chắn , khách mua về sửa sang lại lắp đồ chút là ở luôn - Xác định bán đất tặng nhà .  - Tầng 1: phòng khách + phòng ăn ,bếp,wc - Tầng 2,3: Mỗi tầng 2 ngủ + WC ( Tổng 4 ngủ)  + Nhà Thiết kế xây dựng khung cột BT CT chắc chắn, lên thêm tầng thoải mái.  + Sổ đỏ nằm két, sẵn sàng giao dịch.  + Xem nhà hoàn toàn miễn phí: Em thành: 0979780646 - 0855858888",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791939.3143823, 4, 4,, 5, 15, 3
"5,5 tỷ VNĐ","Đường Hồ Tùng Mậu, Phú Diễn, Bắc Từ Liêm", 130m2,"Chủ nhà bán căn hộ cao cấp 3 ngủ full nội thất tòa Ruby R1 Goldmark City, diện tích thông thủy 130m2, giá bán 5,5 tỷ có thương lương. LH 0913966981. dve0",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791940.4463549, 3, 2,, 13, 50, 30
"9,5 tỷ VNĐ",Trần Phú, 73m2,"
    
Ô TÔ - TRẦN PHÚ HÀ ĐÔNG - Bán Nhà 73m2 x 4 tầng x MT 6.3m. Giá hơn 9 tỷ.


 Thông số: Căn nhà với diện tích 73m2 với 4 tầng chủ nhà xây rất chắc chắn, hiện đại, mặt tiền 6.3m, ôtô đỗ cửa. Giá hơn 9tỷ.
 Tọa lạc tại trung tâm lõi Hà Đông, giao thông thuận lợi. Giáp nhiều tuyến đường tấp lập: Nguyễn khuyến, 19/5, Chiến Thắng,... KĐT Văn Quán, hồ Văn Quán...
 Tiện ích ngập tràn với các chợ, Siêu thị Vinmax, Hồ Gươn plaza... Hàng xóm thân thiện, an ninh tuyệt đối.
 Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán.


 LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ).


+ Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn…
Xin cám ơn quý khách đã xem bài đăng!

",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791942.4701371, 4, 4,, 6,, 4
"12,8 tỷ VNĐ","Đường Thanh Liệt, Văn Điển, Thanh Trì", 83m2,"KHU ĐÔ THỊ THE EDEN ROSE THANH LIỆT - FULL NỘI THẤT XỊN XÒ - ĐẲNG CẤP - HẠ TẦNG ĐẸP - AN NINH 24/24  + Chính chủ bán nhà tại KĐT The Eden Rose Thanh Liệt, Thanh Trì. + Diện tích: 83m, Nhà 4 tầng, Mặt tiền 5m + Giá chào để bán: 12.8 tỷ + Vị trí đắc địa, bên cạnh là các KĐT lớn, đặc biệt thông sang siêu Dự án The Manor Central Park Nguyễn Xiển.  + Cả khu đô thị có gần 300 căn hộ, chủ nhà nhận bàn giao thô từ chủ đầu tư về tự thiết kế và hoàn thiện theo công năng cũng như ý tưởng riêng nên chất lượng xây dựng cũng như hoàn thiện nội thất mỗi căn đã gần 2 tỷ. + Dự kiến 2 năm nữa The Manor hứa hẹn sẽ là 1 điểm đến hàng đầu, với tiện ích và không gian sống đẳng cấp. The Eden Rose là 1 khu đô thị khép kín với hệ thống an ninh túc trực 24/24. Đảm bảo 1 không gian sống yên tĩnh, văn minh. + Có sẵn vườn hoa, hồ điều hoà, trường mầm non, công viên, bể bơi ngoài trời. Bán kính 500m có UBND huyện Thanh Trì, THCS Thanh Liệt, Công viên cây xanh Chu Văn An… + Thiết kế: - Tầng 1: sân trước, phòng khách, bếp, phòng ăn, sân sau, wc - Tầng 2,3: 4 phòng ngủ wc khép kín - Tầng 4: phòng thờ (hoặc ngủ), sân phơi, trồng cây, sân cafe view cực đẹp.  - Có ô chờ thang máy nếu khách có nhu cầu lắp.  + Sổ đỏ chính chủ. Giao dịch ...
",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791945.5486932, 4, 4,, 5, 12, 4
"3,95 tỷ VNĐ",xuân đỉnh, 30m2,"+ trí đẹp. đi lại thuận tiện, kinh doanh sầm uất , ngõ thông tứ tung ,ô tô cách vài bước chân +thiết kế : T1 Phòng khach,bếp, vs +T2,3,4 : Mỗi tầng 1 phòng ngủ +vs +T5 : Phòng thờ ,sân phơi Sãn nội thất cơ bản ,chủ chỉ việc sách vali về ở luôn +An ninh tốt +sổ đỏ chính chủ ,sãn vị sàng giao dịch. +LH :Em Hướng ,0945549893 để được tư vấn và hỗ trợ miẽn phí.",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791946.5182598,,,,,,
"2,3 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 34m2,"
    
Bán Nhà Ngọc Lâm Long Biên, Trung tâm phố, có 2 nhà 3 tầng, 33m2, giá: 2.35 tỷ 

+ Căn nhà nằm đoạn giữa phố, với đủ mọi tiện ích chỉ trong vài bước chân. 
+Nhà gần Trường học cấp 1,2 Ái Mộ, cấp 3 Nguyễn Gia Thiều trẻ em đi bộ tới trường.
+ Cách chợ lớn Gia lâm 300m, chỉ 15m ra phố xá cực kỳ sầm uất buôn bán kinh doanh không thiếu mặt hàng gì.
+Hiện trạng đang là 2 nhà 3 tầng xây dựng chắc chắn, Ở 1 nhà, 1 nhà cho thuê cũng được 4 triệu / tháng.
+Diện tích 33m2, có 2 nhà 3 tầng, MT: 3.5m, giá: 2.35 tỷ 
+Giao thông vô cùng thuận tiện - Chỉ 5 phút qua trung tâm Hà Nội
+Nhà còn rất mới có thể về ở luôn không phải sửa chữa gì.
+Liên hệ : Mr Khanh
+ Điện thoại : 0977811387 - 0936018488
+ Để được tư vấn và xem chi tiết căn nhà.
",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791947.5614698, 3, 3, Đông, 3, 2, 3
28 tỷ VNĐ,"Đường Quan Nhân, Trung Hòa, Cầu Giấy", 65m2,"Bán Gấp tòa nhà 9 tầng, kinh doanh đỉnh tại đường Quan Nhân, Cầu Giấy.Diện tích 65 mét vuông.Mặt tiền 5.5 mét.Vi trí đẹp, lô góc, trước nhà ô tô tránh đô, gần trung tâm, tiện ích xung quanh không thiếu gì, kinh doanh đỉnh.Thiết Kế 9 tầng thang máy, 8 tầng nổi 1 tầng hầm, hiện đang kinh doanh.Sổ đỏ đẹp, nở hậu nhẹ, không lỗi phong thủy.Mua nhà liên hệ 0916293888 Thiên Thư",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791948.732338, 7,,, 5, 12, 9
