price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
20 tỷ VNĐ,"Tam Khuơng, Đống Đa, Hà Nội", 100m2,"Mô tả Nhà cần bán phố Tam Khương, Đống Đa, 100m2x7 tầng, + Lô góc, oto bảy chỗ đi thoải mái, ngõ thông. + Thang máy chạy êm du + Có 9 phòng cho thuê đều khép kín mỗi tháng 35tr + 5 Phòng để ở. + Nội thất rất xịn, nhà mới, khung cột chắc chắn + Sổ đỏ cất ké sẵn sàng giao dịch + Giá 20 tỷ Liên hệ: Nghĩa – 0868181683 (Để làm việc trực tiếp với chủ nhà)",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818701.8521042,,,,,,
510 triệu VNĐ,Đường Ngọc Khánh phường Ngọc Hà, 38m2,"+Diện tích 38m2 x 5 tầng, mặt tiền 3,5m. +Sổ đỏ chính chủ, pháp lý chuẩn. +Giá 5.1 tỷ. -Nhà tự xây được vài năm thiết kế hiện đại và sang trọng, tối ưu công năng sử dụng, tổng 4 phòng ngủ rộng rãi, thoáng mát. -Hoàn thiện full nội thất, khách mua chỉ việc xách vali về ở ngay. -Ngõ to, gần phố cách mặt phố Ngọc Khánh chỉ 30m. - Xung quanh nhà là trường học các cấp, TTTM, khách sạn, siêu thị, công viên, bẹnh viện, chuỗi cửa hàng thời trang, trung tâm chăm sóc sức khỏe,…. -Giao thông thuận tiện đi lại giữa các tuyến phố như: Nguyễn Công Hoan, Nguyễn Chí Thanh, Kim Mã, Giảng Võ, Láng hạ,…. -Vị trí đắc địa, không lỗi phong thủy, nhà vượng khí tài lộc. -Khu vực quy hoạch ổn định, cơ sở hạ tầng đầy đủ và đồng bộ, tiện ích ngập tràn. Liên hệ Trang để được tư vấn và xem nhà miễn phí: 0968588737.",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818703.1945148, 6, 1, 5, 4, 1,
"7,3 tỷ VNĐ","Chiến Thắng, Văn Quán, Hà Đông", 40m2," * Bán nhà * phố Chiến Thắng phường Văn Quán quận Hà Đông. nhà đẹp, tặng nội thất víp, đường 3 ô tô tránh. DT 40m, 5T, MT 4m, giá chỉ 7.3 tỷ. + Vị Trí: thoáng đẹp, tiềm năng, phù hợp kinh doanh nhiều ngành nghề. + Gần chợ đầu mối, Hồ điều hòa. KĐT Văn Quán, TTTM, Ngân hàng, khu vui chơi...trung tâm phố tiện ích. + Giao thông: di chuyển Trần Phú, Chiến Thắng, Tân Triều, 19/5, Nguyễn Khuyễn, Văn Quán vô cùng thuận lợi. + Sổ đẹp nở hậu chính chủ, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818704.3593955, 4, 10, 5, 4,,
10 tỷ VNĐ,Đường Tứ Liên phường Tứ Liên, 65m2,"Bán nhà ngõ Tứ Liên - DT 65mx6m – Giá nhỉnh 10 tỷ  Vị trí nhà đẹp, oto đỗ cửa.  Tiếp giáp với các phố xung quanh: Yên Hoa, Yên Phụ, Thanh Niên. .... Khu vực gần trường học, gần chợ, giao thông thuận tiện đi Hoàn Kiếm, Cầu Giấy và đặc biệt thuận tiện vô cùng ra sân bay nội bài Xung quanh khu vực kinh doanh văn phòng, Spa,….,  Nhà đẹp có 5 tầng thiết kế hiện đại. Chủ nhà xây để ở nên có chất lượng xây dựng tốt. thiết kế hợp lý …., dân trí khu vực cao, an ninh tốt Pháp lý Liên hệ để xem nhà: Hồng BDS Hà Nội 093627xxx",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818705.6190257, 4, 6, 5, 6, 6,
"7,9 tỷ VNĐ","Nguyễn Trãi, Thanh Xuân, Hà Nội", 40m2," * CC Bán nhà * đường Nguyễn Trãi quận Thanh Xuân. Đường trước nhà ô tô tránh, gara ô tô vào nhà, nhà căn góc, thiết kế hợp lý, tổng 5 ngủ, đầy đủ công năng, phòng thờ, khách, bếp riêng biệt. DT 40/45mT2, 5T, MT 4m, giá chỉ 7.9 tỷ. + Vị trí quá đẹp ngay trung tâm ngã Tư Sở cửa ngõ Thủ Đô nơi giao thoa giữa 3 quận Đống Đa, Cầu Giấy và Thanh Xuân. Wiem trọn thiên đường ROYAL CITY đẳng cấp, đáng sống bậc nhất của Hà Nội. + Sổ vuông đỏ đẹp, pháp lý chuẩn, sang tên nhanh. # HotLine: 0906113879 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818706.6861703, 4, 8, 5, 4,,
,"Tái Định Cư Đại Học FPT Linh Sơn, Bình Yên, Thạch Thất", 100m2,"SIÊU PHẨM TĐC đại học FPT - 100M2 - FULL THỔ CƯ - ĐƯỜNG 15M - SÁT KHU CNC, CỔNG SAU ĐH FPT - GIÁ ĐẦU TƯ LH: 0978862329 Mr Hoàng để được hỗ trợ đi xem đât. + Vị trí: - Nằm đối diện khu công nghệ cao Hòa Lạc với hơn 100 nhà máy lớn đang hoạt động. - Gần các tuyến đường lớn: Đại lộ Thăng Long, Quốc Lộ 21A, vành đai công nghệ cao, đường Tỉnh lộ 420,... - Ngay giáp công nghệ cao 10 bước chân. - Cách trung tâm thương mại công nghệ cao 500m. - Cách QL21 500m. - Cách trung tâm hành chính Hòa Lạc 600m. - Cổng sau ĐH FPT. + Hạ tầng. - Đất tái định cư, đường rộng 10m. - Vỉa hè mỗi bên 3m. (Đã hoàn thiện hạ tầng)., mặt trục chính vỉa hè 5m.. + Tiện ích xung quanh: - Nằm trong khu dân cư đông đúc, - Trường đào tạo tiếng Nhật, trường mầm non, tiểu học, chợ, đồn công an... - Thuộc trung tâm xã Bình Yên trường tiểu học, trung học, UBND, nhà văn hóa ngay gần. - Dân cư đã bắt đầu về ở. + Có thể đầu tư kinh doanh & lãi vốn hay xây trọ đều tốt do sát các nhà máy lớn. + Pháp lý: - Sẵn sổ công chứng sang tên trong ngày. - Hỗ trợ thanh khoản lại cho nhà đầu tư. LH: 0978862329 Mr Hoàng để hỗ trợ đi xem đất",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818708.089417, 6, 10,,,,
"22,6 tỷ VNĐ",Đường Đỗ Quang phường Trung Hòa, 87m2,"
    Tôi chính chủ cần bán gấp tòa nhà 7 tầng, thang máy nhập khẩu ở Phố VIP Đỗ Quang. Phường Trung Hòa, CẦU GIẤY, HÀ NỘI, tọa lạc vị trí đắc địa, giao thông thuận tiện, tiện ích vô đối- Mô tả+ 7 tầng thang máy nhập khẩu+ Mặt tiền đẹp 5m+ Thiết kế sang trọng, hiện đai+ Nội thất hoàng gia, nhập khẩu+ Dt : 87.3m2+ Giá 22.6 tỷ+ Đất vượng khí+ Chủ nhà làm ăn rất có lộc, vui tính, thiện chí bán+ Sổ đỏ chính chủ cất két, giao dịch trong 1 nốt nhacLiên hệ: Ms Thiên Trang nhà đẹp để đi xem nhà và được tư vấn miễn phí
",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818709.515601, 6, 10, 7, 6, 7,
"1,8 tỷ VNĐ",Đường Vũ Lăng phường Tứ Hiệp, 64m2,"
    - Thanh Toán 95% chiết khấu 4% / tổng giá trị căn hộ.- Thanh toán thẳng giá sau chiết khấu chỉ từ 1,89 tỷ.* Quỹ căn 03 ngủ diện tích 105m2 hướng Ban công Đông Nam, tầng đẹp giá 2.9 tỷ.- Đang sơn lót mặt ngoài.- Xung quanh dự án đã trồng trang trí cây xanh.Đến với Tecco Diamond quý khách hàng khàng yên tâm với hàng ngàn tiện ích ngoại khu sẵn có:- Cách Quận Ủy Thanh Trì: 800m.- Cách trường mầm non Tứ Hiệp B, trường Tiểu Học Ngô Sĩ Kiện: 60m.Gọi ngay liên hệ căn thực tế: Em Tú 0346130081",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818710.7842495, 7, 10, 10, 2, 2,
"6,2 tỷ VNĐ",Lê Đức Thọ Hà nội, 40m2,"""Bán nhà ngõ Lê Đức Thọ,dt 40m2 xây 5 tầng mt 4m giá 6,2 tỷvị trí ngõ Lê Đức Thọ to hơn phố kinh doanh sầm uất ngày đêm, khu vực lượng sinh viên sinh sống nhất ở Hà Nội, nhà mới thiết kế hiện đại, ngõ thông ra rất nhiều đường cho nên kinh doanh rất thuận tiện.Nhà đang hoàn thiện 5 ngày nữa là xong hết.Nhà thiết kế 5 tầng,Tầng 1,kinh doanh, bếp.Tầng 2, pk, 1pn.Tầng 3,4 mỗi tầng 2pn,Tầng 5 phòng thờ, sân phơi.SỔ ĐỎ CHÍNH CHỦ VUÔNG VẮN.LH: 0903446991 để được tư vấn nha",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818712.101121, 4, 3, 5, 6, 3,
900 triệu VNĐ,Đường Đường Võ Nguyên Gíap phường Phù Linh, 55m2,"
    Cần tiền bán gấp 55.5m2 đường 3m tại Vệ Linh - Phù Linh- Tổng diện tích 55.5m2 mặt tiền 6m, hậu 6.32m, hướng Đông- Cách bìa làng 50m, cách đường Đền Gióng 200m- Điểm tăng giá: Đường Võ Nguyên Giáp kéo dài giai đoạn 2 đang triển khai giải phóng mặt bằng cách vị trí lô đất 400m. Lh xem đất ms Hằng
",21/06/2022,Tin thường,batdongsan_so_com_vn_1673818717.7397313, 6,,,,,
