price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số toilet
"3,1 tỷ VNĐ","Ô Cách, Long Biên", 37m2, 4, 4, 3,"- Căn nhà vị trí rất đẹp, điểm hạn chế là bị khuất mặt tiền và sổ ko được vuông, về giá có thể thương lượng - Gần nhiều trường học các cấp, bệnh viện đa khoa Đức Giang, 200m ra mặt phố Ngô Gia Tự -Thiết kế: Tầng 1: p Khách + bếp + wc. Tầng 2: 1p ngủ + wc TẦNG 3: 2p ngủ + wc TẦNG 4:1p thờ + sân phơi + Sổ đỏ chính chủ Lh em Trác: 0965492571(xem nhà và tư vấn miễn phí) ",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822560.0339115,,,
"27,285 tỷ VNĐ",Khu đấu giá 31ha -Trâu Quỳ - Gia Lâm - Hà Nội, 255m2, 12,,,"- Chuyển đổi mục đính sử dụng cần bán nhanh thửa đất đẹp nhiều tiềm năng tại khu đấu giá 31ha Trâu Quỳ - Gia Lâm – Hà Nội.- Khu vực trung tâm thị trấn và tương lai gần là quận Gia Lâm, tiện ích vô cùng đầy đủ giao thông thuận tiện đi: Phố Thành Trung, Cửu Việt, Ngô Xuân Quảng, Thuận An, Lý Thánh Tông,…..- Tiếp giáp nhà phố thương mại Shophouse Sông Hồng và Hải Phát đường trước đất 13m, vài bước chân ra ngay hồ điều hòa 9ha, UBND huyện, bệnh viện Gia Lâm, tổ hợp biệt thự Euro Window,…..- Mặt tiền siêu rộng hơn 12m, vỉa hè mênh mông, gần chung cư Hanhomes Blue Star kinh doanh cực tốt trong tổ hợp ẩm thực và vui chơi giải trí lớn nhất Trâu Quỳ.- Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch dễ dàng giá hợp lý chỉ 107tr/m2 cơ hội tăng và dư địa còn rất tốt.Liên hệ xem đất và biết thêm thông tin chi tiết E.Nhật 0982852808, 0948584888",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822561.212758, Tây bắc, 13,
"18,5 tỷ VNĐ",Hà Nội, 86m2,,,,"Diện tích 86 m2, mặt tiền 6.2m, 7 tầng thang máy kinh doanh tốt. - Nhà thiết kế đẹp, vô cùng chuẩn mực, full nội thất Âu Châu. - Khu vực tập chung cực nhiều văn phòng, an ninh dân trí cao. - Sổ đỏ phân lô trước sau như một.Giá chào chỉ 18.5 tỷ thương lượng gia lộc sâu.Quý anh chị cần thông tin thêm liên hệ ngay: 0366 555 258.",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822562.217071,,,
"1,2 ngàn VNĐ","Cổ Đông,Sơn Tây,Hà Nội", 60m2, 6, 1, 1,"-QL21A là điểm kết nối giữa 3 vệ tinh Xuân Mai,Sóc Sơn,Hòa Lạc. Trong 3 vệ tinh thì Hòa Lạc có quy mô lớn và bài bản nhất-Đối diện là sân golf Đồng Mô,Đảo Đồng Mô-Cách ngã 4 Lục Quận chỉ 1km-Cách điểm du lịch tâm linh chùa Khai Nguyên chỉ 700m-Cách CNC và làng DHQG chỉ 5p đi xe-Ăn theo đc cả CNC,và làng DHQG thị xã Sơn Tây(đến năm 2024 sẽ lên thành phố)Liên hệ :0855216669/0387507522",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822563.2672615,, 7, 1
"4,5 tỷ VNĐ",Đường Chùa Láng phường Láng Thượng, 40m2, 4, 4, 4,"+ Nhà mới đẹp lung linh, phố Chùa Láng, giữa trung tâm Quận Đống Đa. Xung quanh đầy đủ tiện ích, trường học, chợ, Bênh viện, trung tâm thương mại.  - Giao thông đi lại thuân tiên kết nối với nhiều phố hot, Nguyễn Chí Thanh, Đê La Thành, Huỳnh Thúc Kháng, Pháo Đài Láng, Nguyên Hồng, Thành Công, Trần Duy Hưng, Ngọc Khánh,...  - Nhà mới 2 mặt thoáng nên phòng nào cũng có cửa đón gió và ánh sáng tự nhiên, khu vực cán bộ, lãnh đạo, dân trí cao, 3 bước ra phố tiện ích đầy đủ.  - Gần đài truyền hình, khách sạn Daewoo, Lotte, công viên Thủ Lệ, Hồ Ngọc Khánh, BigC, bệnh viện Phụ Sản, bệnh viện Nhi, bệnh viện Giao Thông.  - Nhiều trường học liên thông các cấp, ĐH Giao Thông Vận Tải, ĐH Luật, ĐH Báo Chí, ĐH Văn Hóa, ĐH Ngoại Ngữ,...  + Nhà vuông vức đẹp từng Centimet, chủ nhà thiết kế tâm huyết, chuẩn gu sang trọng, đẳng cấp, nhà thiết kế 4 Tầng.  - Tâng 1: Phòng khách bếp, WC. - Tâng 2,3: Mỗi tầng 2 ngủ, WC. - Tầng 4: Phòng thờ sân phơi.  + Sổ đỏ vuông đẹp sẵn sàng giao dịch. Gia đình đang cần bán rất gấp, ưu tiên người LH sớm, làm việc nhanh trong tuần tới thì có thể thương lượng thêm chút về giá.",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822564.3204448,, 2, 3
4 tỷ VNĐ,Đường Mỹ Đình phường Mỹ Đình 1, 40m2, 3, 5, 7,"Chính chủ cần bán gấp nhà Ngõ 322 đường Mỹ Đình  Nhà tôi thiết kế 5 tầng chắc chăn vì lý do gia đình phải chuyển đi nên cần bán gấp nhà tự xây nên khung cột rất chắt chắn thiết kế hiện đại. Nhà thiết kế mỗi tầng 2 phòng. Gia đinhg mới mua không ở hết có thể cho thuê để có thêm thu nhập hàng tháng. Tầng 1 phòng khách và bếp + chỗ để xe rộng Nhà thuê thiết kế nên làm rất hợp lý có cửa sổ trời hút gió nên rất thoáng mát. Ai cần xem nhà Liên Hệ chính chủ Tôi Phương: 0379591234, 0968876878. Miễn Trung gian Môi Giới.",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822565.3397312,, 3, 6
5 tỷ VNĐ,Khương Đình, 61m2, 5, 5, 7,"+Trung tâm Quận Thanh Xuân, tiện ích miễn bàn.+Vị trí đắc địa, đi bộ 5 phút ra Royal City, đường trước nhà rộng 3m, thoáng thông tứ tung.+Nhà chủ xây tâm huyết để ở, chủ tặng toàn bộ nội thất, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822566.3260815,,,
18 tỷ VNĐ,Hà Nội, 70m2,,,,"Bán nhà khu phân lô Hoàng Ngân, kinh doanh tốt, không có căn thứ 2 đẹp rẻ như thế - LH: 0856 968 656. - Diện tích 70 m2, mặt tiền 6 m. - Nhà xây 6 tầng phù hợp thang máy, hè to, đường rộng 2 ô tô tải tránh nhau thoải mái. - Thiết kế đẹp, tối ưu công năng, xây dựng tâm huyết, trang bị toàn bộ nội thất cao cấp. - Phù hợp vừa ở vừa làm văn phòng, siêu thị, spa, phòng khám, nha khoa, thẩm mỹ viện... cho thuê luôn đắt hàng không cần quảng cáo.Kết nối Nguyễn Thị Định, Lê Văn Lương, Đỗ Quang, Nguyễn Ngọc Vũ, Trần Duy Hưng, Trung Kính, Trung Hòa, Láng Hạ, Nguyễn Chí Thanh, Láng… - Sổ đỏ chính chủ đẹp, pháp lý chuẩn, giao dịch ngay.Giá chào chỉ nhỉnh 18 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ gấp 24/7 miễn phí: 0856 968 656.",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822567.3652976,,,
23 tỷ VNĐ,Đường Vành Đai 3 phường Yên Sở, 120m2,, 3, 4,- NGON BẺN HOA GIĐT NGÀN CÂY XANH – TIỆ t kệi ổ chính chốc. ,30/05/2022,Tin thường,batdongsan_so_com_vn_1673822568.5840778,, 1, 5
18 tỷ VNĐ,Hà Nội, 70m2,,,,"Bán nhà đường Nguyễn Thị Định gần trường Quốc Tế, kinh doanh tốt - LH: 0856 968 656.Khu VIP ở sang, cho thuê không cần quảng cáo, làm văn phòng, kinh doanh mọi loại hình tốt. - Diện tích 70 m2, mặt tiền 6 m, phù hợp thang máy. - Nhà xây 6 tầng khung cột chắc chắn, nội thất nhập khẩu châu Âu. - Vỉa hè rộng, ngõ to 2 ô tô tải tránh nhau thoải mái, thông tứ phía. - Khu phân lô VIP an ninh dân trí cao, tập trung nhiều người Hàn NhậtKết nối phố Hoàng Ngân, Đỗ Quang, Trần Duy Hưng, Trần Kim Xuyến, Vũ Phạm Hàm, Nguyễn Chí Thanh, Láng Hạ, Thái Hà, Huỳnh Thúc Kháng, Trung Kính, Trung Hòa, Lê Văn Lương, Hoàng Đạo Thúy…Sổ đỏ chính chủ đẹp, sẵn sàng giao dịch.Giá chào chỉ hơn 18 tỷ chút thương lượng sâu, bao sang tên, tặng full nội thất xịn với khách thiện chí.Chi tiết vui lòng liên hệ ngay 24/7 - 0856 968 656.",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822569.6771598,,,
