price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet,Hướng
"6,28 tỷ VNĐ",La Khê- Hà Đông, 68m2, 4,"Nhỉnh 6 tỷ, 68m2, 4 tầng, ô tô tránh, kinh doanh, văn phòng, trung tâm Quận Hà Đông. Cần tiền bán gấp nhà tự xây rất đẹp chắc chắn. Nhà vừa ở, vừa kinh doanh, cho thuê văn phòng rất tốt. Đường trước nhà ô tô tránh thoáng sáng, tầm tiền hiếm không có căn thứ 2. Nhà thuộc Phố La Khê, khu vực dân cư đông đúc, gần chợ Bông Đỏ, buôn bán sầm uất ngày đêm, đầy đủ tiện ích, dân trí cao, các cơ quan hành chính của Quận ngay gần. Giao thông di chuyển các phố: Ngô Quyền, Ngô Thì Nhậm, Lê Trọng Tấn..,  Xung quanh bệnh viện lớn, ngân hàng, siêu thị,trung tâm mua sắm... nằm trục chính di chuyển thuận lợi các phố lớn. Giá: 6.28 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828501.6724107,,,,,
"6,28 tỷ VNĐ",La Khê- Hà Đông, 68m2, 4,"Nhỉnh 6 tỷ, 68m2, 4 tầng, ô tô tránh, kinh doanh, văn phòng, trung tâm Quận Hà Đông. Cần tiền bán gấp nhà tự xây rất đẹp chắc chắn. Nhà vừa ở, vừa kinh doanh, cho thuê văn phòng rất tốt. Đường trước nhà ô tô tránh thoáng sáng, tầm tiền hiếm không có căn thứ 2. Nhà thuộc Phố La Khê, khu vực dân cư đông đúc, gần chợ Bông Đỏ, buôn bán sầm uất ngày đêm, đầy đủ tiện ích, dân trí cao, các cơ quan hành chính của Quận ngay gần. Giao thông di chuyển các phố: Ngô Quyền, Ngô Thì Nhậm, Lê Trọng Tấn..,  Xung quanh bệnh viện lớn, ngân hàng, siêu thị,trung tâm mua sắm... nằm trục chính di chuyển thuận lợi các phố lớn. Giá: 6.28 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828504.628107,,,,,
"6,29 tỷ VNĐ",Vạn Phúc- Hầ Đông, 67m2, 4,"QUÁ RẺ! Vạn Phúc, Hà Đông,67m, 4 tầng, ô tô tránh, ngõ thông thoáng.  Bán nhà siêu đẹp vị trí trung tâm giáp chợ cây Vạn Phúc, vài bước ra trung tâm phố Lụa, đường trước nhà rộng thông, ô tô vào nhà, khu vực hiếm nhà bán. Thiết kế hiện đại vừa ở vừa kinh doanh hoặc cho thuê văn phòng quá đỉnh. Các tầng thoáng sáng đầy đủ công năng sử dụng, Khu vực dân cư đông đúc sầm uất, Xung quanh nhiều văn phòng lớn nhỏ, gần chợ Vạn Phúc, nhiều trường Đại học, ngân hàng, siêu thị,... Trục chính giao thông đi các phố: Yết Kiêu, Ngô Quyền, Quang Trung, Văn Quán, Trần Phú,... Giá: 6.29 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828506.248582,,,,,
"6,4 tỷ VNĐ","Kim Giang, Thanh Xuân", 66m2,,"SIÊU PHẨM: NHÀ PHỐ KIM GIANG, DT 66M2, MT 5M, 5 TẦNG, KINH DOANH DÒNG TIỀN, 9 PHÒNG KHÉP KÍN, NGÕ NÔNG THÔNG THOÁNG. + Vị trí nhà nằm mặt ngõ to đẹp nhất đường Kim Giang ô tô tránh kinh doanh sầm uất, giá trị gia tăng gấp bội khi quy hoạch triển khai, nhà ra mặt phố lớn. + Chủ nhà là cán bộ nhà nước xây dựng theo phong cách đẹp, hiện đại để đầu tư giữ tiền mất giá. Nhà ở có lộc bán mua nhà to hơn. + Sổ vuông sẵn sàng giao dịch luôn. + Liên hệ em Thái để được xem luôn và ngay.",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828507.27784,,,,,
4 tỷ VNĐ,Kim Giang, 40m2, 5,"- Chủ bán nhanh lấy tiền cho con đi du học . - Ngõ thông, rộng, ô tô tránh nhau thoải mái, cách mặt phố vài bước đi bộ. - Nhà dân xây chắc chắn, thiết kế đẹp, diện tích 40m2, 5 tầng. - Gần chợ, trường học các cấp, khu dân trí cao. - Sổ đỏ chính chủ, giao dịch trực tiếp. - Liên hệ ngay em Thảo chuyên thổ cư Hà Nội.",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828508.3469877, 5,,,,
"7,29 tỷ VNĐ","Nhà siêu đẹp, thang máy VIP giữa Phố Đội Cấn, Ba Đình. Vị trí đắc địa khu dân trí cao. DT62m2x6T.", 62m2, 6,"✅  Bán nhà mới cực đẹp, thoáng mát. Sân để xe trước nhà siêu rộng. Vị trí đắc địa dân trí cao, an ninh rất tốt, tiện nghi đi lại và sinh hoạt. Khu đất được mệnh danh là Đất Vàng để gia chủ An Cư. --------------------------------------------------- ✔️  Thiết kế, công năng: Kiến trúc Tân cổ điển.  - Diện tích 62m2, xây 6 tầng thang máy. - Tầng 1: Phòng khách VIP, Gara xe. - Tầng 2, 3, 4: Phòng ngủ Master + Vệ sinh. - Tầng 5: Phòng ăn VIP + bếp. - Tầng 6: Phòng thờ.Tiểu cảnh ngoài trời, kho, sân phơi. ✔️  Vị trí: - Nhà ở khu vực dân trí cao, có nhiều người nước ngoài sinh sống. - Gần các khu trung tâm thương mại, trường học THCS, THPT. Cơ quan Quận Ba Đình, ngân hàng,… - Một vị trí đáng an cư lập nghiệm cho sự Thịnh Vượng của gia đình. ✔️  Nội thất: - Được làm tỉ mỉ với chủ đạo là gỗ: Các cửa, cầu thang, tủ bếp. Sàn gỗ Malaysia chống trơn trượt nên rất sang trọng và đẳng cấp. - Thiết bị điện cao cấp, dây Trần Phú đi GEN cẩn thận.Đèn LED. Thiết bị vệ sinh TOTO nhập khẩu, vách tắm đứng. ✔️  Pháp lý: Sổ đỏ chính chủ, giấy tờ đầy đủ rõ ràng. ✔️  Giá chỉ: 7.29 tỷ (có thương lượng, bao sang tên). ✔️  Liên hệ trực tiếp Mr.Tuấn: 0964 357 352 (miễn TG, MG).",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828509.612602, 5, 4, 3, 5,
"4,2 tỷ VNĐ",khương trung, 38m2, 5,"- Chủ bán gấp lấy tiền mua biệt thự. - Nhà xây thiết kế đẹp hiện đại,cả nhà thông thoáng, diện tích 38m2, 5 tầng, mặt tiền 4m. - Ngõ thông sang phố Khương Hạ, gần chợ, nhà cách mặt phố 50m, ba gác tránh. - Sổ đỏ chính chủ, vuông vắn, sẵn sàng giao dịch. - Giá 4.2 tỷ thương lượng trực tiếp với chủ nhà. - Liên hệ ngay em Thảo chuyên thổ cư Hà Nội.",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828510.6428456, 5,,,,
"6,6 tỷ VNĐ","Phố Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội", 54m2, 6,"CĂN HỘ CCMN CAO CẤP 6 TẦNG 11 PHÒNG FULL NỘI THẤT XỊN, CHO THUÊ 40TR/THÁNG, CÁCH MP 20M + Nhà cần bán nằm trên phố Trung Văn, Quận Nam Từ Liêm. Khu trung tâm tập trung nhiều sinh viên, nhân viên văn phòng, nhiều nhà hàng, quán ăn, nhu cầu thuê trọ cao, giá tốt. + Nhà cách ô tô 20m, giao thông thuận tiện di chuyển đi các hướng Nguyễn Trãi, Trần Phú, Lương Thế Vinh, Trung Văn, Tố Hữu, Nguyễn Văn Lộc, khu vực cho thuê loại hình cao cấp VIP nhất Phùng Khoang. + Nhà cạnh chung cư Season Avenue, BT Hoàng Thành, Mulberry Lane, 3 phút ra COOPMART, gần Đại học Hà Nội, Kiến Trúc, An Ninh, Nhạc Họa Trung Ương, Tuệ Tĩnh... + Nhà trọ cao cấp phù hợp vừa ở, kinh doanh cho thuê Dòng tiền cao, đều, ổn định cho tầm tiền trên 6 tỷ dưới 7 tỷ. + Tổng thiết kế 11 phòng, căn hộ cho thuê cao cấp, full nội thất giường, tủ, nóng lạnh, điều hòa, máy giặt, tủ lạnh như hình, phòng nào cũng thoáng sáng, công năng đầy đủ, vệ sinh khép kín, có gác xép ngủ riêng biệt. Chủ đang tự vận hành, cho thuê 3-4.2tr/phòng. + SĐCC, 54m2, sẵn sàng giao dịch, chủ thiện chí bán. + Giá chào 6 tỷ 6 có thương lượng. + Liên hệ xem nhà: 0902.08.31.39",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828511.6431692, 10, 3,, 10,
"6,65 tỷ VNĐ",TRƯƠNG ĐỊNH HOÀNG MAI HÀ NỘI, 50m2,,"+ Mô Tả: Nhà Chủ Tự Thiết Kế.Chuẩn Công Năng + Gần Phố. Ô Tô Đỗ Cửa.Vào Nhà.KD Đỉnh. Ngõ Thông. Khu Dân Cư Đông + Thiết Kế: Tầng 1 KD. Phòng Khách. Để Xe +WC + Tầng 2,3 Mỗi Tầng 2 Ngủ +WC Khép Kín + Tầng 4 Phòng Bếp + Phòng Thờ. + Tầng 5 Sân Phơi. Tập Thể Thao. Trồng Cây + Sổ Đỏ Chính Chủ Sẵn Sàng Giao Dịch + LH. 0989364334  tư vấn và xem nhầ miễn phí",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828512.7222836,,,,,
"1,85 tỷ VNĐ","Trung Văn, Từ Liêm, Hà Nội", 20m2,,"BÁN NHÀ KHU NAM TỪ LIÊM - NGÕ RỘNG THÔNG THOÁNG - NHÀ ĐẸP LUNG LINH - GIÁ CHỈ 1,85 TỶ. SIÊU HIẾM HƠN TỶ - SỔ RIÊNG - NHÀ Ở NGAY. + Nhà mới đẹp lung linh full nội thất chỉ việc mang vali về ở, đầy đủ công năng.+ Sổ đỏ riêng, chính chủ.+ Giá bán 1,85 tỷ.Liên hệ Chinh chuyên thổ cư 0975992111 tư vấn, xem nhà miễn phí.",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828513.588964,,,,,
2 tỷ VNĐ,Đường Lĩnh Nam, 45m2, 4,"Mô tả: + Nhà lô góc 2 mặt thoáng, ô tô đỗ cửa. + Nhà 4 tầng chủ nhà xây chắc chắn. + Tầng 1: 1 phòng khách, 1 bếp, 1 WC. + Tầng 2, 3 Mỗi tầng 2 phòng khép kín, Tầng 4 để phòng thờ, sân phơi rộng. + nhà để ở sướng thoáng mát, kinh doanh thuận lợi. + Giao thông thuận tiện, 1 phút ra đường Lĩnh nam, gần chợ Lòng Thuyền, Trường cấp 1,2 Thanh Trì, cấp 3 Hoàng Văn Thụ. 2 phút ra bệnh viện Nam Học… + Diện tích:  45m2. + Giá chào: 2 tỷ có gia lộc. + Tư vẫn, xem nhà MIễn phí 100% . + Liên hệ xem nhà: Nguyễn Văn Dương – 0825920555.",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828514.857613, 4, 4,,,
16 tỷ VNĐ,Hà Nội, 75m2,,"SIÊU HIẾM - PHÂN LÔ - VỈA HÈ - KINH DOANH - Ô TÔ TRÁNH - THANG MÁY - SĐT: 0366 555 258. + Nhà 7 tầng thang máy chủ tự tay xây dựng và thiết kế hoàn thiện chỉn chu.Với nội thất gỗ lim, thiết bị cao cấp rất đẹp chủ mới chỉ cần mang quần áo tới là ở luôn. + Khu dân trí cao an ninh tốt nhiều tiện ích điện đường trường trạm khu vui chơi giải trí... + Kinh doanh tốt giao thông thuận tiện các phố Phạm Ngọc Thạch, Chùa Bộc, will smith Chris Rock Xã Đàn, Thái Hà, Tây Sơn… + Thiết kế: - Tầng 1: Gara để ô tô + khách + bếp + vệ sinh. - Tầng 2, 3, 4, 5, 6: Nhiều phòng + vệ sinh. - Tầng 7: Phòng thờ sân phơi. + Sổ đỏ phân lô vuông đẹp. + Diện tích: 75 m2. + Mặt tiền: 6.4 m.Giá chào chỉ 16 tỷ thương lượng mạnh.Liên hệ ngay Ms Thanh nhà phố - SĐT: 0366 555 258.",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828515.9476547,,,,,
