price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"8,6 tỷ VNĐ",Đường Hoàng Cầu phường Ô Chợ Dừa, 68m2, 1, 7,"- NHÀ MỚI ĐẸP LONG LANH - THANG MÁY VÙ VÙ.+Nhà thuộc khu lõi Đống Đa, chỉ vài phút ra đến Quận Ủy, ô tô đỗ cổng, ngõ thông các ngả, khu vực văn minh, dân trí cao.+Hiện tại thiết kế 1 phòng khách, 1 phòng ăn, 1 phòng thờ và sân phơi, 3 phòng ngủ, vệ sinh từng tầng, còn lại 2 sàn để thông chưa sử dụng đến vì nhà ít người.+Nhà đầy đủ công năng với trang thiết bị hiện đại, 2 tầng lắp điều hòa 24000BTU và 3 tầng lắp 6 điều hòa 18000BTU…chủ mới chỉ việc dọn về ở.+Sổ đỏ chính chủ, vuông đẹp, luôn sẵn sàng giao dịch",24/08/2022,Tin thường,batdongsan_so_com_vn_1673806756.4343824,,,,
10 tỷ VNĐ,Đường Trần Đăng Ninh phường Quang Trung, 68m2, 20, 5,"SIÊU PHẨM NHÀ MẶT PHỐ TRẦN ĐĂNG NINH - MẶT TIỀN SIÊU RỘNG - NHÀ CHỦ XÂY TÂM HUYẾT - KHU VỰC HƯỞNG THỤ CUỘC SỐNG AN SINH KHÔNG THIẾU THỨ GÌ  - Căn nhà nằm trong khu vực có giao thông cực kỳ thuận lợi, trước nhà ô tô tránh, ô tô ra vào nhà thoải mái, chủ nhà xây tâm huyết để ở, nay chuyển công tác vào nam cần bán lại cho người dân thiện chí mua để ở hoặc làm văn phòng công ty. - Nhà còn rất mới, lại nằm trong khu vực có rất nhiều các tiện ích như, bệnh viện, trường đại học, bến xe, các trung tâm mua sắm và vui chơi giải trí. - Giao thông đi lại thì vô cùng thuận lợi, thông ra các tuyến đường lớn trong khu vực: Đường Quang Trung, Nguyễn Trãi, Trần Phú, Quốc lộ 21, Quốc lộ 6, Lê Trọng Tấn, Lê Văn Lương... - Vị trí đắc địa, nhiều tiện ích,  gần Metro Hà Đông, đi bộ 5p. Gần Quận ủy Hà Đông, VP Công Chứng, VP đất đai, Bệnh viện Công An TPHN , gần nhiều trường học từ Mầm non đến THPT .......- Nhà mặt phố Trần Đăng Ninh, Hà Đông, 2p ra mặt phố lớn Quang Trung. Tương lai phố Trần Đăng Ninh sẽ thông thẳng sang Văn Phú, ACE chú ý để tư vấn khách.- THIẾT KẾ:T1: Gara để xe oto + xe máy +wcT2: Khách + bếp 1 ngủ + wcT3: 3 ngủ + wcT4: 1 ngủ + 1 thờ + 1 sân tiểu cảnh non bộT5: tum + sân phơi- Sổ đỏ vuông đẹp, pháp lý rõ ràng, sẵn sàng giao dịch - Liên hệ gọi ngay để được tư vấn xem nhà miễn phí 24/7.",24/08/2022,Tin thường,batdongsan_so_com_vn_1673806758.0590355, 10, 4, 4,
"3,9 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 40m2, 3, 4,"+ Nhà dân tự xây không chung tường, móng kiên cố lên tầng thoải mái.+ Khu vực toàn chí thức, giàu có an ninh tuyệt đối ở cực sướng. ",24/08/2022,Tin thường,batdongsan_so_com_vn_1673806759.8073967, 4, 4, 4,
12 tỷ VNĐ,Đường Trường Lâm phường Đức Giang, 157m2, 20, 1,"-Chính chủ cần bán nhà phố Trường Lâm diện tích 157 chỉ 13tỷ - Vị trí nhà  Trung tâm quận Long Biên - Kinh doanh các ngành nghề , tiện ích không thiếu gì, gần hồ điều hòa Quận Ủy, bệnh viện Đức Giang, trung tâm thương mại Big C, trường học các cấp. -Đường thông ra phố Ngô  Gia Tự,, khu đô thị Việt Hưng, Kim Quan Thượng, phố Lệ Mật; giao thông cực kì thuận tiện.. - Chủ nhà thiện chí bán , mua đất tặng nhà, -Phù hợp đầu tư sinh lời nhanh chóng ,  cho thuê . -Sổ đỏ chính chủ sẵn sàng giao dịch (miễn trung gian). ",24/08/2022,Tin thường,batdongsan_so_com_vn_1673806761.151799, 4, 4, 2,
"3,3 tỷ VNĐ",Đường Bạch Mai phường Bạch Mai, 36m2, 1, 3,"+ Vị trí: Gần chợ Mơ, gần các trường Đại học lớn, gần các Bệnh viện lớn. + Chủ làm ăn có lộc chuyển đến nhà to hơn + Giá: 3.3 tỷ (Có thương lượng với khách thiện chí) + Sổ đỏ chính chủ, cất két chờ giao dịch. + Liên hệ em Khánh 0904665529 để được tư vấn và đi xem nhà miễn phí.",24/08/2022,Tin thường,batdongsan_so_com_vn_1673806762.6328366, 3, 3, 3,
"11,5 tỷ VNĐ",Đường Bế Văn Đàn phường Quang Trung, 68m2, 10, 5,"Bán nhà Đẹp Q.Hà Đông,MẶT PHỐ,KD ĐỈNH,GARA ÔTÔ,2 THOÁNG, 61m2, 5T, SĐCC. ·        Nhà ở Mặt Phố, Kinh Doanh bất chấp mọi thể loại, đường trước nhà 2 chiều, ÔTÔ tránh (có Gara, ÔTÔ cất trong nhà). ·Tầng 1 : Gara để được 2 ô tô + bếp + wc. ·        Tầng 4 : Phòng thờ + sân phơi. ·
",24/08/2022,Tin thường,batdongsan_so_com_vn_1673806764.1507778, 4, 3, 5,
"4,5 tỷ VNĐ","Số 20E ngõ 376 Khương Đình, Thanh Xuân, Hà Nội", 38m2,, 4,"Chính chủ cần bán nhà mới xây ở Khương Đình, Thanh Xuân kèm nội thất cao cấpNhà số 20E ngõ 376 Khương Đình, Thanh Xuân, khu vực trung tâm cách ngã tư sở 1km.+ Diện tích: 38m2.+ Nhà: 4 tầng.+ Mặt tiền: 3.4m.- Tầng 1: Phòng khách và bếp.- Tầng 2,3: Mỗi tầng 2 phòng ngủ, vệ sinh giữa.- Tầng 4: Phòng thờ và sân phơi. Ngõ rộng thông thoáng, trước nhà có sân rộng để vài chục chiếc xe máy, giao thông đi lại thuận tiện.+ Nhà mới xây được 2 năm còn rất mới, khách mua chuyển đồ vào ở luôn.Giá 4 tỷ 5 có gia lộc cho khách thiện chí, bao sang tên sổLiên hệ 0978458153",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806765.4135034, 3, 4, 3, Đông
,"trương định, hoàng mai, hà nội", 52m2,,,"5Bán nhà Phố Trương Định Quận Hoàng Mai 52m, 3,7 tỷ, oto, Kinh Doanh.+ Đi bộ ra Hồ Đền Lừ, bx Giáp Bát, gần chợ, trường mầm non, cấp 1,2, Gần trường Đại Học Bách khoa, Kinh Tế, Xây Dựng, Bệnh viện Bạch Mai, giáp Minh Khai, Giải Phóng, Tam Trinh, Trần Đại Nghĩa.+ Nhà thiết kế phù hợp cho 2 thế hệ, có thể nên 3,4 tầng.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà ",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806766.54448,,,,
"12,8 tỷ VNĐ",mai anh tuấn, 45m2,,,"Không tin nổi,Biệt thự liền kề Hoàng Cầu đẹp đến thế là cùng,45m2x5T, 12.8 tỷ Mô tả: Gia đình cần tiền bán gấp nhà Phố Hoàng Cầu đẹp như biệt thự liền kề 45m2, 12.8 tỷ, view hồ cực đẹp. +Gần khu UBND Quận Đống Đa mới xây dựng, gần bến xe điện trên cao. + Nhà nằm mặt hồ Hoàng Cầu thơ mộng. Cả một quần thể không gian xanh đem lại giá trị sống tuyệt vời. Trong phong thủy vị trí căn nhà có ý nghĩa Vượng khí - Hanh thông - Hài hòa âm dương. + Gần chung cư cao cấp Tân Hoàng Minh dân trí cực cao. + Sổ đỏ cất két, sẵn sang giao dịch ngay. Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806772.184491,,,,
"3,6 tỷ VNĐ",Đường Quan Nhân phường Khương Đình, 30m2, 3, 5,"Quan Nhân - Trung Tâm Thanh Xuân - Ngõ thoáng rộng siêu gần phố Mặt tiền to 4,5 mét KHÔNG CÓ NHÀ NÀO ĐẸP HƠN VỀ VỊ TRÍ VÀ GIÁ -Vị trí: Nhà cách mặt phố Quan Nhân 150m, xe bagac đỗ cửa  -Thiết kế:  +Tầng 1: Khách+ bếp  +Tầng 2,3: Một ngủ. +Tầng4: (Phòng Thờ có thể làm phòng ngủ)  +Tầng 5: Sân phơi.  -Sổ đỏ vuông đẹp - LH Ngọc Anh ",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806773.337867, 4, 4, 4,
45 tỷ VNĐ,Đường Trích Sài phường Thụy Khuê, 90m2, 10, 3,"
    Phố Trích Sài bao trọn Hồ Tây lộng gió, đường hai chiều, đi lại thuận tiện, thông với các tuyến phố Lạc Long Quân, Võng Thị, Thụy Khuê, Văn Cao, Nguyễn Đình Thi. ",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806774.3232303, 8,,,
