price,address,Diện tích,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"3,3 tỷ VNĐ",Yên Xá - Thanh Trì - Hà Nội, 32m2, Đông nam, 2, 5, 3, 4,"Bán nhà riêng 32m2x5T Yên Xá, nằm gần KĐT Văn Quán và Tổng Cục 5, ít nhà bán,  giá 3,3 tỷ. Lh 0984672007Diện tích: 32m2. Căn gócPhòng ngủ: 3PN.Mặt tiền: 3.5m, phong thủy cực đẹp.Hướng: Đông NamĐường trước nhà 2m.* Nhà xây dựng chắc chắn, 5 tầng phong cách tân cổ điển với đầy đủ tiện nghi:Tầng 1: phòng khách, bếp, wc.Tầng  2, 3, 4: Mỗi tầng 1 phòng ngủ, 1 wc.Tầng 5: Phòng thờ và sân phơi quần áo.* Hiện trạng: Nhà xây mới 100 %, xây dựng chắc chắn * Nội thất cơ bản: - Cửa chính + cửa thông phòng gỗ lim nam phi, cửa sổ, cửa nhà tắm nhôm hệ Việt Pháp.- Hệ thống đèn chiếu sáng và đèn led trang trí, gạch hoa chống xước, tủ bếp gỗ sồi Nga, trần thạch cao, cầu thang đá Granit + tay vịn gỗ lim Nam Phi, thiết bị vệ sinh Inax...* Vị trí: Ngôi nhà nằm vị trí trung tâm ngay đường tổng cục 5 Tân Triều - thuận tiện di chuyển sang Chiến Thắng - Triều Khúc, Phùng Hưng - đường mới Xa La - Nguyễn Xiển, sang KĐT Văn Quán. Chỉ 200m ra chợ đầu mối Chiến Thắng, di chuyển BigC Hà Đông, viện 103 - viện bỏng - học viện quân y chỉ mất 5 - 10 phút. Khu vực đông dân cư, dân trí văn minh, an ninh ổn định.* Pháp lý: Nhà sổ đỏ chính chủ, không tranh chấp pháp lý.* Giá: 3,3 tỷ. Hỗ trợ ngân hàng tối đa 70% cho khách có nhu cầu.* Liên hệ ngay: Mr Hưng 0984672007 xem nhà và tư vấn miễn phí.",25/06/2022,Tin thường,batdongsan_so_com_vn_1673792759.4072356,
"6,5 tỷ VNĐ",Nguyễn Khuyến - Hà Đông - Hà Nội, 36m2,, 3, 5, 3, 4,"Bán nhà riêng Văn Quán–trung tâm Hà Đông-Nhà đẹp ở ngay-Sát đg Nguyễn Khuyến. Lh 0984672007 - Diện tích: 36 m2 - Xây dựng 5 tầng - Mặt tiền 3.6 m - Giá bán 6,5 tỷ  -Vị trị : + Khu vực kinh doanh sầm uất nhất VĂN QUÁN . + Giếng trời. + Nhà 2 thoáng trước sau. + Ban công rộng thênh thang, cực thoáng và hiện đại + Nhà đẹp ở ngay, nội thất bàn giao full như hình. + Khách xem xong mê mẩn không muốn về… Thiết kế : - Tầng 1: Phòng khách, bếp, wc - Tầng 2+3+4: Mỗi tầng 1 PN rộng khép kín - Tầng 5: Phòng thờ sân phơi. + Sổ đỏ chinh chủ, giao dịch ngay. Liên hệ ngay: Mr Hưng 0984672007 xem nhà và tư vấn miễn phí.",27/06/2022,Tin thường,batdongsan_so_com_vn_1673792760.7247598,
800 triệu VNĐ,HOÀN KIẾM HÀ NỘI, 80m2,, 6,,,,"🎉🎉 Chỉ từ 148tr bạn đã sở hữu cho mình lô đất nằm kẹp giữa Khu Đô Thị và Các KCN lớn ở Hưng Yên , đường 6m trải asphanlt. 🎊 Ưu đãi lớn dành cho khách hàng lên đến 6% khi mua từ sản phẩm thứ 2 tiền vào theo tiến độ linh hoạt trả góp 0% lãi xuất .🎊 Diện tích từ 70-80m2 phù hợp với thiết kế nhà hiện đại .✨ Đường nội bộ 6m trải asphanlt , đủ hướng cho các nhà đầu tư.🌿 Nằm trên trục đường huyết mạch Tân Phúc Võng Phan chạy qua các KCN như Ân Thi- Phù Cừ - Tiên Lữ - Bình Giang - và các KCN lân cận .🌿 Xung quanh là các KCN lớn ở Hưng Yên quy mô rộng gần 400 ha, đối diện là khu quy hoạch Khu Dân Cư Mới Tân Phúc 300 ha. 🌿 Nằm trong khu dân cư đông đúc đầy đủ tiện ích bán kính ko quá 1km 🌿Hạ tần đồng bộ , mốc giới rõ ràng , hệ thống cấp thoát nc đầy đủ 🍃Mua bán chính chủ không qua trung gian .💥Quy trình mua bán :✨ Đặt cọc 100tr giữ lô ngay khi chọn được vị trí ưng ý .1.  Thanh toán 20% giá trị sau 7 ngày đặt cọc .2. Thanh toán 30% giá trị sau 30 ngày tiếp theo từ lần 1 . 3. Thanh toán 20% giá trị sau 60 ngày tiếp theo từ lần 1 .4. Thanh toán 15% giá trị sau 90 ngày tiếp theo từ lần 1. 5. Thanh toán 10% giá trị sau 120 ngày tiếp theo từ lần 1. Và ký công chứng sang tên tại văn phòng công chứng . 6. Thanh toán 5-% và nhận sổ sau 15 ngày ký công chứng .☎️ Liên hệ chủ đầu tư : để được tư vấn và đặt mua vị trí thích hợp nhất .",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792761.7530906, 5
"4,5 tỷ VNĐ",Đường 19 tháng 5 phường Văn Quán, 46m2,, 4, 4, 4, 3,"
    
+ Tọa lạc tại vị trí rất hiếm của quận Hà Đông ngõ ô tô tránh, dân trí cao an ninh tốt 
+ Gần trường mầm non Hoa Hồng Văn Quán, tiểu học Nguyễn Du, Văn Yên, THCS Văn Quán,...Bán kính 1km nhiều trường đại học: Kiến Trúc, Bưu chính viễn thông, HV An Ninh,...
+ Gần chợ Xanh, chợ Yên Phúc, Vinmart lớn, TTTM, lên rất thuận tiện cho các nhu cầu thiết yếu của gia đình. 

+ Thiết kế nhà hiện đại, 4 PN, đầy đủ công năng
+ Diện tích 46m nhỉnh 4 tỷ
Liên hệ 0358466448 để xem nhà miễn phí
",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792763.0546043, 3
"16,5 tỷ VNĐ",Đường Trương Định phường Hoàng Liệt, 65m2,, 8, 5, 3, 4,"Giá chỉ 16,5 tỷ, có thể thương lượng ",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792764.004095, 5
"5,9 tỷ VNĐ",LÊ LỢI, 60m2,,,,,,"Bán Đất Phố Lê Lợi Hà Đông DT 60m2 x MT 5m giá 5.9 tỷ. ✅ Chủ muốn bán 60m2 Đất x mặt tiền 5m giá 5.9 tỷ ✅ Giao thông thuận lợi tiện ích ngập tràn. Hàng xóm thân thiện, an ninh tôt. ✅ Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán.  ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ).  + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn… Xin cám ơn quý khách đã xem bài đăng!",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792765.9120502, 6
"11,1 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 84m2,, 35, 1, 1, 1,"ĐẤU GIÁ TỨ HIỆP , THANH TRÌ , 84M2 ĐẤT, PHÂN LÔ VỈA HÈ, VIEW TECCO DIAMOND , KD SIÊU ĐẲNG CẤP LH : Mr Tiến  - Diện Tích 84m2 ; Mặt Tiền 6m ; View Chung Cư Tecco( Giá bán như tặng chỉ 11 tỷ téo ) - Vị trí siêu đắc địa , tọa lạc trên khu đất đấu giá quyền sử dụng đất Tứ Hiệp, Thanh Trì , trung tâm phát triển bậc nhất khu vực, dự án lớn nhỏ mọc lên như nấm, bên cạnh là khu trung tâm hành chính Quận tương lai. - khu vực phong thủy thổ nhưỡng vượng khí tài lộc, bên cạnh là hồ điều hòa, công viên trung tâm, trường học , kinh doanh đắc địa ,đa dạng các loại hình ( Văn Phòng, nhà hàng, cafe, trung tâm thâm mỹ viện, phòng khám, trung tâm anh ngữ...vv) - Sổ đỏ chính chủ ( diện tích xây dựng 86% , tự thiết kế theo ý thích )",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792767.2634351, 6
"2,5 tỷ VNĐ","Đông Dư, Gia Lâm", 30m2,,, 5,,,"- Ngõ Thông tứ tung, gần trường cấp 1,2,3 xuân Quang, 3 phút xuống ECopark, Bát Tràng thì quá gần. - Hay đi vinhhome ocean park Gia Lâm. Học viện nông nghiệp Trâu Quỳ rất gần chỉ đi xe máy 3 phút là tới các điểm đó. - Còn về các điểm như về gamuda yên sở, công viên Yên Sở chỉ mất chưa đến 10 phút là tới. - Về times city, hoặc bờ hồ chỉ mất 15phút là tới nơi. - Thiết kế: - Tầng 1: Phòng khách + Bếp + WC. - Tầng 2: 1 ngủ rộng + WC khép kín. - Tầng 3: 1 phòng ngủ + WC khép - Tầng 4 : 1 phòng ngủ+ Phòng Thờ - Tầng 5: sân phơi +Sổ đỏ chính chủ sẵn giao dịch. - Lh em Trác: 0965492571( chuyên thiết kế, xây dựng và tư vấn nhà ở miễn phí)    ",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792768.4253259, 4
"2,08 tỷ VNĐ",Đường 3 phường Vân Nội, 55m2,,,,,,"
    Do cần tiền xây nhà cho con trải nên cần tiền bán gấp mảnh đất đẹp, đầy tiềm năng tại Đông Anh.Địa chỉ: Thôn Thố Bảo, xã Vân Nội, huyện Đông Anh, Hà Nội-Diên tích: 54.7m2-Mặt tiền: 4m-Mặt hậu: 4m-Dài: 13.5mĐường trước mặt rộng 4m, ô tô 7 chỗ đi thoải mái. Ngõ thông ra bìa làng.-5 phút đi xe là lên cầu Nhật Tân.-Giao thông thuận tiện: gần đường 23B, đường Võ Nguyên Giáp, đường Võ Văn Kiệt.Đất đẹp vị trí đầy tiềm năng rất phù hợp để mua ở và đầu tư.Liên hệ em ngay để đi cọc đất.",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792769.561322, 4
"24,4 tỷ VNĐ",Đường Phúc Lộc phường Vân Hà, 122m2,,,,,,"
    
VIP ĐÔNG ANH - HOA HẬU VƯỜN ĐÀO PHÚC LỘC - HÀNG HIẾM - Ô TÔ ĐUA - LÔ GÓC DUY NHẤT - NƠI ĐÁNG SỐNG NHẤT ĐÔNG ANH - HẠ TẦNG SIÊU ĐẸP - CAFE NGÓI - ĐƯỜNG 20M - VỈA HÈ SIÊU RỘNG - KINH DOANH NGÀY ĐÊM - PHÙ HỢP TÒA NHÀ ĐẲNG CẤP - TIỆN ÍCH NGẬP TRÀN.
DIỆN TÍCH: 122m2, mặt tiền 8m nở hậu. Xây Dựng để kinh doanh , làm văn phòng tuyệt đẹp
Vị trí lô góc không thể chê vào đâu được, nơi ngã tư đường lớn, trong khuôn viên của khu đấu giá Vườn Đào Phúc Lộc, địa thế đẹp nhất Đông Anh, nằm trên trục đường lớn rộng 20m, vỉa hè xung quanh, đường đẹp long lanh cùng trục đường và cách Cafe ngói chỉ vài bước chân, xung quanh dịch vụ thương mại Hàng hóa không thiếu thứ gì hoạt động 24/24h, đối diện là khu trung tâm thương mại, Trường mầm non, tiểu học, THPT Chuẩn Quốc gia được đầu tư mới hiện đại nhất Huyên để chào đón sang quận năm 2023, Cách Huyện Ủy, UBND Huyên Đông Anh 500m, cách khu vui chơi giải trí Kim Qui của SUNGROUP rộng 100ha1km
- Những tiện ích ngập tràn mà không nơi nào ở Đông Anh có được; nơi trung tâm Văn hóa - Chính trị - Xã hội là đây.
- Phù hợp với Tòa nhà kinh doanh ngày đêm, nơi mà bao người có tiền mong ước tìm kiếm mà chưa sở hữu được vì khu VIP này cực hiếm nhà đất bán ( nơi đây được ví như khu Biệt thự Vườn Đào - Tây Hồ).
- Chủ chuyển đổi mục đích nên rất cần bán, pháp lý sạch sẵn sàng giao dịch.

Mọi chi tiết Xin ibox hoặc liên hệ: 0968602346. mr Thu ( Có Zalo)
",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792770.6553955, 8
