price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Số tầng,Mặt tiền
"3,4 tỷ VNĐ","Đường Xuân Đỉnh, Cổ Nhuế 1, Bắc Từ Liêm", 35m2, 3,"Bán nhà Xuân Đỉnh Từ Liêm 35m2, ba bước ra ngoại giao đoàn, sát vách công viên Hòa Bình - Thiết kế: nhà 4 tầng, full nội thất, có nhiều phòng, phòng nào cũng có cửa sổ, ánh sáng tự nhiên ngập tràn - Vị trí : đẹp, thoáng, thông tứ tung ra 205,323 Xuân Đỉnh, gần oto - Tiện ích : ngập tràn, xung quanh nhiều trường học, gần chợ, thuận tiện mua bán, đi lại - Sổ đỏ vuông vắn, trước sau như một, sẵn sàng giao dịch - Giá : 3.4 tỷ ( có thương lượng ) Liên hệ: 0878604850 ( MS.NGỌC )",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788460.5101511,,,,,
"15,6 tỷ VNĐ",93 Láng Hạ, 179m2,,"
    Vị trí: Dự án nằm tại 93 Láng Hạ, Phường Láng Hạ, Quận Đống Đa👍 Căn hộ thiết kế 4 phòng ngủ, 3Wc, 2 khách, 2 bếp, 3 logiaThiết kế phù hợp với Gia Đình 3 thế hệ👍 Ban công phòng khách, phòng bếp có logia riêng thoáng👍 Phòng ngủ đón ánh sáng tự nhiên👍 Hướng của chính Đông Bắc, ban công Đông NamTiện tích đẳng cấp- Trung tâm thương mại hiện đại phục vụ cư dân có hệ thống thang cuốn riêng với căn hộ dân cư- Bể bơi bốn mùa rộng 800m2, bể sục, Gym, Spa, Phòng Golf 4D- Bốn hầm gửi xe thông minh- Bàn giao nội thất cao cấp- Hệ thống cây xanh với hệ tưới tự động☎️ Khách hàng cần tư vấn vui lòng liên hệ: 0963 023 895
 
 

",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788462.031082, Đông bắc, 4, 3,,
"3,15 tỷ VNĐ","Đường Nguyễn Xiển, Tân Triều, Thanh Trì", 76m2, 1,"
    💥 Chỉ 3.15 Tỷ -Căn hộ Chung cư CT2 ECO GREEN CITY - 286 Nguyễn Xiển 76m2, Rẻ nhất khu vực 💥 ⭕️ LH NGAY 0982833366 (KHU VỰC TẦM GIÁ CHỈ CÓ MỘT CĂN - NHANH MỚI CÒN)----------------------------CĂN HỘ CHUNG CƯ CT2 ECO GREEN CITY 286 NGUYỄN XIỂN 76M2 2PN-2WCLÔ GÓC - NỘI THẤT SANG TRỌNG HIỆN ĐẠI -Vị trí: Tòa mặt phố số 286 Nguyễn Xiển,lô góc view nội khu cực đẹp, thoáng, xung quanh là chợ ,trường học, nội khu có siêu thị, bể bơi 4 mùa, phòng tập, ở thì vô cùng tuyệt vời.- Nhà có 1 slot ô tô- SĐCC giao dịch ngay yên tâm tuyệt đối----------------------------🚀 GIÁ BÁN CHỈ: 3.15TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366   ZALO 0902223785(Chuyên nhà chung cư, nhà tập thể Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788464.1623805,, 2, 2, 1,
"3,75 tỷ VNĐ","Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội", 35m2,," Chuyển Công Việc Bán Nhà Ngọc Thuỵ, Long Biên 35m2, 5T, giá 3,75 tỷ  Tầng 1: PK, Bếp và WC Tầng 2,3,4: Mỗi tầng 1 PN và WC Tầng 5: KV thờ và sân phơi. Xung quanh gần KĐT Khai Sơn, trường Quốc Tế Việt Pháp, Chợ Ngọc Thụy..trường học cấp 1,2 và các tổ hợp dịch vụ ngày đêm..2 phút ra tới Cầu Long Biên.. LH : Mr Tùng 0965 722 358 để được hỗ trợ",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788465.206586,, 3,, 5, 5
25 tỷ VNĐ,Trần Đại Nghĩa, 115m2,,"Bán Toà CCMN phố Trần Đại Nghĩa, 7 tầng, Phân lô, Ô tô vào nhà, DT 115m2, Giá 25 tỷ25 tỷ - 115 m²Hai Bà Trưng, Hà NộiBán toà CCMN phố Trần Đại Nghĩa, diện tích 115m2 x 7 tầng, giá 25 tỷ.- Nhà trung tâm Hai Bà xung quanh là các trường ĐH lớn như: Kinh tế quốc dân, Bách Khoa, Xây Dựng, ...- Đường thông, phân lô, vỉa hè thông sang Bạch Mai, đi bộ ra TTTM Chợ Mơ.- Chung cư mini, mới xây nội thất đẹp.- Nhà tổng 27 phòng - doanh thu 150 triệu/tháng. Lợi nhuận nét 120 triệu/tháng.- Tầng 1: Để xe.- Tầng 2: 5 phòng ngủ rộng.wc- Tầng 3: 5 phòng ngủ rộng. wc- Tầng 4: 5 phòng ngủ rộng, wc- Tầng 5: 5 ngủ rộng + wc- Tầng 6: 4 phòng ngủ rộng + wc- Tầng 7: 3 phòng + tum.",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788472.8968592,,,, 7,
"6,5 tỷ VNĐ",Quang Trung- Hà Đông, 58m2,,"Bán nhà Quang Trung, Hà Đông 58m, MT 4m vỉa hè ô tô hơn 6 tỷ Bán nhà khu vực Vip nhất Hà Đông Phường Quang Trung diện tích rộng 58m thiết kế hiện đại mặt tiền rộng phân lô có vỉa hè ô tô tránh ở rất tĩnh hoặc làm văn phòng. Vị trí đắc địa cách mặt phố chỉ 50m đầy đủ tiện ích bến xe, tàu điện trên cao, ngân hàng, siêu thị, bệnh viện không thiếu. Khu toàn cán bộ ở rất tĩnh, dân trí cao. Giao thông đi các phố Lê Trọng Tấn sang Văn La gần Khu đô thị Văn Phú qua Lý Thường Kiệt sang Trần Đăng Ninh sang Hà Cầu. Sổ vuông sẵn sàng giao dịch. Giá: 6.5 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788474.19842,,,,, 4
"9,3 tỷ VNĐ",Xa La- Hà Đông, 80m2,,"Bán nhà liền kề Xa La, Hà Đông 80m, MT 5m vỉa hè kinh doanh hơn 9 tỷ Chú tôi chính chủ bán nhà liền kề Khu đô thị Xa La, Hà Đông với diện tích 80m nhà 5 tầng có mặt tiền rộng 5m vỉa hè thênh thang ô tô tránh rất phù hợp để ở hoặc kinh doanh văn phòng, giá tốt nhất khu vực không có căn thứ 2. Bán kính xung quanh hưởng trọn tiện ích Khu đô thị Xa La, phố xá đông vui, trung tâm đi đâu thuận lợi giáp Thanh Trì gần Yên Xá hàng xóm Phùng Hưng qua Đa Sỹ xuống Mậu Lương sang Văn Phú. Sổ vuông sẵn sàng giao dịch. Giá: 9.3 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788475.3483026,,,,, 5
"9,3 tỷ VNĐ",Xa La - Hà Đông, 80m2,,"Bán nhà liền kề Xa La, Hà Đông 80m, MT 5m vỉa hè kinh doanh hơn 9 tỷ Chú tôi chính chủ bán nhà liền kề Khu đô thị Xa La, Hà Đông với diện tích 80m nhà 5 tầng có mặt tiền rộng 5m vỉa hè thênh thang ô tô tránh rất phù hợp để ở hoặc kinh doanh văn phòng, giá tốt nhất khu vực không có căn thứ 2. Bán kính xung quanh hưởng trọn tiện ích Khu đô thị Xa La, phố xá đông vui, trung tâm đi đâu thuận lợi giáp Thanh Trì gần Yên Xá hàng xóm Phùng Hưng qua Đa Sỹ xuống Mậu Lương sang Văn Phú. Sổ vuông sẵn sàng giao dịch. Giá: 9.3 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788476.4712973,,,,, 5
"6,5 tỷ VNĐ",Quang Trung - Hà Đông, 58m2,,"Bán nhà Quang Trung, Hà Đông 58m, MT 4m vỉa hè ô tô hơn 6 tỷ Bán nhà khu vực Vip nhất Hà Đông Phường Quang Trung diện tích rộng 58m thiết kế hiện đại mặt tiền rộng phân lô có vỉa hè ô tô tránh ở rất tĩnh hoặc làm văn phòng. Vị trí đắc địa cách mặt phố chỉ 50m đầy đủ tiện ích bến xe, tàu điện trên cao, ngân hàng, siêu thị, bệnh viện không thiếu. Khu toàn cán bộ ở rất tĩnh, dân trí cao. Giao thông đi các phố Lê Trọng Tấn sang Văn La gần Khu đô thị Văn Phú qua Lý Thường Kiệt sang Trần Đăng Ninh sang Hà Cầu. Sổ vuông sẵn sàng giao dịch. Giá: 6.5 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788477.7030015,,,,, 4
"12,7 tỷ VNĐ",Hoàng Ngân, 43m2,,"MẶT PHỐ KINH DOANH SẦM UẤT, NHÀ MỚI CHỈ VIỆC Ở VÀ KINH DOANH, MẶT TIỀN ĐẸP, THANG MÁY NHẬP NGOẠI. GIÁP LÊ VĂN LƯƠNG, QUAN NHÂN, NGUYỄN THỊ ĐỊNH... Thiết kế :Tầng 1: Thông sàn kinh doanh + thang máy + wc Tầng 2: thông sàn kinh doanh hoặc khách + wc Tầng 3: phòng sinh hoạt chung + phòng ngủ + wc Tầng 4,5: phòng ngủ master + wcTầng 6 : phòng ăn bếp + sân chơi + wc Tầng 7: phòng thờ + thượng sân phơi.",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788479.3745325,,,, 7, 4
