price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới
13 tỷ VNĐ,Phú Viên Bồ Đề Long Biên Hà Nội, 98m2, 6, 6, 10, 10,"+ Bán nhà dòng tiền 100tr/tháng, DT 98m2, 6 tầng, mặt tiền 6,1m, thang máy, 16 PN, full nội thất. + Vị trí nhà gần cầu Chương Dương, đường trước nhà rộng oto đi lại thoải mái, 10 phút ra phố cổ. + Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. + Giá: 13 tỷ. + Liên hệ xem nhà hoàn toàn miễn phí: Dũng Chuyên BDS thổ cư 0948677782/ 0867502627.",04/05/2022,Tin thường,batdongsan_so_com_vn_1673826176.8594272,,
,"Yên Mỹ,Bình Yên,Thạch Thất", 70m2, 5, 1, 1, 1,"-    DT :70,3m2, MT:5,35m-    Vị trí: Yên Mỹ, Bình Yên, Thạch Thất-    Tiềm năng:+ Đường oto 7 chô vào quay đầu, đường tỉnh lộ vào rộng 4-5m tùy từng vị trí+ Đường nội khu rộng 6m.+ Cách đường vành đài công nghệ cao 2.5 km ( 3p di chuyển)+ Từ tỉnh lộ 420 đi vào 500-700m ( Đường 4 làn xe oto chạy và 6m vỉa hè 2 bên)+ Bán kinh 2.5km hoặc 5p di chuyển vào tới các trường ĐH FPT,Việt Hàn,Việt Nhật,Việt Pháp ,ĐH khoa học và Công Nghệ và các nhà máy xí nghiệp như: Vinsmart, hanwa, nidec, nissan, sumito, viettel,…+ Đi ra tổ hợp làng đhqg chỉ khoảng 10p di chuyển ( 5km)+ Đầy đủ tiện ích sống: Bán kính 1km có chợ, trường mần non, cấp 1,2,3… Bệnh viện, ủy ban xã,..Giá chỉ 9xx(tiểu học) liên hệ mr.Hùng: 0387507522",04/05/2022,Tin thường,batdongsan_so_com_vn_1673826178.1130729, Đông nam, 6
"15,5 tỷ VNĐ",ngõ 128 Đại La, 80m2, 7, 7, 10, 10,"Bán tòa chung cư mini 7 tầng thang máy ngõ 128 Đại La Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,đã cho thuê full phòng.doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ khép kín.Nội thất hoàn thiện đầy đủ 100%, đã cho thuê full phòng mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",04/05/2022,Tin thường,batdongsan_so_com_vn_1673826179.2320786, Nam, 3
16 tỷ VNĐ,Sơn Đồng - Hoài Đức - Hà Nội, 131m2,,,,,"☑️✅ Đón sóng hạ tầng Vành Đai 3.5 và Hoài Đức lên quận. Sở hữu liền kề 4.5 tầng - hỗ trợ lãi suất 0% trong 12 tháng.Trả trước 30% sở hữu ngay căn 4.5 tầng cùng gói vay lãi suất % /12 tháng.✅ Cần bán một số lô thuốc dự án đấu giá Sơn Đồng Center, giá siêu đầu tư.Hiện tôi đang có 1 số lô dự án đất đấu giá làng nghề Sơn Đồng giá đầu tư.Thông tin dự án.- Dự án: Khu đấu giá làng nghề Sơn Đồng, Hoài Đức.- Tên thương mại: Sơn Đồng Center.- Vị trí: Xã Sơn Đồng, H. Hoài Đức, Tp. Hà Nội.- Chủ đầu tư: MB Land Invest.- Tổng diện tích: 25.837m2.- Số lượng: 150 căn liền kề.- Diện tích từ: 70m2 - 103m2.- Xây dựng: 4.5 tầng.- Loại hình: Liền kề, Shophouse.- Bàn giao: Xây thô hoàn thiện ngoài.- Hạ tầng đã xong, hiện đang xây thô - sổ đỏ chính chủ - đất ở lâu dài.———--------------------------------✔️ Liên hệ Hotline: : 0779273787",04/05/2022,Tin thường,batdongsan_so_com_vn_1673826180.3790123,,
"4,2 tỷ VNĐ",ngõ 203 Kim Ngưu, 38m2, 3, 4, 4, 3,"Bán nhà ngõ 203 Kim Ngưu HBT Hà Nội DT 38m2x4T ngõ thông, gần chợ-Thiết kế bao gồm:-T1: phòng khách bếp, vệ sinh.-T2,3 mỗi tầng 2 phòng ngủ, vệ sinh giữa.-T4 phòng thờ sân phơi  -Vị trí: Ngõ 2 xe máy tránh nhau thoải mái, cách đường ô tô 30m đi mấy bước chân là ra đến chợ rất thuận tiện  cạnh phố Lạc Trung, Thanh Nhàn, Lò Đúc và các trường đại học lớn Bách Khoa, Xây dựng, Kinh tế đúng 1km cực thuận lợi việc học tập... ngay gần chợ, trường tiểu học đạt chuẩn quốc gia, các bệnh viện lớn như bệnh viện Thanh Nhàn, Bạch Mai...Sổ đỏ chính chủ, pháp lý rõ ràng-Giá: 4.2 tỷ ( có thương lượng) liên hệ chị Yến ĐT:0702138238",04/05/2022,Tin thường,batdongsan_so_com_vn_1673826181.4831583, Tây, 3
16 tỷ VNĐ,"Tân Mai, Hoàng Mai, Hà Nội", 60m2, 4, 6, 6, 5,"Bán nhà phố Tân Mai,Lương Khánh Thiện Tân Mai.Hoàng Mai DT 60m2 x 6T thang máy lô góc giá 16 tỷ.Nhà xây mới 6T thiết kế theo phong cách Tân Cổ Điển hiện đại, bao gồm.Tầng 1: Sân để xe, tầng 1 thông sàn có thể làm siêu thị, hoặc showroom.Tầng 2,3 thiết kế 2 phòng ngủ lớn, vệ sinh khép kín. Tầng 4 thiết kế 2 phòng ngủ, vệ sinh giữ, các phòng tràn ngập ánh sáng. Tầng 5 là Bếp, phòng khách, phòng ăn. Tầng 6: Phòng thờ và sân phơi. Nhà xây mới, lô góc, mặt đường lớn, có thang máy. Kinh doanh tấp nập. Vị trí gần Hồ Đến Lừ, phố Tân Mai, KĐT Luis. Gần nhiều trường ĐH lớn. SĐCC, Giá bán 16 tỷ. có thương lượng liên hệ chị Yến ĐT:0702138238",04/05/2022,Tin thường,batdongsan_so_com_vn_1673826182.7457802, Đông nam, 8
17 tỷ VNĐ,Hà Nội, 75m2,,,,,"Bán nhà sổ đỏ đường Trần Duy Hưng, kinh doanh đỉnh cao - LH: 0856 968 656.Diện tích 77 m2, 7 tầng thang máy. - Toà building nằm tại vị trí đẹp, đường trước oto tránh, kinh doanh đỉnh. - Nhà chủ tự xây vô cùng tâm huyết và chắc chắn, thoáng sáng, có gara, thang máy, nội thất xịn... - Hiện chủ nhà đang cho thuê doanh thu cao, nếu tự kinh doanh thu nhập siêu lợi nhuận. - Sổ đỏ đẹp, chính chủ, pháp lý rõ ràng. - Giá chào chỉ 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Tôi sẵn sàng tư vấn tận tâm chi tiết và giúp quý khách mua được giá tốt nhất.Xin quý khách liên hệ ngay tôi Thanh Bình - 0856 968 656. ",04/05/2022,Tin thường,batdongsan_so_com_vn_1673826184.0453029,,
17 tỷ VNĐ,Hà Nội, 75m2,,,,,"Bán nhà khu phân lô Hoàng Ngân, kinh doanh đa ngành - LH: 0856 968 656.Mô tả: - Vị trí đắc địa mặt ngõ to, ô tô tránh, ngõ thông kinh doanh siêu xuất sắc. - Diện tích 75m2, 7 tầng thiết kế nhà đẹp, hiện đại, tối ưu công năng sử dụng. - Nhà trang bị thang máy, nội thất cao cấp, vào ở luôn. - Kết nối Trần Duy Hưng, Nguyễn Chí Thanh, Trung Hòa, Trung Kính, Nguyễn Thị Định, Đỗ Quang... - Sổ đỏ vuông vắn, sẵn sàng giao dịch. + Giá chào chỉ 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ miễn phí ngay 24/24 - 0856 968 656.",04/05/2022,Tin thường,batdongsan_so_com_vn_1673826185.1982658,,
"2,8 tỷ VNĐ",Vẫn Đồn - Hà Nội, 50m2,,,,,"Vị trí nhà thuộc hàng đỉnh của đỉnh cách 1 nhà là ra mặt phố Vân Đồn rất đẹp gần ngay khu trung tâm phố cổ. Từ nhà di chuyển thuận lợi lên các tuyến Trần Khát Chân, Nguyễn Khoái, Trần Khánh Dư... Chỉ vài phút là đến Hồ Gươm, công viên Thống Nhất... Phục vụ gia đình đi chơi cuối tuần. Gần nhà là rất nhiều cơ sở hạ tầng tiện ích sống nhiều trường đại học lớn như Bách Khoa, Dược Hà Nội,.. Và nhiều bệnh viện lớn Bưu Điện, Hữu Nghị Việt Xô, Thanh Nhàn... Siêu thị, trung tâm thương mại, mua sắm, giải trí.... Khu vực có rất nhiều dân cư sinh sống sầm uất, dân trí cao, an ninh rất đảm bảo. Căn nhà là tâm huyết bao đời của gia chủ vô cùng kiên cố chắc chắn, là đứa con tinh thần giúp chủ làm ăn ngày càng phát đạt nay đã tậu được nhà mặt phố nên đành dứt ruột bán đi giá chào 2.8 tỷ có gia lộc cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội luôn sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Phương châm làm việc:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà    - Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý.  ",04/05/2022,Tin thường,batdongsan_so_com_vn_1673826186.297365,,
"22,5 tỷ VNĐ","Số 32A + 34, ngõ 4 phố Quần Ngựa, Phường Liễu Giai, Ba Đình, Hà Nội", 90m2, 8, 3, 3, 3,"Bán nhà riêng số 32A +34 ngõ 4 Quần Ngựa, phường Liễu Giai, quận Ba Đình, Thành phố Hà NộiDiện tích 90m2. Hình thức sử dụng riêng, đất ở tại đô thị. Sổ đỏ chính chủ. Ngõ vào 2 ô tô tránh nhau thoải mái. Tặng kèm bản thiết kế nhà 8 tầng giá 1xxtr",03/05/2022,Tin thường,batdongsan_so_com_vn_1673826187.547023, Bắc, 4
