price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet
"3,85 tỷ VNĐ",phố Trương Định, 38m2, Đông nam, 4, 5, 4,"BÁN NHÀ PHỐ TRƯƠNG ĐỊNH, TÂN MAI 38m2 x 5 TẦNG, NỘI THẤT ĐẸP VỀ Ở NGAY.  Nhà bán phố Trương Định- Tân Mai trong ngõ yên tĩnh, dân trí cao, an ninh tốt. Cách 30m ra đường ô tô tránh, gần nhiều trường ĐH lớn : BK, KTQD, XD. Gần chợ đầu mối, bến xe Giáp bát, Đuôi cá ….. Nhà còn rất mới, nội thất đẹp, kiểu dáng hiện đại. Sổ đỏ chính chủ, chờ giao dịch. Giá tốt . LH : A. Hoàng  :  0904.979.521",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810422.6183987,,
"5,9 tỷ VNĐ","Cần bán CHCC Eco Dream ngõ 300 Nguyễn Xiển, Tân Triều, Thanh Trì, 5,9 tỷ; 0389995279", 150m2,,,,,"Cần bán CHCC Eco Dream ngõ 300 Nguyễn Xiển, Tân Triều, Thanh Trì, 5,9 tỷ; 0389995279 - Dện tích: 150m2.- Tầng một (70m2), tầng 2 (80m2), nhà vuông không góc cạnh.- Căn hộ Duplex & Penthouse, tầng cao nhất toà EcoDream ngõ 300 Nguyễn Xiển, Thanh Xuân.- Đường trước nhà rộng 10m.- Căn hộ tiện nghi, mới đẹp đã trang bị nội thất cơ bản.- Sân thượng thông 2 toà nhà. Có khu vui chơi trẻ em, bể bơi, siêu thị... Đầy đủ và tiện nghi.- Khu vực đông dân cư, an ninh tốt. Gần chợ, trường học và nhiều tiện ích xung quanh... Thuận tiện giao thông đi lại. - Giá bán: 5,9 tỷ (bao phí môi giới).- Liên hệ Tùng: 0389995279       http://www.sanbatdongsanviet.com.vn",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810424.2909217,,
5 ngàn VNĐ,Đường Chiến Thắng phường Nguyễn Trãi, 45m2,, 4, 4, 4,"+ Thiết kế : Nhà 4 tầng, chủ đầu tư làm đẹp như mới, nội thất điện nước long lanh, phía sau là cơ quan nên thoáng, view bể bơi An ninh rất đẹp:  Tầng 1: Khách, bếp, wc  Tầng 2,3: Mỗi tầng 2 phòng, 1 wc  Tầng 4: phòng thờ, sân phơi.  SĐT: 0983996629. 
",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810425.44304, 3, 4
"6,3 tỷ VNĐ",đường cầu giấy, 60m2,, 4, 4, 4,"Bán nhà ngõ 68 Cầu GIấy DT 60m2 x 4 tầng mt 4,5m giá chào 6,3tỷ có thương lượng TT CẦU GIẤY - 3 MẶT THOÁNG - GẦN Ô TÔ - DIỆN TÍCH RỘNG - Ở SƯỚNG - VUÔNG VẮN - TIỆN ÍCH NGẬP TRÀN - GẦN QUẬN UỶ Mô tả: + Mặt ngõ 68 Cầu Giấy ô tô đua, kinh doanh cực kỳ sầm uốt, xung quang công năng tiện ích ngập tràn không thiếu thứ gì, giao thông thuận tiện. - Nhà xây từ tầng 1 khoảng 50m2. Xây để lại 10m2 là sân, khung cột cực kỳ chắc chắn, khách về sơn lại là mới tinh, lên thêm tầng thoải mái. + Thiết kế: - T1: Phòng khách + Bếp + Wc. - T2,3: Mỗi tầng 2 phòng ngủ + Wc. - T4: Phòng thờ + sân phơi + Sổ đỏ chính chủ, vuông vắn. + Chi Tiết Xin Liên Hệ Bùi Anh Thái. 1979 - 0987.862962.",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810426.747751, 2, 4
23 tỷ VNĐ,Đường Yên Hoa phường Yên Phụ, 50m2,, 5, 5, 5,"VŨ MIÊN - YÊN HOA – TÂY HỒ - MẶT PHỐ VIEW HỒ TÂY – 3 THOÁNG - VỈA HÈ – Ô TÔ TRÁNH – KINH DOANH ĐỈNH. - HOÀNG HƯNG - 0916.113.179 – BÁN NHÀ BẰNG SỰ TỬ TẾ. + Mặt phố VIEW Hồ Tây - HIẾM – KHÔNG CÓ CĂN THỨ 2, vị trí gần Phố Yên Hoa với Vũ Miên, Bán đảo làng Yên Phụ.  + Lô góc, 3 Thoáng, Mặt tiền rộng Phù hợp làm mặt bằng KINH DOANH CÁC LOẠI HÌNH, phía trên Ở kết hợp cho thuê căn hộ khai thác HomeStay thu dòng tiền ĐỈNH hàng tháng. + 3 THOÁNG VIEW HỒ CỰC ĐẸP, Thiết kế phong cách Châu Âu Hiện đại pha chút cổ kính dành cho Khách hàng muốn sở hữu vị trí Duy Nhất có 1 – 0 - 2. + Nhà thiết kế Thông Sàn, Thang máy, tổng 04 Phòng ngủ Master, Phòng Khách, Bếp…. Chủ nhà Vừa ở, vừa Kinh Doanh, vừa cho thuê mỗi phòng 10 triệu/tháng thu dòng tiền ổn định.  + Sổ đỏ chính chủ, sẵn sàng giao dịch.  + Giá bán: 23 tỷ ( có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí. - Hoàng Hưng 0916.113.179 – BÁN NHÀ BẰNG SỰ TỬ TẾ.  - Chuyên Nhà đất Tây Hồ, Hoàn Kiếm, Ba Đình.",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810428.2377641, 10, 5
"5,7 tỷ VNĐ",Đường Đê La Thành phường Kim Mã, 70m2,,,,," Lăng Bác, Hồ Hoàn kiếm… #bannhathaiha##bannhadongda# #bannhatrungliet##bannhathaithinh# ",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810431.9989245, 3,
4 tỷ VNĐ,Đường Phùng Hưng phường Phúc La, 50m2,, 1, 1, 2,"-Chủ mới mua về đập nhà cũ đi xây mới cực kỳ đẹp.-Sổ đỏ chính chủ, vuông đẹp, sẵn sàng giao dịch.",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810434.4751256, 4,
1 ngàn VNĐ,Đường  phường Yên Nghĩa, 39m2,, 4, 4, 3,"Vị trí ngõ nông giao thông thuận tiện gần tiện ích bạt ngàn gần chợ ,trường học các cấp…. Gần khu đô thị đô nghĩa,ĐH Phenikaađi ra lê văn lương và lê trọng tấn  Nhà xây 4T full nội thất khach mua chỉ việc về ở. Sổ đỏ chính chủ cất két sẵn sàng giao dịch. Lh em Trang 0976387052 chuyên thổ cư nhà đẹp ",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810435.6494095, 3, 4
7 tỷ VNĐ,Đường Lê Đức Thọ phường Mỹ Đình 1, 55m2,, 4, 6, 4,"
    +Bán gấp nhà xây mới đường Lê Đức Thọ, Mỹ Đình.- Nhà căn góc, ngập tràn ánh sáng. Vài bước ra phố.- Gần Trường học, Bệnh viện, Siêu thị, Bến xe, An sinh tuyệt vời.- Thiết kế hiện đại, công năng hợp lý. Thang máy nhập khẩu hiện đại, Đủ điều hòa, bình nóng lạnh.- Tầng 1: Thông sàn + thang máy, thang bộ, vệ sinh.- Tầng 2, 3, 4, 5: Thông sàn, vệ sinh.- Tầng 6: Phòng thờ, sân phơi.- Sổ đỏ chính chủ, Nhỉnh 7 Tỷ.+ Làm việc trực tiếp với chủ nhà về Giá. Miễn MG Trung Gian.* Liên hệ: Mr. Tuấn Anh: 0922.39.6368 (niềm nở, chân thành, uy tín, tận tâm).+ Cam kết: Miễn phí môi giới, thông tin chính xác, trung thực hỗ trợ nhanh gọn, thời gian xem nhà linh hoạt.
",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810436.8242736, 4, 5
"11,5 tỷ VNĐ",Đường Doãn Kế Thiện phường Mai Dịch, 65m2,, 5, 6, 6,"
    + Bán gấp nhà phố Doãn Kế Thiện 65m2 x 6 tầng, kinh doanh, vỉa hè, ô tô tránh, giá 11.9 tỷ.+ Vị trí đắc địa trung tâm Cầu Giấy, vỉa hè rộng, kinh doanh sầm uất, tiện ích bạt ngàn, an sinh đỉnh, đường trước nhà 2 ô tô tránh, giao thông di chuyển thuận tiện đường Hồ Tùng Mậu, đường Phạm Văn Đồng, đường Lê Đức Thọ, đường Phạm Hùng…Cách tổ hợp các trường Đại học lớn 500m+ Nhà  6 tầng chủ tự xây tỉ mỉ tâm huyết, thiết kế hiện đại, khung cột BT chắc chắn, nay chuyển công tác gia đình cần bán gấp, nhà có thể làm văn phòng, hiệu thuốc, spa, kinh doanh mọi hình thức.+ Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch nhanh.+ Liên hệ tôi: Dự 0982789984 để được xem nhà.( Miễn trung gian, quảng cáo ).
",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810438.0230656, 6, 5
