price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet,Hướng
"8,3 tỷ VNĐ",Cổ Nhuế, 68m2, 4, 6, 10,"CĂN HỘ DỊCH VỤ 6 TẦNG, 10 PHÒNG KHÉP KÍN, THOÁNG TRƯỚC SAU, ĐƯỜNG Ô TÔ TRÁNH, ĐẦU TƯ CHO THUÊ CỰC ĐỈNHS = 68m2, 6 tầng, giá 8.3 tỷ + Vị trí đắc địa, đường ô tô tránh, dừng đỗ ngày đêm, vai phút ra Phạm Văn Đồng, gần khu đô thị thành phố Giao Lưu, hưởng trọn mọi tiện ích của KĐT. + Khu vực nhu cầu thuê cực cao, gần nhiều trường ĐH như: ĐH Mỏ Địa Chất, ĐH Tài Chính Kế Toán, Học Viện Cảnh Sát, lúc nào cũng kín phòng. + Hiện có 10 phòng khép kín đã cho thuê doanh thu đạt 50triệu/tháng. Đặc biệt nhà còn cho thuê đặt cột thu phát sóng BTS mỗi tháng thêm được 10 triệu nữa. + Sổ đỏ chính chủ, nở hậu, giao dịch ngay. * Gọi ngay em Bình để được tư vấn và xem nhà miễn phí, không tiếp môi giới.",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816851.7348864,,,
"30,5 tỷ VNĐ",Đường 1 phường Phúc Đồng, 30m2, 3, 5, 3,"
    
-Bán nhà đẹp : 
",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816853.2408564, 4, 4,
11 tỷ VNĐ,Hà nội, 71m2, 4, 4, 4,"BÁN NHÀ PHỐ Đặng Thai Mai dt 71 m2 xd 4 tg mt 6.4m giá 11 tỷ Tây Hồ - Vị trí nhà đầu phố Đặng Thai Mai, 100m ra phố Xuân Diệu, xung quanh là rất nhiều các khách sạn cao cấp, khu vực toàn người nước ngoài thuê sinh sống khi làm việc tại Việt Nam.- Thiết kế độc đáo, tinh tế trong từng góc cạnh, nội thất sang trọng, công năng linh hoạt. Hiện tại, chủ đang bố trí:+ Tầng 1: Phòng khách, bếp, gara mô tô, wc.+ Tầng 2: Thông sàn, wc.+ Tầng 3: 2 Phòng ngủ, wc.+ Tầng 4: Phòng làm việc, đọc sách, phòng thờ, kho.+ Sân thượng view Hồ Tây.- Tiện ích: Ngập tràn, giao thông thuận lợi.- Pháp lý: Sổ đỏ chính chủL/h : 0903446991Để dc tư vấn trực tiếp nha Cảm ơn các bạn đã qtam",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816854.5741122, 4, 4,
2 tỷ VNĐ,Đường Phúc Lợi phường Phúc Lợi, 50m2, 4,,," Mô tả  + Chủ thêm hơn tỷ vào xây có nhà sang ở sướng, tiện ích toàn diện.",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816855.6911643,,,
"19,5 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 50m2, 32,,,"+ Hạ chào từ 2.5 tỷ vì cần bán gấp. + Phù hợp cho 1 căn biệt thự sân vườn đẳng cấp.  Mrs Thu Long Biên quản lý hơn 300 căn nhà, đất quận Long Biên cam kết có ngay nhà, đất phù hợp.",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816856.9547417,,,
38 tỷ VNĐ,"nguyễn văn cừ, long biên", 304m2, 12, 4, 5,"- tầm này thì kiếm đâu ra, đẳng cấp cho các anh chị giới thượng lưu đây rồi.🔥🔥🔥 BIỆT THỰ KIẾN TRÚC CỔ NẰM GIỮA TRUNG TÂM QUẬN LONG BIÊN - 3 Ô TÔ ĐỖ THOẢI MÁI - GIA CHỦ TẶNG LẠI NỘI THẤT NHẬP KHẨU CHÂU ÂU - SÂN VƯỜN - ĐẦU TƯ CÓ THỂ CHIA LÔ 6 CĂN THOẢI MÁI 💥💥💥.- mọi tiện ích của quận long biên, nguyễn văn cừ đều có, quanh bán kính 500m không thiếu bất cứ thứ gì, an linh , an sinh quanh nhà đỉnh cao của các anh chị giới thượng lưu.- với tổng DT 304M2- Thiết kế: 110m2 xây nhà, diện tích còn lại gia chủ làm sân vườn, tiểu cảnh. - Tầng 1: Phòng khách, phòng ăn, bếp, lò sưởi chuẩn chất châu âu.- Tầng 2: Một không gian làm việc rộng.- Tầng 3: Thiết kế 4 phòng ngủ rộng, wc.- Tầng 4: Có thêm 1 phòng ngủ, phòng thờ, sân phơi, tiểu cảnh.📒 Sổ đỏ nở hậu 1,2m2, săn sàng giao ngay** SSS ; 38 TỶ là giá chào để thương lượng ạ☎️ alo cho em 0845.790.555 đỗ hạnh 24/7 để xem nhà nhé",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816858.3191197,, 6, Nam
"4,05 tỷ VNĐ",Đường Láng Hạ phường Láng Thượng, 35m2, 4, 5, 3," Nhà Đẹp Ở Ngay  - Lô Góc - Nở Hậu - Ngõ Rộng Thoáng - Chủ Siêu Thiện Chí  -Sổ đỏ riêng biệt chính chủ vuông vắn -Nhà mới khách về ở Luôn Thiết kế : 5 Tầng KCBT chắc chắnMỗi Tầng 1 phòng, WC khép kínTổng 3 ngủ 4 WC. Tầng 5 Phòng thờ, sân phơi -Ngõ vào nhà rất rộng và thoáng sáng -Từ nhà ra Chợ chỉ 50m khu đầy đủ tiện ích Trường học các cấp , hàng quán không thiếu 1 cái gì -Khu vực cực kỳ an ninh , hàng xóm thì thân thiện nhà nhà quý nhau hơn anh em ruột thịt -Giao thông đi đâu cũng dễ dàng kết nối các phố như Láng, Nguyễn Chí Thanh,, Cầu Giấy,...... -Chủ thiện chí giá thương lượng  ",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816859.5502512, 3, 4,
"3,39 tỷ VNĐ",Nguyễn Văn Linh, 40m2,,,,"+ Nhà xây 3 tầng bê tông, móng chắc chắn đã tính xây thêm hai tầng nữa. mái tôn chống nóng  3 phòng ngủ, phòng khách, bếp và sân phơi rộng rãi. + Vị trí cách đường ô tô to 3 tránh 20 mét. Là trung tâm Thạch Bàn, gần trường, chợ, trạm y tế. +  Kiến trúc hiện đại, mua về chỉ việc xách va ly đến ở. Cần bán tặng lại toàn bộ nội thất 200 triệu cho khách.  + Sổ đỏ vuông đẹp. Pháp lý chuẩn. ",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816861.1577377,,,
"7,8 tỷ VNĐ","Cần bán gấp nhà 5 tầng DT 71m2 cực đẹp KTT Dược TW1 Đại Mỗ, NTL; 7,8 tỷ, 0916928386", 71m2,,,,"Cần bán gấp nhà 5 tầng DT 71m2 cực đẹp KTT Dược TW1 Đại Mỗ, NTL; 7,8 tỷ, 0916928386Chính chủ cần bán Nhà gấp : DT đất 71m2 , mặt tiền 3,6m. Pháp lý: sổ đỏ chính chủ, chính chủ pháp lý rõ ràng, sang tên trong 1 nốt nhạc.Căn Nhà đã xây dựng 5 tầng, mỗi tầng 2 phòng ngủ Wc khép kín.- DT xây dựng 350m2 , cửa , cầu thang làm toàn gỗ lim lào. Đường trước mặt 4m, phía sau là mặt đường đã cắm mốc GPMB đường 40m từ cầu Mỗ Lao đến ngã ba Biển Sắt phường Đại Mỗ - quận Nam Từ Liêm TP Hà Nội.- Vị trí khu TT Dược phẩm TW1 giáp với khu biệt thự của Vin ĐẠi Mỗ,tiếp giáp đường QL 70 và đường cầu Sa Đôi, 5 phút đến siêu thi BC, 3 phút đến siêu thị Aeon Hà Đông, cách Uỷ ban ND phường Đại Mỗ 200m , Đường đi từ QL70 vào là Ngõ 252 đi thông ra đầu cầu Sa Đôi và đường Quang Tiến và khu BT Vin Đại Mỗ.- Nhà vừa qua cho thuê làm nhà trẻ Hoa Anh Đào, có hình ảnh kèm theo.Xin trân trọng cảm ơnĐịa chỉ chi tiết: Đường Quốc lộ 70, đối diện UBND  Phường Đại Mỗ, Nam Từ Liêm, Hà Nội  - Giá Bán 7,8 tỷ, khách đến xem nhà cụ thể có thương lượng .- Liên hệ chính chủ: 0916928386       http://www.sanbatdongsanviet.com.vn",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816862.8428218,,,
"3,95 tỷ VNĐ",Tư Đình, 30m2,,,,"+ Vị trí nhà ngay cạnh công viên điều hoà, Trường cấp 1-2 Long Biên¸gần nhà Thờ cổ đi lễ rất gần, cùng rất nhiều tiện ích. Ô tô đỗ cổng. + Ngõ 129 Bát Khối ô tô phóng vèo vèo, thông sang Khu Công viên di chuyển tiện lợi. + Thiết kế:  + Tầng 1 phòng khách, bếp, wc. + Tầng 2: phòng khách. + Tầng 3,4: 1 ngủ rộng + wc. + Tầng 5: phòng thờ + sân cảnh. +Sổ đỏ chính chủ, giao dịch ngay",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816865.9355195,,,
