price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Hướng
19 tỷ VNĐ,"Đường Trần Quang Diệu, Ô Chợ Dừa, Đống Đa", 60m2, 6, 6, 6, 4,"
    Nhà phân lô ô tô tránh, 6 tầng thang máy, mặt tiền rộng 6m, kinh doanh. Trung tâm quận Đống Đa, cách vài bước chân ra vườn hoa 1/6, vườn hoa Trần Quang Diệu, hồ Hoàng Cầu chỉ cách nhà vài bước chân, hưởng thụ môi trường văn hóa, hạ tầng dân trí cao cùng thư giãn hàng ngày thể dục quanh hồ và vườn hoa mà nhiều người mơ ước.Sổ đỏ chính chủ, liên hệ Quang Huy ( không tiếp MG, trung gian).
",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789398.7297761,,
"4,7 tỷ VNĐ","Đường Quang Trung, quang trung, Hà Đông", 35m2, 5, 2, 5, 4,"
    
+ BÁN NHÀ CHÍNH CHỦ, LÔ GÓC , QUANG TRUNG HÀ ĐÔNG, NHÀ MỚI ĐẸP LONG LANH , 5 TẦNG 4,7 TỶ
+  Vị trí  nhà rất đẹp và thoáng, từ đường Quang Trung vào khoảng 60m chỉ 1 rẽ phải là đến nhà, ô tô đỗ cách nhà khoảng 25m.

+ Ngõ vào nhà rộng ba gác tránh xe máy thoải mái.
+ Cạnh ngay Trường Chuyên Nguyễn Huệ, khu phân lô ô tô chạy vòng quanh, đi lại rất thuận tiện.
+ Khu vực đang phát triển nhanh giá nhà đất tăng từng ngày.
+ Sổ đỏ vuông đẹp, sẵn sàng giao dịch.
( 100% thông tin hình ảnh thật nói k với tin ảo )
+ Thiện chí mua alo e.
",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789400.1659338, 3,
"6,9 tỷ VNĐ","Đường Trích Sài, Bưởi, Tây Hồ", 38m2, 4, 6, 3, 2,"
    
Bán nhà đẹp siêu hiếm 38m2 mặt tiền 4.2m 6.9tỷ ngõ ôtô phố Trích Sài Tây Hồ(1)

SIÊU HIẾM CẠNH HỒ TÂY - NGÕ THÔNG - Ô TÔ QUA NHÀ - KINH DOANH - BA BƯỚC RA HỒ TÂY - Ở SƯỚNG

+ Vị trí đẹp , ngay sát Hồ Tây lộng gió , ở rất vượng khí. Xung quanh dân trí cao , hàng xóm toàn quan chức người có tiền. 
Thiết kế: Nhà xây nhiều năm chủ xác định bán đất tặng nhà 3 tầng cũ ở vẫn tốt. Khách mua ở tạm hoặc đập đi xây toà 6-7 tầng thang máy GARA Ê TÔ ở cực sướng.
+ Tầng 1: Khách , bếp , vs
+ Tầng 2: 1Ngủ rộng , vs. 
+ Tầng 3: Phòng thờ (1ngủ), sân phơi.
- Ngõ trước nhà thông thoáng, kinh doanh nhỏ, ô tô đỗ được trong nhà.
 SỔ ĐỎ CHÍNH CHỦ , PHÁP LÝ CHUẨN . SẴN GIAO DỊCH NGAY.
Chú ý: Nhà đất cuối năm giao dịch cực nhanh xem ngay kẻo lỡ!
1. LH: A. Hoàng Anh 0934266313 (tư vấn, lọc nhà, xem nhà miễn phí)
2. Link kho nhà đẹp Quận Tây Hồ: https://www.facebook.com/372025316791911
3. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường.
",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789401.7925832, 2,
"7,1 tỷ VNĐ","Đường Nguyễn Trãi, Thượng Đình, Thanh Xuân", 131m2,, 4,, 2,"
    CẦN BÁN GẤP CĂN HỘ GÓC TẠI ROYAL CITY, NGUYỄN TRÃI VIEW TOÀN THÀNH PHỐ – RỘN RÀNG ĐÓN TẾT* Địa chỉ: 72A Nguyễn Trãi, Quận Thanh Xuân thủ đô Hà Nội.                                                                                                                                          ✔️ Diện tích: 131m2✔️ Giá: 7,1 tỷ= Thiết kế 2 ngủ 1 phòng đa năng, 2 nhà vệ sinh. = ROYAL CITY  với Tổng diện tích khu đất: 120.945 m2, được thiết kế với sự kết nối thông minh giữa các tổ hợp công trình chức năng với các công trình công cộng hỗn hợp rộng lớn theo lối kiến trúc sinh thái= Royal City Nguyễn Trãi cung cấp cho bạn những điều kiện tốt nhất cho một cuộc sống tiện nghi và hoàn hảo. Với tổ hợp gồm khách sạn cao cấp, văn phòng cho thuê, trung tâm thương mại, các khu nhà ở chung cư cao cấp và trường học, nhà trẻ mẫu giáo, vườn hoa cây xanh công viên cùng nhiều công trình đầu tiên và lớn nhất Việt Nam GIÁ THUÊ CĂN HỘ ROYAL CITY NGUYỄN TRÃI GIAO ĐỘNG NHƯ SAU+ Căn hộ 01 phòng ngủ (55 m2): Giá thuê từ $ 600 – $ 700 / tháng+ Căn hộ 2 phòng ngủ (82 – 109 m2): Giá từ $ 700 – $ 1100 / tháng+++ Bất động sản dòng tiền – đầu tư thông minh nhất hiện tại                                                                  == Giao dịch nhanh chóng, phù hợp cả đầu tư ngắn hạn và dài hạn.Hotline: 0934 631 333    -   liên hệ trực tiếp để có giá tốt nhất
",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789403.650613, 2,
"17,2 tỷ VNĐ","Đường Thụy Khuê, Thụy Khuê, Tây Hồ", 75m2,, 1, 5,," An sinh đỉnh, dân trí cao tiện ích không thiếu thứ gì Thông ra nhiều tuyến Phố Lạc Long quân,Nguyễn Đình Thi,Trích Sài,Trường Cấp 3 Chu Văn An,Di Chuyển Giao Cắt ra Đền Quán thánh,Hồ trúc Bạch,Đường Thanh Niên..... Chỉ vài chục bước chân ra Hồ Tây lộng gió thể dục rạo bộ hít Thở không Khí mát mẻ cảm giác thật yên bình đáng sống.Với Những Nhịp bước Không Gian Đáng Sống Bậc Nhất Thủ Đô. Thiết kế 5 tầng đầy đủ công năng Sổ đỏ vuông bánh trưng sẵn sàng giao dịch ",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789405.0598423,,
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2, 10,,,,"Đất nền Thanh Hoá - Chỉ từ 170tr/lôĐất nền Phú Thọ - Chỉ từ 300tr/lô
Đã có sổ theo từng lô - Full thổ cư
Hạ tầng hoàn thiện sẵn sàng ra hợp đồng và sang tên
https://batdongsanhungvuong.vnhttps://datnenthanhhoagiare.blogspot.com/HÙNG VƯƠNG GROUP hungvuonggroupLiên hệ ngay em Oanh: 0944646525
",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789406.6086984,,
,"Đường Tố Hữu, Dương Nội, Hà Đông", 90m2, 3, 5, 1, 3,"Chính chủ bán căn góc Anland Complex 90m2 tầng đẹp Tố Hữu, Hà Đông, Hà Nội. - Dự Án: Anland Complex (Anland Nam Cường) Đường Tố Hữu, Phường Dương Nội, Quận Hà Đông, Hà Nội. - Diện tích 90m² gồm 3 ngủ, 2 vệ sinh, 2 ban công thoáng mát. - Do chuyển công tác gia đình cần bán căn hộ Anland Complex Dương Nội, Hà Đông. - Vị trí cổng chào khu đô thị Dương Nội mới đường Tố Hữu ,Hà Đông - Thông tin như sau: + Nội thất để lại đồ gắn tường: Tủ bếp, bếp từ, điều hòa, hút mùi, tủ quần áo, kệ ti vi, bàn phấn, bàn ăn, bàn ghế sofa, rèm, giường. + Tiện ích đầy đủ siêu thị, trường mầm non, nhà hàng, trung tâm thương mại, khuôn viên chơi, kios, bể bơi, gym, spa,... - Giá 3,4x tỷ Có thương lượng. - Sổ đỏ chính chủ Liên hệ chính chủ: 0943472489",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789407.7965217, 2,
"5,7 tỷ VNĐ","Kim Chung, Hoài Đức ,Hà Nội", 46m2, 4, 8, 5, 8,"BÁN GẤP NHÀ ĐẤT PHỐ LAI XÁ, KIM CHUNG, HOÀI ĐỨC 46M, 5 TẦNG, 5,7 TỶ Mô tả: + Nhà là khu đất Dịch vụ của Cụm Công nghiệp Lại Xá, xung quanh dân cư mật độ cao và giao diện thông tin hình thành và phát triển mạnh vài bước chân ra đường quốc lộ 32. + Vị trí ngay sau Đại học Thành Đô, dưới chân tòa nhà chung cư Thành phố mới, toàn bộ tiện ích của khu. Gần siêu thị, trường học các cấp, bán kính 2km là KĐT Lideco, Hinode Royal Park, ĐH Công Nghiệp, Hateco Apollo vài phút ra cầu giấy, SVD Mỹ Đình… + Đường trước nhà ô tô, vỉa hè 1,2m. + Nhà xây mới 5 tầng, thiết kế tầng 2PN đầy đủ công năng. + Pháp lý: đẹp, chuẩn chỉ (Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).                Liên hệ: Nguyễn  Hiếu: 0987304786 ",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789409.450098, 6, Tây
"10,45 tỷ VNĐ",Chiến Thắng - Hà Đông, 50m2,,, 6,,"Bán nhà mặt phố Chiến Thắng, Hà Đông 50mx 6T kinh doanh hơn 10 tỷ Bán nhà mặt phố Chiến Thắng sầm uất bậc nhất Hà Đông cực hiếm nhà bán với 6 tầng rộng đẹp diện tích 50m , mặt tiền khủng , vỉa hè ô tô tránh bất chấp các loại hình kinh doanh. Bán kính xung quanh nhà nhiều trường đại học hội tụ như Học viện An ninh, Kiến trúc, Nhạc hoạ trung ương, Bưu chính viễn thông, Đại học Hà Nội,..nhiều toà nhà cao tầng văn phòng và các chung cư, phố xá luôn tấp nập ngày đêm. Giao thông thuận lợi giáp Trần Phú gần Lương Ngọc Quyến sang Phùng Khoang ra Nguyễn Trãi đối diện An Hoà vài bước ra Nguyễn Văn Lộc. Sổ vuông sẵn sàng giao dịch. Giá: 10.45 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Gặp trực tiếp chủ nhà.",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789410.6129873,,
"2,65 tỷ VNĐ",Hà Trì - Hà Đông, 47m2, 4,,,,"Bán đất Hà Trì, Hà Đông 47m, Mt 4.2m, cách mặt phố 15m nhỉnh 2 tỷ Chính chủ bán đất Thổ Hà Trì, Hà Đông cách mặt phố chỉ 15m, ngõ thoáng rộng, diện tích đẹp 47m, mặt tiền rộng hơn 4m xây nhà 5 tầng đẹp như hàng xóm, sổ vuông đẹp. Xung quanh nhà đầy đủ tiện ích gần trường chợ, ngân hàng, siêu thị, bệnh viện. Đầu tư sinh lời cao, vị trí đẹp độc không có mảnh thứ 2. Giao thông giáp Mậu Lương gần Xa La xuống Đa Sỹ cắt Tô Hiệu sang Bà Triệu ra Văn Quán hàng xóm Nhuệ Giang. Sổ vuông sẵn sàng giao dịch. Giá: 2.65 Tỷ ( gia lộc). Liên hệ : Huyền em gái chủ nhà ( 0363703491- 0965472910) .",07/11/2022,Tin thường,batdongsan_so_com_vn_1673789411.8915694,,
