price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
6 tỷ VNĐ,văn quán, 50m2, 5, 6, 4,"+ Bán nhà. Chiến Thắng, Hà Đông. Ô tô Kinh Doanh 50m2 x 5 tầng, Mặt tiền 4.8m. Giá 6 tỷ.  NHÀ MẶT PHỐ – KINH DOANH ĐA DẠNG – TIỆN ÍCH NGẬP TRÀN  + Nhà mặt phố Chiến Thắng, cách đường Trần Phú 30m. Nhà gần các trường đại học lớn như: Đại Học Kiến Trúc, Học Viện Bưu Chính Viễn Thông, Học Viện Mật Mã, gần bệnh viện, chợ đầu mối, siêu thị Bigc Hồ Gươm và các trung tâm thương mại lớn. + Giao thông ngả đi các hướng rất thuận tiện cho việc di chuyển. Khu vực dân trí cao, an ninh an toàn, rất phù hợp cho kinh doanh và sinh sống. + Nhà xây mới chất lượng còn rất tốt, không gian thông thoáng.                                                               + Thiết kế 5 tầng: - Tầng 1: phòng khách, bếp và wc - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ, WC giữa - Tầng 5: Phòng thờ, sân phơi   + Sổ đỏ chính chủ, sẵn sàng giao dịch.  LH: E KHÁNH: 0984568179",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823819.2431378,,,
"3,68 tỷ VNĐ","Xuân Phương, Nam Từ Liêm", 40m2, 5, 4, 5,"+ Bán nhà đẹp long lanh mới xây đường Xuân Phương, 5 tầng X 40m2, MT: 3.5m, 2 thoáng, thiết kế hiện đại.+ Tiện ích xung quanh bạt ngàn, khu vực an ninh tốt, hàng xóm thân tiện, chợ, trường Mầm Non, Tiểu Học, THCS, THPT bán kính 1 - 2km.+ Gần trường ĐH Công Nghiệp, gần với QL 32 và đường 70. Giao thông thuận tiện dễ dàng di chuyển Mỹ Đình, Hà Đông, Hoài Đức.+ Sổ đỏ cất két, sẵn sang giao dịch. + Cam kết ảnh thật 100%.+ Liên hệ Thu Trang để xem nhà: 0986520689 + Bán nhà đẹp long lanh mới xây đường Xuân Phương, 5 tầng X 40m2, MT: 3.5m, 2 thoáng, thiết kế hiện đại.+ Tiện ích xung quanh bạt ngàn, khu vực an ninh tốt, hàng xóm thân tiện, chợ, trường Mầm Non, Tiểu Học, THCS, THPT bán kính 1 - 2km.+ Gần trường ĐH Công Nghiệp, gần với QL 32 và đường 70. Giao thông thuận tiện dễ dàng di chuyển Mỹ Đình, Hà Đông, Hoài Đức.+ Sổ đỏ cất két, sẵn sang giao dịch. + Cam kết ảnh thật 100%.+ Liên hệ Thu Trang để xem nhà: 0986520689",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823820.8269038,,,
"5,25 tỷ VNĐ",Đường Trần Duy Hưng phường Trung Hòa, 50m2, 4, 1, 1,"
    BÁN NHÀ ĐẸP TRẦN DUY HƯNG 50m2 chỉ 5,25 tỷ - KINH DOANH CỰC ĐỈNH4 tầng Trần Duy Hưng 50m2 chỉ 5,25 tỷCHUYÊN TIN THẬT - TIẾT KIỆM THỜI GIAN - ĐÚNG NHU CẦUMô tả: + Nhà vị trí siêu đẹp, rộng, thoáng 2 mặt, tiện ích bạt ngàn, giá siêu hấp dẫn+ Sổ Đỏ chính chủ, có thương lượng, pháp lý chuẩn sẵn sàng giao dịch ngay.LH: Mr.Tiến - Thành thật tận tâm - Dẫn nhà thật - Tiết kiệm thời gianBên cạnh đó, còn vài chục căn nhà trên địa bàn quận và các tuyến phố lân cận với đa dạng phân khúc phù hợp với mong muốn của quý anh/chịChúc Quý anh/chị bình an và thật nhiều sức khoẻ!
",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823821.9169824, 4, 1,
"18,5 tỷ VNĐ",Hà Nội, 80m2,,,," - Vị trí cực đẹp, ngõ to rộng thoáng mát, hai ô tô tải tránh nhau thoải mái.Thông sang nhiều phố như Láng Hạ, Trường Chinh, Nguyễn Trãi, Hoàng Ngân, Vương Thừa Vũ, Hoàng Văn Thái, Nguyễn Thị Định... - Diện tích 80 m2, 7 tầng thang máy, cực hiếm.Nhà chủ tự xây còn rất mới, nội thất xịn, thiết kế khung cột chắc chắn, đẹp về ở luôn.Giá chào chỉ 18.5 tỷ vẫn còn thương lượng mạnh. - Sổ vuông chính chủ.Liên hệ ngay - 0366 555 258.",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823823.0180376,,,
"5,5 tỷ VNĐ","VƯƠNG THỪA VŨ, THANH XUÂN", 45m2,,,,"BÁN NHÀ VƯƠNG THỪA VŨ, THANH XUÂN, DT 45M2, 4 TẦNG, NGÕ THÔNG THOÁNG, KHU DÂN TRÍ CAO. + Thiết kế: Nhà 4 tầng, khung cột bê tông kiên cố, khu vực đầy đủ tiện ích, an ninh tốt và lối sống văn minh hiện đại. - Tầng 1: Phòng khách-bếp-vê sinh. - Tầng 2,3: Phòng ngủ-vệ sinh. - Tầng 4: Phòng thờ-sân phơi. + Sổ đỏ chính chủ, vuông đẹp, sang tên ngay. + Liên hệ em Thái tư vấn tận tâm-nâng tầm giá trị.",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823824.1340523,,,
"4,5 tỷ VNĐ","Khương ĐÌnh, Thanh Xuân", 39m2, 5, 3, 4,"PHÂN LÔ - Ô TÔ - LÔ GÓC, KHƯƠNG ĐÌNH - THANH XUÂN, 4.5 TỶ - Nhà phân lô cách mặt phố 50m, lô góc thoáng sáng, ô tô nhỏ đỗ cửa, chủ cũ xây tâm huyết, chỉ việc về ở. - Khu vực trung tâm, tiện ích đầy đủ, sát ủy ban phường và trường học các cấp. Bãi gửi xe đầu ngõ. - Thuận tiện di chuyển Nguyễn Trãi, Ngã Tư Sở, Nguyễn Xiển, Linh Đàm, Định Công ... - Sổ đỏ chính chủ giao dịch ngay, có thương lượng - Liên hệ: KS Phương - 0918120568",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823825.272007, 4,,
"15,5 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Gia Thụy, 110m2, 4, 4, 4,"+ Sổ đỏ chính chủ, giao dịch ngay. ",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823826.354202, 8, 4,
20 tỷ VNĐ,Hà Nội, 90m2,,,,"Bán nhà đường Nguyễn Tuân, kinh doanh không đối thủ.Diện tích 90m2, xây 6 tầng thang máy.Thiết kế đẹp, nội thất xịn, phù hợp vừa ở vừa kinh doanh hoặc cho thuê…Đường thông, vỉa hè to, ô tô tải tránh.Kết nối Nguyễn Trãi, Lê Văn Lương, Hoàng Ngân, Trường Chinh, Tô Vĩnh Diện, Nguyễn Viết Xuân, Nguyễn Ngọc Nại, Vương Thừa Vũ, Hoàng Văn Thái…Sổ đỏ chính chủ đẹp.Giá chào chỉ 20 tỷ thương lượng mạnhLiên hệ - 0366 555 258.",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823827.6058538,,,
73 tỷ VNĐ,Đường Khuất Duy Tiến phường Trung Hòa, 145m2, 8, 7, 1,"Tòa nhà văn phòng, Khuất Duy Tiến, Cầu Giấy, 145m2, 8 tầng, mặt tiển rộng, giá chỉ nhỉnh 73 tỷ Nhà thiết kế giành riêng cho toà nhà văn phòng với 1 tầng hầm và 8 tầng nổi thông sàn, điều hoà âm trần, thang máy nhập khẩu, cửa kính Việt Pháp xịn sò. Có đầy đủ bản vẽ thiết kế, thiết bị phòng cháy chữa cháy đạt chuẩn. ",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823828.7498348, 7, 25,
"2,6 tỷ VNĐ","Phúc Lợi, Long Biên", 30m2, 5,,," - Nhà nằm vị trí lô góc hai mặt thoáng, ngõ nông rộng rãi, Ô Tô cách 15M nhiều tiện ích xung quanh - Nhà Thiết kế 5 Tầng : + Tầng 1 : Để xe + PK + Bếp + Vệ Sinh + Tầng 2+3+4 : Mỗi Tầng 1 PN + Vệ sinh + Tầng 5 : P Thờ + Sân phơi - Sổ đỏ chính chủ sẵn sàng giao dịch, chủ nhà thiện chí bán ",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823830.1217437, 5,,
"7,1 tỷ VNĐ","Bán nhà số 28 ngách 26/1 tổ 6 đường Cầu Diễn, P. Phú Diễn, Bắc Từ Liêm, 7,1 tỷ, 0983297696", 62m2,,,,"Bán nhà số 28 ngách 26/1 tổ 6 đường Cầu Diễn, P. Phú Diễn, Bắc Từ Liêm, 7,1 tỷ, 0983297696  Diện tích trên bìa đỏ : 62m2; hướng Tây Bắc Nhà 4 tầng, 1 tum , mặt tiền gần 8m, tầng 1 có chỗ để ô tô , có phòng bếp , từ đường 32 vào cửa nhà khoảng 150m . Mặt ngõ ô tô tải đi được Khu an ninh tốt, giao thông thuận tiện, dân trí cao Gần trường, gần chợ, gần các tiện ích xung quanh  Giá: 7,1 tỷ Liên hệ chính chủ: 0983297696      http://www.sanbatdongsanviet.com.vn",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823831.358856,,,
15 tỷ VNĐ,Hà Nội, 76m2,,,,"Bán nhà Hoàng Văn Thái, khu phân lô quân đội cực hiếm.Diện tích 76 m2, 7 tầng thang máy, đường trước nhà ô tô tải tránh.Chủ nhà xây cực kỳ tâm huyết, thuê thiết kế đẹp, tận dụng được mọi không gian trong ngôi nhà.Nhà trang bị toàn bộ thiết bị nội thất đẳng cấp. - Tầng 1: Gara ô tô 7 chỗ, bếp, phòng ăn. - Tầng 2: Nhiều phòng VIP, wc. - Tầng 7: Phòng thờ, sân phơi, trồng cây, sân ăn đồ nướng, thưởng trà.Giao thông kết nối Vương Thừa Vũ, Lê trọng Tấn, Nguyễn Ngọc Nại, Nguyễn Trãi, Nguyễn Viết Xuân, Tô Vĩnh Diện, Cù Chính Lan, Trường Chinh, Tôn Thất Tùng…Sổ đỏ pháp lý chuẩn sẵn sàng giao dịch.Giá chào bán chỉ 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay Bình để biết thêm thông tin chi tiết - 0856 968 656.",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823832.4130344,,,
19 tỷ VNĐ,Hà Nội, 82m2,,,,"Bán nhà Nguyễn Viết Xuân, kinh doanh đỉnh.Khu phân lô quân đội, đường 2 ô tô tải tránh, ngõ thông kinh doanh tốt.Kết nối Hoàng Văn Thái, Cù Chính Lan, Nguyễn Ngọc Nại, Trường Chinh, Tôn Thất Tùng, Vương Thừa Vũ, Nguyễn Trãi…Diện tích 82m2, 6 tầng thang máy. Sổ đỏ chính chủ.Giá chào chỉ 19 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ xem nhà Mr. Bình (miễn trung gian) - 0856 968 656.",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823833.4442756,,,
"23,9 tỷ VNĐ","Khuất Duy Tiến, Thanh Xuân, Hà Nội", 75m2, 6, 4, 5,"THANH XUÂN – LIỀN KỀ ĐẲNG CẤP KHUẤT DUY TIẾN - LÊ VĂN LƯƠNG – NHÀ DÁT VÀNG –THÔNG SỐ VÀNG – VỊ TRÍ ĐẮC ĐỊA – LH 0363848024 .Mô tả : (Hình ảnh thông tin chuẩn 100%)-  Vị trí đắc địa , gần ngã tư Lê Văn Lương - Khuất Duy Tiến , ngõ 3 ô tô tránh . - Tiếp giáp C khu đô thị Trung Hoà – Cầu Giấy  , đường vành đai 3, giao thông vô cùng thuận tiện …- Full tiện ích, trước nhà 3 ô tô tránh, đỗ 2 xe trước nhà thoải mái không mất phí gửi , bảo vệ 24/24.- Thiết kế phong cách Châu Âu, nội thất nhập khẩu trị giá hàng tỷ đồng. -  Thiết kế : Diện tích 75m2 , 6 tầng , mặt tiền 5.2m,  thang máy nhập khẩu.+ Tầng 1 : Phòng khách siêu hoàng tráng + WC+ Tầng 2.3 : Mỗi tầng  2 phòng ngủ Master. + Tầng 4 : 2 phòng ngủ khép kín. + Tầng 5 : Bếp + phòng ăn + Tầng 6 : Phòng thờ , sân vườn , khu trồng rau..- Sổ đỏ chính chủ - pháp lý rõ ràng - sẵn sàng giao dịch .=>> Liên hệ ngay em Đức : 0363848024 để xem nhà .    ",22/05/2022,Tin thường,batdongsan_so_com_vn_1673823834.6959333, 5, 10, Đông bắc
