price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
10 tỷ VNĐ,Trưng Nhị- Hà Đông, 60m2, 5,"Mặt phố Trưng Nhị, Hà Đông 60mx5 tầng kinh doanh vỉa hè ô tô chỉ 10 tỷ Nhà bán chính chủ mặt phố Trưng Nhị, Hà Đông thông số lý tưởng 60m với 5 tầng rộng đẹp, có vỉa hè ô tô tránh phù hợp nhiều loại hình kinh doanh cho dòng tiền ổn định. Khu vực dân cư đông đúc mặt phố thông phố xá tấp nập ngày đêm gần trường chợ, bệnh viện, bến xe, tàu điện trên cao, bưu điện, khu vực gần các trường đại học lớn trung tâm kinh tế- chính trị của Quận. Giao thông thuận lợi giáp Lê Lợi gần Nguyễn Trãi thông ra Nhuệ Giang sang Bà Triệu cắt Tô hiệu ra Hoàng Hoa Thám gần Văn Quán vài bước ra Quang Trung. Sổ vuông sẵn sàng giao dịch. Giá: 10 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792322.3184798,,,,
"5,5 tỷ VNĐ","Khâm Thiên, Đống Đa, Hà Nội", 45m2, 5,"- NHÀ GIÁ TỐT- TIỆN ÍCH XUNG QUANH - NGÕ THÔNG GẦN PHỐ- Mô tả chi tiết căn nhà:+ Tầng 1: Khách, bếp, 1 vệ sinh+ Tầng 2,3,4: Tổng 5 phòng ngủ, 3 vệ sinh.+ Tầng 5: Phòng thờ, sân phơi.- Nhà đẹp ở ngay 2 thoáng,nhà mặt tiền lớn, 5 tầng đều có ban công cửa sổ.- Căn nhà nằm tại khu liền kề, dân cư sinh sống chủ yếu là người già, an sinh tốt- Nhà vị trí đẹp ngõ SH quay đầu thoải mái, 40m ra Tôn Đức Thắng, chưa đầy 100m ra Khâm Thiên. 1 phút di chuyển tới ngã 5 Ô Chợ Dừa.+ Sổ đỏ chính chủ. Sẵn sàng giao dịch.+ Giá 5.5tỷ (thương lượng trực tiếp).+ Liên hệ xem nhà A.Bình 0922818727.",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792323.6499555, 4, 5, 5,
"5,6 tỷ VNĐ",Đường Láng Hạ phường Thành Công, 40m2, 6,"Cần bán gấp nhà Láng Hạ Ba Đình ngõ thông ra La Thành, Thành Công, Nguyên Hồng... Trước nhà sân rộng đỗ xe thoải mái, khu trung tâm ngay cạnh khách sạn Fortuna, chợ, trường học, sân chơi, gần công viên hồ Thành Công.  Nhà 6 tầng 8 phòng ngủ, lô góc mặt tiền rộng, cho thuê trọ full phòng. Có thể vừa ở vừa kinh doanh cũng rất tiện lợi.  Giá bán nhanh để trả nợ  +Liên hệ Nguyên 79 để xem ngay 0975648579  -GỌI NGAY TRƯỚC KHI NHÀ BAY-",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792324.625349, 6, 8,, 3
"39,5 tỷ VNĐ",Thiên Hiền Nam Từ Liêm Hà Nội, 100m2, 9,"- Diện tích 100m2 X9 Tầng. Mt 16m  Giá 39.5 tỷ ( ctl )  - Vị trí cực đẹp cách mặt phố Thiên Hiền 20m, 2 mặt ngõ ô tô tránh, ô tô dừng, đỗ. - Thiết kế 1 hầm 8 nổi thông sàn kinh doanh!  - Giao thông kết nối: Mỹ Đình, Đình Thôn, Phạm Hùng,  - Sổ đỏ chính chủ, pháp lý chuẩn.  Liên hệ em Quân để được tư vấn.  0385 94 1802 ",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792325.6097145, 16, 9, 9,
8 tỷ VNĐ,Đường Trường Chinh phường Phương Liên, 45m2, 4,"Phố Lương Đình Của khu trung tâm thông ra Phạm Ngọc Thạch, Phương Mai, khu vực kinh doanh sầm uất, gần BV Bạch Mai, BV Việt Pháp....( Tổng 4 phòng ngủ).- Liên hệ Mrs Hiền 097.2168.342 ( MIỄN PHÍ 100% Xem, kiểm tra Quy hoạch, Pháp lý, Vay vốn ngân hàng, Mua và sang tên Sổ đỏ,…)",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792326.7037942,,,, 9
"3,28 tỷ VNĐ",Đường Lĩnh Nam phường Lĩnh Nam, 32m2, 5,"+ Nhà nằm trong ngõ 467 Lĩnh Nam ô tô tránh nhau, ngõ to hơn phố, thông thoáng đi đâu cũng tiện, trước nhà  sạch mát. Tiện ích khu vực đầy đủ. gần bãi xe ô tô, trường học các cấp. Nhà thoáng, sách sẽ. Nhà thiết kế 5 tầng, 3 ngủ đầy đủ công năng. +  Sổ vuông vắn chính chủ.",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792327.8238232, 3, 3, 4, 4
"14,5 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 50m2, 8,,26/10/2022,Tin thường,batdongsan_so_com_vn_1673792329.0226305, 4, 9, 10, 1
"10,5 tỷ VNĐ","Vĩnh Hồ, Đống Đa, Hà Nội", 50m2, 5,"- Nhà giá tốt - Tiện ích xung quanh - ngõ rộng thông mặt phố- Mô tả chi tiết căn nhà:Tầng 1: phòng khách + bếp + vệ sinhTầng 2,3,4: mỗi tầng chìa 2 phòng : phòng ngủ + vệ sinhTầng 5 phòng thờ + sân phơi- Nhà thiết kế xây 5 tầng chắc chắn mỗi tầng 2 phòng ,diện tích trên sổ là 50m nhưng trên thực tế được xây dựng trên 68m2 .- Căn nhà nằm tại khu liền kề, dân cư sinh sống chủ yếu là người già, an sinh tốt- Ngõ trước nhà rộng, thoáng, thông ra P.Tây Sơn(70m) và Ng.Thịnh Quang khoảng 70m.- Nhà 10m ra chợ Vĩnh Hồ , xung quanh nhiều quán ăn, cafe, nhà gần nhiều hồ, có tập thể bộ công an nên đảm bảo an ninh, có nhiều cửa hàng kinh doanh.- Nhà 200M ra trường THPT Quang Trung Đống ĐA, 80m ra siêu thị Fujimarrt Tây Sơn và rất nhiều bệnh viên, phòng khám xung quanh bán kính 500m.+ Sổ đỏ chính chủ. Sẵn sàng giao dịch.+ Giá 10.5tỷ (thương lượng trực tiếp).",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792330.4976842, 5, 3, 4,
"10,8 tỷ VNĐ",Đường Khuất Duy Tiến phường Nhân Chính, 63m2, 6,"- Giá 10.8 tỉ còn thương lượng Miễn trung gian, môi giới và báo mạng làm phiền.",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792331.5099769, 5, 6, 5, 5
4 tỷ VNĐ,Ngô Quyền, 30m2, 5,"LÔ GÓC Ô TÔ VÀO NHÀ - NGÔ QUYỀN – HÀ ĐÔNG 30m2x 5 tầng giá 4 tỷ. ✅ Thông số: DT 30m2 nhà 5 tầng lô góc ô tô vào thẳng cửa, giá 4 tỷ. ✅ Vị trí trung tâm Hà Đông, giao thông thuận lợi, tiện ích ngập tràn. Hàng xóm thân thiện, an ninh tốt. ✅ Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán.  ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ).  + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn… Xin cám ơn quý khách đã xem bài đăng!",26/10/2022,Tin thường,batdongsan_so_com_vn_1673792332.5541823, 5, 4, 4,
