price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
"3,26 tỷ VNĐ",Đường Bát Khối phường Long Biên, 39m2, 2, 5, 3, 4,"- Rất gần các tiện ích xung quanh như: chợ tư đình, - Giá 3.7 tỷ (chủ nhà rất thiện trí bán-có thương lượng) ",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801625.5662124,,
6 tỷ VNĐ,"ngõ 171/3/2 Thái Hà, Láng Hạ, Đống Đa, Hà Nội.", 51m2,,,,,"Chính chủ bán 51m x 3tầng cũ khu đối diện rạp phim quốc gia ngõ 171 Thái Hà Chuẩn đất cán bộ phân cấp quy hoạch ổn định,dân trí cao,nhiều tiện ích.ra phố 80m.có 2 thoáng ,sân chung trước nhà.xây mới camry để đêm trong nhà được.đất méo 118/1m (6tỷ) bao tên ra lộc ,rẻ hơn đất vuông trong khu ít nhất 16tr/1m.phù hợp khách cần thiết thực hơn hình thức Đ/c ngõ 171/3/2 Thái Hà, Láng Hạ, Đống Đa, Hà Nội. Số chủ nhà: 0967.391.726",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801627.2277672,,
"24,9 tỷ VNĐ",Đường Tố Hữu phường La Khê, 185m2, 1, 4, 4, 4,"
    *Mô tả:- Nhà thuộc khu đô thị Văn khê, trục chính sáng nhất dự án KĐT,  xung quanh tiện ích ngập tràn, không thiếu thứ gì, mặt đối diện trường Quốc tế, Đường trước nhà 20m, Kinh doanh 24/7, thông sang KĐT Vạn phúc, Him lam, Galaxy, gần Tố hữu, KĐT Dương nội, An Hưng, Aone mall…- Sổ lô góc đẹp không lỗi lầm-Liên hệ: Em Trà 0983831788Hỗ trợ ngân hàng, pháp lý, xem nhà hoàn toàn miễn phí",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801628.6310127, 26,
"19,5 tỷ VNĐ",128 Dương Quảng Hàm - Cầu Giấy, 98m2,, 4, 4, 4,"MẶT PHỐ  DƯƠNG QUẢNG HÀM - CẦU GIẤY, 4 TẦNG 98M2, 19.5 TỶ + Mặt phố kinh doanh sầm uất ngày đêm. Nhà cũ xác định bán đất, sổ nở hậu đẹp, hàng xóm mới xây 7 tầng chờ quy hoạch mở rộng mặt phố, tương lai cực giá trị. + Khu vực trung tâm quận Cầu Giấy, tuyến đường nối thông đường Cầu Giấy và Nguyễn Khánh Toàn, nằm ngay sát Đại học Thủ đô Hà Nội, kinh doanh đa dạng. + Thiết kế: - Tầng1: Kinh doanh. - Tầng 2,3: Mỗi tầng 2 phòng ngủ. - Tầng 4: Phòng thờ, sân phơi. + Sổ đỏ nở hậu, sẵn sàng giao dịch. Liên hệ: K.S Phương – 0918120568 để được tư vấn về ngôi nhà và gặp chủ đàm phán trực tiếp",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801629.7998853, 4,
"6,1 tỷ VNĐ",Đường Phú Diễn phường Phú Diễn, 93m2,,,,,"+ Đầu tư bền vũng lâu dài sinh lời lớn, xây CCMN, nhà trọ SV, căn hộ, nhà nghỉ... + Khu vực dân trí cao, an ninh cực kỳ tốt. ",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801630.9587855, 7,
15 tỷ VNĐ,Đường Nguyễn Thị Định phường Trung Hòa, 75m2, 10,,,,,15/09/2022,Tin thường,batdongsan_so_com_vn_1673801632.126661,,
866 triệu VNĐ,long biên hà nội, 80m2, 6,,,,"🎁Mở bán siêu phẩm khu dân cư mới. Hỗ trợ khách hàng mua bán trả góp 0 % lãi suất, chia làm 6 lần thanh toán. Cơ hội đầu tư có tại Ân Thi- Hưng Yên💎Ưu đãi cực hấp dẫn : 👉Nhận ngay ưu đãi lên tới 6% khi mua từ 2 sản phẩm.📕Sổ đỏ lâu dài, hạ tầng đồng bộ 🔑Diện tích giao động từ 70- 90m🔑Đường nội khu trải nhựa  5- 7m.🔑Vị trí nằm gần quốc lộ 38, cạnh nút giao cao tốc Hà Nội - Hải Phòng. 🔑Cạnh quy hoạch khu đô thị rộng hơn 200 héc ta🔑Nằm sát quy hoạch đường: Tân Phúc- võng phan lưu thông qua các khu công nghiệp 🔑Cách trường học cấp 1, 2 ,3 trong phạm vi 3 phút di chuyển.🍀Nằm trong vùng quy hoạch hàng nghìn héc ta khu công nghiệp  Bắc Sơn, Bãi Sậy, Tân Phúc, Hoàng Hoa Thám, Quang Vinh, Văn Nhuệ",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801633.3534467, 5,
"4,7 tỷ VNĐ",Ngõ 92 Hoàng văn thụ, 114m2,,,,,"Feliz Homes.* Dự án có vị trí đắc địa tại 2 tuyến đường Hoàng Mai đường Mai Động, quận Hoàng Mai, Feliz Homes Hà Nội. Với các mặt tiếp giáp như sau:- Hướng Tây Bắc, Đông Bắc: Tiếp giáp đường 279 Hoàng Mai.- Hướng Đông Nam: Tiếp giáp khu dân cư, đường 92 Mai Động.- Hướng Tây Nam: Tiếp giáp khu dân cư, đường nội khu.* Với vị thế ngay trung tâm quận, cư dân tại dự án không mất nhiều thời gian để tiếp cận các chuỗi tiện ích xung quanh đã hiện hữu như:Chỉ mất 5 10 di chuyển vào trung tâm Hà Nội.- Trung tâm thương mại, siêu thị: TTTM Go, PiCo Nguyễn Trãi, Royal City; chợ Hoàng Mai, Trương Định.- Gần bệnh viện lớn: Bệnh viện Bạch Mai, Thanh Nhàn, Đại học Y.- Gần một số đại học lớn: ĐH Bách Khoa, Kinh tế Quốc dân, Học viện Ngân hàng, Đại học Y, Đại học Thuỷ Lợi, Công Đoàn.- Gần 1 số trường học: Tiểu học Đền Lừ (600 m), THCS Tân Mai (200 m), THPT Trương Định (700 m).- Gần một số bến xe: Bến xe Giáp Bát, bến xe Nước Ngầm.Gần công viên: Công viên hồ Đền Lừ, công viên Thống Nhất, công viên Linh Đàm, công viên Định Công.------------------------Giá bán.Đối với những căn hộ 1 phòng ngủ với mức giá từ: 1.9 tỷ.Đối với những căn hộ 2 phòng ngủ với mức giá từ: 2.7 tỷ.Đối với những căn hộ 3 phòng ngủ với mức giá từ: 3.7 tỷ.(Giá bán đã bao gồm: VAT và nội thất cao cấp kèm theo).Liên hệ: 0943695459 để nhận báo giá chi tiêt.https://khoduan.vn/chung-cu-feliz-homes/-----------------------------Chính sách bán hàng.1. Chính sách ngân hàng:Hỗ trợ vay vốn 75% GTCH lãi suất 0% trong vòng 18 tháng hoặc đến khi bàn giao nhà.Ân hạn nợ gốc trong 18 tháng hoặc đến khi bàn giao nhà.3. Chính sách dành cho khách hàng không sử dụng gói HTLS ngân hàng.Hỗ trợ 2% kinh phí bảo trì.Tặng 1 năm phí dịch vụ quản lý.Liên hệ để nhận bảng giá chi tiết và khuyến mại: 0943.69.5459https://khoduan.vn/chung-cu-feliz-homes/",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801634.440537,,
"8,5 tỷ VNĐ",Đường Phú Mỹ phường Mỹ Đình 2, 41m2, 20, 3, 3,," + Thiết kế nhà 5 tầng theo phong cách hiện đại mỗi tầng một phòng ngủ nội thất cơ bản bao gồm toàn bộ thiết bị gắn tường + Tầng 1 để xe phòng khách +bếp +  để được mua nhà như ý miễn trung gian 377 , 
",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801635.8078864, 5,
1 tỷ VNĐ,Đường Khâm Thiên phường Trung Phụng, 35m2, 3, 3, 2, 3,"Chính chủ bán nhà Khâm Thiên, Đống Đa 35m2 x 3T, MT 4m nhỉnh 1 tỷ. + Nhà rộng thoáng, cách mặt phố vài bước chân, kinh doanh online tuyệt vời, gần chợ dân sinh, ga Hà Nội, công viên Thống Nhất, Vincom Phạm Ngọc Thạch.+ Nhà xây kiên cố, khung cột bê tông chắc chắn, các tầng đều có vệ sinh khép kín.+ Sổ đỏ vuông vắn, đẹp, chính chủ, sẵn sàng giao dịch bất cứ khi nào.+ Liên hệ: Phú Khang, 0966037496 (Kho hàng phong phú đa dạng)Zalo: 0966037496",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801637.0406241, 4,
