price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
,kim hoa- mê linh- hà nội, 120m2,"✅ Bán đất đấu giá- Trục đường đôi Ngô miễn.✅ Bán 120m2- Mtien 6mKhu đấu giá: Ngọc trì- Kim Hoa- Mê Linh- Hà Nội✅ Đất vuông- đẹp——Vỉa hè 5mSát đường vành đai 4 quy hoạch rộng 120mGần KĐT chi đông, Khu CN Quang minh, THPT Quang minh….✅ Giá #Nhỉnh_5_TỶLH: 0989-726-892 Em PhượngBDS hud me linhThổ cư mê linhĐất đấu giá mê linh....",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807627.3851793,,,,,,
90 triệu VNĐ/m2,"Tây Mỗ, Nam Từ Liêm, Hà Nội", 82m2,"Chính Chủ gửi Bán Nhà Tây Mỗ. Nam Từ Liêm. Sát KĐT Vinsmat City. - Vị trí. TDP Dộc, Phường Tây Mỗ. Quận Nam Từ Liêm. - Diện tích. 82m2 - Sẵn nhà 5.5 tầng đang cho thuê 15tr/ tháng. - Đường Nhựa trước nhà, ô tô vào tận nhà luôn. - Cách KĐT Vinsmart City 150m. - Cách cầu vượt Tây Mỗ 250m. - Cách ĐL Thăng Long 300m - Cách BigC Thăng Long. Trung Tâm TP Hà Nội chỉ 5km. - Nằm trong lòng các KĐT như: KĐT Vinsmart City. KĐT Xuân Phương. KĐT Bắc- Nam An Khánh. KĐT Speldona An Khánh. Thiên Đường Bảo Sơn.... - Xung quanh đầy đủ trường trường cấp 1.2.3. Cao Đẳng. Đại Học ạ. - Thuận tiện mua ở, đầu tư, kinh doanh cho thuê có lợi nhuận dòng tốt.. - Hotline xem nhà Mr Thành 0967205590",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807628.8981323, Đông, 4, 5, 4, 4,
"3,5 tỷ VNĐ","hoàng mai , hà nội", 47m2,"4+Cách 15 ra đường oto tránh, 25m ra đường Giải Phóng, giáp Trương Định, Tân Mai.+ Sổ đỏ chính chủ đảm bảo pháp lí, sẵn sàng giao dịch0346363362 : Phú Gia chuyên nhà phố Hà Nội.-kho hàng phong phú đa dạng trên địa bàn-hỗ trợ khách hàng sang tên ,công chứng, hỗ trợ vay vốn ngân hàng …Trân trọng!",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807630.1029088,,,,,,
"31,5 tỷ VNĐ",Quận Cầu Giấy, 82m2,"TRUNG KÍNH PHÂN LÔ Ô TÔ TRÁNH, VỈA HÈ , KINH DOANH. GIÁ.31.5TỶ 0962745289+Vị trí ĐẸP, DT. 82M2, MẶT TIỀN 5M.THANG MÁY. 20m ra phố TRUNG KÍNH to 2 làn đường. Nhà nằm trong khu phân lô ô tô tránh, vỉa hè, ô tô vào nhà, khu vực hiếm nhà bán.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+ Phố thông nhiều tuyến phố chính nội đô. Cầu Giấy- Dương Đình Nghệ- Phạm Hàm- Trung Yên….+Nhà xây tầng thông sàn KINH DOANH cực kỳ chắc chắn tâm huyết đầy đủ công năng sử dụng, dân trí cao, an ninh tốt, tiện ích vây quanh, quy hoạch ổn định, gần nhiều trường học các cấp..v..v..+ Sổ đỏ vuông vức chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807631.3316212,,,,,,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2,"Hiện nay chúng tôi đang phân phối quỹ căn hộ Imperia Smart City với đa dạng các loại diện tích: Studio - 1PN - 2PN - 3PN và tầng, hướng, view công viên hồ trung tâm đẹp nhất dự án (đặc biệt có căn vip giá độc quyền đã bán hết trên bảng hàng chúng tôi đều có) với chính sách ưu đãi khủng: - Thanh toán 10% ký ngay hợp đồng mua bán. - Tặng tiền mặt lên đến 65 triệu/căn hộ. - Bốc thăm trúng 1,5 cây vàng SJC - có ngay 100 triệu. - Chiết khấu 19% khi thanh toán sớm. - Chiết khấu 10% khi thanh toán theo tiến độ thường. - Hỗ trợ vay lên đến 70 - 80% giá trị căn hộ. - Vay vốn lãi suất 0% trong 24 tháng. - Miễn phí dịch vụ trong 5 năm. Hotline: 0987808686. Thông tin dự án Imperia Smart City: - Chủ đầu tư: Công ty cổ phần HBI. - Chiều cao: 38 - 39 tầng. - Diện tích: Từ 28.3m2 đến 75.6m2. - Dự kiến bàn giao: T9.2023 - T5.2024. Tiện ích dự án: - Một bước chân tới ngay công viên hồ trung tâm 10.2 ha. - Gần sát nhà để xe 10 tầng đáp ứng nhu cầu của cư dân mà các phân khu khác chưa làm được. - Cạnh trường học VinSchool đã đi vào hoạt động. - Gần các tuyến ga metro số 5,6,7 dễ dàng di chuyển các khu vực trong và ngoài thành phố. - Gần trung tâm thương mại Vincom Mega Mall. - Tham quan vườn nhật lớn nhất Đông Nam Á hàng ngày mà không mất bất kỳ khoản phí nào. - Bể bơi hơn 1000m2 ngay chân tòa nhà. - Tổ hợp 15 công viên thể thao ngay trước mặt dự án. - Cư dân Imperia được hưởng tất cả quyền lợi của cư dân Vinhomes và được hưởng thêm quyền lợi riêng của CĐT. Liên hệ tư vấn, nhận bảng giá và chính sách mới nhất:0987808686",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807633.025164,,, 10, 1, 1,
"6,915 tỷ VNĐ",Đường Tây Bầu phường Kim Chung, 91m2,"SIÊU PHẨM ĐẤT KINH DOANH TRỤC CHÍNH TÂY BẦU 91m giá chỉ 7xtr- MT = MH 6m có thể chia đôi đccó thể kinh doanh nhà nghỉ hay cho thuê- Đường trước đất 7m , vỉa hè 2 bên , ngõ thông tứ phía- Xung quanh đang kinh doanh sầm uất- Cách KCN Bắc Thăng Long Cổng A 300m- Gần Trường học và Bệnh viện , Chợ- Mảnh đất nằm ở vị trí đắc địa dân cư đông đúc giao thông thuận tiện an ninh an toàn rất phù hợp để đầu tư☎️Anh chị qtam alo e theo sđt  để xem đất và chốt cọc",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807638.739342,, 6,,,,
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2,"*SIÊU PHẨM - CHUNG CƯ HƯNG THỊNH TẠI LINH ĐÀM CHUẨN BỊ MỞ BÁN ️ Hanoi Melody Residences - Hưng Thịnh Tây Linh Đàm *Vị Trí Đắc Địa: tại trung tâm bán đảo Linh Đàm, dễ dàng kết nối nhiều trục đường huyết mạch *50 Suất trực tiếp từ CĐT - Giá gốc *1OO% căn hộ có 2 Logia đón nắng gió và ánh sáng tự nhiên. *Gồm 29 tầng nổi, 3 tầng hầm để xe. Tầng 1&2 là shophouse. Căn hộ ở từ tầng 3-29. Mỗi block 8 đến 12 căn hộ với 15 thang máy, có thang vận chuyển rác riêng *Mật độ ""Siêu Thoáng"". *Hỗ trợ vay đến 70% giá trị căn hộ *Pháp lý: minh bạch, sở hữu lâu dài. —-------------------------  *VỊ TRÍ VÀNG - 4 MẶT TIỀN TRUNG TÂM T.P HÀ NỘI: Chung cư hiếm hoi sở hữu vị trí trung tâm - Kết nối hoàn hảo các điểm tiện ích đắt giá nội thành Hà nội: *Cách bệnh viện Bạch Mai chỉ 20 phút đi xe. *Cách bến xe Giáp Bát chỉ 15 phút đi xe. *Cách bến xe Nước Ngầm chỉ 10 phút đi xe. *Cách trường Tiểu học Chu Văn An chỉ 2 phút đi bộ. *Cách chợ Đại Thanh, chợ Linh Đàm - 500m *TỔNG QUAN VỀ DỰ ÁN: - Chủ đầu tư uy tín: Hưng Thịnh - Phát triển dự án: Hưng Thịnh Corporation - Diện tích: 3.28 ha ( gồm 4 block căn hộ) - Quy mô: 29 tầng - Giao nhà: Dự kiến Quý 1/2024 *THIẾT KẾ THÔNG MINH - HƯỞNG TRỌN TIỆN ÍCH HIỆN ĐẠI Không gian linh hoạt: 68m2; 76m2; 82m2; 98m2; 121m²; 147m² (2-3 𝐏𝐍) Với thiết kế hình chữ L giúp tất cả các căn hộ đều có mặt thoáng tự nhiên. Không gian mát mẻ quanh năm, địa thế tự nhiên, không khí trong lành, mảng xanh tự nhiên, hồ điều hòa,... Hơn 200 Tiện ích nổi bật: Siêu thị, trung tâm thương mại, Gym, spa, nhà hàng, nhà trẻ, khu thể thao phức hợp, bể bơi vô cực, … Mọi thông liên hệ trực tiếp: 0987808686 ",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807639.9043202,,, 10, 2, 2,
,phố hoàng van thái, 37m2,"GẤP! GẤP! SIÊU VÍP BÁN NHÀ HOÀNG VĂN THÁI 37m2 x 4 T 5,9 TỶ Ô TÔ KD  +  Vị trí siêu đỉnh, 37 m2 x 4 tầng giá 5,9 tỷ, ô tô đỗ cổng, ngõ ô tô tránh, nhà phân lô quân đội, giao thông thuận tiện, khu vực an sinh đỉnh, dân trí cao. Ngõ thông tứ phía. + Nhà cách đường ô tô tránh 15m, buôn bán, kinh doanh sầm uất, tiện ích quanh nhà. + Nhà thiết kế hiện đại, mỗi tầng 2 phòng, cầu thang giữa. - Tầng 1: Khách, bếp, vệ sinh - Tầng 2,3: Mỗi tầng 2 phòng ngủ + vệ sinh - Tầng 4: 2 phòng + sân phơi. + Phòng nào cũng có cửa sổ thoáng sáng. +Sổ đỏ chính chủ, nở hậu, sẵn sàng giao dịch. +LH: Hoàng Bắc, ĐT: 0377610275- 0913319643, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807641.1090982,, 5, 4, 4,, 3
"4,5 tỷ VNĐ",Đường Kim Ngưu phường Minh Khai, 40m2," BÁN NHÀ PHỐ THANH NHÀN - Ô TÔ GẦN - MỚI Ở NGAY 4 TẦNG- MT KHỦNG  - Nhà thoáng và sáng ,ô tô đỗ gần, đầy đủ công năng với 3 phòng ngủ đầy đủ công năng - Ngõ rộng, nhà đẹp, nội thất hiện đại nhập khẩu  - Nhà thông khắp các ngả đường : Kim Ngưu ; Yên Lạc; Minh Khai; Thanh Nhàn; Lạc Trung .... Thuận tiện di chuyển các trường Đại Học xung quanh như Bách Khoa, Công Nghệ ; Kinh Tế Quốc Dân , Xây Dựng ... - Sổ đỏ chính chủ  vuông đét mong gặp khách thiện chí, giao dịch nhanh  Liên hệ : Trang bđs 0904604669",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807642.7926314,, 5, 4, 3, 4, 5
"12,8 tỷ VNĐ",68, 62m2,"+Vị trí siêu đẹp phân lô ngõ thông tứ tung, trước nhà ô tô tránh, xe 7c vào nhà, 3 bước chân ra mặt phố di chuyển đi lại vô cùng thuận tiện. +Xung quanh tiện tiện ích bạt ngàn gần trường học các cấp, các cửa hàng tiện ích, trung tâm thương mại, chợ… +Nhà chủ tâm huyết tự xây dựng cho nên vô cùng chắc chắn +Thiết kế : Thiết kế : + Tầng 1 gara + khách + bếp vs + Tầng 2, 3, 4 thiết kế 2 phòng ngủ, một phòng to một phòng bé. + Tầng 5 phòng thờ và sân phơi. +Đồ nội thất xịn xò, tặng lại cho khách có thiện chí. + Sổ đỏ chính chủ, giao dịch nhanh. +Giá 12.8 tỷ - Có thượng lương . Liên hệ: Ms DungNguyen(miễn trung gian) 0989558620, chuyên nhà đất thổ cư khắp Hà Nội từ 1 - 333 tỷ. Tôi phục vụ khách hàng với tiêu chí giúp người là giúp chính mình, quý chữ tín hơn vàng, vươn tới tầm cao mới. Miễn phí 100% với khách mua , dẫn đi xem nhà và kể cả giao dịch thành công. ",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807644.515033,,,,,,
