price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới,Số tầng
16 tỷ VNĐ,Hà Nội, 70m2,"Bán nhà phân lô, đường ô tô thiết kế rất đẹp phong cách hiện đại phố Trần Đại Nghĩa - SĐT: 0366 555 258.Vị trí trung tâm giữa ba trường đại học Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân. Gần ngã tư Lê Thanh Nghị và Trần Đại Nghĩa. Ngõ rộng ô tô tránh, rất gần phố. - Diện tích: 70m2 x 6 tầng. Mặt tiền rất rộng 7m, thửa đất vuông vắn. - Khu dân trí cao, an ninh tốt, nhiều tiện ích. - Thiết kế đẹp, 2 mặt thoáng ánh nắng ngập tràn. - Nội thất, thang máy xịn hiện đại, thiết kế thẩm mỹ cao. - Sổ đỏ chính chủ đầy đủ.Giá chỉ 16 tỷ thoả thuận sâu.Liên hệ luôn 24/7 em Thanh - 0366 555 258.",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830136.4818933,,,,,,
"14,9 tỷ VNĐ",Hà Nội, 60m2,"Bán nhà cán bộ 5 tầng trong ngõ 17 phố Tạ Quang Bửu - SĐT: 0366 555 258.Cách mặt phố 30m. Gần bể bơi Bách Khoa, SVĐ Bách Khoa, phố Lê Thanh Nghị, tiểu học Lê Văn Tám…Đường trước nhà ô tô tránh, chỗ để xe thoải mái. - Diện tích: 60m2 x 5 tầng, đủ công năng. - Sổ đỏ chính chủ. - Nhà đẹp, xây chắc chắn, thoáng trước sau, vào ở luôn.Giá 14.9 tỷ thoả thuận mạnh.Liên hệ luôn 24/7: em Thanh - 0366 555 258.",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830137.6607394,,,,,,
"6,3 tỷ VNĐ","Võ Chí Công, quận Tây Hồ, Hà Nội", 148m2,"Quỹ căn còn lại tại Udic Westlake - Cam kết giá rẻ nhất khu vực Tây Hồ - Diện tích: 84m2->295m2 - Số phòng ngủ: 2PN-3N-4N-Duplex - Hiện đã trang bị full đồ nội thất CB CĐT - Căn hộ phù hợp cho mọi đối tượng, gia đình, người đi làm, người nước ngoài. -Miễn phí 2 năm phí dịch vụ Liên hệ để xem nhà:/ 0977568223",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830138.8326042, Tây nam, 4, 2,,,
"6,2 tỷ VNĐ","Ngõ Phố Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội", 48m2,"✅  Bán nhà thiết kế cực đẹp, nội thất gỗ hương sang trọng, sân để ôtô ngày đêm rộng rãi, cách phố lớn Xuân Đỉnh chỉ 40m, ngõ ô tô vào. Vị trí tiện nghi đi lại và sinh hoạt. Diện tích 48m2 x 5T, xây mới kiên cố, chắc chắn và đẳng cấp. --------------------------------------------------------------------- ✔️  Thiết kế và công năng: Kiến trúc Tân cổ điển, sang trọng. Công năng sử dụng tiện lợi: - Diện tích 48m2, 5 tầng mới đẹp, 6 phòng ngủ. - Tầng 1: Phòng khách + Phòng bếp và ăn. - Tầng 2, 3, 4: Mỗi tầng 2 phòng ngủ + Vệ sinh.s - Tầng 5: Phòng thờ. Không gian sinh hoạt ngoài trời, kho giặt đồ, sân phơi. ✔️  Vị trí: - Nhà nằm ở vị trí cực đẹp, ngõ rất nông, rộng rãi, không gian thoáng, nhiều ánh sáng tự nhiên, cách mặt phố lớn Xuân Đỉnh 40m.   - Giao thông thuận tiện, gần Hồ Tây, Ngoài Giao Đoàn, KĐT Tây Hồ Tây, StarLake. Gần trường cấp 1,2,3 Xuân Đỉnh, trường Nội Vụ… ✔️  Nội thất: - Được làm tỉ mỉ với chủ đạo là gỗ Hương: Các cửa, cầu thang. Sàn gỗ Malaysia chống trơn trượt, sang trọng và đẳng cấp. - Thiết bị điện cao cấp, dây Trần Phú đi GEN cẩn thận. Trần Thạch Cao và trần gỗ, đèn LED. Thiết bị vệ sinh TOTO nhập khẩu, vách tắm đứng. - Khu vực thoáng đãng, ngõ phố sạch đẹp, dân trí cao, an ninh cực tốt. ✔️  Cam kết sổ đỏ chính chủ, Giấy phép xây dựng,…sẵn sàng giao dịch. ✔️  Giá thương lượng chỉ: 6.2 tỷ (có thương lượng, bao sang tên). ✔️  Liên hệ xem nhà trực tiếp Mr.Tuấn: 0964 357 352 (miễn TG, MG)",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830140.2478187,, 6, 4, 4, 4, 5
55 tỷ VNĐ,Phạm Hồng thái, 135m2,"Chủ cần tiền đầu tư, muốn nhượng lại mảnh đất vị trí cực đẹp mặt phố cổ Phạm Hồng Thái, Q Ba Đình. Đất mặt tiền cực lớn, vỉa hè rộng rãi. Phố to rộng oto đỗ cửa.Đã xin cấp phép được xây tòa nhà 9 tầng. (8 nổi 1 hầm)Diện tích: 135m2 , mặt tiền 9mGiá: 55 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)ĐẤT MẶT PHỐ TRUNG TÂM BA ĐÌNH - KINH DOANH - OTO ĐỖ CỬA - MẶT TIỀN LỚNLiên hệ xem thực tế và nhận thông tin chi tiết: 0981367887- Thửa đất vuông như bao diêm, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830141.7069159,,,, 9, 17,
17 tỷ VNĐ,Hà Nội, 58m2,"Cần bán gấp nhà phố Hoa Lư, quận Hai Bà Trưng - LH: 0856 968 656. + Vị trí vàng, gần phố mặt ngõ ô tô tránh, lô góc 2 mặt ngõ kinh doanh. + Diện tích 58 m2, mặt tiền 6 m. - Thiết kế: 5 tầng nhà đẹp ở ngay, lô góc thiết kế cực kì thoáng. + Khu vực quy hoạch ổn định, xung quanh toàn nhà cao tầng từ 7 đến 10 tầng. + Sổ đỏ chính chủ, sổ vuông vắn. Khách yên tâm về vấn đề pháp lý.Giá chào 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. + Khách mua miễn phí dịch vụ 100%. + Khách chủ gặp nhau thương lượng.Liên hệ ngay lập tức 24/7 để xem nhà thực tế hoặc tìm được nhà ưng ý với kho hàng khổng lồ - 0856 968 656.",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830143.1832101,,,,,,
"1,4 tỷ VNĐ",Uy Nỗ Đông Anh, 48m2," + Bán đất xóm Bãi , Uy Nỗ, Đông Anh, đường trục chính ô tô tránh, gần khu đô thị Quân Đội Tên Lửa. -Vị trí gần khu di tích đặc biệt Cổ Loa, Khu Đô Thị Quân Đội, TT hành chính huyện Đông Anh, Chợ tó , chợ Cổ Loa. -Tiềm năng Đông Anh lên Thành Phố tăng giá phi mã, tương lai tươi sáng. - Gần đường trục Cổ Loa rất rộng một đoạn, tiện ích ngập tràn. -Khu dân cư đông đúc, đi lại rất thuận tiện, dân trí cao. -Pháp lý sạch, sổ đỏ chính chủ, sẵn sàng chuyển giao. -Giá chào 1x tỷ, có thương lượng. -Liên hệ em SƠN để được xem đất miễn phí; 0915.126.183 ",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830144.5976524,,,, 4,,
15 tỷ VNĐ,Hà Nội, 56m2,"Bán nhà phân lô ô tô tránh phố Tạ Quang Bửu - Bách Khoa, quận Hai Bà Trưng - LH: 0856 968 656.Diện tích 56 m2, 6 tầng, mặt tiền 5.2 m, nhà đẹp chỉ việc ở luôn.Toàn bộ đồ nội thất nhập khẩu, thang máy cao cấp…Nhà kinh doanh tốt (dòng tiền 50-60tr/tháng), vỉa hè rộng, ô tô đỗ và tránh nhau thoải mái.Thiết kế hiện đại, tối ưu công năng: - T1 : Gara ô tô + Phòng lớn + WC. - T2-5 : Nhiều phòng, WC. - T6: Phòng thờ, sân phơi.Vị trí đẹp, khu trung tâm, giao thông thuận tiện.Sổ đỏ chính chủ, pháp lý chuẩn.Giá chào chỉ 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Mọi thông tin chi tiết xin vui lòng liên hệ ngay lập tức em Bình, nhận tìm nhà theo nhu cầu - 0856 968 656.",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830145.607952,,,,,,
"6,85 tỷ VNĐ",đường Hoàng Mai- Hà Nội, 65m2,"*Bán gấp nhà riêng đường Hoàng Mai ngõ ô tô thông , kinh doanh đỉnh, tặng nội thất cao cấp. 0345752279 *Mô tả: +Diện tích : 65m2 +Thiết kế: 5 tầng, 6 ngủ, ô tô vào nhà, sân phơi, cầu thang giữa. +Vị trí đắc địa, ngõ thông các ngả, cạnh chợ, trường học, khu dân trí cao. +Chào giá 6.85 tỷ có thương lượng. +Sổ đỏ đẹp giao dịch ngay. *Gọi hoặc nhắn tin em Bình để được tư vấn và xem nhà hoàn toàn miễn phí mọi khung giờ! *Không tiếp môi giới.",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830146.7366543,, 6,, 4, 3, 5
"4,8 tỷ VNĐ","Bế Văn Đàn, Hà Đông, Hà Nội", 54m2," # Bán nhà phân lô, ô tô đỗ cửa, giá đầu tư cần bán nhanh, phường Quang Trung, Hà Đông, nhà mới đẹp về ở ngay. DT 54m, 3T, Giá chỉ 4.8 tỷ. + Vị trí thoáng, đẹp khu phân lô, dân trí cao, an ninh an sinh đỉnh. +  Đường trước nhà ô tô đỗ, đường thông chạy vòng quanh, giao thông thuận tiện, trung tâm phố tiện ích. + Nhà 3 tầng khung cột chắc, thiết kế hiện đại, gồm PK, Bếp, WC, tổng 4 phòng ngủ to rộng, các phòng thoáng sáng, tràn ngập ánh sáng tự nhiên. + Giá đầu tư 4.8 tỷ. + Sổ vuông đỏ đẹp, chính chủ pháp lý chuẩn. + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830147.9713519,, 4,,, 5, 3
