price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet
"4,3 tỷ VNĐ","Trần Phú, Văn Quán, Hà Đông", 30m2, 3, 3, 5, 4," # nhà mới, căn góc, ô tô qua nhà Văn Quán quận Hà Đông. nhà xây chắc, thiết kế hiện đại, đầy đủ nội thất, về ở ngay, có 4 ngủ, dầy đủ công năng. DT 30m, 5 T, giá 4.3 tỷ. + Vị Trí: thông thoáng, có thể kết hợp kinh doanh, gần đường ô tô tránh, cạnh KĐT Văn Quán, Big C Hà Đông, 2 phút ra tới đường Nguyễn Khuyễn, 19/5, Phùng Hưng, Trần Phú...trung tâm phố tiện ích, giao thông thuận lợi. + Sổ đỏ chính chủ, pháp lý chuẩn, sang tên nhanh. # Nhanh tay LH: 0983858722 Tình nhà phố ( chuyên bán, nhận ký gửi nhà đất Thổ cư, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814752.3383682,,
62 tỷ VNĐ,"Lê Trọng Tấn, Thanh Xuân", 182m2,,,,,"Mô tả Chủ nhà cần bán nhà Phố Lê Trọng Tấn 182 m2 + Vị trí đẹp, sầm uất nhất phố, lô góc. + Nhà phù hợp khách hàng đầu tư giữ tiền, chạy dòng tiền. + Toà nhà thiết kế 1 hầm, 8 nổi, hầm để ô tô, xe máy. + Rất phù hợp làm trụ sở công ty, cho thuê làm VP, Ngân hàng. + Sổ đẹp, giao dịch ngay + Giá 62 tỷ Liên hệ: Nghĩa – 0868181683 – Để gặp trực tiếp chủ thương lượng.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814753.5192223,,
66 triệu VNĐ/m2,"Khu Cụm 4, đường mương Đan Hoài, Liên Hà, Đan Phượng, Hà Nội", 70m2, 7,,,,"Bên e trúng 2 lô khu đấu giá Cụm 4 xã Liên Hà, Đan Phượng, Hà Nội . Diện tích : 70 - 75m2 . Vỉa hè 6m. Nằm trên đường trục Đan Hoài , VIEW Vườn Hoa . Cách trục chính đường ven Sông Hồng, Đồng Cai - Thượng Cát chỉ 200m Nằm sát Khu dân cư với truyền thống làng nghề, gần trường mầm non, tiểu học, trung học xã Liên Hà. Cách Vin Đan Phượng chỉ 4km.... Hạ tầng hoàn thiện , thuận lợi kinh doanh mở rộng sản xuất ... A/c quan tâm gọi e ngay số 0967205590 bất kỳ lúc nào để biết thêm thông tin ạ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814754.913479, Đông nam,
"3,2 tỷ VNĐ",Đường  phường Hoàng Liệt, 68m2,, 1, 25, 2,"1. CĐT uy tín - Sổ đỏ VĨNH VIỄN4. Mật độ cực THOÁNG xây chỉ 40% - thích hợp lựa chon an cư.Căn hộ 2PN + 2VS: 68 m2 - 85 m2.Liên hệ: Hotline/zalo: 0376053967 (Duy Mạnh)
",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814756.4027865,, 2
3 tỷ VNĐ,"Phố Khâm Thiên, Đống đa", 43m2, 6, 2, 3, 3,"+ Chỉ nhỉnh 3 tỷ, đã có nhà khâm Thiên, Đống Đa, nhà cực thoáng, vài bước ra Phố Khâm Thiên diện tích 43m2, mặt tiền 6m, nhà 3 tầng . + Nhà chủ tự xây cẩn thận từng cm, Ngõ nông, ba gác tránh xe máy, 50m ra phố Khâm Thiên, ra ngã 5 Ô Chợ Dừa, Thông phố Tôn Đức Thắng, ra ga Hà Nội đi đâu cũng tiện. + Gần chợ, siêu thị tiện ích, bệnh viện, công viên , khu vui chơi, giải trí, thuận lợi kinh doanh online, cách trường học các cấp chỉ vài phút đi bộ . + Sổ đỏ đẹp, sẵn sàng giao dịch  + Giá thoả thuận + Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT:  0857 747473. 0913 220 691.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814757.6923356,, 3
3 tỷ VNĐ,Đường Hoàng Hoa Thám phường Bưởi, 36m2, 4, 3, 5, 3,"Chủ mua nhà to hơn bán gấp nhà Hoàng Hoa Thám 36mx 5T , nhà đẹp ở luôn, giá 3 tỷ .  + Nhà 5 tầng thiết kế hiện đại nội thất xịn , bếp đẹp , chủ tặng nội thất  + Nhà ba bước ra ngã tư Văn Cao Hoàng Hoa Thám , tiện ích nhiều vô số , gửi ô tô 100m  + Sổ vuông đẹp sẵn sàng bay LH : TRUNG 0896695659 ( Hỗ trợ xem nhà và tư vấn miễn phí ) ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814758.9879155,, 5
"9,45 tỷ VNĐ",168 Kim Giang, 70m2, 6,, 5, 6,"KIM GIANG – LÔ GÓC – NGÕ TO NHƯ PHỐ – KINH DOANH SẦM UẤT - Chính chủ nhờ  bán nhà mặt ngõ to như phố Kim Giang, hiện đang cho thuê tổng 30tr/tháng - Nhà lô góc 70m2, 5 tầng, mặt tiền 6m, từ tầng 2 diện tích sử dụng 80m2. - Nhà  xây dựng chắc chắn. Chủ mới về có thể lên thêm tầng, lắp thang máy. Hoặc đơn giản nhất là cất tiền nhàn rỗi, lãi vốn sẽ tang cao - Sổ đỏ nở hậu đẹp, sẵn sàng giao dịch. Chủ thiện chí - Liên hệ: K.S Phương – 0918120568 để được hướng dẫn xem nhà và gặp trực tiếp chủ nhà thương lượng giá tốt",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814760.4343863,, 5
"14,68 tỷ VNĐ",Mỹ Đình, 110m2,,,,,"BÁN NHÀ CCMN MỸ ĐÌNH 106M 7T Ô TÔ THANG MÁY 15 TỶ BÁN NHÀ IN TIỀN TRÊN 70Tr/ 1Tháng. Trung tâm Mỹ Đình Đường xá ô tô thuận tiện, thông các đường lớn, thông khắp ngả, gần bến xe Mỹ Đình. Tiện ích xung quanh đầy đủ. Ngay cửa nhà. Thiết kế thông minh rộng thoáng. Sổ đẹp,pháp lý sạch , sang tên nhanh gọn Thiện trí xem nhà gọi Em Đức 0898839292.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814761.8346426,,
"2,6 tỷ VNĐ",Đường Vũ Trọng phụng, 28m2,,, 5, 4,"Bán nhà Phố Vũ Trọng Phụng, Nhân Chính, Thanh Xuân . NGÕ NÔNG RỘNG THÔNG - Ô TÔ CÁCH NHÀ 20M + Nhà 5 tầng đẹp chắc chắn, cầu thang gỗ, mỗi tầng 1 phòng ngủ đẹp. - Tầng 1: Phòng khách + bếp + vệ sinh. - Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ đẹp. - Tầng 5: Vệ sinh + phơi đồ. + Vị trí nhà 5 tầng đẹp ngõ nông, rộng, thông ra phố Hoàng Đạo Thúy, Ngụy NHư Kon Tum Trung Hoà Nhân Chính, gần ngay chung cư Vũ Trọng Phụng. + Sổ đỏ chính chủ để trong két sắt giao dịch ngay. Gọi ngay cho tôi 24h/7 Mr. Hồng Hải – 0961771396",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814763.154112,, 4
"1,9 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 70m2,, 10,, 2,"- Hỗ trợ lãi suất 0% trong 12 tháng, ân hạn gốc.- Gói Smart Home đẳng cấp 25tr/2PN, 35tr/3PN.Thông tin tổng quan:Khu vực trung tâm sầm uất nhất Huyện Thanh Trì, gần nhiều cơ quan công sở và trường học.Tầng 1,2,3: Trung tâm thương mại, Bể bơi, Lounge Coffee, Gym, Yoga,...Căn 2PN: 63 - 74m2 giá bán từ 1,8 tỷ.Tối ưu không gian sống với ánh sáng, gió tự nhiên.+ Hỗ trợ mọi giấy tờ, thủ tục khi khách hàng yêu cầu.Liên hệ MS Quỳnh Anh 0902234100 để được hỗ trợ tốt nhất ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814764.48954,, 2
"8,8 tỷ VNĐ","Phố Khương Thượng,Phường , Quận Đống Đa, Thành phố Hà Nội", 40m2,,,,,"+ Vị trí trung tâm quận Đống Đa, kinh doanh thuận lợi, mặt phố Khương Thượng, gần các trục đường lớn Trường Chinh, Tây Sơn, Thái Hà, Chùa Bộc, Nguyễn Lương Bằng...Gần Đại Học Thủy Lợi, Khu KTX Đại học Công Đoàn.+ Trước nhà ô tô đỗ cửa, đối diện lại có 1 vỉa hè rộng, xe đỗ thoải mái.+ Sổ đỏ vuông đẹp, chính chủ.+ Nhà chủ tự xây, sơn lại như mới.+ Liên hệ : Phương Nam : 0386.702.912. ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814765.779088,,
"29,89 tỷ VNĐ",Đường Nguyễn Khuyến phường Văn Miếu, 102m2, 4, 15, 6, 10,"+ Sổ đỏ cất két, chính chủ pháp lý sạch, sẵn sang giao dịch. 0338080356(Lưu ý: Khách chủ tự thương lượng giá, bên mua không mất phí, được tư vấn hỗ trợ pháp lý, hợp đồng, sổ đỏ 24/24h).",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814767.0606596,, 12
"14,68 tỷ VNĐ",Mỹ đình, 110m2,,,,,"BÁN NHÀ CCMN MỸ ĐÌNH 106M 7T Ô TÔ THANG MÁY 15 TỶ BÁN NHÀ IN TIỀN TRÊN 70Tr/ 1Tháng. Trung tâm Mỹ Đình Đường xá ô tô thuận tiện, thông các đường lớn, thông khắp ngả, gần bến xe Mỹ Đình. Tiện ích xung quanh đầy đủ. Ngay cửa nhà. Thiết kế thông minh rộng thoáng. Sổ đẹp,pháp lý sạch , sang tên nhanh gọn Thiện trí xem nhà gọi Em Đức 0898839292.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814768.2594528,,
"29,89 tỷ VNĐ",Đường Nguyễn Khuyến phường Văn Miếu, 102m2, 4, 15, 6, 10,"+ Sổ đỏ cất két, chính chủ pháp lý sạch, sẵn sang giao dịch. 0338080356(Lưu ý: Khách chủ tự thương lượng giá, bên mua không mất phí, được tư vấn hỗ trợ pháp lý, hợp đồng, sổ đỏ 24/24h).",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814769.543019,, 12
"3,2 tỷ VNĐ",Đường Khu đô thi mới tây nam linh đàm phường Hoàng Liệt, 68m2, 6, 2,, 2,"TẦM NÀY ANH EM CÓ NHU CẦU KHÔNG MUA CON NÀY CỦA HƯNG THỊNH PHÍ QUÁ LUÔN 🍇🍇🍇 🚩🚩 Vốn từ 600 triệu sở hữu ngay căn hộ 2 PN tại Chung cư Hà Nội Melody Linh Đàm - Ký hợp đồng trực tiếp với chủ đầu tư Tập Đoàn Hưng Thịnh. 🔥Chính sách ưu đãi cực lớn chỉ ngay trong tháng này:- Hỗ trợ vay tới 70% với lãi suất 0% trong 24 tháng.- Đóng giãn 15-20 đợt, 3-5% mỗi đợt.- Full Nội Thất Bàn Giao Nhà. 🍀Trọn vẹn những tiện ích đẳng cấp của 1 căn hộ cao cấp:- Hồ Bơi chuẩn quốc tế 4 mùa, gym, yoga, khu vui chơi ngoài trời, nhà thuốc, BBQ ngoài trời,...- 3 hầm để xe siêu rộng, 12 thang máy/tòa.- 100% căn hộ có 2 lô gia đón nắng, gió và ánh sáng tự nhiên.- Không gian linh hoạt: 68m2; 76m2; 82m2; 98m2; 121m²; 147m² (2-3 PN). 🔥Đặc biệt với với khả năng sinh lời cực lớn khi mua nhà từ móng do sự khan hiếm chung cư tại Hà Nội. Quá dễ dàng, chỉ cần 600 triệu đã sở hữu ngay căn hộ cao cấp tại quận Hoàng Mai, view hồ Linh Đàm, cách trung tâm Hà Nội 8km. 📞Liên hệ để được hổ trợ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814770.7019272,, 3
"3,2 tỷ VNĐ",Đường  phường Hoàng Liệt, 74m2,, 15, 2, 2,"
    Inbox ngay để đặt chỗ quỹ căn đẹp, giá tốt bất ngờ!(Zalo).1 - Mật độ siêu thoáng.2 - Chủ đầu tư uy tín.3 Nội thất sang trọng.4 - Vị trí thuận lợi.- Liền kề trường Tiểu học Chu Văn An.- 10 phút Metro Hoàng Mai.5 - Tiện ích nội khu chuẩn quốc tế:6 - Diện tích đa dạng.Căn 4PN: 147m2.Chỉ cần 50 triệu Booking đặt suất ưu tiên sớm nhất.
",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814771.9515755,, 2
"3,9 tỷ VNĐ",Đường Ngô Gia Tự phường Ngọc Lâm, 30m2, 3, 2, 4, 4,"+ Ngõ ô tô thông phố Ngọc Lâm với phố Nguyễn Văn Cừ. Vị trí nhà lô góc thoáng đẹp Ô tô 4 chỗ vào tận cửa quay đầu thỏa mái. Gần chợ, trường học các cấp, TTM Mipec Long Biên, Cầu Long Biên, cầu Chương Dương tiện ích bạt ngàn, đi lại thuận tiện...+ Nhà 4 tầng dân xây chắc chắn, thoáng sáng+ Sổ đỏ chính chủ, hình viên gạch, pháp lý rõ ràng, giao dịch ngay. Liên hệ để gặp trực tiếp chủ nhà Miễn môi giớ chung gian Tôi còn nhiều căn nhà cùng phân khúc khu vực Long Biên, Ngọc Thụy, Nguyễn Văn Cừ, Lý Sơn, Thượng Thanh, Đức Giang, Thạch Bàn ....",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814773.1521482,, 4
"4,3 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 40m2, 4, 2, 5, 4,"+ Ngõ ô tô thông phố Ngọc Lâm với phố Nguyễn Văn Cừ. Vị trí nhà lô góc thoáng đẹp Ô tô 4 chỗ vào tận cửa quay đầu thỏa mái. Gần chợ, trường học các cấp, TTM Mipec Long Biên, Cầu Long Biên, cầu Chương Dương tiện ích bạt ngàn, đi lại thuận tiện...+ Nhà 5 tầng dân xây chắc chắn, thoáng sáng+ Sổ đỏ chính chủ, hình viên gạch, pháp lý rõ ràng, giao dịch ngay. Liên hệ để gặp trực tiếp chủ nhà Miễn môi giớ chung gian Tôi còn nhiều căn nhà cùng phân khúc khu vực Long Biên, Ngọc Thụy, Nguyễn Văn Cừ, Lý Sơn, Thượng Thanh, Đức Giang, Thạch Bàn ....",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814774.3892264,, 4
"6,9 tỷ VNĐ","Cầu giấy, Hà nội", 51m2,,, 5, 4,"
    + Nhà phân lô dân trí cực tốt. Kinh doanh sầm uất .
+ Nhà xây 5 tầng mới đẹp.
+ Thiết kế cầu thang giữa:
- T1: gara oto + để xe máy.
- T2: PK + bếp
- T3+4: mỗi tầng 2 PN
- T5: phòng thờ + sân phơi.
+ Khu vực tiện ích đầy đủ, giao thông thuận lợi, an sinh tuyệt đỉnh, gần các trường đại học .
+ Sổ đỏ vuông đẹp.
",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814775.6548405,, 4
10 tỷ VNĐ,Đường Long Biên phường Long Biên, 147m2, 8,,,,"Mảnh đất hiếm đẹp tại ngõ 206 Cổ Linh, gần AEON, Dt 147m MT 8m. Giá rẻ bất ngờ.  Gần cầu Vĩnh Tuy, gần dự án cầu Trần Hưng Đạo, gần trung tâm thương mại Aeon . Xe ô tô vào tận cổng, 05 phút sang phố. Tiện ích ngập tràn quanh khu vực, mua để đầu tư, xây ở hay giữ tiền chờ Gia Lâm lên Quận đều khả thi. Chủ nhà rất thiện chí bán để sang phố ở nên cần bán gấp trong tháng này, sổ đỏ chính chủ có thương lượng cho khách nhiệt tình. ",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814776.9623425,,
