price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"3,1 tỷ VNĐ",Đường Vạn Phúc phường Vạn Phúc, 46m2, 1, 1, 1, 1,"
    
+ Nhà cách mặt đường ô tô tránh khoảng 50m, ngõ rộng thông thoáng
+ Nhà đẹp tự tay chủ nhà thiết kế 2 tầng với móng kiên cố chắc chắn , mua về ở ngay.

Thiết kế:
Tầng 1: Sân để xe, Khách, Bếp, Phòng ngủ,wc.
Tầng 2: Phòng ngủ, Phòng thờ,Sân phơi,wc.

+ Chủ nhà tặng lại gần hết nội thất cho khách mua chỉ việc xách vali về ở.

+ Sổ đỏ chính chủ,đẹp,giao dịch ngay.
",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820918.397604,
"3,333333 tỷ VNĐ",Đường An Lạc phường Trâu Quỳ, 54m2,,,,,""",""serif"";="""" line-height:="""" 115%'Địa="""" chỉ="""" đất:="""" trâu="""" quỳ,="""" gia="""" lâm,="""" hà="""" nội.="""" span="""" p="""" class=""MsoNormalSPAN"" 115%'diện="""" tích="""" 54m2.="""" mặt="""" tiền:="""" 4m.="""" 115%'="""">Đường trước nhà: 5m. ",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820919.713085, 4
"3,3 tỷ VNĐ",Đường Kim Giang phường Đại Kim, 35m2, 3, 5, 3, 4,"
    + Cần bán gấp nhà Kim Giang, quận Hoàng Mai. Vị trí đẹp, ngõ rộng thoáng, gần phố, hàng xóm KĐT mới Đại Kim.+ Khu vực dân trí cao, an ninh tốt. Tiện ích đầy đủ, gần chợ, trường học, bệnh viện, bãi gửi xe, TTTM, siêu thị…+ Giao thông thuận tiện, kết nối phố Nguyễn Xiển, Đại Lộ Chu Văn An, Khương Đình, Định Công Thượng, Vũ Tông Phan, Trần Hòa…+ Nhà xây 5 tầng khung cột chắc chắn, thiết kế hiện đại, đầy đủ công năng.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá: 3.3 tỷ ( có thương lượng )Liên hệ để xem nhà miễn phí, làm việc trực tiếp chính chủ, miễn trung gian.SĐT: 0926891993 ( Liệu )",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820920.7313604, 4
,"Tô Hiệu, Nguyễn Trãi, Hà Đông, Hà Nội.", 60m2, 12, 4, 4,," # Cần bán gấp nhà mặt tiền đường Tô Hiệu, Nguyễn Trãi, Hà Đông. nhà đẹp, về ở ngay, vị trí đẹp, phù hợp kinh doanh tấp nập nhiều loại hình. DT 60, 4T giá chỉ 11 tỷ. + Vị Trí: đắc địa kinh doanh sầm uất, tọa lạc tại trục lõi phố cổ đường ô bàn cờ, xe chạy vòng quanh đường Tô Hiệu phường Nguyễn Trãi trung tâm quận Hà Đông. + Gần Siêu thị Melinh Plaza, Chợ đầu mối Hà Đông, gần khu Biệt thự cao cấp Huyndai trung tâm phố Văn Minh và tiện ích. + Giao thông: di chuyển Lê Lai, Lê Hồng Phong, Lê Lợi, Chưng Nhị, Bà Triệu, Quang Trung vô cùng thuận lợi. + Nhà 4T khung cột chắc, thiết kế hiện đại, T1 kinh doanh, từ T2 lên trên 2 phong rộng thoáng sáng, đầy đủ công năng. + Sổ đỏ chính chủ, giá 11 tỷ, rất cần bán nhanh trong tháng. # HotLine: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820922.0139294,
9 tỷ VNĐ,"ngoc Lâm , Long Biên", 48m2,,,,,"Mô tả: : 48 m,5 tầng,MT 4m + Nhà nằm giữa 3 phố Lâm Du, Bồ Đề, Nguyễn Văn Cừ, ngõ to sạch, rất gần ô tô, sang trung tâm Hà Nội vài phút đi xe. + Nhà có khu để xe chung cực rộng, khách khứa đến chơi để xe thoải mái. + Nhà chủ đầu tư nội thất sịn sò cực đẹp, trị giá gần nửa tỷ, chủ để lại toàn bộ cho khách mua. + Thiết kế: - Tầng 1: Phòng khách rộng, wc. - Tầng 2: Phòng ăn và bếp rộng rãi. - Tầng 3,4: Phòng ngủ rộng thiết kế tủ âm tường cực đẹp và tiện lợi, wc rộng. - Tầng 5: Phòng ngủ nhỏ, sân phơi view cực thoáng. - Nhà thiết kế 2 giếng trời nên cực kỳ thoáng sáng, không khí lưu thông ở cực thoải mái. + Sổ đỏ nở hậu, sẵn sàng giao dịch. liên hệ Dũng Trần để làm việc trực tiếp chủ nhà DT,zalo 0988521921",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820923.0601313,
"9,8 tỷ VNĐ",Phố Ao Sen, 40m2,, 5, 6, 5,"PHỐ AO SEN - KINH DOANH ĐỈNH - SẦM UẤT NHẤT HÀ ĐÔNG – DOANH THU 36 TRIỆU/ THÁNG - Ô TÔ CHẠY VÒNG QUANH. + Ao Sen – Mỗ Lao – Hà Đông + Diện tích 40m – 5 Tầng – MT4m + Giá 9.8 tỷ + Liên hệ xem nhà: 0902.083.139 + Nhà phố Ao Sen khu phân lô xây dựng Sông Đà, phố thông rộng ô tô chạy vòng quanh dừng đỗ ngày đêm. + Vị trí quá thuận lợi, có thể kinh doanh hàng ăn, Game... mọi loại mặt hàng đều được. + Quanh nhà nhiều quán ăn, quán cafe... rất đông khách. + Doanh thu cho thuê dòng tiền ổn định 36 triệu/tháng. + Sổ phân lô vuông vắn.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820924.2852871, 4
"11,5 tỷ VNĐ",Văn Quán - Hà Đông, 81m2,, 5, 5, 5,"MẶT PHỐ - VỈA HÈ, VĂN QUÁN – HÀ ĐÔNG, 81M2 – THANG MÁY, 11.5 TỶ Nhà vị trí đẹp nhất phố. Được xây dựng 5 tầng thang máy trên diện tích 81m2. Mặt phố, vỉa hè, kinh doanh mọi loại hình – văn phòng công ty hoặc chỉ đơn giản là hưởng một cuộc sống trong mơ nơi đô thị văn minh. Sổ đỏ vuông, chính chủ, sẵn sàng giao dịch. Thương lượng trực tiếp chủ nhà. Hãy nhanh tay sở hữu ngôi nhà rất hiếm này Liên hệ: KS. Phương - 0918120568",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820925.2955828, 5
11 tỷ VNĐ,Hà Nội, 60m2,,,,,"Bán nhà đường La Thành Ba Đình, kinh doanh tốt. - Diện tích 60 m2, xây dựng 4 tầng, mặt tiền 4.8 m. - Toà nhà thiết kế xây dựng theo chuẩn sang trọng, trang bị nội thất cao cấp, công năng tối ưu. - Khu văn minh, trung tâm Ba Đình, từ nhà ra phố có mấy bước chân thông phố Hoàng Cầu. - Sổ đỏ chính chủ. - Giá chào bán chỉ nhỉnh 11 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ xem toà nhà ngay Mr Bình - 0856 968 656.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820926.5193098,
12 tỷ VNĐ,Hà Nội, 60m2,,,,,"Gia đình tôi bán biệt thự phố Ngọc Khánh Ba Đình, kinh doanh ngày đêm. - Diện tích 60 m2, 4 tầng, mặt tiền 5 m, nội thất cao cấp. - Vị trí hiếm, khu VIP gần Đài Truyền Hình VTV, hồ Ngọc Khánh… - Đường ô tô tránh, dân trí cao, an ninh tuyệt đối. - Sổ đỏ chuẩn chính chủ. - Giá tốt chỉ 12 tỷ thương lượng sâu, bao sang tên, tặng nội thất xịn. - Liên hệ 24/24: 0856 968 656.",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820927.6234374,
"6,95 tỷ VNĐ",Đường Bùi Xương Trạch phường Khương Đình, 52m2, 3, 4, 4, 5,"
    
Siêu phẩm Quận Thanh Xuân – Ngõ Ô tô – 20m ra phố - Lô góc 3 thoáng vĩnh viễn

Mô tả: 
- Diện tích : 52m2 x 4 tầng.
- Mặt tiền 5m
- Giá công khai : 6.95 tỷ

Thiết kế :
T1: bếp. Khách. Wc. 
T2-3: tổng 4 ngủ. Wc
T4: phòng thờ. Sân phơi. 
Sổ đỏ vuông như tờ a4 – sẵn sàng giao dịch

CAM KẾT THÔNG TIN / HÌNH ẢNH CHUẨN 100%
Liên hệ ngay 24/24h : 0839779222
Miễn tiếp MG
",09/06/2022,Tin thường,batdongsan_so_com_vn_1673820928.6207693, 5
