price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
"4,85 tỷ VNĐ",Đường Xuân Đỉnh phường Xuân Đỉnh, 36m2, 3, 5, 3, 4," BÁN NHÀ ĐẸP -  XUÂN ĐỈNH - PHẠM VĂN ĐỒNG  Ô TÔ ĐỖ CỬA 

 Mô tả:
- Nhà 5 tầng - mỗi tầng 1 phòng ngủ
- Ô tô vào nhà , mặt tiền rộng thoáng
- Ngõ nông đẹp
- Nhà dân xây chắc chắn
- Sổ đỏ chính chủ - thông tin chính xác
Lh: 0393772225

#xuandinh #BTL4 #oto",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794067.962809,,
"15,9 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 90m2, 15, 3, 4, 4,""",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'bán="""" nhà="""" mặt="""" tiền="""" 7m="""" tái="""" định="""" cư="""" ngọc="""" thuỵ="""" long="""" biên="""" vỉa="""" hè="""" kinh="""" doanh="""" 90m2.="""" span="""" p="""" pspan="""" initial'-="""" vị="""" trí="""" cực="""" đẹp,="""" đường="""" trải="""" nhựa,="""" đá="""" bóng,="""" view="""" thẳng="""" công="""" viên,="""" hàng="""" xóm="""" khai="""" sơn="""" hill.="""" initial'="""">- Nhà thiết kế 3 tầng, tầng 1 thông sang kinh doanh, tầng trên 3 phòng ngủ vô cùng thoáng sáng.  "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'-="""" khu="""" vực="""" tiện="""" ích="""" ngập="""" tràn,="""" gần="""" ngay="""" chợ="""" ngọc="""" thuỵ,="""" đường="""" 30m="""" nối="""" hồng="""" tiến="""" sắp="""" mở,="""" giá="""" trị="""" tăng="""" đột="""" biến.="""" span="""" p="""" pspan="""" tiềm="""" năng="""" cao.="""" initial'="""">- Dt: 90m2 mt7m, giá chào bán chỉ hơn 15 tỷ, có thương lượng và gia lộc.  "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'-="""" sổ="""" đổ="""" chính="""" chủ,="""" giao="""" dịch="""" ngay.="""" span="""" p="""" pspan="""" lh:="""" minh="""" lợi="""" span0987950573span="""" initial'=""""> - gặp là có lợi - chuyên thổ cư, nhà mặt phố, nhà dòng tiền, biệt thự Long Biên giá tốt nhất.",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794069.490722, 7,
"4,7 tỷ VNĐ",Đường Đông Dư phường Đặng Xá, 63m2, 1, 6, 2, 2,"
    - DT 41,2 m2+ PA TT sớm 95%: 1,71 tỷTặng thêm VC Vinfast 150tr Được chuyển nhượng.2) Căn 1PN tòa R102 căn 8A ban công TN view thành phố thoáng đẹp- Giá gốc CĐT: 2,24 tỷ+ PA vay 70%, HTLS 0% 18T (Đến 10/12/2023): 1,963 tỷ3) Căn 1PN tòa R103 căn 16 ban công ĐB view hồ 29ha của TP sau này- Giá gốc CĐT: 2,314 tỷTặng thêm VC Vinfast 150tr Được chuyển nhượng4) Căn 1PN Tòa R102 căn 12A ban công TB view thành phố, và Hồ điều hòa 29ha của thành phố sau này.- Giá bán (Giá gốc CĐT: 2,307 tỷ)Tặng thêm VC Vinfast 150trB) Quỹ căn vip nhất Zenpark1) Căn 2PN + 1 - 2WC R101 căn số 01 và 23- Ban công TB View trực diện hồ cá Koi thoáng mátTặng thêm VC Vinfast 150tr2) Căn 2PN + 1 - 2WC R101 căn số 06 và 10- Ban công ĐN View trực diện hồ 24,5ha và quảng trường Ocean ViewTặng thêm VC Vinfast 150tr3) Căn 3PN R101 căn số 11 và 22- Ban công TN - ĐN View thành phố và Vinpearland cực thoángTặng thêm VC Vinfast 200trNgoài ra còn có quỹ căn Studio khá HOT với giá chỉ từ 1,2x tỷ/căn, cực kỳ phù hợp với các QUÝ khách độc thân hay khách đầu tư cho thuê căn hộ* Chính sách- Mua căn hộ với giá trị thực từ CĐT, không chênhXin cảm ơn quý khách!
",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794070.8909755,,
"5,6 tỷ VNĐ",Đường La Dương phường Dương Nội, 50m2,,,,,"Bán đất dịch vụ Dương Nội, Hà Đông, 50m2, trục chính, 5.6 tỷ  - Diện tích 50m2, mặt tiền 4m, đường trục chính của khu. Thích hợp mua xây ở, kinh doanh, đầu tư giữu tiền. * Liên hệ Mr. Hưng 89: 0766226713 (24/24), miễn trung gian. ",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794071.9172306, 4,
"1,57 tỷ VNĐ",Đường Bắc Cầu phường Ngọc Thụy, 35m2, 3, 2, 2, 1,"BÁN NHÀ BẮC CẦU - NGỌC THỤY - LONG BIÊN - DT 35 M2 - giá 1,57 tỷ - ĐẦY ĐỦ NỘI THẤT  * Mô tả:  - Nhà mới, đẹp, đủ nội thất. Phù hợp với gia đình trẻ. Không gian sống trong lành, thân thiện.  + Diện tích: 35 m2  + Mặt tiền: 3,5m  - Vị trí nhà rất gần trường, chợ, trạm y tế. Từ nhà sang trung tâm hồ Gươm chỉ 10 phút.  - Sổ đỏ chính chủ, pháp lý chuẩn (Miễn TG-QC)  - Quý khách hàng xem hình ảnh thật bên dưới - LH: Hoàng Đạo 0975892929 (Chuyên nhà đất quận Long Biên)",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794073.059227, 4,
"2,1 tỷ VNĐ",Đồng Quang, 700m2,,,,,"
    ĐẤT TRỒNG CÂY CÓ THỜI HẠN  Anh em bà con gửi bán siêu phẩm đất trồng cây lâu năm tại xã Đồng Quang, Huyện Ba Vì, Tp. Hà Nội
 Diện tích 700 m2, đất trồng cây có thời hạn 50 năm.
 Đường to ô tô vào tận đất, vị trí đẹp lưng bám đường nhựa 36 m, mặt trước bám lòng hồ Sông Đà phù hợp làm khu nghỉ dưỡng cho gia đình vào dịp cuối tuần hoặc kinh doanh homestay. View nhìn rất đẹp, phong cảnh hữu tình và thơ mộng, quanh năm mát mẻ
 Lô đất vuông vắn, gần UBND xã và giao thông đi lạidễ dàng cùng nhiều tiện ích khác
 Giá inbox hoặc đt trực tiếp
 Sổ đỏ chính chủ, ký công chứng trong vòng 1 nốt   0903212751 - Mr. Tùng
",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794074.159278,,
"7,5 tỷ VNĐ",Vân Nội, 250m2,,,,," HOT   Chính chủ cần chuyển nhượng lô đất tại Xóm Nhì, Xã Vân Nội, Huyện Đông Anh, Tp. Hà Nội
 Diện tích 250 m2 thổ cư lâu dài
+ Vị trí đất nằm trong ngõ bê tông có đường phía trước và phía sau. Đường trước khu đất rộng 3,5 m, đường phía sau khu đất rộng 2 m, đất nở hậu phong thuỷ tốt, ô tô ra vào quay đầu thoải mái
+ Khu vực cách cầu Nhật Tân 10 km và cách sân Gofl Vân Trì 1 km
+ Xung quanh dân cư đông đúc và thân thiện, gần chợ, siêu thị ... vị trí thoáng mát, lô đất vuông vắn có thể chia nhiều lô để xây dựng nhà kinh doanh.
+ Lô đất tiềm năng dành cho các nhà đầu tư, khả năng sinh lời cao   Giá bán 30 triệu/m2


 Pháp lý chuẩn, sổ đỏ chính chủ
Anh/ chị em quan tâm liên hệ để được tư vấn cụ thể


 0903212751 - Mr. Tùng

",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794075.190526,,
20 tỷ VNĐ,Ngọc Lâm, 98m2,,,,,"
    
Bán nhà mặt đường phố Ngọc Lâm, Quận Long Biên, Hà Nội, vị trí đắc địa gần công viên, vườn hoa Ngọc Lâm
 Nhà dt 97,5 m2 x 2 tầng (tầng 1 phòng khách + bếp; tầng 2 có 1 phòng ngủ nhỏ và 1 phòng ngủ lớn, phòng thờ + kv giặt + sân phơi)
 Đường trước nhà rộng hơn 11 m, có vỉa hè rộng, khu dân trí cao, an ninh tốt, kv quanh năm thoáng mát, gần chợ dân sinh và trường liên cấp ... và nhiều các tiện ích khác .
 Sổ đỏ chính chủ, ký công chứng luôn và ngay trong vòng 1 nốt  Giá bán inbox hoặc điện thoại trực tiếp


 0903212751 - Mr. Tùng

",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794076.2008243,, Tây nam
"7,5 tỷ VNĐ",Vân Nội, 250m2,,,,," HOT   Chính chủ cần chuyển nhượng lô đất tại Xóm Nhì, Xã Vân Nội, Huyện Đông Anh, Tp. Hà Nội
 Diện tích 250 m2 thổ cư lâu dài
+ Vị trí đất nằm trong ngõ bê tông có đường phía trước và phía sau. Đường trước khu đất rộng 3,5 m, đường phía sau khu đất rộng 2 m, đất nở hậu phong thuỷ tốt, ô tô ra vào quay đầu thoải mái
+ Khu vực cách cầu Nhật Tân 10 km và cách sân Gofl Vân Trì 1 km
+ Xung quanh dân cư đông đúc và thân thiện, gần chợ, siêu thị ... vị trí thoáng mát, lô đất vuông vắn có thể chia nhiều lô để xây dựng nhà kinh doanh.
+ Lô đất tiềm năng dành cho các nhà đầu tư, khả năng sinh lời cao   Giá bán 30 triệu/m2


 Pháp lý chuẩn, sổ đỏ chính chủ
Anh/ chị em quan tâm liên hệ để được tư vấn cụ thể


 0903212751 - Mr. Tùng
 

",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794077.5561981,,
"6,3 tỷ VNĐ",Đại La, 53m2,, 5, 10, 5,"
    


BĐS gửi bán gấp căn nhà tại ngõ 121 Đại La, Phường Trương Định, Quận Hai Bà Trưng, Tp. Hà Nội.
 Nhà dt 52,3 m2 x 4 tầng (tầng 1 có 2 phòng ngủ + 1 bếp; tầng 2 và tầng 3 mỗi tầng có 2 phòng ngủ; tầng 4 là phòng thờ + kv giặt + sân phơi)
 Nhà bố trí theo kiểu chung cư mini hiện đang cho sinh viên thuê các phòng riêng lẻ, lúc nào cũng full khách, thu nhập cho thuê ổn định
 Ngõ rộng hơn 3 m, từ ngõ vào nhà khoảng 50 m, đường Đại La trước nhà đã được dự án của Vingroup mở rộng, khu dân trí cao, an ninh tốt, gần trường đại học KTQD, ĐH XD, Đại học Bách Khoa HN và gần ngã tư Vọng
 KV quanh năm thoáng mát, gần chợ dân sinh và trường liên cấp ... và nhiều các tiện ích khác .
 Sổ đỏ chính chủ, pháp lý rõ ràng
 Giá bán 6,3 tỷ có thương lượng cho người thiện trí


 0903212751 - Mr. Tùng
SÀN GIAO DỊCH BẤT ĐỘNG SẢN - PHUC LONG LAND
Đ/c: Tầng 4 - Số 6 Ngõ 23 Đỗ Quang, Phường Trung Hoà, Quận Cầu Giấy, Tp. Hà Nội


 Nhà dt 52,3 m2 x 4 tầng (tầng 1 có 2 phòng ngủ + 1 bếp; tầng 2 và tầng 3 mỗi tầng có 2 phòng ngủ; tầng 4 là phòng thờ + kv giặt + sân phơi)
 Nhà bố trí theo kiểu chung cư mini hiện đang cho sinh viên thuê các phòng riêng lẻ, lúc nào cũng full khách, thu nhập cho thuê ổn định
 Ngõ rộng hơn 3 m, từ ngõ vào nhà khoảng 50 m, đường Đại La trước nhà đã được dự án của Vingroup mở rộng, khu dân trí cao, an ninh tốt, gần trường đại học KTQD, ĐH XD, Đại học Bách Khoa HN và gần ngã tư Vọng
 KV quanh năm thoáng mát, gần chợ dân sinh và trường liên cấp ... và nhiều các tiện ích khác .
 Sổ đỏ chính chủ, pháp lý rõ ràng
 Giá bán 6,3 tỷ có thương lượng cho người thiện trí


 0903212751 - Mr. Tùng
 

",18/10/2022,Tin thường,batdongsan_so_com_vn_1673794078.6053903, 5, Tây bắc
