price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Hướng,Số phòng ngủ,Số toilet
"8,3 tỷ VNĐ","Đường Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng", 72m2, 1,"Bán gấp Trần Đại Nghĩa, ngay sát trường Đại học Kinh Tế, Bách Khoa, di chuyển thuận lợi đi Giải Phóng, Đại Cổ Việt, Lê Thanh Nghị.  Trước nhà ô tô tải đỗ cửa, 10m ra ô tô tránh. Xây tòa nhà văn phòng, xây chung cư mini thì không còn gì bằng.  DT: 72M, giá chỉ 8.3 tỷ LH: EM PHÚ0977878186 (Miễn TG - MG)",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786112.5673487,,,,,
"3,75 tỷ VNĐ","Đường Bồ Đề, Bồ Đề, Long Biên", 34m2, 3,"- Diện tích: 34m, mặt tiền 6m - Nhà xây 5 tầng, 2 thoáng, hiện đại, đầy đủ công năng Vị trí nhà cách ô tô 10m, cách mặt phố 30m. Gần hồ, gần chợ, gần công viên, BV Tâm Anh, siêu thị, hàng ăn quán xá cực kì nhiều. + Sổ đỏ vuông A4, cầm như tờ A4. LH: 0962783229.",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786113.6374838, 6, 5,,,
"8,65 tỷ VNĐ",Chính chủ cần bán gấp nhà ngõ phố Hoàng Sâm Đường 800A  Phùng Chí Kiên Nghĩa Đô Cầu Giấy dt 35 m2 giá 8.95 tỷ, 35m2, 6,"Chính chủ cần bán gấp nhà ngõ phố Hoàng Sâm Đường 800A  Phùng Chí Kiên Nghĩa Đô Cầu Giấy dt 35 m2 giá 8.65 tỷ Gia đình em cần bán gấp nhà mặt ngõ Đường 800A, Hoàng Sâm, Phùng Chía Kiên, Nguyễn Khánh Toàn, Phường Nghĩa Đô, Quận Cầu Giấy, diện tích 35 m2, nhà xây dựng 7 tầng thang máy ô tô 7 chỗ vào nhà, ngõ trước nhà rộng,  nhà được thiết kế, đẹp nội thất tiện nghi đầy đủ, tầng 1 để gara ô tô xe máy …., tầng 2 thiết kế bếp phòng khạch , tầng 3+ 4 + 5 thiết kế phòng ngủ, tầng 6 thiết kế phòng thờ, tầng 7 sân phơi, nhà nằm trong khu phân lô dân trí cao an ninh tốt, nhà gần chợ trường học, giao thông đi lại thuận tiện, sđcc, giá bán 8,65 tỷ thương lượng, MTG, môi giới Làm Phiền, LH chủ nhà anh Thụy, 0936359198 / 0961218968 quý khách sẽ được phục vụ tận tình được tư vấn từ a đến z để quý.",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786114.5739784,, 7, Nam,,
"2,1 tỷ VNĐ",iec tứ hiệp, 53m2,,cần bán gấp mấy lô kiot iec  thanh trì ,25/11/2022,Tin thường,batdongsan_so_com_vn_1673786115.5693543,,,,,
"4,5 tỷ VNĐ",hà nội, 90m2,,"Chính chủ bán căn 2N+1 (90m) giá 4.5 tỷ  và căn 3N (104m) giá 5.55 tỷ toà S4 SUNSHINE CITY  view nội khu ,nhận nhà ở luônTIện ích đầy đủ trong quần thể Ciputra Tính năng thông minh ,công nghệ 4.0 điều khiển từ xaCửa chống cháy ,kính 2 lớp cách nhiệt ,chống tiếng ồn Thiết bị vệ sinh nhập khẩu nguyên khối CALL/ZALO: 0886.320.234 ",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786116.790132,,,, 3, 2
"5,8 tỷ VNĐ","Đường Nguyễn Văn Cừ, Gia Thụy, Long Biên", 40m2, 4,"Ảnh  Thật 100%- Bán Nhà Đẹp Gia Thuỵ-Phân Lô Ô Tô- 3 Bước Ra Phố Giá 5.8 Tỷ. Ngân hàng hỗ trợ tới 70% giá trị căn nhà. đừng bỏ qua mà hãy gọi luôn cho em nhé. -Khu vực trung tâm cơ sở hạ tầng cao cấp,dân trí cao,an ninh đảm bảo. -Giao thông thuận tiện gần: Ngọc Lâm,Ngô Gia Tự,Hồng Tiến,Nguyễn Sơn, Chương Dương... -Gần trường học các cấp quốc gia 1,2,3 BV Tâm Anh,Mipec... -Nhà 4 tầng thiết kế phong cách hiện đại, nội thất tốt, đầy đủ khách về ở ngay.  2 mặt ngõ trước sau không gian thoáng đãng, ánh sáng tràn ngập. -Ngõ rộng phân lô ô tô, bãi đỗ xe ngay đầu phố. -Sổ đỏ chính chủ, giao dịch nhanh chóng -Giá công khai: 5.8 tỷ. có thương lượng. -Liên hệ số: 0357.16.2468. E Long để xem và làm vc trực tiếp vs chủ nhà. Cám Ơn. ",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786117.8767602,, 4,, 3,
"21,5 tỷ VNĐ","Đường Hàng Bông, Hàng Bông, Hoàn Kiếm", 32m2, 24,"-Nhà phố cổ Hà Nội đẹp, kinh doanh đỉnh cao,dòng tiền cho thuê tốt giá hợp lý chỉ nhỉnh 20 tỷ -Mặt phố vỉa hè  rộng, cả tây lẫn ta qua lại tấp nập thích hợp kinh doanh mọi loại hình. -Diện tích: 32m. mt: 4.7m  -Nhà 3 tầng khung cột chắc chắn, sổ đỏ chính chủ. -Có cấp phép xây dựng cho chủ mới. -Liên hệ: 0357.16.2468 e Long để xem nhà ạ.",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786118.7275372,, 3,, 3,
4 tỷ VNĐ,"Đường Tôn Thất Tùng, Khương Thượng, Đống Đa", 40m2, 3,"Bán nhà phố Trường Trinh, Đống Đa 40m2, 4 tầng, chỉ 4 tỷ + Gần Ngã Tư Sở, gần trường Đại học Thủy Lợi, Đại học Y, Công Đoàn,...  + Ngõ thông ra Tôn Thất Tùng, Tam Khương, Khương Thượng, đi vào từ ngõ nào cũng thuận tiện + Nhà rất gần phố, đường ngõ thoáng rộng, xe ba gác tránh thoải mái + Nhà 4 tầng chắc chắn, lô góc, cách 10m ra ô tô tránh, đỗ cổng thoải mái, khách mua về ở ngay. + Sổ đỏ đẹp, nở hậu + Giá: Thương lượng LH xem nhà: Đức Anh, 0332618488. Hỗ trợ nhiệt tình 24/7   ",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786119.7518039, 5, 4,, 2, 2
600 triệu VNĐ,Quốc Lộ 21 Cổ Đông Sơn Tây Hà Nội, 61m2,,"Gần khu công nghệ cao Hòa Lạc. Đường sá thuận tiện. Sổ đỏ có sẵn Mặt tiền 5m Xung quanh là trường ĐH FPT, Đại học Quốc Gia Hà Nội, Khu công nghệ cao SX linh kiện điện tử, phụ tùng máy bay. Khu hành chính của ban cơ yếu chính phủ và nhiều tiện ích khác.",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786120.799993,,,,,
"4,7 tỷ VNĐ","Đường Thái Hà, Láng Hạ, Đống Đa", 41m2, 3,"Bán Nhà 5 tầng Thái Hà 4,7 tỷ diện tích 41m2, ngõ to rộng, mặt tiền 4,5m. Nhà ở vị trí ngã tư Thái Hà - Chùa Bộc, vị trí đắc địa cạnh ngay ĐH Công Đoàn và Thủy Lợi. Trước nhà ngõ to rộng, để xe thoải mái ngày đêm. Chủ nhà chú Tuấn cán bộ về hưu bán đi chuyển lên chung cư ở. Sổ đỏ chuẩn pháp lý.",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786124.884692, 4, 5,, 3, 3
