price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số tầng,Lộ giới,Số phòng ngủ,Số toilet
,bằng liệt hoàng mai ha noi, 38m2,"+Nhà tự xây,thiết kế hiện đại phù hợp rất đẹp,ở ngay,4 tầng.4 ngủ thoáng sáng. +Ngõ rộng nông,gần phố,gần ô tô tránh,gần bãi gửi xe, chợ, trường MN,THCS. +Khu dân cư đông đúc,môi trường sống văn minh,thân thiện +Khu vực nhiều người tìm mua,kết nối KĐT Tây Nam Linh Đàm,HH Linh Đàm,chung cư Linh Đàm nhiều tiện ích VIP. +Giao thông thuận tiện khi di chuyển vào TTTP,gần vành đai 3,cao tốc Pháp Vân,bến xe.bệnh viện. + Sổ đỏ đẹp sẵn sàng sang tên. +Gía 2.95tỷ(có thương lượng). +LH Mr Phúc 097.8895.889(zalo)-0912.338.038  ",27/12/2021,Tin thường,batdongsan_so_com_vn_1673834504.8287437,,,,,,
"10,3 tỷ VNĐ",136 Đường Hồ Tùng Mậu, 58m2,"💥Lô đất siêu đẹp sát khu đô thị Goldmark city- Cạnh Công viên Mai Dịch  - phân lô - 🚘🚖 ô tô tránh nhau chạy vòng quanh , 2 mặt thoáng ! ✅ Diện tích 58m2, thực tế sử dụng 2 mặt thoáng 66m , mặt tiền 4,5m✅ Hiện tại nhà C4, khách mua xây nhà 7 tầng , cho thuê kd dòng tiền trên 50tr/ tháng ✅ Khu vực trung tâm , Tiềm năng phát triển tốt , giao thông quá thuận tiện Thông đường Hồ Tùng Mậu, Nguyễn Cơ Thạch, Mai Dịch, cách công viên hồ điều hoà Mai dịch 30m ✅ Giá : 10.3 tỷ    ",26/12/2021,Tin thường,batdongsan_so_com_vn_1673834506.5630896, Nam, 4, 1,,,
,Đường 422B Trịnh Văn Bô, 49.2m2,"Chính chủ bán lô góc 49,2 m đất mặt đường Trịnh Văn Bô kéo dài, kinh doanh rất tốt Diện tích: 49,2 m, mặt tiền 4,1 m vuông vắn, khu đất dịch vụ Vân canh cách đường vành đai 3.5 khoảng 80m , lô góc thoáng mát. Giá thỏa thuận.. Liên hệ: Chị Lan : 0984.657.266 ( Miễn quảng cáo)",26/12/2021,Tin thường,batdongsan_so_com_vn_1673834508.5208986, Bắc,,,,,
"4,6 tỷ VNĐ","Giải phóng, phường Thịnh Liệt, quận Hoàng Mai, Hà Nội.", 48m2,"BÁN NHÀ GIẢI PHÓNG, NHÀ MỚI ĐẸP, NGÕ TO, CÁCH PHỐ LỚN CHỈ 50m, CÁCH Ô TÔ 15m. GIÁ 4.6 TỶ. - Diện tích: 48m2 x 5 tầng mặt tiền 4.6, giá 4.6 tỷ.- Cách phố tầm 50m, cách ô tô 15m, ngõ to, trước nhà hơn 2m rất thoáng, giao thông thuận tiện, chỉ 15p là lên Hoàn Kiếm.* Thiết kế: Rất đẹp và hiện đại, mới tinh, nhìn rất bắt mắt. Chủ là nhà Đầu tư có tiếng, xây dựng rất tâm huyết, cẩn thận. - Sổ đỏ đẹp, sẵn sàng giao dịch, (có thương lượng).- Chi tiết liên hệ chị Yến ĐT, Zalo.",26/12/2021,Tin thường,batdongsan_so_com_vn_1673834510.2684987,,,,,,
120 tỷ VNĐ,Trung Hòa, 201m2,"Chủ chuyển đổi mô hình đầu tư nhờ bán, tòa nhà 9 tầng mặt phố VIP Trung Hòa. Cầu Giấy (khu phố ẩm thực Hàn Quốc). Ngay sát Trần Duy Hưng. Phố kinh doanh sầm uất, văn phòng, căn hộ cao cấp. Vị trí đẹp nhất phố.+ Lô góc 3 mặt thoáng,+ Nhà 8 tầng thang máy, cầu thang giữa, có tầng thông sàn, có tầng chia phòng.Diện tích: 201m2 x 9 tầng, mặt tiền 8.5m.Giá: 120 tỷ (THƯƠNG LƯỢNG TỐT, làm việc trực tiếp chủ nhà).MẶT PHỐ VIP TRUNG HÒA - KINH DOANH SẦM UẤT - MẶT TIỀN LỚN - OTO ĐỖ CỬALiên hệ xem nhà và nhận thông tin chi tiết: 0981367887+ Thừa đất vuông đẹp, sổ pháp lý sạch chuẩn 1 chủ cất két sẵn sàng giao dịch.",26/12/2021,Tin thường,batdongsan_so_com_vn_1673834512.80177,, 8, 9, 21,,
19 tỷ VNĐ,Nguyễn Đức Cảnh - Hoàng Mai - Hà Nội, 100m2,"Bán nhà mặt phố Nguyễn Đức Cảnh, quận Hoàng Mai, 100m, 5m mặt tiền, 19 tỷ Vị trí: Đẹp nhất phố Nguyễn Đức Cảnh, sát quận Hai Bà Trưng, kinh doanh đỉnh của đỉnh, khách mua bán nhộn nhịp. Tiện ích: Sang quận Hai Bà Trưng chỉ vài bước chân, phố rộng 2 chiều kinh doanh khỏi chê, gần công viên hồ Đền Lừ tha hồ đi dạo thể dục, di chuyển Ga Giáp Bát chỉ 5 phút, gần các bệnh viện lớn như Bạch Mai, Việt Pháp, Lão Khoa,…vv. Các trường đại học Bách Khoa, Xây Dựng…vv. Phù hợp tòa nhà 8 tầng vừa ở vừa cho thuê văn phòng, ngân hàng, spa, kinh doanh đa dạng các loại hình. Giao thông: Nguyễn Đức Cảnh kết nối Trương Định, Đại La, Giải Phóng, Minh Khai, Tân Mai, Nguyễn An Ninh…vv. Pháp lý: Sổ đỏ vuông đẹp sẵn sàng thương lượng. Lh: Hoàng 0902253303. Miễn trung gian môi giới",26/12/2021,Tin thường,batdongsan_so_com_vn_1673834514.987789,, 5, 8,, 6,
"6,7 tỷ VNĐ","Phố Đặng Tiến Đông, Phường Thịnh Quang, Quận Đống Đa, Hà Nội", 44m2,"+ Vị trí nhà ngõ rộng cách mặt phố lớn khoảng 20m, ngõ to rộng, sạch sẽ. Khu vực cơ sở hạ tầng tuyến phố dân trí cao, an ninh tốt, hàng xóm thân thiện, xung quanh ngập tràn tiện ích, an sinh tuyệt vời. + Thiết kế:          - Tầng 1:  Phòng khách,  bếp, wc. - Tầng 2: Tầng lửng - Tầng 3,4: Mỗi tầng 2 phòng, wc giữa. - Tầng 5: Phòng thờ, sân phơi rộng. + Nhà xây dựng kiên cố, chắc chắn, khung cột bê tông cốt thép, thiết kế hiện đại, sang trọng, đẹp về ở ngay. Nhà lô  góc  thoáng mát, phòng nào cũng có cửa sổ rộng, ngập tràn không khí và ánh sáng tự nhiên. Giao thông thuận tiện, gần rất nhiều tuyến phố huyết mạch của thành phố Thái Hà, Thái Thịnh, Chùa Bộc, Tây Sơn…. + Sổ đỏ chính chủ                                                Liên hệ: Mr Khanh 0989075515 hỗ trợ xem nhà.",26/12/2021,Tin thường,batdongsan_so_com_vn_1673834517.3619275,,,,,,
5 triệu VNĐ/m2,"Bán đất du lịch nghỉ dưỡng tại Hồ Đồng Đò, Xã Minh Trí, Sóc Sơn, 5tr/m2; 0972905263", 3000m2,"Bán đất du lịch nghỉ dưỡng tại Hồ Đồng Đò, Xã Minh Trí, Sóc Sơn, 5tr/m2; 0972905263  -Diện tích: 3.000m2, mặt tiền 60m.-Giá bán: 5 triệu/m2.-Pháp lý: Sổ đỏ chính chủ, sang tên nhanh chóng.-Vị trí: Lô đất đẹp, bằng phẳng, thuộc khu bờ suối Hồ Đồng Đò.-Đất hai mặt tiền, đường chính giáp mặt bờ suối rộng 5m, đường rẽ phải là 4,5m.-Khu vực dân cư đông đúc, an ninh tốt, giao thông thuận tiện, đầy đủ tiện ích xung quanh-Rất thích hợp làm du lịch, homestay, khu nghỉ dưỡng, khách thiện chí đầu tư sinh lời cao. - Giá bán: 5 triệu/m2. -Xin liên hệ: 0972905263 để được xem đất và thương lượng giá cả!       http://www.sanbatdongsanviet.com.vn",26/12/2021,Tin thường,batdongsan_so_com_vn_1673834522.2401676,,,,,,
"1,85 tỷ VNĐ",Minh Khai - Hà Nội, 30m2,"Gấp lắm rồi gia chủ có tuổi con cái thành đạt đã gia nước ngoài định cưu hết vì tình hình dịch bệnh căng thẳng nên quyết bán đi về quê an hưởng tuổi già.Vị Trí cực đẹp sát phố , đúng ba bước chân ra oto đỗ , vài phút là ra mặt đường Minh Khai an sinh tuyệt vời ,  rất tiện lợi cho việc đi lại vì ngay gần ngã tư Mai Động  ,Kim Ngưu, Minh Khai, ….. là khu đã quy hoạch ổn định giá đất chỉ có tiến chứ không có lùi. Tới các khu trung tâm và các trường Đại Học lớn như Bách Khoa , Xây Dựng, Kinh Tế Quốc Dân….vài phút đi xe là ra Time City , bờ Hồ , Tây hồ Sổ đẹp chính chủ vuông đét như bàn cờ Hàng xóm toàn giáo viên , bác sĩ dân trí cực caoGiá chào 1.85 tỷ có thương lượng chủ nhà cực kỳ thiện trí cho khách hữu duyên Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",23/12/2021,Tin thường,batdongsan_so_com_vn_1673834524.3921394,,,,,,
"2,1 tỷ VNĐ",Mạc Thị Bưởi - Hà Nội, 45m2,"-Vị trí đắc địa phố Mạc Thị Bưởi - Hai Bà Trưng, An sinh thì khỏi bàn tận dụng mọi tiện ích của lien hoàn các tổ hợp chung cư như Hòa Bình city, Time City….. cách đúng vài bước chân là  ra đường oto vài phút là  ra mặt phố lớn, -Giao thông thuận tiện đi, Kim Ngưu, Nguyễn Khoái, Lạc Trung, Yên Lạc, Quỳnh Mai, Quỳnh Lôi, Vĩnh Tuy, Thanh Nhàn; nhà gần UBND Phường Thanh Lương, THCS Hai Bà Trưng, khu đô thị Time city, tập thể Quân Y 108, aeon Mall Long BiênThừa hưởng mọi tiện ích của time city cũng như khu chung cư Hòa Binh , thuộc khu đã phân lỗ an sinh cực tốt dân trí cao_Nhà chủ tự thiết kết hợp lý ,khung cột cực kỳ chắc chắn- Xung quanh tiện ích đầy đủ, điện đường trường trạm đủ cả chả thiếu thứ gì - Sổ đỏ giêng chính chủ. - Giá chào 2.1 tỷ (có thương lượng).Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Phương châm làm việc :- Bán nhà bằng cái tâm và cái tầm.- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý    ",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834526.7323248,,,,,,
