price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"4,6 tỷ VNĐ",Hà Cầu- Hà Đông, 46m2, 5,"Bán nhà trước rằm tháng giêng, 46mx5T, lô góc, ngõ thông, nội thất Vip, Hà Cầu, Hà Đông Chính chủ gửi bán nhà đẹp, vị trí đắc địa nhiều lộc, gia chủ làm ăn thịnh vượng có nhiều tài sản cần bán bớt để mở rộng kinh doanh. Ngõ rộng thông muôn nơi, nhà tự mua đất xây vượng khí tài lộc với 5 tầng thoáng sáng, đầy đủ công năng sử dụng, phòng nào cũng có cửa sổ ban công đón nắng giói, nhà đẹp nhất khu, ô tô đỗ rất gần, vài bước ra phố. Xung quanh vô vàn tiện ích: chợ, siêu thị, ngân hàng, bệnh viện...khu vực dân trí cao, quanh năm sầm uất. Giao thông tỏa các hướng: Lê Lợi, Tô Hiệu, Bà Triệu, Văn Quán, Nhuệ Giang, Phùng Hưng, Đa Sỹ,... Chủ nhà thành đạt, con cái đuề huề rất có lộc, thiện chí bán nhanh có gia lộc. Giá: 4.6 tỷ ( có thương lượng). Sổ vuông như tờ A4, sẵn sàng giao dịch. Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian). ",10/02/2022,Tin thường,batdongsan_so_com_vn_1673831971.0673027,,,,,
"3,78 tỷ VNĐ",Văn Phú- Hà Đông, 36m2, 5,"Văn Phú, Hà Đông, 2 thoáng, ô tô gần, dân xây, tặng nội thất, 36mx5 tầng Cần bán gấp nhà đẹp khu vực đáng sống bậc nhất Hà Đông - Văn Phú, nhà xây chắc chắn chủ tâm huyết thuê thiết kế và xây theo ý mình, nhà như biệt thự, nội thất sang xịn đẹp nhất khu, với 5 tầng rộng thoáng sáng trước sau, hàng xóm cực kì thân thiện, chuyển nhà rộng hơn bán đi rất tiếc. Nhà rất gần bãi ô tô, xung quanh đầy đủ trường học từ tư nhân đến quốc tế, nằm cạnh Khu đô thị Văn Phú xa hoa đẹp bậc nhất, tiện ích không thiếu thứ gì, nhà rất mới chỉ xách vali đến ở. Giao thông di chuyển thuận lợi: Quang Trung, Trần Đăng Ninh, Lý Thường Kiệt, Hà Cầu, Cầu Đơ.... Sổ đỏ vuông, pháp lý sạch. Giá: 3.78 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",11/02/2022,Tin thường,batdongsan_so_com_vn_1673831972.2481432,,,,,
"3,81 tỷ VNĐ",Văn Phú- Hà Đông, 37m2, 5,"Bán nhà Văn Phú, Hà Đông, ngõ thông thoáng, dân xây, nội thất xịn, 37mx5 tầng Người thân gửi bán nhà đẹp tự xây chắc chắn với 5 tầng rộng đầy đủ công năng sử dụng, nội thất gỗ Lim xịn xò, ban công đón nắng gió, ngõ thông , ô tô gần. Xung quanh đầy đủ tiện ích: Trường học, gần Quận ủy, siêu thị Metro, ngân hàng, chợ...khu văn minh, hiện đại, dân cư đông đúc. Giao thông di chuyển tuận lợi: Hà Cầu, Quang Trung, Văn La, Phú La, Lý thường Kiệt, Trần Đăng Ninh.... Chủ nhà dân kinh doanh rất có lộc của, lộc con, nay chuyển sang ở biệt thự rộng hơn, thiện chí bán cho khách thực sự yêu nhà. Sổ đỏ vuông, pháp lý sạch. Giá: 3.81 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",11/02/2022,Tin thường,batdongsan_so_com_vn_1673831973.2085826,,,,,
"3,65 tỷ VNĐ",Cầu Đơ- Hà Đông, 36m2, 5,"Cầu Đơ, Hà Đông, ngõ thông thoáng, dân xây, nội thất vip, 36mx5 tầng Cần bán gấp nhà đẹp trong tháng giêng tự xây chắc chắn với 5 tầng rộng đầy đủ công năng sử dụng, nội thất gỗ Lim xịn xò, ban công đón nắng gió, ngõ thông , ô tô gần. Xung quanh đầy đủ tiện ích: Trường học, ngân hàng, chợ, siêu thị...khu văn minh, hiện đại, dân cư đông đúc. Giao thông di chuyển thuận lợi: Văn Phú, Lê Hồng Phong, Quang Trung, Phúc, Yết Kiêu, Nguyễn Trãi,.... Chủ nhà dân kinh doanh rất có lộc của, lộc con, nay chuyển sang ở biệt thự rộng hơn, thiện chí bán cho khách thực sự yêu nhà. Sổ đỏ vuông, pháp lý sạch. Giá: 3.65 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",14/02/2022,Tin thường,batdongsan_so_com_vn_1673831974.3485255,,,,,
"3,75 tỷ VNĐ",Phúc La- Hà Đông, 37m2, 5," Phúc La, Hà Đông, 2 thoáng, ô tô gần, dân xây, tặng nội thất, 37mx5 tầng Bán nhà đẹp gần viện 103 khu vực an sinh đỉnh nhất Hà Đông, khu trung tâm hành chính, nhà xây chắc chắn chủ tâm huyết thuê thiết kế và xây theo ý mình, nhà như biệt thự, nội thất sang xịn đẹp nhất khu, 5 tầng rộng thoáng sáng trước sau, hàng xóm cực kì thân thiện, chủ chuyển nhà rộng hơn bán đi rất tiếc. Nhà rất gần bãi ô tô, xung quanh đầy đủ trường học từ tư nhân đến quốc tế, nằm cạnh Khu đô thị Văn Quán xa hoa đẹp bậc nhất, tiện ích không thiếu thứ gì, nhà rất mới chỉ xách vali đến ở. Giao thông di chuyển thuận lợi: Văn Quán, Phùng Hưng, Nhuệ Giang, Hà Cầu, Bà Triệu, Nguyễn Trãi,.... Sổ đỏ vuông, pháp lý sạch. Giá: 3.75 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian). ",14/02/2022,Tin thường,batdongsan_so_com_vn_1673831975.4645388,,,,,
"3,1 tỷ VNĐ",khương trung thanh xuân hà nội, 35m2, 5,"Chỉ 3.1 tỷ - Có Nhà Đẹp Thanh Xuân - DT 34m2 x 4 tầng - Nhà Dân Xây Ở Ngay  Chính chủ nhờ bán căn nhà trong ngõ Bùi Xương Trạch - Quận Thanh Xuân.  - Diện tích SD 35m2 x 5 tầng  + Thiết kế: - Tầng 1: Phòng khách, bếp ăn, wc - Tầng 2.3.4 : Tổng 6 phòng ngủ, wc - Tầng 5: Phòng thờ, sân phơi. 🏡 Nhà dân xây kiên cố thiết kế mỗi tầng 2 phòng, thoáng trước, các phòng đều có cửa sổ thông thoáng.  - Ngõ vào nhà ba gác, cách ô tô đỗ100m, tương lai nhà gần đường VĐ 2.5.  🏡 Nhà gần chợ dân sinh, trường học, cách Ngã 4 Sở khoảng 2km, giao thông thuận tiện.  📕 Sổ đỏ chính chủ, sẵn sàng giao dịch ngay.  - Giá bán 3.1 tỷ ( có thương lượng).",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831976.713199, 3, 4, 3,,
"7,7 tỷ VNĐ","Nguyễn Xiển, Thanh Xuân, Hà Nội", 55m2,,"Bán mảnh đất hiếm hoi còn xót lại khu phân lô quận Thanh Xuân., ngõ thông ô bàn cờ. Đường trước nhà ô tô tránh. Vị trí cực đắc địa của quận Thanh Xuân, ngay gần ngã tư Nguyễn Xiển - Khuất Duy Tiến, giao thông đi lại thuận tiện, dân trí cao, an sinh đỉnh Ngõ thẳng tắp cách mặt phố vài bước chân. + Diện tích 55m, mặt tiền 4m. + Sổ đẹp vuông vắn. + Giá chào: 7.7 tỷ + Liên hệ xem nhà và tư vấn pháp lý, thủ tục, kiểm tra quy hoạch:  Anh Đức 0988 484 701 - chuyên nhà đất thổ cư Hà nội và ngoại ô.",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831977.86412, 4,,, 6,
"3,98 tỷ VNĐ","Số 5, Tổ 10, nghách 1395/11 Đường Giải Phóng, Hà Nội", 39m2, 1,"- Vị trí: Đối diện trường mầm non Hoàng Liệt.- Nằm ngay trung tâm Quận Hoàng Mai.- Cách bến xe Nước Ngầm trường cấp 1,2 Hoàng Liệt, ủy ban phường Hoàng Liệt, ủy ban nhân dân Quận Hoàng Mai 300 mét.- Gần hồ Linh Đàm, Yên Sở, Vành Đai 3.- Rất thuận tiện cho việc giao thông, đi lại.- Diện tích: 40m2.- Sổ đỏ chính chủ.- Giá: 3,98 tỷ (Có thương lượng)",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831979.2085242, 3, 1, 1, 3, Đông
"16,5 tỷ VNĐ",Hà Nội, 120m2,,"Cần bán tòa nhà Aparterment cao cấp, ô tô tránh, thang máy ngay trung tâm quận Đống Đa - SĐT: 0366 555 258.Với 30 căn hộ cao cấp, nội thất sang chảnh, 120m2, 7 tầng thang máy xin, 02 cửa hàng kinh doanh dịch vụ, dòng tiền 2 tỷ/năm.Tòa nhà được thiết kế hiện đại nằm trong khu vực đông dân cư, kinh doanh sầm uất.Xung quanh rất nhiều tòa nhà căn hộ chung cư mini lớn nhỏ cho thuê, giá trung bình mỗi phòng là 4-5 triệu.Tòa nhà nằm ngay trung tâm quận Đống Đa, gần nhiều trường đại học: Đại học Luật, Đại học Giao Thông, Học viện Ngoại giao … cho thuê không cần quảng cáo. Giá chào 16.5 tỷ thương lượng sâu. Chủ đang rất mong bán, giá chốt bất ngờ.Ms Thanh - phù thủy mặt phố. Sở hữu nhiều thông tin nhà, với đủ phân khúc lớn nhỏ từ 10 tỷ cho đến hàng trăm tỷ.Vị trí đẹp, tính thanh khoản cao, đáp ứng đầy đủ nhu cầu ở, đầu tư sinh lời của các khách hàng. Tìm là có nhờ là được - SĐT: 0366 555 258.",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831980.2487407,,,,,
17 tỷ VNĐ,Hà Nội, 80m2,,"BÁN NHÀ ĐẸP - NỘI THẤT XỊN - THANG MÁY - Ô TÔ TRÁNH VỈA HÈ KINH DOANH - SĐT: 0366 555 258.Diện tích 80m2, 8 tầng, 8m mặt tiền, 17 tỷ thương lượng sâu. + Ngõ thông ra nhiều phố Nguyên Chí Thanh, Nguyên Hồng, Vũ Ngọc Phan, Trúc Khê... giao thông đi lại thuận tiện.Thiết Kế:  + Thiết kế đẹp, thang máy nhập khẩu, trang thiết bị nội thất hiện đại, phù hợp công năng mọi loại hình kinh doanh. + Đầy đủ GPXD, chủ mua về tự xây mới hoàn thiện được 1 năm còn như mới. + Sổ vuông đỏ chính chủ, pháp lý đầy đủ.Liên hệ: 0366 555 258.",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831981.2779863,,,,,
