price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"5,32 tỷ VNĐ",Cầu giấy, 59m2," BÁN NHÀ QUAN HOA 59M MẶT 4M8 Ô TÔ NHỈNH 5 TỶ Vị trí đẹp, trung tâm cầu giấy. Gần các Trường Đại Học Thủ Đô, ĐH Quốc Gia, Sư Phạm, Học viện Báo Chí Tuyên Truyền., Viện bảo tàng Dân tộc học.. Đường thông tứ phía, thoáng. Kinh doanh được, Nhà tự xây chắc chắn sẵn ở, Kinh doanh. Sổ đẹp, pháp lý rõ ràng, sạch sẽ, sẵn sang tên nhanh gọn. Thiện trí xem nhà liên hệ Em Đức 0898839292.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814999.963241,,,,,
5 tỷ VNĐ,Tây Sơn, 40m2,"+ Bán gấp nhà Phố Tây Sơn – Đống Đa, 40m2, 5 Tầng, Mặt tiền 3.9m, Ô TÔ gần, Nhỉnh 5 Tỷ. + Trung tâm Quận Đống Đa, thông sang Đường Láng, Thịnh Quang, Trường Chinh. + Đi bộ vài phút ra Ngã Tư Sở, gần nhiều trường Đại học lớn, TTTM, bệnh viện, chợ, bãi xe Ô TÔ cách 25m. +  Ngõ nông rộng, đường trước nhà rộng thông thoáng, cách đường lớn 70m. + Nhà chủ xây mới  để ở bán đi cho con đi du học, nội thất cao cấp, đầy đủ công năng sử dụng, khách mua về ở ngay. + Giá: 5.5 Tỷ ( Còn thương lượng nhiều). + Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815001.3450527, 3, 5, 4,,
"5,2 tỷ VNĐ",Cầu giấy, 59m2," BÁN NHÀ QUAN HOA 59M MẶT 4M8 Ô TÔ NHỈNH 5 TỶ Vị trí đẹp, trung tâm cầu giấy. Gần các Trường Đại Học Thủ Đô, ĐH Quốc Gia, Sư Phạm, Học viện Báo Chí Tuyên Truyền., Viện bảo tàng Dân tộc học.. Đường thông tứ phía, thoáng. Kinh doanh được, Nhà tự xây chắc chắn sẵn ở, Kinh doanh. Sổ đẹp, pháp lý rõ ràng, sạch sẽ, sẵn sang tên nhanh gọn. Thiện trí xem nhà liên hệ Em Đức 0898839292.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815002.560801,,,,,
"3,8 tỷ VNĐ",Nguyễn Trãi, 35m2,"LÔ GÓC! Phố Nguyễn Trãi, vị trí cực đẹp, 35m, mặt tiền 4.6m, gần ô tô, ở sướng, nhỉnh 3 tỷ. LH 0975124520. + Nhà nằm trên phố Nguyễn Trãi vị trí cực đẹp, ngõ thoáng sáng rất yên tĩnh, sạch sẽ, ở cực sướng, thích hợp khách có nhu cầu mua gần trung tâm mà lại gần phố, đi bộ ra phố chỉ tích tắc.+ Khu vực tiện ích bạt ngàn gần nhiều trường Đại học như ĐH Hà Nội, Giao thông vận tải., bệnh viện, TTTM, giao thông thuận tiện gần ngã tư Khuất Duy Tiến.+ Nhà xây KCBT chắc chắn, khách mua chỉ việc về ở, nhà xây kiên cố lên thêm tầng được. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Liên hệ: Phùng Trang  0975 124 520.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815003.6249533,,,,,
10 tỷ VNĐ,Thụy Khuê - Tây Hồ - Hà Nội, 36m2,"Bán nhà Thụy Khuê – Tây Hồ kinh doanh sầm uất, đường ô tô tránh, nhà vừa ở vừa kinh doanh, nhà chủ xây để ở nên rất chắc chắn, đầy đủ công năng sử dụng, chủ xác định bán đất tặng nhà. Nằm trên tuyến đường huyết mạch, giao thông thuận tiện, gần ngay Hoàng Hoa Thám, Lạc long Quân.... Gần ngay trường học, siêu thị, bệnh viện.... Sổ đỏ chính chủ. Giá: 10 tỷ ( thương lượng ). Liên hệ Công Dũng - 0913319185. Cảm ơn quý khách đã xem tin.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815004.836723,,,,,
"3,6 tỷ VNĐ",Đường Tạ Quang Bửu phường Bạch Đằng, 52m2," 10M RA MẶT PHỐ LÊ THANH NGHI.
 NGÕ 3M THÔNG

Mô tả: 

- Nhà đẹp trung tâm quận HBT, gần ngay BV Bạch Mai…, ĐH Kinh tế quốc dân, Đh Xây dụng, Đh Bách khoa…
- Nhà  chỉ cách 1 nhà ra phố Lê Thanh Nghị,  rất thuận lợi giao thông. Nơi hội tụ rất nhiều SV và người đi làm có nhu cầu thuê nhà.

- Thiết kế: Nhà có 2 cầu thang riêng biệt đi đc cả 
+ Tầng 1 : Thông sàn Kinh doanh, khách, bếp, WC.
+ Tầng 2,3,4 : phòng master cực rộng, 2 phòng ngủ đi cầu thang 2, 2WC.
+ Tầng 5 : Thông sàn làm sân chơi, phòng thờ, sân phơi.

- Sổ đỏ chính chủ.
Lh 0336 588 588
",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815006.0454779, 4, 6, 4, 1, 4
"3,5 tỷ VNĐ",Đường Uy Nỗ phường Xuân Nộn, 81m2,"Diện tích: 81.71m Mặt tiền: 5m Hướng Bắc Đường ô tô tránh nhau + Sát bìa làng sắp mở rộng đường.  Cách trung tâm Đông Anh chỉ 2km. Bán kính 1km đầy đủ tiện ích: trường học, bệnh viện Bắc Thăng Long, chợ Z153, chợ Cửa Hàng Mới, trường Cao Đẳng... Khu dân cư đông đúc, văn minh, hàng xóm thân thiện. Đất đấu giá pháp lý an toàn, không vướng quy hoạch, sổ đỏ sang tên 1 nốt nhạc.  LH Em Huy kết nối chính chủ: 0979.696.848",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815007.3789115, 5,,,,
10 tỷ VNĐ,Thuỵ Khuê - Tây Hồ - Hà Nội, 36m2,"Bán nhà mặt phố Thụy Khuê kinh doanh sầm uất, lô góc, diện tích 35m, 5 tầng, mặt tiền rộng. Nằm trên đoạn đường đẹp nhất của phố, đường trước nhà rộng thênh thang, ô tô tránh nhau, xe vào nhà. Nhà lô góc với đầy đủ công năng, có thể vừa ở vừa kinh doanh. Gần ngay Hoàng Hoa Thám, gần ngay Hồ Tây, Lăng Bác, vườn Bách Thảo, trường Chu Văn An….. Khu dân trí cao, an ninh tốt, hàng xóm thân thiện. Thiết kế: + Tầng 1: phòng khách + bếp, WC. + Tầng 2, 3, 4 : mỗi tầng 1 ngủ + WC khép kín. + Tầng 5: phòng thờ + sân phơi. Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ: Công Dũng - 0913319185 Cảm ơn quý khách đã đọc tin.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815008.5587542,,,,,
10 tỷ VNĐ,Thụy Khuê - Tây Hồ - Hà Nội, 35m2,"Nằm trong khu vực đắc địa nhất của tuyến phố, kinh doanh sầm uất cả ngày lẫn đêm. Đường rộng thênh thang, ô tô tránh, giao thông vô cùng thuận tiện. Nhà chủ xây để ở rất chắc chắn, đầy đủ công năng vừa ở vừa kinh doanh. Sổ đỏ chính chủ. Giá: 10 tỷ ( thương lượng trực tiếp với chủ nhà ). Liên hệ Công Dũng - 0913319185",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815009.628932,,,,,
"4,4 tỷ VNĐ",Nguyễn Trãi, 43m2,"+Bán nhà Nguyễn Trãi, 43m, MT 5m, gần ô tô, vài bước chân ra mặt phố, KD, nhỉnh 4 tỷ. LH 0975124520. + Vị trí cực đẹp ngõ xe ba gác, trước nhà rộng để xe thoải mái, gần phố cách mặt phố Nguyễn Trãi khoảng 30m, ngay gần Ngã tư sở đi lại giao thông thuận tiện. + Khu vực trung tâm tiện ích bạt ngàn gần nhiều trường Đại học đối diện ĐH KH Tự Nhiên, Nhân Văn, bệnh viện, gần khu Vinhome Cao Xà Lá, Royal city... + Nhà xây đã nhiều năm khung cột rất chắc chắn khách mua về ở tốt hoặc sửa lại tùy ý, thiết kế mỗi tầng 2 phòng. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Liên hệ: Phùng Trang  0975 124 520.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815010.9317818,,,,,
