price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
15 tỷ VNĐ,"NGÔ GIA TỰ, LONG BIÊN", 50m2,"- Chủ nhà chuyển về ở với con cái nên cần bán nhà tại mặt phố Ngô Gia Tự, Long Biên. - Nhà có vị trí kinh doanh đắc địa, sầm uất ngày đêm, ô tô đỗ cửa, vỉa hè rộng thoáng kinh doanh bất chấp mọi loại hình, nhà có 2 mặt phố và mặt ngõ. - Nhà nằm ngay mặt phố Ngô Gia Tự, giao thông thuận lợi, đường 2 chiều thoáng, gần đường quốc lộ 5, cầu Đông Trù. - Nhà gần bện viện Đức Giang, chợ Ô Cách, gần nhiều trường học từ mầm non đến cấp 3, cách TTTM BigC Long Bien 5 phút đi xe, gần nhiều ngân hàng, siêu thị. - Tầng 1,2,3: Thồng sàn, kinh doanh - Tầng 4: phòng khách, bếp. - Tầng 5: 2 phòng ngủ, wc. - Tầng tum: sân phơi, trồng rau ăn quanh năm không hết. - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Liên hệ xem nhà: PHƯƠNG QUỲNH - CHUYÊN BĐS THỔ CƯ - 0337594758",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817868.5017338,,,,,,
"6,4 tỷ VNĐ","HOA LÂM, LONG BIÊN", 40m2,"- Chủ nhà không ở đến nên cần bán nhà tại phố Hoa Lâm, Long Biên. - Nhà có vị trí kinh doanh sầm uất, buôn bán đa ngành nghề, ô tô đỗ cửa, hai ô tô tránh nhau được, ngõ thông thoáng trước sau . - Nhà thông sang đường Vũ Đức Thận, giao thông vô cùng thuận lợi, gần đường quốc lộ 5, cách trục đường Ngô Gia Tự 300m. - Nhà gần bệnh viện Đức Giang, TTTM BigC Long Biên 3 phút đi xe, gần các trường học mẫu giáo- c3, ngay chợ Hoa Lâm. - Hiện trạng nhà đang là nhà 2 tầng cho thuê kinh doanh thu nhập hàng tháng cao. - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Liên hệ xem nhà: PHƯƠNG QUỲNH - CHUYÊN BĐS THỔ CƯ - 0337594758",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817870.0715287,,,,,,
"4,5 tỷ VNĐ",Phố Quân Nhân, 36m2,"+ Quan Nhân – Thanh Xuân + Diện tích 36m – 4 Tầng – MT3.5m + Giá bán: 4.5 tỷ + Liên hệ xem nhà: 0902083139. + Vị trí cực đẹp giao thông thuận lợi, đường rộng, thoáng, gần hồ điều hoà gần các trường đại học như: KHXH &NV, Thủy Lợi, Công Đoàn, Âm Nhạc, Ngoại Ngữ. Gần chợ, giao thông đi khắp ngả. + Chủ nhà đầu tư gần tỷ tiền nội thất sửa chữa lại để ở nhưng nay có việc gia đình cần bán lại. + Đường trước nhà ba gác vào thoải mái. + Thiết kế mỗi tầng 2 ngủ và vệ sinh. Tổng 4 ngủ, đầy đủ công năng. + Nằm ở khu dân cư đông đúc sầm uất khu dân trí cao, an ninh tốt. + Sổ đỏ vuông đẹp, cất két sẵn sàng giao dịch.",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817871.435055, 3, 4, 4, 4,,
18 triệu VNĐ,Đường Tỉnh lộ 420 phường Yên Bình, 270m2,"Chính chủ bán lô đất tại Linh Sơn có tổng diện tích 270m2 mặt tiền 5,5m nở hậu đường rộng 10m. *Vị trí tại Linh Sơn, xã Bình Yên, Thạch Thất, thành phố Hà Nội.Giá bán: 18tr/m2- Đường trước mặt rộng rãi, 2 ô tô tránh nhau thoải mái- Nối liền với nhiều tuyến đường lớn trọng điểm dễ dàng thuận tiện đi lại về các thành phố lớn. - Không khí thoáng đãng vô cùng dễ chịu. - Nằm cạnh khu dân cư, gần chợ, trường học, Ủy ban nhân dân.- Đi 90m ra trục chính 420 có quy hoạch mở rộng 28m đường nhựa- Chưa tới 500m ra Quốc Lộ 21 có quy hoạch mở rộng 60m (đang triển khai). Chỉ vài phút di chuyển là tới ĐH FPT, khu công nghệ cao Hoà Lạc với dự kiến khoảng 500.000 công nhân tại các nhà máy về đây làm việc, được coi như là mỏ vàng của các nhà đầu tư bởi tiềm năng tăng giá cực khủng trong tương lai gần. Đó là khu Công nghệ cao Hòa Lạc. Đó là những dự án khu đô thị lớn hàng đầu. Đó là tuyến đường sắt đô thị nối Hòa Lạc với trung tâm Hà Nội. Đó còn là những cơ chế, chính sách thu hút đầu tư... *Cơ hội hiếm có cho các nhà đầu tư Hoà Lạc Tiền nào của nấy !!! *Chính chủ miễn trung gian, liên hệ: Mr.Long: 094.151.9508",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817876.487828, 5,,,,,
5 tỷ VNĐ,Quan Nhân, 44m2,"+ Trung tâm Quận Thanh Xuân, tiện ích bạt ngàn.+ Nhà cách mặt phố đúng 2 nhà, bãi xe ô tô 20m.+ Chủ xây tâm huyết để ở, nội thất toàn gỗ xịn, nhà Lô Góc thoáng mát, khách mua về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà, tại Hà Nội, miễn phí xem nhà 24/7.",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817877.5739222, 4, 5,,,,
"5,6 tỷ VNĐ",Lê Thanh Nghị, 70m2,"PHẢI NHANH MỚI KỊP, GIÁ CỰC SỐCS = 70m2, 4 tầng + Vị trí vip 50m ra mặt phố kinh doanh sầm uất bậc nhất thủ đô, gần ngay các trường đại học lớn, sinh viên và người lao động thuê phòng luôn đông đúc. + Ngõ trước nhà rộng, thông, thoáng, 2 ba gác tránh nhau. + Nhà dân xây, kiên cố, chắc chắn, có thể lên thêm 1 tầng nữa. Hiện vừa ở vừa cho sinh viên thuê. (Hiện trạng có thể bố trí tối đa 7 phòng cho thuê. Nếu lên thêm 1 tầng sẽ tổng 9 phòng. Giá thuê trung bình 4 triệu/phòng). + Sổ đỏ nở hậu rất đẹp, chủ thiện chí. + Giá chào 5.6 tỷ, thương lượng. + Giao thông: Bạch Mai, thanh nhàn, Lê thanh Nghị, Tạ Quang Bửu, Trần Đại Nghĩa, Đại học Mở, đại học Xây Dựng, đại học Bách Khoa, đại học Kinh Tế Quốc Dân, bệnh viện Bạch Mai,... * Liên hệ em Bình, chỉ bán nhà đẹp giá tốt, tư vấn và xem nhà nhiệt tình, miễn phí. * Không tiếp môi giới.",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817878.7647376, 3, 4, 7,,,
5 tỷ VNĐ,Vũ Trọng Phụng, 44m2,"+ Giao thông thuận tiện, cách phố vài bước chân, Ô TÔ gần nhà dừng đỗ ngày đêm cách 15m.+ Vị trí đỉnh, gần trường học, chợ, siêu thị, rất đáng sống.+ Thiết kế nhà hiện đại, nội thất xị xò, khung cột chắc chắn, khách mua về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà, tại Hà Nội, miễn phí xem nhà 24/7.",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817879.9216416, 4, 5, 6,,,
23 tỷ VNĐ,Đường Nguyễn Thị Định phường Trung Hòa, 120m2,"Bán nhà 8 tầng thang máy,ô tô, phố Nguyễn Thị Định, DT 120 m, 30 phòng. Do nhu cầu chuyển đổi mục đích kinh doanh lên cần bán Tòa Nhà 8 tầng phố Nguyễn Thị Định hiện đang cho thuê cả nhà 100 tr/ tháng. Nhà xây dựng khung cột chắc chắn, móng ép cọc cẩn thận, đầy đủ giấy phép xây dựng, PCCC. Nhà được thiết kế theo tiêu chuẩn căn hộ dịch vụ ( CCMN) với 30 phòng khép kín. Vị trí đẹp, gần mặt phố, ngõ thông có thể đi vào từ nhiều phía. Gần các trường ĐH lớn như: ĐH Giao Thông Vận Tải, ĐH Luật, ĐH Ngoại Thương. Gần các trung tâm thương mại lớn nhỏ. Tầng 1 diện tích sàn 120 m2 để được nhiều xe. Tầng 2,3,4,5,6,7: tổng 30 phòng khép kín. Tầng 8 tum. Sổ đỏ đẹp 2 thoáng, diện tích 120 m2, mặt tiền 6 m, nhà 8 tầng thang máy. Giá bán 23 tỷ. Call: không chín 79.82.42.tám không. Thông tin xin liên hệ:  ",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817881.2520819, 6, 8, 30, 30, 3,
250 tỷ VNĐ,Đường Tây Sơn  phường Ngã Tư Sở, 700m2,"Bán nhà 4 tầng mặt phố Quận Đống Đa, DT 700 m, giá 250 tỷ. Nhà 4 tầng đã cũ vẫn ở tốt hiện đang cho thuê làm kho hàng. Vị trí mặt phố quận Đống Đa, mặt tiền lớn thích hợp khách mua xây tòa nhà văn phòng, khách sạn hoặc mua giữ tiền. Đường trước nhà rộng gần 40 m, vỉa hè rộng 5 m. Sổ đỏ chính chủ sẵn sàng giao dịch. Giá bán 250 tỷ. Không chín bốn ba, 313. Sáu tám sáu. Liên hệ: call, zalo.",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817882.5705569, 12, 4, 4, 5, 40,
"3,5 tỷ VNĐ",Trần Phú- Hà Đông, 38m2,"Siêu phẩm Trần Phú, Hà Đông,gần ô tô, ngõ thoáng, 38mx5T, nhỉnh 3 tỷ + Cần bán gấp nhà đẹp xây dựng vô cùng tâm huyết với 5 tầng ánh sáng ngập tràn, ngõ rộng thoáng đẹp, rất gần ô tô vài bước ra phố ô tô tránh, nội thất hiện đại chi việc xách vali đến ở. + Xung quanh nhà hưởng trọn lợi ích Khu đô thị Văn Quán, giáp làng Việt Kiều Châu Âu, cạnh siêu thị Big C, các trường đại học, ngân hàng, khu vui chơi, bệnh viện, dân cư văn minh đông đúc.  + Khu vực trung tâm đi lại các phố chính sang Chiến Thắng lên Thanh Xuân, hàng xóm Nguyễn văn Lộc, cắt ngang Nguyễn Khuyến, di chuyển lên Ao Sen, khu vực hiếm nhà bán. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.5 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",25/06/2022,Tin thường,batdongsan_so_com_vn_1673817883.9189487,, 5,,,,
