price,address,Lộ giới,Details,Ngày đăng,Loại tin,id,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng
,"Đường Quốc lộ 23, Mê Linh, Mê Linh", 20,"CẦN BÁN GẤP XE HUYNDAI i10 SX 2015 MT - RIN TỪNG CON ỐC 99%  - Máy móc bao rin, ko lỗi, lốp mới  - Sơn Zin, FULL lịch sử  - Giá bán : 24x - Địa chỉ xem xe: Trung Tâm Hành chính Huyện Mê Linh - Cam kết xe rin, bền đẹp, ko lỗi, ko ngập nước  Hỗ trợ khách hàng mua xe thủ tục nhanh gọn                  -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-            Hotline & Zalo: 0866590776",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788696.3667758,,,,,,
3 tỷ VNĐ,"Đường Nguyễn Văn Linh, Sài Đồng, Long Biên", 3,"
    NHÀ ĐẸP ĐÓN TẾT - FULL NỘI THẤT - NGÕ NÔNG Ô TÔ ĐỖ CỔNG - HÀNG XÓM VINHOMES HARMONY- SÁT CẦU VĨNH TUY -  VÀO PHỐ GẦN - AN SINH ĐỈNH+Vị trí nhà trung tâm, hàng xóm Vinhomes Harmony, gần Aeon mall, BigC, cầu Vĩnh Tuy, sân golf Long Biên, chợ, trường học các cấp cạnh nhà. Tiện ích ngập tràn.+ Ngõ nông choẹt, ô tô đỗ cổng. Thông ra phố Nguyễn Lam, Nguyễn Văn Linh.+Nhà mới đẹp thiết kế 5 tầng, 3 ngủ, full nội thất, giường tủ, điều hoà, tivi, sofa mới koong. Khách chỉ xách valy về đón Tết. Xem nhà - Liên hệ Mrs. Hương.
",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788697.619425, 33m2, 4, 5, 3, 4,
"2,2 tỷ VNĐ","Đường Tố Hữu, La Khê, Hà Đông", 20,"+ Vị trí : chung cư toạ lạc tại trung tâm quần thể các KĐT lớn : KĐT Văn Khê, KĐT Dương Nội, KĐT An Hưng, Usilk, Parkcity, và ngay mặt đường Lê Văn Lương + Trường học Quốc Tế, Bệnh Viện Hồng Ngọc, Công viên thiên văn học, đại siêu thị Aeonmall Hà Đông cách chung cư 500m + Toà nhà có tổng 28 thang máy, 2 tầng để xe thoải mái+ Mật độ xây dựng thấp chỉ 39%, không gian sống trong lành, yên tĩnh có khu vui chơi cho trẻ em, và sân đi bộ cho người già + SĐCC, pháp lý sạch+ Liên hệ: Em Thảo Thảo: 0793021170, để đi xem nhà miễn phí, và được tư vân tận tâm nhất, TRÂN TRỌNG!!!",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788699.0156891, 74m2, 4, 15, 2, 2,
"8,2 tỷ VNĐ","Đường Bùi Xương Trạch, Khương Đình, Thanh Xuân", 5,"NHÀ PHÂN LÔ 4TẦNG – Ô TÔ TRÁNH TRƯỚC CỬA – NGÕ THÔNG TỨ TUNG- NGÕ PHỐ BÙI XƯƠNG TRẠCH  - DT 48 m2 - Mt 4,3 m - Giá chào : 8.2 tỷ -nhà phân lô. sổ vuông vắn. 4 tầng chắc chắn. chủ nhà đang cần bán sớm nên để giá rất rẻ  - tầng 1 phòng khách. bếp và wc  - tầng 2-3 mỗi tầng có 2 phòng ngủ rộng  - tầng 4 phòng thờ và sân phơi  - nhà móng xây kiên cố nên có thể lên thêm tầng thoải mái  - nhà nhiều lối vào. có thể đi ngõ 29 khương hạ hoặc ngõ 108 bùi xương trạch rất gần.  - nhà sát trường mẫu giáo. trường cấp 1-2-3 khương đình và nhà văn hóa phường. thoáng vĩnh viễn. khu vực rất hiếm nhà bán",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788700.0758536, 48m2, 43, 4, 4, 4,
"15,9 tỷ VNĐ","Đường Nhân Mỹ, Mỹ Đình 2, Nam Từ Liêm",,"+ Vị trí đắc địa, mảnh đất vàng duy nhất còn xót lại tại khu vực Mỹ Đình, thông số hoa hậu, mặt tiền siêu rộng, phù hợp đầu tư, xây phân lô cực đẹp. + Mảnh đất thuộc ngõ 322 Mỹ Đình ( Nhân Mỹ) khu vực dân cư đông đúc, nhiều sinh viên, nhu cầu thuê phòng rất cao, đầu tư xây chung cư mini thì dòng tiền cực tốt. Sổ đỏ đẹp, sẵn sang tên. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788701.2806306, 118m2, 30,,,,
"14,5 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 5,"Bán nhà phố CẦU GIẤy 50M2x8 tầng, ga ra 2ÔTÔ, Kinh Doanh, 2 thoáng, hướng đẹp.Gia đình cần Bán nhà tại phố Cầu Giấy - nhà phân lô - 8 tầng thang máy, gara 2 ôtô, 2 mặt thoáng - Hướng đẹp, Khu phố văn minh lịch sự - an sinh đỉnh.- Quận Cầu Giấy là cửa ngõ quan trọng của Thủ Đô Hà Nội, gồm 8 Phường: Dịch Vọng - Dịch Vọng Hậu - Mai Dịch - Nghĩa Đô - Nghĩa Tân - Trung Hoà - Yên Hoà - Quan Hoa.- Phường Quan Hoa là phường trung tâm của quận, Phố Cầu Giấy dài 1800m rộng 20m là phố trung tâm đẹp nhất quận. +Gia đình cần bán 2lô liền nhau đã xây riêng thành 2 căn nhà 8 tầng mỗi nhà 50m², bán 1 nhà còn 1 nhà để ở và cho thuê văn phòng.Nhà mình bán nằm ở ngõ Quận Ủy Cầu Giấy, vai bước chân ra phố, trung tâm của quận, giao thoa với các tuyến phố lớn thuận tiện đi các ngả đường. Xuân Thủy, Nguyễn Phong Sắc, Dương Quảng Hàm, Láng, Kim Mã..+Gần công viên Cầu Giấy, Thủ Lệ, các trường ĐH: Báo Chí, Sư Phạm, Ngoại Thương, Luật, bệnh viện Phụ Sản, viện Nhi bán kính 1 km.+Trường mầm non, cấp 1, 2, 3 Quan Hoa, Dịch Vọng, trẻ nhỏ đi bộ trong 6 phút.+Từ nhà ra bến xe Mỹ Đình hết 5 phút, ra sân bay Nội bài mất 25 phút theo hướng cầu Nhật Tân. Nhà thiết kế 8 tầng, thang máy, phong cách kiến trúc hiện đại đẹp, đầy đủ công năng thể hiện tầm nhìn thời thượng của gia chủ. Nội thất đầy đủ, cao cấp, thiết kế tỉ mỉ chuẩn từng cm.-Đường trước nhà hơn 4m5, sau nhà là toà nhà của quận ủy, thoáng vĩnh viễn, đưa luồng sinh khí vào nhà luôn thoáng mát, bảo vệ sức khỏe gia đình bạn. Ánh sáng tràn ngập cả ngày không cần bật điện.-Diện tích 50m², thiết kế 6 phòng ngủ khép kín sang trọng, cực xịn xò. Thiết kế:- Tầng 1: Gara 2 ôtô / cửa hàng và 6 xe máy.- Tầng 2: Thông sàn phòng khách cực thoáng rộng sáng.- Tầng 3,4,5: Mỗi tầng 2 phòng khép kín.- Tầng 6: Thông sàn, bếp và phòng ăn cho trên 50 người.- Tầng 7: Phòng thờ, phòng tập thể thao,- Tầng 8: Sân phơi, tiểu cảnh, cafe cuối tuần ngắm toàn thành phố.Khu phố 99% cán bộ, dân trí cao, an ninh cực tốt, cách là quận uỷ/ Hồ điều hòa.+ Sổ đỏ, pháp lý rõ ràng, sẵn sàng sang tên.+ Giá bán 14tỷ5.+ Sổ đỏ chính chủ, pháp lý chuẩn. Sẵn sàng giao dịch.Liên hệ chính chủ: Anh Thành 0901761713để được gặp trực tiếp với chủ nhà đàm phán).",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788702.468453, 50m2,, 8, 6, 7,
16 tỷ VNĐ,"Đường Võ Văn Dũng, Ô Chợ Dừa, Đống Đa", 1,"Bán nhà phố Võ Văn Dũng Hoàng Cầu Đống Đa Hà Nội 16 tỷ. Nhà đẹp mặt tiền rộng 5.5m khu toàn kinh doanh nhà hàng Spa Café.. cách hồ Hoàng Cầu khoảng 200m, phu phố VIP nhất Hoàng Cầu gần các phố lơn Trần Quang Diệu, Hoàng Cầu trong quần thể phân lô ô tô chạy vòng quanh sổ đỏ chính chủ vuông giao dịch ngay 60m2 mỗi tầng 2 phòng rộng khép kín gia đình cần bán giá chào nhỉnh 16 tỷ có thương lượng trục tiếp liên hệ 0773266603.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788703.6852086, 60m2, 5, 5, 7,,
"21,8 tỷ VNĐ",Đường 19/5, 15,"Chính chủ cần tiền đầu tư lớn hơn nên bán 174m2 đất mặt đường 19/5 Văn Quán, Hà Đông, hướng đông nam, mặt tiền 3,2m, trên đất có 1 nhà cấp 4 khoảng 40m2. Rất phù hợp xây tòa nhà văn phòng, tòa nhà hỗn hợp, nhà cho thuê hoặc nhà ở. Diện tích 174 m2, Giá 21,8 tỷ có TL. Sổ đỏ chính chủ. Nhờ anh, chị, em VP có khách bán giúp.",11/10/2022,Tin thường,batdongsan_so_com_vn_1673788705.2220864, 175m2, 3, 1, 1, 1, Đông nam
"35,5 tỷ VNĐ",DG06, 20,"Gia đình cần tiền đầu tư lớn hơn nên bán toà nhà VP 7 tầng diện tích XD 1000m2 vị trí đắc địa trong khu đô thị Kiến Hưng, Hà Đông, thang máy, hệ thống PCCC, điều hoà, bình nóng lạnh... thiết kế mỗi sàn 2 phòng lớn, mặt tiền 10 m, đường trước nhà là đường trục chính 20m kết nối giữa các tòa chung cư, xe bus đi qua, vỉa hè 4m, đối diện là mặt thoáng trường cấp 2, hưởng trọn vẹn 2 bên vỉa hè, hướng Tây Nam, bán kính 300m là 12 toà chung cư, chủ nhà đang kinh doanh làm Trường mầm non chất lượng cao hoạt động ổn định rất uy tín đông học sinh, do cần tiền đầu tư mở rộng thêm các địa điểm trường nên nhượng lại nhà đất và cam kết thuê lại để tiếp tục kinh doanh với giá đề xuất 120tr/tháng. - Đất 130m2, diện tích xây dựng 145m2x7Tầng, giá 35,5 tỷ có TL. - Sổ đỏ chính chủ. - Nhờ anh, chị, em VP có khách bán giúp.",11/10/2022,Tin thường,batdongsan_so_com_vn_1673788706.8058486, 130m2, 10, 7, 10, 10, Tây nam
"2,52 tỷ VNĐ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",,"Bán Mảnh Đất Đẹp Phúc Lợi, Long Biên 39m2 R4,6m chỉ 2,52 tỷ  + Mảnh đất đẹp thuộc khu vực xung quanh bán kính không xa là trường mầm non, các cấp 1, 2 Phúc Lợi, chợ, trạm y tế, vườn hoa Phúc Lợi. Thuận tiện đi các hướng như Vũ Xuân Thiều, KĐT Việt Hưng.. + Sổ đẹp, pháp lý rõ nét, sẵn sàng giao dịch.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788707.968739, 39m2, 4,,,,
