price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"18,5 tỷ VNĐ","Phố Kim Giang, Hà Nội", 90m2, 6,"SIÊU RẺ! TÒA NHÀ MỚI TINH MẶT PHỐ KIM GIANG 90M2, 6 TẦNG THANG MÁY, 18,5 TỶ Diện tích 90m2, nhà xây mới, 6 tầng, mặt tiền 6m, dài 15m. Đường Kim Giang  chỉ vài trăm mét là ra đường Nguyễn Trãi, Hạ Đình, Nguyễn Xiển, Linh Đàm đi đâu cũng tiện. Đường rộng, vỉa hè 3m. Cho thuê từ tầng 1,2,3 còn lại để ở, hoặc có thể cho thuê cả tòa nhà. Tầng 1,2,3: Thiết kế thông sàn chuẩn văn phòng hoặc cửa hàng, thẩm mỹ, spa… Cầu thang và WC phía cuối nhà. Tầng 4: 2PN + WC Tầng 5: Bếp, WC, 1 PN Tầng 6: Phòng thờ + phòng giặt đồ + sân phơi Giá 18,5 tỷ có thương lượng nhẹ Đã có sổ đỏ.                                   Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085, liên hệ trước 1 tiếng để mở cửa xem nhà.",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824665.8184762,,,,,
"5,7 tỷ VNĐ",Đường Nguyễn Văn Linh phường Thạch Bàn, 91m2, 1,"+ Đường vào nhà rộng thoáng 5m, ngõ nông, ô tô vào nhà dừng đỗ thoải mái.+ Sổ đỏ vuông đẹp, cất két sẵn sàng giao dịch.",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824667.1519167, 4, 3, 1, 1,
14 tỷ VNĐ,Đường Trần Đăng Ninh phường Dịch Vọng, 42m2, 6,"
    
+ Nhà mặt phố lớn, ngay ngã ba giao với ngõ 12 Trần Quý Kiên (ngõ to hơn phố) kinh doanh đỉnh cao

+ Nhà xây 6 tầng, mỗi tầng 2 phòng cầu thang giữa, tổng có 7 phòng, công năng dư thừa, nhà xây kết cấu BTCT cực kỳ chất lượng.

",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824668.1741734, 3, 10, 8, 1,
"3,6 tỷ VNĐ",0838771882, 33m2,,"NHỈNH 3 TỶ - CÓ NGAY NHÀ ĐẸP VÕNG THỊ TÂY HỒ - KHÁCH CỌC NHANH CÒN KỊP - Ô tô  đỗ gần,  trường chợ ngay cổng - Diện tích:  33m2 x 4 tầng, gồm 3 ngủ rộng thoáng. - Ưu điểm: nhà đẹp, nội thất mới hiện đại,  đi vài bước chân ra mặt hồ tây lộng gió, sáng tối tập thể dục đi dạo cả nhà thì miễn chê, ngay đầu ngõ có chợ,   trường mầm non,  cấp 1, cấp 2 ...con cái tự đi học được  - Sổ đỏ, sang tên nhanh gọn. - Giá:  3.6 tỷ (có thương lượng) Liên hệ chính chủ, miễn trung gian: 0838771882",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824669.673163,,,,,
"6,9 tỷ VNĐ","Hoàng Đạo Thúy, Nhân Chính , Thanh Xuân, Hà nội", 63m2, 4,"Bán nhà Hoàng Đạo Thúy 63m2, Chuẩn bị QUY HOẠCH RA MẶT PHỐ luôn, Ô tô,  - Mô tả : + Bán nhà ngõ rộng ô tô 50m thông phố: Ngụy Như Kon Tum, Nhân Hòa, Vũ Trọng Phụng. + Quy hoạch đường vành đai 2.5 nhà mình ra mặt phố, khách kiểm tra quy hoạch thoải mái. + Diện tích sổ đỏ 63m2, chủ xây dựng 45m2 4 tầng chắc chắn còn lại làm sân thoáng. + Chủ xác định bán đất tặng nhà. + Sổ đỏ đẹp vuông vắn đang chờ giao dịch. -   Chính chủ cần bán gấp giá hấp dẫn 6.9 tỷ( không có căn thứ 2 trong khu vực) Gọi ngay cho tôi 24h/7 Mr. Hồng Hải – 0961771396",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824670.8081272, 4,, 3,,
,"Phố Hòa Mã, Phạm Đình Hổ, Hai Bà Trưng, Hà Nội", 96m2, 6,"Mô tả: + NHÀ MẶT PHỐ, VỊ TRÍ VÀNG ĐẸP NHẤT PHỐ HÒA MÃ. + Diện tích 96m2. + Sổ đỏ chính chủ. + Nhà xây cực kỳ chắc chắn, 6 tầng , Mỗi tầng là 2 Phòng. + Làm Showroom, làm văn phòng công ty, làm khách sạn thì tuyệt đỉnh. + Khu trung tâm, giáp danh với Quận Hoàn Kiếm, vị trí vàng 9999. + Tiện ích thì vô vàn. + 2 bước chân ra Chợ Hôm, Trường tiểu học và THCS Lê Ngọc Hân, 1 phút lên bờ hồ, phố cổ. + Giá chào 56 tỷ, Có thương lượng. + Liên hệ  : Nguyễn Dương  0825920555.",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824671.8892353, 4, 12, 8,,
"5,3 tỷ VNĐ",Nguyễn Văn Cừ Long Biên Hà Nội, 49m2,,"Chính chủ cần bán nhà Gia Thụy DT 59m, 4 Tầng, MT5m, Giá nhỉnh 5 tỷ. + Nhà đẹp dân xây thiết kế 4 tầng, cầu thang giữa mỗi tầng 2 phòng ngủ, tổng 4 phòng ngủ. + Ngõ thông trải nhựa sáng bóng sạch sẽ, 50m ra ô tô tránh, gần trường điểm Gia Thụy. + Gần Trường cấp 1, 2 Gia Thượng. Liên hệ : Giang: 0876 357 888 (Không tiếp môi giới) ",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824673.0062468,,,,,
2 tỷ VNĐ,Khương Đình - Thanh Xuân, 43m2,,"+Trung tâm quận Thanh Xuân, thông sang nhiều đường lớn: Nguyễn Trãi, Nguyễn Xiển, Khương Đình.+Vị trí đắc địa, 5 phút ra Royal City, gần bệnh viện, trường học và chợ Kim Giang.+Nhà chủ xây tâm huyết để ở, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824674.2219946, 5,,,,
"15,5 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 95m2, 5,"
    PHỐ VIP NGÕ VIP - KINH DOANH SIÊU ĐỈNH - MẶT TIỀN KHỦNG - GIÁ MỀM MẠI.++ Mô tả: -Ngõ đẹp kinh doanh nhộn nhịp. -Nhà rất thoáng, mặt tiền khủng 7,5m, sân để xe rộng, có gara ô tô-Dùng ở kết hợp cho thuê kinh doanh phòng khám, spa, văn phòng công ty đều đẹp. + Xung quanh tiện ích chẳng thiếu gì, gần các trường Đại học Danh tiếng, trung tâm Thương Mại lớn, siêu thị, trường học các cấp… + Sổ đỏ chính chủ, giấy tờ pháp lý đầy đủLH: 091.808.6689
",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824675.3290353, 7, 4, 5, 5,
56 tỷ VNĐ,"Phố Hòa Mã, Phạm Đình Hổ, Hai Bà Trưng, Hà Nội.", 96m2, 6,"Mô tả: + NHÀ MẶT PHỐ, VỊ TRÍ VÀNG ĐẸP NHẤT PHỐ HÒA MÃ. + Diện tích 96m2. + Sổ đỏ chính chủ. + Nhà xây cực kỳ chắc chắn, 6 tầng , Mỗi tầng là 2 Phòng. + Làm Showroom, làm văn phòng công ty, làm khách sạn thì tuyệt đỉnh. + Khu trung tâm, giáp danh với Quận Hoàn Kiếm, vị trí vàng 9999. + Tiện ích thì vô vàn. + 2 bước chân ra Chợ Hôm, Trường tiểu học và THCS Lê Ngọc Hân, 1 phút lên bờ hồ, phố cổ. + Giá chào 56 tỷ, Có thương lượng. + Liên hệ  : Nguyễn Dương  0825920555.",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824679.1869779, 4, 12, 8,,
"1,5 tỷ VNĐ","thôn 3 Tân Xã, Thạch Thất, Hà Nội", 68m2,,"Cần bán gấp mảnh đất full thổ cư ngay tại trục kinh doanh Tân Xã.- Sổ đỏ rõ ràng.- Vị trí đẹp, ra cổng đại học FPT 1km.- Hạ tầng đồng bộ, đường nội khu trải nhựa, cống thoát nước, đường chờ điện đã làm sẵn.- Kinh doanh trọ cho thuê.- Giá rẻ hơn thị trường.- 30 phút ra tới BigC Thăng Long.- Cách trường đại học FPT 5 phút.- Cách nhà máy của Vingroup, Viettel Hòa Lạc 7 phút.- Là cửa ngõ của Hòa Lạc, nằm giữa 2 khu đô thị Hòa Lạc và Sơn Tây.- Xung quanh đầy đủ tiện ích như: Trường học, ủy ban, chợ, bệnh viện đa khoa huyện.- Giao thông di chuyển xung quanh Hòa Lạc và Hà Nội thuận tiện.LH: Mr Hoàng để đc hỗ trợ và đi xem đất",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824680.274031, 5, 8,,,
