price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"16,4 tỷ VNĐ",Hà Nội, 46m2,"Chính chủ gửi bán gấp nhà đẹp, phố Nguyễn Đình Chiểu, quận Hai Bà Trưng - LH: 0856 968 656. Diện tích 46 m2, 5 tầng, mặt tiền 5m.Giá chào chỉ 16.4 tỷ thương lượng mạnh, bao sang tên, tặng full nội thất xịn. + View công viên thống nhất, vị trí cực hiếm nhà bán, đường trước nhà ô tô tránh, thiết kế gara ô tô vào nhà thoải mái. + Nhà chủ tự xây để ở rất tâm huyết, chăm chút tỉ mỉ từng chi tiết nhỏ. + Thiết kế đẹp, đầy đủ các công năng sử dụng, các phòng đều rất thoáng mát. + Nhà phù hợp vừa ở vừa kinh doanh cafe, nhà hàng cao cấp, thời trang, spa... nội thất đẹp, sang trọng vào ở luôn. + Nằm vị trí đắc địa bậc nhất Hai Bà Trưng xung quanh hội tụ đầy đủ các tiện ích. + Cạnh công viên Thống Nhất là nơi lý tưởng cho tập thể dục và hít thở không khí trong lành, mát mẻ để tăng cường sức khỏe… + Vài phút lên trung tâm phố cổ, bờ hồ quanh các tuyến phố lớn như: Trần Nhân Tông, Tuệ Tĩnh, Tô Hiến Thành, Lê Đại Hành, Đại Cổ Việt… + Sổ đỏ chính chủ, sẵn sang giao dịch.Liên hệ ngay Mr Bình để xem nhà và tư vấn miễn phí 24/7 - 0856 968 656.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829975.7447174,,,,,,
"2,75 tỷ VNĐ","Phố Trạm ,Long Biên", 36m2,"+ Mô tả- Phố Trạm là trung tâm cửa ngõ Hà Nội, là cầu nối giữa 2 tiểu đô thị tập đoàn Vingroup - Siêu thị ăn uống Aeon.-Nhà mới đẹp, ngõ trước nhà rộng thông, ô tô qua, cách cầu vượt AEON ngã tư Cổ Linh – Đàm Quang Trung – Cầu Vĩnh Tuy chỉ vài trăm mét. + Vị Trí- Nhà nằm ngay chân cầu Vĩnh Tuy thuận tiện vô cùng khi ra TTTM Aon mai mua sắm thưởng thức ẩm thực Nhật Bản- Xung Quanh có quần thể KĐT Time City,Vinhome Riversie,Ecopark ,Vinhome Ocion Park rất đồng bộ và hiện đại- Nhà 5 tầng chủ tự xây cực ký chắc chắn theo phong cách hiện đại- Nội thất cửa  nhà đều bằng gỗ Lim nhập khẩu rất đẹp chỉ việc sách va ly về ở- Nhà tổng 3 phòng ngủ + phòng khách + phòng thờ + bếp + 4WC - Công năng đầy đủ cho 1 gia đình hiện đại sinh sống lâu dài- Sổ đỏ vuông đét sẵn sàng giao dịch : Giá 2.35 tỷ có thương lượng- Để được tư vấn xem nhà  miễn phí trước ,trong và sau khi giao dich thành công+ Liên Hệ: Thái Sơn chuyên BĐS Thổ Cư Long Biên , ĐT: 0915126183  - Miễn môi giới và trung gian",02/08/2020,Tin thường,batdongsan_so_com_vn_1673829977.1639555, 5, 5, 3, 4,,
"2,35 tỷ VNĐ","Ngõ Trạm, Long Biên", 35m2,"+ Mô tả - Một khu vực mà dân Minh Khai đang di chuyển sang rất nhiều, đón đầu giai đoạn II xây dựng cầu Vĩnh Tuy.- Giao thông thuận tiện kết nối đồng bộ với các KĐT hiện đại bậc nhất Hà Nội + Vị Trí -Nhà nằm ngay chân cầu Vĩnh Tuy rất thuận tiện sáng phố- Tiện ích vô cùng khi ra TTTM Aon mai mua sắm thưởng thức ẩm thực- Xung Quanh có quần thể KĐT Time City,Vinhome Riversie,Ecopark ,Vinhome Ocion Park rất đồng bộ và hiện đại- Nhà 5 tầng chủ tự xây cực ký chắc chắn theo phong cách hiện đại- Nội thất nhập khẩu sang chảnh,cửa  nhà đều bằng gỗ Lim rất đẹp- Nhà tổng 3 phòng ngủ + phòng khách + phòng thờ + bếp + 4WC - Công năng đầy đủ cho 1 gia đình hiện đại sinh sống lâu dài- Nhà mới tinh chỉ việc sách va ly về ở- Sổ đỏ vuông đét sẵn sàng giao dịch + Giá 2.35 tỷ có thương lượng+ Liên Hệ: Sơn chuyên NHÀ ĐẤT THỔ CƯ Long Biên- Miễn môi giới và trung gian",01/08/2020,Tin thường,batdongsan_so_com_vn_1673829978.2380424, 4, 5, 3, 4,,
"3,05 tỷ VNĐ","Bồ Đề , Long Biên", 38m2,"+  Mô Tả-  Bồ  Đề  là   khu vưc  đã   quy  hoạch  ổn  định  và  là  khu  phố  vip an sinh tuyệt vời, dân trí cao,  rất đáng sống lâu dài-  Hệ thống 3 hồ điều hòa rất đẹp và mát mẻ cho cả khu vực , tạo nên giá trị tuyệt vời cho toàn khu vực+ Vị Trí-  Từ đây đi  Phố Cổ chỉ 5 phút ,TTTM Aeon , Mipec Long Biên, chợ Ẩm thực Ngọc Lâm , Trường học và BV Quốc tế-  Hệ thống trường học  Quốc Tế , BV Tâm Anh, nhiều quan chức sinh sống nên an ninh cực tốt-  Nhà 5 tầng rất đẹp, chủ xây kỹ, thiết kế thẩm mỹ cao khe thoáng giếng trời đầy đủ ánh sáng và  không khí, xem là thích.-  Nội thất sàn gỗ, trần thạch cao, thiết bị vệ sinh cao cấp , chỉ việc sách valy đến ở-  Pháp lý sạch , giấy tờ hợp lệ , sẵn sang giao dịch 24/7 ,  giá 3.05 tỷ có thương lượng-  Miễn Phí và tư vấn, hỗ trợ Pháp lý , xem nhà  trước , trong  đến khi giao dịch thành công+ Liên Hệ : Nguyễn Sơn  chuyên  BĐS Thổ Cư Long Biên ,  ĐT :  0915126183",12/08/2020,Tin thường,batdongsan_so_com_vn_1673829979.4029706, 3, 5, 4, 4,,
"4,1 tỷ VNĐ","Vương Thừa Vũ, Thanh Xuân", 35m2,"CHÍNH CHỦ BÁN NHÀ PHỐ VƯƠNG THỪA VŨ, THANH XUÂN, DIỆN TÍCH 35M2, MẶT TIỀN 5,5M, KINH DOANH. + Vị trí trung tâm Thanh Xuân dân trí cao, gần chợ, trường học, bệnh viện, ngân hàng và giao thông thuận tiện. + Nhà 3 tầng cực đẹp mặt ngõ nông rộng, ô tô 7 chỗ thông phố Hoàng Văn Thái. Cách chỗ để ô tô chỉ vài bước chân. Nhà kinh doanh tốt hoặc cho thuê khoảng 15 triệu/tháng. + Sổ đỏ chính chủ, pháp lý sạch. + Liên hệ em Thái để được tư vấn và hỗ trợ miễn phí.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829980.606752,,,,,,
"6,8 tỷ VNĐ",đường Phương Mai- Đống Đa, 45m2,"*Chủ cần bán gấp nhà riêng phố Phương Mai ở ngay, tặng nội thất gỗ cao cấp. 0345752279 +Diện tích: 45m2. Mặt tiền 4.2m +Thiết kế: 5 tầng, 5 ngủ, công năng hoàn hảo. +Giá thương lượng 6.8 tỷ. +Sổ đỏ vuông đẹp giao dịch nhanh chóng. *Gọi ngay em Bình để nhận tư vấn, xem nhà miễn phí mọi khung giờ. *Không tiếp môi giới.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829982.4428873, 4, 5, 5,, 3,
"1,2 tỷ VNĐ",Thôn Đồi Sen xã Bình Yên, 70m2,"Thông tin cơ bản- Pháp lý rõ ràng, sẵn sổ, giao dịch uy tín- Giao thông thuận tiện, đi lại dễ dàng:   + Đường nội khu 6m   + Đường trục chính   + cách Tỉnh lộ 420 300m   + Cách khu công nghệ cao 5p di chuyển- Xung quanh đầy đủ tiện ích : trường cấp 1, cấp 2, cấp 3, bệnh viện đa khoa, trạm y tế, UBND, chợ,đối diện nhà văn hóa- Tiềm năng tăng giá lớn (khoảng30%/năm), thanh khoản nhanhLIÊN HỆ NGAY em Hoàng để được tư vấn miến phí và nhận được giá ưu đãi khi mua đất!!!!",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829984.0027504, 5,,,, 5, Đông nam
"5,6 tỷ VNĐ",đường Minh Khai- Hai Bà Trưng, 38m2,"*Bán gấp nhà riêng Minh Khai đường ô tô tránh, kinh doanh đỉnh, tặng nội thất. 0345752279 +Diện tích : 38m2  +Thiết kế: Nhà dân kiên cố hiện đại, rất mới. 4 tầng, 4 ngủ. +Giá thương lượng 5.6 tỷ. +Sổ đỏ vuông đẹp giao dịch ngay. *Gọi em Bình để được tư vấn và xem nhà miễn phí mọi khung giờ. *Miễn môi giới.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829985.446895, 4, 4, 4,, 4,
98 triệu VNĐ,"từ Liêm, Hà Nội", 60m2,"Đất xã Tân Xã ven CNC Láng Hòa Lạc, bán 60m2 ngay TT xã Tân Xã, cách CNC Hoà Lạc 200m, giá chỉ 980 tr/lô. Vị trí: Xã Tân Xã, huyện Thạch Thất, Hà Nội. - Diện tích: 60m2. - Mặt tiền 6m, ngay trục chính của thôn. - Sẵn sổ đỏ từng lô. Full thổ cư. - Ngay sau UBND xã, trường cấp 1,2 Tân Xã, Chợ, Bệnh viện chỉ cách 200m. - Cách khu CNC Hòa Lạc 200m đi thẳng là tới ngay khu đất. (hồ Tân Xã, trường FPT, trường KH&CN,... Chỉ 5 phút lái xe). - Đường trước mặt rộng 8m theo quy hoạch, hiện trạng đang là 6m. - Hạ tầng trải nhựa mới 100%. - Giao thông kết nối các vùng trung tâm, hạ tầng, tiện ích đầy đủ, đồng bộ. Anh/chị quan tâm hãy liên hệ cho em Đức Liên hệ: SĐT/ZALO (0328335312) 🌟🌟🌟🌟 Hỗ trợ xe đưa đón 24/24.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829986.614726, 6,,,, 6, Tây
"5,8 tỷ VNĐ","số 03, ngõ 207/65/17, Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội", 56m2,"Chính chủ bán nhà số 03, ngõ 207/65/17, Xuân Đỉnh, Quận Bắc Từ Liêm, Hà NộiDiện tích: 56m2 x 3 tầng - Ô tô đỗ được trong nhà- Sổ đỏ chính chủ- Nhà xây 3 tầng kiên cố, thiết kế hợp lý gồm 3 phòng ngủ, 4 phòng vệ sinh, 1 phòng khách, 1 phòng bếp, 1 phòng thờ- Các phòng ngủ đều có điều hòa, quạt treo tường.+ Phòng bếp có tủ bếp, bếp từ, các phòng vệ sinh có đủ nóng lạnh- Vị trí nhà rất thuận tiện để đến các khu vui chơi, đi chợ hay đi học+ Từ nhà đi ra khu ngoại giao đoàn khoảng 700m, ra công viên Hòa Bình khoảng 1km, đi chợ Xuân Đỉnh khoảng 1km- Đặc biệt nhà còn gần các trường tiểu học, trường trung học cơ sở và phổ thông trung học Xuân Đỉnh.+ Ngay cạnh là lớp 1 của trường tiểu học Xuân đỉnhGiá bán:  5.8 tỷ- Có thương lượngLiên hệ Chị Minh 0946247247
 
Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-nha-so-03-ngo-207-65-17-xuan-dinh-quan-bac-tu-liem-ha-noi-3555.html

",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829987.6888525,, 3,,,,
