price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
6 tỷ VNĐ,Đường Quang Trung phường Quang Trung, 42m2, 4,- Sổ đỏ chính chủ. Giá bán nhỉnh 6 tỷ. ,11/10/2022,Tin thường,batdongsan_so_com_vn_1673795586.0554214,,,,
"7,6 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 50m2, 3," CHUNG CƯ MINI - DÒNG TIỀN ỔN ĐỊNH ĐANG CHO THUÊ FULL PHÒNG 600TR/NĂM - GẦN PHỐ - NGÕ THÔNG - 9 PHÒNG KHÉP KÍN TẠI NGÕ 155 CẦU GIẤY- HÀ NỘI    Mô tả: Nhà có diện tích 50m x 5 tầng, mặt tiền 3,8m, 9 phòng khép kín. CAM KẾT ĐÚNG ẢNH ĐÚNG THÔNG SỐ NHÀ BÁN ĐẸP NHƯ ẢNH.

 Nhà nằm vị trí đẹp, gần phố, ngõ thông ba gác đỗ cửa, mặt tiền vừa đẹp thuận tiện giao thông, trung tâm Cầu Giấy ..

CĂN HỘ CC MINI - THOÁNG - SÁT PHỐ - KHU VỰC QUÁ NHIỀU TRƯỜNG ĐẠI HỌC
LỰA CHỌN CHUNG CƯ MINI- NHÀ PHỐ HÀ NỘI LÀ LỰA CHỌN THÔNG MINH VÀ AN TOÀN NHẤT MỌI THỜI ĐẠI. HÀNG THÁNG CÓ TIỀN CHO THUÊ TRONG KHI GIÁ ĐẤT VẪN LÊN THEO NGÀY.
+ Tầng 1: Để xe + 1 phòng 

+ Từ tầng 2 đến tầng 5 mỗi tầng 2 phòng, tổng 9 phòng full nội thất.
 Sổ đỏ cực đẹp. SẴN SÀNG GIAO DỊCH NGAY.
GỌI NGAY CHO EM 24/24 ĐỂ XEM NHÀ MIỄN PHÍ.
",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795587.4257557, 3, 5, 9, 10
"4,3 tỷ VNĐ",Đường Cổ Linh phường Sài Đồng, 100m2, 5,"Bán đất Cô Linh Dt 100m, Giá hơn 4 tỷ. + Vị trí đắc địa, đi từ mặt phố Cổ Linh đi vào tầm 100m cuối ngõ, rẽ trái là nhìn thấy Lô đất bán, ô tô đỗ cổng.  + Đất vuông vức, thông số đẹp, gần phố, Khách mua đất về xây lên 6 tầng thang máy thì cực phẩm luôn ạ.  + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795588.4968905,,,,
"7,2 tỷ VNĐ",Đường Hà Trì phường Hà Cầu, 70m2, 4,"Bán đất ngã tư Hà Trì, Kiến Hưng, 70m2, ô tô kinh doanh, 7.2 tỷ  - Sổ đỏ chính chủ sang tên ngay. Giá chỉ 7.2 tỷ. Cam kết thông tin chuẩn.",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795589.9470108,,,,
"6,9 tỷ VNĐ",Đường Minh Khai phường Thanh Lương, 78m2, 3,"
    
+ NHÀ ĐẸP MINH KHAI - HÀNG XÓM TIMES CITY - TẶNG FULL NỘI THẤT HÀN QUỐC - Ô TÔ ĐỖ CỬA LÝ THUYẾT - SÁT PHỐ .

Mô tả:

+ Nhà VIP thiết kế 4 ngủ thừa công năng. Nội thất 5 sao đẹp lung linh như phim Hàn Quốc tặng tất tần tật cho khách.

+ Sau 1 ngày làm việc vất vả, gia đình về nhà bước vào 1 không gian lãng mạn, chill hơn “trói em bằng cà vạt, penthouse trên Đà Lạt”, tái tạo năng lượng gốc để kiếm tiền ngày càng nhiều hơn!

+ Mặt ngõ rộng 3-4m, lý thuyết ô tô đỗ cửa
Trước nhà không vướng nhà đối diện, không ngại xung năng lượng, không chút lỗi lầm phong thuỷ!

+ Tọa lạc tại vị trí trung tâm phố VIP, sát phố, gần Times City.

 + Sổ đỏ chính chủ, giao dịch ngay.

+  ẢNH THẬT 100%
+ AC quan tâm zalo em Đỗ Hạnh 0845 790 555 hoặc 0911 206 189 thanks AC.
",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795591.388155, 4, 4, 4, 5
"4,2 tỷ VNĐ",Đường Thụy Khuê phường Thụy Khuê, 55m2, 3,"Chủ nhà cần bán căn Thụy Khuê 41/55T1-4 tầng-mt 3.1m GIÁ 4T3 Vị trí đẹp , Trung Tâm Tây Hồ Quận , trước nhà thông thoáng , đi lại thuận tiện.Khu dân trí cao, an sinh tốt.Diện tích trên sổ 41m2, nhà bán được thừa hưởng thêm khoảng sân 14m2.Nhà lô góc 2 mặt thoáng, thiết kế:Tầng 1: Phòng khách, bếp và vệ sinh.  Tầng 2,3: Mỗi tầng 2 phòng rộng và 1 vệ sinh.Tầng 4: Phòng thờ, sân phơiSỔ ĐẸP - NỞ HẬU , PHÁP LÝ CHUẨN. SẴN GIAO DỊCH *Liên hệ: Em Nam 0977254122Miễn phí xem nhà Nhiệt tình tận tâm - Hỗ trợ 24/24.#QuậnTâyHồ",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795592.4553013, 2, 4, 4, 2
"4,4 tỷ VNĐ",Đường Cầu Giấy phường Quan Hoa, 46m2, 5,"Bán Nhà tại Đức Diễn -Bắc Từ Liêm - Hà Nội  💁 - SIÊU PHẨM 5 TẦNG , DT 45m2 , MẶT TIỀN 4M ,GIÁ 4 TỶ 5 👉 Vị trí siêu đẹp cách phố NHỔN - HỒ TÙNG MẬU - PHƯƠNG CANH. Ngõ phân lô vỉa hè to như phố thông tứ tung, thông ra PHÚC DIỄN - VĂN TIẾN DŨNG - PHÚ DIỄN ...Hàng xóm thân thiện,gần nhà quan chức nhà nước,an ninh bảo đảm 🏘️ Thiết kế:  👉 Thiết kế 5 tầng , Nhà mới đẹp với các công năng sử dụng: + Tầng 1: Phòng khách + bếp + vs.+ Tầng 2,3,4: 4 phòng ngủ +vs.+ Tầng 5: ban công,bàn thờ cúng- Sổ phân lô siêu đẹp.- Giá 4 tỷ 5- Chủ thiện chí bán, giá bán thương lượng trực tiếp 📕 Sổ Đỏ chính Chủ, vuông vắn, nét, đẹp, sẵn sàng giao dịch. ￼ 📲 Xem nhà gọi em Đạt : 056.562.1234",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795593.6650722, 3, 4, 4, 3
13 tỷ VNĐ,Đường Tam Khương phường Khương Thượng, 82m2, 5,  ,11/10/2022,Tin thường,batdongsan_so_com_vn_1673795594.9266963, 9, 5, 4, 5
"31,5 tỷ VNĐ",Bán nhà phân lô Trần Quốc Vượng 96 x 8 tầng thang máy, 96m2,,"Bán nhà phân lô Trần Quốc Vượng 96 x 8 tầng thang máy  + Nhà, thoáng trước, thoáng sau, xung quanh tiện ích ngập tràn. + Gia chủ thiết kế đẹp long lanh, hàng xóm cán bộ trí thức. + Sổ vuông vắn, sổ đỏ chính chủ sẵn sàng giao dịch. + Giao thương với rất nhiều các tuyến phố như Cầu Giấy, Xuân Thủy, Duy Tân, Tôn Thất Thuyết, Trung Kính… + Giá 31.5 tỷ có thương lượng  Liên hệ: Kim Hạnh 0946 553 655",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795595.964919,,,,
"1,9 tỷ VNĐ",Đường Huỳnh Văn Nghệ phường Phúc Đồng, 54m2, 20,"
    - Căn hộ tọa lạc tại tòa L4 thuộc Chung cư LE Grand Jardin, phường Sài Đồng, Long Biên.- Nội thất liền tường được bàn giao hoàn thiện cơ bản.- 4 bể bơi ngoài trời mang phong cách resort.- Sảnh Lounge, siêu thị, gym, spa, ngân hàng.- Bệnh viện Quốc tế Tâm Anh/ Bệnh viện đa khoa Đức Giang.- Quà tặng 3 chỉ Vàng.- Hỗ trợ vay tối đa 70% giá trị căn hộ và miễn gốc + lãi đến 30/06/2023.
",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795597.03007, 50, 18, 2, 1
"16,8 tỷ VNĐ",Đường Trung Kính phường Trung Hòa, 85m2, 6,"Bán tòa Chung Cư Mini tại phố Trung Kính - Trung Tâm Cầu Giấy giao với Trần Duy Hưng , Trung Hòa , Nguyễn Chí Thanh .... - Khu vực tiện ích ngập tràn gồm nhiều trường ĐH , Khối VP tấp nập nên nhu cầu thuê phòng ở luôn ở mức cao nhất - Vị trí ngõ thông , ô tô đỗ cửa , cách 20m ra mặt đường container tránh - Tòa CCMN rộng 85m2 , thiết kế 7 tầng thang máy .  - Mỗi tầng 3 phòng khép kín full nội thất , khách thuê chỉ việc đến ở  - Dòng tiền hàng tháng cực tốt , giao động 880-900tr/năm - Sổ đỏ đẹp ,sẵn sàng sang tên chủ mới - Liên hệ trực tiếp em Tiến Vũ để hẹn lịch xem nhà sớm nhất",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795598.187974, 3, 8, 15, 15
"8,6 tỷ VNĐ",Đường Thái Hà phường Láng Hạ, 34m2, 5," + Nhà 4 tầng xây chắc chắn.  Tầng 4: tầng tum.  Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7
",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795599.3777907, 6, 4, 5,
"5,1 tỷ VNĐ","Chính chủ bán nhà 4 tầng xây mới thôn 13, Tân Lập, Vĩnh Ninh, Vĩnh Quỳnh, Thanh Trì; 5,1 tỷ; 0968759099", 53m2,,"Chính chủ bán nhà 4 tầng xây mới thôn 13, Tân Lập, Vĩnh Ninh, Vĩnh Quỳnh, Thanh Trì; 5,1 tỷ; 0968759099  DT: 53m2  – Nhà vị trí đẹp mới xây thiết kế 4 tầng 3PN, 3 toilet, phòng khách bếp, 1 phòng thờ, sân phơi rộng sạch sẽ thoáng mát, view đẹp.  – Xây dựng chắc chắn kiên cố, thiết kế hiện đại, nội thất gồm tủ bếp tay vịn cầu thang, hệ thống đèn, thiết bị vệ sinh,…  – Khu dân cư đông đúc gần chợ, trường học các cấp, bệnh viện, ngân hàng, hàng xóm thân thiện, giao thông thuận tiện an ninh tốt.  – Pháp lý: sổ đầy đủ   Giá bán: 5 tỷ 100 triệu  LHCC: 0968759099 (Chú Lợi chính chủ, không qua trung gian)          http://www.sanbatdongsanviet.com.vn",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795600.4309723,,,,
"6,3 tỷ VNĐ",Trần Đăng Ninh, 41m2, 4," + Bán nhà C4 mặt phố Trần Đăng Ninh quận Hà Đông, vỉa hè, đường rộng ô tô tránh, mặt tiền kinh doanh. + Dt 41m C4, mt 4.1m. + Giá 6.3 tỷ. + Vị trí trung tâm, khu phân lô Víp, sát đường Quang Trung, giao thông thuận tiện, gần Nhà Thi Đấu, Siêu thị MeTro, Chợ Đầu Mối Hà Đông... tiện ích trung tâm phố. + Sổ đỏ chính chủ, pháp lý chuẩn, sang tên nhanh. # HotLine: 0983858722 Tình Nhà Đất ( Chuyên Nghiệp – Nhiệt Tình – Hỗ Trợ 24/7 ).",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795613.011801, 8, 1, 2,
"4,4 tỷ VNĐ",Đường Khương Hạ  phường Khương Đình, 40m2, 5,"Bán nhà đẹp, ngõ nông, dân cư đông đúc với các thông số:  + Diện tích: 40m2 x 5 tầng  + Mặt tiền: 5m  Vị trí thuận lợi, khu vực trung tâm Thanh Xuân. Ngõ thông từ Khương Hạ ra Vũ Tông Phan, có khu thể dục thể thao, xe ba gác đi lại đỗ nhà thoải mái, trước nhà thoáng vĩnh viễn. Quy hoạch 2.5 sắp đi qua, mở rộng ra đường lớn.  Khu vực văn minh, hàng xóm thân thiện an toàn. Đi vài bước ra được chợ, bãi gửi xe ô tô, siêu thị, và các tiện ích khác, Gần rất nhiều trường học.  Sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch.  Giá bán 4.4 tỷ Liên hệ: Mr Huy (Gọi hoặc inbox dt, zalo 24/24g)  Miễn phí xem nhà - nguồn nhà phong phú - nhiệt tình tận tâm - hỗ trợ 24/24g. ",11/10/2022,Tin thường,batdongsan_so_com_vn_1673795614.045036, 3, 5, 3, 4
