price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"1,8 tỷ VNĐ","Nguyễn Văn Linh, Long Biên", 30m2, 4,"+ Vị trí trung tâm phường Phúc Đồng, giữa hai cầu Chương Dương và Vĩnh Tuy + Gần trường học các cấp. + Khu vực dân trí cao. + Sổ đỏ chính chủ, cất két, sẵn sàng giao dịch. - Lh em Trác: 0965492571( xem nhà và tư vấn miễn phí)",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822650.815108,,,,
"16,5 tỷ VNĐ",Hà Nội, 78m2,,"SIÊU PHẨM PHẠM NGỌC THẠCH - THANG MÁY - 2 Ô TÔ TRÁNH - KINH DOANH ĐỈNH CAODiện tích 78 m2, 7 tầng thang máy, mặt tiền 7.2 m. - Vị trí đắc địa, mặt tiền thoáng đạt, nhà mới đẹp, thiết kế hiện đại, công năng ưu việt. - Ngõ 2 ô tô tránh kinh doanh đỉnh cao. - Sổ đỏ vuông đẹp pháp lý chuẩnGiá chào chỉ 16.5 tỷ thương lượng nhiều.Liên hệ gấp: 0366 555 258.",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822651.7845142,,,,
"12,68 tỷ VNĐ",Đường Xuân La phường Xuân La, 60m2, 4,"
    + Vị trí Nhà Phân lô Tổng cục II, ô tô tránh, ô tô vào nhà, gần Hồ Tây 150m, khu ngoại giao đoàn.
+ Gần Công viên Hoà Bình, trường liên cấp Xuân La, gần chợ, Đại học Nội Vụ...
Thiết kế:
- Tầng 1: Gara+ Kho
- Tầng 2: phòng khách + bếp ăn
- Tầng 3+ 4: 2 phòng ngủ 
- Tầng 5: phòng thờ + Sân phơi. 
Cầu thang giữa, 3 vệ sinh, giếng trời, sau nhà có khe thoáng 50cm. 
Giá 12.8 tỷ ( Thương lượng tốt)
Liên hệ tôi 090.1617.686 ( KIM CƯƠNG - Để mua nhà giá tốt nhất)
",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822652.8749177, 9, 5, 5, 4
"7,1 tỷ VNĐ",Đường Kim Ngưu phường Minh Khai, 30m2, 2,"Nhỏ tiền nhưng giá trị cực cao,mặt tiền kinh doanh. + Vị trí trung tâm Hai Bà Trưng, đẹp nhất phố. + Khu vực thuận lợi đi lại, tiện ích xung quanh không thiếu thứ gì, năm trên trục hướng trung tâm nên giá trị rất lớn theo thời gian.  + Nhà 4 tầng cũ rất chắc chắn chủ xác định bán đất. THÔNG TIN NHÀ. - T1: Kinh doanh, kho. - T2-T3: Mỗi tầng 2 phòng rất thoáng, wc. - T4: Sân phơi. + Thửa đất đẹp , pháp lý chuẩn sẵn sàng giao dịch.",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822654.1176403, 7, 4, 2, 3
"6,5 tỷ VNĐ",Đường Nguyễn Văn Huyên phường Dịch Vọng, 51m2, 4,"+ Bán căn nhà mặt ngõ 6 tầng thang máy kinh doanh phố Nguyễn Văn Huyên.+ Diện tích 52m2 thiết kế tầng 1 thông sàn kinh doanh, 4 tầng 4 phòng ngủ master có ban công đầy đủ công năng tiện ích.+ Vị trí hiếm bán ngõ thông cách 50m ra mặt phố khu dân trí cao tiện ích xung quanh đầy đủ. + Sổ đỏ chính chủ: 6 tỷ 5 .( Có Thương Lượng ). LH A. Phúc: 0888743418– Nhà đẹp pháp lý chuẩn Hà Nội ( Nhận ký gửi nhà Hà Nội). Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Cầu Giấy, Hà Nội      Bán nhà mặt phố Nguyễn Văn Huyên – Cầu Giấy Bán đất Phố Nguyễn Văn Huyên - Cầu Giấy Mua bán nhà đất Phố Nguyễn Văn Huyên, Quận Nguyễn Văn Huyên Bán nhà riêng tại Phố Nguyễn Văn Huyên tháng 06/2022 Bán nhà mặt phố tại phố Nguyễn Văn Huyên Bán nhà riêng tại Phố Nguyễn Văn Huyên Mua bán nhà đất Phố Nguyễn Văn Huyên, Quận Cầu Giấy, Hà Nội Cần Bán đất, Phố Nguyễn Văn Huyên Hà Nội",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822655.2046845, 5, 5, 4, 4
"15,8 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 65m2, 3,"Nhà Phân Lô , Gara Ô TÔ, Thang Máy, Vỉa Hè rộng, Thích hợp làm VP CTY hoặc cho thuê VP đều hái ra tiền. Nhà nằm trong khu vực Dân cư đông đúc, Dân trí cao, Tập trung nhiều CBVC, Hoc sinh, Sinh viên các trường Cao Đẳng ,  ĐH xung quanh . TTTM , Ngân Hàng , Bệnh viện.v.v.... Tiện ích ngập tràn, giao thông thuận tiện, An Ninh , An Sinh Xã Hội vô cùng đảm bảo. Nhà chủ xây cực tâm huyết,khung cột  chắc chắn , thiết kế hiện đại, nội thất sang trọng. DT 60/65T1 x 6T , MT 3.9m. Tầng 1 :  Gara Ô TÔ , Bếp, wc. Tầng 2 : Phòng Khách  Tầng 3,4,5 Mỗi tầng 2 PN, WC. Tầng 6 : Phòng Thờ , Sân Phơi. Pháp lý chuẩn , Sổ đỏ sẵn sàng giao dịch ngay. Giá 15.8 tỷ ( thương lượng). Liên hệ ngay để được tư vấn, hướng dẫn xem nhà hoàn toàn miễn phí.",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822656.41744, 4, 6, 6, 4
15 tỷ VNĐ,Hà Nội, 72m2,,"Bán nhà đường Hồ Đắc Di quận Đống Đa, kinh doanh mọi hình thức.Diện tích 72 m2, 6 tầng thang máy. - Nhà nằm trong ngõ ô tô tải tránh, vị trí cực đẹp, ở hoặc kinh doanh đều vô cùng tuyệt vời. - Xung quanh hàng xóm toàn biệt thự quan chức, an sinh đỉnh cao, vô vàn tiện ích.Gần hồ Hồ Hoàng Cầu, công viên, bệnh viện, trường học, phố Trần Hữu Tước, Xã Đàn, Phạm Ngọc Thạch, Tây Sơn, Chùa Bộc, Tôn Thất Tùng, Thái Hà, Láng Hạ, Hoàng Cầu, Trần Quang Diệu... - Thiết kế đẹp, nội thất sang trọng, hiện đại, gia chủ sử dụng rất giữ gìn, sạch đẹp, các phòng đều thoáng mát. + Sổ đỏ vuông đẹp sẵn sàng giao dịch.Giá chào chỉ nhỉnh 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.* Liên hệ ngay Vũ Bình chuyên nhà đẹp - 0856 968 656.",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822657.434849,,,,
22 tỷ VNĐ,Đường Trần Quốc Vượng phường Dịch Vọng Hậu, 130m2, 6,"KINH DOANH dòng tiền 100tr - 120tr/ Tháng. Thích hợp cho thuê. Tổng 21 Phòng khép kín.  Thiết kế theo phong cách Căn Hộ Khép Kín, đầy đủ trang thiết bị nội thất, Bếp, Điều Hòa ,Máy Giặt. chỉ việc sách Vali đến ở. Nhà nằm ở trung tâm quận Cầu Giấy, khu vực tập trung nhiều trường học THPT các cấp, Cao Đẳng , ĐH. TTTM, Bệnh viện , Công Viên cây xanh. Giao thông vô cùng thuận lợi, thông khắp các ngả, đi đâu cũng thuận tiện. Xung quanh tiện ích ngập tràn, An Ninh , An Sinh Xã Hội cực kỳ đảm bảo. Pháp lý chuẩn, Sổ Đỏ sẵn sàng giao dịch ngay. Giá 22 tỷ ( thương lượng). Liên hệ ngay để được tư vấn , hướng dẫn xem nhà hoàn toàn miễn phí.             ",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822658.4281936, 3, 7, 21, 21
"5,4 tỷ VNĐ",Đường Phan Đình Giót phường La Khê, 68m2, 5,"
    Vị trí:
+ Nhà đẹp, vị trí đẹp nhất phố Phan Đình Giót Hà Đông, gần chợ Bông Đỏ kinh doanh sầm uất, tiện ích ngập tràn.
+ Nhà 5 tầng mặt tiền 5m ô tô vào nhà và phòng hưởng thụ hát karaoke.
Thiết kế: 
- Tầng 1 Thông sàn, gara.
- Tầng 2 phòng khách + phòng ăn.
- Tầng 3,4 mỗi sàn 2 phòng tuỳ công năng chủ mới sử dụng chủ để lại full nội thất!
- Tầng 5 phòng thờ sân phơi.
Pháp lý:
Sổ đỏ chính chủ vuông A4 đẹp tuyệt không chút lỗi phong thủy.
Liên hệ: Tôi Công Thổ Cư Hà Đông 0981795728
 
",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822659.476434, 5, 5, 5, 4
"5,35 tỷ VNĐ",Đường Cầu Giấy phường Yên Hòa, 45m2, 4,"- Vị trí nhà vô cùng đẹp, siêu thoáng, nhà nở hậu ở cực lộc, xung quanh ngập tràn tiện ích, an ninh tốt- Nhà vượng khí, Chủ nhà làm ăn phát đạt, Bán nhà nhỏ đổi nhà to.- Nhà 6 tầng xây dựng chắc chắn, đẹp về ở ngay. Ngõ ba gác tránh nhau thoải mái. - Các phòng to đẹp thoáng mát, khu vực an toàn kinh doanh online, kinh doanh dòng tiền đỉnh.- Pháp lý sạch, giao dịch ngay- Giá: 5,35 tỷLiên hệ Tôi CƯƠNG THỔ CƯ 0936.288.283 ( Luôn hỗ trợ tận tâm nhất)TÔI CAM KẾT: Cung cấp sản phẩm chính chủ không tranh chấp khiếu kiện. Việc đảm bảo giao dịch được an toàn và nhanh chóng là trách nhiệm của tôi. Xin cảm ơn! ",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822660.5794806, 4, 6, 8, 5
