price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
"3,9 tỷ VNĐ","Bà Triệu, Hà Trì, Hà Đông, Hà Nội.", 37m2, 3, 4, 4," # Cần bán gấp nhà riêng đường Hà Trì, Hà Đông, Hà Nội. Nhà mới, thiết kế đẹp, Full thiết bị  nội thất, khu dân trí cao, về ở ngay, an ninh an sinh đỉnh, . DT 37m, 4T, MT 5.6m, giá chỉ 3.9 tỷ. + Vị Trí: tiếp giáp Đa Sỹ và phường Nguyễn Trãi, tọa lạc sát ngã 5 Hà Trì đường Bà Triệu quận Hà Đông. + Tiện ích: gần Chợ Lớn Hà Đông, Sân Vận Động Hà Đông, nhiều TTTM, Ngân hàng, trường C1,2,3, khu vui chơi, trung tâm phố tiện ích. + Giao thông: vài bước chân ra mặt đường chính Bà Triệu di chuyển Tô Hiêu, Lê Hồng Phong, Chưng Nhị, Lê Lợi, Quang Trung, Phùng Hưng, 19/5, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà mới 4T khung cột chắc, thiết kế hiện đại các phòng thoáng sáng, đầy đủ công năng. + Giá chỉ 3.9 tỷ. + Sổ đỏ đẹp chính chủ pháp lý chuẩn, sẵn sàng giao dịch. # HotLine: 0906113879 Tình nhà phố ( chuyên mua bán, nhận ký gửi nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821588.0078003,,,
12 tỷ VNĐ,Đường Trần Khát Chân phường Thanh Nhàn, 37m2, 7, 5, 5,"
    Chủ nhà kinh doanh phụ tùng ô tô, chuyển sang nhà to hơn, cần bán lại nhà đang có lộc.- Nhà phân lô có vỉa hè, trước nhà ô tô tránh, quay đầu, vào nhà thoải mái.- Nhà thuộc khu chuyên kinh doanh phụ tùng ô tô, kinh doanh đỉnh.- Nhà gần nhiều tuyến phố chính như ngã tư Trần Khát Chân, Kim Ngưu, Lò Đúc, Võ Thị Sáu, Phố Yên Bái, phố Huế, Bạch Mai, Thanh Nhàn...- Quanh nhà có nhiều trung tâm thương mại như Vincom Bà Triệu, Sun Plaza Lương Yên, Times City...- Nhà xây 5 tầng chắc chắn, thiết kế hợp lý với cầu thang giữa tầng chia 2 phòng.Nhà Sổ đỏ chính chủ, sẵn sàng giao dịch ========================Giá chỉ hơn 12 tỷ.Liên hệ: Vỹ - 0986627811 (Miễn trung gian)
",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821589.5037975, 3, 4,
"2,1 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 22m2, 2, 5, 3,,04/06/2022,Tin thường,batdongsan_so_com_vn_1673821590.6537216,, 3,
"3,5 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 86m2,,, 2,"Chỉ 1 tỷ 6 sở hữu nhà Tây Hồ, tại sao không ???Em Vân Anh đang có mấy căn Udic Westlake tầng cao đẹp, view thoáng không bị chắn giá tốt, mời các anh chị lựa chọn + Pháp lý + chính sách:-Kí trực tiếp CĐT-Sổ hồng lâu dài-Được vay vốn tối đa 50% - Hỗ trợ lãi suất 12 tháng-Hoặc nhận chiết khấu 4% khi thanh toán sớm 95% GTCH-Miễn phí 2 năm phí dịch vụ + Thông tin căn hộ:-Diện tích: 85,67m2 thông thuỷ-Thiết kế 2 phòng ngủ + 2 vệ sinh-Nằm ở tầng 20, thoáng mát-Nhận nhà ở ngay không phải chờ đợi-Ban công Tây Bắc, cửa vào Tây Nam + Thông tin dự án:-Tên dự án: Udic Westlake-Vị trí: mặt đường Võ Chí Công, phường Xuân La, quận Tây Hồ-Chủ đầu tư: Tổng công ty ĐTPT hạ tầng đô thị Udic-Mật độ xây dựng: Chân đế 40%, Tháp 18%-Số tầng : Tháp A 17 tầng, tháp B 20 tầng và tháp C 23 tầng-Tổng: 408 căn hộ = 544 chỗ đỗ ô tô và hơn 1000 chỗ đỗ xe máy + Liên hệ ngay em Vân Anh để xem nhà: 0977.568.223",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821591.8395488,, 2, Tây nam
"3,399 tỷ VNĐ",Đường Ngô Xuân Quảng phường Trâu Quỳ, 40m2,,,,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'chính="""" chủ="""" cần="""" bán="""" gấp="""" lô="""" đất="""" đẹp="""" để="""" lấy="""" vốn="""" kinh="""" doanh,="""" rất="""" thiện="""" chí.="""" span="""" p="""" pspan="""" initial'•="""" diện="""" tích="""" 40m2,="""" vuông="""" như="""" tờ="""" a4.="""" initial'="""">• Giá bán thiện chí: 3,39 tỷ ( ra lộc đẹp cho khách)."",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'="""" pspan="""" initial'•="""" Địa="""" chỉ:="""" ngõ="""" phố="""" ngô="""" xuân="""" quảng,="""" thị="""" trấn="""" trâu="""" quỳ,="""" huyện="""" gia="""" lâm,="""" thành="""" ha="""" nội.="""" span="""" p="""">• Đường thông rộng 7 chỗ đi vừa, có chỗ đậu xe thoải mái, nằm trong khuôn viên khu đô thị siêu tiện ích. "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'•="""" bán="""" kính="""" 500m="""" đầy="""" đủ:="""" chợ,="""" bệnh="""" viện,="""" khu="""" đô="""" thị,="""" trường="""" học="""" từ="""" mầm="""" non="""" trở="""" lên,="""" siêu="""" thị="""" -="""" tiện="""" sinh="""" hoạt="""" đi="""" lại="""" vô="""" cùng.="""" span="""" p="""" pspan="""" mua="""" ở="""" hay="""" đầu="""" tư="""" đều="""" xứng="""" đáng,="""" vị="""" trí="""" đẹp="""" hiếm.="""" initial'="""">• Sổ đỏ chính chủ, không tranh chấp, không quy hoạch. ",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821592.8079598, 3,,
"11,999 tỷ VNĐ",Đường Nguyễn Mậu Tài phường Trâu Quỳ, 65m2,,,,"Anh tôi cần gấp một khoản tiền lớn nên bán lô đất tọa lạc trên mặt phố kinh doanh Nguyễn Mậu Tài, Trâu Quỳ, Gia Lâm, Hà Nội – Mặt phố sầm uất nhất Gia Lâm, trục chính kết nối Ủy ban Quận Gia Lâm, các khu shophouse và khu vực lân cận. Diện tích đất rộng 65m2. Mặt tiền gần 8m kinh doanh phải nói là rất tuyệt vời. Đường trước nhà rộng gần 40m, lưu thông 2 chiều, ngăn cách bằng vạch sơn. Đường huyết mạch kết nối. Đất thổ cư 100%, không tranh chấp, không quy hoạch, giấy tờ sổ sách đầy đủ minh bạch. Giá bán gấp hợp lý cho nhà đầu tư. Liên hệ ngay: Trần Vỹ BĐS - 0989894845 để biết thêm chi tiết, đi xem đất và gặp chủ nhà đàm phán trực tiếp.",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821593.9429224, 7,,
"11,999 tỷ VNĐ",Đường Nguyễn Mậu Tài phường Trâu Quỳ, 65m2,,,,"Anh tôi cần gấp một khoản tiền lớn nên bán lô đất tọa lạc trên mặt phố kinh doanh Nguyễn Mậu Tài, Trâu Quỳ, Gia Lâm, Hà Nội – Mặt phố sầm uất nhất Gia Lâm, trục chính kết nối Ủy ban Quận Gia Lâm, các khu shophouse và khu vực lân cận. Diện tích đất rộng 65m2. Mặt tiền gần 8m kinh doanh phải nói là rất tuyệt vời. Đường trước nhà rộng gần 40m, lưu thông 2 chiều, ngăn cách bằng vạch sơn. Đường huyết mạch kết nối. Đất thổ cư 100%, không tranh chấp, không quy hoạch, giấy tờ sổ sách đầy đủ minh bạch. Giá bán gấp hợp lý cho nhà đầu tư. Liên hệ ngay: Nhà Đất Quận Gia Lâm - 0398381708 để biết thêm chi tiết, đi xem đất và gặp chủ nhà đàm phán trực tiếp.",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821595.1666484, 7,,
44 ngàn VNĐ,Đường Lê Xá phường Đông Anh, 45m2,,,,"
    Mảnh Đất vàng sát cầu Đông Trù . Thôn Thái Bình Xã Mai Lâm Đông Anh Hà NộiCách cầu Đông Trù 200m.Miếng đất nằm trên chục chính của làng Cách trường học Mai Lâm 100m Cách ủy ban xã mai lâm 200m Đứng ở đất nhìn ra các khu đấu giá và biệt thự của đầu cầu đông trù rất đẹp và lại gần không tưởng .Giá thì chưa đến 2 tỷ Đường trước đất ô tô tải chạy thoải máiLiên hệ em Hà biết thêm thông tin : 0345648888
",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821596.2188358, 5,,
18 tỷ VNĐ,Đường Đại lộ Thăng Long phường Tiến Xuân, 1340m2,,,,Bám hồ chưa bao giờ hết hót Hnay e gửi quý a chị lô đất bám hồ 1340m Bám mặt nc lên tới 60m sổ sách rõ ràng Bám mặt đường bê tông 40m xe vào tận đất  View nhìn hồ nhìn núi thoáng mát Thế đất bằng phẳng đã cải tạo qua Vị trí đắc địa giữa trung tâm lòng hồ Vị trí ko bao giờ cạn nc bốn mùa có nc quanh năm Cách TT Hà Nội chỉ nhỉnh 30km chưa đầy 1h chạy xe Cách tỉnh lộ 446 chỉ 2km khu CNC 5kmGiao thông thuận tiện đường bê tông sạch sẽ Pháp lý rõ ràng rành mạch sang tên nhanh chóng Người dân thân thiện mến khách hòa đồngDân trí cao an ninh trật tự tốtQuan tâm liên hệ e  để đc tư vấn kỹ hơnHotline liên hệ 09,04/06/2022,Tin thường,batdongsan_so_com_vn_1673821597.2002099, 60,,
"28,5 tỷ VNĐ",mặt phố 360 Xã Đàn, 71m2, 20, 1, 1,"Bán nhà mặt phố Xã Đàn, Trung Phụng,phường Phương Liên, Đống Đa, Hà Nội. DT 71m giá 28.4 tỷ. vỉa hè rộng 6mDiện tích 71m đang có nhà cấp 4 kinh doanh sầm uất, đang cho thuê kinh doanh Nhà nằm trong khu phố đẳng cấp nhất quận Đống Đa DT rất phù hợp xây Tòa nhà Văn Phòng, Khách Sạn, Trung Tâm Thẩm mỹ, Bệnh Viện Vị trí trung tâm, ô tô chạy 2 chiều ngay ngã ba Xã Đàn- Phạm Ngọc Thạch,  Trung Phụng, gần công viên Thống Nhất, ĐH Bách Khoa, ĐH Y, ĐH Ngân Hàng... tiện ích an sinh đỉnh cao.* Sổ đỏ chính chủ. Giá 28.4 tỷ (có thương lượng), bao sang tên liên hệ chị Yến ĐT:0702138238",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821600.0024688, 4, 1, Tây
